SHW,Sherwin-Williams Company (The) Common Stock,NASDAQ
77.62,76.60,77.65,76.01
76.89,76.18,77.09,75.98
76.95,76.44,77.18,76.19
76.59,74.76,76.78,74.64
74.50,74.14,74.74,73.00
73.65,71.65,73.76,71.62
71.82,71.48,72.01,71.06
71.50,71.08,72.03,71.06
70.55,70.40,70.73,69.36
70.06,69.19,71.09,69.06
69.15,69.94,70.22,67.92
69.94,69.43,70.35,68.98
69.96,69.82,70.31,69.08
69.91,72.06,72.15,69.57
72.35,72.62,73.00,71.85
72.79,72.23,72.82,71.86
72.10,72.02,72.65,71.74
72.61,73.22,73.77,72.57
70.53,71.64,71.71,70.50
71.73,71.07,71.84,70.16
70.79,69.44,70.99,69.37
69.64,69.81,70.11,69.17
67.72,69.85,69.94,67.58
70.43,69.56,70.43,69.16
67.01,66.88,69.65,66.32
67.22,68.99,70.10,67.08
68.82,69.68,69.85,68.80
70.27,69.50,70.27,69.34
69.51,69.39,69.80,69.24
69.85,68.59,70.19,67.60
68.01,69.15,69.30,67.81
69.58,70.93,71.15,69.15
70.72,70.49,70.93,70.00
70.62,70.59,71.03,70.17
70.48,69.93,70.69,69.79
69.50,69.69,69.69,68.66
69.77,69.86,70.08,69.63
69.45,69.54,69.85,68.71
68.49,68.93,69.36,68.27
68.21,69.40,69.65,67.93
69.19,69.10,69.61,68.75
68.71,68.27,68.80,67.89
68.92,69.68,70.04,68.75
69.33,69.56,70.09,68.93
69.27,67.63,69.50,67.45
67.24,68.34,68.72,67.24
68.36,67.64,69.16,67.55
67.03,67.15,67.39,66.13
66.76,69.15,69.60,66.76
69.42,68.99,70.02,68.86
69.43,70.24,70.27,68.76
70.18,69.24,70.70,69.24
68.95,70.38,70.51,68.46
69.99,70.88,71.46,69.85
71.24,72.48,72.70,71.22
73.04,72.32,73.24,72.08
71.90,71.86,72.59,71.49
72.00,72.31,72.58,71.90
73.05,72.03,73.24,71.89
72.06,72.27,72.69,71.85
72.81,72.94,73.45,72.50
72.66,72.46,72.86,72.07
71.89,72.10,72.43,71.19
71.74,72.41,72.56,71.31
72.42,72.47,72.92,71.64
72.71,74.71,75.09,72.71
74.90,75.36,76.06,74.34
75.25,75.47,76.16,74.98
75.14,74.43,75.60,74.30
75.06,75.26,75.35,74.51
75.41,75.34,75.91,74.85
75.59,76.59,76.92,74.68
76.10,75.90,76.15,74.88
75.73,75.14,76.16,74.77
75.12,74.04,75.79,73.89
74.00,73.71,74.21,73.33
74.30,74.72,75.28,74.01
74.58,74.00,75.18,73.74
74.10,73.67,74.22,73.01
73.76,73.48,73.97,73.39
72.76,72.04,72.90,71.12
72.00,72.72,73.03,71.55
72.93,73.25,73.48,72.66
73.14,73.11,73.61,72.58
73.48,72.00,73.64,71.88
71.72,72.17,72.45,71.31
71.44,72.74,73.87,71.37
72.89,72.79,73.08,71.95
73.12,72.46,73.51,71.97
72.64,72.98,73.76,72.42
73.45,74.57,74.84,73.45
70.70,71.95,72.00,69.56
71.33,71.96,72.07,70.90
72.22,71.75,72.45,71.41
71.45,72.97,73.05,71.05
73.10,72.32,73.42,71.78
72.62,72.38,73.04,72.29
72.56,72.15,72.72,71.25
72.69,72.84,72.85,71.68
72.86,73.27,73.83,72.52
72.94,73.15,73.51,72.87
73.40,73.15,74.14,72.96
73.02,73.57,73.74,72.66
73.24,73.81,73.94,72.84
73.41,73.06,73.86,72.57
73.17,73.51,74.08,73.06
73.08,73.56,73.67,72.70
73.18,72.80,73.33,72.42
73.28,72.73,73.62,72.66
72.71,73.38,73.49,72.40
73.02,74.74,74.96,72.83
74.27,74.09,74.65,73.82
74.55,75.10,75.28,74.29
74.63,74.74,75.05,74.50
74.38,74.22,74.45,73.26
73.62,74.17,74.86,73.38
74.99,75.99,76.14,74.98
75.73,76.21,76.89,75.55
75.94,77.03,77.26,75.81
76.97,76.97,77.12,76.56
77.54,76.75,77.91,76.60
76.73,77.24,77.53,76.56
77.56,77.50,77.71,76.71
77.22,77.76,78.09,77.22
78.02,78.18,78.88,77.76
78.28,79.38,79.50,78.28
79.15,81.00,82.75,79.02
80.75,81.97,82.00,80.75
81.91,82.02,82.41,81.72
81.76,82.95,83.08,81.76
83.03,83.29,83.75,82.84
83.27,84.50,84.53,83.27
84.30,84.11,84.99,84.00
84.32,84.26,84.39,83.92
84.30,83.75,84.53,83.55
83.92,83.87,84.23,83.46
83.84,84.06,84.37,83.62
83.91,83.75,84.24,83.62
83.90,84.75,84.99,83.86
84.65,83.72,84.65,83.06
83.52,82.60,84.12,82.37
82.78,82.86,83.33,82.35
83.27,82.67,83.27,81.69
83.15,82.62,83.48,82.34
82.86,83.24,83.73,82.72
83.62,83.13,83.82,82.94
83.27,83.61,83.96,83.00
83.44,84.28,84.62,83.39
84.10,84.94,84.99,83.99
85.00,83.11,85.00,83.08
82.70,81.89,83.00,81.74
82.27,82.29,82.86,81.74
82.31,83.30,84.06,82.31
82.99,86.09,86.15,82.41
86.00,84.87,86.05,84.81
84.72,85.70,86.17,84.55
85.59,84.46,86.77,84.34
84.61,84.73,85.28,84.10
85.08,84.67,85.63,84.25
84.65,83.83,85.00,82.95
83.91,83.94,84.47,83.25
84.21,84.11,84.56,83.37
84.13,83.97,84.56,83.75
83.91,84.17,84.37,83.81
84.17,84.46,84.61,83.77
84.04,85.34,85.80,83.74
85.23,85.83,86.51,85.08
85.74,85.28,85.75,84.93
85.15,84.55,85.44,84.28
84.72,84.57,85.43,84.26
84.34,85.12,85.27,84.27
85.30,85.03,85.42,84.50
84.76,84.05,85.22,83.76
83.82,82.65,84.26,81.73
82.66,81.12,82.87,80.35
81.24,81.70,82.15,81.10
81.76,82.12,82.21,80.42
82.35,80.44,82.57,80.11
80.64,79.82,81.16,79.25
80.12,81.75,81.87,80.12
81.55,80.92,82.38,80.14
81.26,80.00,81.80,79.56
80.22,81.39,82.35,79.80
81.22,81.85,82.30,80.56
80.77,81.68,81.94,80.63
81.31,82.76,83.26,81.31
82.28,81.88,83.25,81.09
80.24,82.29,82.48,80.24
81.92,80.66,82.20,79.74
81.76,80.75,82.13,80.50
81.58,80.85,81.78,80.85
81.68,82.19,82.88,81.43
82.08,82.49,82.57,81.61
82.40,83.00,83.14,81.67
83.17,83.70,83.91,82.65
84.00,83.85,84.69,83.76
84.00,83.67,84.30,83.54
83.66,83.87,84.41,83.37
84.36,84.19,84.67,83.73
84.09,83.99,84.45,83.56
84.50,85.39,86.32,84.35
85.38,85.54,86.50,85.15
85.45,85.19,85.82,85.06
85.92,85.50,86.05,85.18
85.50,85.30,86.27,85.05
85.49,84.98,85.59,84.59
85.07,84.66,85.58,84.47
84.11,83.88,84.70,83.54
84.15,83.90,84.33,83.30
83.69,84.30,84.72,83.13
84.45,85.70,86.04,84.10
84.85,84.30,84.96,83.45
84.28,85.06,85.54,83.99
85.60,85.80,86.22,85.18
84.10,83.69,84.25,82.37
83.55,83.18,83.93,82.59
83.69,82.66,83.69,82.51
82.63,82.07,82.71,81.47
81.88,82.73,82.83,81.45
82.79,82.29,83.11,81.97
82.68,82.97,83.32,82.52
82.78,83.24,83.25,82.37
83.49,83.33,83.94,82.68
82.70,83.53,84.22,82.70
84.36,84.02,84.82,83.48
83.97,84.09,84.49,83.49
84.32,85.58,85.91,84.15
85.44,84.77,85.59,84.08
84.71,86.12,86.32,84.14
86.10,86.20,86.42,85.50
85.63,85.89,86.46,85.15
85.69,85.60,86.32,85.28
85.23,86.04,86.16,84.91
86.20,86.51,86.84,85.76
86.72,85.79,86.72,85.65
84.81,85.32,85.61,84.54
85.40,83.68,85.55,83.42
83.49,83.96,84.02,83.17
83.54,83.98,84.31,83.30
84.20,85.75,86.29,84.10
86.22,87.84,87.87,86.15
87.73,86.06,87.80,86.06
86.11,85.36,86.31,84.80
84.61,83.97,84.68,83.69
83.80,82.74,84.30,82.55
83.54,83.13,83.86,82.87
82.90,82.07,82.90,81.87
82.07,82.27,82.79,81.68
82.04,81.57,82.40,81.23
81.54,81.38,82.17,80.81
81.79,82.60,82.84,81.79
81.87,81.32,82.09,80.70
81.47,82.01,82.15,80.70
82.64,82.50,83.93,82.27
82.39,82.90,83.24,82.33
83.48,83.37,83.50,82.98
83.27,83.00,83.55,82.85
82.52,84.75,84.87,82.03
84.59,84.13,84.77,83.66
83.17,82.88,83.40,81.83
83.00,83.51,83.67,82.76
83.66,82.66,83.66,82.45
82.95,83.87,84.00,82.70
84.11,85.69,85.90,83.90
85.50,84.81,85.50,84.40
84.80,85.33,85.66,84.51
85.98,85.96,86.50,85.84
84.80,85.09,85.11,84.44
84.32,84.21,84.57,83.78
83.99,83.76,84.43,83.61
83.91,83.63,84.63,83.50
84.00,83.12,84.69,83.06
83.40,83.20,83.40,82.56
83.19,83.41,84.11,82.99
83.89,85.07,85.22,83.58
85.23,84.83,85.32,84.16
81.49,81.00,82.78,80.57
81.16,79.64,81.40,79.47
78.85,79.81,80.16,78.36
79.65,78.94,79.65,78.73
78.49,77.64,78.67,77.43
77.90,77.21,78.36,77.01
76.56,77.17,77.99,76.06
77.32,76.72,77.50,76.33
76.37,74.20,76.99,74.19
74.35,75.52,75.59,73.26
74.72,74.22,75.13,74.09
74.91,74.93,75.51,73.18
73.48,70.89,74.22,70.33
71.91,73.19,73.34,69.78
72.23,70.53,72.71,70.39
70.75,73.41,74.29,70.33
73.67,75.76,76.07,73.64
76.19,75.22,76.20,74.32
74.36,74.79,75.20,73.77
74.82,73.55,74.82,73.18
72.09,71.03,72.20,70.89
70.27,69.57,71.73,69.47
70.66,70.87,71.90,70.52
71.05,72.69,72.70,70.60
72.59,73.82,73.87,72.10
74.03,72.48,74.37,72.28
72.41,73.67,73.98,71.25
74.47,75.40,75.44,74.47
75.19,75.18,75.73,74.63
75.44,75.74,76.24,75.13
75.58,74.08,75.76,74.01
73.18,72.61,73.88,72.52
70.80,72.42,72.50,70.70
73.31,74.33,74.37,73.00
74.10,74.00,74.65,73.67
73.38,72.86,73.61,72.24
72.37,73.36,73.45,72.00
73.36,74.00,74.31,73.06
74.49,76.31,77.29,74.28
76.62,75.70,76.81,75.31
75.75,75.37,76.02,74.90
74.40,74.67,74.96,73.78
74.97,74.23,75.19,74.07
74.30,71.43,74.50,71.43
69.74,69.99,71.16,69.52
70.00,71.38,72.44,69.69
72.10,76.28,76.49,71.87
77.91,76.19,78.24,75.60
76.28,76.40,77.54,75.80
77.59,76.30,77.86,74.95
75.45,74.32,76.47,74.26
74.03,73.85,75.34,73.28
73.06,75.87,75.97,73.06
75.73,79.16,79.36,75.63
79.15,79.78,80.80,78.59
80.00,79.64,80.48,78.69
80.47,79.77,81.38,78.90
79.69,79.63,80.65,79.08
80.22,80.14,80.99,79.72
79.59,79.54,79.85,78.57
80.15,80.04,80.34,79.01
79.28,77.71,80.01,77.53
77.62,79.52,79.87,76.55
79.38,77.33,79.38,77.13
77.86,79.52,79.75,77.52
81.59,81.99,82.47,80.59
81.59,81.58,81.94,80.65
81.41,83.15,86.45,81.09
83.82,81.85,83.98,81.68
83.94,83.06,84.05,82.36
82.94,84.24,85.05,82.70
82.99,82.71,83.75,82.64
80.86,81.63,82.82,80.28
82.64,83.54,83.63,82.15
84.00,85.87,86.18,83.44
84.98,86.28,86.46,84.84
86.33,86.37,86.82,85.05
86.45,86.72,87.30,85.83
85.28,84.95,86.53,84.58
85.70,85.88,86.49,85.08
86.50,86.58,87.25,86.23
86.12,85.99,86.57,85.30
85.83,86.02,86.49,85.49
85.00,84.70,86.28,84.67
84.91,83.98,85.01,83.14
84.48,84.12,84.86,83.51
83.42,84.02,84.43,83.19
83.93,84.71,85.76,83.66
84.22,83.14,84.29,83.10
83.14,83.64,84.16,82.67
85.16,83.63,85.31,83.53
84.09,84.26,84.96,83.42
85.48,86.83,86.85,84.35
86.39,86.00,86.68,85.50
86.36,85.87,86.38,84.91
86.66,85.60,86.90,85.12
86.03,86.30,87.00,85.43
86.00,86.24,86.50,85.09
86.05,85.54,86.47,85.32
85.34,86.36,86.90,84.47
86.05,84.93,86.07,84.12
85.46,83.80,85.88,83.41
83.73,83.54,84.47,83.12
83.96,83.85,84.14,82.35
84.65,84.64,85.47,84.02
85.11,84.30,85.61,84.15
85.11,86.85,87.00,85.11
87.09,87.45,87.61,86.41
87.42,88.52,88.87,86.95
88.92,89.68,90.17,88.37
89.43,90.08,90.41,89.21
90.09,89.21,90.42,89.09
89.42,89.64,89.75,89.18
89.67,89.27,89.80,89.15
90.40,91.00,93.31,90.21
90.81,91.93,92.32,90.81
91.20,92.64,92.76,90.98
92.43,92.50,92.96,91.93
92.84,93.22,93.50,92.41
94.83,94.50,95.31,93.58
94.45,95.82,95.96,93.97
95.57,96.33,96.38,94.88
95.16,95.13,95.63,94.17
95.60,95.37,96.24,95.08
95.53,96.20,96.51,94.86
96.04,97.27,97.95,94.30
97.07,95.59,97.25,95.51
95.67,95.07,96.04,94.15
94.47,95.42,95.76,94.42
95.23,96.06,96.40,94.53
96.53,98.03,99.60,95.25
97.47,97.20,98.50,95.43
96.46,96.76,97.27,95.79
97.56,97.53,98.80,95.93
97.88,97.52,98.07,96.21
97.56,96.90,97.88,96.82
97.81,97.77,98.64,97.56
97.61,97.74,97.98,96.96
97.72,98.48,99.22,97.50
98.26,98.96,99.30,98.09
99.08,99.50,99.73,98.48
98.61,98.37,98.90,97.81
98.94,99.15,99.48,98.29
98.83,99.80,100.00,98.81
99.90,99.22,99.95,98.84
99.10,99.74,99.99,98.90
100.00,100.32,100.46,99.57
100.28,100.58,101.39,99.99
100.64,99.97,100.87,99.52
99.62,100.96,100.99,99.10
100.97,101.06,101.20,100.60
100.26,103.33,103.57,100.00
103.34,102.37,103.49,101.71
102.47,103.15,103.32,102.17
103.24,103.56,103.62,102.82
103.40,102.44,103.63,102.27
102.24,102.69,103.69,102.24
101.86,103.10,103.38,101.80
103.36,106.15,106.56,102.82
106.49,105.45,106.49,104.83
105.90,106.03,106.42,105.36
106.52,107.01,108.03,105.61
107.40,107.24,107.75,107.00
107.02,107.19,107.43,106.60
107.39,107.86,107.91,106.57
108.00,106.64,108.24,106.56
106.65,107.57,107.89,106.04
107.21,107.17,107.40,106.48
107.33,107.07,107.59,106.77
106.72,107.27,107.52,106.21
106.81,107.60,107.89,105.58
107.94,109.60,109.66,107.43
109.86,109.60,110.79,109.34
109.56,108.36,109.96,107.74
108.00,109.21,109.29,107.96
109.61,108.67,109.93,108.29
107.45,109.81,110.03,107.29
109.88,109.40,109.88,108.64
108.62,109.93,110.00,108.27
110.53,110.77,114.44,110.53
113.54,111.83,114.18,111.15
111.82,108.99,111.83,108.96
110.28,114.82,115.27,110.01
114.91,115.58,116.00,113.70
115.43,116.62,117.10,115.37
117.66,117.37,117.86,115.93
117.92,117.59,118.44,117.00
117.19,117.15,117.70,116.65
117.27,116.73,118.02,114.81
116.89,118.39,119.12,116.89
117.35,118.02,118.18,116.35
117.76,118.16,119.31,117.59
119.13,120.30,121.00,118.71
120.00,120.45,121.59,119.42
120.96,120.99,121.92,120.57
120.51,120.28,121.09,119.86
120.66,120.59,122.12,119.95
119.93,121.54,121.89,119.93
121.77,121.90,123.27,121.30
121.48,121.11,121.48,120.51
120.96,121.63,121.79,120.43
120.83,122.98,123.35,119.84
122.17,124.00,124.47,121.40
124.45,122.97,125.20,122.72
122.59,122.72,123.29,122.18
121.98,120.54,122.57,119.98
120.28,118.43,120.40,117.76
119.55,118.03,119.62,117.75
118.23,115.57,118.23,114.68
116.00,116.07,117.17,115.81
115.87,118.82,119.11,115.68
119.30,119.14,120.30,118.70
119.14,124.30,125.00,118.71
124.51,125.33,125.52,123.71
124.55,126.31,126.43,124.55
127.13,129.47,129.54,126.91
128.35,127.50,128.81,126.36
127.79,129.64,130.25,126.26
127.79,124.61,128.22,124.57
124.73,125.87,126.05,123.04
125.64,128.28,128.56,124.74
126.61,128.83,129.01,126.21
129.48,130.07,131.44,129.13
129.74,131.42,132.46,129.07
132.43,130.21,132.50,130.08
130.67,133.01,133.23,130.41
131.10,129.99,131.50,129.80
130.30,129.32,130.96,128.00
130.04,129.54,130.39,129.33
129.25,132.28,132.58,128.82
133.10,131.84,133.97,131.70
131.97,130.51,132.00,129.50
130.50,126.39,130.62,126.18
126.78,127.87,128.33,125.63
127.37,127.36,127.48,125.40
127.76,130.30,131.14,127.66
130.58,129.49,131.22,128.96
128.75,130.15,130.36,127.43
132.12,132.35,132.38,130.69
132.30,132.26,133.00,129.84
132.25,132.49,132.54,130.78
132.25,132.99,133.42,131.37
132.32,132.82,133.07,131.27
132.00,130.20,132.00,128.49
130.44,129.81,132.25,129.00
129.98,128.13,130.10,127.50
127.78,128.85,129.57,126.73
129.52,130.14,131.13,129.37
129.15,127.23,130.33,126.96
128.30,128.72,129.06,126.91
128.14,127.65,128.83,127.11
123.50,132.43,132.51,122.79
131.59,131.57,132.97,130.40
129.50,131.15,131.80,128.69
131.15,131.54,131.85,130.28
131.88,129.61,132.27,127.92
131.28,133.17,133.90,131.20
133.63,135.24,136.00,132.79
135.36,135.44,136.16,134.89
135.03,134.35,135.52,133.80
134.63,133.46,135.70,132.88
133.01,134.37,134.73,132.29
135.80,136.08,136.85,135.41
136.67,135.41,136.67,134.97
136.93,138.78,138.96,136.82
138.29,140.80,141.17,138.00
140.96,141.13,142.29,140.17
140.75,141.44,141.44,139.61
140.99,140.98,141.49,140.06
140.77,141.36,141.56,140.34
141.20,138.37,141.42,138.00
138.36,139.13,139.60,138.34
140.56,140.67,141.44,140.55
140.67,139.87,140.78,138.66
139.90,137.80,140.36,137.30
136.90,139.37,139.40,136.50
139.29,139.81,140.93,138.74
139.98,142.63,143.38,139.52
142.34,142.60,143.16,141.70
142.37,142.51,143.08,141.43
142.66,144.53,144.90,142.53
144.36,142.00,144.39,142.00
142.94,143.08,143.93,142.52
143.17,143.14,143.93,141.89
143.45,142.03,143.86,141.70
143.00,144.16,144.66,142.31
142.52,143.23,144.91,142.51
143.18,143.75,144.83,143.08
143.67,141.85,143.92,141.85
142.41,144.05,144.76,141.80
144.24,145.69,146.40,142.75
145.61,146.22,146.50,144.63
146.23,146.01,146.37,145.06
146.24,145.49,146.24,144.95
145.86,149.05,150.42,145.28
148.77,148.09,148.92,147.27
148.91,150.06,150.80,148.64
150.07,149.40,150.25,148.70
149.71,147.83,150.66,147.73
147.73,146.31,148.72,146.17
146.60,148.73,149.51,146.50
148.63,148.91,149.16,147.32
149.40,148.20,149.76,147.38
149.03,148.58,150.22,147.37
148.49,152.81,152.90,148.11
153.66,154.36,155.90,152.81
155.05,155.69,156.50,154.75
155.10,152.23,155.96,151.83
151.45,149.88,151.91,149.53
149.98,150.43,151.18,148.80
151.24,149.29,152.21,148.77
149.37,149.22,150.75,148.77
149.32,151.54,151.73,148.27
152.45,153.58,153.99,151.69
154.52,154.21,155.50,153.37
153.60,153.03,154.49,152.05
152.82,150.51,153.00,150.25
149.61,150.60,152.15,149.25
149.54,149.39,150.36,146.84
150.34,151.76,152.41,149.81
148.85,140.00,149.92,138.99
139.82,139.63,140.84,138.36
142.10,142.58,144.22,140.57
142.99,143.59,144.41,141.76
144.00,142.00,144.88,141.92
141.51,144.00,144.14,140.65
144.40,143.32,144.78,142.84
142.65,143.87,144.75,140.94
143.56,141.97,144.03,141.92
141.73,140.84,142.79,140.12
144.78,149.06,151.76,143.60
149.53,152.05,154.36,148.10
151.52,149.51,151.83,148.99
149.28,148.91,151.08,147.21
148.62,151.57,153.24,147.70
152.34,157.01,157.08,152.14
156.41,157.97,158.64,156.00
158.25,157.44,159.80,156.97
158.16,158.59,159.00,157.34
158.60,157.99,159.00,157.34
157.59,157.15,158.51,157.10
155.32,156.55,157.03,153.34
157.14,153.68,157.14,153.48
153.62,152.52,155.42,152.52
152.79,152.21,154.22,150.53
152.68,151.15,153.73,151.02
151.27,149.91,151.62,148.29
150.01,151.22,151.46,148.46
151.65,148.94,151.85,147.34
148.21,149.78,150.51,147.95
149.99,149.88,150.99,149.49
150.04,147.87,150.48,147.38
147.63,147.27,149.67,146.49
147.03,148.23,148.64,146.99
149.57,153.43,153.51,148.50
154.08,152.23,154.18,151.03
152.65,149.93,152.65,149.88
150.30,152.42,152.44,148.87
149.95,151.53,152.47,149.95
151.24,152.67,153.23,150.85
152.66,152.60,153.54,151.63
152.99,152.73,153.19,150.33
151.61,151.04,152.76,150.85
150.38,153.82,154.60,150.32
155.99,156.68,157.40,154.74
156.67,155.14,158.47,154.80
156.24,158.80,161.74,156.24
158.24,158.49,158.63,157.17
158.59,160.96,160.96,158.23
161.28,162.17,163.14,159.87
162.50,162.36,162.58,160.35
161.33,161.28,161.43,160.31
161.46,161.18,162.34,160.79
160.93,161.02,161.32,160.30
160.70,161.44,161.87,160.57
162.17,162.84,163.09,161.97
163.24,164.02,164.23,161.78
164.26,163.70,164.47,162.92
163.39,164.81,164.85,163.39
165.00,165.79,167.24,164.82
166.38,165.51,166.85,165.10
165.18,164.09,165.61,163.26
163.81,163.16,164.30,162.26
163.59,162.31,164.60,161.55
160.25,162.14,164.74,159.81
162.70,163.84,164.70,162.25
162.75,163.24,164.16,162.50
163.83,163.16,164.19,161.76
163.00,163.01,163.75,161.64
162.77,162.89,163.37,160.75
163.14,163.77,164.00,162.68
163.44,164.50,164.69,162.65
162.90,164.67,165.00,162.26
165.00,165.45,165.70,164.57
165.17,163.67,165.49,163.14
164.33,166.70,167.27,164.33
166.20,164.10,166.50,162.21
164.10,159.33,164.10,159.23
158.50,155.91,158.77,154.67
157.00,157.85,157.98,154.80
158.49,154.34,159.42,154.27
154.37,155.94,156.65,153.94
156.27,161.23,161.82,156.10
161.23,161.59,163.46,161.10
160.49,162.48,163.73,159.73
161.95,165.38,165.38,161.81
166.25,164.86,167.50,164.41
165.69,163.77,166.34,163.01
164.14,164.84,165.49,163.92
165.53,165.88,166.37,163.92
166.16,167.73,167.89,166.01
168.16,167.63,169.00,166.95
167.04,169.10,170.16,166.97
169.55,169.07,171.25,168.66
168.61,168.68,170.09,168.38
167.97,169.89,170.55,166.75
170.13,169.48,170.83,168.15
170.03,172.12,172.40,169.86
171.13,168.91,171.99,168.87
169.26,168.17,170.71,167.87
169.04,168.21,170.15,167.34
169.72,169.41,170.08,168.43
168.50,169.28,169.46,167.63
169.20,168.89,170.00,168.03
168.37,167.57,169.49,167.02
168.53,167.91,168.53,166.93
168.27,164.95,168.48,162.22
165.34,165.62,166.45,164.20
163.49,165.82,165.88,162.64
165.62,165.83,166.46,164.05
166.26,166.34,166.66,164.39
166.46,168.27,168.44,165.72
168.17,171.02,171.64,167.63
170.26,170.74,171.80,169.46
172.61,168.61,174.87,168.37
169.75,174.53,175.46,169.75
173.80,170.89,174.84,170.48
169.99,174.88,177.01,168.61
175.00,179.04,179.81,174.58
177.93,180.69,181.27,176.75
181.10,181.45,182.34,179.83
181.80,181.03,182.61,180.61
182.10,184.23,184.78,181.70
184.28,183.22,184.55,181.23
183.37,182.71,183.57,181.88
182.23,183.11,183.13,180.84
182.50,181.10,183.21,180.98
181.92,184.13,184.69,181.77
185.00,187.98,188.29,185.00
187.96,187.77,188.08,186.03
187.70,189.28,189.69,187.38
189.24,189.62,189.98,188.53
189.79,188.40,190.14,188.34
188.68,188.00,189.66,187.67
187.77,187.70,188.16,186.84
187.78,193.54,194.55,187.78
193.16,193.56,194.00,192.10
193.23,189.98,193.23,189.47
190.75,190.82,191.89,190.03
190.47,188.71,191.44,188.02
188.45,189.95,190.84,188.45
190.00,187.13,191.12,186.55
185.41,186.08,188.12,184.17
188.04,189.20,189.78,186.13
191.04,191.90,193.22,190.88
190.03,189.99,191.75,189.28
190.30,190.94,192.30,190.10
190.37,188.53,191.89,188.53
188.50,187.30,189.07,184.55
186.39,182.60,187.82,182.14
181.20,178.93,182.80,178.01
178.54,181.49,181.58,178.12
183.48,183.26,183.87,181.83
183.86,183.87,183.98,182.47
181.43,181.44,184.03,180.86
181.74,178.22,182.79,177.94
178.21,184.48,184.79,177.50
184.04,183.09,184.50,182.44
184.43,183.47,184.56,181.90
183.60,184.30,184.56,182.20
183.77,181.73,184.61,181.52
