DDP,DB Commodity Short ETN due April 1,NASDAQ
28.90,28.90,28.90,28.90
28.90,28.90,28.90,28.90
27.37,28.03,28.03,27.37
28.03,28.03,28.03,28.03
28.03,28.03,28.03,28.03
28.03,28.03,28.03,28.03
28.03,28.03,28.03,28.03
28.64,27.73,28.64,27.31
27.73,27.73,27.73,27.73
27.73,27.73,27.73,27.73
28.77,28.77,28.77,28.77
29.94,30.06,30.06,28.34
30.59,29.66,30.59,29.51
29.29,29.54,29.54,29.29
29.54,29.54,29.54,29.54
28.86,30.13,31.10,28.86
30.63,30.37,31.34,30.13
29.36,30.32,30.32,29.36
30.32,30.32,30.32,30.32
30.97,30.75,31.06,30.71
31.10,30.34,31.10,29.88
29.46,29.46,29.46,29.46
30.44,30.44,30.44,30.44
30.44,30.44,30.44,30.44
30.20,30.42,30.42,30.20
30.96,29.76,30.96,29.76
29.41,29.53,29.53,29.41
29.47,29.45,29.47,29.45
29.06,29.10,29.45,29.06
29.10,29.10,29.10,29.10
29.10,29.10,29.10,29.10
29.41,29.82,29.82,29.41
29.98,30.22,30.22,29.87
29.73,29.69,29.73,29.64
29.86,29.86,29.86,29.86
29.46,29.44,29.46,29.44
29.70,29.92,29.92,29.70
30.14,30.14,30.14,30.14
30.10,29.77,30.10,29.61
30.56,30.82,30.82,30.56
31.05,31.08,31.08,31.05
31.24,31.20,31.34,30.83
31.37,31.37,31.37,31.15
31.20,31.01,31.20,31.01
31.01,31.01,31.01,31.01
32.42,32.37,32.42,32.37
32.07,32.36,32.39,32.07
32.69,32.58,32.69,32.47
32.06,31.90,32.06,31.90
31.25,31.25,31.25,31.25
32.06,32.06,32.21,32.04
31.88,30.41,32.24,30.41
31.20,30.77,31.20,30.77
30.77,30.77,30.77,30.77
30.64,30.84,31.00,30.46
30.60,30.75,30.75,30.60
30.76,30.93,31.00,30.76
30.98,30.98,30.98,30.98
30.50,30.47,30.50,30.47
30.47,30.47,30.47,30.47
30.32,30.32,30.32,30.32
30.32,30.32,30.32,30.32
29.73,29.91,29.93,29.73
29.79,29.79,29.79,29.79
30.04,30.06,30.06,30.01
29.72,29.72,29.72,29.72
29.72,29.72,29.72,29.72
29.72,29.72,29.72,29.72
29.72,29.72,29.72,29.72
29.72,29.72,29.72,29.72
30.14,30.17,30.20,30.14
29.62,30.44,30.55,29.62
