GEOS,Geospace Technologies Corporation - Common Stock,NASDAQ
49.01,51.65,52.19,49.01
51.27,51.76,52.00,50.31
51.54,52.44,52.59,51.01
52.83,53.37,53.65,52.03
53.99,52.93,55.47,52.18
53.33,52.52,53.87,52.52
52.27,51.72,52.57,51.57
49.83,50.17,51.83,49.83
50.33,49.81,51.25,46.58
49.92,49.62,49.95,49.50
48.73,47.39,48.73,46.77
47.50,48.48,48.74,47.50
48.27,50.42,50.53,47.50
50.77,51.12,51.40,50.42
52.17,48.70,52.25,48.64
48.91,51.68,51.68,48.14
52.00,52.84,53.04,51.05
52.56,53.15,53.15,51.65
53.11,52.10,54.08,51.96
52.04,53.23,53.42,52.03
52.86,53.03,53.61,52.73
53.25,51.71,53.25,51.10
51.31,50.70,52.00,50.45
51.18,50.09,51.18,49.83
49.45,50.07,50.08,48.67
50.28,47.25,50.78,47.08
47.88,49.73,49.78,47.67
49.60,51.60,51.88,48.84
52.12,53.30,53.30,51.00
53.60,53.50,53.66,52.52
53.59,53.12,53.75,52.88
53.39,53.29,53.75,52.20
52.44,53.52,53.69,52.31
54.00,54.19,54.24,52.58
53.75,53.86,54.38,53.01
54.06,54.00,54.37,53.01
53.54,52.23,53.76,52.15
52.40,52.93,53.24,51.14
53.52,55.69,55.82,52.16
54.76,54.73,55.95,53.75
53.85,51.28,53.92,51.09
50.42,50.03,51.63,49.66
49.70,49.32,51.10,49.22
48.88,49.86,50.18,48.55
50.66,51.91,52.27,50.38
51.99,51.77,52.49,50.85
51.38,49.41,51.53,49.22
48.96,49.22,49.82,48.85
49.53,48.21,50.00,48.05
47.02,46.72,47.65,45.90
45.17,47.33,47.44,45.17
47.41,47.56,48.90,47.41
48.32,49.99,50.00,47.28
49.76,48.06,49.85,48.02
47.95,49.25,49.87,47.46
49.74,50.00,50.18,48.69
50.00,49.99,50.00,48.60
50.00,50.00,50.66,49.96
50.00,48.36,50.00,48.23
48.75,49.61,49.99,48.75
50.00,48.81,50.00,48.35
49.38,47.50,49.38,47.41
47.96,49.79,50.00,47.96
49.41,49.60,49.95,48.74
49.11,49.98,50.05,49.09
49.61,49.95,50.50,49.61
50.31,49.99,50.31,49.34
49.82,50.93,50.98,49.33
50.66,51.02,52.00,50.53
50.94,51.17,51.71,50.94
50.59,51.05,51.87,50.59
51.95,54.02,54.47,51.95
54.30,52.59,54.30,51.61
52.47,53.80,53.86,51.26
53.57,55.90,55.99,53.35
56.22,57.88,58.40,55.82
58.41,59.49,59.49,58.00
59.21,59.05,59.35,58.38
59.54,59.98,61.00,59.50
59.66,60.06,60.88,59.26
60.70,59.15,60.70,58.97
59.49,60.33,60.61,59.30
60.43,61.18,61.90,60.28
60.66,60.99,61.24,59.35
60.91,62.45,63.13,60.09
62.60,63.70,63.99,62.44
64.70,65.40,65.99,64.37
65.76,66.29,67.30,65.22
65.18,63.44,66.35,62.96
63.52,64.57,65.85,63.45
65.13,62.43,65.13,61.08
61.16,61.86,62.89,60.76
62.57,62.40,63.10,60.66
62.29,62.53,62.70,61.40
61.97,62.92,63.24,61.02
63.64,62.81,63.64,62.13
62.57,60.61,63.10,58.43
61.00,61.74,62.46,61.00
62.28,63.00,63.14,62.28
63.35,63.71,63.71,62.56
65.09,65.81,65.93,61.84
65.75,65.45,66.30,64.04
64.91,66.68,66.70,64.91
66.34,65.43,66.95,65.01
65.36,67.55,67.78,63.06
66.50,66.85,68.55,66.22
66.00,62.78,66.77,61.87
63.52,63.33,63.90,63.06
62.06,63.02,64.03,61.23
62.28,63.50,64.75,62.28
64.24,65.39,65.55,62.75
65.41,66.36,66.99,63.59
66.32,67.98,68.20,65.83
67.02,66.02,67.33,65.99
65.50,70.71,71.17,65.50
70.25,70.81,71.77,69.50
70.28,75.86,77.44,70.28
74.89,75.86,76.50,74.25
76.81,77.96,78.18,75.70
75.71,84.57,84.78,75.71
84.00,84.00,85.33,82.34
83.39,83.59,83.72,81.95
83.70,86.28,87.23,83.00
86.76,86.15,88.98,85.69
86.57,85.37,86.74,85.19
86.86,90.62,93.74,86.75
91.75,91.63,93.32,90.00
92.20,94.16,96.62,91.68
94.40,93.69,95.66,93.62
93.73,94.80,95.69,93.00
94.80,93.51,95.31,93.28
93.51,93.50,94.23,92.53
93.50,96.85,97.52,93.00
97.23,96.64,98.27,95.91
96.28,95.60,96.86,94.24
95.15,95.92,96.10,92.88
95.80,94.73,95.80,93.44
95.01,95.15,96.00,93.45
94.02,94.77,95.37,94.02
94.76,99.11,100.30,93.00
100.62,95.29,102.43,93.90
95.93,95.94,97.15,93.25
95.47,96.94,97.51,94.50
96.90,94.81,96.94,94.35
94.72,92.09,95.25,90.50
90.89,90.97,92.00,88.30
90.76,92.89,93.19,90.21
94.00,94.90,95.93,91.23
95.02,92.36,95.02,92.01
92.06,91.13,94.31,91.00
90.90,90.39,91.64,89.80
89.68,88.38,90.33,88.16
88.00,86.48,88.23,84.33
86.79,89.99,91.82,85.02
89.83,94.71,95.55,88.50
94.13,94.17,94.74,92.21
95.34,96.25,97.89,94.65
97.05,96.95,97.80,95.63
97.00,92.50,97.43,91.45
93.14,95.83,96.79,92.02
96.87,97.99,98.00,95.55
97.78,97.63,98.37,97.17
98.00,98.20,98.45,96.74
100.40,97.81,102.82,95.95
101.92,104.07,104.87,101.92
104.99,104.50,104.99,103.15
103.72,103.20,103.84,101.60
102.69,104.00,104.20,102.05
103.35,105.34,105.45,103.00
106.08,107.00,107.15,105.50
106.90,106.20,106.99,105.30
106.45,107.91,108.74,105.32
106.88,107.72,108.05,106.68
107.78,108.87,108.88,107.00
108.00,108.33,109.99,108.00
108.87,107.15,109.00,106.78
107.74,103.66,107.74,102.53
103.68,104.98,105.66,103.11
106.17,101.68,106.17,99.30
101.73,96.70,101.81,94.70
96.44,99.67,100.00,94.99
100.10,101.19,101.58,98.54
100.20,100.95,101.37,98.09
101.99,99.00,101.99,96.14
99.26,99.80,100.90,97.87
99.96,99.18,100.00,98.84
97.40,92.91,97.41,92.59
92.17,94.84,95.00,88.75
93.30,92.90,93.90,91.05
88.39,90.93,91.46,88.15
90.69,90.14,92.17,88.57
92.35,91.86,92.37,90.00
93.09,93.91,94.55,91.10
95.80,95.61,96.52,95.51
94.68,94.21,95.89,93.74
93.70,97.45,98.00,92.44
98.18,98.76,99.94,97.82
99.41,97.07,99.98,96.54
97.16,96.03,98.94,95.96
96.00,98.28,98.33,95.60
99.07,99.48,99.94,98.55
99.27,98.58,99.61,97.19
99.86,99.48,99.97,98.70
99.90,99.36,100.43,98.95
98.91,99.35,100.63,98.59
99.85,95.88,99.94,95.80
95.94,95.70,96.25,93.01
96.44,95.37,97.24,93.94
95.06,95.72,96.81,93.71
94.82,92.11,96.10,91.25
92.92,91.49,94.18,89.45
90.52,94.56,94.82,90.08
94.35,95.11,95.77,93.30
92.98,90.49,92.98,89.71
90.25,90.05,91.87,88.62
91.73,96.46,96.56,91.03
96.90,97.74,98.19,96.46
97.75,95.95,97.95,94.45
95.36,92.62,97.54,92.15
92.67,94.11,94.47,90.58
93.87,92.61,95.00,92.05
93.02,93.28,94.52,92.40
93.61,91.02,93.61,91.01
91.00,86.61,91.62,86.24
86.60,84.91,87.55,83.53
82.51,87.05,89.98,82.50
96.50,95.18,100.00,92.00
95.70,93.58,96.53,92.70
94.28,94.89,95.31,93.27
94.18,88.01,94.42,86.87
87.43,91.02,92.60,85.80
90.69,87.65,91.29,86.41
86.89,84.33,89.59,84.13
83.68,84.53,85.09,82.01
84.74,87.41,88.15,83.25
87.97,88.49,89.00,86.03
88.01,89.37,89.58,87.82
87.22,85.81,88.18,85.41
86.48,84.48,86.48,83.43
84.12,87.11,87.88,82.79
86.87,87.95,88.23,85.10
88.45,87.07,88.75,86.15
88.35,90.80,91.11,86.09
91.38,89.34,94.11,88.01
89.30,87.53,90.89,86.94
85.80,88.64,89.22,85.01
88.40,89.51,91.21,86.68
90.42,92.00,92.14,89.49
92.00,91.72,92.84,91.02
91.90,91.11,92.43,90.26
94.49,94.83,95.90,94.24
95.44,95.94,96.25,94.01
96.84,97.90,98.86,96.84
96.31,94.82,97.25,93.51
94.35,96.96,97.00,93.39
97.55,93.10,98.95,93.00
92.79,94.77,96.02,91.82
95.03,95.58,96.37,93.42
95.00,95.38,97.25,95.00
93.97,96.51,96.80,92.75
96.65,96.15,97.00,94.98
96.09,96.36,96.93,94.98
97.08,99.78,100.00,96.40
100.00,99.51,100.52,98.36
99.96,100.00,100.47,99.07
100.00,101.24,101.31,99.50
100.01,104.97,105.00,99.06
104.86,105.01,105.65,102.58
106.00,105.00,106.00,102.34
103.00,106.55,106.87,103.00
105.00,103.74,105.78,101.42
102.65,102.10,106.45,101.37
102.96,104.85,107.25,102.95
104.85,101.40,106.10,101.14
102.19,101.87,102.56,100.68
101.61,100.32,102.03,99.77
101.45,102.53,102.89,100.66
102.67,101.19,102.76,99.45
101.13,102.83,102.90,99.33
102.85,106.52,106.85,99.81
105.00,106.51,107.00,103.70
106.24,103.90,106.24,103.81
103.47,101.73,104.80,100.00
101.50,100.00,104.12,99.95
98.26,101.43,102.17,96.86
103.76,101.14,103.78,100.02
99.97,98.00,104.98,97.68
98.20,94.20,99.31,93.69
92.97,85.22,93.84,84.41
82.00,79.95,85.51,72.63
76.33,68.00,76.54,68.00
69.88,70.33,73.84,65.85
68.92,66.39,69.35,65.89
66.79,74.35,75.80,66.76
75.21,74.23,77.20,72.77
75.39,77.42,78.34,75.39
76.16,74.64,76.93,73.09
75.37,75.24,76.32,74.33
72.75,68.73,72.96,68.21
67.19,65.33,69.08,64.72
67.76,63.15,67.76,61.82
63.75,69.24,69.70,62.67
69.40,70.55,70.88,66.81
69.55,66.35,71.59,65.31
65.48,68.28,68.55,64.50
67.76,67.58,69.10,66.02
66.67,71.32,72.31,65.79
72.12,73.70,75.35,71.52
73.69,70.73,75.50,70.12
68.55,65.18,69.26,64.63
62.08,64.48,64.90,60.93
65.98,68.81,69.77,65.41
68.51,66.08,69.74,65.64
64.95,63.66,66.89,62.64
62.24,65.33,65.66,62.24
65.93,66.54,67.71,65.17
67.67,66.14,67.74,64.52
67.44,66.61,67.44,64.72
67.09,64.85,67.54,63.75
63.14,64.93,66.13,61.77
65.65,63.65,66.91,63.11
63.36,60.06,64.59,59.61
57.44,60.18,60.89,56.67
59.99,59.04,61.80,58.15
59.46,59.76,60.28,56.75
61.67,62.10,64.18,60.48
62.26,57.66,62.26,57.58
59.93,58.59,59.93,55.08
57.19,56.29,58.69,55.85
55.30,52.50,57.31,52.04
51.74,59.94,59.94,51.74
59.62,62.83,63.34,57.50
62.80,64.76,66.21,62.39
65.15,63.99,65.79,62.54
65.63,67.33,67.63,65.07
66.67,66.62,67.54,66.12
67.50,66.75,67.50,66.25
66.07,66.83,67.51,65.28
68.21,68.30,69.39,67.19
67.42,66.24,67.77,65.90
66.39,68.94,69.54,64.69
68.37,67.17,70.00,66.05
66.99,67.94,68.16,63.64
69.37,70.23,70.52,68.30
70.28,73.24,73.65,70.12
72.59,66.80,72.59,66.63
68.18,71.01,71.17,64.66
74.32,78.50,82.31,72.95
76.41,82.78,83.98,76.41
80.00,78.58,82.03,78.21
74.96,79.51,81.58,74.96
80.74,79.05,81.33,77.80
80.01,82.56,82.97,77.67
81.87,83.49,85.13,81.43
82.95,80.53,83.45,78.34
81.56,82.10,82.33,77.53
79.69,78.60,80.85,78.18
80.01,80.74,81.52,79.02
80.35,82.30,82.73,80.35
83.09,85.60,85.94,82.42
84.36,84.03,86.84,82.93
82.84,84.91,86.68,82.84
85.73,83.36,86.28,82.62
84.00,84.18,85.92,83.63
82.05,82.46,83.81,81.72
82.41,82.01,82.88,81.27
81.32,78.10,81.86,78.00
77.90,75.40,77.90,74.21
79.52,88.21,90.10,79.52
88.65,85.89,90.87,85.18
91.25,90.98,91.76,88.77
91.70,87.05,91.70,86.81
89.00,86.44,89.00,85.53
88.52,87.22,88.78,85.01
87.50,86.75,87.62,82.95
86.75,88.48,88.61,85.70
87.85,87.83,89.26,86.91
82.90,80.90,85.75,77.88
80.15,80.13,80.95,77.51
80.74,77.40,80.74,77.00
76.55,74.51,78.82,74.50
75.89,72.50,76.19,70.00
73.00,71.10,73.65,70.10
71.80,70.74,73.02,70.22
72.76,72.58,73.10,71.25
72.00,73.12,73.29,70.57
73.10,73.06,74.64,72.51
73.01,74.24,74.31,72.88
73.83,74.95,75.26,73.33
74.73,75.24,75.46,73.12
75.26,77.99,78.36,75.26
78.01,77.33,78.52,76.88
79.32,78.81,80.04,78.05
78.41,77.14,78.51,76.28
76.58,78.47,79.10,75.92
78.56,79.03,79.59,77.82
79.42,78.55,79.52,78.04
79.81,81.70,81.75,79.40
81.21,80.06,81.21,79.72
80.03,82.66,83.27,80.03
81.65,82.81,82.81,81.19
83.40,85.39,86.32,82.66
85.20,87.72,88.23,85.20
88.29,87.84,89.95,86.95
87.24,86.76,88.59,86.59
86.82,86.98,87.63,86.13
86.41,89.00,89.77,86.18
88.52,88.81,89.73,87.66
89.58,84.78,89.58,84.28
84.73,85.19,86.02,83.93
84.38,86.14,86.34,83.70
86.96,88.01,89.15,85.49
88.54,89.10,89.87,87.58
89.59,91.46,91.46,88.37
95.50,101.22,104.30,95.25
100.12,107.80,107.99,100.12
107.08,113.06,114.98,106.54
110.13,108.82,112.06,107.46
109.24,109.16,109.58,106.77
107.84,107.89,109.88,106.22
106.90,104.84,108.96,103.56
103.95,101.65,104.26,99.81
102.01,101.19,105.00,99.25
100.49,106.50,107.00,100.45
106.52,111.95,112.80,106.52
111.74,112.49,112.70,109.68
112.01,114.55,115.00,112.01
114.36,115.23,115.25,112.86
115.57,113.70,115.99,111.88
112.73,112.27,113.22,110.00
112.11,111.86,113.79,110.11
111.56,110.05,113.49,110.05
110.23,112.44,113.31,110.23
112.58,109.04,112.64,108.45
108.45,108.10,111.35,105.54
106.32,107.00,107.62,105.41
107.42,107.94,108.20,105.75
108.69,110.03,112.07,107.26
109.81,110.15,111.47,108.78
109.96,108.21,109.96,107.66
108.87,108.40,108.87,105.61
108.60,110.86,111.85,108.60
110.92,110.30,111.00,108.29
110.12,111.49,112.50,108.64
110.87,109.87,112.10,108.88
108.46,109.00,109.18,106.24
109.42,105.96,109.42,105.96
105.47,102.97,106.05,101.09
103.03,106.49,107.11,101.03
107.97,110.07,110.40,106.88
109.57,109.57,110.27,108.35
109.32,108.31,109.63,106.63
107.00,105.92,108.15,104.46
106.97,105.33,107.35,105.30
105.00,107.04,108.54,104.85
106.79,106.56,107.53,105.67
105.03,104.02,106.81,103.50
104.49,104.70,105.09,103.57
102.09,106.25,107.87,101.02
106.85,101.79,107.40,101.75
103.78,103.51,104.70,102.00
103.35,104.68,106.33,103.35
101.43,101.82,103.10,101.07
101.83,101.16,104.21,101.00
101.76,102.92,103.65,101.30
102.44,101.95,102.85,101.14
102.29,102.29,104.00,101.65
104.15,106.76,108.49,103.83
104.66,103.33,104.79,102.45
104.04,103.25,104.88,102.59
105.32,106.04,107.55,104.23
105.99,106.15,107.17,105.25
106.78,115.40,115.90,106.09
114.86,115.22,116.73,111.99
115.01,113.79,117.83,113.10
113.43,113.88,114.50,112.00
114.12,112.15,114.90,111.12
112.63,103.94,113.93,102.97
104.07,103.63,105.09,101.57
102.79,111.35,112.73,101.59
109.41,107.89,111.04,107.89
108.74,107.47,109.24,106.98
107.47,105.72,107.91,104.59
103.92,102.00,104.32,101.65
102.58,102.66,105.74,101.08
103.59,99.47,103.62,98.93
100.19,96.10,100.45,95.32
95.23,95.45,97.88,95.22
95.78,100.44,100.76,94.31
100.35,97.44,100.49,96.65
96.06,98.83,99.11,95.49
96.84,96.14,98.06,95.37
96.45,96.28,96.56,94.10
97.00,98.56,98.87,95.81
96.77,94.95,96.77,93.99
94.75,92.79,95.00,91.93
90.39,86.90,91.93,86.66
87.65,84.15,89.73,83.00
83.92,87.96,88.08,83.92
89.17,88.17,90.10,87.38
89.08,86.32,90.52,85.83
86.08,85.81,87.73,84.62
87.16,86.20,88.83,85.25
86.80,90.74,91.45,86.49
90.01,87.52,91.25,86.48
88.08,88.70,89.91,86.75
88.31,92.47,93.46,88.31
92.22,88.53,92.22,86.96
88.46,88.44,89.12,87.38
88.59,87.90,88.71,87.14
88.16,83.04,88.16,82.54
83.28,83.70,87.34,82.38
82.74,81.48,83.01,80.82
82.02,82.00,82.32,80.62
81.95,82.65,83.22,81.55
82.27,83.22,84.08,80.63
85.36,89.99,90.00,84.66
89.81,88.35,90.46,87.34
88.85,88.43,89.14,86.57
88.06,86.89,88.14,86.40
85.80,84.99,86.61,84.15
84.46,87.65,88.29,84.16
88.16,86.02,88.92,86.02
86.47,88.24,88.46,85.25
87.53,89.62,90.01,85.96
90.00,89.94,90.79,87.86
89.66,91.58,92.55,88.26
92.29,95.45,95.64,90.24
95.23,96.84,98.53,95.23
97.83,98.52,99.99,96.51
97.94,97.88,98.21,96.63
95.27,96.92,97.35,94.92
96.56,94.38,97.19,93.57
95.09,95.02,96.27,94.98
97.24,95.04,97.82,93.19
95.16,99.66,100.00,94.79
99.32,97.63,99.98,97.60
96.96,94.78,97.77,93.94
95.35,96.66,98.58,93.29
95.64,91.50,95.64,91.26
88.50,94.73,97.98,83.74
94.96,97.50,98.98,93.53
97.47,99.94,99.99,97.46
98.90,96.51,99.95,96.09
96.17,97.94,99.26,95.17
97.18,97.79,98.86,93.85
97.18,98.30,99.71,95.43
98.66,96.08,98.99,95.67
96.34,96.80,97.74,96.34
96.58,98.67,99.00,95.13
98.12,97.46,98.50,96.88
97.44,96.85,97.44,95.69
96.93,92.99,97.09,90.02
93.27,95.00,96.25,91.80
95.29,92.50,95.29,91.78
92.02,92.94,93.12,90.30
93.11,91.99,93.54,91.13
91.95,91.56,92.34,90.15
90.78,88.99,91.90,88.55
88.42,85.98,88.93,85.26
86.49,91.59,92.06,84.74
91.16,93.79,94.58,89.95
100.80,106.66,109.08,100.45
106.99,108.30,109.92,105.05
108.76,110.00,111.02,108.68
109.53,109.92,110.48,106.03
109.85,110.14,112.88,109.01
110.91,114.57,115.91,109.96
113.91,114.18,115.75,112.11
114.22,115.89,115.89,112.49
115.16,113.97,115.92,113.02
115.54,114.42,115.54,110.81
113.93,115.93,115.98,111.42
114.23,114.92,115.96,114.06
116.91,116.30,117.00,114.83
115.66,117.29,117.52,115.45
117.17,116.45,120.63,116.00
116.48,115.00,119.35,114.06
115.36,122.18,123.50,115.36
121.87,122.41,122.83,119.60
128.00,129.98,130.00,114.00
129.45,127.67,129.45,115.02
125.25,123.68,128.71,123.01
122.21,126.69,129.94,122.21
125.14,121.99,126.98,119.07
124.47,122.93,124.47,119.09
123.12,123.02,124.66,122.24
123.00,124.46,124.87,122.18
124.35,133.85,134.37,124.35
133.17,137.43,137.70,132.70
137.00,140.48,140.48,137.00
140.50,139.85,141.83,139.18
139.85,140.22,140.23,138.09
140.00,139.74,141.00,138.65
70.00,66.57,70.16,62.88
65.65,65.93,68.89,65.54
65.89,65.73,66.96,64.07
66.50,63.46,66.50,63.05
64.37,64.39,65.17,63.18
64.11,65.37,66.05,63.94
66.01,64.73,66.01,64.03
65.79,66.21,66.99,64.62
66.36,64.28,66.36,64.00
64.83,69.47,69.84,64.28
69.47,69.84,70.32,69.04
69.76,66.44,69.76,65.57
66.19,65.27,67.84,65.27
65.18,65.18,66.29,64.74
65.15,66.60,67.56,65.15
65.78,65.22,67.77,64.85
65.16,65.83,67.81,65.16
66.44,66.93,68.20,65.60
66.87,72.14,72.97,66.78
73.91,74.72,75.48,72.50
75.19,73.20,75.44,72.69
73.60,72.54,74.50,71.57
73.42,72.69,73.42,71.86
72.75,73.08,73.52,71.32
72.81,74.89,75.50,72.56
75.00,75.12,75.37,72.01
75.25,75.31,76.87,73.06
75.30,76.17,76.24,74.74
77.50,77.24,79.11,75.55
77.53,76.39,77.97,75.75
77.20,76.50,77.20,75.55
76.64,77.22,78.14,76.60
77.81,78.19,78.90,77.38
78.79,78.72,78.93,77.35
79.00,79.92,80.33,78.65
70.90,75.76,77.49,70.06
76.92,77.01,78.24,76.29
77.29,78.74,78.98,77.07
78.56,79.84,80.00,78.39
80.00,84.88,85.40,79.97
84.79,85.13,85.33,83.44
84.73,87.00,87.00,84.57
86.26,87.04,87.30,84.89
86.91,84.95,87.02,84.50
85.69,85.24,87.14,84.40
85.07,85.08,85.11,82.38
84.42,87.16,87.74,84.31
87.52,88.87,89.13,86.64
90.05,89.84,91.33,88.72
89.85,89.76,91.39,89.28
90.00,90.15,90.66,89.63
90.30,91.67,92.13,90.15
91.99,91.67,92.00,90.83
92.29,92.57,93.28,90.93
93.43,93.11,93.53,91.80
93.82,91.60,93.85,91.26
91.44,89.02,91.44,88.56
89.00,92.13,92.50,89.00
92.31,90.31,92.56,90.10
90.19,91.22,91.99,90.06
90.94,91.97,92.11,90.08
92.29,91.61,92.29,90.75
91.99,91.48,92.22,91.02
91.90,92.50,94.25,91.48
93.00,93.31,93.93,92.06
93.86,91.37,94.06,90.80
91.00,91.00,91.66,90.16
91.19,90.16,93.86,89.74
90.21,90.16,91.00,82.28
92.07,91.89,92.50,89.49
92.20,92.91,93.87,90.60
93.75,93.08,93.83,89.35
92.82,93.82,94.94,91.74
99.20,110.20,113.73,98.13
111.33,109.49,111.33,107.28
109.78,107.34,109.78,105.33
107.65,105.89,107.81,105.50
106.23,104.99,106.61,104.78
103.84,105.29,106.49,103.31
105.63,103.35,105.63,102.60
104.44,109.74,111.69,104.44
110.00,106.49,111.16,106.32
105.27,100.40,106.36,100.02
101.03,101.72,103.07,100.22
103.41,98.02,103.56,98.00
98.31,96.75,99.73,96.05
96.75,100.04,101.00,96.75
99.92,97.32,100.23,96.57
96.45,102.44,103.00,96.45
102.50,104.23,104.98,101.50
105.54,105.57,107.39,105.09
106.48,108.43,108.98,104.62
108.21,107.50,108.38,106.36
108.88,109.50,109.62,105.65
110.22,110.88,111.70,109.00
110.88,109.32,113.11,107.57
108.89,108.25,109.19,105.65
108.02,108.57,109.07,106.30
108.83,107.16,109.19,106.53
107.10,107.49,108.66,104.64
108.35,106.48,110.96,104.94
107.18,105.82,108.70,105.80
106.07,108.54,111.36,105.74
109.21,109.83,110.67,108.22
109.71,105.86,110.33,105.01
105.88,107.73,108.00,105.88
107.32,104.94,107.32,104.58
105.55,107.92,108.74,104.45
108.11,101.04,108.86,99.63
100.57,98.28,102.40,97.66
97.90,91.25,98.07,87.32
91.40,91.54,93.19,90.05
89.85,91.13,92.34,89.85
92.85,93.02,94.39,92.01
94.13,93.68,94.89,92.02
93.12,94.47,94.98,93.10
94.03,95.51,95.79,93.63
95.38,94.93,95.75,93.40
93.86,89.25,94.50,88.45
90.21,88.85,92.35,88.69
88.00,84.30,88.00,83.07
84.85,84.26,86.42,83.32
85.00,82.32,85.49,81.03
82.15,82.60,83.17,80.83
83.14,84.20,84.34,82.67
84.79,85.84,88.50,84.17
88.49,84.81,88.49,83.52
84.49,84.84,85.00,84.03
84.47,84.32,85.48,84.01
84.38,84.37,85.09,83.55
84.25,79.87,84.25,79.27
80.41,81.56,82.16,79.66
68.97,92.17,92.19,68.50
92.02,83.92,93.50,83.34
83.88,86.99,88.07,83.86
86.51,86.16,86.51,84.90
85.55,85.54,86.92,85.15
85.89,85.52,85.89,84.44
85.65,85.54,86.15,84.90
85.90,87.75,87.75,85.10
87.92,87.60,88.58,87.31
88.00,87.57,88.20,86.76
87.65,87.70,88.00,87.30
86.88,89.24,89.86,86.61
89.06,88.68,90.74,88.37
87.90,85.70,89.48,85.30
84.44,85.35,86.01,82.41
85.01,87.91,88.92,84.60
89.40,89.98,90.90,88.60
88.94,87.40,89.49,85.51
87.39,87.70,87.80,85.92
86.72,86.86,88.58,86.61
86.78,85.98,86.93,83.43
85.66,82.59,86.37,81.74
82.00,79.74,82.51,78.95
79.44,79.00,80.06,78.00
79.21,81.37,81.94,79.21
78.73,73.22,79.61,72.87
72.99,74.32,74.81,69.78
74.76,72.74,75.39,72.51
72.71,72.14,72.98,71.30
71.83,71.56,72.00,70.85
72.59,72.61,73.13,71.92
72.77,74.76,74.77,72.77
74.92,72.70,75.56,72.53
