DRWI,DragonWave Inc - Common Shares,NASDAQ
135.25,140.25,140.25,133.75
115.50,117.50,122.50,110.00
120.00,133.25,137.75,119.50
132.75,136.00,136.25,130.50
137.50,141.00,141.25,132.00
139.75,146.75,147.75,139.00
147.50,137.50,147.50,136.25
135.75,130.75,135.75,129.25
130.75,130.75,134.50,129.12
130.75,133.75,134.25,125.75
135.00,132.00,138.50,131.25
135.75,140.50,141.00,135.75
142.00,141.25,142.75,139.25
142.00,156.25,157.75,142.00
162.50,158.50,167.25,157.25
158.50,152.25,158.50,152.00
154.25,150.75,157.00,148.75
149.75,152.25,152.75,146.50
157.00,155.00,159.50,153.00
155.00,165.00,166.00,153.75
166.00,164.75,170.50,164.00
164.00,150.50,164.00,145.50
150.00,150.00,153.75,143.75
150.75,151.00,152.00,149.00
147.50,148.50,149.75,145.00
145.25,142.50,147.50,141.25
140.25,143.00,145.00,136.25
143.00,144.50,145.25,141.50
144.25,150.00,151.00,143.00
151.25,153.50,156.33,150.00
157.00,155.00,157.00,152.50
155.00,151.00,155.00,150.00
151.00,151.50,152.75,150.00
152.75,150.75,152.75,149.00
147.75,149.25,150.50,147.50
148.50,148.88,150.00,146.25
150.25,149.25,150.50,148.25
147.50,150.00,150.50,147.50
150.50,145.75,151.50,145.50
144.50,146.50,149.25,142.50
146.50,153.50,154.50,146.50
154.00,158.00,158.00,152.25
159.50,162.65,164.00,158.50
160.75,160.50,163.00,158.50
159.75,164.75,165.00,159.75
166.75,177.25,184.00,166.25
177.00,183.50,186.48,177.00
187.50,183.00,190.75,178.75
182.50,176.00,184.00,174.75
174.00,172.75,175.00,170.00
171.25,171.75,178.00,171.00
174.00,168.00,174.00,166.75
168.75,170.50,174.25,168.00
173.50,173.50,174.75,171.50
173.75,170.50,174.00,168.00
168.00,168.50,171.25,168.00
170.75,172.50,173.50,169.00
172.75,180.75,181.00,171.00
180.50,178.25,181.30,176.00
177.25,181.25,184.75,177.25
184.75,177.00,184.75,172.75
171.25,166.75,173.25,166.75
164.00,159.25,164.50,152.50
160.00,156.50,160.00,149.50
157.50,158.50,171.75,155.54
160.50,166.50,166.50,157.75
176.25,174.00,179.00,170.75
178.25,175.75,178.25,174.75
177.00,175.50,177.00,173.75
178.75,197.62,200.00,177.50
198.75,199.00,201.50,190.60
200.00,201.00,205.50,199.00
205.00,212.25,215.75,201.50
210.00,202.25,211.25,200.25
208.75,208.75,214.25,206.75
210.25,205.50,211.75,200.50
205.75,206.50,209.50,202.79
211.25,207.25,211.75,207.00
204.75,202.25,205.75,201.50
200.00,204.25,204.25,197.00
205.00,204.75,207.12,201.75
204.50,203.75,204.50,199.50
204.00,201.50,205.00,199.75
203.50,212.75,214.50,196.75
214.75,216.75,222.00,209.88
217.50,217.25,220.25,212.50
199.25,192.25,207.25,187.00
180.00,175.75,180.50,173.25
176.50,171.25,176.50,170.25
170.75,177.50,179.75,168.25
177.00,180.00,181.38,173.25
180.50,178.00,183.50,175.50
180.25,179.50,183.25,176.00
177.50,176.19,179.50,173.75
176.50,174.25,177.75,172.50
176.75,180.00,181.25,175.00
180.00,178.25,180.00,176.00
177.00,177.00,178.50,175.00
176.25,175.50,177.50,174.50
176.25,176.50,178.50,175.00
175.00,175.75,177.25,175.00
175.25,177.00,177.25,175.00
177.00,189.00,191.00,175.50
190.50,193.50,195.50,186.00
198.00,200.50,210.00,197.25
200.75,198.50,200.75,196.00
197.75,202.50,204.50,194.25
204.00,203.00,207.50,200.75
203.00,201.50,204.75,199.75
206.25,209.25,210.75,202.25
213.00,224.00,229.00,210.50
224.50,228.50,230.00,222.50
229.75,223.00,230.00,219.75
220.50,219.00,223.50,214.25
218.50,217.25,220.75,215.75
218.25,214.25,218.50,213.00
214.50,223.25,225.75,214.50
223.00,220.75,225.00,218.75
222.00,215.75,222.00,214.75
216.00,215.25,218.50,214.25
215.00,211.00,215.00,209.50
211.25,203.75,211.75,202.25
205.00,205.00,208.50,203.25
205.75,211.00,212.50,203.75
210.25,211.00,211.75,208.68
213.25,205.00,215.00,204.50
209.50,201.50,209.50,201.25
203.00,207.50,209.75,202.75
209.25,222.50,223.25,208.75
224.50,215.50,224.75,214.75
217.00,221.00,224.50,215.00
222.75,221.50,224.50,217.00
223.75,216.50,224.74,215.75
186.25,181.25,187.50,177.50
183.00,190.75,194.50,181.25
193.75,193.00,194.75,187.00
192.75,189.50,192.75,187.50
187.50,182.25,187.50,180.00
182.75,182.75,185.00,181.50
183.25,185.75,187.25,182.00
184.50,180.62,186.25,179.75
180.75,179.75,183.00,178.75
180.50,183.00,183.25,179.50
183.25,179.75,183.50,177.00
179.75,178.00,181.00,175.25
179.50,181.25,183.25,176.00
181.25,180.75,182.50,179.72
180.25,178.50,181.75,178.00
179.50,203.00,203.75,179.25
208.00,206.50,211.75,202.50
207.50,206.02,209.50,205.00
207.25,202.75,207.25,200.50
201.00,201.75,202.75,198.75
201.50,203.00,203.00,200.00
202.50,199.50,202.50,197.50
200.00,196.75,200.00,196.75
197.75,195.75,199.75,195.00
195.75,194.25,198.00,194.25
194.25,190.00,198.00,190.00
187.50,185.75,190.25,184.75
186.25,182.00,187.50,180.25
182.00,179.25,186.75,178.75
183.50,199.00,200.00,182.50
200.50,195.00,200.50,190.50
195.75,189.50,195.75,189.00
190.00,194.25,194.75,189.25
198.25,199.50,201.25,196.75
200.25,194.50,200.75,191.00
195.75,189.50,196.25,187.50
190.00,193.75,197.00,187.25
193.75,194.25,197.00,192.25
193.50,186.25,193.50,184.50
185.00,182.25,187.25,182.25
182.00,178.00,182.75,176.75
174.75,180.25,182.00,170.50
181.25,176.50,182.00,173.25
179.25,178.50,182.25,175.25
180.50,177.00,180.72,176.25
179.75,178.00,180.00,176.00
178.00,185.25,185.50,176.50
185.50,185.00,186.75,180.50
186.50,195.50,195.50,184.75
197.25,193.00,197.25,191.25
193.50,187.50,194.50,185.75
188.25,203.75,206.25,187.50
207.25,204.50,209.75,200.50
203.00,208.25,210.00,202.00
212.00,209.00,216.75,207.75
215.50,211.75,218.75,205.50
211.75,210.25,213.18,208.75
215.25,209.25,216.25,207.00
208.75,208.75,211.25,207.50
209.00,209.75,210.50,208.25
211.00,201.75,212.00,201.50
201.00,196.25,201.00,194.00
199.00,199.00,201.50,195.25
195.50,195.50,197.75,195.25
196.75,199.25,201.25,194.25
196.25,195.00,198.25,191.00
200.00,204.50,206.00,196.25
207.25,202.75,208.25,202.00
204.25,197.50,206.25,197.25
197.00,197.75,201.50,196.50
197.75,200.25,200.62,195.00
202.00,199.75,202.00,196.00
200.00,196.25,201.25,196.00
203.75,208.00,208.75,203.75
211.00,201.25,211.00,201.00
200.00,199.50,207.25,196.00
200.00,184.50,200.00,182.50
165.25,187.25,191.25,156.50
189.50,181.88,189.50,180.25
175.25,174.75,178.25,172.50
174.75,172.75,174.75,170.00
168.50,169.25,173.00,167.75
166.75,165.50,168.50,165.00
166.50,162.25,168.75,161.75
161.50,159.75,165.50,159.25
159.25,156.00,160.00,152.25
156.50,161.75,163.75,156.50
162.75,158.00,163.00,154.25
158.25,158.25,161.00,155.25
156.25,155.25,160.25,152.50
158.25,164.00,166.25,154.75
163.00,159.75,164.00,159.75
160.25,158.50,160.75,156.75
158.75,173.75,173.75,158.75
175.00,169.50,177.50,168.75
169.75,159.00,170.75,159.00
159.00,157.00,162.00,156.25
148.00,148.00,155.25,141.50
140.75,139.25,147.75,137.50
141.50,142.25,145.00,138.75
142.25,137.25,145.00,135.50
137.25,138.25,141.00,136.75
139.00,134.50,139.75,133.50
134.75,129.00,136.25,128.50
131.50,129.25,132.50,129.00
128.50,127.88,130.50,127.50
127.50,125.50,127.75,123.75
126.50,121.25,127.00,121.25
121.25,127.50,134.75,121.25
131.75,144.00,144.50,131.00
143.25,140.50,146.50,138.75
138.25,144.75,146.50,135.00
146.25,151.75,155.50,145.50
151.50,148.25,151.50,145.50
149.50,149.75,152.50,145.50
150.25,150.00,152.50,146.00
151.50,151.25,152.50,147.50
152.25,156.50,157.50,151.50
156.50,158.00,161.00,154.25
146.25,136.75,149.75,135.75
136.75,144.00,145.75,136.50
144.50,145.00,146.75,140.72
144.50,139.25,144.50,138.50
138.75,134.25,138.75,133.25
135.50,131.75,135.75,131.25
132.50,127.25,133.25,127.25
127.75,130.25,130.25,125.50
130.25,132.50,132.50,127.50
134.00,137.75,138.50,132.50
139.50,135.00,139.50,131.75
136.00,132.75,136.00,130.25
132.25,130.00,133.75,128.75
128.75,129.50,131.50,128.75
130.00,131.25,131.25,128.25
130.25,126.50,130.25,125.50
126.50,127.25,130.00,125.75
125.50,127.50,127.50,125.00
131.25,125.00,132.01,123.75
125.00,120.29,121.50,111.25
121.25,118.00,121.50,111.25
116.50,120.75,123.25,116.50
122.00,118.50,123.50,110.25
111.50,99.40,113.25,94.50
100.25,101.00,105.75,94.50
99.25,90.50,101.50,88.25
90.50,91.75,93.75,88.09
94.00,94.75,95.00,91.75
95.50,101.75,102.75,95.50
101.50,99.75,101.50,98.25
100.50,101.50,102.50,100.00
98.00,94.00,98.25,91.00
93.00,95.25,98.50,90.75
97.50,94.75,98.00,93.75
96.25,98.25,98.75,94.75
97.50,97.75,98.25,94.25
98.00,98.75,99.75,95.75
98.25,96.25,99.75,96.25
98.00,104.25,105.25,97.75
104.50,110.50,111.50,103.75
112.75,115.00,117.25,112.00
115.00,112.75,115.75,112.00
109.75,109.00,110.00,107.50
105.25,103.00,105.60,101.75
105.50,108.75,109.25,103.75
108.25,105.75,109.50,104.00
104.00,102.75,104.75,101.25
100.25,103.00,103.50,100.00
103.25,102.75,104.25,100.25
102.75,104.00,105.00,100.25
104.75,105.75,107.25,102.75
106.00,105.25,106.24,104.00
103.25,103.00,105.25,101.25
102.25,100.00,102.75,99.75
99.50,95.75,99.50,93.75
91.25,91.50,92.25,88.25
91.00,92.75,95.00,89.50
93.75,89.75,94.75,86.75
92.50,95.50,97.50,88.75
94.50,88.00,95.00,87.50
90.50,83.50,92.25,82.00
80.75,82.50,86.75,79.00
81.25,71.50,81.25,71.00
68.25,74.75,75.75,67.52
75.25,76.00,77.00,71.25
75.75,76.25,77.50,70.00
84.50,74.50,84.50,74.00
77.00,81.25,82.00,75.50
78.75,81.25,81.62,75.75
81.25,84.25,85.00,80.25
83.50,85.25,87.25,81.50
86.50,84.25,88.25,83.00
82.75,79.25,84.25,78.50
79.25,81.50,81.50,77.00
81.50,79.00,81.75,78.75
78.00,75.75,78.25,74.25
76.75,75.75,77.00,74.50
75.50,76.00,78.25,75.50
75.50,76.00,76.50,75.50
77.25,77.50,78.00,76.00
81.00,82.25,84.25,79.27
81.25,85.00,85.75,80.00
85.00,95.50,98.25,84.00
92.50,89.00,93.50,88.75
90.75,91.25,92.50,84.25
92.75,90.25,92.75,87.75
94.50,127.25,127.25,91.75
134.25,130.50,135.50,122.75
130.50,129.75,132.50,124.75
122.75,126.00,134.50,122.50
127.75,127.50,129.00,124.00
128.00,128.75,137.50,127.50
127.50,126.50,132.50,126.25
126.25,129.75,132.00,126.25
128.50,131.25,136.50,128.50
128.50,121.12,131.75,119.50
122.50,113.00,123.75,110.75
108.75,106.25,110.75,103.25
106.25,107.75,110.25,106.00
105.75,99.75,107.50,96.00
99.00,98.88,100.25,97.76
102.75,103.50,105.50,102.00
103.25,101.25,104.25,100.00
104.50,106.25,107.25,102.75
110.00,111.75,115.75,109.75
113.25,111.75,113.75,109.50
113.25,109.00,114.38,107.50
109.25,112.75,114.25,108.00
112.75,112.75,113.25,110.00
111.75,107.50,112.50,106.50
107.75,111.75,111.75,107.75
109.50,104.75,109.50,102.00
105.00,97.75,105.50,96.00
96.75,93.25,96.75,91.25
94.00,93.50,94.00,89.25
92.25,91.75,96.48,91.75
92.25,87.75,92.25,86.50
89.50,96.00,96.25,89.50
95.50,97.50,99.75,95.00
97.75,96.75,98.00,95.25
96.50,94.25,97.00,93.75
94.50,90.75,94.50,89.50
90.50,87.50,91.50,86.75
86.50,86.25,88.00,84.50
85.75,86.25,87.50,85.25
88.25,87.25,89.62,87.00
86.75,80.00,87.50,79.50
78.75,82.00,82.50,77.75
82.25,85.75,86.75,81.50
88.25,85.50,88.50,84.50
87.50,85.25,88.25,84.50
85.00,94.00,94.50,85.00
84.75,94.00,94.00,81.25
93.50,90.00,93.50,88.75
90.50,89.50,91.00,86.25
90.00,87.50,91.25,86.75
88.00,90.25,92.25,87.50
88.75,89.75,91.00,88.25
89.25,97.25,98.25,89.00
96.00,100.50,101.25,93.28
101.00,103.75,104.75,97.75
103.75,99.00,104.48,98.00
99.00,103.00,103.00,97.25
102.25,102.75,105.75,101.25
103.50,102.50,103.50,100.25
102.75,107.00,112.25,100.75
108.25,106.50,112.00,105.00
107.25,111.25,113.00,105.75
110.75,112.75,113.00,110.00
112.75,115.50,119.50,111.25
115.75,113.50,116.75,111.50
113.50,108.75,113.85,108.00
106.50,105.50,107.75,103.75
106.25,106.50,107.75,105.25
105.00,113.00,114.25,105.00
113.75,112.25,116.00,111.75
112.00,113.75,114.25,111.08
114.00,112.25,115.00,112.25
112.50,113.00,114.25,112.50
112.75,117.50,118.75,112.50
117.25,117.75,118.75,115.00
117.50,120.00,123.25,117.50
119.00,119.00,121.00,118.25
117.75,111.50,118.25,108.77
111.50,110.00,116.75,108.75
110.50,108.75,113.25,108.75
109.75,109.75,113.50,108.75
109.50,106.25,110.00,102.50
96.25,97.25,101.00,93.75
98.00,98.25,100.50,96.50
96.25,95.00,97.50,91.25
94.50,98.00,100.75,94.50
98.25,97.50,99.50,96.75
98.00,95.75,99.50,95.00
95.75,96.25,97.98,94.20
96.25,96.25,97.25,95.00
97.25,98.75,100.00,95.00
98.75,100.00,102.00,97.00
99.75,111.25,112.00,96.50
111.50,107.25,114.25,106.25
106.25,103.50,107.75,101.75
103.25,109.50,109.75,101.00
110.25,106.75,110.25,105.50
107.00,106.00,108.25,105.50
105.75,105.00,107.50,103.50
103.75,100.75,104.75,100.25
102.25,99.00,102.25,98.25
100.00,98.25,100.25,97.50
97.75,96.75,98.95,96.75
96.25,94.75,96.50,92.25
93.75,93.75,96.75,93.75
93.25,92.00,94.25,90.75
91.75,89.00,93.25,88.25
89.50,92.25,93.45,89.50
91.75,93.75,95.00,91.75
93.82,93.25,94.75,93.25
93.75,89.75,94.25,89.50
91.75,92.50,93.00,91.25
91.50,91.25,92.50,91.00
91.50,90.00,92.50,88.75
91.00,91.50,92.25,90.00
90.50,89.00,90.75,88.25
89.50,92.00,92.50,89.25
93.00,97.50,99.75,92.75
98.00,101.25,103.25,97.25
101.50,98.75,104.25,97.00
99.25,98.25,99.75,98.25
98.25,99.25,100.48,96.25
99.25,94.00,100.75,93.75
93.50,85.75,93.50,84.50
83.25,78.75,83.25,76.50
76.75,78.50,79.75,76.25
77.75,77.75,79.00,76.50
76.25,77.25,79.50,76.25
79.00,75.00,79.25,75.00
75.00,75.25,77.00,74.00
74.00,74.00,76.25,71.50
74.75,76.00,76.25,72.75
75.75,77.50,81.25,74.75
78.75,77.12,79.75,76.25
76.75,77.75,80.00,76.75
78.75,78.00,80.25,77.25
79.00,77.12,79.25,76.25
76.88,77.00,78.25,75.00
77.00,76.25,78.12,75.48
76.25,76.00,78.00,75.00
77.00,78.75,80.25,76.28
78.00,79.25,81.25,77.75
79.25,77.25,81.00,75.00
75.50,77.50,78.00,75.25
76.00,76.25,76.52,75.25
75.50,75.50,76.02,75.25
77.00,81.25,83.20,75.75
83.00,81.25,83.24,78.54
81.00,84.25,84.50,80.02
85.00,80.00,85.00,80.00
80.50,81.00,82.25,79.75
81.25,80.00,83.25,79.50
79.50,80.00,82.00,78.75
80.00,80.75,82.00,79.50
81.25,79.00,83.00,79.00
79.75,81.25,81.25,78.75
80.00,82.75,83.50,79.50
83.23,86.25,87.00,80.00
86.25,89.50,91.25,83.25
89.25,87.75,89.25,86.25
87.75,86.25,88.50,85.02
85.75,90.50,94.00,85.75
89.50,87.50,90.38,85.75
89.00,91.00,91.50,88.25
91.75,91.50,92.50,88.75
91.50,90.25,91.50,87.25
90.00,91.00,91.50,86.50
89.75,89.25,92.28,87.25
90.00,95.00,95.50,88.25
95.25,94.75,100.25,92.50
95.50,87.00,95.50,82.75
78.75,76.00,80.25,73.00
73.00,73.25,76.00,71.25
73.75,68.25,73.75,67.50
68.00,69.00,71.50,66.25
69.25,68.50,70.50,68.00
68.75,66.25,69.00,66.00
65.75,62.25,66.00,61.75
60.75,61.50,63.20,59.50
62.25,61.75,67.50,61.25
62.00,62.00,63.25,60.75
63.00,66.25,67.25,63.00
66.50,64.25,66.50,63.50
63.25,61.25,64.00,60.75
61.25,57.50,61.75,57.25
57.25,58.00,61.00,57.00
56.75,56.50,57.25,55.03
57.00,55.25,57.00,53.75
55.75,55.75,56.00,54.25
55.50,60.50,61.25,55.00
60.75,56.75,62.00,56.50
57.25,57.50,58.75,56.75
56.75,55.75,57.50,55.50
55.75,55.50,56.00,53.50
56.75,56.50,57.00,55.00
56.50,56.50,59.50,55.25
57.50,58.00,58.50,56.50
57.50,57.00,57.75,56.25
56.25,56.00,57.75,55.75
56.00,56.00,56.75,53.75
55.75,54.50,56.75,53.50
57.50,56.00,57.50,55.75
56.75,67.00,68.25,56.75
69.25,66.00,70.75,64.50
65.25,66.75,66.75,63.50
66.75,68.75,71.25,65.75
68.75,66.25,68.75,65.25
66.00,65.75,66.92,65.25
65.00,62.00,65.25,61.50
61.50,58.75,61.50,57.00
59.25,59.00,59.25,58.75
58.75,58.50,59.25,57.75
59.25,59.00,60.00,57.75
60.25,60.50,61.75,60.00
60.25,60.75,62.00,60.25
60.75,60.25,61.25,60.00
60.75,63.00,64.75,60.50
63.25,63.00,63.75,63.00
63.25,63.50,64.00,62.75
63.00,62.50,64.00,61.25
62.50,58.50,62.50,57.75
58.50,56.00,58.75,56.00
55.75,53.75,56.00,53.25
53.25,54.50,56.25,53.25
54.50,53.75,56.00,52.75
53.25,55.50,56.00,52.75
56.00,56.00,56.50,54.50
56.50,52.50,56.50,51.25
52.50,53.75,54.25,52.50
53.75,53.50,55.25,52.00
53.25,52.50,54.50,52.15
53.00,52.50,53.75,52.25
53.75,55.25,56.25,51.50
55.75,55.75,57.00,53.50
55.25,55.00,55.75,54.00
61.00,61.25,68.00,59.75
63.00,62.25,63.75,61.25
61.50,61.75,63.25,61.00
62.75,60.50,62.75,59.75
60.00,58.75,60.75,57.75
59.50,62.50,65.50,58.75
63.50,61.75,63.50,60.50
62.75,60.75,62.75,59.75
60.25,59.00,60.25,57.50
59.00,57.50,59.25,57.25
57.50,61.00,62.25,56.50
61.50,62.00,63.00,60.25
62.75,61.50,62.75,60.50
62.50,60.25,62.50,59.00
60.75,59.00,60.75,58.00
58.50,57.00,58.50,56.75
58.25,56.25,58.25,55.75
56.75,54.50,58.25,53.50
54.25,53.50,54.25,52.75
52.75,54.00,55.25,52.75
54.00,54.75,56.00,54.00
55.25,53.25,56.75,52.75
53.75,51.75,53.75,51.75
51.00,49.75,52.25,49.75
49.75,47.50,50.25,46.25
48.75,47.25,49.50,46.75
48.00,46.00,48.00,45.50
45.25,45.25,46.25,43.75
44.00,44.75,45.25,44.00
45.25,45.25,45.50,44.75
45.25,44.75,45.25,44.00
44.75,53.50,53.75,44.50
54.75,52.75,54.75,51.00
54.25,60.75,62.50,53.50
60.75,57.97,61.25,56.25
57.50,57.25,58.50,57.02
56.75,55.25,56.75,55.00
50.00,54.00,56.00,48.00
53.75,55.75,57.00,51.75
55.00,56.00,57.00,55.00
55.73,54.00,56.50,53.75
53.75,55.00,56.25,53.75
55.00,57.25,59.75,55.00
57.50,55.00,58.00,54.75
54.00,59.25,59.25,54.00
60.00,74.75,75.75,58.52
75.00,81.75,82.00,70.00
82.00,80.02,82.25,73.25
77.75,85.00,85.25,74.00
85.00,83.50,85.50,80.25
82.75,85.50,85.50,80.00
82.75,82.50,84.50,80.00
79.75,81.50,84.00,78.00
77.00,81.25,81.50,77.00
82.50,91.50,93.50,81.00
90.25,90.25,92.75,88.75
91.25,91.53,92.50,87.25
91.00,91.50,92.50,87.50
90.75,86.75,90.75,85.75
85.25,85.50,86.25,83.25
81.25,62.25,82.00,61.00
62.50,62.25,63.25,58.50
62.50,59.75,62.50,59.00
59.00,57.75,60.75,57.02
57.75,54.05,58.75,53.75
54.00,56.25,57.25,54.00
57.50,54.75,58.75,54.25
56.25,56.25,59.25,55.75
57.75,59.50,62.25,57.50
58.75,56.50,60.00,55.00
56.00,55.75,57.50,55.25
56.00,54.25,56.00,54.25
54.50,54.88,56.50,53.75
55.50,53.12,55.50,52.00
52.25,52.25,53.75,50.75
52.00,51.25,52.25,48.75
51.25,51.00,52.25,50.00
50.25,52.00,53.75,50.25
52.00,54.50,55.00,51.50
55.00,52.50,55.00,52.00
52.75,58.25,58.75,52.75
58.25,56.75,58.25,54.50
56.00,55.00,56.00,54.52
55.00,58.00,58.00,53.00
57.00,56.25,58.00,53.25
55.25,58.45,58.75,55.25
58.50,58.25,58.75,56.25
56.75,56.00,57.75,53.75
55.25,55.25,57.00,52.50
56.00,54.00,56.50,53.50
54.25,53.50,55.50,53.00
53.25,54.75,55.25,53.00
54.00,57.50,57.50,54.00
58.00,60.75,61.75,58.00
60.75,59.75,60.75,58.00
51.00,43.25,52.25,42.25
43.25,37.00,43.75,34.14
37.00,41.00,41.00,37.00
40.50,41.00,42.75,39.75
43.00,41.50,43.00,41.00
41.00,43.00,43.00,41.00
44.00,45.50,46.75,43.75
46.50,45.25,46.75,45.25
46.75,45.25,46.75,44.25
45.50,43.75,46.75,43.75
43.25,41.75,43.75,41.25
41.50,39.50,43.24,39.50
39.50,40.00,41.00,39.25
40.25,39.50,41.00,39.00
39.50,39.75,41.00,39.00
39.50,39.00,41.25,39.00
39.00,39.25,40.00,39.00
39.00,40.00,40.75,39.00
40.75,39.50,41.62,39.50
39.00,39.25,40.75,39.00
40.00,43.00,44.00,39.00
43.75,41.25,44.25,40.72
41.00,40.75,42.50,39.50
39.75,39.75,40.75,39.75
40.50,39.00,40.75,39.00
39.00,38.75,39.50,38.50
41.50,49.75,52.25,40.75
50.00,47.00,52.25,46.25
46.50,47.75,49.25,46.25
46.75,45.00,47.50,43.75
46.25,49.00,49.00,43.75
49.00,47.50,49.00,44.75
47.00,48.50,49.75,46.25
48.25,45.75,48.75,45.00
45.50,44.75,46.25,43.75
44.50,45.50,46.00,43.75
45.75,46.50,48.00,45.50
46.50,48.00,48.50,46.50
47.00,46.75,47.50,45.50
47.50,48.00,49.75,47.00
48.25,49.00,49.50,48.25
48.75,52.75,54.25,47.50
54.50,56.11,56.36,53.75
56.50,58.00,59.25,54.75
58.50,54.50,58.50,54.00
55.25,57.75,59.00,51.00
60.00,54.75,61.00,52.25
50.00,55.75,58.25,48.75
55.75,60.25,60.25,51.75
59.25,54.25,59.75,53.00
54.25,57.00,57.50,51.50
55.75,58.25,58.75,54.50
57.25,58.00,58.50,55.75
57.75,64.25,64.52,57.75
65.50,69.50,70.00,60.02
70.00,72.50,75.50,67.00
73.75,64.25,75.00,62.50
61.00,64.25,66.00,60.25
64.25,61.00,64.25,58.75
62.00,63.00,66.00,62.00
63.25,64.25,64.25,62.00
64.50,67.79,71.50,64.22
67.75,67.00,68.00,65.52
67.00,70.00,70.00,65.25
70.00,72.25,74.50,69.25
74.75,67.00,75.50,66.50
67.75,70.75,70.75,66.25
71.00,71.00,72.50,70.00
73.75,71.50,73.75,68.35
70.75,69.00,70.75,67.00
69.00,66.00,69.00,65.25
65.25,67.25,67.50,65.25
67.50,66.50,67.75,65.00
67.50,65.75,67.50,65.00
65.00,61.50,65.00,61.25
61.00,62.00,62.50,60.00
