AMP,Ameriprise Financial,NASDAQ
48.23,48.22,48.34,47.93
47.93,47.12,48.26,46.51
46.81,47.67,47.91,46.54
48.03,48.45,48.46,47.58
48.39,48.37,48.57,47.78
47.94,48.58,48.71,47.44
48.40,49.05,49.31,48.22
49.00,48.51,49.54,48.45
46.89,44.93,47.26,44.68
45.44,46.47,46.90,45.44
46.94,48.10,48.25,46.80
47.92,46.36,48.13,46.35
46.67,47.50,47.62,46.62
46.60,45.92,47.08,45.60
44.98,45.51,46.40,44.86
45.28,43.68,46.02,40.56
43.67,42.54,44.11,42.07
44.43,45.65,45.68,44.18
45.07,46.18,47.16,45.07
46.34,46.32,46.46,45.74
46.09,45.25,46.14,45.25
44.75,43.39,44.75,42.84
43.40,43.18,44.02,42.24
43.66,41.41,43.94,41.12
41.01,41.24,41.80,40.55
40.14,38.51,40.41,38.14
37.83,40.41,40.47,37.39
40.45,39.01,40.45,38.92
37.85,38.45,38.53,36.82
39.08,38.72,39.83,38.66
39.49,40.94,40.99,39.13
40.79,39.79,40.86,39.54
39.38,38.79,39.68,38.72
39.11,40.30,40.34,38.46
40.31,40.24,40.57,39.61
39.22,38.41,39.51,38.26
38.59,37.53,38.98,37.50
37.69,38.12,38.23,36.73
38.42,37.89,39.32,37.75
38.40,39.07,39.15,38.13
38.64,39.47,39.53,38.62
39.78,39.48,40.45,39.44
39.90,40.55,40.63,39.65
40.24,40.74,41.06,40.03
40.96,39.93,40.96,39.41
40.09,39.76,40.09,39.55
40.36,39.75,40.72,39.58
39.74,39.11,40.28,39.05
39.24,38.65,39.35,38.45
38.41,37.76,38.56,37.65
38.16,38.49,38.72,37.49
38.58,38.05,38.64,37.94
38.02,35.99,38.02,35.85
36.10,36.13,36.87,36.03
36.05,35.83,36.38,34.68
36.17,36.18,36.53,35.70
36.89,36.47,37.42,36.05
36.66,38.14,38.16,36.62
38.69,38.22,39.33,37.72
38.23,39.00,39.09,37.94
38.85,38.61,38.85,38.14
39.06,39.58,39.74,39.02
39.31,39.42,39.62,38.88
39.46,39.20,39.65,38.48
38.67,37.55,38.92,37.41
37.66,37.70,37.81,36.96
36.90,38.38,38.41,36.81
39.01,37.31,39.01,37.17
37.83,38.83,39.00,37.76
38.65,38.65,39.10,38.25
38.69,38.50,38.76,38.15
38.86,38.74,39.10,38.36
38.48,38.28,38.81,38.17
42.66,42.98,43.82,41.12
42.28,42.39,42.80,42.05
43.17,43.61,43.64,42.62
43.51,42.82,43.54,42.56
42.80,43.23,43.28,42.47
42.89,43.40,43.45,42.57
42.79,42.95,43.22,42.26
43.35,43.92,44.11,43.09
43.51,44.22,44.47,42.90
43.36,43.05,43.71,43.00
42.27,42.77,43.07,42.18
42.69,42.20,43.25,42.17
41.92,42.54,42.86,41.74
43.08,44.52,44.61,42.88
44.45,44.72,45.06,44.05
44.44,43.45,44.77,43.42
43.04,43.13,43.37,42.28
43.15,43.21,43.62,43.04
42.53,42.19,43.24,42.18
41.97,42.56,42.77,40.79
42.86,42.19,43.09,42.00
42.55,43.71,43.72,41.84
43.47,43.23,43.81,43.17
42.66,43.58,43.71,42.65
44.21,45.75,45.81,44.21
45.64,46.17,46.22,45.63
46.64,47.22,47.27,46.42
46.70,46.44,46.93,46.05
46.53,46.99,47.62,46.48
47.78,47.23,47.89,46.90
47.36,47.21,47.36,46.74
47.98,48.20,48.21,47.80
47.94,47.79,48.28,47.58
47.29,47.41,47.60,47.15
47.27,47.36,47.66,46.98
47.74,47.62,48.05,47.43
47.86,48.38,48.51,47.72
48.20,47.93,48.55,47.77
47.65,46.52,48.23,46.50
46.03,45.85,46.49,45.76
46.41,47.24,47.42,46.40
47.23,47.07,47.42,46.76
47.40,47.69,47.77,46.47
47.40,47.92,48.11,47.17
48.37,47.33,48.80,47.33
47.82,47.76,48.08,47.13
47.59,47.87,48.06,47.03
48.32,49.48,49.72,47.55
49.44,50.16,50.17,49.18
50.18,50.00,50.64,49.71
49.75,49.93,50.17,49.17
49.88,49.70,50.01,49.46
49.58,49.96,50.02,49.19
50.23,50.13,50.79,49.96
49.92,50.24,50.64,49.63
50.65,49.93,50.73,49.63
50.01,51.40,51.45,49.77
50.73,50.65,51.70,50.36
50.69,51.25,51.67,50.60
51.62,51.34,52.10,50.95
51.50,51.02,51.89,50.91
51.57,51.19,51.91,51.09
51.02,50.57,51.23,50.53
50.12,50.85,51.13,50.05
52.53,53.43,53.86,52.42
53.37,51.69,53.44,51.67
51.71,51.38,51.99,51.07
51.91,52.29,52.42,51.86
52.32,52.19,52.38,51.41
52.80,53.73,53.79,52.56
53.82,55.02,55.06,53.62
54.93,54.45,54.99,54.07
54.51,53.48,54.71,53.24
53.42,54.09,54.15,53.00
53.42,53.71,54.06,53.18
53.30,52.93,53.44,52.33
53.17,52.60,53.54,52.54
52.16,51.72,52.39,51.17
51.85,51.48,51.98,51.29
52.22,52.59,53.06,52.07
52.45,52.41,52.65,51.98
52.20,51.98,52.36,51.64
51.28,51.29,51.53,50.92
51.32,52.20,52.25,51.32
51.59,51.81,52.19,51.34
51.40,52.53,52.74,50.62
51.81,51.84,52.31,51.71
52.70,52.98,53.12,52.53
52.94,53.71,53.86,52.73
53.41,54.14,54.24,53.14
53.95,53.98,54.11,53.65
54.58,54.68,55.00,54.34
54.83,55.35,55.38,54.42
55.86,55.88,57.00,55.28
56.06,55.67,56.06,55.44
56.00,55.87,56.37,55.36
55.92,55.12,55.97,54.83
55.03,55.09,55.72,55.03
55.05,55.74,55.85,54.88
55.47,55.20,55.68,55.16
55.47,54.90,55.47,54.69
55.28,57.61,57.67,55.08
57.54,57.96,57.99,57.33
57.72,57.73,57.94,57.42
57.36,57.74,57.87,57.32
57.73,57.76,58.13,57.55
57.86,57.97,58.16,57.73
57.93,57.67,58.17,57.55
57.51,57.55,57.64,57.16
58.22,59.34,59.56,58.21
59.41,58.94,59.56,58.53
58.74,59.89,59.96,58.58
59.82,60.08,60.32,59.62
60.30,60.26,60.64,59.41
59.85,60.01,60.23,59.15
60.22,60.86,60.92,60.01
61.39,61.10,61.82,60.85
61.22,60.53,61.59,60.16
60.51,60.88,60.94,59.97
60.97,61.00,61.12,60.65
60.72,59.91,60.88,59.76
59.93,59.62,60.35,59.13
59.97,60.36,60.80,59.97
60.21,61.00,61.26,59.99
60.73,61.11,61.13,60.12
61.25,61.07,61.80,60.91
61.34,62.49,62.56,61.26
62.32,60.31,62.74,60.28
60.69,61.65,62.09,60.46
62.18,62.92,63.01,62.15
61.89,62.47,62.75,61.72
58.80,58.18,59.27,57.29
57.96,58.08,58.29,57.77
58.13,58.70,58.91,58.08
58.50,60.14,60.28,58.50
59.82,61.21,61.90,59.75
60.52,61.89,61.92,59.85
62.48,63.87,64.01,62.32
63.84,64.29,64.80,63.64
63.81,63.40,64.46,63.25
63.81,64.36,64.51,63.77
64.27,64.29,64.48,63.61
64.37,64.73,65.12,64.01
63.71,63.13,64.21,62.66
63.16,63.31,63.75,62.27
63.14,63.30,63.85,62.10
63.76,63.52,64.00,62.97
63.84,63.32,64.00,62.85
63.64,62.74,64.00,62.11
62.68,61.80,62.91,61.55
62.43,64.00,64.20,62.43
63.66,63.27,63.82,62.44
63.54,62.69,64.14,62.47
62.73,63.49,63.85,62.41
63.34,62.21,63.69,62.07
61.39,61.70,62.42,60.59
61.51,62.18,62.36,61.07
61.68,61.56,61.79,60.31
59.23,59.95,60.28,58.75
59.82,58.63,60.07,57.97
59.80,59.83,60.38,59.37
60.85,61.22,61.59,60.41
62.18,61.18,62.19,61.08
61.05,59.50,61.12,59.48
59.10,59.74,60.11,58.64
60.03,60.26,60.30,59.21
60.26,60.86,61.12,60.01
60.77,60.94,61.40,60.64
60.78,61.20,61.24,60.65
61.61,61.40,61.85,61.28
61.33,61.08,61.47,60.96
61.63,62.48,62.53,61.48
62.42,62.62,62.95,62.36
62.37,62.02,62.49,61.68
62.37,61.52,62.54,61.38
61.57,63.07,63.66,61.53
63.50,62.93,63.78,62.70
62.84,62.41,63.45,62.12
62.10,62.05,62.76,61.76
62.47,61.84,62.92,61.48
61.53,61.42,61.73,61.19
61.75,61.61,61.94,61.11
60.78,61.34,61.64,60.47
61.40,61.21,61.81,60.91
62.15,62.30,62.52,61.77
62.43,63.52,63.61,62.15
63.40,62.62,63.54,62.18
60.72,60.88,62.10,60.40
61.13,61.04,61.23,59.83
61.10,62.17,62.40,61.00
62.20,62.06,62.39,61.70
62.37,61.73,62.52,61.61
61.28,61.71,61.76,60.85
61.19,60.49,61.44,59.80
59.99,60.06,60.62,59.74
60.56,61.20,61.70,60.56
61.51,61.92,62.01,61.20
62.05,63.03,63.32,61.98
62.75,62.51,63.68,62.22
62.43,63.36,63.40,62.01
63.29,62.40,63.46,61.92
62.18,61.97,62.83,61.88
61.85,61.50,61.88,60.66
61.58,62.89,62.99,61.18
62.99,63.43,63.67,62.42
63.23,62.17,63.50,62.06
61.41,61.01,61.60,60.93
61.12,60.48,61.33,60.30
60.11,60.63,61.09,59.63
60.45,60.37,60.73,59.95
60.67,60.37,60.70,60.23
61.11,61.23,61.30,60.74
60.87,58.82,60.87,58.73
58.79,58.99,59.31,58.01
58.21,58.23,59.24,57.74
57.97,56.92,58.29,56.88
57.27,56.44,57.55,56.39
56.40,55.74,56.61,55.68
55.84,57.29,57.64,55.75
56.86,56.04,56.91,55.70
56.09,56.01,56.23,55.32
56.84,56.98,57.46,56.69
56.61,55.76,56.95,55.63
55.76,55.98,56.41,55.41
56.57,56.66,57.00,56.30
56.31,56.55,57.01,56.14
56.75,57.34,57.63,56.75
57.03,56.11,57.27,56.03
55.40,56.13,56.22,54.87
56.12,55.40,56.45,54.72
55.21,55.81,56.08,55.13
55.99,56.12,56.32,55.82
56.58,57.19,57.33,56.58
57.41,57.68,58.00,57.03
57.62,58.39,58.58,57.59
58.15,57.47,58.21,57.40
57.25,58.51,58.51,56.93
59.15,59.22,59.49,59.04
58.26,58.14,58.36,57.43
57.00,54.96,57.18,54.78
54.60,55.66,56.75,54.58
56.07,55.87,56.78,55.70
56.22,54.75,56.35,54.65
55.00,54.05,55.07,53.56
53.66,53.15,53.80,52.17
53.69,53.41,53.85,53.08
53.74,54.05,54.12,52.85
54.31,55.31,55.63,54.31
55.38,55.38,55.63,54.86
54.60,54.10,54.63,54.00
54.11,54.14,54.78,53.67
53.75,51.57,53.75,51.33
53.97,53.78,55.16,52.90
53.19,54.10,54.52,52.21
54.93,52.69,55.08,52.15
52.25,51.01,52.97,51.01
50.83,50.58,51.33,50.17
49.69,47.92,50.13,47.79
48.57,47.18,48.88,46.17
45.70,41.34,46.58,40.94
42.12,44.53,44.61,40.10
43.52,41.19,43.53,41.12
41.24,44.25,44.98,40.31
44.90,44.21,45.78,43.96
44.62,45.30,45.58,44.52
44.50,45.12,45.42,44.32
45.32,44.06,45.51,43.64
42.37,40.97,42.42,40.63
39.91,39.04,41.78,38.93
40.10,39.58,40.39,39.33
39.77,42.52,42.61,39.16
42.41,43.16,43.66,41.82
43.75,42.19,44.45,41.69
41.62,43.45,43.85,40.99
44.33,45.54,45.60,44.14
45.21,44.96,45.66,44.43
45.44,45.70,46.25,45.12
45.67,43.97,45.80,43.91
42.70,42.37,43.21,42.36
40.72,41.47,41.84,40.44
42.43,43.84,44.05,42.28
43.16,42.87,43.84,42.68
42.24,41.73,42.68,41.21
40.93,42.02,42.07,40.34
42.17,42.92,43.11,41.60
43.78,43.80,44.57,42.51
44.63,44.97,45.08,43.86
45.21,45.07,45.49,43.92
43.90,43.80,44.23,42.80
44.00,43.53,44.74,43.51
43.52,41.67,43.94,41.65
40.22,39.84,40.63,38.97
39.52,39.77,40.41,39.37
40.23,41.10,41.15,39.06
42.10,41.34,42.68,40.98
41.60,39.99,42.00,39.92
41.18,41.11,42.00,39.89
40.21,39.36,40.47,39.36
38.95,37.34,39.25,37.32
36.59,38.18,38.40,36.00
38.28,39.05,39.34,37.76
38.83,40.71,40.78,37.84
41.01,39.06,41.26,39.04
40.05,41.08,41.09,39.93
40.72,41.44,41.72,40.28
41.83,42.92,43.68,41.77
42.36,41.56,42.57,40.51
43.39,42.88,43.58,42.07
42.52,40.93,42.77,40.79
41.07,42.69,43.07,40.67
42.50,40.90,42.92,40.70
40.77,41.70,41.86,40.40
42.24,43.46,43.47,42.10
43.74,44.70,45.06,43.59
44.09,42.05,44.09,41.90
42.95,42.86,43.21,41.20
49.00,49.36,49.91,47.51
48.29,48.74,49.03,47.70
47.25,46.68,47.65,46.66
45.20,44.09,45.49,43.84
45.09,45.16,45.50,44.14
45.71,46.82,47.26,44.63
46.05,46.26,46.47,44.90
46.08,46.93,46.97,45.54
47.44,48.36,48.62,47.35
46.71,45.35,46.87,45.24
46.33,45.60,46.58,45.17
46.46,47.22,47.32,46.43
46.76,46.78,47.00,46.08
46.33,46.88,47.35,46.00
46.28,45.35,46.55,45.29
45.22,44.17,45.26,43.90
44.55,44.21,44.74,43.93
44.06,43.08,44.17,42.59
42.92,42.73,43.31,42.26
42.15,41.31,42.31,41.29
41.15,41.51,42.12,41.10
44.77,43.03,44.77,42.49
43.13,42.88,43.32,42.55
44.34,45.91,45.98,44.27
45.57,45.48,45.82,44.97
45.96,45.98,47.33,45.84
46.97,46.97,47.44,46.49
46.89,46.94,47.36,46.42
46.69,48.21,48.41,46.30
47.68,45.58,47.70,45.43
46.00,47.10,47.32,45.87
46.34,45.67,46.34,45.17
45.91,45.07,46.46,44.54
44.68,44.95,45.40,44.36
45.68,45.17,45.91,45.08
46.15,46.55,46.69,45.68
46.74,46.38,47.20,46.19
47.25,49.00,49.06,47.16
48.99,49.39,49.52,48.63
49.47,50.05,50.40,49.19
50.38,50.61,50.61,49.89
50.33,50.03,50.78,50.03
50.03,49.47,50.19,49.30
49.74,50.54,50.85,49.72
50.20,49.64,50.37,49.57
51.16,51.45,52.35,51.03
51.06,50.81,51.29,50.48
50.36,51.24,51.33,49.66
51.19,51.09,51.67,50.81
51.22,51.10,51.66,50.88
51.82,51.90,52.09,51.60
51.53,51.75,51.93,51.14
52.08,51.91,52.39,51.39
50.98,51.40,52.13,50.57
52.28,51.59,52.54,51.48
51.60,52.50,52.57,51.20
52.53,53.65,53.81,52.32
53.88,54.68,54.99,53.68
54.92,54.75,55.61,54.44
54.05,54.23,54.47,53.80
53.97,54.28,54.54,53.88
54.61,54.68,55.13,54.14
54.32,53.67,54.55,53.25
52.88,53.28,53.74,52.29
53.46,53.55,53.65,52.82
54.81,54.78,55.40,53.95
51.17,50.38,51.65,49.14
50.97,53.65,53.66,50.81
53.13,54.33,54.38,52.75
53.91,54.92,54.93,53.68
54.77,54.62,55.06,54.28
54.97,54.10,55.38,53.97
53.30,54.19,54.22,52.99
54.75,55.04,55.15,54.06
54.88,55.32,55.40,54.37
55.40,54.86,55.50,54.53
54.93,55.71,56.12,54.62
56.05,56.54,56.64,55.87
56.67,56.19,56.78,55.98
56.48,55.84,56.48,55.64
55.75,56.50,56.57,55.60
56.73,56.41,56.96,56.15
55.63,56.20,56.55,55.49
56.26,56.18,56.40,55.92
56.15,55.76,56.37,55.65
56.05,56.17,56.67,55.89
56.29,55.84,56.59,55.79
55.62,55.54,55.78,55.25
54.77,54.17,54.95,54.07
54.43,54.55,54.80,54.26
55.08,55.32,55.43,54.83
55.44,56.08,56.58,55.22
56.07,55.85,56.39,55.16
56.19,57.60,57.65,56.01
57.58,56.75,57.82,56.73
56.80,58.02,58.11,56.41
58.63,57.72,58.68,57.64
57.34,58.09,58.47,57.19
57.24,57.27,58.09,57.12
57.37,57.39,57.90,57.12
56.73,56.49,56.93,56.32
56.28,57.10,57.29,55.86
57.60,58.25,58.25,57.50
58.27,57.70,58.37,57.68
57.55,57.82,57.87,56.71
56.95,56.43,57.00,55.91
56.42,57.13,57.52,56.42
57.18,57.76,57.94,57.08
57.47,56.96,57.58,56.64
56.30,56.07,56.71,55.92
55.58,55.53,55.95,55.00
54.27,54.46,54.78,54.23
54.45,53.22,54.74,53.17
54.18,53.85,54.81,53.74
54.08,54.73,54.89,54.03
54.42,53.13,54.45,53.13
53.50,53.64,53.91,53.19
54.22,55.17,55.49,54.15
54.66,53.96,54.85,53.90
53.88,53.56,54.24,53.05
53.82,53.45,54.11,53.29
52.44,52.84,53.12,51.95
52.42,52.45,52.89,51.46
53.01,53.60,53.70,52.84
53.47,54.25,54.49,53.26
54.29,54.08,54.55,53.74
54.10,54.21,54.48,53.88
53.96,54.26,55.00,53.96
53.68,53.41,53.80,53.07
53.44,52.80,53.55,52.54
52.39,52.00,52.61,51.20
51.70,52.07,52.23,51.43
51.60,51.51,51.93,50.90
50.63,50.60,51.14,50.32
50.99,50.78,51.52,50.62
50.17,50.47,51.02,49.71
49.57,49.66,50.28,49.35
49.59,49.18,50.01,49.11
49.46,47.85,49.64,47.82
47.81,47.20,48.04,47.19
47.52,46.41,47.75,46.32
46.47,47.50,47.51,46.15
47.80,47.31,48.39,47.00
46.81,47.32,47.48,46.42
47.63,47.90,47.93,47.14
47.80,47.78,48.33,47.68
48.12,48.40,48.53,48.00
47.84,47.92,48.15,47.72
47.83,47.92,48.37,47.16
46.70,45.81,46.75,45.78
46.11,45.46,46.39,45.26
45.27,46.57,46.77,45.17
46.87,48.37,48.37,46.77
49.37,48.26,49.69,48.18
48.00,48.53,48.71,47.37
49.28,47.57,49.28,47.51
47.97,48.33,48.36,47.44
48.03,47.24,48.08,47.06
47.45,47.92,48.05,47.31
48.08,49.75,49.78,48.08
49.35,49.65,49.72,49.06
49.89,50.70,50.99,49.62
50.82,51.14,51.89,50.69
51.32,49.63,51.42,49.58
49.92,50.82,51.26,49.92
50.01,49.44,50.01,48.78
49.48,49.79,50.25,49.23
49.97,50.70,50.91,49.83
50.39,50.80,50.84,49.90
52.27,52.26,52.36,51.88
52.36,51.99,52.60,51.73
51.84,52.34,52.48,51.75
51.97,51.43,52.13,51.38
50.64,50.96,51.28,50.64
50.91,50.39,50.95,50.12
50.87,50.23,51.42,50.08
50.24,50.45,50.65,49.85
49.87,49.61,49.97,49.20
49.80,51.11,51.27,49.71
50.76,50.58,50.95,50.40
51.00,51.26,51.29,50.04
51.23,52.15,52.60,50.94
52.23,51.91,52.65,51.57
51.32,50.30,51.48,50.26
49.14,49.16,49.49,48.42
49.10,48.47,49.10,47.96
48.60,47.98,48.83,47.84
49.33,50.76,50.97,49.31
51.38,52.53,53.00,51.00
52.42,52.23,52.91,52.11
51.93,51.72,52.04,51.54
51.95,51.32,52.09,51.26
50.70,50.81,51.18,50.00
51.89,52.63,52.80,51.78
52.69,52.88,53.16,52.42
53.19,54.25,54.77,53.09
53.91,54.50,54.56,53.87
54.30,54.37,54.72,53.98
54.16,54.50,54.61,53.98
54.25,54.32,54.52,53.97
54.76,54.34,54.85,54.20
54.26,54.39,54.51,54.05
54.44,54.94,55.16,54.20
55.10,55.30,55.37,54.97
55.07,55.00,55.27,54.74
55.00,54.87,55.79,54.64
54.68,54.82,55.09,54.40
54.76,54.40,54.96,54.33
54.24,55.18,55.30,54.11
55.25,54.15,55.32,54.06
54.05,54.47,54.84,53.93
54.61,54.45,54.95,54.35
54.06,54.55,54.85,53.73
55.00,54.91,55.45,54.49
54.86,54.61,55.30,54.39
54.48,54.38,54.80,54.22
54.95,56.01,56.15,54.92
56.03,56.47,56.67,56.00
56.48,55.88,56.57,55.86
55.88,56.15,56.43,55.86
56.51,56.66,56.89,56.35
56.01,58.12,58.16,55.76
58.18,59.20,60.47,58.18
59.13,58.34,59.13,58.22
58.25,58.19,58.58,57.92
58.17,57.81,58.33,57.68
57.32,57.45,57.55,56.93
57.79,57.60,58.26,57.44
57.17,57.41,57.82,56.95
57.78,55.91,57.89,55.89
55.95,56.08,56.42,55.35
56.56,56.94,57.21,56.32
56.94,56.69,56.99,56.20
57.18,56.68,57.72,56.47
57.02,56.43,57.06,56.25
56.73,56.48,56.86,56.16
56.92,57.77,58.13,56.92
58.18,57.83,58.53,57.67
57.51,57.69,57.90,57.36
57.44,57.30,57.91,57.20
57.37,56.78,57.55,56.70
57.45,56.83,57.57,56.80
56.77,55.96,56.99,55.66
56.20,56.19,56.43,55.81
56.73,57.89,58.18,56.73
58.06,58.99,59.14,57.96
58.84,58.92,59.27,58.56
58.67,57.80,58.90,57.54
58.72,58.27,58.72,57.48
57.02,57.12,57.41,56.73
57.51,57.07,57.98,56.91
58.59,59.00,60.68,58.42
58.97,59.30,59.50,58.13
58.90,58.37,59.38,56.13
58.27,59.68,59.71,57.83
60.00,60.12,60.71,59.75
59.67,60.12,60.30,59.34
60.27,60.45,61.04,60.10
59.65,58.60,59.66,58.07
58.69,58.01,59.41,57.99
57.72,58.05,58.65,57.44
58.05,58.39,59.78,57.80
57.75,58.55,59.58,57.66
58.73,57.58,58.92,57.41
57.40,58.06,58.37,57.20
57.42,58.38,58.50,57.42
59.28,59.74,59.87,59.17
59.62,59.77,59.77,59.18
59.86,60.17,60.31,59.49
60.63,61.00,61.08,60.49
60.60,60.50,60.80,60.41
60.38,60.15,60.98,60.12
59.65,60.69,60.74,59.45
60.95,61.46,61.74,60.75
61.38,60.67,61.74,60.67
60.92,61.10,61.49,60.81
60.94,60.61,61.12,60.55
60.61,61.12,61.36,60.48
61.03,61.78,61.82,60.74
61.90,62.35,62.70,61.83
61.96,61.29,62.00,61.29
61.68,61.51,61.93,61.39
61.75,61.90,62.76,61.66
61.78,61.38,61.89,61.12
61.21,61.22,61.59,61.09
61.63,62.49,62.50,61.55
62.46,63.52,63.59,62.28
63.49,62.91,63.75,62.91
62.91,63.51,63.52,62.83
62.67,62.67,63.07,62.24
62.54,62.89,63.01,62.40
62.96,62.47,63.12,62.41
62.54,62.57,62.80,61.63
62.09,62.19,62.77,61.99
62.00,62.63,62.64,61.79
64.25,65.28,65.31,64.16
65.21,65.17,66.01,65.06
65.24,65.95,66.03,65.10
65.65,65.25,65.75,64.98
63.90,63.98,64.68,63.59
64.25,64.27,64.61,64.13
64.80,65.00,65.00,64.49
64.77,65.07,65.36,64.62
65.08,65.30,65.38,64.96
64.93,64.88,65.12,64.39
64.63,64.25,64.70,64.10
64.53,65.40,65.60,64.42
65.26,65.90,65.92,64.79
65.69,66.53,66.53,65.62
66.36,66.43,66.48,65.95
66.53,66.88,67.30,66.39
67.10,67.38,67.38,66.57
67.40,66.79,67.40,66.33
66.55,67.39,67.41,66.25
67.19,66.86,67.32,66.31
66.86,66.32,67.44,65.72
67.15,67.15,67.34,66.49
66.67,65.31,66.76,65.14
65.94,66.28,66.54,65.75
65.80,66.61,66.61,65.73
66.48,66.13,66.72,65.47
66.21,66.49,66.62,66.08
66.40,66.49,66.69,66.17
66.71,67.49,67.54,66.60
67.50,67.89,68.22,67.32
67.58,69.04,69.12,67.58
69.17,68.77,69.34,68.71
68.83,69.03,69.15,68.83
68.90,67.95,69.07,67.89
67.70,67.25,67.82,67.06
67.65,67.93,67.93,67.48
68.31,66.25,68.73,66.25
66.66,66.62,66.89,65.95
66.31,68.11,68.28,66.31
68.11,68.63,69.15,67.98
68.04,68.08,68.38,66.94
68.00,68.87,68.90,67.79
69.37,70.27,70.57,69.18
70.51,70.51,70.61,70.15
70.69,70.74,71.07,70.42
71.19,72.09,72.11,71.16
72.05,72.21,72.48,71.90
72.09,71.92,72.35,71.83
72.20,73.35,73.40,71.67
73.85,74.46,74.52,73.57
73.86,74.33,74.64,73.58
73.36,74.17,74.71,73.27
74.44,73.97,74.75,73.68
74.36,74.88,75.14,74.35
74.50,73.64,75.00,73.60
73.87,73.65,74.10,73.50
74.08,73.47,74.38,72.98
73.71,73.69,74.23,73.34
72.75,73.05,73.19,72.64
72.97,73.65,73.82,72.85
73.52,72.87,74.00,72.70
73.14,73.43,73.53,72.85
73.64,71.81,73.65,71.55
71.96,72.00,72.47,71.70
70.67,71.48,71.57,70.27
71.30,72.33,72.35,71.16
72.43,72.81,73.20,72.11
72.79,74.47,74.57,72.79
74.60,75.28,75.50,74.49
74.78,74.73,75.09,74.23
74.47,71.93,74.53,71.88
72.89,73.14,73.21,72.10
72.40,71.30,72.46,70.82
71.47,69.60,71.48,69.34
70.10,72.18,72.21,69.84
71.98,72.38,72.56,70.85
73.00,73.64,74.57,72.83
73.79,72.65,73.98,72.57
73.17,73.98,74.27,72.83
73.74,73.48,74.15,73.27
73.66,74.18,74.36,73.31
74.22,74.53,74.90,73.64
74.35,72.96,74.35,72.91
72.89,73.56,73.72,72.30
74.57,75.80,75.96,74.33
75.74,76.64,76.77,75.66
77.06,77.35,77.59,76.51
77.20,76.99,77.24,76.60
76.91,76.54,77.32,76.39
76.62,78.20,78.25,76.50
78.10,79.05,79.25,77.65
79.05,80.86,80.94,78.91
80.43,81.54,81.55,80.15
81.16,80.46,81.78,80.35
81.03,81.69,81.93,80.90
81.49,81.71,82.03,81.43
81.77,81.53,82.03,81.17
81.77,80.81,82.97,80.44
79.55,80.39,81.09,79.14
79.69,80.20,80.30,79.34
81.66,82.52,82.93,81.54
81.75,82.12,82.68,81.51
82.15,83.94,84.29,81.90
83.21,81.52,83.74,81.52
81.91,81.03,82.25,80.29
81.20,82.18,82.81,81.11
81.81,79.73,81.92,79.64
79.73,81.02,81.02,79.33
81.74,83.07,83.18,81.15
83.48,83.14,83.67,82.48
82.08,82.52,83.70,81.62
83.25,81.11,83.53,81.02
81.09,82.99,83.21,80.85
82.84,81.86,83.11,81.50
82.66,82.64,83.47,82.28
82.96,83.39,83.80,82.85
83.24,81.53,83.75,81.52
80.62,79.06,81.26,78.73
