AHPI,Allied Healthcare Products,NASDAQ
6.66,6.66,6.66,6.66
6.70,7.06,7.06,6.70
6.70,6.70,6.70,6.70
6.68,6.66,6.90,6.66
nan,6.66,nan,nan
6.62,6.62,6.62,6.62
6.64,6.64,6.64,6.64
6.64,6.74,6.74,6.62
6.62,6.78,6.90,6.46
6.62,7.00,7.00,6.62
nan,7.00,nan,nan
6.52,6.40,6.56,6.40
6.38,6.38,6.38,6.38
6.42,6.49,6.84,6.40
nan,6.49,nan,nan
6.80,6.80,6.80,6.80
6.40,6.56,6.72,6.40
nan,6.56,nan,nan
6.80,6.80,6.80,6.80
6.60,6.60,6.60,6.60
6.92,6.78,6.92,6.73
6.60,6.60,6.60,6.60
6.60,6.60,6.66,6.60
nan,6.60,nan,nan
6.46,6.60,6.60,6.46
nan,6.60,nan,nan
6.50,6.50,6.50,6.50
6.56,6.94,6.94,6.50
7.02,7.02,7.06,7.02
6.86,7.00,7.00,6.86
7.10,7.24,7.24,7.10
7.34,8.00,8.00,7.34
8.00,8.24,8.34,7.98
nan,8.24,nan,nan
8.24,8.42,8.42,8.24
8.58,8.44,8.58,8.00
8.14,8.14,8.20,8.12
8.00,8.14,8.14,7.58
N/A,N/A,N/A,N/A
8.14,8.47,8.47,8.14
8.48,8.48,8.48,8.48
8.48,8.54,8.54,8.36
8.54,8.60,8.60,8.54
8.18,8.52,8.54,8.18
N/A,N/A,N/A,N/A
8.40,8.62,8.62,8.40
8.00,7.82,8.00,7.72
7.76,8.90,8.90,7.74
N/A,N/A,N/A,N/A
8.50,8.26,8.50,7.74
8.26,8.19,8.26,8.19
8.10,7.94,8.10,7.80
8.22,8.56,8.56,8.22
N/A,N/A,N/A,N/A
8.16,8.52,8.52,7.96
8.12,8.08,8.12,7.94
8.06,7.99,8.08,7.99
8.42,8.42,8.64,8.06
8.58,8.80,8.80,8.02
8.36,8.40,8.80,8.36
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
7.72,7.72,7.72,7.72
N/A,N/A,N/A,N/A
8.38,8.30,9.00,8.07
8.38,8.40,8.40,8.38
8.84,8.46,9.04,8.12
8.90,8.52,8.94,8.44
8.36,7.80,8.38,7.80
7.80,7.53,7.80,7.42
7.54,7.40,7.80,7.16
7.48,7.38,7.48,6.94
7.38,7.50,7.50,6.88
7.50,7.50,7.50,7.50
8.54,8.46,8.76,8.00
N/A,N/A,N/A,N/A
7.66,8.50,8.50,7.66
8.60,8.60,8.60,8.60
8.60,8.68,8.80,7.72
N/A,N/A,N/A,N/A
8.62,8.62,8.62,8.62
8.50,8.52,8.60,8.50
8.46,8.50,8.50,8.26
8.40,8.40,8.40,8.14
7.92,7.92,7.96,7.92
7.96,7.96,7.96,7.96
7.22,8.00,8.28,7.18
N/A,N/A,N/A,N/A
8.02,8.16,8.44,7.90
N/A,N/A,N/A,N/A
8.20,8.50,8.50,8.18
8.94,8.40,8.94,8.40
8.40,8.80,8.80,8.22
8.38,8.44,8.76,8.38
7.44,8.98,8.98,7.36
8.75,8.24,8.75,8.24
8.06,8.16,8.68,8.06
7.98,8.26,8.26,7.62
8.26,8.18,8.26,8.18
8.24,8.50,8.50,8.24
8.80,8.80,8.80,8.80
8.06,8.50,8.52,8.00
N/A,N/A,N/A,N/A
8.00,8.22,8.23,8.00
8.92,8.92,8.92,8.92
8.94,8.56,9.00,8.40
8.12,8.52,8.52,8.06
9.42,8.90,9.50,8.60
9.46,9.33,9.58,8.94
8.38,9.18,9.18,8.38
8.22,7.40,8.71,7.30
7.74,7.96,8.24,7.74
8.40,8.56,8.70,8.10
8.62,8.60,8.76,8.46
8.70,8.40,8.70,8.00
8.25,8.92,9.00,8.25
8.26,8.90,8.90,8.22
8.22,8.76,8.86,8.20
8.22,8.64,8.88,8.22
8.90,8.30,8.90,8.20
N/A,N/A,N/A,N/A
8.74,8.74,8.74,8.30
8.24,8.68,8.72,8.14
8.21,8.68,8.68,8.21
N/A,N/A,N/A,N/A
8.50,8.50,8.50,8.50
8.42,8.66,8.66,8.40
8.62,8.66,8.66,8.62
8.40,8.40,8.42,8.40
8.38,8.40,8.40,8.34
8.48,8.64,8.64,8.48
8.36,8.64,8.64,8.36
8.60,8.80,8.80,8.60
8.78,8.60,8.80,8.44
8.60,8.78,8.78,8.60
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
8.82,8.90,8.90,8.82
8.50,9.01,9.04,8.50
8.44,9.04,9.20,8.44
9.00,9.00,9.02,8.83
9.00,9.00,9.02,8.72
8.98,9.00,9.04,8.66
9.16,9.56,10.08,8.40
9.56,10.68,11.62,8.81
10.49,9.60,11.32,9.48
9.60,10.18,10.90,8.98
10.24,9.70,10.26,9.41
9.82,9.80,10.78,9.24
10.14,9.64,10.18,9.42
9.72,9.54,9.96,9.50
9.68,9.96,9.96,9.68
9.60,9.42,10.02,9.28
9.64,9.40,9.66,8.80
9.36,9.20,10.28,8.71
9.38,10.02,10.06,9.12
9.82,9.30,10.02,9.30
9.90,9.71,10.18,9.06
9.64,9.88,9.98,9.64
10.12,10.12,10.12,10.12
9.54,9.14,9.54,9.02
9.30,8.82,9.30,8.74
8.38,8.64,9.40,8.38
nan,8.46,nan,nan
8.46,8.40,8.98,8.40
8.42,8.64,8.64,8.40
8.61,8.60,8.64,8.60
8.38,8.36,8.38,8.36
8.40,8.44,8.58,8.36
8.54,8.58,8.58,8.54
8.50,8.50,8.52,8.50
8.50,9.10,9.14,8.40
9.20,8.54,9.22,8.48
9.08,8.86,9.08,8.72
8.86,8.77,8.86,8.54
8.48,8.82,8.92,8.48
8.86,8.76,8.86,8.76
8.56,8.70,8.70,8.56
8.52,9.20,9.20,8.52
9.16,9.00,9.18,8.44
8.70,8.66,9.00,8.60
9.12,8.66,9.12,8.66
8.82,8.80,8.82,8.80
8.82,8.55,8.82,8.55
N/A,N/A,N/A,N/A
8.48,8.48,8.48,8.48
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
8.50,8.40,8.50,8.40
N/A,N/A,N/A,N/A
8.44,8.42,8.44,8.42
8.42,8.42,8.42,8.42
N/A,N/A,N/A,N/A
8.54,8.54,8.54,8.54
8.42,8.49,8.49,8.40
8.45,8.52,8.52,8.45
8.42,8.47,8.47,8.42
8.62,8.64,8.64,8.62
8.44,8.47,8.50,8.40
8.58,8.34,8.58,8.34
8.50,8.50,8.50,8.50
8.40,8.38,8.40,8.38
8.38,8.40,8.40,8.38
8.38,8.38,8.38,8.38
8.36,8.50,8.50,8.36
8.40,8.40,8.40,8.38
8.28,8.28,8.28,8.28
8.30,8.32,8.32,8.30
8.34,8.44,8.44,8.12
8.46,8.30,8.46,8.20
8.30,8.30,8.30,8.30
N/A,N/A,N/A,N/A
8.22,8.22,8.22,8.02
8.16,8.12,8.16,8.10
N/A,N/A,N/A,N/A
nan,8.12,nan,nan
8.36,8.30,8.36,7.96
8.26,8.11,8.42,8.11
8.28,8.26,8.42,8.07
8.22,8.22,8.22,8.22
0.00,8.24,8.24,8.24
8.28,8.28,8.28,8.28
N/A,N/A,N/A,N/A
8.46,8.18,8.50,8.10
8.12,8.06,8.34,7.96
7.94,7.90,7.99,7.90
7.90,7.90,7.92,7.90
8.32,7.92,8.32,7.84
7.84,8.00,8.00,7.84
7.86,8.14,8.18,7.86
7.92,8.12,8.12,7.92
8.14,8.18,8.36,7.96
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
8.16,7.90,8.24,7.90
8.48,7.78,8.48,7.78
8.00,8.20,8.20,7.70
7.84,8.18,8.18,7.74
8.16,8.08,8.38,7.86
8.02,8.13,8.34,8.02
8.14,8.16,8.36,8.14
8.04,7.80,8.04,7.70
8.26,8.38,8.80,8.26
8.72,8.02,8.84,7.84
8.02,8.16,8.58,8.02
8.20,8.06,8.40,8.06
8.11,8.10,8.11,7.87
7.86,8.18,8.24,7.86
8.14,8.04,8.14,8.04
7.82,8.10,8.10,7.76
8.18,8.18,8.18,8.18
7.82,7.76,7.82,7.76
8.00,7.80,8.00,7.80
7.80,8.00,8.00,7.74
7.88,7.92,8.00,7.88
8.08,7.80,8.08,7.80
7.72,7.60,7.72,7.50
7.64,7.60,7.64,7.50
7.68,7.58,7.73,7.50
7.56,7.50,7.70,7.50
7.54,7.54,7.54,7.54
7.54,7.54,7.54,7.54
7.60,7.50,7.68,7.50
7.54,7.38,7.54,7.38
7.38,7.32,7.68,7.30
9.38,7.14,9.38,6.94
7.16,7.98,7.98,7.10
7.98,7.98,7.98,7.98
8.00,7.88,8.00,7.10
7.20,7.50,7.58,7.20
N/A,N/A,N/A,N/A
7.10,7.46,7.60,7.10
7.68,7.58,7.68,7.58
7.56,7.20,7.56,7.10
7.20,7.12,7.20,6.88
7.06,7.06,7.24,6.74
6.84,6.90,7.20,6.80
6.82,7.00,7.22,6.82
7.00,6.90,7.68,6.62
6.84,6.68,7.48,6.68
6.94,7.10,7.52,6.76
7.24,7.20,7.24,7.20
7.12,7.00,7.38,6.98
6.84,6.84,7.20,6.72
6.80,7.10,7.32,6.80
7.64,8.00,8.00,7.50
7.58,7.98,7.98,7.58
7.94,7.88,7.94,7.80
7.80,7.58,7.80,7.50
7.58,7.58,7.58,7.22
7.58,7.58,7.58,7.58
7.36,7.60,7.60,7.24
7.98,7.98,7.98,7.92
7.90,7.92,7.98,7.90
7.90,7.92,7.92,7.60
N/A,N/A,N/A,N/A
7.72,7.78,7.78,7.00
7.72,7.46,7.92,7.42
N/A,N/A,N/A,N/A
7.30,7.30,7.70,7.30
7.00,7.24,7.84,7.00
N/A,N/A,N/A,N/A
nan,7.78,nan,nan
7.70,7.30,7.82,7.26
nan,6.84,nan,nan
N/A,N/A,N/A,N/A
7.54,7.50,7.58,7.50
N/A,N/A,N/A,N/A
7.16,7.16,7.16,7.16
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
6.92,7.46,7.46,6.90
7.42,7.50,7.50,7.42
6.76,7.06,7.50,6.76
6.84,6.84,6.84,6.84
7.08,7.18,7.24,6.88
N/A,N/A,N/A,N/A
7.10,7.34,7.44,7.10
7.32,7.13,7.34,7.12
7.34,7.24,7.34,7.24
7.10,7.32,7.32,7.10
7.34,7.40,7.50,7.20
7.34,7.50,7.50,7.34
7.32,7.16,7.43,7.16
6.84,6.92,7.50,6.84
6.88,7.00,7.00,6.86
7.00,6.82,7.08,6.80
6.67,6.66,7.00,6.64
7.18,7.18,7.18,7.02
7.18,6.94,7.18,6.78
7.04,7.10,7.18,6.98
7.10,7.10,7.20,7.10
7.10,7.20,7.20,7.10
7.44,7.28,7.44,7.24
N/A,N/A,N/A,N/A
7.10,7.10,7.10,7.10
7.08,6.92,7.11,6.62
7.22,7.20,7.22,6.82
6.78,6.74,6.96,6.64
7.24,7.30,7.30,7.14
7.16,6.98,7.16,6.98
6.68,7.30,7.30,6.68
6.90,6.90,6.90,6.90
N/A,N/A,N/A,N/A
6.96,7.22,7.28,6.66
6.88,6.62,7.00,6.62
6.80,6.80,7.08,6.80
6.86,6.86,6.86,6.86
6.80,6.83,6.83,6.78
6.76,6.80,6.94,6.43
6.58,6.58,7.00,6.42
N/A,N/A,N/A,N/A
6.52,6.78,6.78,6.36
nan,7.00,nan,nan
6.44,6.44,6.44,6.44
6.60,6.36,6.60,6.36
6.56,6.36,6.56,6.36
6.34,6.34,6.34,6.34
6.34,6.48,6.48,6.34
6.68,6.37,6.82,6.34
6.23,6.38,6.60,6.16
6.56,6.50,7.12,6.20
6.18,6.40,6.70,6.18
6.59,6.36,6.70,6.16
6.38,6.28,6.74,6.28
6.66,6.80,6.80,6.28
6.92,6.76,6.92,6.51
6.42,6.80,6.90,6.41
6.78,7.00,7.00,6.56
6.94,6.73,6.94,6.73
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
6.24,6.30,7.00,6.22
6.36,6.66,6.66,6.36
6.28,6.40,6.60,6.28
6.52,6.64,6.64,6.22
6.44,6.68,6.68,6.20
6.52,6.82,6.88,6.26
6.84,6.50,6.86,6.44
6.58,6.60,6.70,6.49
6.52,6.50,6.52,6.50
6.48,6.80,6.86,6.48
6.84,6.64,6.86,6.52
N/A,N/A,N/A,N/A
7.06,6.98,7.08,6.94
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
6.82,6.98,6.98,6.69
6.97,6.94,6.98,6.63
6.56,6.84,6.84,6.54
6.88,6.88,6.88,6.30
N/A,N/A,N/A,N/A
6.74,6.76,6.82,6.62
6.26,6.40,6.56,6.26
6.35,6.32,6.88,6.32
6.42,6.40,6.52,6.36
6.34,6.34,6.34,6.34
6.34,6.98,6.98,6.34
6.94,6.90,7.00,6.56
6.76,6.76,6.76,6.76
6.50,6.56,6.56,6.50
6.70,6.96,6.98,6.56
6.80,6.80,6.80,6.80
6.80,6.50,6.80,6.50
6.70,6.70,6.70,6.58
6.64,6.84,6.84,6.56
6.84,6.92,6.92,6.84
6.72,6.72,6.76,6.68
6.72,6.72,6.72,6.72
6.72,6.72,6.72,6.72
6.86,6.86,6.86,6.86
6.64,6.78,6.78,6.58
6.30,6.80,6.80,6.30
nan,6.80,nan,nan
6.46,6.50,6.50,6.40
6.72,6.74,6.74,6.72
6.90,6.86,6.90,6.40
nan,6.48,nan,nan
6.56,6.90,6.94,6.56
nan,6.90,nan,nan
6.72,6.56,6.94,6.52
6.56,6.56,6.56,6.56
6.58,6.84,6.84,6.54
6.62,6.64,6.74,6.54
6.40,6.40,6.40,6.40
nan,6.40,nan,nan
6.40,6.86,6.86,6.34
nan,6.40,nan,nan
6.49,6.90,6.94,6.42
nan,6.52,nan,nan
6.68,6.46,6.68,6.46
6.48,6.48,6.48,6.48
nan,6.48,nan,nan
6.40,6.42,6.42,6.38
6.50,6.50,6.55,6.48
6.40,6.46,6.46,6.36
nan,6.44,nan,nan
nan,6.44,nan,nan
6.36,6.90,6.90,6.28
nan,6.64,nan,nan
nan,6.64,nan,nan
6.50,6.76,6.76,6.50
6.54,6.40,6.54,6.36
6.40,6.60,6.68,6.40
6.40,6.36,6.44,6.36
6.44,6.32,6.44,6.30
nan,6.34,nan,nan
6.28,6.60,6.60,6.28
6.48,6.72,6.72,6.48
6.66,6.40,6.66,6.30
6.70,6.60,6.74,6.32
6.32,6.46,6.46,6.32
6.39,6.39,6.39,6.39
6.30,6.30,6.34,6.30
6.40,6.22,6.40,6.20
nan,6.38,nan,nan
6.18,6.14,6.42,6.14
6.16,6.14,6.24,6.14
6.52,6.54,6.54,6.20
6.46,6.46,6.46,6.46
6.42,6.42,6.42,6.42
6.22,6.50,6.50,6.22
6.46,6.46,6.46,6.46
6.40,6.60,6.60,6.40
6.54,6.58,6.58,6.50
nan,6.54,nan,nan
6.42,6.22,6.42,6.22
6.30,6.18,6.30,6.18
6.20,6.20,6.50,6.20
6.18,6.30,6.30,6.18
6.28,6.48,6.54,6.28
6.40,6.24,6.40,6.20
6.34,6.40,6.42,6.30
nan,6.24,nan,nan
6.30,6.30,6.30,6.30
6.32,6.38,6.38,6.14
6.24,6.36,6.38,6.14
6.12,6.12,6.12,6.12
6.14,6.14,6.14,6.14
6.46,6.46,6.46,6.46
6.46,6.16,6.52,6.16
6.18,6.20,6.20,6.12
nan,6.20,nan,nan
6.12,6.06,6.20,6.06
6.08,6.18,6.18,6.06
6.22,6.08,6.22,6.08
6.14,6.48,6.48,6.06
6.22,6.08,6.34,6.06
6.26,6.10,6.36,6.06
6.14,6.24,6.24,6.10
6.08,5.96,6.20,5.96
6.20,6.20,6.20,6.20
6.08,6.00,6.12,5.99
6.10,6.00,6.10,6.00
nan,6.00,nan,nan
5.98,5.98,6.00,5.98
5.98,5.92,6.00,5.92
5.92,5.92,6.00,5.92
5.94,5.86,6.00,5.86
5.92,5.86,5.96,5.80
5.86,5.80,6.16,5.80
nan,5.84,nan,nan
5.92,5.88,5.92,5.88
nan,5.84,nan,nan
6.10,5.70,6.14,5.70
5.70,5.70,5.86,5.70
5.74,5.70,5.74,5.70
nan,5.70,nan,nan
5.70,5.70,5.99,5.70
5.70,5.60,5.92,5.60
5.60,5.54,5.82,5.52
5.60,5.50,5.60,5.50
5.50,5.60,5.74,5.50
5.60,5.50,5.60,5.50
5.50,5.50,5.60,5.50
5.52,5.50,5.60,5.50
nan,5.50,nan,nan
5.54,5.61,5.61,5.54
5.60,5.68,5.68,5.60
5.60,5.60,5.60,5.60
nan,5.60,nan,nan
nan,5.60,nan,nan
nan,5.60,nan,nan
5.50,5.60,5.60,5.50
5.54,5.20,5.54,5.00
nan,5.20,nan,nan
5.14,5.30,5.32,5.14
nan,5.30,nan,nan
nan,5.30,nan,nan
5.40,5.38,5.40,5.36
nan,5.40,nan,nan
5.38,5.38,5.38,5.38
nan,5.38,nan,nan
5.17,5.24,5.50,5.14
5.38,5.38,5.38,5.38
5.14,5.50,5.50,5.14
5.42,5.56,5.56,5.42
5.60,5.50,5.60,5.30
nan,5.50,nan,nan
5.60,5.46,5.60,5.46
5.18,5.14,5.18,5.14
5.20,5.20,5.20,5.20
5.38,5.60,5.60,5.16
nan,5.40,nan,nan
5.58,5.74,5.74,5.48
5.60,5.76,5.76,5.54
5.72,5.34,5.72,5.34
5.58,5.64,5.64,5.52
5.66,5.52,5.66,5.16
5.30,5.72,6.66,5.18
5.60,5.54,5.60,5.40
5.43,6.24,6.30,5.43
5.98,5.24,6.30,5.06
5.40,5.18,5.40,5.12
5.30,5.20,5.30,5.14
5.14,5.16,5.60,5.14
5.26,5.14,5.30,5.10
5.16,5.14,5.18,5.10
5.54,5.54,5.54,5.54
5.30,5.40,5.58,5.30
5.20,5.20,5.30,5.18
5.12,5.30,5.30,5.12
5.14,5.10,5.14,5.10
nan,5.20,nan,nan
5.14,5.50,5.58,5.12
5.46,5.44,5.50,5.08
5.24,5.58,5.60,5.24
5.58,5.58,5.58,5.58
5.50,5.60,5.60,5.50
5.56,5.58,5.58,5.40
nan,5.58,nan,nan
5.60,5.28,5.60,5.22
5.30,5.58,5.58,5.30
5.46,5.58,5.58,5.16
5.50,5.50,5.50,5.50
nan,5.50,nan,nan
nan,5.50,nan,nan
5.24,5.18,5.24,5.18
5.26,5.12,5.28,5.00
5.14,5.18,5.18,5.08
5.18,5.06,5.20,5.02
nan,5.06,nan,nan
nan,5.06,nan,nan
5.16,5.04,5.36,5.04
5.08,5.04,5.16,5.04
5.02,4.98,5.04,4.96
5.02,5.02,5.02,5.02
4.98,4.98,5.02,4.96
nan,4.98,nan,nan
4.96,5.38,5.40,4.96
5.28,5.20,5.28,5.20
5.38,5.38,5.38,5.38
5.16,5.00,5.22,5.00
5.10,5.10,5.14,5.10
4.98,5.10,5.10,4.98
4.96,5.10,5.20,4.96
4.98,5.10,5.18,4.98
5.00,5.10,5.40,5.00
5.04,5.04,5.04,5.04
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
5.02,5.02,5.20,4.98
4.96,5.04,5.04,4.96
5.08,5.08,5.08,5.08
4.98,5.10,5.10,4.96
5.15,5.10,5.15,5.10
4.98,5.10,5.10,4.96
5.08,5.10,5.27,5.08
4.96,4.96,5.18,4.96
5.06,4.96,5.14,4.96
4.96,5.02,5.02,4.96
5.00,5.02,5.02,4.98
5.04,5.09,5.09,5.04
4.88,5.26,5.58,4.88
5.30,5.30,5.30,5.20
5.20,5.30,5.34,5.20
5.34,5.40,5.40,5.34
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
5.04,5.30,5.30,5.04
5.46,5.60,5.60,5.44
5.46,5.58,5.58,5.20
5.26,5.30,5.31,5.22
N/A,N/A,N/A,N/A
5.46,5.46,5.46,5.46
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
5.34,5.30,5.34,5.30
5.30,5.30,5.60,5.30
5.48,5.40,5.48,5.40
5.34,5.30,5.34,5.30
5.20,5.20,5.20,5.20
5.30,5.30,5.30,5.30
5.26,5.20,5.26,5.20
5.10,5.04,5.10,5.04
5.10,5.10,5.10,5.10
N/A,N/A,N/A,N/A
5.20,5.14,5.30,5.12
5.12,5.04,5.14,5.04
4.97,4.96,4.97,4.96
5.10,5.24,5.24,5.00
N/A,N/A,N/A,N/A
5.10,4.96,5.10,4.88
5.14,4.92,5.14,4.92
4.96,5.20,5.20,4.96
N/A,N/A,N/A,N/A
5.16,5.48,5.48,5.16
5.16,5.38,5.38,5.16
5.38,5.46,5.46,5.38
N/A,N/A,N/A,N/A
5.30,5.38,5.38,5.30
5.20,5.54,5.54,5.20
5.46,5.48,5.48,5.46
5.38,5.38,5.38,5.38
5.39,5.42,5.42,5.28
5.36,5.32,5.36,5.32
N/A,N/A,N/A,N/A
6.26,5.62,6.26,5.08
5.60,5.25,5.60,5.25
5.22,5.32,5.32,5.22
6.38,6.37,6.38,6.37
5.86,5.58,5.86,5.58
5.76,5.60,5.76,5.60
5.60,5.72,6.66,5.58
5.66,5.72,5.88,5.66
5.94,5.72,5.94,5.72
5.48,5.48,5.48,5.48
5.50,5.74,5.76,5.50
5.74,5.74,5.78,5.64
5.64,5.76,6.08,5.64
5.96,5.76,5.96,5.58
5.76,5.40,5.76,5.30
5.40,5.30,5.54,5.26
5.44,5.50,5.54,5.40
N/A,N/A,N/A,N/A
5.46,5.70,5.70,5.30
5.32,5.73,5.73,5.32
5.38,5.28,5.38,5.28
5.34,5.76,5.76,5.22
5.46,5.66,5.67,5.34
N/A,N/A,N/A,N/A
5.82,5.50,5.86,5.42
5.74,5.60,5.78,5.60
5.46,5.66,5.66,5.42
5.40,5.40,5.42,5.40
5.34,5.64,5.74,5.26
5.28,5.63,5.74,5.28
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
5.44,5.70,5.70,5.44
5.26,5.50,5.50,5.26
5.58,5.60,5.60,5.34
5.34,5.44,5.46,5.11
5.48,5.48,5.48,5.48
5.50,5.36,5.50,5.36
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
5.36,5.36,5.36,5.36
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
5.27,5.31,5.31,5.27
5.46,5.46,5.74,5.46
5.38,5.19,5.38,5.19
5.30,5.20,5.30,5.16
5.20,5.02,5.52,5.02
5.00,5.10,5.26,4.98
5.00,5.00,5.00,5.00
4.94,5.15,5.16,4.90
4.98,5.08,5.12,4.98
5.12,4.92,5.12,4.88
4.88,5.14,5.14,4.88
5.16,4.98,5.16,4.98
4.88,5.14,5.14,4.88
5.19,5.14,5.24,4.94
5.14,4.96,5.26,4.96
5.30,5.30,5.30,5.30
5.26,5.26,5.26,5.06
N/A,N/A,N/A,N/A
5.38,5.32,5.38,4.99
5.24,5.10,5.24,5.10
N/A,N/A,N/A,N/A
5.08,5.18,5.18,5.06
5.28,5.40,5.40,5.22
5.38,5.08,5.48,5.08
N/A,N/A,N/A,N/A
5.14,5.06,5.27,5.04
N/A,N/A,N/A,N/A
5.08,5.04,5.08,5.04
5.06,5.20,5.20,5.06
5.22,5.48,5.48,5.12
5.20,5.22,5.22,5.20
5.20,5.20,5.20,5.20
5.46,5.41,5.46,5.41
N/A,N/A,N/A,N/A
5.40,5.50,5.50,5.40
N/A,N/A,N/A,N/A
5.46,5.24,5.46,5.24
5.36,5.50,5.50,5.36
5.42,5.56,5.56,5.36
5.58,5.60,5.76,5.54
5.84,5.84,5.84,5.84
5.84,5.84,5.84,5.84
5.76,5.76,5.76,5.76
