CADC,China Advanced Construction Materials Group,NASDAQ
46.92,46.44,47.52,46.20
46.68,43.68,46.68,43.20
44.28,39.84,44.28,39.00
39.72,41.88,43.80,39.72
42.60,43.56,43.68,42.00
43.56,41.76,44.28,41.52
42.00,41.04,43.32,41.04
40.92,41.28,41.88,40.80
41.40,43.68,43.92,41.40
43.56,43.68,45.48,43.20
43.44,41.64,44.28,41.52
42.24,39.60,42.24,39.12
39.96,40.44,41.11,39.96
40.20,36.48,40.32,36.12
37.20,37.68,38.16,37.20
37.68,36.84,37.80,36.60
36.72,36.24,36.72,36.00
36.00,36.60,36.60,36.00
36.48,36.84,37.56,36.48
37.80,37.56,38.64,36.96
38.40,37.44,38.40,36.84
37.20,36.96,37.56,36.72
36.96,36.00,37.55,35.88
36.00,35.88,36.46,35.88
35.64,35.88,36.96,35.17
36.00,33.60,36.00,33.48
33.60,34.08,34.44,33.60
33.96,36.12,36.72,33.96
36.60,36.72,38.16,36.12
36.72,36.12,38.28,36.00
35.88,33.72,35.88,33.60
33.96,31.08,33.96,30.36
31.32,31.20,32.52,31.20
31.80,30.60,32.61,30.60
30.60,30.48,30.96,30.36
30.00,28.32,30.23,27.72
28.80,25.20,28.80,25.20
24.96,24.30,25.08,23.64
24.60,25.08,25.32,23.40
25.20,24.72,26.76,23.52
25.08,25.80,25.92,24.60
26.40,25.80,26.76,24.72
25.92,29.16,31.56,25.68
30.24,34.08,37.20,30.24
34.20,32.16,36.00,31.92
33.00,30.96,33.00,30.36
30.24,30.00,32.52,29.40
30.00,29.40,30.60,29.40
29.64,26.16,29.76,26.04
26.16,23.76,27.00,23.64
25.68,26.64,28.32,24.24
26.64,25.20,26.64,24.12
25.68,24.48,26.40,24.48
24.96,25.20,25.80,24.36
24.72,24.48,24.96,24.12
24.60,23.52,25.31,23.16
24.36,23.04,24.60,23.04
22.68,22.32,24.96,21.00
22.20,19.56,23.28,18.60
19.80,18.48,21.24,17.40
18.36,19.68,19.92,18.36
19.92,20.16,21.72,19.32
20.28,20.76,21.36,20.28
21.12,21.96,21.96,20.64
21.60,21.60,21.72,20.88
21.84,21.48,21.84,21.36
21.12,20.06,21.12,19.32
19.56,19.44,20.87,18.84
19.80,20.16,21.00,19.67
20.40,20.16,20.51,19.32
20.40,20.16,20.64,20.04
20.40,20.52,21.11,20.16
20.28,20.64,20.88,20.16
21.00,21.00,21.12,20.76
21.12,21.00,22.55,20.76
21.72,21.84,22.20,20.40
22.08,22.20,22.80,22.08
