NTN,NTN Buzztime,NASDAQ
0.50,0.51,0.52,0.49
0.49,0.48,0.50,0.47
0.46,0.46,0.47,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.45
0.47,0.50,0.50,0.47
0.49,0.50,0.50,0.47
0.49,0.53,0.53,0.46
0.52,0.52,0.52,0.51
0.52,0.52,0.52,0.52
0.52,0.50,0.52,0.50
0.49,0.50,0.50,0.49
0.48,0.51,0.51,0.45
0.48,0.50,0.50,0.45
0.48,0.47,0.48,0.46
0.46,0.49,0.49,0.46
0.46,0.48,0.49,0.46
0.49,0.51,0.51,0.49
0.49,0.48,0.49,0.46
0.48,0.48,0.48,0.48
0.49,0.49,0.49,0.49
0.48,0.47,0.49,0.46
0.48,0.49,0.50,0.47
0.48,0.48,0.50,0.48
0.48,0.43,0.48,0.40
0.43,0.51,0.51,0.43
0.52,0.50,0.53,0.49
0.50,0.48,0.53,0.48
0.47,0.55,0.55,0.44
0.52,0.49,0.53,0.49
0.49,0.49,0.49,0.49
0.48,0.45,0.49,0.45
0.41,0.47,0.47,0.41
0.42,0.47,0.47,0.42
0.47,0.46,0.48,0.43
0.46,0.46,0.47,0.41
0.46,0.45,0.46,0.43
0.45,0.43,0.45,0.42
0.44,0.44,0.45,0.43
0.43,0.41,0.44,0.40
0.41,0.39,0.43,0.37
0.39,0.41,0.42,0.39
0.41,0.45,0.45,0.40
0.44,0.44,0.47,0.44
0.43,0.43,0.44,0.43
0.42,0.40,0.42,0.40
0.41,0.42,0.43,0.41
0.42,0.41,0.42,0.41
0.40,0.43,0.43,0.40
0.43,0.41,0.43,0.40
0.43,0.41,0.43,0.41
0.41,0.41,0.43,0.41
0.41,0.39,0.41,0.39
0.40,0.39,0.40,0.38
0.39,0.39,0.39,0.39
0.39,0.39,0.40,0.36
0.38,0.39,0.39,0.37
0.43,0.41,0.43,0.41
0.43,0.40,0.43,0.40
0.41,0.40,0.41,0.40
0.39,0.39,0.41,0.39
0.39,0.41,0.41,0.39
0.41,0.42,0.42,0.39
0.42,0.40,0.42,0.37
0.40,0.37,0.40,0.37
0.38,0.36,0.40,0.33
0.36,0.40,0.40,0.36
0.39,0.38,0.40,0.36
0.36,0.40,0.41,0.36
0.39,0.40,0.40,0.36
0.40,0.40,0.40,0.40
0.39,0.40,0.40,0.37
0.38,0.39,0.40,0.38
0.39,0.40,0.40,0.39
0.40,0.39,0.40,0.39
0.39,0.37,0.39,0.35
0.39,0.37,0.39,0.37
0.38,0.40,0.40,0.38
0.39,0.40,0.40,0.38
0.39,0.40,0.40,0.38
0.39,0.40,0.42,0.38
0.41,0.42,0.42,0.40
0.42,0.41,0.42,0.41
0.41,0.41,0.41,0.41
0.42,0.44,0.45,0.42
0.42,0.42,0.45,0.42
0.43,0.45,0.45,0.43
0.44,0.44,0.45,0.43
0.45,0.45,0.45,0.44
0.44,0.44,0.45,0.43
0.43,0.42,0.45,0.41
0.43,0.40,0.46,0.38
0.40,0.38,0.41,0.38
0.38,0.40,0.40,0.37
0.39,0.39,0.39,0.38
0.39,0.37,0.39,0.37
0.38,0.39,0.39,0.37
0.39,0.39,0.39,0.38
0.39,0.39,0.40,0.38
0.38,0.39,0.39,0.37
0.31,0.38,0.40,0.31
0.39,0.38,0.39,0.38
0.39,0.38,0.39,0.35
0.37,0.37,0.37,0.36
0.36,0.36,0.37,0.36
0.36,0.35,0.37,0.35
0.35,0.34,0.36,0.34
0.35,0.37,0.37,0.32
0.37,0.34,0.37,0.34
0.34,0.34,0.35,0.34
0.34,0.36,0.36,0.34
0.36,0.35,0.36,0.35
0.33,0.34,0.35,0.33
0.35,0.35,0.36,0.35
0.36,0.38,0.41,0.36
0.38,0.37,0.39,0.36
0.37,0.37,0.38,0.35
0.36,0.35,0.36,0.34
0.35,0.35,0.36,0.34
0.36,0.37,0.37,0.34
0.36,0.36,0.38,0.33
0.35,0.36,0.36,0.34
0.35,0.36,0.37,0.34
0.37,0.36,0.37,0.34
0.35,0.34,0.37,0.34
0.33,0.35,0.36,0.33
0.34,0.33,0.36,0.33
0.33,0.37,0.37,0.33
0.37,0.36,0.37,0.35
0.37,0.36,0.37,0.35
0.34,0.36,0.36,0.34
0.36,0.36,0.37,0.35
0.35,0.37,0.37,0.35
0.37,0.36,0.37,0.35
0.36,0.37,0.37,0.36
0.37,0.38,0.38,0.36
0.39,0.39,0.40,0.38
0.39,0.39,0.39,0.38
0.45,0.44,0.45,0.39
0.45,0.43,0.46,0.41
0.44,0.44,0.44,0.42
0.45,0.44,0.45,0.44
0.43,0.45,0.45,0.43
0.45,0.46,0.46,0.44
0.46,0.46,0.46,0.44
0.45,0.44,0.45,0.44
0.41,0.44,0.44,0.41
0.43,0.43,0.44,0.42
0.44,0.41,0.45,0.40
0.41,0.43,0.43,0.41
0.43,0.44,0.44,0.42
0.43,0.42,0.43,0.41
0.42,0.43,0.43,0.41
0.43,0.42,0.43,0.41
0.42,0.42,0.43,0.41
0.40,0.43,0.44,0.40
0.40,0.41,0.42,0.40
0.39,0.42,0.42,0.39
0.40,0.42,0.42,0.40
0.41,0.42,0.42,0.41
0.41,0.40,0.42,0.39
0.40,0.41,0.41,0.39
0.40,0.38,0.40,0.38
0.39,0.39,0.41,0.39
0.39,0.40,0.40,0.38
0.39,0.47,0.50,0.39
0.46,0.41,0.47,0.39
0.42,0.44,0.49,0.42
0.45,0.47,0.48,0.42
0.46,0.48,0.49,0.46
0.51,0.44,0.51,0.44
0.45,0.44,0.48,0.43
0.43,0.46,0.49,0.43
0.47,0.48,0.48,0.46
0.49,0.48,0.49,0.47
0.48,0.47,0.48,0.46
0.47,0.43,0.47,0.43
0.43,0.41,0.45,0.40
0.41,0.43,0.43,0.41
0.42,0.43,0.43,0.41
0.43,0.43,0.43,0.42
0.43,0.42,0.43,0.41
0.40,0.41,0.43,0.40
0.42,0.41,0.42,0.41
0.41,0.43,0.43,0.41
0.43,0.43,0.43,0.42
0.43,0.42,0.43,0.41
0.41,0.42,0.42,0.40
0.40,0.40,0.42,0.40
0.41,0.43,0.43,0.41
0.41,0.43,0.43,0.40
0.43,0.42,0.43,0.42
0.43,0.43,0.43,0.42
0.44,0.41,0.47,0.40
0.42,0.44,0.47,0.42
0.44,0.44,0.48,0.44
0.45,0.52,0.55,0.45
0.52,0.51,0.52,0.48
0.52,0.50,0.54,0.50
0.50,0.51,0.55,0.50
0.52,0.49,0.52,0.48
0.50,0.49,0.51,0.48
0.50,0.49,0.50,0.46
0.48,0.48,0.50,0.47
0.50,0.49,0.51,0.48
0.48,0.49,0.50,0.48
0.48,0.48,0.49,0.47
0.47,0.47,0.49,0.47
0.49,0.48,0.49,0.46
0.48,0.44,0.49,0.37
0.44,0.43,0.45,0.42
0.42,0.44,0.44,0.41
0.43,0.44,0.44,0.43
0.43,0.44,0.44,0.42
0.47,0.45,0.47,0.44
0.46,0.45,0.47,0.44
0.52,0.50,0.54,0.48
0.51,0.50,0.52,0.49
0.50,0.51,0.52,0.48
0.50,0.49,0.50,0.47
0.47,0.47,0.48,0.45
0.47,0.49,0.49,0.46
0.48,0.51,0.51,0.48
0.51,0.52,0.52,0.51
0.50,0.50,0.53,0.50
0.49,0.50,0.51,0.49
0.49,0.48,0.49,0.46
0.48,0.49,0.49,0.48
0.47,0.47,0.50,0.46
0.46,0.47,0.48,0.46
0.47,0.47,0.48,0.47
0.47,0.48,0.50,0.46
0.48,0.48,0.48,0.47
0.47,0.47,0.48,0.46
0.48,0.48,0.48,0.47
0.48,0.47,0.49,0.46
0.46,0.46,0.47,0.46
0.47,0.47,0.50,0.46
0.46,0.50,0.50,0.45
0.49,0.47,0.49,0.42
0.46,0.45,0.46,0.45
0.44,0.44,0.47,0.40
0.44,0.43,0.46,0.41
0.43,0.43,0.45,0.41
0.43,0.42,0.45,0.41
0.44,0.43,0.44,0.43
0.43,0.43,0.44,0.41
0.42,0.43,0.43,0.41
0.44,0.45,0.51,0.43
0.44,0.44,0.46,0.43
0.45,0.45,0.45,0.43
0.44,0.48,0.48,0.44
0.47,0.46,0.47,0.45
0.45,0.43,0.47,0.39
0.42,0.43,0.43,0.40
0.42,0.44,0.44,0.41
0.42,0.43,0.45,0.42
0.45,0.46,0.46,0.44
0.44,0.46,0.46,0.43
0.44,0.46,0.46,0.41
0.46,0.46,0.46,0.45
0.46,0.43,0.46,0.43
0.41,0.43,0.45,0.41
0.42,0.43,0.43,0.41
0.42,0.45,0.45,0.42
0.45,0.45,0.45,0.44
0.45,0.43,0.45,0.43
0.44,0.45,0.45,0.43
0.44,0.45,0.45,0.43
0.44,0.45,0.45,0.43
0.45,0.45,0.45,0.43
0.44,0.45,0.45,0.43
0.44,0.44,0.45,0.43
0.45,0.45,0.45,0.43
0.44,0.45,0.45,0.43
0.45,0.45,0.46,0.44
0.44,0.44,0.45,0.43
0.45,0.45,0.45,0.44
0.45,0.45,0.45,0.44
0.44,0.45,0.45,0.42
0.44,0.45,0.45,0.43
0.45,0.45,0.45,0.44
0.44,0.45,0.45,0.42
0.44,0.45,0.45,0.42
0.44,0.44,0.44,0.42
0.42,0.45,0.45,0.42
0.43,0.41,0.44,0.40
0.40,0.42,0.43,0.37
0.43,0.43,0.45,0.43
0.42,0.44,0.45,0.40
0.40,0.42,0.43,0.40
0.41,0.42,0.44,0.39
0.41,0.41,0.42,0.39
0.42,0.40,0.45,0.40
0.41,0.42,0.42,0.39
0.42,0.40,0.45,0.37
0.42,0.41,0.42,0.38
0.39,0.42,0.42,0.38
0.41,0.42,0.42,0.41
0.41,0.41,0.41,0.40
0.41,0.42,0.42,0.41
0.43,0.43,0.44,0.40
0.43,0.43,0.43,0.40
0.42,0.43,0.44,0.41
0.42,0.42,0.42,0.40
0.40,0.41,0.42,0.37
0.39,0.42,0.42,0.39
0.41,0.42,0.42,0.39
0.40,0.42,0.42,0.39
0.42,0.42,0.42,0.42
0.40,0.42,0.42,0.39
0.41,0.43,0.43,0.39
0.43,0.44,0.44,0.40
0.43,0.42,0.44,0.41
0.43,0.39,0.44,0.39
0.37,0.43,0.43,0.37
0.42,0.42,0.42,0.41
0.41,0.42,0.42,0.39
0.42,0.39,0.42,0.38
0.38,0.39,0.40,0.36
0.39,0.39,0.40,0.38
0.39,0.39,0.40,0.38
0.40,0.39,0.40,0.38
0.38,0.39,0.40,0.38
0.38,0.38,0.38,0.37
0.38,0.38,0.38,0.37
0.36,0.38,0.38,0.36
0.37,0.38,0.38,0.37
0.37,0.37,0.38,0.37
0.39,0.36,0.40,0.35
0.36,0.36,0.37,0.35
0.38,0.37,0.38,0.35
0.36,0.38,0.38,0.36
0.39,0.38,0.39,0.37
0.38,0.38,0.39,0.38
0.37,0.36,0.38,0.36
0.36,0.37,0.38,0.36
0.38,0.38,0.38,0.37
0.37,0.38,0.38,0.36
0.38,0.39,0.39,0.36
0.38,0.38,0.40,0.37
0.38,0.34,0.38,0.33
0.35,0.36,0.38,0.35
0.37,0.37,0.38,0.37
0.37,0.40,0.41,0.37
0.41,0.39,0.42,0.39
0.39,0.41,0.42,0.39
0.41,0.41,0.41,0.40
0.50,0.39,0.50,0.39
0.40,0.41,0.41,0.40
0.40,0.40,0.40,0.39
0.39,0.38,0.40,0.38
0.40,0.40,0.40,0.39
0.39,0.40,0.40,0.39
0.40,0.40,0.40,0.39
0.40,0.42,0.42,0.40
0.41,0.40,0.42,0.38
0.40,0.41,0.41,0.40
0.40,0.41,0.41,0.39
0.41,0.40,0.42,0.39
0.41,0.40,0.42,0.39
0.39,0.40,0.40,0.38
0.38,0.38,0.40,0.38
0.40,0.41,0.41,0.38
0.40,0.41,0.41,0.39
0.40,0.41,0.41,0.40
0.40,0.39,0.41,0.39
0.38,0.40,0.40,0.38
0.40,0.41,0.41,0.39
0.40,0.39,0.41,0.37
0.38,0.39,0.39,0.38
0.39,0.38,0.39,0.38
0.38,0.37,0.39,0.37
0.37,0.37,0.37,0.36
0.38,0.37,0.39,0.37
0.38,0.37,0.38,0.35
0.37,0.36,0.37,0.36
0.36,0.36,0.36,0.36
0.37,0.37,0.37,0.35
0.36,0.35,0.36,0.35
0.37,0.35,0.37,0.35
0.35,0.33,0.35,0.33
0.32,0.32,0.33,0.32
0.32,0.34,0.35,0.32
0.32,0.26,0.33,0.24
0.26,0.26,0.27,0.24
0.26,0.25,0.26,0.22
0.23,0.25,0.30,0.22
0.25,0.28,0.28,0.24
0.28,0.26,0.28,0.25
0.29,0.28,0.29,0.26
0.27,0.28,0.29,0.27
0.28,0.28,0.29,0.26
0.28,0.28,0.28,0.28
0.27,0.27,0.27,0.26
0.26,0.26,0.28,0.26
0.26,0.26,0.26,0.25
0.24,0.26,0.26,0.23
0.23,0.23,0.23,0.22
0.20,0.20,0.23,0.20
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.20
0.21,0.23,0.23,0.21
0.23,0.23,0.24,0.22
0.24,0.21,0.24,0.21
0.21,0.21,0.23,0.21
0.21,0.22,0.22,0.21
0.23,0.28,0.34,0.22
0.29,0.28,0.29,0.26
0.28,0.24,0.29,0.23
0.25,0.25,0.26,0.23
0.25,0.23,0.25,0.23
0.23,0.24,0.24,0.23
0.24,0.25,0.25,0.24
0.25,0.25,0.25,0.24
0.24,0.24,0.24,0.23
0.24,0.24,0.24,0.23
0.24,0.25,0.25,0.23
0.24,0.23,0.25,0.23
0.23,0.24,0.24,0.23
0.23,0.23,0.24,0.23
0.23,0.23,0.24,0.23
0.24,0.24,0.24,0.24
0.24,0.23,0.24,0.23
0.22,0.22,0.22,0.21
0.21,0.21,0.22,0.21
0.21,0.23,0.25,0.21
0.23,0.23,0.25,0.23
0.24,0.23,0.24,0.22
0.23,0.23,0.24,0.23
0.24,0.24,0.25,0.23
0.24,0.24,0.24,0.24
0.23,0.25,0.25,0.23
0.24,0.24,0.24,0.24
0.23,0.25,0.25,0.23
0.25,0.24,0.25,0.23
0.25,0.25,0.25,0.25
0.24,0.23,0.25,0.23
0.23,0.24,0.24,0.23
0.26,0.23,0.26,0.23
0.22,0.22,0.23,0.22
0.23,0.22,0.24,0.22
0.22,0.23,0.23,0.21
0.23,0.23,0.23,0.23
0.24,0.24,0.28,0.24
0.25,0.25,0.26,0.23
0.26,0.25,0.26,0.24
0.25,0.25,0.25,0.25
0.23,0.25,0.25,0.22
0.25,0.25,0.26,0.22
0.24,0.23,0.25,0.23
0.23,0.22,0.23,0.22
0.22,0.22,0.24,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.21
0.21,0.22,0.24,0.21
0.22,0.22,0.22,0.22
0.21,0.22,0.23,0.21
0.22,0.23,0.23,0.22
0.24,0.22,0.24,0.21
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.23,0.22
0.23,0.25,0.25,0.23
0.23,0.23,0.25,0.21
0.23,0.22,0.23,0.22
0.23,0.23,0.25,0.23
0.23,0.22,0.24,0.22
0.22,0.23,0.24,0.22
0.24,0.25,0.25,0.24
0.24,0.23,0.24,0.23
0.23,0.23,0.23,0.23
0.24,0.25,0.25,0.23
0.25,0.24,0.25,0.24
0.24,0.25,0.25,0.24
0.23,0.25,0.25,0.23
0.25,0.25,0.25,0.24
0.24,0.24,0.25,0.24
0.23,0.24,0.24,0.23
0.24,0.22,0.25,0.22
0.23,0.20,0.23,0.20
0.21,0.22,0.22,0.20
0.26,0.20,0.26,0.20
0.19,0.18,0.20,0.18
0.23,0.20,0.23,0.19
0.19,0.20,0.21,0.19
0.20,0.19,0.20,0.18
0.20,0.20,0.20,0.19
0.19,0.20,0.20,0.18
0.20,0.20,0.20,0.20
0.20,0.18,0.20,0.18
0.19,0.18,0.19,0.18
0.18,0.17,0.18,0.17
0.17,0.17,0.18,0.16
0.17,0.18,0.20,0.15
0.18,0.16,0.18,0.15
0.16,0.15,0.17,0.15
0.14,0.14,0.16,0.14
0.15,0.17,0.17,0.15
0.17,0.17,0.17,0.17
0.17,0.15,0.17,0.14
0.15,0.16,0.16,0.14
0.16,0.16,0.16,0.14
0.16,0.14,0.16,0.14
0.15,0.15,0.15,0.14
0.15,0.15,0.16,0.14
0.14,0.14,0.15,0.14
0.14,0.13,0.14,0.13
0.13,0.15,0.15,0.13
0.15,0.13,0.15,0.13
0.14,0.13,0.15,0.13
0.13,0.13,0.14,0.13
0.13,0.13,0.14,0.13
0.14,0.14,0.14,0.13
0.14,0.14,0.14,0.14
0.14,0.14,0.15,0.14
0.14,0.15,0.15,0.14
0.15,0.15,0.15,0.15
0.14,0.16,0.16,0.14
0.15,0.16,0.17,0.14
0.15,0.15,0.15,0.14
0.15,0.15,0.16,0.15
0.16,0.16,0.16,0.16
0.13,0.15,0.17,0.13
0.15,0.14,0.17,0.14
0.14,0.15,0.15,0.14
0.14,0.14,0.15,0.14
0.16,0.14,0.16,0.13
0.13,0.14,0.14,0.13
0.14,0.15,0.15,0.13
0.15,0.14,0.15,0.14
0.14,0.13,0.15,0.13
0.13,0.15,0.15,0.13
0.16,0.14,0.16,0.14
0.13,0.14,0.15,0.13
0.14,0.15,0.15,0.14
0.14,0.15,0.15,0.14
0.15,0.14,0.15,0.14
0.15,0.15,0.15,0.14
0.15,0.15,0.15,0.14
0.15,0.19,0.19,0.15
0.19,0.20,0.21,0.19
0.19,0.20,0.21,0.14
0.16,0.21,0.21,0.16
0.21,0.23,0.23,0.21
0.23,0.22,0.23,0.22
0.21,0.23,0.23,0.20
0.23,0.20,0.23,0.19
0.22,0.19,0.22,0.19
0.20,0.20,0.20,0.19
0.19,0.19,0.19,0.17
0.19,0.19,0.19,0.18
0.18,0.18,0.19,0.16
0.17,0.19,0.21,0.16
0.20,0.19,0.21,0.19
0.19,0.18,0.19,0.18
0.19,0.17,0.19,0.17
0.16,0.16,0.17,0.16
0.17,0.16,0.17,0.15
0.16,0.16,0.17,0.16
0.17,0.16,0.21,0.16
0.18,0.18,0.20,0.16
0.19,0.18,0.20,0.16
0.19,0.21,0.21,0.18
0.21,0.21,0.22,0.20
0.20,0.21,0.22,0.18
0.20,0.20,0.21,0.18
0.20,0.21,0.21,0.20
0.19,0.19,0.21,0.18
0.20,0.21,0.21,0.19
0.21,0.22,0.22,0.19
0.21,0.20,0.21,0.20
0.21,0.20,0.21,0.18
0.19,0.21,0.21,0.19
0.21,0.21,0.21,0.21
0.20,0.21,0.21,0.20
0.19,0.19,0.20,0.18
0.18,0.20,0.20,0.18
0.19,0.20,0.20,0.18
0.19,0.20,0.20,0.19
0.20,0.20,0.20,0.19
0.19,0.19,0.20,0.19
0.20,0.19,0.20,0.19
0.18,0.20,0.20,0.18
0.19,0.18,0.19,0.18
0.18,0.18,0.19,0.17
0.17,0.18,0.19,0.17
0.18,0.18,0.19,0.17
0.17,0.19,0.19,0.16
0.19,0.19,0.19,0.19
0.18,0.18,0.18,0.18
0.19,0.19,0.19,0.18
0.18,0.19,0.20,0.17
0.19,0.19,0.20,0.19
0.20,0.19,0.20,0.18
0.18,0.19,0.20,0.18
0.18,0.20,0.20,0.17
0.20,0.20,0.20,0.20
0.19,0.19,0.20,0.18
0.20,0.19,0.20,0.17
0.18,0.20,0.20,0.17
0.19,0.19,0.19,0.18
0.19,0.19,0.19,0.16
0.19,0.20,0.21,0.19
0.21,0.21,0.21,0.20
0.21,0.22,0.22,0.21
0.20,0.22,0.23,0.20
0.20,0.22,0.22,0.20
0.21,0.22,0.22,0.20
0.22,0.22,0.23,0.21
0.23,0.22,0.23,0.21
0.21,0.23,0.23,0.21
0.23,0.23,0.23,0.22
0.22,0.22,0.23,0.21
0.21,0.20,0.21,0.19
0.21,0.21,0.23,0.20
0.20,0.20,0.21,0.20
0.19,0.22,0.22,0.19
0.22,0.22,0.22,0.22
0.21,0.22,0.22,0.21
0.21,0.22,0.22,0.19
0.22,0.22,0.22,0.22
0.20,0.22,0.22,0.20
0.21,0.21,0.22,0.21
0.22,0.20,0.22,0.20
0.19,0.20,0.20,0.19
0.20,0.21,0.21,0.20
0.21,0.22,0.22,0.20
0.22,0.22,0.22,0.20
0.20,0.23,0.24,0.19
0.21,0.23,0.23,0.20
0.20,0.23,0.23,0.20
0.22,0.23,0.23,0.22
0.23,0.23,0.23,0.22
0.21,0.23,0.24,0.21
0.22,0.22,0.24,0.21
0.23,0.23,0.23,0.20
0.21,0.21,0.23,0.21
0.22,0.21,0.23,0.20
0.22,0.22,0.23,0.22
0.23,0.23,0.23,0.20
0.22,0.23,0.23,0.22
0.22,0.23,0.23,0.21
0.22,0.21,0.22,0.20
0.21,0.22,0.22,0.21
0.22,0.23,0.23,0.20
0.22,0.20,0.22,0.20
0.20,0.20,0.23,0.19
0.20,0.21,0.21,0.18
0.20,0.21,0.21,0.19
0.21,0.21,0.21,0.21
0.20,0.20,0.21,0.19
0.21,0.20,0.21,0.19
0.20,0.21,0.21,0.20
0.21,0.21,0.22,0.20
0.21,0.20,0.22,0.20
0.24,0.20,0.24,0.19
0.20,0.21,0.21,0.20
0.20,0.20,0.20,0.20
0.21,0.20,0.22,0.20
0.21,0.21,0.21,0.20
0.18,0.21,0.22,0.18
0.20,0.19,0.22,0.19
0.19,0.19,0.19,0.19
0.20,0.20,0.22,0.19
0.21,0.20,0.21,0.19
0.19,0.20,0.22,0.18
0.19,0.19,0.20,0.19
0.19,0.22,0.22,0.19
0.19,0.19,0.21,0.19
0.19,0.19,0.19,0.19
0.19,0.19,0.20,0.18
0.19,0.19,0.20,0.19
0.18,0.19,0.20,0.18
0.19,0.21,0.21,0.18
0.21,0.21,0.22,0.21
0.21,0.20,0.22,0.19
0.21,0.23,0.23,0.19
0.23,0.21,0.23,0.21
0.22,0.23,0.23,0.22
0.24,0.23,0.24,0.23
0.24,0.24,0.24,0.23
0.20,0.24,0.24,0.20
0.24,0.25,0.28,0.24
0.25,0.24,0.25,0.23
0.24,0.27,0.28,0.24
0.28,0.27,0.28,0.26
0.28,0.27,0.28,0.25
0.27,0.28,0.28,0.26
0.27,0.26,0.28,0.26
0.28,0.26,0.28,0.26
0.27,0.26,0.27,0.26
0.27,0.26,0.27,0.25
0.27,0.27,0.27,0.26
0.27,0.26,0.27,0.24
0.26,0.25,0.26,0.24
0.24,0.25,0.25,0.24
0.25,0.26,0.27,0.25
0.26,0.27,0.27,0.26
0.27,0.26,0.27,0.24
0.25,0.25,0.26,0.24
0.25,0.25,0.27,0.24
0.24,0.24,0.26,0.24
0.25,0.24,0.26,0.24
0.25,0.24,0.25,0.24
0.24,0.25,0.26,0.24
0.27,0.25,0.27,0.25
0.27,0.27,0.27,0.26
0.27,0.26,0.27,0.26
0.27,0.24,0.27,0.24
0.25,0.26,0.27,0.24
0.26,0.26,0.27,0.26
0.27,0.27,0.27,0.26
0.25,0.27,0.27,0.25
0.26,0.27,0.27,0.26
0.27,0.28,0.28,0.27
0.28,0.30,0.30,0.28
0.30,0.36,0.36,0.30
0.37,0.40,0.40,0.36
0.40,0.36,0.40,0.35
0.37,0.33,0.37,0.33
0.34,0.33,0.34,0.33
0.34,0.36,0.36,0.33
0.38,0.40,0.40,0.37
0.40,0.40,0.40,0.38
0.38,0.39,0.39,0.36
0.39,0.38,0.39,0.38
0.37,0.35,0.38,0.34
0.36,0.35,0.40,0.35
0.35,0.36,0.37,0.35
0.40,0.39,0.40,0.38
0.38,0.40,0.40,0.38
0.40,0.40,0.40,0.37
0.40,0.43,0.44,0.40
0.43,0.42,0.43,0.41
0.42,0.40,0.44,0.40
0.39,0.42,0.44,0.38
0.41,0.41,0.42,0.40
0.42,0.42,0.42,0.40
0.42,0.40,0.42,0.40
0.40,0.41,0.41,0.40
0.40,0.38,0.43,0.36
0.38,0.36,0.39,0.35
0.35,0.36,0.37,0.35
0.38,0.37,0.38,0.37
0.38,0.38,0.38,0.38
0.39,0.37,0.39,0.37
0.35,0.37,0.37,0.35
0.36,0.39,0.39,0.36
0.37,0.37,0.38,0.37
0.37,0.37,0.37,0.36
0.36,0.39,0.39,0.36
0.40,0.41,0.41,0.39
0.40,0.42,0.42,0.40
0.41,0.41,0.42,0.40
0.42,0.41,0.42,0.40
