PH,Parker-Hannifin Corporation Common Stock,NASDAQ
85.07,85.81,85.98,84.85
85.87,85.87,86.08,85.24
86.24,86.15,86.80,86.02
85.95,85.98,86.44,85.73
85.90,86.30,86.68,85.76
86.76,87.53,87.94,86.76
87.50,87.47,87.57,85.78
86.86,87.60,88.29,86.43
87.50,85.91,87.73,85.71
85.97,86.05,87.40,85.84
87.45,87.25,87.45,85.91
87.89,87.79,88.30,87.46
88.52,88.66,88.95,88.19
89.24,89.23,89.44,88.19
88.88,89.65,90.00,88.88
89.59,91.91,91.93,89.32
91.60,91.08,93.15,90.19
87.84,85.51,89.26,85.23
86.47,86.00,88.09,85.81
86.03,87.07,87.07,85.76
86.38,86.49,87.14,85.40
86.98,88.19,88.89,86.74
88.41,88.65,88.99,87.22
88.33,87.19,90.12,86.62
87.60,89.41,90.68,87.25
90.37,90.45,90.67,88.30
89.60,89.93,90.66,89.59
89.90,90.09,90.14,88.56
90.44,91.01,91.01,89.90
91.10,91.71,92.26,90.85
91.66,92.40,92.51,91.22
91.84,91.37,92.00,90.79
91.04,91.82,91.86,90.46
91.38,93.56,93.60,91.24
93.17,92.40,93.38,92.36
92.10,91.40,92.34,90.89
91.86,91.21,92.62,90.68
91.37,91.65,91.99,90.58
92.13,91.88,92.29,91.33
91.30,89.10,91.31,89.00
88.60,87.23,88.96,86.41
87.08,87.64,88.17,85.93
88.29,88.55,89.46,88.29
89.17,89.18,89.75,88.72
89.64,86.78,89.70,86.28
86.58,86.63,87.41,85.56
87.78,89.55,89.75,87.60
89.70,87.33,89.70,86.76
87.56,85.21,87.60,84.93
85.37,85.99,87.09,84.58
85.77,85.30,86.22,84.74
83.72,84.22,84.97,82.80
84.20,85.39,85.58,83.61
85.00,86.01,86.70,84.74
83.66,85.71,86.46,83.11
85.91,85.92,87.61,85.17
88.20,88.07,88.54,86.79
88.95,88.71,89.95,88.46
90.09,90.23,90.72,89.69
90.35,90.48,90.60,89.41
90.30,92.15,92.55,89.41
92.59,92.94,93.05,91.91
93.11,92.96,93.66,92.74
93.04,93.37,93.87,92.81
93.09,94.32,94.49,92.61
94.74,94.65,94.99,94.39
94.46,94.68,95.00,94.34
95.53,95.91,95.94,94.91
96.44,96.20,96.44,95.21
96.25,96.20,97.09,95.47
96.88,95.98,97.30,95.58
96.26,96.93,97.30,95.47
97.38,95.31,97.81,94.86
95.37,95.24,96.15,94.82
94.57,93.37,95.15,92.87
93.62,93.58,94.63,92.50
92.86,93.91,94.07,92.18
94.09,93.59,94.19,93.27
92.06,92.02,92.31,91.10
92.26,93.87,94.11,92.26
95.23,95.90,96.05,94.54
96.43,96.56,96.73,95.89
97.00,95.32,97.00,95.23
95.98,98.49,99.40,95.79
96.71,93.48,96.71,92.15
94.58,94.11,94.67,92.96
94.47,94.32,95.25,94.24
94.79,93.32,95.24,93.01
95.02,92.32,95.25,92.23
92.08,89.98,92.53,89.83
89.46,89.12,90.68,88.60
89.96,88.90,90.38,88.26
88.65,89.05,90.18,88.23
89.53,90.27,90.34,89.03
89.88,87.70,89.94,87.29
87.61,88.53,88.76,86.34
88.48,87.50,88.77,86.86
86.84,87.70,88.26,86.41
86.93,85.25,87.36,84.95
85.39,87.05,87.30,85.38
87.52,87.80,88.32,87.16
87.61,86.44,87.87,86.32
85.14,84.92,85.21,83.83
85.44,85.80,86.39,84.95
85.29,87.73,88.48,85.00
87.16,88.01,88.23,86.98
88.50,89.38,89.93,88.34
90.14,88.85,90.60,87.92
88.27,85.63,88.77,85.42
85.77,86.90,87.98,85.68
85.56,86.29,87.42,85.20
85.79,87.16,87.48,85.69
87.42,86.85,88.15,86.82
86.68,86.58,87.06,86.10
86.95,87.80,88.32,86.64
87.26,85.83,87.27,85.61
86.00,86.53,87.24,85.72
87.67,88.77,89.10,87.54
87.68,86.43,87.91,85.98
87.21,86.15,87.21,85.00
86.84,85.32,87.18,85.02
85.09,85.29,85.55,84.50
85.56,86.13,86.28,85.24
86.09,86.54,87.77,85.80
85.38,86.06,86.16,84.42
86.04,85.04,86.48,84.92
84.34,85.73,86.24,83.65
85.81,86.89,87.49,85.42
87.19,86.92,88.02,86.55
87.37,89.74,90.59,87.07
89.75,91.58,92.01,89.41
91.68,90.66,91.80,90.39
90.21,90.25,90.66,89.77
91.32,90.12,91.34,90.01
88.67,89.27,89.37,88.37
87.83,86.99,88.09,86.08
86.55,86.19,87.31,86.09
86.82,86.56,87.72,86.36
86.56,85.01,87.29,84.85
85.60,87.46,87.61,85.50
87.19,85.90,87.24,85.40
86.64,87.52,87.85,86.31
87.94,87.24,87.94,86.50
87.88,88.49,89.23,86.69
88.36,87.45,88.36,86.63
86.39,87.84,88.72,86.39
87.89,84.71,87.91,84.39
83.92,79.93,84.01,79.72
80.05,78.56,80.51,78.33
77.50,79.02,79.77,77.24
80.50,77.46,80.64,76.21
74.01,70.88,74.73,70.70
69.90,72.19,72.47,69.03
70.45,67.85,70.77,67.65
69.16,67.60,69.49,65.40
65.88,62.17,66.98,62.07
63.32,66.90,67.11,62.03
64.12,63.02,65.69,62.80
63.40,66.71,67.76,63.14
67.22,69.58,69.82,67.07
70.31,71.09,71.21,70.18
70.21,69.97,70.73,69.69
70.44,69.10,71.07,68.87
66.66,65.64,67.05,64.98
64.31,64.03,66.64,63.92
65.73,63.60,65.93,63.34
63.96,65.67,65.68,63.19
65.67,67.85,67.95,65.17
67.68,65.79,68.56,65.53
65.00,67.70,67.91,64.15
69.38,70.79,70.89,69.00
70.41,71.41,71.88,70.06
72.04,73.43,74.87,72.03
73.35,72.29,74.17,72.17
70.79,69.41,70.90,69.01
67.79,68.07,68.27,66.21
69.57,70.30,70.53,68.82
69.55,69.69,70.74,69.32
68.34,66.38,68.97,65.63
65.48,66.08,66.22,64.29
66.19,67.69,68.23,66.01
68.04,69.35,70.36,67.15
70.30,70.59,70.76,69.25
70.95,70.07,71.77,69.55
68.60,69.46,69.88,67.34
69.84,67.38,69.97,67.31
67.59,64.61,67.79,64.59
62.27,61.91,62.75,60.81
61.32,62.32,63.70,61.15
62.75,63.50,63.62,60.36
64.75,65.27,67.07,64.67
65.62,64.29,66.29,64.20
66.30,65.37,67.69,63.94
63.93,63.13,64.75,62.18
62.67,60.81,64.13,60.65
59.35,62.99,63.14,59.26
63.21,64.99,65.21,62.57
64.72,66.21,67.48,64.23
66.63,66.01,67.00,64.85
67.53,70.20,70.24,67.51
69.75,71.39,72.18,69.47
72.62,72.85,73.75,72.25
72.07,72.28,72.57,70.91
73.33,73.61,73.95,71.92
74.99,72.71,74.99,71.67
75.87,77.15,78.17,72.58
77.28,76.27,79.50,75.88
76.67,77.06,77.50,75.21
78.29,77.85,78.70,77.02
77.85,79.87,80.37,77.85
79.22,77.55,79.22,76.83
79.16,78.43,79.16,77.28
81.15,84.14,85.20,80.00
84.20,83.89,84.49,82.41
82.06,81.55,82.87,80.20
78.48,78.50,80.35,75.68
81.13,80.91,81.25,79.52
82.24,84.43,84.63,81.07
83.33,84.55,84.84,82.33
84.22,82.96,84.70,81.35
83.53,83.74,84.30,81.30
81.51,80.20,81.90,79.54
81.34,82.38,83.13,80.96
83.51,84.22,84.93,83.16
83.57,84.20,84.90,83.35
83.73,85.33,85.84,83.12
84.38,83.18,85.34,83.04
83.14,80.86,83.16,80.35
81.81,81.09,82.26,80.80
79.77,78.91,79.90,78.05
78.57,78.03,79.69,77.29
77.43,75.87,77.43,75.60
75.79,74.98,76.48,74.96
77.41,79.36,79.93,77.41
79.96,78.26,80.62,78.16
80.91,82.78,82.85,80.90
82.78,83.02,84.07,82.45
84.35,82.11,84.61,81.80
83.88,82.83,84.62,82.10
82.54,83.87,84.59,82.35
83.22,81.90,83.84,81.38
81.07,79.52,81.76,79.25
79.95,81.02,81.43,79.65
80.24,79.68,80.24,78.37
80.22,78.33,81.00,77.70
77.75,75.95,77.76,75.76
77.03,75.68,77.18,75.43
76.53,75.02,77.90,74.79
75.53,73.87,75.99,73.62
75.27,76.45,76.74,75.25
76.10,76.02,76.20,74.80
76.37,76.15,76.76,75.57
76.75,77.42,77.47,76.35
77.01,77.93,78.55,76.92
77.85,76.03,78.10,75.90
76.02,76.79,77.32,75.93
76.85,76.25,77.10,76.23
78.31,78.83,79.76,78.17
78.79,78.50,79.24,78.37
77.66,78.94,79.25,76.98
79.23,77.64,79.41,76.92
77.93,78.82,79.03,77.18
80.08,81.22,81.33,79.82
80.50,81.72,81.95,80.41
82.04,83.08,83.20,81.36
82.12,82.44,82.79,81.33
83.48,83.47,84.60,82.94
83.25,85.06,85.11,82.59
85.49,84.97,86.60,84.50
81.19,81.52,82.00,80.49
81.25,81.70,82.00,80.31
81.08,81.27,81.90,80.87
81.17,82.37,82.68,80.33
82.39,81.50,82.71,81.00
81.14,81.50,81.82,80.86
80.71,81.46,81.72,80.51
81.92,80.68,82.12,79.88
82.26,82.61,82.98,81.32
82.62,82.51,82.97,81.80
83.62,85.72,85.80,83.62
85.15,86.68,87.42,85.15
86.26,87.75,88.37,86.05
87.70,88.16,88.27,87.32
88.14,88.18,88.53,87.63
87.07,87.51,87.59,86.28
88.52,90.25,90.37,88.01
89.42,88.98,89.69,88.28
89.35,87.60,89.41,87.22
87.58,89.26,89.55,87.57
89.89,88.57,89.92,88.53
88.64,90.00,91.00,88.64
89.83,90.00,90.44,89.21
89.68,90.42,90.65,89.28
90.59,89.63,91.00,89.51
88.67,90.24,90.68,88.62
90.30,90.24,90.69,89.39
90.54,89.81,91.47,89.74
90.07,89.34,90.68,88.36
89.34,88.54,89.66,88.42
88.47,88.15,88.77,87.38
86.90,85.54,86.92,85.30
85.88,86.19,86.67,85.58
87.23,87.85,87.97,86.57
87.94,88.22,89.20,87.47
88.20,89.13,89.21,87.97
89.59,89.70,89.94,88.79
89.52,89.24,90.11,88.96
89.33,90.75,90.88,88.91
90.97,90.15,91.00,90.09
90.00,89.58,90.18,88.68
88.82,87.90,89.01,87.35
87.83,87.34,88.27,87.19
86.23,84.89,86.33,83.70
85.08,85.63,85.95,84.04
86.30,86.97,87.31,86.08
86.97,85.99,87.31,85.96
85.90,84.43,86.03,83.75
83.80,84.59,84.76,83.72
84.99,84.55,85.43,83.80
84.52,86.03,86.34,83.84
85.67,85.29,86.10,84.68
84.06,83.47,84.67,83.33
83.19,83.10,83.85,82.96
81.90,82.60,82.87,81.53
82.24,81.44,82.59,80.99
82.55,82.01,83.07,81.23
82.17,83.69,84.08,82.17
83.24,82.03,83.57,81.96
82.50,81.96,83.15,81.68
82.49,83.26,83.97,82.19
82.53,82.70,83.16,82.25
82.61,81.58,82.78,80.95
81.91,82.79,83.12,81.54
81.17,80.94,81.82,80.44
83.54,87.96,88.25,82.92
87.39,87.08,89.45,86.13
87.10,87.32,87.92,86.65
87.77,88.99,89.21,87.62
89.00,87.69,89.00,87.08
87.33,87.58,88.72,86.03
87.19,88.17,88.38,87.14
88.21,86.76,88.52,86.35
86.46,85.14,86.46,84.27
84.71,84.71,86.08,84.46
83.94,85.39,85.69,82.81
84.19,85.54,87.71,83.90
86.31,86.21,87.17,85.91
85.76,86.85,87.99,85.47
85.50,85.11,86.07,85.03
84.91,84.23,85.32,83.91
84.86,83.18,84.86,83.06
83.27,81.20,83.39,80.37
81.61,80.61,82.32,80.01
81.12,82.76,83.18,81.12
82.96,83.61,83.99,82.33
82.85,84.80,84.99,81.83
84.96,84.46,85.14,83.29
84.33,84.36,84.89,83.66
85.11,86.48,87.00,84.93
85.20,84.49,85.28,84.25
82.93,81.74,83.59,81.00
80.14,77.87,80.18,77.64
77.95,77.83,78.34,75.65
77.38,78.36,78.59,76.75
79.08,80.25,80.30,78.85
80.58,80.79,82.97,80.56
80.22,81.27,81.67,79.87
82.32,80.30,82.47,80.20
80.80,81.79,82.10,80.60
81.14,78.93,81.14,78.65
78.87,78.46,79.60,77.78
78.36,78.73,78.86,78.06
78.28,79.11,79.43,77.81
79.60,81.41,81.97,79.60
81.32,79.61,81.53,79.22
79.93,77.09,80.31,77.00
77.20,76.68,77.68,75.68
75.31,74.39,75.67,73.76
74.55,73.73,74.78,72.80
74.12,74.88,75.06,73.85
74.14,73.10,74.52,71.90
74.51,76.88,77.08,74.51
77.20,75.69,77.24,74.96
75.47,77.18,77.18,74.69
76.80,77.50,78.08,76.14
76.42,75.74,76.42,75.02
75.35,74.60,76.05,74.31
74.57,72.61,76.20,71.76
73.76,71.84,73.76,71.55
70.68,72.25,72.75,70.42
72.33,73.90,74.03,72.28
72.47,72.98,73.38,72.04
73.30,73.88,74.17,72.37
72.99,76.49,77.40,72.20
76.41,77.83,78.79,76.16
76.89,76.96,78.10,76.37
73.16,76.76,78.63,72.52
76.80,76.01,77.19,75.08
76.79,76.61,77.87,75.75
78.30,78.44,79.48,77.43
76.93,81.40,81.75,76.93
81.30,80.74,81.73,79.95
80.46,80.32,81.50,80.18
80.98,81.56,82.56,80.83
79.50,78.85,80.49,76.16
80.40,79.97,80.75,79.19
80.50,80.56,80.99,79.70
81.20,82.30,83.12,80.98
81.72,81.83,82.24,81.32
81.93,82.12,82.73,81.79
81.76,83.47,83.75,81.64
83.12,82.94,83.41,82.25
83.57,82.30,83.57,81.98
81.85,81.86,82.01,81.09
82.00,83.14,83.46,81.80
83.43,83.83,83.89,83.16
83.45,82.82,83.61,82.05
83.16,82.27,84.00,82.01
82.23,82.18,82.50,81.36
81.93,81.76,82.17,81.00
81.44,81.58,81.94,80.53
81.94,81.40,82.06,81.08
81.21,80.77,81.45,80.71
80.89,80.17,80.98,79.64
79.59,79.29,80.01,78.64
80.12,79.98,80.47,79.12
79.69,80.01,80.40,78.96
80.18,79.43,80.30,79.25
80.13,82.29,82.32,80.02
82.69,83.69,85.26,82.52
83.35,83.71,84.49,83.16
83.76,84.41,84.91,83.61
84.60,84.17,85.22,83.96
83.98,85.62,85.95,83.22
85.56,86.38,87.71,85.56
85.96,84.92,86.13,84.60
84.77,85.18,85.20,84.35
85.17,85.93,86.15,84.95
85.20,85.55,85.63,84.34
86.04,85.50,86.37,85.28
85.00,85.59,85.96,84.82
85.04,83.18,85.48,83.12
83.10,82.26,83.43,81.84
82.90,83.68,84.28,82.63
83.17,83.58,84.15,82.17
83.77,83.43,85.34,83.25
83.76,83.60,84.18,83.02
83.72,83.52,84.11,83.07
84.00,83.27,84.25,83.25
84.10,84.41,84.98,83.71
83.25,83.25,83.77,82.85
83.48,81.48,83.48,81.45
80.77,79.24,80.78,78.30
79.98,79.18,80.79,79.02
79.38,79.40,79.98,78.69
79.50,80.67,80.79,78.74
80.64,81.97,82.27,80.63
82.00,84.11,84.50,81.89
83.58,85.07,85.42,83.18
78.07,78.50,80.15,76.76
78.12,78.10,79.38,77.11
76.70,76.74,77.03,75.80
76.97,76.14,77.51,75.93
77.21,77.58,78.20,77.05
77.76,77.58,77.90,76.83
77.67,78.66,79.35,77.54
78.73,80.87,81.16,78.55
81.29,79.43,81.86,79.32
78.73,79.96,80.12,78.12
80.42,80.42,81.03,80.07
79.29,77.45,79.29,77.37
78.42,78.52,79.81,78.18
78.18,79.09,79.68,77.50
79.03,79.14,79.65,78.41
78.17,78.23,79.62,78.03
78.64,77.53,79.28,77.34
77.76,78.59,79.50,77.50
78.74,80.01,80.16,78.36
80.70,81.05,81.50,80.35
80.76,79.71,80.94,79.06
79.84,80.10,80.69,79.45
80.59,81.43,81.73,79.98
80.99,81.41,82.12,80.69
81.18,81.07,82.08,80.01
80.69,82.64,82.86,80.29
83.17,83.39,83.60,82.70
83.26,82.15,83.37,81.60
82.75,80.30,82.78,80.27
80.47,81.18,81.44,80.15
81.27,82.90,83.09,81.04
82.61,82.33,82.94,81.58
82.79,83.81,83.88,82.67
83.83,83.93,84.40,83.48
84.20,83.40,84.49,83.15
83.91,83.12,84.42,83.04
82.93,83.24,83.65,82.65
83.00,83.49,84.41,83.00
83.73,83.59,84.08,83.18
83.88,86.65,87.04,83.72
86.52,86.21,86.72,85.92
86.08,86.55,86.62,85.71
85.16,85.15,85.58,84.00
85.07,84.87,86.00,84.72
85.23,84.67,85.23,84.52
84.68,84.49,85.07,83.39
83.74,83.86,84.80,83.69
83.53,85.06,85.17,83.16
87.45,87.66,88.58,86.51
87.60,88.34,88.73,87.45
88.65,88.82,88.92,88.30
88.08,88.25,88.35,87.26
88.67,88.32,88.98,87.51
88.62,90.17,90.25,88.59
90.64,89.60,90.73,88.64
89.52,89.04,89.52,88.35
88.99,89.32,89.49,88.48
88.57,89.64,90.00,88.54
89.12,89.84,89.95,88.73
90.00,91.36,91.93,89.70
92.50,93.70,93.70,90.00
93.26,93.28,93.57,91.91
93.24,93.05,93.65,92.67
92.99,93.97,94.69,92.83
94.38,94.37,94.57,93.69
94.75,93.82,94.81,93.58
93.58,94.15,94.30,93.28
94.10,93.28,94.77,93.09
93.41,92.97,94.14,92.80
93.92,93.85,94.11,93.34
93.05,92.51,93.64,92.45
93.54,93.95,94.36,93.05
92.88,93.45,93.83,92.13
93.68,93.80,94.64,93.07
93.83,94.32,94.48,93.69
94.10,94.39,94.57,93.43
94.28,95.18,95.59,93.95
95.60,96.33,96.57,95.37
95.77,96.31,97.03,95.53
96.27,96.04,97.29,95.71
96.31,97.46,97.50,96.28
97.43,95.02,97.43,94.75
94.58,93.26,94.58,92.62
93.89,94.54,94.64,93.62
95.09,90.90,95.25,90.83
91.63,91.65,92.27,91.04
91.50,93.56,93.77,91.45
93.65,94.48,95.26,93.06
93.82,94.45,94.90,92.75
94.15,93.65,94.17,92.52
94.54,96.45,96.72,94.54
96.98,96.42,97.21,95.93
96.63,97.24,97.75,96.42
97.67,97.95,98.15,97.04
97.60,97.93,98.06,97.32
97.70,97.05,97.75,96.03
97.07,96.99,97.22,96.24
97.31,97.25,97.95,97.07
96.71,96.72,97.32,96.30
95.56,96.08,96.74,94.96
96.27,95.18,96.46,93.87
95.64,94.97,95.92,94.38
93.80,92.02,94.21,91.90
91.88,92.08,92.37,91.71
92.68,90.98,92.81,90.33
91.84,90.28,91.84,90.19
89.44,90.15,90.32,88.69
90.27,91.58,91.58,89.67
91.39,89.65,91.60,89.51
90.14,88.79,90.36,88.31
88.66,87.53,88.94,87.21
87.76,89.42,89.67,87.73
87.77,89.38,89.67,87.71
89.29,89.90,90.22,89.09
90.33,90.55,91.09,89.71
90.69,90.41,91.09,89.99
90.51,89.96,90.61,89.71
89.51,89.04,89.74,88.47
88.37,85.96,88.48,85.96
86.93,88.02,88.12,86.42
87.08,87.75,88.06,85.96
87.80,85.93,88.04,85.59
86.41,85.55,86.52,85.13
85.82,86.63,87.37,84.50
87.06,87.68,87.87,86.78
88.09,89.37,89.52,88.05
89.60,90.55,91.25,89.30
90.66,88.74,91.12,88.07
89.39,88.83,89.99,88.57
88.68,88.57,88.73,87.31
88.04,87.20,88.28,87.06
87.60,88.49,88.57,87.36
89.96,91.38,92.73,89.96
91.22,91.88,92.18,91.02
92.26,93.14,93.49,92.07
92.50,93.23,93.23,92.18
93.15,92.95,93.88,92.79
93.15,94.05,94.45,93.12
93.75,93.99,94.90,93.28
93.88,96.68,96.81,93.88
95.89,97.83,97.95,95.41
97.42,97.59,98.15,96.93
98.26,100.01,100.01,98.03
99.65,100.58,101.21,99.27
100.47,100.96,101.20,99.75
101.02,99.62,101.88,99.24
98.64,99.32,99.58,97.91
98.45,98.29,98.78,97.52
99.72,98.30,99.93,98.21
97.48,97.93,98.88,97.34
98.20,99.86,100.43,97.74
99.51,99.76,101.76,99.01
99.96,98.78,100.27,97.76
98.91,98.44,100.27,98.29
97.96,96.55,98.35,96.26
96.59,97.05,97.28,96.00
97.87,98.34,98.81,97.14
98.60,98.61,98.88,97.98
97.34,98.18,98.63,97.11
98.88,96.88,98.88,96.80
96.92,98.02,98.41,96.29
96.48,97.41,98.01,96.48
98.09,97.77,98.28,97.18
97.80,98.70,98.99,97.62
98.79,97.83,99.27,97.75
