AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,NASDAQ
64.37,64.09,64.37,63.03
64.54,63.94,65.16,63.90
64.22,63.35,64.42,63.34
63.35,61.61,63.35,61.30
61.61,62.48,62.83,61.40
62.48,63.98,64.12,62.20
64.26,64.50,65.03,64.26
64.43,64.90,65.23,64.36
64.90,66.00,66.80,64.90
64.75,65.25,67.00,63.73
65.15,65.30,65.41,64.02
64.95,63.78,65.00,63.50
63.45,63.53,64.16,63.25
63.72,64.41,65.00,63.72
64.00,62.81,64.00,62.74
62.78,62.39,63.07,62.32
61.85,61.43,61.93,60.35
61.31,60.70,61.90,60.35
60.54,61.32,61.71,60.54
61.43,62.63,62.69,61.29
62.60,62.68,63.06,62.29
62.99,62.63,63.35,62.22
62.57,63.02,63.48,61.99
63.24,64.46,64.53,62.96
64.35,63.79,64.44,63.47
64.09,63.05,64.09,62.99
63.08,64.08,64.57,62.49
64.17,64.51,64.99,63.76
63.90,64.89,65.61,63.75
64.51,65.60,65.67,64.20
65.18,65.28,65.98,64.91
64.23,65.42,65.98,64.13
65.16,64.93,65.51,64.56
65.63,64.48,65.63,64.30
64.83,64.80,65.06,63.19
65.34,65.00,65.84,64.98
64.98,64.99,65.42,64.92
64.94,65.34,65.65,64.33
65.72,66.52,66.86,65.47
66.71,66.26,66.83,66.02
66.51,65.62,66.54,65.55
65.49,65.59,65.66,65.18
65.70,65.91,66.04,65.25
66.03,65.62,66.03,64.94
65.98,66.16,66.39,65.73
66.36,66.10,66.40,65.64
66.05,67.78,68.20,65.92
68.12,67.59,68.85,67.27
67.48,67.30,67.81,66.27
67.58,66.46,67.66,66.22
65.15,65.65,65.93,64.56
65.33,65.64,66.00,65.27
64.28,64.00,64.65,63.36
63.67,63.97,64.24,63.33
63.96,63.84,64.40,63.73
63.55,64.50,64.70,63.34
64.75,65.00,65.10,64.52
65.50,66.13,66.17,65.20
66.34,66.42,66.50,65.83
66.32,65.73,66.32,64.98
65.95,65.91,66.45,65.75
65.92,66.35,66.81,65.88
66.07,66.18,66.23,65.11
66.03,65.46,66.03,64.99
65.29,65.44,65.57,65.06
65.09,66.06,66.13,65.05
66.05,65.76,66.55,65.28
65.50,65.86,66.55,65.12
66.12,65.05,66.60,65.02
65.02,65.51,65.83,64.88
65.60,66.28,66.44,65.60
66.32,68.83,69.19,66.24
68.82,69.41,69.83,68.17
69.43,72.16,72.32,69.41
71.80,70.18,71.92,70.18
69.84,69.72,69.93,68.56
69.80,70.66,70.66,68.95
64.20,63.49,65.00,62.58
63.40,63.27,64.12,61.63
62.34,62.99,63.45,61.91
63.06,62.20,63.08,61.91
61.84,62.49,62.75,61.58
61.35,62.66,62.75,61.35
62.63,62.12,62.75,61.79
62.29,62.10,62.39,61.39
62.14,61.02,62.14,60.86
61.00,60.51,61.06,59.77
59.87,59.77,60.47,59.04
59.49,58.89,59.91,58.86
58.68,58.43,59.13,57.55
58.35,58.40,58.67,57.87
58.22,58.16,58.55,57.76
58.15,57.97,58.50,57.60
58.33,57.97,58.92,57.93
57.27,57.25,57.55,56.58
57.02,57.44,58.18,56.81
57.18,58.59,58.74,57.07
58.67,58.12,59.50,58.05
58.03,59.04,59.25,57.62
59.04,58.89,59.26,58.25
58.92,58.65,59.37,58.62
58.31,59.01,59.08,58.06
58.97,57.99,59.34,57.70
58.10,58.03,58.47,57.70
58.20,58.15,58.54,57.81
58.23,57.67,58.25,57.45
57.96,58.49,58.91,57.96
58.44,59.10,59.65,58.29
59.15,58.42,59.26,57.95
58.21,58.11,58.82,57.95
58.37,59.52,59.67,58.37
59.20,59.12,60.00,59.02
58.89,58.52,59.16,58.03
58.41,58.35,59.06,58.30
58.57,56.96,58.73,56.91
57.00,56.55,57.60,56.43
56.68,55.49,56.73,55.15
55.20,54.82,55.41,54.58
55.00,55.49,55.99,55.00
55.53,55.04,55.56,54.60
54.99,55.07,55.19,54.50
54.96,55.87,56.05,54.78
55.51,56.96,57.06,55.22
56.99,57.61,57.69,56.63
57.43,56.20,57.43,56.10
55.77,54.78,55.77,54.54
54.53,54.97,55.44,54.15
55.44,54.20,55.44,53.91
54.08,53.24,54.94,53.18
53.35,54.35,54.52,52.61
53.76,52.74,53.94,52.73
53.08,52.94,53.39,51.90
51.93,50.04,52.07,49.82
50.51,51.86,51.91,49.66
50.23,50.10,51.42,49.50
56.27,54.29,57.00,53.22
55.73,55.17,56.14,54.64
55.49,56.36,56.39,54.71
55.69,55.64,56.23,55.13
56.11,56.74,56.92,55.92
55.43,56.55,57.10,54.97
56.01,57.95,58.33,55.80
58.68,57.33,58.72,56.92
57.60,58.34,58.74,57.27
57.97,59.14,59.20,57.75
59.20,57.98,60.11,57.83
58.11,59.20,59.33,57.62
60.00,60.19,60.24,59.56
59.99,60.39,60.69,59.65
60.65,60.72,61.25,60.25
60.80,60.33,61.32,60.17
59.38,59.44,59.91,58.94
58.37,59.81,59.88,58.26
60.28,60.95,60.98,60.02
60.67,60.86,61.70,60.55
60.30,60.44,61.38,59.92
59.91,60.41,60.41,59.34
60.72,60.65,61.31,60.26
60.95,61.48,62.12,60.49
61.88,62.67,62.73,61.55
62.78,62.59,63.59,62.54
61.79,62.76,63.00,61.79
62.77,61.69,63.15,61.62
61.60,59.79,62.17,59.74
58.56,58.67,59.94,58.02
58.65,59.97,60.24,58.38
60.23,60.83,61.02,59.63
61.51,60.29,61.65,60.09
60.53,59.66,60.94,59.60
60.37,59.00,60.48,57.83
58.56,58.10,59.50,58.07
57.84,56.30,58.52,56.27
55.89,58.56,58.59,55.61
58.44,58.62,58.94,57.50
58.39,59.39,59.60,58.25
59.65,59.04,60.05,58.69
59.92,60.94,61.06,59.52
60.85,60.95,61.11,60.09
61.36,60.04,61.55,59.90
59.95,59.80,60.36,59.25
60.40,60.74,60.78,59.62
60.52,59.58,61.23,59.32
59.83,61.58,61.93,59.48
61.31,61.80,62.23,61.11
61.76,62.38,62.67,61.61
63.00,62.92,63.42,62.47
63.29,63.55,64.11,62.75
63.22,63.54,63.90,63.20
63.84,63.34,64.00,62.63
65.07,65.44,66.61,64.82
65.89,65.67,66.93,65.26
65.31,65.07,66.09,64.95
63.51,64.82,65.56,63.02
65.52,64.90,65.52,64.38
64.98,66.07,66.19,64.25
65.65,66.02,66.02,64.79
66.09,66.45,66.66,65.39
66.88,67.69,67.89,65.75
66.70,66.37,68.03,65.89
67.40,69.51,71.00,67.00
70.18,70.28,70.81,69.67
69.80,68.98,70.03,68.78
68.12,68.45,69.00,67.69
68.07,67.01,68.09,66.87
67.16,67.56,67.80,67.01
67.85,67.95,68.52,67.38
66.89,67.54,67.92,66.58
67.37,66.95,67.55,66.85
66.57,66.85,67.30,66.55
66.50,67.14,67.53,66.04
68.54,67.30,69.10,66.93
67.30,67.52,67.85,67.07
68.78,69.22,69.24,68.16
68.94,68.75,70.17,68.65
69.44,69.06,69.47,68.49
69.52,69.92,70.55,69.30
70.23,70.09,70.54,69.75
69.70,70.00,70.31,69.63
69.55,69.90,70.63,69.38
69.97,70.28,70.77,69.79
69.89,69.16,70.08,69.10
69.60,67.90,70.03,67.71
67.84,66.90,67.86,66.71
67.57,67.71,68.17,67.34
68.32,68.00,68.64,67.62
68.20,66.99,68.50,66.96
68.04,68.99,69.32,67.92
68.97,68.50,69.18,68.17
69.65,69.38,70.89,68.97
69.64,70.25,70.45,69.57
70.12,70.92,71.35,69.97
70.98,70.26,71.69,70.18
70.51,70.35,71.14,69.54
70.02,69.63,70.53,69.60
71.14,69.10,71.60,69.06
69.00,70.72,71.10,68.79
70.44,71.17,71.42,69.66
71.29,71.50,72.06,70.80
71.86,71.48,71.90,70.76
72.18,71.54,72.36,71.42
71.60,72.02,72.49,71.60
72.30,71.65,72.30,70.94
71.04,71.46,72.02,71.02
72.05,72.08,72.45,71.95
72.01,73.63,73.63,71.80
75.17,75.15,76.33,74.49
75.17,74.75,75.44,74.28
74.77,74.90,75.04,74.18
74.69,75.23,75.34,74.26
74.95,75.98,76.00,74.87
76.46,75.06,76.49,74.89
74.93,75.35,75.59,74.67
76.96,76.57,76.97,75.01
76.70,76.64,77.07,76.20
77.08,76.66,77.55,76.44
77.05,76.27,77.05,75.69
77.12,76.92,77.21,76.66
76.91,76.84,76.97,76.51
76.56,77.23,77.35,76.56
77.23,78.83,79.07,77.01
78.80,80.12,80.31,78.58
79.18,79.99,80.05,79.02
80.20,79.43,80.39,79.25
79.33,79.77,79.88,78.94
79.96,79.40,80.22,79.11
84.12,85.90,86.30,83.95
86.45,85.57,87.49,85.48
84.76,85.39,86.23,84.49
85.35,85.08,86.00,85.00
85.33,85.15,85.56,84.80
85.19,84.58,85.71,84.38
84.46,84.17,84.74,84.06
84.56,85.77,86.09,84.42
86.03,85.37,86.19,84.83
85.73,85.98,86.39,85.25
86.27,86.71,87.06,85.95
86.69,86.84,87.36,86.49
86.39,87.01,87.28,85.88
87.05,86.80,87.14,86.27
86.90,86.94,87.29,86.51
87.05,87.27,87.76,86.75
87.39,87.49,87.91,86.97
88.14,88.48,88.55,87.66
88.49,89.17,89.41,88.24
89.07,89.25,89.46,88.57
89.44,88.05,89.50,87.57
87.81,88.50,88.85,87.33
88.33,88.81,89.35,88.18
89.29,89.11,89.65,88.90
88.75,89.18,89.72,88.32
89.01,88.99,89.17,88.31
89.58,90.33,90.40,89.54
90.70,90.51,91.05,90.27
90.71,88.79,90.79,88.65
88.59,87.98,88.82,87.28
88.00,88.57,88.93,87.98
88.75,88.98,89.77,88.07
89.23,90.00,90.01,89.20
89.11,89.73,90.04,88.67
89.39,90.20,90.45,89.38
89.61,89.82,89.85,88.90
89.84,88.28,89.84,87.89
88.69,89.66,89.70,88.32
89.93,89.95,90.50,89.55
89.85,90.15,90.85,89.84
90.74,89.70,90.74,89.31
90.13,90.19,90.75,89.43
89.85,90.68,90.86,89.69
90.75,90.87,91.60,90.41
90.95,90.78,91.06,90.39
90.59,90.59,90.78,89.32
90.56,88.85,91.12,88.17
89.29,89.64,89.74,88.14
89.79,91.43,92.60,88.50
91.93,92.37,93.08,91.50
92.56,91.80,92.72,91.54
91.26,90.75,92.48,90.60
90.33,92.32,92.46,90.33
92.32,91.95,92.52,91.44
91.44,90.36,91.72,90.35
90.25,90.67,91.05,90.25
90.20,89.18,90.20,87.81
88.37,88.61,89.29,87.67
88.91,89.07,89.83,88.43
88.66,88.42,90.23,88.15
85.57,82.34,86.46,82.27
82.31,81.08,82.68,80.54
81.14,82.10,83.17,81.00
72.28,68.17,73.80,67.22
68.15,66.68,68.25,66.25
66.92,69.82,70.34,66.03
68.98,68.97,70.12,68.66
68.46,71.65,71.83,68.46
72.34,72.93,72.96,70.92
73.03,73.67,73.80,72.52
74.14,74.21,74.30,72.87
73.39,72.45,73.79,72.45
72.65,72.94,73.43,71.65
71.51,71.14,72.39,71.10
71.16,70.78,71.98,70.02
70.67,72.12,72.40,70.36
72.64,73.71,73.71,72.64
74.15,73.72,74.15,73.31
73.47,74.33,74.63,72.96
74.87,72.17,74.87,72.11
72.38,73.35,73.48,72.07
72.90,70.54,73.17,70.44
70.82,70.66,72.68,70.23
70.41,69.74,71.00,69.39
69.91,70.69,71.37,69.20
70.78,68.86,70.78,68.65
68.69,69.03,69.18,68.16
69.19,67.23,69.27,67.22
67.59,67.93,68.41,67.29
67.15,66.48,67.27,66.10
65.21,65.85,66.25,62.78
60.87,65.59,66.02,60.87
64.75,65.71,65.76,64.66
66.41,68.22,68.30,66.41
68.40,67.67,68.40,67.33
67.60,69.20,69.22,66.97
68.94,68.80,70.29,68.73
68.49,69.05,69.32,68.39
68.86,70.10,70.12,68.58
70.54,70.65,70.80,69.74
70.48,69.80,70.83,69.06
69.50,71.58,71.87,69.25
71.75,71.60,72.51,71.34
71.30,70.43,71.41,70.33
72.47,72.10,72.98,71.73
72.02,73.91,74.39,72.01
73.95,73.37,74.39,73.08
73.00,72.53,73.25,71.97
71.14,71.92,72.19,70.52
72.02,71.36,72.02,70.83
71.45,72.55,72.92,71.16
72.89,69.39,72.98,69.31
70.03,69.61,70.43,69.18
69.50,70.40,70.69,69.11
70.51,70.15,71.58,69.97
70.49,68.06,71.82,67.89
66.63,67.14,68.10,66.60
68.26,68.01,68.50,66.31
68.24,69.11,69.47,68.09
69.23,70.66,71.14,69.05
70.63,70.57,71.45,70.40
67.08,67.92,70.00,66.87
67.41,68.60,68.62,66.92
68.51,69.11,69.32,68.51
69.25,70.67,70.91,69.19
70.73,71.30,71.79,70.50
71.36,72.46,72.75,71.21
72.71,72.87,73.06,72.41
72.52,71.58,72.80,71.42
71.76,72.00,72.07,71.36
72.01,72.20,72.42,71.90
72.06,71.96,72.37,71.90
71.87,71.97,72.35,71.55
72.35,71.40,72.35,71.34
71.39,72.09,72.45,70.96
72.17,71.44,72.34,71.36
71.12,71.02,71.48,70.74
71.50,71.12,71.71,70.56
70.67,70.26,71.18,69.00
70.15,70.24,71.22,70.01
70.54,71.32,72.13,70.30
71.27,70.39,71.45,69.97
70.45,69.86,70.81,69.85
70.08,70.55,70.74,69.80
70.67,70.59,70.94,70.04
70.70,69.47,70.70,69.00
69.47,68.00,69.47,67.59
67.57,67.89,69.04,67.53
67.63,67.69,67.72,66.91
67.32,68.28,69.33,67.32
68.03,69.21,69.22,67.50
69.50,68.47,69.50,68.42
68.00,67.84,68.45,67.66
68.13,67.53,68.26,67.53
67.55,67.84,68.08,67.15
68.06,68.12,68.27,67.25
67.93,68.44,68.60,67.62
68.53,67.99,68.54,67.71
68.25,68.54,68.63,67.85
68.90,68.13,69.05,68.05
68.37,69.49,69.65,68.11
69.73,69.87,70.64,69.52
69.65,70.59,71.07,69.46
70.63,69.93,70.93,69.80
69.78,69.11,70.32,68.96
69.55,68.49,69.55,68.15
68.55,67.97,68.55,67.90
68.11,67.77,68.11,66.69
67.52,68.17,68.81,67.34
68.10,68.35,68.36,67.32
68.18,68.31,68.92,67.22
68.23,68.43,68.63,67.85
65.76,66.15,66.42,64.36
65.70,67.29,67.55,65.07
67.49,66.85,67.62,66.04
67.08,67.90,68.20,67.08
68.11,68.14,68.35,67.61
68.65,70.94,71.12,68.17
70.64,81.00,84.00,70.08
80.83,79.97,81.23,79.38
80.10,80.79,81.06,79.27
80.80,80.44,81.76,80.16
80.06,79.76,81.09,79.61
79.65,79.40,81.46,79.20
78.39,78.41,80.76,77.99
79.48,78.27,79.82,77.89
78.01,79.27,80.56,78.01
79.65,77.85,80.10,77.30
77.49,77.50,78.05,76.77
77.51,76.90,78.00,76.90
77.43,77.79,78.22,77.14
77.53,77.65,78.49,77.11
77.62,77.93,78.19,77.16
77.83,79.04,79.12,77.64
78.58,78.16,79.05,77.59
78.06,76.61,78.07,76.03
76.47,78.07,78.07,76.29
71.45,73.93,74.05,71.36
73.52,73.15,73.89,73.00
73.51,73.17,74.22,71.94
72.85,72.38,72.92,71.97
72.59,72.20,72.96,72.02
72.34,71.95,72.59,71.67
72.24,71.62,72.31,71.48
71.13,72.70,72.95,71.06
73.10,72.83,73.34,72.54
73.29,72.79,75.44,72.63
72.96,73.03,73.61,72.79
72.97,72.59,73.56,72.42
72.93,73.05,73.49,72.63
73.31,72.90,73.42,72.69
73.05,72.03,73.40,71.99
72.27,71.68,72.91,71.48
70.94,70.27,71.56,70.02
70.50,70.78,71.09,70.20
70.78,70.60,71.17,70.12
70.57,71.34,71.53,70.09
70.92,71.51,71.85,70.79
71.39,72.35,72.55,71.30
73.49,72.49,73.76,71.69
72.85,72.49,73.44,72.13
72.75,73.62,73.64,72.39
73.15,73.37,73.80,73.15
73.17,72.17,73.66,72.14
72.39,72.39,73.22,72.22
72.56,71.76,72.56,71.51
72.08,72.29,73.74,71.48
72.02,72.58,72.83,71.90
72.36,73.64,73.72,71.52
73.82,73.36,73.82,72.98
73.15,73.42,74.23,73.10
73.43,73.75,73.78,73.25
73.75,74.08,74.44,73.61
73.86,74.75,74.94,73.78
75.00,75.01,75.48,74.31
75.01,75.25,75.66,74.78
75.42,75.94,76.71,75.25
75.83,74.57,75.83,74.49
74.41,73.53,74.89,73.50
73.47,73.52,74.05,73.04
73.80,73.66,74.04,72.96
73.31,72.23,73.72,72.14
72.47,73.27,73.39,72.42
72.85,72.90,73.43,72.53
79.85,77.14,81.00,73.67
78.34,78.90,79.72,78.01
78.65,78.39,78.91,77.23
78.39,78.60,78.63,77.51
78.90,78.97,79.13,77.85
78.66,78.84,79.72,78.58
78.83,79.00,79.18,77.93
79.12,80.72,81.44,78.57
80.42,79.50,80.94,79.39
79.26,79.06,80.05,78.56
79.20,79.21,79.46,78.63
79.46,78.36,79.74,78.36
78.42,77.15,78.92,76.42
77.29,77.30,77.58,76.22
77.35,76.34,77.59,76.34
76.37,76.37,76.66,75.62
76.24,77.02,77.25,76.10
77.07,76.95,77.49,76.72
77.10,76.18,77.24,75.97
76.04,76.22,76.75,75.70
76.44,76.84,77.16,75.63
76.88,77.53,78.06,76.84
77.26,77.36,77.66,76.89
77.54,78.77,78.85,77.32
78.90,77.67,79.12,77.36
77.90,79.57,79.59,77.41
79.09,80.70,80.76,79.01
80.64,80.07,80.94,79.77
80.07,80.22,80.70,79.80
79.91,80.03,80.72,79.85
80.12,79.81,80.44,78.97
79.83,80.53,80.94,79.33
80.86,81.60,81.61,80.56
81.02,81.64,81.70,80.96
81.34,82.65,83.07,81.29
82.54,82.34,83.03,81.66
82.49,82.83,82.91,81.33
82.80,82.12,82.95,81.50
82.20,82.20,82.97,81.93
81.62,80.95,81.62,80.75
81.00,80.63,81.15,80.35
79.97,78.71,79.97,78.50
79.00,81.23,81.85,79.00
81.03,83.01,83.37,80.81
82.96,81.99,83.52,81.58
81.89,80.27,82.20,79.99
80.69,80.47,80.97,79.80
80.25,79.82,80.25,79.05
79.80,78.92,79.86,78.80
79.14,79.93,80.69,77.98
79.85,79.07,79.97,78.75
79.55,80.55,81.23,79.53
80.47,81.18,81.43,80.47
82.60,83.00,84.01,82.05
83.04,82.94,83.26,82.47
83.00,83.02,83.58,82.76
83.00,83.88,83.93,82.33
83.85,84.34,84.97,83.44
84.44,84.59,84.98,83.93
85.02,84.56,85.74,84.14
84.71,84.91,85.05,84.03
85.31,85.58,85.70,84.61
85.50,85.12,85.87,84.61
84.92,84.72,85.70,84.59
84.80,85.43,85.97,84.52
85.25,85.00,85.38,83.66
85.18,86.12,86.23,84.96
85.96,86.40,86.54,85.42
86.32,85.42,86.92,85.04
85.57,86.16,86.46,85.51
85.79,86.52,86.98,85.37
87.17,87.18,88.74,87.05
87.25,85.80,87.33,85.55
84.57,84.08,85.42,83.22
83.75,83.39,84.02,83.12
84.00,83.63,84.53,82.87
83.14,82.16,83.48,81.81
82.34,82.07,82.89,81.58
81.78,81.52,83.12,81.51
81.54,82.55,82.57,80.30
82.39,81.99,83.39,81.88
81.96,81.55,82.94,81.53
81.77,83.23,83.24,81.64
83.49,84.32,84.53,83.18
84.32,83.62,84.96,83.39
82.89,82.69,83.41,82.60
83.09,82.35,83.41,82.04
82.44,82.75,83.31,82.20
82.61,82.48,83.64,81.64
82.58,82.48,83.45,82.11
82.50,83.69,83.71,82.14
