XOMA,XOMA Corporation - Common Stock,NASDAQ
7.16,6.67,7.49,6.62
6.97,6.78,7.20,6.76
6.14,5.83,6.33,5.78
5.91,5.79,6.12,5.58
5.98,5.72,5.99,5.53
5.83,5.88,6.08,5.69
5.95,5.74,5.98,5.70
5.78,5.79,5.83,5.72
5.80,5.95,6.11,5.70
5.92,5.81,5.98,5.78
5.86,5.86,5.94,5.71
5.94,5.82,5.94,5.77
5.86,5.74,5.87,5.72
5.72,5.77,5.77,5.60
5.83,5.74,5.83,5.71
5.72,5.66,5.76,5.63
5.70,5.57,5.70,5.53
5.57,5.49,5.75,5.45
5.45,5.33,5.51,5.21
5.35,5.34,5.37,5.27
5.30,5.09,5.31,5.09
5.12,5.04,5.15,5.01
5.04,5.29,5.65,5.04
5.27,5.22,5.35,5.12
5.26,5.06,5.26,5.05
5.07,5.15,5.24,4.97
5.20,5.13,5.20,5.07
4.95,5.07,5.13,4.92
5.02,5.00,5.16,4.95
5.00,4.90,5.01,4.89
4.90,5.34,5.62,4.81
5.41,5.14,5.62,5.10
5.02,5.07,5.31,4.97
5.13,5.00,5.13,4.92
4.99,4.86,5.17,4.86
4.99,5.02,5.08,4.92
5.05,5.23,5.28,5.02
5.37,5.18,5.44,5.12
5.18,5.23,5.34,5.11
5.30,5.12,5.32,5.05
5.12,5.12,5.20,5.00
5.13,5.15,5.19,5.05
5.14,5.15,5.20,5.06
5.03,5.05,5.14,5.00
5.00,5.00,5.15,4.90
4.99,4.86,4.99,4.55
4.80,4.69,4.85,4.63
4.51,4.43,4.58,4.36
4.45,4.54,4.71,4.41
4.57,4.60,4.68,4.52
4.65,4.51,4.65,4.46
4.60,4.74,4.77,4.57
4.79,5.02,5.03,4.69
3.32,3.52,3.68,3.03
3.51,3.29,3.53,3.18
3.29,3.29,3.40,3.20
3.26,3.06,3.29,3.03
3.06,2.91,3.09,2.77
2.91,2.91,2.97,2.85
2.89,2.79,2.93,2.78
2.84,2.98,2.98,2.68
2.99,2.86,3.04,2.84
2.84,2.87,2.92,2.81
2.90,2.98,2.98,2.85
3.00,3.32,3.49,3.00
3.47,3.00,3.48,2.99
3.01,3.04,3.18,3.00
3.04,3.01,3.05,2.91
3.08,2.98,3.08,2.98
2.98,3.13,3.13,2.98
3.15,3.05,3.23,3.02
3.01,2.90,3.04,2.89
2.92,3.04,3.05,2.90
3.04,2.98,3.05,2.93
3.00,3.01,3.04,2.93
3.02,3.01,3.13,2.95
3.06,3.00,3.07,2.97
3.00,2.98,3.01,2.94
3.00,3.01,3.07,2.94
3.01,2.98,3.01,2.96
3.02,2.95,3.02,2.94
2.96,2.91,2.96,2.86
2.90,2.77,2.91,2.77
2.77,2.91,3.07,2.77
3.02,3.05,3.15,2.96
3.06,3.03,3.14,3.02
3.03,3.12,3.17,3.01
3.12,3.04,3.12,3.00
3.04,3.05,3.07,2.95
3.04,3.05,3.08,3.00
3.05,2.99,3.15,2.97
2.99,3.01,3.02,2.91
3.02,3.07,3.08,3.00
3.09,2.98,3.10,2.97
2.99,2.95,3.02,2.92
2.91,2.89,2.93,2.87
2.89,2.90,2.95,2.88
2.90,3.02,3.02,2.90
3.01,3.03,3.15,2.99
3.05,3.03,3.05,2.98
3.04,3.04,3.08,2.99
3.02,2.95,3.07,2.95
2.97,3.02,3.08,2.97
3.00,2.98,3.07,2.96
2.97,2.93,3.00,2.88
2.96,2.90,2.99,2.88
2.90,2.84,2.94,2.84
2.84,2.84,2.87,2.81
2.85,2.82,2.86,2.75
2.82,2.52,2.85,2.39
2.51,2.43,2.61,2.42
2.38,2.40,2.60,2.38
2.41,2.33,2.49,2.30
2.35,2.36,2.39,2.30
2.37,2.27,2.37,2.23
2.29,2.30,2.34,2.25
2.31,2.27,2.35,2.26
2.26,2.26,2.26,2.17
2.27,2.24,2.29,2.24
2.35,2.59,3.12,2.30
2.64,2.43,2.67,2.38
2.45,2.36,2.45,2.33
2.38,2.35,2.38,2.28
2.35,2.35,2.38,2.30
2.36,2.37,2.43,2.33
2.35,2.33,2.38,2.30
2.34,2.36,2.41,2.30
2.35,2.35,2.36,2.31
2.36,2.26,2.37,2.23
2.24,2.28,2.31,2.20
2.22,2.41,2.43,2.22
2.41,2.33,2.45,2.28
2.33,2.32,2.37,2.28
2.32,2.26,2.33,2.26
2.27,2.26,2.29,2.23
2.26,2.22,2.29,2.19
2.22,2.27,2.30,2.19
2.28,2.23,2.32,2.23
2.23,2.26,2.32,2.23
2.29,2.20,2.29,2.20
2.21,2.22,2.29,2.18
2.20,2.21,2.24,2.20
2.21,2.20,2.21,2.12
2.24,2.22,2.25,2.20
2.21,2.08,2.21,2.07
2.08,2.10,2.12,1.92
2.10,1.88,2.10,1.85
2.01,1.71,2.01,1.65
1.63,1.48,1.64,1.45
1.49,1.55,1.59,1.46
1.51,1.42,1.55,1.38
1.44,1.45,1.49,1.38
1.48,2.00,2.20,1.45
2.19,2.10,2.28,2.01
2.10,2.26,2.41,2.10
2.28,2.13,2.32,2.07
2.08,1.91,2.08,1.77
1.89,1.91,1.96,1.82
1.93,1.75,1.97,1.75
1.78,1.81,1.86,1.70
1.81,1.73,1.82,1.69
1.80,1.88,1.89,1.73
1.90,1.85,1.90,1.80
1.87,2.03,2.05,1.83
2.05,2.06,2.10,1.98
2.10,1.96,2.10,1.80
1.96,1.97,2.04,1.91
1.93,1.86,1.95,1.82
1.79,1.86,1.94,1.75
1.90,1.95,1.99,1.89
1.94,1.89,2.03,1.88
1.85,1.86,1.93,1.84
1.83,1.91,1.91,1.80
1.85,1.91,1.95,1.85
1.91,1.92,1.95,1.89
1.94,2.01,2.03,1.90
2.00,2.18,2.27,1.93
2.13,2.03,2.13,1.98
2.02,2.01,2.06,1.98
1.99,1.96,2.06,1.94
1.90,1.86,1.91,1.84
1.85,1.85,1.88,1.80
1.85,1.81,1.85,1.73
1.85,1.86,1.87,1.81
1.83,1.76,1.87,1.73
1.82,1.70,1.82,1.66
1.66,1.75,1.75,1.63
1.77,1.54,1.77,1.50
1.55,1.60,1.60,1.48
1.60,1.83,1.84,1.60
1.83,1.81,1.86,1.77
1.84,1.76,1.84,1.74
1.75,1.80,1.84,1.70
1.77,1.79,1.81,1.75
1.80,1.72,1.80,1.65
1.80,1.72,1.80,1.68
1.73,1.67,1.74,1.67
1.67,1.68,1.72,1.66
1.67,1.70,1.72,1.65
1.72,1.69,1.72,1.68
1.70,1.68,1.72,1.65
1.68,1.67,1.76,1.66
1.67,1.72,1.72,1.65
1.72,1.68,1.72,1.66
1.71,1.68,1.76,1.66
1.71,1.69,1.72,1.66
1.69,1.71,1.73,1.67
1.67,1.65,1.72,1.63
1.63,1.58,1.64,1.57
1.62,1.67,1.70,1.56
1.68,1.64,1.69,1.61
1.64,1.67,1.68,1.61
1.65,1.65,1.67,1.63
1.65,1.62,1.66,1.61
1.61,1.56,1.64,1.56
1.65,1.60,1.65,1.56
1.60,1.58,1.63,1.56
1.62,1.63,1.69,1.61
1.60,1.59,1.63,1.56
1.59,1.53,1.61,1.52
1.52,1.50,1.55,1.48
1.49,1.52,1.55,1.48
1.50,1.47,1.50,1.42
1.45,1.44,1.47,1.40
1.41,1.38,1.42,1.36
1.41,1.54,1.54,1.40
1.57,1.59,1.63,1.57
1.57,1.57,1.59,1.55
1.53,1.45,1.57,1.45
1.45,1.49,1.53,1.45
1.51,1.48,1.54,1.47
1.55,1.52,1.60,1.51
1.51,1.51,1.55,1.49
1.50,1.50,1.51,1.49
1.50,1.45,1.51,1.43
1.46,1.49,1.53,1.43
1.45,1.48,1.50,1.45
1.49,1.43,1.49,1.41
1.42,1.26,1.44,1.20
1.31,1.22,1.32,1.17
1.22,1.15,1.28,1.13
1.18,1.10,1.19,1.07
1.10,1.11,1.16,1.04
1.11,1.17,1.24,1.11
1.22,1.19,1.23,1.15
1.17,1.24,1.24,1.16
1.22,1.16,1.26,1.13
1.16,1.14,1.18,1.11
1.12,1.14,1.17,1.11
1.13,1.15,1.16,1.11
1.12,1.25,1.29,1.12
1.22,1.24,1.25,1.17
1.21,1.25,1.38,1.14
1.26,1.28,1.28,1.23
1.27,1.39,1.42,1.27
1.42,1.41,1.42,1.35
1.41,1.57,1.62,1.40
1.59,1.84,1.85,1.59
1.84,1.72,1.84,1.60
1.72,1.68,1.74,1.62
1.79,1.70,1.89,1.67
1.69,1.65,1.71,1.61
1.61,1.66,1.67,1.61
1.65,1.64,1.69,1.63
1.66,1.57,1.66,1.56
1.55,1.47,1.59,1.45
1.48,1.42,1.49,1.40
1.40,1.39,1.42,1.34
1.40,1.39,1.42,1.37
1.41,1.39,1.44,1.39
1.41,1.42,1.47,1.40
1.38,1.34,1.41,1.33
1.37,1.34,1.38,1.31
1.35,1.63,1.69,1.35
1.68,1.53,1.74,1.51
1.54,1.58,1.63,1.54
1.60,1.59,1.62,1.55
1.60,1.53,1.60,1.52
1.63,1.56,1.63,1.54
1.58,1.50,1.58,1.50
1.51,1.55,1.56,1.51
1.56,1.57,1.57,1.54
1.55,1.55,1.57,1.53
1.55,1.50,1.56,1.50
1.50,1.44,1.50,1.35
1.43,1.50,1.54,1.42
1.50,1.48,1.50,1.48
1.49,1.55,1.55,1.44
1.62,1.56,1.62,1.51
1.56,1.51,1.57,1.51
1.52,1.51,1.56,1.51
1.51,1.50,1.53,1.50
1.50,1.45,1.50,1.45
1.60,1.87,1.95,1.56
1.84,1.85,1.85,1.64
1.96,1.85,2.05,1.84
1.85,1.86,1.93,1.77
1.87,1.85,1.87,1.79
1.87,1.88,1.95,1.82
2.00,1.96,2.04,1.89
1.93,2.12,2.18,1.90
2.05,2.30,2.39,2.05
2.40,2.35,2.49,2.31
2.40,2.32,2.41,2.20
2.29,2.34,2.37,2.28
2.34,2.22,2.34,2.18
2.22,2.19,2.27,2.19
2.22,2.37,2.41,2.20
2.49,2.73,2.93,2.40
2.73,2.59,2.78,2.53
2.59,2.68,2.71,2.52
2.75,2.77,2.81,2.70
2.76,2.76,2.87,2.65
2.76,2.75,2.81,2.66
2.75,2.71,2.75,2.60
2.68,2.79,2.79,2.61
2.64,2.65,2.70,2.59
2.65,2.50,2.65,2.42
2.59,2.62,2.68,2.54
2.63,2.70,2.73,2.55
2.70,2.70,2.74,2.61
2.70,2.57,2.74,2.55
2.57,2.60,2.64,2.56
2.59,2.60,2.62,2.55
2.60,2.78,2.82,2.60
2.78,2.79,2.89,2.77
2.77,2.74,2.78,2.60
2.72,2.83,2.85,2.68
2.85,2.80,2.87,2.76
2.79,2.76,2.81,2.74
2.73,2.78,2.82,2.68
2.89,2.89,3.02,2.87
2.93,2.94,3.03,2.81
2.93,3.02,3.05,2.89
3.05,3.04,3.05,2.92
2.99,3.01,3.12,2.93
2.99,3.06,3.14,2.95
3.04,3.10,3.10,2.96
3.06,2.73,3.06,2.60
2.75,2.47,2.76,2.46
2.45,2.62,2.67,2.41
2.71,2.59,2.79,2.59
2.57,2.52,2.60,2.47
2.50,2.41,2.53,2.36
2.39,2.42,2.46,2.32
2.39,2.37,2.41,2.34
2.36,2.42,2.42,2.22
2.41,2.41,2.46,2.37
2.39,2.39,2.40,2.28
2.41,2.36,2.41,2.34
2.37,2.38,2.38,2.31
2.35,2.50,2.53,2.34
2.47,2.41,2.50,2.39
2.32,2.39,2.42,2.29
2.32,2.36,2.40,2.30
2.39,2.29,2.39,2.28
2.28,2.30,2.32,2.25
2.33,2.41,2.42,2.26
2.43,2.40,2.45,2.36
2.36,2.64,2.70,2.34
2.69,2.52,2.73,2.51
2.51,2.47,2.57,2.41
2.44,2.54,2.57,2.42
2.55,2.66,2.69,2.53
2.63,2.66,2.68,2.59
2.65,2.67,2.74,2.59
2.68,2.68,2.75,2.68
2.68,2.70,2.74,2.65
2.70,2.66,2.73,2.60
2.64,2.66,2.73,2.62
2.64,2.75,2.79,2.59
2.74,2.77,2.87,2.74
2.79,3.03,3.03,2.75
3.09,2.90,3.24,2.82
2.99,2.98,3.05,2.91
3.01,3.00,3.05,2.91
3.02,3.44,3.46,2.99
3.44,3.45,3.48,3.28
3.44,3.83,4.13,3.35
3.83,3.90,4.06,3.75
3.97,3.92,4.05,3.91
4.01,3.95,4.04,3.82
3.83,3.77,3.88,3.63
3.81,3.79,3.85,3.74
3.75,3.70,3.85,3.68
3.74,3.76,3.81,3.66
3.77,3.71,3.81,3.68
3.71,3.53,3.73,3.50
3.51,3.65,3.69,3.44
3.58,3.51,3.59,3.43
3.53,3.50,3.56,3.43
3.53,3.48,3.55,3.43
3.50,3.62,3.63,3.43
3.64,3.80,3.90,3.63
3.79,3.69,3.97,3.66
3.67,3.63,3.79,3.47
3.63,3.25,3.63,3.23
3.25,3.12,3.28,3.01
3.16,3.29,3.35,3.08
3.31,3.28,3.35,3.16
3.36,3.17,3.36,3.02
3.14,3.18,3.30,3.02
3.17,3.16,3.24,3.12
3.18,3.12,3.18,3.06
3.10,3.15,3.16,3.02
3.16,3.06,3.18,3.03
3.06,3.21,3.22,3.06
3.21,3.21,3.24,3.12
3.20,3.24,3.27,3.16
3.24,3.20,3.24,3.14
3.20,3.17,3.28,3.10
3.15,3.21,3.30,3.10
3.08,3.08,3.12,2.99
3.06,3.19,3.20,3.00
3.19,3.20,3.24,3.15
3.18,3.31,3.37,3.16
3.32,3.47,3.51,3.32
3.48,3.39,3.48,3.27
3.40,3.47,3.49,3.28
3.46,3.46,3.47,3.38
3.44,3.45,3.57,3.41
3.47,3.62,3.65,3.47
3.65,3.58,3.68,3.53
3.57,3.57,3.63,3.53
3.56,3.43,3.58,3.41
3.43,3.45,3.48,3.39
3.45,3.58,3.62,3.41
3.60,3.76,3.79,3.60
3.75,3.87,4.00,3.65
3.83,3.90,4.03,3.82
3.90,3.87,3.93,3.74
3.84,3.89,4.00,3.83
3.93,3.83,3.97,3.81
3.81,3.84,3.90,3.70
3.85,3.81,3.93,3.80
3.81,3.53,3.81,3.50
3.60,3.74,3.82,3.56
3.72,3.69,3.81,3.67
3.70,3.66,3.78,3.61
3.66,3.59,3.71,3.55
3.61,3.65,3.66,3.56
3.67,3.58,3.68,3.53
3.58,3.62,3.64,3.52
3.61,3.51,3.63,3.46
3.50,3.30,3.52,3.27
3.51,3.29,3.51,3.23
3.30,3.31,3.38,3.27
3.32,3.25,3.33,3.24
3.25,3.29,3.30,3.20
3.32,3.38,3.39,3.25
3.40,3.38,3.43,3.30
3.40,3.38,3.44,3.36
3.35,3.21,3.41,3.20
3.20,3.22,3.23,3.16
3.18,3.22,3.24,3.11
3.01,2.99,3.08,2.94
3.00,2.83,3.01,2.76
2.82,2.81,2.91,2.80
2.83,2.74,2.89,2.71
2.76,2.82,2.93,2.75
2.90,2.73,2.95,2.71
2.73,2.75,2.77,2.68
2.80,2.77,2.80,2.72
2.71,2.65,2.75,2.64
2.62,2.65,2.71,2.58
2.63,2.68,2.69,2.59
2.70,2.66,2.77,2.65
2.78,2.76,2.84,2.70
2.55,2.67,2.80,2.55
2.64,2.62,2.65,2.55
2.61,2.60,2.64,2.47
2.63,2.61,2.67,2.56
2.61,2.68,2.72,2.60
2.84,2.79,2.90,2.74
2.81,2.81,2.85,2.75
2.81,2.98,3.01,2.81
2.96,2.86,2.99,2.85
2.87,2.97,2.98,2.85
3.01,3.01,3.06,2.91
3.08,3.05,3.10,2.97
3.05,2.99,3.08,2.97
2.98,2.98,3.03,2.92
3.01,2.95,3.01,2.88
2.94,2.79,2.94,2.75
2.80,2.80,2.88,2.78
2.80,2.75,2.80,2.70
2.77,2.75,2.77,2.70
2.77,2.72,2.80,2.70
2.72,2.66,2.74,2.65
2.64,2.62,2.68,2.61
2.64,2.65,2.67,2.59
2.66,2.67,2.69,2.57
2.70,2.63,2.73,2.63
2.63,2.63,2.65,2.57
2.61,2.55,2.66,2.53
2.54,2.50,2.55,2.47
2.51,2.44,2.51,2.43
2.43,2.40,2.49,2.40
2.39,2.38,2.43,2.37
2.37,2.40,2.44,2.37
2.45,2.59,2.62,2.43
2.60,2.72,2.76,2.59
2.79,2.75,2.79,2.67
2.75,2.89,2.90,2.70
2.90,2.96,3.00,2.88
2.98,2.96,2.98,2.87
2.97,2.85,2.98,2.78
2.87,2.83,2.90,2.77
2.83,2.81,2.89,2.80
2.79,2.82,2.84,2.77
2.82,2.75,2.83,2.70
2.77,2.73,2.77,2.70
2.74,2.66,2.74,2.64
2.65,2.66,2.66,2.60
2.65,2.73,2.73,2.62
2.71,2.70,2.74,2.64
2.71,2.69,2.73,2.64
2.69,2.71,2.72,2.67
2.71,2.68,2.72,2.64
2.66,2.58,2.66,2.54
2.56,2.69,2.71,2.54
2.71,2.70,2.71,2.62
2.66,2.68,2.70,2.59
2.69,2.83,2.83,2.63
2.81,2.83,2.83,2.74
2.82,2.77,2.82,2.76
2.77,2.73,2.77,2.67
2.72,2.71,2.75,2.68
2.71,2.72,2.73,2.64
2.72,2.75,2.76,2.67
2.74,2.70,2.77,2.69
2.72,2.69,2.72,2.65
2.71,2.70,2.72,2.64
2.70,2.61,2.73,2.61
2.62,2.62,2.68,2.51
2.62,2.58,2.67,2.54
2.59,2.51,2.62,2.50
2.52,2.53,2.62,2.50
2.52,2.51,2.57,2.46
2.52,2.72,2.73,2.52
2.65,2.79,2.79,2.62
2.73,2.85,2.85,2.73
2.86,2.93,2.93,2.85
2.95,2.95,3.00,2.89
2.95,2.98,3.00,2.91
3.01,3.01,3.03,2.95
2.99,3.03,3.04,2.94
3.04,3.03,3.09,2.93
3.12,3.18,3.18,3.00
3.18,3.31,3.33,3.17
3.30,3.30,3.40,3.27
3.25,3.31,3.34,3.16
3.29,3.37,3.43,3.29
3.36,3.41,3.42,3.32
3.39,3.41,3.46,3.34
3.41,3.50,3.58,3.41
3.55,3.55,3.67,3.51
3.59,3.45,3.66,3.35
3.41,3.49,3.51,3.36
3.51,3.49,3.57,3.47
3.51,3.33,3.57,3.29
3.34,3.39,3.47,3.34
3.39,3.32,3.43,3.29
3.34,3.47,3.47,3.33
3.41,3.40,3.45,3.34
3.44,3.49,3.49,3.32
3.49,3.49,3.57,3.41
3.50,3.48,3.62,3.38
3.49,3.53,3.59,3.44
3.51,3.57,3.60,3.46
3.55,3.42,3.55,3.42
3.45,3.54,3.55,3.33
3.49,3.33,3.49,3.21
3.33,3.24,3.38,3.21
3.22,3.43,3.43,3.22
3.42,3.36,3.45,3.36
3.41,3.48,3.56,3.38
3.47,3.46,3.49,3.37
3.44,3.45,3.51,3.39
3.44,3.47,3.49,3.35
3.50,3.49,3.50,3.39
3.47,3.50,3.52,3.44
3.49,3.23,3.49,3.22
3.25,3.28,3.36,3.25
3.33,3.35,3.44,3.31
3.35,3.28,3.38,3.24
3.28,3.21,3.34,3.16
3.18,3.13,3.18,3.02
3.58,3.83,4.08,3.47
3.90,3.97,4.17,3.81
4.02,4.30,4.34,3.97
4.32,4.18,4.40,4.08
4.16,4.22,4.32,4.08
4.22,4.21,4.25,4.11
4.23,4.22,4.24,4.15
4.20,4.16,4.33,4.12
4.20,4.18,4.29,4.14
4.18,3.96,4.29,3.86
3.90,4.13,4.13,3.77
4.10,4.09,4.13,3.98
4.12,4.21,4.36,4.12
4.16,4.12,4.25,4.08
4.13,4.23,4.30,4.13
4.20,4.19,4.23,4.17
4.21,4.18,4.28,4.07
4.20,4.09,4.22,3.95
4.07,4.08,4.14,4.01
4.07,4.08,4.12,3.96
4.13,4.12,4.16,4.00
4.14,4.09,4.16,4.01
4.02,4.10,4.15,3.95
4.13,4.01,4.20,3.95
4.01,4.06,4.08,3.97
4.07,4.00,4.09,3.99
4.07,3.85,4.11,3.83
3.85,3.84,3.98,3.81
3.84,3.64,3.88,3.60
