BPL,Buckeye Partners L.P. Common Stock,NASDAQ
60.58,60.86,60.88,60.32
61.76,61.85,62.00,60.72
62.39,61.94,62.39,61.58
61.62,61.70,62.24,61.49
61.45,62.02,62.24,61.01
61.80,61.67,61.95,61.34
62.00,61.61,62.00,61.45
61.37,61.51,61.52,60.56
61.60,61.16,61.62,61.02
61.48,60.77,61.48,59.58
60.51,60.02,60.97,59.77
60.19,60.30,60.53,59.70
60.11,61.38,61.50,60.00
61.38,61.33,61.49,61.14
61.29,61.70,61.80,61.00
62.34,61.90,62.34,61.48
62.00,61.84,62.21,61.84
61.82,60.90,62.13,60.90
61.21,60.85,61.78,60.70
61.30,61.21,61.95,61.03
61.55,60.78,61.74,60.78
61.39,61.39,61.51,60.50
61.29,60.24,61.34,59.98
60.10,58.28,60.10,55.13
57.66,54.00,58.40,45.00
54.00,55.35,55.95,52.60
56.98,58.20,60.62,56.36
57.85,59.42,60.60,57.00
59.81,60.95,61.32,57.64
59.67,59.50,60.79,58.56
59.52,59.02,59.52,57.60
59.25,58.23,59.26,57.15
58.97,57.28,59.11,57.28
56.01,55.20,57.00,54.05
54.16,52.33,54.16,51.80
51.35,53.58,53.93,50.05
53.39,53.67,54.45,52.45
52.72,53.85,53.95,51.07
55.57,55.66,56.24,54.20
56.34,56.86,57.08,56.14
56.51,56.70,58.69,56.51
55.76,56.65,57.16,55.42
56.58,56.73,56.93,55.93
57.49,58.95,58.96,56.95
57.91,58.47,58.96,57.53
57.20,57.55,58.25,57.20
57.52,57.80,58.11,56.50
58.10,57.90,58.60,57.62
58.50,58.17,58.93,58.00
54.95,55.86,56.50,53.01
55.95,56.37,56.59,55.50
57.30,56.65,57.30,56.05
56.17,57.59,57.62,56.17
57.60,57.49,58.12,56.75
57.22,57.02,57.73,56.81
57.65,57.12,58.00,57.10
57.24,57.14,57.99,56.86
57.03,56.85,57.28,56.66
56.75,57.10,57.74,56.75
57.40,59.26,59.76,57.12
59.00,59.86,60.65,59.00
59.00,58.87,59.50,58.69
58.59,59.04,59.70,58.59
58.77,57.92,59.10,57.19
58.15,58.20,59.00,57.96
59.29,58.35,59.48,57.98
58.60,59.65,59.65,58.16
59.70,60.20,60.34,59.53
60.48,60.45,60.60,60.12
60.30,60.76,61.00,60.15
61.30,61.10,61.37,60.66
60.70,61.07,61.35,60.35
61.36,61.27,61.42,60.70
60.98,61.40,61.50,60.74
61.98,61.60,61.98,61.00
61.28,62.34,62.60,60.92
63.34,62.40,63.34,61.84
62.66,62.89,63.10,62.09
62.75,63.16,63.34,62.68
63.49,63.43,63.69,63.00
63.71,62.44,63.75,62.12
62.08,62.56,62.75,62.00
63.01,62.22,63.50,61.88
61.75,63.47,63.48,61.36
64.42,64.87,65.00,63.85
65.85,65.08,65.85,64.09
64.67,64.56,65.00,64.33
64.56,65.46,65.69,64.55
64.68,65.45,65.63,63.63
65.95,64.78,66.00,64.62
64.46,64.41,64.89,63.81
63.80,62.66,63.99,62.25
61.30,60.31,61.54,60.23
60.31,62.27,62.64,60.31
62.57,63.26,63.50,61.80
63.70,63.62,63.95,63.29
63.50,63.25,63.85,62.91
63.26,63.06,63.41,62.57
62.51,62.86,63.19,62.09
62.62,63.46,63.98,62.62
63.64,63.21,63.88,62.97
63.30,61.54,63.42,61.30
62.09,61.87,62.31,61.50
62.02,62.65,62.84,61.49
62.29,61.80,62.64,61.68
61.97,61.06,62.63,61.00
62.06,61.79,62.65,61.62
61.59,61.75,62.11,61.40
62.00,62.25,62.28,61.72
62.33,61.95,62.39,61.61
62.13,62.36,62.85,61.87
62.69,61.85,62.84,61.67
62.00,62.65,62.74,62.00
63.00,62.68,63.00,62.51
62.50,62.89,63.14,62.50
62.50,62.91,63.14,62.50
62.75,62.28,62.89,62.15
62.28,62.16,63.01,62.10
62.20,62.60,62.74,62.18
62.61,62.80,63.25,62.35
62.98,62.65,63.26,62.62
62.59,62.24,62.63,62.00
62.30,62.02,62.72,61.99
62.15,62.16,62.58,61.91
62.42,62.65,62.96,62.01
62.54,62.92,63.14,62.35
63.24,63.50,63.50,62.82
63.65,63.95,64.20,63.65
63.84,64.16,64.16,63.59
64.36,64.01,64.38,63.70
64.02,64.53,64.62,63.80
64.53,65.16,65.19,64.15
65.00,64.97,65.16,64.66
64.88,64.30,65.10,64.29
63.97,63.79,64.03,63.42
63.90,63.73,64.04,63.18
63.98,63.02,63.98,62.50
63.50,63.62,63.63,62.70
63.53,62.96,63.62,62.76
62.95,62.39,62.95,62.00
62.44,62.75,63.00,62.10
62.78,63.05,63.44,62.56
62.88,62.88,62.89,62.55
63.25,62.81,63.34,62.71
62.71,63.01,63.08,62.51
63.25,62.84,63.25,62.25
62.80,62.97,63.33,62.77
62.89,63.31,63.35,62.74
63.35,63.82,63.87,63.28
63.99,64.90,64.92,63.87
65.00,65.00,65.16,64.50
65.20,65.00,65.50,64.73
65.50,65.46,65.50,64.90
65.82,65.82,66.00,65.22
65.94,69.13,69.60,65.88
68.80,69.80,70.97,68.05
69.27,69.66,69.83,68.51
71.30,67.91,71.67,67.61
69.00,67.90,69.29,67.88
67.62,66.85,67.89,65.68
66.53,66.15,66.89,66.02
66.53,66.31,66.87,66.30
66.31,66.78,66.80,65.77
66.81,66.90,66.90,65.90
66.31,66.34,66.41,65.51
66.33,66.66,67.34,66.29
66.34,66.36,66.68,66.33
66.33,66.35,66.40,65.74
66.10,68.07,68.07,65.59
68.62,68.11,68.62,67.30
68.24,68.07,68.73,67.16
67.87,67.82,67.98,67.27
67.14,66.46,67.49,66.28
66.65,67.34,67.74,66.65
67.50,66.92,67.57,66.55
66.98,67.44,67.54,66.88
67.17,67.51,67.94,67.05
68.05,68.92,68.92,67.49
68.72,67.66,68.73,67.50
67.33,65.78,67.33,65.27
65.67,65.88,65.89,65.07
65.75,64.40,65.89,64.40
64.90,65.17,65.56,64.16
65.52,66.19,66.30,65.22
66.20,66.64,66.80,65.88
66.50,66.62,66.90,66.29
66.51,66.58,66.80,66.27
66.60,66.61,66.82,66.04
66.58,66.63,66.96,66.47
66.50,67.33,67.50,66.50
67.09,66.83,67.40,66.83
67.95,67.58,68.16,67.00
67.89,67.02,68.25,66.73
67.04,66.77,67.05,66.58
66.80,66.44,67.04,66.00
66.44,66.73,66.82,66.00
67.50,67.75,68.36,66.86
68.19,68.00,68.46,67.85
68.17,68.28,68.50,67.78
68.38,68.38,68.50,67.93
68.50,68.52,68.80,68.19
68.81,68.35,68.81,67.94
68.45,67.25,68.50,67.16
67.10,66.50,67.27,65.51
66.61,67.01,67.34,66.61
67.39,68.46,68.46,67.11
68.68,67.79,68.68,67.66
68.04,66.86,68.04,66.15
66.50,67.34,67.62,66.50
64.29,64.65,64.65,64.00
64.66,64.66,64.75,64.25
64.68,64.93,65.23,64.55
65.00,65.31,65.38,65.00
65.26,65.45,65.48,65.00
65.41,65.38,65.60,65.01
65.48,65.34,65.48,65.14
65.37,65.26,65.40,65.00
65.15,64.98,65.20,64.71
64.94,64.64,64.99,64.56
64.50,65.09,65.09,64.50
65.14,65.39,65.41,65.01
65.50,65.59,65.60,65.05
64.91,64.50,64.97,64.38
64.50,64.70,64.70,64.01
64.63,64.66,65.41,64.55
64.55,63.54,64.80,63.22
63.48,63.13,63.97,62.78
63.10,63.00,63.28,62.70
63.50,64.40,64.47,63.31
64.92,64.82,65.20,64.50
64.96,64.90,65.12,64.53
64.93,64.58,64.94,64.08
65.00,64.95,65.23,64.62
64.78,65.31,65.31,64.67
65.40,65.40,65.54,64.75
65.31,65.22,65.40,64.26
64.93,63.92,65.04,63.61
63.50,63.36,63.65,62.80
62.85,63.31,63.59,62.26
63.30,63.57,63.74,63.01
61.45,62.47,62.76,58.45
62.40,63.13,63.39,62.25
63.56,63.98,64.01,63.30
64.50,64.90,64.90,63.99
65.05,64.56,65.38,64.04
64.88,64.50,64.90,64.34
64.56,63.63,64.74,63.54
63.64,63.43,64.14,63.25
63.23,64.00,64.05,63.23
64.01,63.62,64.38,63.45
63.70,62.72,63.75,62.63
63.09,63.32,63.62,63.00
63.48,63.54,64.00,63.20
64.08,64.00,64.08,63.55
64.09,64.17,64.18,63.54
64.00,64.00,64.17,63.67
64.25,63.23,64.25,62.67
63.31,63.15,63.50,62.95
63.20,63.04,63.49,62.83
63.04,62.25,63.16,61.86
62.10,61.29,62.71,60.76
61.34,61.41,62.82,61.19
59.92,60.35,62.12,59.89
61.95,62.60,62.95,61.40
62.30,63.00,63.15,62.00
62.90,62.87,63.15,62.80
63.04,63.65,63.84,63.00
63.89,64.17,64.22,63.66
64.25,64.53,64.60,64.10
64.60,64.67,64.79,64.58
64.89,65.06,65.19,64.79
65.01,65.04,65.18,64.69
64.94,65.06,65.20,64.75
65.05,64.54,65.05,64.08
64.49,63.53,64.53,63.40
63.45,63.00,63.84,62.12
62.75,62.56,62.75,61.75
62.50,63.57,64.15,62.50
64.01,64.05,64.12,63.45
64.29,64.01,64.39,63.82
64.05,63.19,64.15,62.70
62.12,61.35,62.12,60.85
61.40,61.60,62.00,61.18
61.60,61.21,62.05,61.12
61.00,60.64,61.50,59.85
60.64,62.00,62.00,60.64
62.18,62.88,63.01,62.18
63.00,63.30,63.37,62.62
62.53,62.54,62.83,62.22
62.80,62.12,63.28,62.00
62.23,63.04,63.13,62.20
63.16,62.81,63.16,62.26
62.81,63.06,63.10,62.60
63.25,63.45,63.60,63.10
63.58,62.72,63.80,62.57
62.77,63.52,63.61,61.88
61.90,62.92,63.17,61.90
62.84,61.53,62.97,61.44
61.60,60.85,61.67,60.73
61.00,60.50,61.31,60.29
60.80,61.54,61.69,60.46
61.50,62.28,62.29,61.46
62.23,61.48,62.46,60.95
61.93,61.92,62.00,61.59
61.68,62.20,62.26,60.96
62.17,61.49,62.45,60.99
62.06,63.51,63.85,61.14
63.07,62.71,63.38,62.52
63.04,63.15,63.46,62.57
63.15,63.15,63.45,62.86
62.89,63.65,63.69,62.14
63.59,63.95,63.99,63.46
63.95,63.92,64.00,63.56
64.00,64.19,64.19,63.68
64.25,64.52,64.76,64.13
64.74,64.56,64.74,64.23
64.51,64.66,64.84,64.01
64.78,64.64,64.85,64.35
64.49,64.77,64.77,64.40
65.00,65.09,65.24,64.62
64.81,65.15,65.15,64.66
64.85,64.95,65.14,64.51
64.70,64.62,64.98,64.38
64.51,64.24,64.84,64.07
64.52,63.58,64.53,63.31
63.85,64.73,64.83,63.61
64.56,64.59,64.64,64.16
64.84,64.58,64.93,64.29
64.59,64.64,64.80,64.32
64.86,64.33,64.89,64.19
64.45,64.40,64.80,64.30
64.07,64.17,64.47,63.85
64.07,63.04,64.41,62.85
63.04,62.52,63.07,61.83
62.43,62.67,63.06,62.07
62.18,62.94,62.99,62.00
63.43,63.67,64.00,63.29
63.67,63.74,63.94,63.47
63.94,63.39,63.94,63.00
63.21,61.66,63.35,61.42
62.43,60.78,62.76,54.51
58.62,57.61,61.46,56.62
58.26,60.91,61.46,58.13
60.49,61.09,62.92,60.24
60.81,60.78,61.58,60.49
61.42,61.38,62.23,60.89
61.76,62.06,62.28,61.61
61.67,61.94,62.20,61.18
62.36,62.70,62.79,62.10
61.29,61.00,61.57,60.45
60.17,59.99,61.22,59.33
60.32,57.87,60.69,57.86
57.84,59.77,59.83,57.80
59.56,60.45,60.59,59.27
60.64,60.77,61.77,60.03
60.65,61.45,61.72,60.00
62.00,62.14,62.28,61.55
62.00,62.24,62.89,61.80
62.94,62.98,63.50,62.55
63.25,62.86,63.25,62.53
62.02,62.46,62.90,61.92
61.91,62.07,62.07,61.17
62.65,62.82,62.82,62.14
62.49,63.15,63.24,62.35
62.70,62.49,63.89,62.39
62.20,62.21,62.60,61.06
61.24,63.09,63.24,61.24
63.20,63.06,63.38,62.79
63.15,63.56,63.80,63.04
63.39,62.54,63.82,62.50
62.28,64.23,64.50,61.84
64.29,64.29,64.88,63.75
64.11,63.69,64.99,63.52
62.04,62.67,63.07,61.86
62.50,61.87,62.64,61.68
62.27,62.64,62.69,61.51
63.58,63.36,64.35,62.98
63.31,61.86,63.35,61.86
62.47,62.45,62.66,61.26
62.08,62.51,62.51,61.92
62.28,61.55,62.42,61.14
61.05,62.36,62.48,59.00
62.77,62.15,63.69,62.01
62.19,62.34,63.35,61.50
62.40,62.10,62.89,62.03
62.47,62.78,63.37,62.25
62.86,63.71,64.17,62.77
64.10,64.30,64.30,63.65
64.11,64.95,65.00,63.63
65.24,65.57,65.95,65.10
65.55,66.11,66.47,65.33
65.91,66.08,66.42,65.10
66.18,66.07,67.17,65.73
66.35,66.45,66.61,65.81
66.86,67.42,67.75,66.76
67.11,67.38,67.97,66.78
67.44,66.67,67.44,66.46
67.00,67.37,67.51,66.51
67.95,67.29,68.45,67.08
66.98,67.99,68.00,66.76
67.26,67.55,67.74,67.00
66.08,66.93,67.14,66.08
67.38,65.96,67.64,65.82
65.98,66.65,66.92,65.67
65.77,66.60,67.48,65.77
66.25,66.42,66.77,66.00
66.45,66.04,66.62,65.93
64.50,63.53,65.60,63.39
65.06,63.63,65.59,62.75
63.85,64.61,64.61,63.51
64.56,64.65,65.21,64.37
64.00,63.65,64.49,63.35
63.50,63.68,63.85,63.14
63.87,63.77,63.92,63.04
63.63,63.81,63.81,63.09
63.17,63.51,63.68,62.24
63.33,62.81,63.48,62.73
62.58,62.76,63.09,62.11
62.79,62.45,62.95,62.29
63.38,63.39,64.00,63.26
63.58,63.91,64.05,63.45
64.64,63.80,65.20,63.50
64.18,64.14,64.75,63.95
64.26,63.96,65.05,63.85
64.32,63.54,64.33,63.33
63.85,63.40,63.85,62.92
63.31,63.83,64.04,63.29
63.61,63.66,64.09,63.38
63.71,63.97,64.00,63.16
63.26,63.55,64.00,62.96
63.54,63.39,64.02,62.98
62.72,63.15,63.54,62.72
63.51,63.87,64.02,63.04
63.90,61.70,64.50,61.70
62.51,63.00,63.49,62.20
63.51,63.02,63.89,62.03
63.00,63.97,63.98,62.87
63.98,63.89,64.08,63.50
64.19,64.07,64.30,63.77
63.88,64.34,64.60,63.88
64.08,64.06,64.42,63.80
63.82,64.17,64.48,63.78
64.17,63.98,64.17,63.51
64.59,64.00,64.95,63.72
64.22,64.04,64.22,64.00
64.04,64.17,64.25,63.10
64.43,63.67,64.56,63.08
64.00,63.39,64.04,63.06
63.66,63.76,64.24,63.33
63.53,63.43,63.94,63.07
63.06,62.87,63.41,62.73
62.84,62.85,63.00,62.60
63.00,62.94,63.02,62.47
63.00,62.35,63.02,62.22
62.50,62.15,62.65,61.74
62.22,62.00,62.36,61.75
62.00,62.54,63.39,62.00
62.56,62.30,63.17,62.00
62.30,62.53,63.11,62.21
62.88,62.14,63.04,61.85
62.82,62.55,62.82,62.00
62.55,62.25,62.57,61.95
62.25,62.29,62.56,62.16
62.22,62.88,63.17,62.22
63.24,63.46,63.82,63.02
63.94,63.62,64.36,63.50
63.72,63.25,63.75,63.10
63.44,63.40,63.90,63.12
63.85,63.80,64.29,63.51
64.00,63.75,64.29,63.70
62.95,63.75,63.90,60.73
63.40,62.20,63.98,61.40
62.20,59.75,62.25,59.63
60.01,59.75,60.19,59.27
58.60,58.52,59.02,58.50
58.90,59.69,59.79,58.64
60.14,60.09,60.63,59.84
60.31,59.89,60.31,59.51
60.17,60.65,60.65,60.08
60.99,60.97,61.00,60.60
61.08,60.45,61.20,60.44
60.30,59.77,60.54,59.51
59.81,59.80,60.38,59.53
60.10,60.06,60.24,59.82
60.22,60.02,60.38,59.88
60.12,59.88,60.31,59.81
59.82,59.69,59.88,59.43
59.99,60.22,60.32,59.76
60.33,60.31,60.41,60.05
60.30,60.87,60.90,60.20
61.09,60.80,61.20,60.71
61.06,61.10,61.26,60.70
61.31,60.86,61.37,60.61
61.07,61.09,61.14,60.12
61.11,61.75,61.84,61.01
61.75,62.09,62.14,61.59
61.81,62.20,62.20,61.34
62.50,62.64,62.66,62.30
62.36,62.10,62.58,62.02
62.22,61.95,62.46,61.91
62.33,62.14,62.44,61.86
61.83,61.96,62.54,61.75
61.99,61.40,62.17,61.03
61.26,61.08,61.42,60.52
61.22,61.18,61.45,60.74
61.27,60.19,61.37,60.08
60.45,60.34,60.60,60.06
60.26,59.96,60.57,59.76
59.95,60.38,60.40,59.84
60.13,59.88,60.14,59.69
60.16,58.60,60.22,58.27
58.83,58.37,59.23,58.27
58.96,58.09,58.96,58.05
58.00,57.56,58.30,57.41
57.71,56.21,57.85,56.02
56.73,56.48,56.90,55.76
56.49,56.58,56.75,56.28
56.58,57.04,57.04,56.40
57.23,57.49,57.74,57.00
57.40,57.43,57.57,56.91
57.69,57.17,57.69,57.10
57.44,56.48,57.44,56.38
56.38,56.50,56.74,56.35
56.70,56.45,56.87,56.30
56.54,56.45,56.74,56.32
56.45,56.95,57.36,56.41
57.22,57.93,58.05,56.71
57.93,57.52,57.99,56.91
57.25,54.35,57.25,52.46
54.06,53.44,54.16,52.80
53.16,53.25,53.44,52.97
52.93,52.77,53.24,52.59
51.99,51.72,52.22,51.52
51.71,50.50,51.89,50.27
50.19,49.64,50.49,49.12
49.80,49.76,49.85,49.33
49.81,49.73,50.18,49.59
49.30,47.12,49.59,46.60
47.15,45.71,47.15,45.28
45.45,47.21,47.38,44.55
47.36,48.08,48.43,46.93
47.83,48.24,48.32,47.12
48.65,47.89,48.65,47.67
47.97,47.84,48.01,47.52
47.81,47.72,48.05,47.43
47.63,47.53,47.70,47.13
47.64,47.52,48.45,46.96
47.04,46.75,47.57,46.42
46.49,46.61,46.99,45.86
46.70,48.71,49.05,46.42
49.15,49.16,49.62,48.76
49.43,49.66,50.00,48.91
49.12,48.84,49.87,48.64
49.48,49.00,49.48,49.00
49.20,49.15,49.70,49.00
49.15,49.51,49.92,49.00
49.62,49.01,49.92,48.65
48.97,50.21,50.50,48.84
50.21,50.02,50.32,49.59
50.48,51.01,51.26,50.39
51.37,51.00,51.66,50.65
51.00,50.55,51.10,50.21
50.60,49.23,51.17,49.00
49.05,48.90,49.33,48.17
49.11,49.14,49.81,48.62
49.29,50.58,50.65,49.09
50.48,51.46,51.46,50.34
51.27,52.17,52.37,51.27
51.66,52.75,52.91,51.64
52.88,52.63,52.91,52.46
52.27,52.00,52.91,51.85
51.85,52.44,52.46,51.78
52.46,52.30,53.00,52.23
52.66,51.88,53.05,51.50
51.97,53.23,53.48,51.66
53.12,53.21,53.50,52.83
52.86,53.27,53.93,52.76
52.25,53.19,53.23,52.25
53.25,53.29,53.43,52.77
53.25,53.65,53.89,53.12
53.70,54.00,54.46,53.66
53.89,53.67,54.47,53.65
54.62,53.70,54.62,52.68
53.85,53.79,54.05,53.36
53.86,53.41,54.11,53.00
54.11,53.84,54.18,53.32
54.19,54.39,54.42,53.74
54.29,54.29,54.68,54.05
54.50,54.35,54.54,53.66
54.55,54.02,54.58,53.67
53.66,53.77,53.93,52.68
53.57,54.15,54.54,53.00
54.54,53.98,54.54,53.01
54.28,53.88,54.57,53.08
53.64,53.80,54.46,53.64
53.91,53.00,54.35,52.75
52.95,53.57,53.68,52.80
52.49,52.19,52.66,52.15
52.26,52.50,52.71,52.12
52.30,52.73,52.80,52.10
52.82,52.64,52.99,52.61
52.64,52.00,52.93,51.95
51.88,51.37,52.25,51.06
51.25,50.74,51.40,50.50
50.44,50.25,50.59,49.76
50.29,49.64,50.46,49.57
49.35,48.36,49.55,48.00
48.35,47.75,48.36,47.06
47.72,48.24,48.29,47.70
48.23,48.30,48.48,48.03
48.30,48.56,48.62,48.15
49.46,49.42,49.49,48.59
49.34,49.70,49.81,49.14
49.69,49.21,49.69,49.20
49.23,48.87,49.38,48.68
48.68,48.76,49.08,48.32
48.35,49.37,49.68,48.35
49.37,49.25,49.50,49.18
49.57,49.91,50.24,49.20
49.96,50.16,50.23,49.53
50.25,51.45,51.82,50.20
51.09,50.41,51.42,50.30
50.35,49.86,50.52,49.61
49.92,49.55,50.12,49.47
49.59,49.01,49.64,48.76
49.29,48.80,49.48,48.44
48.57,48.00,48.71,47.53
48.00,48.01,48.43,47.76
48.20,48.02,48.37,47.83
48.17,48.00,48.35,47.88
48.01,47.97,48.20,47.60
47.90,48.75,48.98,47.86
48.78,48.71,49.00,48.07
48.56,48.20,48.70,48.02
48.20,47.71,48.25,47.01
48.02,47.40,48.02,47.32
47.23,47.25,47.38,47.07
47.14,47.06,47.44,47.01
47.19,47.39,47.49,47.10
47.52,47.80,47.99,47.52
47.76,48.03,48.07,47.39
48.04,48.09,48.13,47.60
48.12,48.59,48.69,47.84
48.89,48.31,49.00,48.10
48.20,47.72,48.61,47.54
47.74,47.37,48.10,47.31
47.59,47.84,48.10,47.51
47.63,48.10,48.30,47.42
48.41,48.53,48.92,48.20
48.87,48.30,48.90,48.24
48.32,48.31,48.42,48.06
48.64,48.42,48.74,48.06
48.56,48.92,48.92,48.25
48.78,49.46,49.96,48.75
50.04,49.25,50.11,49.07
49.25,48.94,49.72,48.85
47.75,47.16,47.95,46.59
47.15,46.20,47.15,45.98
46.05,45.38,46.20,45.22
45.40,44.94,45.57,44.37
44.90,45.44,45.72,44.50
45.45,45.48,46.20,45.20
45.00,44.65,45.83,44.44
44.69,46.64,46.80,44.50
48.14,48.33,48.43,47.14
48.25,48.53,48.67,48.01
48.73,49.13,49.20,48.44
48.98,49.45,49.45,48.75
49.33,49.04,49.44,48.79
48.98,49.29,49.59,48.95
49.00,49.99,50.00,48.93
50.00,50.19,50.51,49.85
50.75,50.26,50.91,50.00
50.30,49.41,50.68,49.25
49.17,48.73,49.39,48.41
48.70,48.12,49.00,47.95
48.00,48.40,48.76,47.94
48.47,48.52,48.72,47.96
48.18,48.16,48.92,48.01
48.25,48.12,48.45,47.72
48.13,47.66,48.13,47.56
47.68,47.17,47.93,46.65
47.30,46.66,47.49,46.50
46.86,46.15,46.86,46.03
46.28,46.67,47.06,46.00
46.53,46.90,47.48,46.53
46.74,47.00,47.69,46.61
46.60,45.81,46.77,45.75
45.81,45.66,46.00,45.37
45.80,45.19,45.89,45.11
45.19,45.00,45.33,44.64
44.72,45.00,45.43,44.64
44.98,45.41,45.54,44.70
45.72,47.83,48.00,45.72
47.80,48.16,48.41,47.75
48.33,48.19,48.38,47.95
49.39,49.10,49.39,48.27
49.17,50.00,50.00,49.10
50.00,51.05,51.10,49.74
51.26,51.96,52.19,51.11
52.45,52.55,52.75,51.82
52.27,52.37,53.00,52.27
52.35,52.35,52.62,52.00
52.54,52.83,52.92,52.38
52.88,53.22,53.44,52.88
53.04,53.78,54.00,53.04
54.20,54.88,54.96,53.50
54.95,54.51,55.30,54.30
52.21,52.24,52.44,52.00
52.24,52.50,52.50,52.07
52.41,52.20,52.44,52.10
52.00,52.20,52.25,51.36
51.83,52.15,52.30,51.60
52.15,52.64,52.75,51.88
52.38,52.53,52.65,52.05
52.21,52.39,52.85,52.10
52.46,52.47,52.67,52.01
52.35,52.41,52.68,52.25
52.15,52.32,52.62,52.15
52.92,53.13,53.50,52.20
53.63,53.31,53.69,52.77
53.35,53.58,53.83,53.10
53.75,54.39,54.54,53.65
53.47,53.55,53.64,52.82
53.65,53.50,53.72,53.00
53.50,53.31,53.89,53.08
53.15,53.52,53.99,53.01
53.45,53.61,53.79,52.70
53.88,53.96,54.34,53.65
54.34,53.46,54.49,53.46
53.60,54.03,54.07,53.44
54.11,55.22,55.59,54.05
55.65,55.70,56.14,55.37
55.60,56.11,56.28,55.60
56.11,56.91,56.96,55.82
56.95,56.97,57.31,56.64
56.88,57.80,57.82,56.53
57.74,58.30,58.65,57.15
58.23,59.18,59.84,58.18
59.30,59.23,59.65,58.70
59.00,59.20,59.48,58.96
59.15,58.89,59.45,58.51
58.82,58.65,59.20,58.33
58.37,58.35,58.89,58.19
57.60,57.98,58.35,56.88
57.98,57.79,58.00,57.20
57.75,58.89,59.06,57.57
58.80,59.42,59.62,58.65
59.57,60.15,60.32,59.23
60.10,59.83,60.82,59.61
60.00,60.51,60.57,59.63
60.07,60.68,60.72,59.81
60.66,61.16,61.32,60.20
60.69,60.80,60.84,60.12
60.59,60.46,60.89,60.21
60.24,58.80,60.45,58.37
58.59,59.03,59.18,58.55
58.53,59.08,59.22,58.33
59.12,60.62,60.65,59.12
60.65,61.13,61.45,59.99
61.18,61.02,61.70,60.97
61.00,60.58,61.00,60.38
60.61,60.90,61.25,60.10
60.59,59.96,60.82,59.82
60.22,61.24,61.31,60.02
61.10,60.32,61.41,60.08
60.44,60.78,60.88,60.31
60.78,60.86,61.28,60.43
61.09,60.85,61.20,60.44
60.97,62.30,62.48,60.83
62.18,62.75,63.02,62.06
62.75,62.69,63.33,62.45
62.70,61.63,63.08,60.90
61.90,61.49,62.44,61.36
61.55,61.78,62.20,61.14
61.77,61.34,62.21,61.15
61.60,62.61,62.82,61.34
63.49,66.37,66.80,63.22
66.66,66.62,67.40,66.38
66.45,66.65,66.94,65.90
66.72,67.13,67.30,66.42
67.13,67.01,67.40,66.61
66.85,67.11,67.34,66.84
67.10,67.15,67.40,66.98
66.22,66.13,66.61,66.00
66.07,66.03,66.40,65.75
65.80,65.67,66.40,65.67
65.71,66.05,66.41,65.71
66.25,67.60,67.60,66.25
67.75,68.94,69.28,67.75
69.32,69.12,69.50,68.28
68.64,69.57,69.61,67.41
69.26,69.53,70.24,69.26
70.00,69.46,70.15,68.88
68.97,67.69,69.67,67.66
67.47,66.06,67.81,65.02
66.20,66.14,66.98,65.58
65.73,65.86,66.49,65.60
65.52,64.74,66.23,64.62
64.50,64.82,65.00,64.07
64.79,66.72,66.78,64.16
67.48,67.94,68.21,67.20
68.13,67.86,68.48,67.72
67.51,67.11,67.81,66.61
67.42,67.35,67.68,66.65
67.14,66.75,67.18,66.50
66.71,67.30,67.60,66.51
67.57,68.01,68.43,67.55
68.10,68.80,68.96,67.72
68.71,68.75,69.05,68.55
