AGU,Agrium Inc. Common Stock,NASDAQ
96.81,96.58,97.34,95.72
96.87,94.01,97.88,92.93
93.94,92.84,94.36,91.06
91.90,91.03,93.30,90.43
89.50,88.24,89.75,86.82
86.84,89.32,90.26,86.10
88.90,88.72,90.33,88.26
84.59,87.88,88.49,83.85
88.72,87.41,89.99,86.38
89.57,88.89,89.83,87.88
90.10,90.08,90.63,89.70
89.00,88.33,89.49,87.75
88.50,87.52,88.67,86.75
87.02,88.25,88.66,86.83
89.00,89.33,89.45,87.62
89.22,89.46,91.49,89.16
89.60,88.37,90.06,88.26
88.09,87.89,88.62,87.10
88.60,89.64,89.86,88.17
91.43,92.26,92.90,90.40
93.36,92.71,94.81,92.42
93.70,95.40,96.02,93.02
95.72,94.94,96.20,94.72
95.52,93.21,95.67,92.70
93.57,92.35,94.18,92.21
93.39,92.10,93.40,91.31
91.89,90.67,92.78,90.22
89.68,89.12,90.09,88.10
89.65,88.90,90.22,88.58
88.41,88.20,89.50,87.70
87.54,88.53,89.17,87.16
87.57,88.20,88.75,86.40
88.45,90.85,91.00,88.25
91.99,90.61,92.02,89.75
91.23,91.31,92.13,90.75
91.64,91.06,92.14,90.58
91.43,92.33,92.69,90.96
92.51,90.90,92.73,89.62
91.06,89.55,91.78,89.18
89.45,90.43,90.93,89.25
90.82,90.34,91.57,89.55
90.24,87.77,90.72,86.92
87.80,84.02,88.13,82.15
82.56,84.07,85.95,82.04
84.74,84.19,86.75,83.15
84.34,84.90,85.25,83.76
85.29,84.00,85.46,83.76
83.90,81.29,83.99,80.83
80.73,79.22,80.86,77.98
79.46,80.43,80.59,78.80
80.44,80.68,82.41,80.12
80.46,80.25,80.55,79.08
80.49,81.93,82.34,80.45
82.34,80.98,82.62,80.63
80.82,79.94,80.94,78.82
78.33,81.10,81.89,78.33
81.37,81.31,81.72,80.35
80.78,83.79,84.67,80.47
83.76,84.57,84.62,83.36
84.86,86.45,86.58,84.75
88.85,88.06,89.20,87.01
87.18,85.52,88.17,85.48
85.20,87.01,87.35,85.15
85.09,86.57,86.86,84.44
86.16,84.42,87.50,83.95
85.15,83.06,85.31,83.02
82.69,81.95,82.75,80.80
82.77,84.71,85.41,82.67
