VMI,Valmont Industries,NASDAQ
83.84,84.80,84.84,83.40
83.68,81.80,83.68,81.46
80.79,80.12,81.13,78.84
79.46,77.18,80.53,74.48
76.35,75.08,77.99,74.67
80.00,79.18,80.00,78.13
78.65,79.80,80.91,78.44
80.31,80.60,81.09,79.58
80.64,80.43,81.69,79.95
79.70,78.18,79.72,77.50
79.36,79.52,80.24,76.79
80.11,79.63,81.89,79.42
79.63,80.38,82.02,79.22
79.34,76.53,79.34,76.18
75.16,77.46,77.73,74.39
77.63,77.26,79.38,77.22
74.56,77.79,78.03,74.08
79.08,79.50,80.54,78.89
81.55,81.35,81.55,80.13
80.79,79.22,81.19,78.70
78.37,76.17,79.60,76.15
76.47,79.08,79.08,76.08
79.99,79.65,80.35,78.56
78.58,75.88,79.00,75.64
76.33,75.30,76.50,74.72
75.16,76.14,76.19,74.44
76.46,75.67,77.94,75.32
77.25,78.92,78.92,77.25
77.86,78.65,78.77,76.95
79.13,78.70,80.85,78.42
79.14,81.94,82.09,78.90
81.15,80.92,82.10,80.64
81.40,80.78,81.40,79.86
80.76,80.00,80.93,79.69
81.17,80.33,82.11,79.68
80.15,78.00,80.65,77.87
77.60,77.78,78.51,76.60
77.07,76.17,77.54,75.91
76.29,77.32,77.51,75.30
77.42,76.63,77.81,76.51
75.52,73.04,75.62,72.54
72.72,72.66,75.14,72.52
72.82,73.57,74.45,71.33
74.09,74.15,74.83,73.76
75.46,74.49,76.77,73.72
74.99,77.21,77.28,74.74
78.06,78.41,78.65,76.97
78.51,79.59,79.62,78.19
79.10,78.20,79.35,77.55
79.35,79.90,80.12,78.61
79.82,79.48,79.91,78.28
79.30,79.21,79.62,77.52
73.88,72.52,75.00,72.00
72.15,72.11,73.32,70.84
70.97,72.37,72.71,70.64
72.78,72.59,73.52,71.84
73.34,73.90,74.86,73.34
73.84,75.20,75.45,73.40
75.46,75.22,75.70,74.22
75.81,72.67,75.81,72.55
72.09,71.63,72.75,71.52
72.03,70.97,72.44,70.64
70.22,71.05,72.07,70.14
72.55,71.69,72.57,71.51
71.20,70.69,71.56,70.00
71.00,70.53,71.00,69.94
69.81,70.89,71.72,69.39
70.01,71.29,71.42,70.01
71.50,70.35,71.50,69.91
69.50,68.04,69.50,68.00
66.82,67.09,67.83,66.23
66.10,67.93,68.51,65.94
67.86,67.12,67.86,66.81
66.71,67.64,67.97,66.43
68.65,69.38,70.90,68.42
69.23,69.80,70.67,68.79
69.55,69.37,69.55,68.45
68.92,69.39,69.52,68.31
69.84,68.59,70.01,68.55
67.36,67.89,68.97,67.22
67.29,67.95,68.22,66.89
68.20,67.50,68.43,67.00
68.03,68.87,69.01,67.09
68.42,67.40,68.60,67.28
67.10,67.03,68.04,66.73
68.35,69.12,69.34,67.81
69.21,69.92,70.18,69.02
70.76,71.02,71.92,70.57
70.57,69.35,70.69,69.22
69.56,69.66,70.51,69.53
70.56,69.47,70.56,69.20
69.56,69.92,70.49,69.56
70.74,70.51,71.30,70.43
70.27,70.12,70.86,69.73
69.92,70.49,70.98,69.52
70.35,70.49,70.86,70.07
70.75,71.34,71.98,69.93
71.58,71.82,71.94,71.13
71.55,71.89,72.37,71.28
71.03,70.68,72.09,70.59
70.25,69.25,71.04,69.11
70.16,71.05,71.15,70.00
70.99,71.27,71.62,70.46
71.67,72.07,72.56,71.37
71.90,71.61,71.90,70.92
72.04,72.40,72.96,71.90
73.06,71.87,73.25,71.21
71.58,71.02,72.11,70.64
71.95,72.24,72.55,71.26
72.12,72.75,72.76,71.47
73.17,71.92,73.17,71.33
72.26,75.69,75.78,72.24
75.62,75.65,75.75,75.17
75.14,75.72,76.53,74.34
76.27,77.93,78.56,76.15
77.99,77.33,77.99,76.22
76.40,76.15,77.57,73.13
75.91,76.95,77.23,75.35
76.10,76.07,76.99,75.26
76.30,80.29,80.58,76.30
80.68,81.36,81.72,80.11
81.40,80.93,81.56,80.34
81.35,80.20,82.00,80.10
79.46,79.59,80.38,78.92
78.80,78.62,79.19,77.91
78.91,79.72,80.01,78.46
79.63,78.85,79.88,78.83
79.51,78.70,80.05,77.87
79.05,79.41,79.60,78.48
79.93,79.15,79.93,77.78
80.54,81.03,81.23,80.17
80.98,82.08,82.52,80.98
81.78,81.45,81.78,80.69
81.78,81.20,82.62,80.85
81.43,81.47,81.97,80.78
80.48,80.93,81.38,80.33
80.16,79.67,80.72,79.11
79.93,79.74,80.94,79.74
79.05,77.81,79.05,76.93
77.75,78.81,79.20,77.36
79.79,79.93,80.71,79.68
79.58,80.64,80.90,79.47
80.19,80.48,80.68,79.15
79.44,79.51,79.61,78.57
80.17,81.32,81.43,80.06
80.54,81.31,81.33,80.54
80.42,81.27,81.37,79.66
80.55,80.86,81.77,80.27
82.32,81.94,82.65,81.88
82.41,85.39,85.39,82.41
85.07,86.12,86.36,84.92
85.98,86.19,86.39,85.13
87.00,86.49,87.52,85.94
86.34,85.65,86.95,85.49
84.31,84.26,85.38,82.92
84.25,85.60,85.77,84.07
85.92,85.32,86.59,85.24
85.57,86.00,86.62,85.37
85.80,85.44,86.85,85.44
85.53,85.87,86.30,85.16
85.87,85.52,86.62,85.29
85.96,87.20,87.86,85.46
87.67,87.25,88.18,86.95
86.70,87.74,88.05,86.49
87.77,86.73,87.77,86.55
86.31,87.56,87.88,86.08
88.15,88.08,89.78,88.03
88.30,88.94,89.33,88.30
89.23,88.73,90.31,88.68
88.71,88.73,89.84,88.71
89.44,89.03,89.88,88.88
89.43,87.87,89.44,86.81
87.40,88.19,88.59,87.05
88.59,89.94,90.61,88.51
90.28,89.18,90.61,88.31
88.96,90.85,90.99,88.29
91.00,92.27,93.18,90.49
93.00,92.65,93.79,92.30
92.50,92.64,93.48,92.29
92.55,92.77,92.86,91.62
92.48,94.12,94.12,92.04
94.03,92.92,94.62,92.71
92.80,91.23,93.40,90.75
91.91,91.53,93.35,91.23
91.67,93.18,93.95,91.45
92.96,92.62,93.09,91.53
92.95,93.71,95.41,92.29
93.50,93.47,93.90,92.71
93.39,91.90,94.04,90.91
92.18,92.94,93.52,92.18
93.43,94.52,95.28,93.43
94.27,93.80,94.27,92.87
93.87,93.91,94.38,93.04
94.10,96.21,96.45,93.85
96.25,97.19,97.78,96.25
97.29,96.46,97.46,96.27
96.09,94.90,96.30,94.40
94.42,94.36,94.50,93.78
93.85,94.16,94.71,93.69
94.50,96.69,97.49,94.50
96.26,95.84,97.79,95.51
96.33,96.29,97.08,95.56
95.66,97.56,98.54,95.66
109.81,110.26,116.02,105.25
109.78,105.77,110.47,105.34
105.42,103.40,105.67,101.11
103.37,102.69,104.42,101.77
102.96,102.75,103.58,101.84
103.12,102.08,104.33,101.05
102.84,99.12,102.89,98.72
99.42,98.89,99.54,97.51
100.27,100.32,101.41,99.29
100.48,99.60,100.48,98.60
99.74,98.26,100.14,97.55
97.94,98.88,99.75,96.35
98.83,98.24,99.31,97.70
97.30,96.08,98.01,95.75
95.62,96.82,97.22,95.22
96.25,96.41,97.17,95.57
93.60,95.60,96.73,92.79
95.37,94.35,96.48,93.98
95.55,95.43,96.28,94.80
96.63,95.64,97.24,94.92
96.77,98.12,98.74,96.56
98.08,96.79,98.20,96.25
96.57,97.01,97.52,95.70
97.81,97.62,98.20,96.20
97.93,99.25,101.21,97.62
99.43,98.99,101.42,98.87
98.50,99.54,99.90,96.46
100.41,102.58,103.92,100.41
102.55,104.37,104.39,102.29
105.62,106.89,106.98,104.01
107.26,107.63,109.24,106.88
107.33,109.20,110.38,107.33
109.95,106.85,109.95,106.12
106.61,104.79,106.98,104.12
106.09,104.33,106.23,103.51
104.75,103.63,104.75,102.58
102.60,102.58,102.90,101.10
103.30,102.67,104.00,101.86
102.23,104.89,105.70,101.88
108.39,102.83,110.33,102.18
100.85,98.99,100.85,96.63
99.36,101.86,102.10,99.36
103.36,101.67,103.36,101.63
102.55,104.42,104.68,102.28
104.22,103.84,104.80,102.40
104.74,105.27,106.55,104.45
105.26,104.58,105.26,103.19
104.23,105.07,105.97,104.23
105.54,105.30,106.00,104.81
105.33,105.23,106.55,104.31
104.77,102.97,104.99,102.41
102.92,101.91,103.24,100.93
100.83,100.82,102.30,100.34
102.10,100.96,102.59,100.50
101.00,102.61,103.15,100.16
103.08,102.49,103.51,102.20
102.23,100.62,102.78,100.50
100.24,99.84,101.45,98.70
99.83,98.80,100.71,98.64
98.44,98.07,99.83,97.89
97.17,97.06,98.01,96.39
97.47,97.88,98.05,96.91
98.32,99.03,99.57,98.10
98.61,96.24,98.61,95.54
94.99,95.81,96.29,93.57
95.80,96.05,96.71,95.49
95.74,97.44,97.54,95.74
97.07,98.36,98.62,96.77
98.56,99.66,100.13,98.56
101.15,100.22,101.40,98.92
100.20,97.57,100.20,97.50
97.84,98.30,99.03,97.71
97.26,96.72,97.86,96.50
96.35,95.35,96.54,95.07
96.03,95.60,96.35,94.88
95.10,94.37,95.31,94.01
94.73,95.31,95.88,94.10
94.61,93.66,94.76,93.51
94.10,93.04,94.10,92.93
93.94,93.98,94.65,93.28
92.88,92.37,93.49,91.53
92.29,89.75,92.46,89.39
90.49,89.20,90.49,89.06
89.07,89.06,89.85,88.36
89.25,89.55,90.20,88.97
88.39,90.69,91.47,88.39
89.80,90.73,90.92,88.83
91.09,89.87,91.44,89.71
89.74,91.00,91.68,89.60
91.12,93.75,94.06,90.56
94.93,95.21,96.63,94.65
95.30,96.39,97.30,95.30
96.52,98.25,98.38,96.20
98.50,101.28,101.84,98.11
101.04,101.61,102.26,100.31
102.82,104.26,104.82,102.82
103.20,104.43,104.78,102.92
103.98,101.74,104.91,100.97
101.49,102.39,102.78,100.75
102.75,102.86,103.78,102.59
103.01,101.20,103.54,100.54
109.05,109.71,110.86,104.68
109.58,106.41,111.76,105.98
107.09,107.23,107.91,106.50
107.00,105.75,107.00,104.55
106.00,106.00,106.27,104.86
105.66,105.77,106.32,104.61
104.83,105.44,106.26,103.90
105.34,102.90,105.36,102.63
102.48,99.79,102.74,99.60
99.60,97.81,100.25,97.73
96.80,97.35,98.06,95.85
99.08,96.84,99.45,95.92
96.39,93.54,97.67,93.49
93.49,94.88,94.96,91.45
93.60,89.57,93.60,89.40
90.84,90.82,92.06,87.25
87.26,82.74,88.49,82.42
84.39,86.71,86.86,81.11
85.19,82.12,86.64,82.06
83.08,87.75,89.17,82.87
88.74,89.51,90.21,87.49
90.55,90.55,91.01,89.23
89.27,89.68,90.43,88.57
90.26,88.09,90.71,87.50
85.12,81.99,86.00,81.06
80.78,79.36,83.03,79.29
81.39,79.56,81.39,78.75
79.98,84.20,84.20,79.20
83.75,86.76,86.90,83.50
88.00,83.80,88.82,83.55
83.07,87.72,88.13,81.98
89.02,91.03,91.18,88.69
90.60,92.29,92.87,90.37
92.93,92.53,95.97,92.04
92.46,89.68,93.81,89.22
87.30,87.46,88.66,86.97
84.70,86.20,86.49,83.75
87.72,90.34,90.59,86.54
88.97,88.51,90.74,88.10
87.18,85.11,88.00,84.55
83.70,85.05,85.95,83.20
85.46,87.65,88.06,85.11
88.78,91.44,92.71,87.00
92.67,92.34,92.67,90.18
92.31,91.55,92.75,90.21
89.60,90.71,91.44,88.23
91.00,89.33,92.40,89.33
88.82,85.69,90.20,85.69
82.83,80.95,83.80,79.56
80.78,82.80,82.81,80.25
83.70,82.65,84.04,80.05
84.85,85.40,87.87,84.50
85.11,81.00,85.19,80.60
82.80,79.62,83.37,78.07
79.10,77.94,80.09,76.30
77.45,74.27,78.83,73.50
73.33,80.03,80.20,73.00
80.14,82.93,83.43,78.98
83.11,86.92,87.16,82.49
87.34,86.85,88.07,85.44
88.74,88.70,89.93,87.36
87.54,90.36,90.69,87.54
90.67,89.83,90.87,89.23
87.23,90.27,90.74,87.23
88.50,88.35,89.44,82.27
84.58,85.73,87.75,84.58
85.36,86.82,87.33,84.10
86.19,83.31,86.19,83.00
83.32,83.10,83.75,80.80
84.69,84.34,84.93,83.16
84.65,87.44,87.78,84.27
86.61,84.95,87.23,84.84
87.32,85.10,87.32,83.43
87.25,89.03,89.87,87.01
87.84,87.97,89.07,87.45
86.70,85.75,87.19,85.41
82.39,82.63,84.47,82.10
84.23,83.09,84.58,81.99
84.61,85.90,86.45,83.01
85.19,84.87,86.18,83.82
84.58,84.72,85.20,82.65
85.22,84.21,85.79,83.17
82.75,82.10,83.36,81.34
83.98,82.74,84.00,82.26
83.85,84.82,85.70,83.54
84.04,83.25,84.45,82.69
82.76,83.54,84.48,82.43
82.83,82.93,84.36,82.58
83.10,81.61,84.14,81.23
82.02,82.40,83.15,81.28
80.79,80.42,81.59,79.35
80.39,80.40,81.57,79.47
79.47,77.38,79.85,77.29
76.88,76.81,78.19,76.57
80.17,79.75,81.22,78.78
79.46,79.66,80.53,79.12
80.50,85.18,85.18,80.50
84.72,85.46,86.65,84.35
86.63,85.27,87.20,85.07
86.85,86.29,87.86,85.54
86.28,86.30,87.30,85.59
85.90,85.70,86.18,84.35
84.85,83.29,85.26,82.24
83.32,86.27,86.79,83.32
84.73,83.94,85.38,82.47
85.35,82.57,85.38,81.53
81.78,80.88,82.35,80.30
81.86,82.49,82.74,81.00
82.93,85.43,85.61,82.52
85.67,84.89,86.39,84.37
86.82,88.29,88.75,86.35
89.28,90.52,90.59,86.47
90.70,92.72,93.45,90.70
93.44,92.97,93.44,92.40
92.65,92.59,93.13,91.96
92.24,89.63,92.24,88.99
89.78,91.30,91.92,89.78
91.29,90.79,91.97,90.77
93.11,92.07,94.18,91.58
91.27,93.15,93.50,90.21
92.75,94.62,95.25,92.10
94.56,94.29,94.96,93.47
94.55,94.57,95.13,93.33
95.45,97.45,97.75,95.14
96.97,97.16,97.59,96.95
97.13,97.38,98.33,96.39
96.26,97.04,97.41,95.77
97.90,97.57,98.39,96.84
97.36,98.57,98.66,97.00
98.58,100.88,101.45,98.46
100.40,101.08,101.92,100.29
101.08,101.95,102.22,100.70
100.93,102.50,102.68,99.92
102.39,104.95,105.21,101.57
105.59,104.03,105.87,103.42
103.61,103.77,103.99,102.79
102.74,105.48,106.71,102.37
106.01,104.91,107.36,104.71
105.68,105.50,106.89,104.43
105.58,104.64,106.43,104.54
106.28,107.65,108.51,105.99
106.88,107.16,107.60,106.25
107.15,107.13,107.44,106.05
107.35,107.17,108.40,106.56
107.55,107.41,107.69,105.83
105.79,105.91,106.74,105.26
107.25,110.13,110.25,106.29
109.42,110.09,110.09,108.18
112.45,111.07,114.55,109.42
110.75,110.07,111.70,109.40
110.43,110.33,110.69,108.21
110.25,113.34,114.50,109.56
113.25,112.66,113.88,112.20
112.66,112.46,113.42,111.12
112.38,110.36,112.52,110.23
109.49,110.90,111.44,108.52
110.77,111.13,111.42,110.09
111.55,111.07,112.18,110.20
111.61,113.00,113.17,111.61
112.74,111.28,112.74,107.84
110.41,109.18,110.41,108.91
108.02,105.07,108.02,105.00
105.50,108.48,109.44,105.31
109.66,113.11,113.28,109.47
113.44,113.72,114.41,112.91
114.20,113.64,114.20,112.88
114.75,117.04,117.11,114.22
116.61,116.02,116.63,115.24
116.02,116.89,117.23,115.16
117.06,116.12,117.44,116.00
115.89,116.60,117.63,115.51
115.10,114.43,115.62,114.33
114.70,114.70,115.38,113.68
113.53,112.32,113.83,111.28
112.44,114.61,115.13,111.80
116.61,117.80,118.00,116.20
117.61,117.40,118.70,117.00
117.40,116.77,117.97,114.69
115.94,117.25,117.50,115.74
118.51,117.41,118.99,116.82
117.23,118.12,118.98,116.70
117.98,118.25,118.34,117.10
116.87,117.52,117.64,115.40
117.28,117.17,117.97,116.68
114.22,115.46,116.48,111.50
115.18,114.98,115.83,113.88
116.75,117.15,117.38,115.44
117.10,120.29,120.74,116.51
119.59,118.06,119.78,117.79
118.56,118.14,119.95,117.09
119.77,121.05,122.00,118.71
120.57,120.30,121.55,119.75
120.50,118.34,121.34,117.96
126.12,125.40,128.40,121.40
126.31,122.58,126.31,120.99
122.48,122.81,124.13,122.20
120.79,123.91,124.87,119.57
123.41,124.81,125.34,122.18
125.70,125.18,125.70,124.32
125.45,123.93,125.47,123.00
124.05,127.35,127.87,123.74
125.92,123.72,126.84,123.07
123.57,120.66,124.36,119.91
119.16,118.25,119.89,117.32
118.10,118.54,119.38,117.46
117.51,120.04,120.33,116.29
118.02,118.92,119.97,117.39
119.64,118.83,119.64,117.36
117.65,117.62,119.29,117.09
115.82,115.79,117.38,114.62
116.05,117.52,118.31,114.78
118.43,115.71,118.52,115.50
115.97,112.04,116.18,111.93
112.95,111.50,114.16,111.14
111.94,115.14,115.31,111.31
115.31,113.96,115.66,113.41
112.63,116.02,116.09,112.55
116.41,116.73,116.76,114.96
116.73,116.36,117.40,116.03
117.74,116.99,119.30,116.69
114.87,114.68,115.27,113.62
114.64,114.50,115.64,112.25
111.24,109.71,112.06,109.63
109.83,108.21,109.94,106.52
107.32,109.42,109.73,106.93
110.48,112.45,112.86,110.48
114.21,112.43,114.94,112.32
112.25,114.79,115.54,111.16
116.22,111.37,116.35,111.16
111.28,111.43,112.33,110.01
111.12,110.26,112.04,109.85
110.47,110.06,111.83,109.21
110.49,112.92,113.64,110.41
112.28,114.38,114.51,111.25
114.57,116.84,117.92,113.87
117.22,117.22,117.81,115.65
117.48,113.61,117.98,113.45
114.54,116.12,116.87,114.04
113.78,114.28,114.69,113.02
114.54,111.80,114.93,111.67
112.35,113.72,114.74,111.86
113.26,116.56,116.69,112.58
118.97,120.97,121.47,118.01
120.89,123.55,123.55,119.40
123.17,125.57,125.57,123.17
125.34,129.85,130.78,124.81
128.55,127.61,129.25,126.50
127.37,126.83,128.47,126.15
128.36,126.82,129.53,125.71
126.82,126.51,126.84,125.57
125.64,128.81,129.16,123.21
129.52,129.31,129.52,127.94
129.24,129.07,129.68,127.78
129.66,132.00,132.00,128.28
131.54,134.96,135.68,131.38
135.23,133.83,135.66,132.87
132.78,133.97,134.05,131.97
131.70,131.61,133.81,130.59
131.69,129.60,131.83,127.16
129.78,124.04,130.50,122.02
126.09,125.17,126.09,122.81
125.97,126.79,127.98,124.76
126.46,124.13,126.80,123.06
123.53,123.88,125.26,123.39
124.11,120.48,124.88,120.34
119.67,121.95,122.05,119.23
124.69,124.29,125.00,124.00
124.31,126.04,126.94,124.03
126.53,126.71,127.83,126.50
128.35,127.09,128.35,126.47
126.02,126.00,127.50,125.82
125.54,126.89,127.23,124.91
126.71,127.27,127.55,126.21
127.77,126.64,127.95,126.35
126.64,127.68,127.77,125.00
127.86,129.91,130.24,127.53
129.97,130.46,130.67,129.32
130.26,129.46,130.90,129.00
129.61,130.32,131.28,129.17
129.68,129.99,130.49,129.17
130.00,128.51,130.00,128.12
128.54,127.80,129.10,127.58
128.32,127.20,128.71,126.60
127.01,127.94,128.43,126.57
128.31,127.85,128.51,127.44
126.76,126.25,127.15,125.19
126.70,126.75,127.44,125.19
126.50,129.31,129.64,125.87
129.37,129.16,132.09,128.61
130.15,132.60,133.48,130.15
132.91,133.39,133.85,132.36
133.36,133.69,134.56,133.01
134.02,133.00,134.02,132.56
132.83,132.31,133.47,131.70
132.75,132.54,133.45,130.95
133.29,135.92,136.11,132.89
134.89,132.95,135.00,132.71
132.57,131.02,132.57,130.46
129.91,132.35,132.88,129.91
131.95,132.01,132.38,130.11
133.30,132.15,134.50,132.14
130.94,132.59,132.82,130.73
133.00,129.96,133.06,129.85
130.48,129.24,130.98,128.09
129.95,129.60,130.58,128.64
129.22,131.50,131.95,128.43
131.92,130.76,133.95,130.35
129.96,128.33,130.59,126.38
128.83,128.43,129.26,126.73
128.30,129.04,129.49,127.69
129.69,129.82,131.99,129.39
128.91,129.93,130.43,128.91
129.87,126.98,131.50,126.74
127.48,126.41,127.53,126.24
127.36,125.97,127.49,125.91
126.29,126.10,127.70,125.00
126.34,128.92,129.14,125.78
129.72,133.71,134.10,129.27
132.98,132.56,133.83,131.06
132.68,133.50,134.35,131.17
133.71,135.59,136.50,131.47
135.11,134.16,136.98,132.61
131.34,132.04,132.69,130.00
131.35,132.71,133.09,131.35
133.26,132.67,133.76,131.30
131.84,132.30,132.96,131.12
132.04,135.10,135.47,132.04
134.76,138.17,138.19,133.79
139.21,136.15,139.21,135.79
136.80,136.06,137.21,133.24
136.92,136.36,139.00,135.44
135.62,132.92,135.62,131.32
133.40,131.69,134.49,131.49
131.66,132.07,133.50,130.27
132.41,130.66,133.61,129.53
130.14,133.33,134.34,130.00
134.20,129.95,134.20,129.44
130.40,131.45,131.69,129.00
131.79,132.25,132.39,130.52
133.87,136.69,136.69,133.37
137.00,136.00,137.99,135.90
136.40,136.86,137.33,135.71
136.85,138.15,138.82,136.10
137.96,141.13,141.18,137.46
141.13,138.23,141.14,138.07
138.03,139.13,139.57,135.93
140.04,139.67,140.04,137.89
139.74,139.66,140.00,138.33
140.61,138.68,140.76,138.21
138.62,139.88,140.05,137.82
140.33,139.81,140.61,138.68
139.92,138.47,139.92,137.53
138.70,135.84,138.70,134.74
136.30,137.77,138.34,136.05
138.52,137.00,138.52,136.57
138.16,136.96,138.16,136.50
137.22,134.94,137.83,134.06
134.51,135.57,136.21,134.51
135.88,136.42,137.50,135.63
136.33,136.40,136.81,135.34
136.83,135.76,136.83,135.56
135.58,137.00,137.73,135.40
135.27,135.38,136.64,134.42
135.32,135.12,135.81,133.67
135.10,134.08,135.73,133.93
134.58,134.50,134.82,133.34
134.04,134.00,135.28,133.83
133.75,136.55,137.00,133.40
139.42,139.18,140.45,138.48
139.91,139.96,141.79,139.11
140.67,140.16,141.22,139.77
139.49,138.44,139.90,138.20
139.13,140.16,142.50,138.07
140.94,142.40,142.59,140.51
143.68,142.49,143.75,141.64
142.46,142.25,142.89,142.00
142.18,142.63,143.46,142.05
142.49,143.07,143.33,142.06
142.46,142.11,142.46,140.92
142.39,143.87,144.70,142.39
143.87,143.81,144.00,143.16
143.15,144.01,144.18,143.15
144.00,145.54,146.11,143.74
146.25,146.15,147.48,145.97
146.92,146.34,147.38,145.67
146.71,146.09,148.26,143.99
146.40,146.66,147.21,145.15
146.87,143.57,146.87,143.28
143.67,145.72,146.76,143.28
146.73,146.36,147.44,145.79
145.49,145.57,146.49,145.07
147.00,147.68,148.47,146.51
147.53,147.28,148.33,147.00
147.69,146.31,147.99,145.57
146.78,147.25,147.99,146.49
147.65,149.10,149.10,147.16
148.05,149.25,150.41,148.05
152.56,157.63,158.08,152.56
157.61,158.91,159.60,157.05
158.75,158.98,159.61,157.98
158.97,157.05,159.23,156.69
156.93,154.42,157.98,154.18
153.23,152.83,154.37,151.81
153.91,155.53,155.53,153.82
156.39,151.45,156.63,151.45
152.38,154.10,155.04,152.25
154.42,156.21,157.48,154.42
156.53,157.55,158.34,156.53
156.34,158.34,158.64,153.60
158.18,159.98,160.00,157.91
160.22,160.37,162.26,159.51
160.86,160.11,161.32,159.47
160.35,160.20,160.45,159.19
161.29,160.52,161.51,159.50
160.60,160.46,160.75,159.74
160.54,159.00,160.54,157.71
159.18,160.22,160.49,157.98
160.79,163.40,163.67,160.66
163.05,162.95,163.96,161.58
160.96,161.17,162.81,160.62
161.77,160.96,162.82,159.54
161.66,162.54,163.01,161.05
161.82,161.66,162.66,160.56
162.14,164.50,164.81,161.29
164.57,162.49,164.93,160.87
163.16,159.91,163.64,159.38
159.40,157.67,159.40,156.40
157.88,157.27,157.98,155.86
157.17,153.69,157.31,153.16
153.89,148.47,154.22,148.06
149.47,144.85,149.47,144.24
144.85,144.51,145.69,144.11
142.55,144.11,144.63,142.17
144.11,144.53,145.05,143.48
144.52,145.24,145.87,144.52
146.49,146.03,146.66,145.37
146.03,146.05,146.76,145.33
146.15,145.13,146.23,143.74
144.21,139.62,144.81,139.56
141.05,143.45,143.58,139.91
142.94,140.87,142.94,137.93
141.24,141.81,142.22,139.11
145.47,144.46,149.37,143.87
145.23,143.39,147.14,142.63
143.60,143.13,144.74,142.10
143.29,146.34,146.65,143.28
146.66,145.36,148.27,145.09
145.10,143.33,145.37,141.77
143.77,144.59,146.04,142.94
144.21,145.73,145.73,142.95
145.33,144.15,145.62,143.52
144.39,145.70,146.53,143.52
147.98,148.95,150.49,147.59
148.99,150.56,150.92,148.68
150.03,151.89,153.08,149.99
151.59,152.93,154.17,151.59
152.80,151.40,153.65,150.93
151.71,154.11,154.27,151.71
153.93,154.56,154.71,152.19
154.96,155.35,155.41,152.70
154.56,153.56,155.61,152.92
153.13,154.76,155.74,153.13
155.87,157.41,157.50,155.74
157.22,156.57,157.99,155.87
156.42,152.85,157.45,152.66
153.23,150.76,155.33,148.88
149.10,151.58,152.46,148.23
150.17,152.48,152.99,149.39
154.30,152.58,155.80,152.22
151.22,151.11,151.74,149.72
151.58,152.63,153.41,150.89
152.26,152.33,154.70,151.37
152.75,151.48,152.99,148.69
151.18,146.88,151.74,146.37
145.82,144.39,146.56,143.88
143.88,145.99,145.99,143.58
145.56,146.35,146.61,144.80
146.63,145.13,146.63,143.87
143.31,143.93,144.81,141.04
145.08,138.88,145.08,138.75
138.87,141.26,141.45,138.36
140.31,140.85,141.58,139.54
141.99,140.20,141.99,138.76
140.26,142.07,143.10,139.56
142.40,139.80,142.66,139.78
138.05,139.58,140.14,136.40
