IYY,iShares Dow Jones U.S. ETF,NASDAQ
65.78,65.95,66.03,65.37
66.00,66.10,66.13,65.75
66.33,66.58,66.74,66.33
66.85,66.85,66.88,66.47
66.68,66.60,66.89,66.39
66.42,66.73,66.81,66.30
66.52,67.20,67.25,66.52
67.23,67.39,67.44,67.16
67.26,67.11,67.28,67.00
67.48,67.61,67.67,67.38
67.50,67.88,67.91,67.41
67.92,67.94,68.02,67.73
67.36,66.49,67.54,66.36
66.55,66.06,66.57,65.57
65.86,66.01,66.16,65.41
66.25,66.73,66.78,66.23
66.96,67.14,67.24,66.79
67.41,66.05,67.42,66.04
65.99,66.20,66.49,65.95
66.74,67.37,67.43,66.74
67.30,66.88,67.32,66.49
67.15,66.32,67.21,65.98
66.44,66.89,67.06,66.11
66.81,66.74,66.87,66.49
66.05,65.58,66.05,65.51
65.24,65.99,66.19,65.22
65.54,65.61,65.66,65.00
63.90,64.85,65.19,63.63
64.59,63.72,64.87,63.29
64.68,64.49,64.77,64.17
65.40,64.75,65.40,64.63
65.60,65.75,65.88,65.53
65.72,65.51,65.83,65.48
65.26,65.68,65.86,65.08
66.10,66.32,66.40,65.80
66.32,66.35,66.60,66.14
66.43,66.16,66.57,66.16
66.20,66.61,66.61,65.96
67.02,67.17,67.28,66.93
67.11,67.12,67.24,66.99
67.47,67.38,67.69,67.25
67.64,67.43,67.64,67.28
67.30,67.52,67.77,67.30
67.77,67.64,67.88,67.41
67.55,67.44,67.64,67.18
67.73,67.21,67.85,66.96
67.30,66.97,67.45,66.81
66.55,66.45,66.61,66.21
66.80,66.57,66.80,66.26
66.06,66.53,66.62,65.92
66.60,66.82,66.96,66.48
66.06,66.09,66.13,65.50
66.09,66.38,66.39,66.01
67.27,67.36,67.41,67.24
67.69,67.71,67.85,67.51
67.62,67.61,67.71,67.42
67.82,68.21,68.35,67.80
68.32,68.64,68.73,68.12
68.68,68.89,68.99,68.60
68.84,69.06,69.11,68.82
69.41,68.92,69.43,68.82
68.85,68.59,68.85,68.23
68.52,68.08,68.52,67.82
67.71,67.54,68.19,67.27
68.26,67.82,68.54,67.59
67.90,68.18,68.33,67.77
68.43,68.74,68.85,68.33
68.64,68.06,68.64,67.76
67.81,68.33,68.38,67.49
68.36,67.76,68.40,67.59
67.43,67.33,68.06,67.24
67.00,67.20,67.35,66.79
67.26,67.92,67.97,67.21
68.10,68.07,68.20,67.73
67.99,67.59,67.99,67.44
66.70,66.75,66.93,66.55
66.89,66.66,67.04,66.55
66.49,66.94,67.15,66.38
66.78,67.29,67.40,66.70
67.51,67.59,67.75,67.47
68.18,68.29,68.29,67.83
68.08,66.78,68.13,66.77
66.86,66.68,66.92,66.29
65.84,66.04,66.46,65.80
65.80,65.22,65.94,65.20
65.59,65.20,65.72,65.20
65.15,64.88,65.23,64.78
65.00,65.37,65.60,64.93
65.07,64.44,65.07,64.29
64.56,64.39,64.73,64.10
64.98,65.30,65.47,64.98
64.77,64.17,65.00,64.00
64.14,64.23,64.51,63.74
64.92,64.41,64.96,64.22
64.25,64.76,64.86,64.17
65.17,65.71,65.80,65.07
65.48,65.33,65.90,65.33
64.50,65.19,65.21,64.09
65.00,64.23,65.00,64.18
64.19,64.80,64.91,64.09
64.93,65.63,65.63,64.93
65.97,66.21,66.25,65.67
66.44,66.82,66.87,66.36
66.88,67.79,67.87,66.79
67.80,67.74,67.86,67.57
67.62,67.85,67.92,67.57
68.39,68.61,68.77,68.36
67.85,68.14,68.14,67.57
67.35,66.80,67.35,66.74
66.61,66.54,67.16,66.54
66.81,66.76,67.41,66.65
66.91,66.25,67.22,66.09
66.59,66.61,66.63,66.28
66.33,66.04,66.34,65.66
66.50,67.14,67.23,66.50
67.38,67.14,67.39,67.04
67.38,67.97,68.09,67.34
68.10,68.07,68.16,67.67
67.32,67.68,67.99,67.32
67.62,67.41,67.68,67.33
67.04,65.99,67.04,65.90
66.03,65.78,66.43,65.68
65.04,65.40,65.92,64.74
66.05,65.09,66.22,64.50
64.79,63.43,64.94,63.37
63.39,63.76,63.76,62.37
63.01,60.54,63.01,60.46
61.40,60.34,61.43,58.65
58.64,56.17,59.31,56.17
57.22,58.84,58.90,55.29
57.90,56.45,58.41,56.35
56.95,59.00,59.76,56.80
59.68,59.40,60.02,59.05
60.00,60.70,60.71,59.94
60.22,60.17,60.76,59.69
60.63,60.21,61.00,59.74
58.75,57.49,58.75,56.95
56.77,56.46,58.14,56.46
57.86,56.51,57.99,56.35
56.86,58.48,58.49,56.43
58.46,59.25,59.27,58.26
59.60,58.32,59.92,58.09
58.04,59.22,59.45,57.01
60.05,61.05,61.07,60.05
60.76,61.24,61.57,59.92
61.67,61.50,62.12,61.21
61.60,60.77,62.04,60.74
59.64,59.18,59.84,58.98
57.52,58.79,58.80,57.47
59.70,60.50,60.52,59.53
60.22,59.89,60.82,59.88
59.27,58.29,59.35,58.01
57.52,58.67,58.67,57.39
58.88,59.25,59.42,58.48
59.52,60.13,60.76,59.01
60.76,61.10,61.13,60.25
61.38,61.37,61.68,60.85
60.49,60.78,61.04,60.01
61.00,60.61,61.57,60.58
60.60,58.75,60.79,58.75
57.10,56.87,57.52,56.04
56.21,56.93,57.13,56.13
57.39,58.21,58.23,56.74
59.43,58.89,59.90,58.69
59.07,57.58,59.40,57.58
58.69,57.99,58.75,57.00
57.11,56.56,57.64,56.56
56.17,54.76,56.72,54.76
54.15,56.23,56.23,53.52
56.19,57.21,57.31,55.82
57.11,58.33,58.36,56.88
58.68,57.78,58.68,57.64
58.85,59.75,59.75,58.85
59.43,59.77,60.05,59.32
60.35,60.48,61.06,60.24
60.04,60.27,60.46,59.63
61.00,61.38,61.38,60.71
61.14,60.06,61.14,60.06
60.19,61.36,61.72,59.63
61.25,60.62,61.56,60.49
60.60,60.84,60.95,59.88
61.52,62.02,62.02,61.40
62.18,63.01,63.07,62.18
62.61,61.72,62.62,61.57
62.40,62.33,62.57,61.28
64.09,64.53,64.93,63.54
64.23,64.64,64.64,64.16
63.76,62.95,63.86,62.95
61.35,61.23,61.92,60.80
62.03,62.23,62.45,61.65
62.89,63.39,63.47,62.08
62.88,63.11,63.25,62.37
63.01,63.41,63.41,62.63
63.80,64.18,64.25,63.16
62.67,61.73,62.97,61.71
62.58,62.34,62.59,61.79
63.05,63.62,63.66,63.05
63.26,62.93,63.41,62.70
62.75,63.31,63.58,62.63
62.65,62.28,63.46,62.25
62.14,61.26,62.26,60.88
61.46,61.17,61.52,61.09
60.27,60.01,60.32,59.60
59.91,59.82,60.15,59.45
59.21,58.41,59.22,58.41
58.26,58.28,58.95,58.21
60.10,59.98,60.24,59.60
60.17,60.13,60.54,59.98
61.95,62.81,62.81,61.77
62.62,62.65,63.05,62.46
63.20,62.65,63.42,62.61
63.61,63.30,63.83,63.00
63.33,63.41,63.76,63.13
63.08,63.59,63.72,62.67
63.00,62.00,63.16,61.94
62.41,63.15,63.33,62.41
62.60,62.22,62.60,61.75
62.61,61.53,62.87,61.27
61.26,60.90,61.41,60.75
61.58,61.09,61.58,61.04
61.44,61.34,61.83,61.14
61.48,60.62,61.61,60.48
61.48,62.41,62.54,61.48
62.50,62.55,62.63,61.92
62.50,62.75,62.87,62.37
62.97,63.34,63.34,62.89
63.30,63.40,63.54,63.16
63.48,62.56,63.48,62.50
62.80,63.16,63.21,62.70
63.21,62.95,63.25,62.95
64.22,63.91,64.31,63.80
63.74,63.89,63.93,63.40
63.65,64.12,64.22,63.27
64.26,63.98,64.26,63.78
64.08,64.17,64.25,63.90
64.78,64.74,64.97,64.67
64.64,64.84,64.89,64.50
64.94,65.02,65.08,64.49
64.53,64.71,64.71,64.13
65.29,64.91,65.39,64.80
64.86,65.59,65.65,64.84
65.78,66.00,66.03,65.68
65.92,65.99,66.00,65.71
65.98,66.03,66.38,65.80
65.67,65.98,66.04,65.52
65.96,66.65,66.77,65.72
66.92,66.21,67.09,66.07
66.02,66.30,66.44,66.00
65.72,66.06,66.09,65.49
66.43,66.07,66.46,65.74
66.51,66.71,67.00,66.50
66.87,66.84,67.00,66.62
67.58,67.81,67.82,67.48
67.50,67.79,67.79,67.48
67.60,67.92,68.06,67.45
67.99,68.11,68.17,67.73
68.26,68.19,68.32,67.81
67.64,67.68,67.76,67.46
68.16,68.20,68.28,67.96
67.98,68.11,68.13,67.69
68.39,67.79,68.40,67.67
67.87,68.65,68.67,67.77
68.89,68.71,68.89,68.57
68.92,68.73,69.02,68.51
68.65,68.47,68.76,68.41
68.45,68.85,68.88,68.20
68.94,68.92,69.12,68.87
68.56,69.11,69.22,68.34
69.12,69.25,69.30,68.98
69.29,68.77,69.56,68.77
69.15,69.35,69.50,69.07
69.28,69.11,69.41,68.93
68.98,68.81,68.98,68.55
68.12,67.73,68.12,67.53
67.93,68.27,68.30,67.82
68.68,68.94,69.08,68.50
69.09,69.20,69.45,69.03
69.25,69.16,69.29,69.00
69.60,70.47,70.47,69.51
70.52,70.36,70.59,70.14
70.43,70.78,70.82,70.30
70.93,70.85,70.95,70.78
70.80,71.16,71.40,70.77
70.72,70.88,70.98,70.50
70.91,70.84,71.01,70.68
70.21,70.24,70.42,69.98
70.32,70.53,70.57,70.02
70.71,71.17,71.20,70.71
71.31,70.96,71.32,70.96
70.85,70.61,70.96,70.22
70.19,70.55,70.56,69.92
70.87,70.73,70.90,70.43
70.71,71.30,71.49,70.52
71.21,71.02,71.31,70.62
70.50,70.34,70.53,70.03
70.09,70.24,70.41,69.98
69.27,69.42,69.67,69.19
69.32,68.18,69.40,68.11
68.89,68.73,69.00,68.67
68.81,69.73,69.75,68.81
69.55,68.87,69.55,68.87
69.27,68.83,69.34,68.63
69.21,69.87,69.96,69.21
69.56,69.56,69.84,69.50
69.62,69.21,69.91,68.87
69.48,69.27,69.77,69.27
68.55,68.73,68.74,68.23
68.74,68.88,69.11,68.70
69.61,69.89,69.92,69.59
69.77,70.39,70.53,69.76
70.63,70.63,70.74,70.39
70.44,70.29,70.47,70.16
70.30,70.65,71.18,70.25
70.29,70.54,70.56,70.14
70.57,69.91,70.57,69.78
69.56,68.92,69.56,68.77
68.53,68.83,69.03,68.51
68.38,68.54,68.62,67.77
67.86,68.12,68.52,67.50
68.69,68.21,68.71,68.21
67.92,68.11,68.70,67.89
67.45,67.33,67.71,67.28
67.37,67.02,67.70,66.91
67.25,66.69,67.53,66.68
66.76,65.59,66.76,65.59
65.80,65.05,65.94,64.99
65.16,66.20,66.20,65.10
66.30,66.28,66.83,66.02
65.80,66.35,66.40,65.26
66.57,66.50,66.65,66.00
66.46,66.31,66.60,66.22
66.86,67.09,67.22,66.68
66.54,66.11,66.54,66.00
66.05,65.93,66.36,65.42
64.87,64.29,65.00,64.22
64.32,64.16,64.47,63.60
63.97,64.67,64.74,63.97
65.09,66.12,66.12,65.09
66.91,66.05,66.91,66.00
65.94,66.58,66.61,65.72
67.20,65.72,67.20,65.69
65.91,66.51,66.52,65.72
66.24,65.98,66.65,65.78
66.17,66.65,66.80,66.02
66.90,67.37,67.37,66.81
67.04,67.52,67.65,66.96
67.63,67.95,68.14,67.55
67.96,67.75,68.05,67.37
67.86,66.22,67.90,66.22
66.64,66.80,66.80,66.38
66.15,65.68,66.15,65.49
65.86,66.05,66.18,65.58
66.29,66.63,66.68,66.29
66.11,66.50,66.50,65.74
67.71,68.16,68.16,67.53
68.28,68.38,68.40,67.79
68.43,68.85,68.93,68.42
68.68,68.65,68.87,68.45
68.04,68.01,68.05,67.73
67.87,67.84,67.87,67.59
68.20,67.26,68.24,67.03
67.26,67.31,67.41,66.81
66.77,66.95,67.16,66.39
67.07,67.98,67.99,67.07
67.86,67.80,68.00,67.61
68.10,68.25,68.32,67.64
68.06,68.73,68.89,68.06
68.94,68.94,69.10,68.70
68.56,68.26,68.60,68.25
67.34,67.60,67.71,67.00
67.58,66.96,67.58,66.53
67.14,66.92,67.21,66.65
67.88,67.99,68.12,67.59
68.34,69.25,69.48,68.26
69.22,69.22,69.50,69.12
69.23,68.92,69.36,68.92
69.21,68.69,69.22,68.67
68.19,68.24,68.51,67.75
69.07,69.52,69.64,69.07
69.78,69.70,69.99,69.70
70.00,70.11,70.43,70.00
69.97,70.15,70.30,69.93
70.22,70.24,70.40,70.13
70.00,70.42,70.42,69.95
70.32,70.37,70.41,69.99
70.65,70.23,70.65,70.17
70.26,70.48,70.54,70.26
70.53,70.98,71.12,70.48
71.13,71.15,71.15,70.95
71.01,71.12,71.13,70.90
71.26,70.93,71.56,70.78
70.82,70.98,70.98,70.65
70.76,70.35,70.76,70.25
70.21,70.80,70.93,70.16
71.01,70.76,71.01,70.69
70.61,70.74,70.92,70.55
70.79,70.83,71.03,70.73
70.58,70.31,70.58,70.13
70.76,70.66,70.98,70.46
70.68,70.65,70.82,70.22
70.76,70.62,70.81,70.48
70.98,72.02,72.03,70.98
72.15,72.34,72.37,72.13
72.25,71.98,72.39,71.97
72.05,72.16,72.37,72.00
72.35,72.37,72.49,72.22
72.31,73.44,73.60,72.26
73.62,73.84,74.14,73.62
73.70,73.53,73.79,73.34
73.32,73.36,73.45,73.25
73.47,73.47,73.67,73.32
73.13,73.33,73.37,73.03
73.76,73.37,73.76,73.35
73.02,73.27,73.37,73.00
73.04,72.07,73.13,72.03
72.01,71.63,72.01,71.55
71.94,72.28,72.43,71.82
72.02,72.00,72.27,71.78
72.33,72.15,72.74,72.00
72.48,72.22,72.51,71.94
72.40,72.52,72.62,72.13
72.83,73.01,73.04,72.69
73.42,72.96,73.51,72.92
72.77,72.84,72.86,72.68
72.69,72.13,72.79,72.10
72.02,71.62,72.06,71.59
72.05,71.78,72.21,71.75
71.73,71.44,71.79,71.34
71.62,72.03,72.08,71.40
72.37,72.77,72.78,72.37
72.80,73.09,73.18,72.74
72.91,72.96,73.25,72.74
72.77,71.77,72.77,71.62
71.70,71.80,71.80,71.31
70.95,70.83,71.05,70.52
71.10,70.59,71.14,70.55
71.05,70.83,71.08,70.46
70.73,70.72,70.94,70.30
70.94,70.81,71.05,70.49
70.98,71.62,71.64,70.98
71.98,70.96,71.98,70.96
70.78,71.20,71.20,70.69
71.34,71.66,71.92,71.27
71.02,70.17,71.02,69.71
70.08,69.39,70.35,69.39
69.08,69.47,69.86,68.93
69.51,69.38,69.58,69.16
69.00,69.13,69.71,68.75
69.30,68.03,69.30,68.00
68.03,68.00,68.25,67.64
68.11,68.39,68.40,67.56
69.02,69.67,69.67,69.02
69.58,69.72,69.85,69.31
69.78,69.93,69.95,69.73
70.21,70.83,70.83,70.21
70.56,70.73,70.73,70.34
70.68,70.40,70.86,70.35
70.10,70.88,70.91,69.72
71.36,71.27,71.40,70.96
71.28,71.25,71.39,71.13
71.65,70.95,71.70,70.95
70.91,70.88,71.10,70.73
70.95,71.00,71.29,70.50
70.94,71.24,71.26,70.86
71.20,71.42,71.60,71.20
71.36,71.55,71.67,71.36
71.86,72.01,72.25,71.76
72.27,71.98,72.51,71.97
71.96,71.60,72.13,71.47
71.40,71.32,71.56,71.24
71.54,72.09,72.10,71.54
72.24,72.99,73.02,72.24
72.55,72.10,72.56,72.06
72.09,72.40,72.44,71.99
71.51,71.76,71.89,71.36
71.71,71.60,71.71,71.51
71.63,71.45,71.74,71.16
71.32,71.31,71.38,70.41
70.72,70.39,71.02,70.39
70.31,71.64,71.65,70.20
73.19,73.45,73.45,72.80
73.46,73.34,73.68,73.20
73.51,73.71,73.80,73.36
73.52,73.50,73.53,73.31
73.45,73.28,73.51,73.06
73.51,73.57,73.72,73.47
73.96,74.01,74.05,73.59
74.05,74.06,74.09,73.83
73.98,74.03,74.07,73.83
73.74,74.18,74.18,73.63
74.00,74.11,74.21,73.89
74.39,74.61,74.77,74.30
74.58,74.80,74.81,74.34
74.82,75.15,75.15,74.65
75.15,75.25,75.33,75.08
75.14,75.30,75.72,75.14
75.60,75.68,75.79,75.42
75.85,75.67,75.85,75.48
75.60,75.95,76.01,75.50
75.93,75.68,76.09,75.59
75.68,75.58,75.80,75.45
76.01,76.30,76.34,75.89
75.87,75.43,75.98,75.38
75.88,76.18,76.34,75.84
75.93,76.29,76.30,75.90
76.34,76.15,76.34,75.58
76.33,76.58,76.59,76.33
76.60,76.56,76.61,76.42
76.59,76.68,76.81,76.48
76.86,76.78,76.98,76.60
76.56,76.85,76.92,76.52
76.97,76.73,77.02,76.53
76.84,77.34,77.34,76.84
77.32,76.35,77.32,76.35
76.18,75.80,76.18,75.56
76.19,76.50,76.51,75.98
76.83,75.17,76.98,75.14
75.48,75.56,75.67,74.93
75.57,76.54,76.70,75.49
76.46,76.41,77.03,76.41
76.16,76.64,76.67,75.86
76.52,76.95,76.96,76.34
77.35,77.72,77.89,77.35
78.00,77.84,78.04,77.73
77.92,78.08,78.10,77.90
78.36,78.41,78.48,77.98
78.39,78.61,78.67,78.28
78.64,78.45,78.70,78.26
78.54,78.67,78.73,78.36
78.77,79.10,79.10,78.77
79.01,78.96,79.01,78.76
78.22,78.53,78.83,78.11
78.69,78.34,78.79,77.87
78.73,78.89,79.05,78.70
78.54,78.26,78.71,78.20
78.52,78.74,78.82,78.52
78.77,78.20,78.86,77.95
78.53,78.78,78.80,78.51
78.38,78.80,78.83,78.21
78.83,79.09,79.15,78.61
79.05,78.70,79.13,78.50
78.97,78.99,79.24,78.79
78.98,78.21,79.06,77.94
78.18,78.44,78.56,78.04
77.63,78.12,78.21,77.35
78.20,78.70,78.70,78.00
78.88,78.94,79.19,78.59
79.08,79.88,79.96,79.08
79.89,80.18,80.42,79.86
79.90,79.98,79.98,79.59
79.55,78.14,79.58,78.12
78.59,79.20,79.22,78.46
78.68,78.09,78.68,77.60
78.19,77.60,78.19,77.32
77.80,78.24,78.27,77.56
78.44,78.59,78.69,77.88
78.93,79.42,79.46,78.82
79.40,79.48,79.70,79.29
79.79,79.85,80.24,79.66
79.73,79.72,79.85,79.46
79.86,80.18,80.39,79.81
80.17,80.41,80.45,79.94
80.27,79.69,80.27,79.62
79.89,80.42,80.49,79.79
81.05,81.26,81.51,81.05
81.35,81.51,81.59,81.31
81.69,81.92,81.96,81.66
81.91,82.31,82.31,81.78
82.32,82.14,82.44,82.00
82.11,82.38,82.38,81.99
82.32,82.40,82.52,82.05
82.54,83.31,83.31,82.44
83.11,83.67,83.85,83.11
83.58,83.26,83.80,83.25
83.63,84.13,84.13,83.58
84.01,84.12,84.33,84.00
84.13,84.24,84.44,83.99
84.35,83.48,85.00,83.17
82.60,83.29,83.43,82.50
82.86,83.14,83.17,82.52
84.00,83.77,84.44,83.50
83.30,83.18,83.38,82.71
83.14,83.52,83.82,83.14
83.33,82.41,83.70,82.34
82.55,82.70,82.70,81.83
82.69,82.21,83.01,81.92
82.01,81.08,82.19,80.99
81.12,81.79,81.79,80.62
82.35,82.93,82.93,82.16
83.11,82.89,83.14,82.65
82.12,82.06,82.66,81.86
82.52,81.31,82.62,81.25
81.30,82.64,82.70,81.15
82.60,82.10,82.72,81.99
82.70,82.70,83.07,82.42
82.83,83.36,83.47,82.82
83.30,82.40,83.43,82.27
