OESX,Orion Energy Systems,NASDAQ
2.80,2.98,2.98,2.74
2.94,3.02,3.02,2.93
3.07,3.05,3.12,3.00
3.08,3.01,3.11,3.01
3.01,3.23,3.27,3.01
3.30,3.05,3.30,3.03
3.03,3.15,3.20,3.03
3.15,3.07,3.16,3.06
3.07,3.05,3.12,3.04
3.43,3.14,3.43,3.07
3.14,3.10,3.14,3.06
3.08,3.08,3.11,3.01
3.07,3.01,3.08,3.01
3.01,3.18,3.18,3.00
3.14,3.26,3.30,3.05
3.25,3.22,3.29,3.21
3.24,3.03,3.24,3.03
3.03,3.10,3.11,3.03
3.07,2.99,3.10,2.98
2.94,2.99,3.05,2.94
2.97,2.97,2.98,2.88
2.96,2.93,2.96,2.90
2.90,2.86,2.91,2.86
2.83,2.78,2.85,2.75
2.77,2.71,2.81,2.71
2.72,2.70,2.78,2.68
2.67,2.52,2.71,2.52
2.53,2.46,2.57,2.46
2.45,2.36,2.46,2.21
2.32,2.39,2.48,2.32
2.40,2.34,2.42,2.30
2.38,2.24,2.40,2.15
2.20,2.21,2.25,2.12
2.19,2.20,2.20,2.10
2.23,2.21,2.23,2.10
2.21,2.24,2.26,2.20
2.26,2.31,2.35,2.23
2.32,2.44,2.50,2.30
2.46,2.63,2.65,2.42
2.70,2.62,2.73,2.61
2.63,2.69,2.73,2.62
2.70,2.85,3.00,2.70
2.90,2.95,3.00,2.88
3.02,3.02,3.05,3.00
3.04,2.91,3.05,2.86
2.96,2.81,2.97,2.76
2.82,2.80,2.85,2.80
2.79,2.79,2.83,2.77
2.79,2.84,2.87,2.79
2.84,2.98,2.98,2.81
2.99,2.98,3.00,2.94
2.96,3.05,3.10,2.95
3.01,3.04,3.07,3.01
3.10,3.05,3.10,2.98
3.07,3.05,3.07,3.00
3.04,3.10,3.13,3.04
3.08,3.17,3.17,3.08
3.16,3.16,3.20,3.13
3.14,3.17,3.18,3.14
3.14,3.16,3.17,3.12
3.12,3.13,3.16,3.11
3.17,3.18,3.22,3.12
3.20,3.33,3.35,3.20
3.33,3.48,3.64,3.33
3.51,3.62,3.65,3.50
3.58,3.62,3.68,3.56
3.64,3.73,3.73,3.64
3.76,3.97,4.14,3.76
3.92,3.96,3.99,3.90
4.01,3.98,4.08,3.98
4.00,3.97,4.00,3.96
3.95,3.92,3.99,3.90
3.94,3.89,3.94,3.83
3.84,3.71,3.84,3.64
3.74,3.76,3.85,3.66
3.82,3.71,3.92,3.71
3.67,3.88,3.89,3.67
3.92,3.43,3.92,3.42
3.50,3.49,3.56,3.46
3.49,3.35,3.52,3.31
3.30,3.45,3.50,3.30
3.42,3.44,3.52,3.41
3.41,3.48,3.50,3.40
3.47,3.45,3.53,3.43
3.50,3.43,3.56,3.39
3.41,3.37,3.45,3.36
3.40,3.35,3.47,3.30
3.38,3.41,3.42,3.30
3.34,3.36,3.39,3.34
3.30,3.35,3.37,3.30
3.45,3.36,3.50,3.35
3.40,3.22,3.40,3.20
3.21,3.16,3.22,3.16
3.18,3.17,3.24,3.15
3.32,3.29,3.32,3.20
3.30,3.24,3.30,3.24
3.23,3.15,3.23,3.14
3.15,3.17,3.24,3.15
3.16,3.17,3.17,3.15
3.14,3.18,3.22,3.14
3.18,3.19,3.23,3.16
3.25,3.19,3.25,3.19
3.17,3.43,3.46,3.17
3.42,3.32,3.42,3.31
3.27,3.37,3.39,3.25
3.36,3.35,3.41,3.29
3.33,3.28,3.33,3.26
3.28,3.18,3.28,3.16
3.16,3.21,3.26,3.16
3.24,3.27,3.28,3.21
3.25,3.16,3.25,3.15
3.14,3.30,3.30,3.14
3.32,3.37,3.37,3.26
3.29,3.22,3.33,3.20
3.20,3.25,3.29,3.20
3.25,3.26,3.29,3.20
3.21,3.40,3.40,3.21
3.38,3.27,3.45,3.27
3.25,3.31,3.31,3.20
3.30,3.26,3.30,3.21
3.23,3.30,3.30,3.15
3.28,3.34,3.35,3.25
3.35,3.34,3.35,3.29
3.32,3.28,3.34,3.21
3.30,3.35,3.35,3.28
3.31,3.31,3.37,3.28
3.34,3.37,3.46,3.33
3.35,3.35,3.37,3.32
3.33,3.35,3.35,3.28
3.33,3.35,3.35,3.32
3.35,3.48,3.55,3.33
3.46,3.52,3.55,3.45
3.52,3.59,3.67,3.52
3.56,3.56,3.59,3.42
3.69,3.90,3.92,3.56
4.00,4.00,4.07,3.88
3.99,3.92,4.07,3.92
3.95,4.06,4.20,3.95
4.31,4.67,4.73,4.28
4.75,4.50,4.76,4.42
4.43,4.42,4.50,4.11
4.42,4.24,4.59,4.20
4.28,4.35,4.94,4.14
4.37,4.28,4.42,4.25
4.30,3.84,4.30,3.71
3.85,4.02,4.06,3.79
3.98,3.93,4.02,3.87
3.88,3.87,4.00,3.79
3.82,3.98,4.00,3.74
4.00,3.97,4.00,3.93
3.99,3.95,3.99,3.91
3.95,4.01,4.11,3.93
4.05,3.99,4.12,3.95
3.91,3.90,4.00,3.88
3.95,3.90,3.95,3.82
3.93,3.88,4.02,3.82
3.83,3.92,3.93,3.81
4.12,4.09,4.20,3.93
4.02,3.92,4.10,3.87
3.89,3.87,3.92,3.78
3.85,3.81,3.93,3.81
3.79,3.94,4.05,3.79
4.00,4.01,4.01,3.92
4.01,4.22,4.27,4.01
4.26,4.27,4.31,4.15
4.24,4.02,4.24,3.96
4.00,4.22,4.25,4.00
4.18,4.17,4.22,4.10
4.19,4.15,4.19,4.11
4.05,4.03,4.16,3.98
3.94,4.07,4.11,3.90
4.04,4.03,4.04,3.90
3.90,4.01,4.03,3.84
3.94,3.97,4.01,3.93
4.00,3.98,4.25,3.69
4.00,4.00,4.03,3.77
4.00,4.00,4.07,3.86
3.99,4.02,4.07,3.96
4.00,4.00,4.02,3.92
3.97,4.02,4.02,3.95
3.98,4.05,4.05,3.96
4.04,4.00,4.04,3.97
3.95,4.04,4.05,3.95
4.03,4.03,4.05,3.99
4.04,4.04,4.04,3.97
4.01,4.04,4.11,3.99
4.00,4.00,4.04,3.95
3.99,4.00,4.06,3.95
3.99,4.02,4.04,3.97
4.06,4.04,4.06,4.02
4.03,3.98,4.03,3.98
3.96,3.99,4.02,3.96
3.97,3.90,4.00,3.89
3.86,3.80,3.86,3.68
3.70,3.86,3.87,3.70
3.86,3.90,3.94,3.74
3.84,3.72,3.84,3.67
3.70,3.61,3.70,3.57
3.59,3.62,3.62,3.55
3.68,3.70,3.72,3.65
3.63,3.64,3.69,3.61
3.65,3.71,3.73,3.61
3.71,3.70,3.72,3.67
3.67,3.73,3.73,3.63
3.73,3.67,3.73,3.67
3.64,3.62,3.69,3.59
3.55,3.41,3.63,3.40
3.43,3.40,3.46,3.35
3.32,3.38,3.47,3.28
3.36,3.15,3.38,3.07
3.09,3.29,3.31,3.04
3.25,3.17,3.26,3.11
3.13,3.16,3.18,3.10
3.10,3.07,3.16,3.05
3.00,3.10,3.20,2.99
3.07,3.22,3.26,3.06
3.20,3.30,3.40,3.20
3.30,3.52,3.60,3.30
4.05,3.92,4.29,3.67
3.86,4.04,4.05,3.76
4.07,4.19,4.25,4.07
4.20,4.17,4.21,4.11
4.00,3.97,4.11,3.79
3.95,3.91,4.00,3.81
3.91,4.06,4.15,3.91
4.13,4.13,4.25,4.05
4.19,4.10,4.19,4.00
4.05,3.96,4.11,3.96
3.96,3.95,4.00,3.92
3.90,3.91,4.00,3.90
3.90,3.99,4.06,3.90
4.01,3.95,4.04,3.94
3.90,4.01,4.09,3.90
4.05,4.09,4.17,4.02
4.10,4.02,4.10,3.95
4.09,3.92,4.09,3.91
3.92,4.03,4.03,3.81
3.98,3.94,4.00,3.88
3.94,3.97,3.99,3.85
3.95,3.88,3.95,3.84
3.88,3.93,3.97,3.85
3.95,3.91,3.99,3.88
3.97,4.06,4.10,3.87
4.05,3.98,4.05,3.95
3.96,3.83,3.96,3.75
3.80,3.73,3.84,3.68
3.75,3.74,3.85,3.65
3.71,3.93,3.97,3.71
3.90,4.01,4.05,3.87
3.96,3.96,4.00,3.90
4.01,4.05,4.10,4.01
4.04,4.00,4.04,3.91
3.98,3.93,3.99,3.92
3.86,3.93,3.96,3.78
3.91,3.95,3.97,3.91
4.00,4.04,4.05,3.96
4.00,3.98,4.03,3.98
3.99,4.02,4.04,3.99
4.01,3.98,4.02,3.98
4.00,3.99,4.00,3.79
3.99,3.91,3.99,3.84
3.90,3.88,3.94,3.88
3.86,3.85,3.90,3.85
3.83,3.86,3.86,3.77
3.83,3.88,4.00,3.78
3.82,3.94,4.02,3.78
3.91,3.77,3.91,3.77
3.68,3.67,3.81,3.67
3.69,3.68,3.79,3.65
3.71,3.62,3.71,3.62
3.63,3.59,3.64,3.50
3.52,3.34,3.56,3.32
3.04,3.14,3.30,3.04
2.99,3.36,3.45,2.99
3.22,3.12,3.37,3.01
3.01,3.26,3.33,3.00
3.53,3.36,3.55,3.31
3.35,3.20,3.35,3.17
3.17,3.12,3.22,3.04
3.22,3.30,3.40,3.16
3.25,3.28,3.35,3.25
3.21,3.29,3.29,3.21
3.25,3.25,3.26,3.21
3.30,3.31,3.45,3.25
3.30,3.35,3.45,3.25
3.37,3.46,3.48,3.37
3.40,3.46,3.46,3.40
3.41,3.52,3.60,3.41
3.54,3.71,3.72,3.51
3.61,3.68,3.75,3.56
3.66,3.78,3.86,3.52
3.72,3.54,3.72,3.54
3.54,3.38,3.54,3.30
3.30,3.22,3.36,3.15
3.26,3.43,3.50,3.26
3.46,3.43,3.49,3.37
3.38,3.25,3.38,3.20
3.22,3.27,3.37,3.20
3.25,3.30,3.30,3.23
3.30,3.20,3.42,3.20
3.20,3.15,3.23,3.00
3.11,3.00,3.14,3.00
3.00,2.90,3.00,2.84
2.90,2.91,2.95,2.85
2.94,2.85,2.94,2.81
2.82,2.64,2.83,2.60
2.67,2.73,2.77,2.67
2.70,2.58,2.70,2.53
2.48,2.51,2.68,2.31
2.48,2.53,2.70,2.46
2.47,2.61,2.68,2.47
2.52,2.65,2.65,2.48
2.59,2.54,2.64,2.53
2.58,2.58,2.68,2.34
2.63,2.72,2.76,2.63
2.73,2.81,2.95,2.69
2.80,2.70,2.80,2.63
2.66,2.72,2.82,2.63
2.72,2.81,2.82,2.72
2.82,2.80,2.90,2.78
2.80,2.79,2.83,2.75
2.81,2.83,2.83,2.76
2.76,2.82,2.82,2.75
2.78,2.70,2.78,2.70
2.73,2.63,2.77,2.63
2.62,2.54,2.67,2.51
2.52,2.65,2.65,2.52
2.60,2.58,2.65,2.56
2.56,2.62,2.62,2.53
2.61,2.65,2.67,2.61
2.67,2.80,2.96,2.66
2.80,3.11,3.20,2.75
3.00,3.08,3.13,2.91
3.08,3.15,3.20,3.08
3.16,2.92,3.16,2.92
2.97,2.65,2.97,2.65
2.62,2.80,2.88,2.62
2.82,2.75,2.82,2.68
2.72,2.67,2.75,2.65
2.75,2.67,2.75,2.67
2.60,2.55,2.63,2.55
2.55,2.71,2.71,2.55
2.72,2.78,2.78,2.70
2.75,2.82,2.94,2.75
2.70,2.77,2.79,2.63
2.78,2.71,2.78,2.55
2.69,2.60,2.69,2.55
2.60,2.74,2.74,2.55
2.70,2.67,2.78,2.67
2.49,2.70,2.78,2.49
2.73,2.82,2.89,2.73
2.90,2.96,2.99,2.82
2.95,2.81,2.96,2.81
2.78,2.90,3.00,2.78
2.89,2.70,2.89,2.61
2.75,2.86,2.88,2.66
2.82,2.83,2.85,2.75
2.76,2.86,2.86,2.75
2.88,2.90,2.90,2.83
2.88,2.85,2.90,2.83
2.83,2.95,2.95,2.83
2.93,3.00,3.00,2.93
2.98,3.03,3.03,2.93
3.00,2.98,3.00,2.95
3.00,2.88,3.00,2.82
2.95,2.82,2.95,2.80
2.77,2.61,2.81,2.60
2.58,2.62,2.83,2.58
2.55,2.88,2.88,2.55
2.94,2.97,2.99,2.82
2.98,2.98,2.98,2.81
2.92,2.92,2.98,2.83
2.92,2.90,2.96,2.82
2.86,2.84,2.86,2.75
2.75,2.95,2.95,2.75
2.96,2.90,2.97,2.83
2.93,2.75,2.95,2.70
2.76,2.70,2.80,2.70
2.72,2.68,2.72,2.62
2.67,2.83,2.85,2.67
2.89,2.95,2.95,2.85
2.92,2.97,2.97,2.82
2.93,3.16,3.25,2.90
3.16,3.13,3.17,3.06
3.10,3.16,3.17,3.05
3.13,3.16,3.19,3.09
3.16,3.12,3.20,3.12
3.14,3.16,3.20,3.10
3.20,3.14,3.24,3.11
3.17,3.17,3.20,3.15
3.15,3.21,3.21,3.15
3.19,3.16,3.23,3.16
3.11,3.13,3.28,3.03
2.98,3.12,3.12,2.98
3.14,3.14,3.14,3.06
3.17,3.29,3.46,3.08
3.21,3.00,3.21,2.95
3.00,3.10,3.10,3.00
3.05,3.02,3.09,3.00
3.00,3.01,3.04,2.98
2.99,3.00,3.00,2.97
3.00,2.92,3.00,2.85
2.86,2.75,2.92,2.74
2.74,2.85,2.85,2.74
2.86,2.77,2.89,2.72
2.79,2.75,2.83,2.73
2.73,2.71,2.74,2.70
2.78,2.59,2.78,2.59
2.56,2.64,2.66,2.56
2.60,2.65,2.74,2.55
2.61,2.58,2.62,2.50
2.49,2.50,2.54,2.20
2.45,2.48,2.51,2.40
2.50,2.43,2.52,2.40
2.50,2.40,2.50,2.40
2.42,2.41,2.46,2.40
2.42,2.45,2.50,2.42
2.46,2.45,2.50,2.45
2.42,2.46,2.48,2.40
2.43,2.52,2.56,2.43
2.35,2.55,2.60,2.35
2.54,2.70,2.82,2.54
2.71,2.63,2.76,2.60
2.66,2.56,2.66,2.48
2.54,2.57,2.60,2.47
2.53,2.45,2.61,2.43
2.49,2.62,2.62,2.38
2.57,2.56,2.61,2.45
2.54,2.47,2.58,2.43
2.49,2.55,2.60,2.45
2.50,2.50,2.59,2.45
2.51,2.46,2.60,2.46
2.46,2.46,2.57,2.46
2.44,2.50,2.51,2.43
2.47,2.50,2.53,2.47
2.42,2.37,2.53,2.37
2.44,2.38,2.45,2.35
2.49,2.45,2.49,2.35
2.50,2.49,2.51,2.40
2.46,2.40,2.46,2.40
2.40,2.37,2.41,2.35
2.35,2.40,2.41,2.35
2.46,2.29,2.46,2.25
2.32,2.31,2.40,2.25
2.36,2.25,2.39,2.09
2.28,2.12,2.28,2.04
2.10,2.15,2.21,2.10
2.13,2.09,2.38,2.06
2.06,2.03,2.09,2.00
2.03,2.03,2.10,1.99
2.05,1.98,2.05,1.95
1.96,2.00,2.04,1.96
2.00,2.00,2.02,1.98
2.02,2.00,2.02,2.00
1.97,1.99,2.01,1.96
1.96,1.93,2.01,1.90
2.00,2.10,2.20,2.00
2.12,2.17,2.20,2.12
2.19,2.23,2.25,2.15
2.20,2.23,2.35,2.20
2.27,2.25,2.29,2.23
2.25,2.14,2.28,2.02
2.14,2.13,2.21,2.06
2.17,2.19,2.22,2.14
2.18,2.19,2.25,2.11
2.20,2.12,2.24,2.12
2.10,2.12,2.24,2.10
2.10,2.07,2.15,2.07
2.05,2.09,2.14,2.05
2.07,2.09,2.10,2.03
2.10,2.13,2.14,1.96
2.09,2.15,2.15,2.04
2.15,1.98,2.16,1.96
1.97,2.01,2.02,1.97
2.00,2.01,2.02,1.99
1.99,2.02,2.07,1.99
1.99,2.07,2.14,1.99
2.04,2.14,2.20,2.03
2.20,2.15,2.34,2.15
2.13,2.18,2.22,2.09
2.14,2.19,2.20,2.14
2.15,2.15,2.20,2.11
2.17,2.26,2.28,2.15
2.23,2.23,2.30,2.13
2.13,2.16,2.19,2.06
2.11,2.07,2.13,2.00
2.10,2.03,2.14,2.01
2.03,2.05,2.10,2.03
2.01,2.02,2.10,2.00
2.02,1.98,2.02,1.98
2.01,2.00,2.05,1.98
2.02,2.12,2.20,2.02
2.12,2.10,2.12,2.04
2.09,2.07,2.10,2.07
2.08,2.14,2.14,2.00
2.08,2.14,2.15,2.00
2.10,2.13,2.15,2.00
2.11,2.13,2.19,2.05
2.11,2.15,2.20,2.00
2.18,2.20,2.20,2.14
2.15,2.05,2.26,2.05
2.10,2.12,2.19,2.10
2.15,2.09,2.20,2.06
2.11,2.15,2.15,2.10
2.10,2.18,2.23,2.05
2.14,2.03,2.26,2.03
2.00,2.07,2.10,1.96
2.06,2.21,2.23,2.06
2.20,2.37,2.37,2.20
2.37,2.35,2.41,2.28
2.29,2.26,2.35,2.20
2.19,2.20,2.29,2.18
2.22,2.22,2.27,2.22
2.22,2.24,2.27,2.22
2.17,2.27,2.27,2.17
2.25,2.25,2.30,2.21
2.25,2.25,2.29,2.23
2.24,2.25,2.28,2.07
2.24,2.22,2.27,2.21
2.22,2.22,2.24,2.22
2.22,2.23,2.24,2.21
2.21,2.25,2.27,2.21
2.20,2.20,2.26,2.20
2.21,2.24,2.32,2.21
2.22,2.25,2.32,2.21
2.22,2.25,2.33,2.22
2.31,2.30,2.31,2.18
2.26,2.27,2.28,2.20
2.24,2.14,2.24,2.14
2.14,2.08,2.18,2.08
2.15,2.06,2.20,2.06
2.06,2.09,2.15,2.05
2.05,2.16,2.16,2.05
2.13,2.05,2.15,2.05
2.04,2.12,2.13,2.04
2.11,2.06,2.12,2.06
2.05,2.07,2.12,2.01
2.03,1.97,2.06,1.97
2.01,1.99,2.01,1.98
1.96,1.94,1.96,1.90
1.91,1.80,1.91,1.77
1.77,1.57,1.80,1.50
1.48,1.53,1.59,1.48
1.47,1.48,1.55,1.44
1.52,1.59,1.63,1.52
1.55,1.61,1.63,1.55
1.61,1.56,1.65,1.55
1.57,1.59,1.63,1.57
1.61,1.62,1.63,1.40
1.61,1.87,2.05,1.61
1.89,1.90,1.94,1.83
1.88,1.90,1.92,1.86
1.90,1.98,1.98,1.87
1.96,1.98,1.98,1.93
1.95,1.98,1.98,1.93
1.96,1.99,1.99,1.95
1.97,1.91,1.98,1.80
1.99,1.92,1.99,1.92
1.92,1.95,1.95,1.91
1.92,1.96,1.98,1.92
1.96,1.93,1.96,1.91
1.92,1.80,1.93,1.78
1.86,1.98,1.98,1.79
1.98,1.88,1.98,1.86
1.88,1.88,1.94,1.88
1.88,1.96,1.96,1.80
1.94,1.84,1.96,1.84
1.83,1.80,1.87,1.80
1.80,1.73,1.80,1.68
1.70,1.66,1.71,1.66
1.64,1.63,1.64,1.62
1.65,1.61,1.67,1.61
1.63,1.60,1.70,1.60
1.60,1.50,1.60,1.45
1.52,1.52,1.55,1.51
1.51,1.63,1.66,1.51
1.56,1.53,1.60,1.52
1.51,1.51,1.58,1.49
1.49,1.57,1.57,1.48
1.58,1.58,1.59,1.57
1.58,1.58,1.58,1.50
1.62,1.62,1.63,1.51
1.60,1.70,1.73,1.57
1.65,1.64,1.80,1.62
1.62,1.70,1.70,1.62
1.70,1.77,1.77,1.63
1.81,1.80,1.87,1.77
1.76,1.78,1.78,1.66
1.65,1.69,1.77,1.64
1.65,1.70,1.80,1.63
1.70,1.70,1.71,1.66
1.68,1.62,1.68,1.62
1.65,1.62,1.70,1.62
1.65,1.55,1.69,1.55
1.61,1.48,1.65,1.48
1.47,1.37,1.47,1.15
1.35,1.45,1.45,1.35
1.41,1.48,1.49,1.36
1.49,1.48,1.50,1.46
1.46,1.50,1.50,1.44
1.46,1.52,1.52,1.46
1.49,1.50,1.55,1.45
1.50,1.46,1.54,1.42
1.47,1.43,1.49,1.37
1.41,1.47,1.47,1.31
1.45,1.47,1.51,1.33
1.47,1.40,1.47,1.40
1.37,1.32,1.41,1.32
1.30,1.27,1.32,1.27
1.27,1.27,1.31,1.27
1.27,1.25,1.30,1.24
1.22,1.19,1.24,1.15
1.15,1.25,1.25,1.12
1.27,1.40,1.40,1.26
1.35,1.40,1.42,1.35
1.38,1.52,1.53,1.32
1.50,1.49,1.52,1.49
1.48,1.44,1.50,1.37
1.45,1.55,1.56,1.44
1.54,1.60,1.60,1.46
1.58,1.48,1.58,1.48
1.46,1.50,1.52,1.40
1.50,1.50,1.51,1.50
1.50,1.49,1.50,1.45
1.37,1.66,1.66,1.28
1.70,1.70,1.72,1.60
1.70,1.70,1.72,1.69
1.75,1.79,1.90,1.75
1.88,1.86,1.90,1.84
1.86,1.88,1.88,1.86
1.88,1.88,1.90,1.86
1.86,1.90,1.90,1.85
1.90,1.98,1.99,1.90
2.00,2.04,2.04,1.93
2.05,2.01,2.05,2.00
1.97,1.82,1.97,1.79
1.85,1.85,1.85,1.84
1.86,1.71,1.86,1.64
1.75,1.65,1.77,1.65
1.67,2.00,2.28,1.67
1.99,2.08,2.08,1.95
2.02,2.01,2.10,1.99
2.00,2.04,2.04,1.98
2.06,2.03,2.07,1.97
2.04,2.02,2.05,1.97
2.05,2.04,2.05,1.95
2.00,2.05,2.06,1.98
2.06,2.06,2.10,1.98
2.03,2.02,2.03,2.00
1.98,2.11,2.12,1.98
2.09,2.39,2.45,2.09
2.40,2.57,2.60,2.40
2.60,2.98,3.08,2.60
3.09,2.86,3.09,2.70
2.84,2.82,2.85,2.70
2.75,2.62,2.75,2.50
2.62,2.53,2.62,2.40
2.53,2.73,2.73,2.50
2.74,2.84,2.85,2.74
2.84,2.90,2.90,2.76
2.85,2.90,2.90,2.84
2.84,2.64,2.90,2.60
2.66,2.73,2.74,2.66
2.77,2.76,2.79,2.75
2.79,2.81,3.00,2.67
2.76,2.75,2.80,2.75
2.79,2.79,2.87,2.79
2.77,2.75,2.81,2.75
2.69,2.71,2.72,2.63
2.67,2.65,2.69,2.64
2.61,2.58,2.61,2.55
2.60,2.56,2.60,2.47
2.47,2.55,2.56,2.47
2.54,2.42,2.54,2.39
2.45,2.50,2.57,2.33
2.48,2.44,2.55,2.44
2.43,2.24,2.43,2.20
2.20,2.18,2.27,2.17
2.18,2.22,2.23,2.15
2.21,2.23,2.23,2.20
2.18,2.15,2.20,2.15
2.22,2.11,2.22,2.11
2.11,2.01,2.11,2.01
2.08,2.15,2.21,2.07
2.20,2.48,2.48,2.19
2.40,2.36,2.42,2.28
2.32,2.43,2.48,2.32
2.44,2.43,2.44,2.38
2.43,2.47,2.47,2.43
2.42,2.48,2.48,2.37
2.50,2.43,2.50,2.40
2.43,2.44,2.50,2.43
2.38,2.45,2.50,2.38
2.42,2.41,2.43,2.40
2.41,2.40,2.42,2.37
2.44,2.42,2.46,2.39
2.41,2.41,2.42,2.40
2.40,2.41,2.41,2.40
2.42,2.28,2.44,2.25
2.27,2.33,2.33,2.26
2.36,2.27,2.36,2.25
2.25,2.30,2.35,2.24
2.28,2.32,2.33,2.28
2.31,2.33,2.33,2.31
2.34,2.35,2.42,2.32
2.32,2.37,2.40,2.32
2.36,2.41,2.42,2.36
2.40,2.34,2.42,2.34
2.32,2.39,2.40,2.31
2.44,2.40,2.44,2.31
2.40,2.37,2.40,2.36
2.38,2.40,2.41,2.38
2.40,2.40,2.42,2.40
2.38,2.41,2.42,2.38
2.39,2.39,2.43,2.39
2.39,2.36,2.39,2.35
2.36,2.31,2.38,2.28
2.28,2.25,2.30,2.25
2.27,2.27,2.31,2.23
2.25,2.30,2.30,2.25
2.30,2.37,2.38,2.30
2.40,2.40,2.43,2.37
2.42,2.41,2.45,2.40
2.51,2.41,2.51,2.39
2.44,2.38,2.45,2.33
2.39,2.41,2.42,2.39
2.43,2.42,2.44,2.36
2.40,2.29,2.42,2.28
2.30,2.32,2.36,2.30
2.37,2.42,2.42,2.33
2.47,2.41,2.47,2.41
2.42,2.42,2.43,2.40
2.44,2.25,2.45,2.25
2.29,2.35,2.37,2.29
2.37,2.41,2.41,2.37
2.39,2.37,2.40,2.30
2.40,2.37,2.40,2.37
2.40,2.28,2.40,2.28
2.28,2.35,2.35,2.26
2.34,2.22,2.36,2.22
2.25,2.29,2.29,2.23
2.25,2.18,2.25,2.16
2.18,2.10,2.20,2.10
