NSAT,Norsat International Inc. (NEW) Common Stock,NASDAQ
0.74,0.73,0.74,0.70
0.73,0.73,0.73,0.73
0.73,0.73,0.73,0.73
0.73,0.73,0.73,0.73
0.70,0.66,0.70,0.66
0.58,0.64,0.67,0.55
0.64,0.64,0.64,0.64
0.68,0.67,0.68,0.63
0.65,0.68,0.68,0.65
0.68,0.68,0.68,0.68
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.64,0.64,0.64,0.64
0.64,0.65,0.67,0.63
0.63,0.62,0.63,0.61
0.64,0.69,0.69,0.61
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61
0.61,0.62,0.62,0.61
0.61,0.61,0.61,0.61
0.61,0.64,0.64,0.61
0.61,0.61,0.61,0.61
0.59,0.59,0.59,0.59
0.65,0.64,0.65,0.63
0.63,0.63,0.63,0.63
0.55,0.55,0.55,0.55
0.55,0.62,0.65,0.55
0.64,0.64,0.64,0.64
0.56,0.65,0.65,0.56
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65
0.64,0.64,0.64,0.64
0.55,0.60,0.60,0.55
0.59,0.60,0.60,0.59
0.60,0.60,0.60,0.60
0.62,0.64,0.64,0.61
0.64,0.64,0.64,0.64
0.61,0.59,0.61,0.59
0.59,0.59,0.59,0.59
0.58,0.56,0.62,0.56
0.54,0.61,0.61,0.54
0.54,0.54,0.54,0.54
0.54,0.56,0.56,0.54
0.54,0.56,0.56,0.51
0.51,0.51,0.51,0.51
0.56,0.60,0.60,0.56
0.61,0.61,0.61,0.61
0.56,0.63,0.63,0.56
0.57,0.58,0.61,0.57
0.56,0.59,0.60,0.56
0.54,0.54,0.54,0.54
0.54,0.54,0.54,0.54
0.54,0.54,0.54,0.54
0.54,0.54,0.54,0.54
0.59,0.59,0.59,0.59
0.56,0.56,0.56,0.56
0.55,0.57,0.57,0.55
0.57,0.56,0.57,0.54
0.56,0.56,0.56,0.56
0.55,0.55,0.55,0.55
0.61,0.61,0.61,0.61
0.58,0.58,0.58,0.58
0.58,0.59,0.59,0.58
0.55,0.56,0.56,0.55
0.57,0.60,0.60,0.57
0.60,0.60,0.60,0.60
0.57,0.59,0.59,0.57
0.59,0.59,0.59,0.59
0.58,0.58,0.58,0.58
0.58,0.61,0.61,0.57
0.61,0.61,0.61,0.61
0.62,0.62,0.62,0.62
0.55,0.59,0.61,0.55
0.62,0.62,0.62,0.62
0.60,0.60,0.60,0.60
0.55,0.60,0.60,0.42
0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59
0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62
0.55,0.62,0.66,0.55
0.69,0.64,0.69,0.55
0.64,0.64,0.64,0.64
0.64,0.64,0.64,0.64
0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62
0.55,0.61,0.61,0.55
0.60,0.63,0.67,0.60
0.61,0.61,0.61,0.61
0.60,0.55,0.60,0.55
0.63,0.62,0.63,0.62
0.62,0.62,0.62,0.62
0.63,0.63,0.63,0.63
0.62,0.62,0.62,0.62
0.61,0.61,0.61,0.61
0.62,0.62,0.62,0.62
0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61
0.62,0.62,0.62,0.62
0.63,0.63,0.63,0.63
0.61,0.63,0.63,0.61
0.52,0.64,0.64,0.52
0.52,0.63,0.64,0.52
0.64,0.63,0.64,0.63
0.62,0.64,0.64,0.55
0.62,0.62,0.62,0.62
0.63,0.64,0.64,0.63
0.64,0.64,0.64,0.64
0.64,0.62,0.64,0.62
0.65,0.61,0.65,0.61
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62
0.62,0.54,0.62,0.54
0.54,0.54,0.54,0.54
0.61,0.65,0.65,0.61
0.67,0.64,0.67,0.63
0.64,0.64,0.64,0.64
0.64,0.64,0.64,0.64
0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62
0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61
0.55,0.59,0.59,0.55
0.59,0.59,0.59,0.59
0.60,0.60,0.60,0.60
0.62,0.61,0.62,0.61
0.61,0.61,0.61,0.61
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.64,0.66,0.66,0.64
0.64,0.66,0.66,0.61
0.62,0.62,0.63,0.62
0.62,0.62,0.62,0.62
0.59,0.63,0.63,0.59
0.59,0.62,0.62,0.59
0.62,0.55,0.63,0.55
0.62,0.62,0.62,0.62
0.62,0.64,0.64,0.62
0.63,0.62,0.65,0.62
0.62,0.62,0.62,0.62
0.62,0.63,0.63,0.62
0.64,0.64,0.64,0.64
0.55,0.65,0.65,0.55
0.62,0.62,0.62,0.62
0.65,0.63,0.65,0.63
0.62,0.61,0.62,0.61
0.65,0.65,0.65,0.65
0.55,0.62,0.62,0.55
0.62,0.62,0.62,0.62
0.55,0.61,0.61,0.55
0.58,0.61,0.61,0.58
0.59,0.63,0.63,0.59
0.63,0.63,0.63,0.63
0.61,0.61,0.61,0.61
0.62,0.61,0.62,0.61
0.60,0.61,0.61,0.60
0.60,0.60,0.60,0.60
0.62,0.61,0.63,0.61
0.61,0.62,0.62,0.61
0.61,0.55,0.61,0.55
0.61,0.61,0.61,0.61
0.60,0.65,0.65,0.60
0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62
0.63,0.61,0.63,0.61
0.61,0.63,0.63,0.61
0.67,0.62,0.67,0.61
0.64,0.64,0.64,0.64
0.64,0.64,0.64,0.64
0.68,0.70,0.75,0.68
0.69,0.72,0.72,0.69
0.72,0.72,0.72,0.72
0.74,0.70,0.74,0.70
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.66,0.65,0.66,0.65
0.66,0.67,0.67,0.66
0.66,0.70,0.70,0.66
0.74,0.74,0.74,0.74
0.78,0.80,0.80,0.77
0.81,0.83,0.83,0.81
0.87,0.85,0.87,0.82
0.90,0.92,0.95,0.90
0.93,0.90,0.95,0.90
0.90,0.89,0.90,0.89
0.87,0.87,0.87,0.87
0.87,0.83,0.87,0.83
0.79,0.79,0.79,0.79
0.79,0.79,0.79,0.79
0.79,0.76,0.79,0.76
0.76,0.76,0.76,0.76
0.77,0.76,0.78,0.76
0.76,0.76,0.76,0.76
0.77,0.77,0.77,0.77
0.77,0.77,0.78,0.77
0.80,0.81,0.81,0.79
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.85,0.88,0.88,0.85
0.88,0.88,0.88,0.88
0.88,0.87,0.89,0.87
0.85,0.85,0.85,0.85
0.86,0.85,0.86,0.85
0.85,0.86,0.86,0.85
0.84,0.84,0.84,0.84
0.85,0.85,0.85,0.85
0.81,0.81,0.81,0.81
0.80,0.80,0.80,0.80
0.79,0.73,0.79,0.72
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.77,0.76,0.77,0.76
0.76,0.76,0.76,0.76
0.76,0.76,0.76,0.76
0.73,0.73,0.73,0.73
0.73,0.73,0.73,0.73
0.71,0.71,0.71,0.71
0.72,0.69,0.72,0.69
0.75,0.75,0.75,0.75
0.75,0.78,0.78,0.74
0.78,0.78,0.78,0.78
0.73,0.73,0.73,0.72
0.72,0.73,0.73,0.72
0.73,0.72,0.73,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.71,0.71,0.71,0.71
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.73,0.73,0.73,0.73
0.73,0.73,0.73,0.73
0.73,0.73,0.73,0.73
0.73,0.73,0.73,0.73
0.73,0.73,0.73,0.73
0.72,0.74,0.74,0.72
0.73,0.73,0.73,0.71
0.72,0.72,0.72,0.72
0.70,0.70,0.70,0.70
0.71,0.70,0.72,0.68
0.71,0.70,0.71,0.70
0.71,0.71,0.71,0.71
0.72,0.72,0.72,0.72
0.73,0.71,0.73,0.71
0.73,0.73,0.73,0.73
0.74,0.75,0.75,0.72
0.75,0.75,0.75,0.75
0.74,0.76,0.77,0.74
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.73,0.73,0.73,0.73
0.68,0.68,0.68,0.68
0.68,0.68,0.68,0.68
0.69,0.70,0.70,0.69
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.71,0.70,0.71,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.68,0.68,0.68,0.68
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.69,0.68,0.69,0.68
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.64,0.64,0.64,0.64
0.64,0.60,0.64,0.60
0.60,0.60,0.60,0.60
0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62
0.62,0.66,0.66,0.61
0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61
0.64,0.61,0.64,0.61
0.61,0.61,0.61,0.61
0.60,0.60,0.60,0.60
0.65,0.61,0.65,0.61
0.61,0.61,0.61,0.61
0.61,0.62,0.62,0.59
0.60,0.60,0.60,0.60
0.60,0.59,0.60,0.59
0.59,0.59,0.59,0.59
0.57,0.57,0.57,0.57
0.58,0.58,0.58,0.58
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.58,0.58,0.58,0.58
0.61,0.63,0.63,0.61
0.60,0.64,0.64,0.60
0.60,0.60,0.60,0.60
0.62,0.60,0.62,0.60
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.58,0.58,0.58,0.58
0.59,0.59,0.59,0.59
0.56,0.54,0.56,0.54
0.60,0.58,0.60,0.50
0.58,0.58,0.58,0.58
0.53,0.51,0.53,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.54,0.51,0.54,0.51
0.51,0.51,0.51,0.51
0.53,0.52,0.53,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.54,0.54,0.54,0.54
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.57,0.57,0.57,0.57
0.57,0.57,0.57,0.57
0.57,0.57,0.57,0.57
0.56,0.55,0.56,0.55
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.56,0.56,0.56,0.56
0.53,0.53,0.53,0.53
0.53,0.54,0.54,0.53
0.54,0.54,0.54,0.54
0.53,0.52,0.53,0.52
0.52,0.52,0.52,0.52
0.51,0.51,0.51,0.51
0.52,0.52,0.52,0.52
0.55,0.55,0.55,0.55
0.54,0.54,0.54,0.54
0.52,0.51,0.52,0.51
0.51,0.51,0.51,0.51
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48
0.50,0.50,0.50,0.50
0.50,0.51,0.51,0.50
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.52,0.52,0.52,0.52
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.52,0.52,0.52,0.52
0.52,0.50,0.53,0.50
0.50,0.50,0.50,0.50
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.48,0.49,0.49,0.48
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.48,0.48,0.48,0.48
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.45,0.47,0.45
0.45,0.45,0.45,0.45
0.47,0.47,0.47,0.47
0.49,0.49,0.49,0.49
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.48,0.46,0.48,0.46
0.46,0.46,0.46,0.45
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.47,0.46
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.45,0.46,0.46,0.43
0.46,0.46,0.46,0.46
0.44,0.48,0.48,0.44
0.49,0.49,0.49,0.49
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.50,0.49,0.50,0.49
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48
0.49,0.48,0.49,0.48
0.49,0.49,0.49,0.49
0.48,0.49,0.49,0.48
0.49,0.49,0.50,0.49
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.49,0.50,0.50,0.49
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.49,0.49,0.49,0.49
0.50,0.50,0.50,0.50
0.50,0.49,0.50,0.49
0.49,0.50,0.50,0.49
0.50,0.51,0.51,0.50
0.49,0.55,0.55,0.49
0.55,0.55,0.55,0.55
0.52,0.52,0.52,0.52
0.55,0.55,0.55,0.55
0.52,0.52,0.52,0.52
0.51,0.51,0.51,0.51
0.52,0.51,0.52,0.51
0.50,0.50,0.50,0.50
0.52,0.51,0.52,0.51
0.51,0.51,0.51,0.51
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.51
0.52,0.52,0.52,0.52
0.51,0.51,0.52,0.51
0.51,0.52,0.52,0.51
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.51,0.51,0.51,0.51
0.52,0.52,0.52,0.52
0.50,0.52,0.52,0.47
0.52,0.52,0.52,0.52
0.51,0.50,0.51,0.49
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.50,0.49,0.50,0.49
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.48,0.49,0.49,0.48
0.49,0.49,0.49,0.49
0.48,0.47,0.48,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.45,0.45,0.45,0.44
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.45,0.44,0.45,0.44
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.45,0.45,0.45,0.45
0.48,0.44,0.48,0.44
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.45,0.44,0.45,0.44
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.43,0.43,0.43,0.43
0.43,0.43,0.43,0.43
0.46,0.45,0.46,0.45
0.45,0.45,0.45,0.45
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.43,0.43,0.43,0.43
0.43,0.43,0.43,0.43
0.43,0.43,0.43,0.43
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.39,0.44,0.45,0.39
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.39,0.42,0.42,0.39
0.39,0.39,0.39,0.39
0.39,0.39,0.40,0.39
0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39
0.39,0.36,0.39,0.36
0.36,0.36,0.36,0.36
0.36,0.36,0.36,0.36
0.37,0.37,0.37,0.37
0.36,0.36,0.36,0.36
0.37,0.36,0.37,0.36
0.36,0.36,0.36,0.36
0.36,0.36,0.36,0.36
0.36,0.36,0.36,0.36
0.35,0.35,0.35,0.35
0.36,0.36,0.36,0.36
0.35,0.35,0.35,0.35
0.37,0.37,0.37,0.37
0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39
0.37,0.38,0.38,0.37
0.37,0.37,0.37,0.37
0.37,0.37,0.37,0.37
0.37,0.37,0.37,0.37
0.36,0.37,0.37,0.36
0.37,0.37,0.37,0.37
0.40,0.43,0.45,0.40
0.43,0.42,0.43,0.42
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.44,0.48,0.49,0.44
0.50,0.50,0.51,0.50
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.51,0.51,0.51,0.51
0.50,0.50,0.50,0.50
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.48,0.47,0.48,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.42,0.46,0.46,0.42
0.46,0.46,0.46,0.46
0.43,0.45,0.45,0.43
0.45,0.45,0.45,0.45
0.43,0.45,0.45,0.43
0.46,0.49,0.49,0.46
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.45,0.47,0.48,0.45
0.47,0.47,0.47,0.47
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.48,0.48,0.48,0.47
0.48,0.48,0.48,0.48
0.49,0.49,0.49,0.49
0.49,0.48,0.49,0.48
0.47,0.47,0.49,0.47
0.47,0.47,0.47,0.47
0.48,0.49,0.49,0.48
0.49,0.49,0.49,0.49
0.47,0.47,0.47,0.47
0.46,0.45,0.46,0.45
0.45,0.45,0.45,0.45
0.46,0.46,0.46,0.46
0.45,0.45,0.46,0.45
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.46,0.46,0.46,0.45
0.46,0.45,0.46,0.45
0.47,0.47,0.47,0.47
0.45,0.45,0.45,0.45
0.46,0.46,0.46,0.46
0.45,0.46,0.46,0.45
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.47,0.48,0.48,0.47
0.47,0.48,0.48,0.47
0.47,0.46,0.47,0.46
0.48,0.47,0.48,0.47
0.48,0.48,0.49,0.48
0.49,0.48,0.49,0.48
0.48,0.48,0.48,0.48
0.44,0.47,0.47,0.44
0.46,0.46,0.46,0.46
0.47,0.47,0.47,0.47
0.46,0.46,0.46,0.46
0.50,0.51,0.51,0.50
0.50,0.51,0.51,0.50
0.52,0.51,0.53,0.51
0.51,0.51,0.51,0.51
0.52,0.52,0.52,0.52
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.52,0.52,0.52,0.52
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.50,0.53,0.53,0.50
0.54,0.54,0.54,0.54
0.55,0.57,0.57,0.55
0.58,0.58,0.58,0.58
0.58,0.58,0.58,0.58
0.59,0.59,0.59,0.59
0.58,0.52,0.58,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.52,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.52,0.53,0.53,0.52
0.52,0.54,0.54,0.52
0.54,0.54,0.54,0.54
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.53,0.53,0.53,0.53
0.52,0.52,0.52,0.52
0.52,0.57,0.57,0.52
0.55,0.55,0.55,0.55
0.54,0.52,0.54,0.52
0.52,0.52,0.52,0.52
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.54,0.55,0.55,0.54
0.55,0.55,0.55,0.55
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.53,0.54,0.54,0.53
0.54,0.54,0.54,0.54
0.54,0.54,0.54,0.54
0.53,0.53,0.53,0.53
0.53,0.53,0.53,0.53
0.53,0.53,0.53,0.53
0.53,0.53,0.53,0.53
0.53,0.53,0.53,0.53
0.56,0.55,0.56,0.55
0.57,0.57,0.57,0.55
0.56,0.57,0.57,0.56
0.54,0.54,0.54,0.54
0.55,0.55,0.55,0.55
0.57,0.58,0.58,0.57
0.55,0.54,0.56,0.54
0.54,0.54,0.54,0.54
0.55,0.58,0.58,0.55
0.60,0.60,0.60,0.60
0.57,0.57,0.57,0.57
0.54,0.53,0.54,0.53
0.53,0.53,0.53,0.53
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.53,0.53,0.53,0.53
0.53,0.53,0.53,0.53
0.51,0.51,0.51,0.51
0.50,0.48,0.50,0.48
0.48,0.48,0.48,0.48
0.48,0.51,0.51,0.48
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.50,0.49,0.50,0.49
0.49,0.50,0.50,0.47
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.50,0.52,0.52,0.50
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.50
0.52,0.52,0.52,0.52
0.46,0.45,0.46,0.45
0.45,0.45,0.45,0.45
0.47,0.50,0.50,0.47
0.47,0.47,0.50,0.47
0.47,0.47,0.47,0.47
0.49,0.49,0.49,0.49
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.48,0.49,0.49,0.48
0.49,0.49,0.49,0.48
0.49,0.49,0.49,0.49
0.48,0.48,0.48,0.48
0.48,0.48,0.49,0.47
1.01,1.01,1.01,1.01
0.52,0.49,0.52,0.49
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.50,0.52,0.52,0.50
0.49,0.49,0.49,0.49
0.49,0.49,0.51,0.49
0.49,0.49,0.49,0.49
0.50,0.52,0.52,0.50
0.50,0.51,0.51,0.50
0.49,0.49,0.49,0.49
0.50,0.50,0.50,0.50
