COP,ConocoPhillips Common Stock,NASDAQ
52.87,53.50,53.50,52.57
54.15,52.80,54.68,52.71
53.37,54.30,54.36,53.23
53.90,54.47,54.48,53.66
54.76,55.18,55.28,54.19
55.48,56.01,56.01,55.10
56.79,55.80,56.95,55.48
55.70,54.46,56.19,54.25
54.44,53.51,54.63,53.31
53.26,52.51,53.39,51.98
52.66,51.92,52.66,51.69
51.92,51.19,52.00,51.16
50.43,49.84,50.66,49.57
49.72,49.09,50.29,48.97
49.24,48.87,49.57,48.06
49.17,48.82,49.36,48.41
49.97,49.20,50.25,48.61
49.27,51.16,51.26,49.27
52.16,51.55,52.17,50.96
51.65,52.30,52.47,51.40
52.04,52.10,52.64,51.78
52.89,53.22,53.65,52.69
53.09,52.80,53.46,52.47
52.74,52.86,53.03,52.06
52.60,51.85,52.80,51.60
52.20,51.84,52.28,51.49
51.00,52.66,52.86,50.80
53.08,52.12,53.13,51.65
52.79,53.27,53.89,52.57
53.23,53.79,53.86,52.76
53.99,54.43,54.71,53.77
54.73,54.44,54.95,54.12
55.02,54.44,55.20,53.81
54.68,54.56,55.55,54.12
54.10,55.22,55.77,53.89
56.00,57.53,57.70,55.92
56.87,57.56,57.89,56.80
57.55,57.42,58.03,57.05
57.00,57.70,57.82,56.88
57.04,56.93,57.54,56.24
57.25,57.31,57.57,57.09
56.52,56.87,57.28,56.32
55.96,55.51,56.00,55.20
54.94,55.35,55.64,54.60
54.86,55.02,55.44,54.84
54.80,54.93,54.97,54.30
55.38,55.87,56.25,54.93
55.86,55.42,55.93,54.92
55.11,54.71,55.26,54.32
54.29,53.89,54.47,53.29
54.10,53.71,54.57,53.59
53.09,53.43,53.97,53.00
53.00,53.46,53.69,52.33
53.75,52.41,53.84,52.10
52.96,53.42,53.89,52.10
53.19,52.67,53.54,52.65
52.26,52.43,52.81,52.00
53.85,54.06,54.21,53.29
54.09,54.43,54.49,53.77
54.66,55.05,55.23,54.64
54.63,53.66,54.78,53.59
53.82,54.32,54.80,53.82
54.98,54.73,55.40,54.70
55.22,54.75,55.30,54.68
55.27,55.38,55.67,54.98
55.15,55.37,55.72,54.88
55.07,55.56,55.63,54.73
55.44,55.36,55.87,55.09
55.48,55.27,55.75,55.07
55.55,56.83,57.17,55.32
56.92,56.52,57.04,56.30
56.62,56.06,56.98,55.98
55.51,55.22,55.98,55.00
55.61,56.36,56.57,55.35
56.52,56.26,56.78,56.01
56.50,57.09,57.38,56.09
57.03,57.36,57.70,56.65
57.89,57.43,57.99,56.88
57.97,57.86,58.09,57.34
57.57,57.26,57.82,56.80
57.73,58.79,58.86,57.67
58.82,59.70,59.70,58.80
59.99,59.71,60.00,59.15
59.75,59.61,59.94,59.35
59.69,59.79,59.99,59.52
59.54,59.61,59.82,58.89
59.94,60.13,60.49,59.86
60.27,60.32,60.66,59.95
60.68,60.78,60.87,60.00
60.76,61.26,61.45,60.54
60.40,60.00,60.81,59.54
60.18,61.27,61.69,59.90
61.36,61.12,61.85,60.62
61.47,61.67,61.88,61.22
62.11,61.34,62.63,61.28
60.87,61.37,61.62,60.75
59.70,60.08,60.48,59.55
60.38,59.58,60.45,59.22
59.38,59.39,59.53,58.80
59.96,58.95,60.12,58.59
59.30,59.34,59.80,58.80
59.39,59.41,59.45,58.37
60.08,61.25,61.46,59.81
61.37,61.81,61.89,61.23
61.50,62.41,62.47,61.35
62.75,62.03,62.95,61.72
61.98,63.21,63.27,61.66
62.90,62.89,63.14,62.59
62.28,62.42,62.62,61.76
62.44,62.07,62.55,62.02
61.29,60.94,61.29,60.50
60.95,60.81,61.44,60.65
61.66,61.75,62.20,61.51
61.69,61.92,61.94,61.11
61.75,61.49,61.75,60.53
60.72,60.52,60.75,60.06
60.78,61.45,61.48,60.70
60.97,60.81,61.37,60.65
60.44,60.68,60.90,59.57
60.11,60.17,60.92,60.02
61.40,62.45,62.48,61.20
62.39,63.70,63.88,62.30
63.66,63.92,64.06,63.53
63.88,64.18,64.44,63.75
64.74,64.37,65.00,64.32
64.50,64.61,64.92,64.04
64.95,64.67,64.96,64.24
64.78,64.58,64.93,64.37
64.88,65.47,66.34,64.80
65.43,65.65,66.00,65.06
65.43,65.12,65.62,65.06
65.32,65.67,65.72,64.83
65.67,65.06,65.89,64.66
65.37,65.99,66.16,65.29
66.35,66.63,66.90,66.18
66.85,67.03,67.16,66.63
66.84,67.08,67.11,66.69
66.85,67.15,67.31,66.64
67.29,67.55,67.70,66.86
67.55,67.93,68.30,67.45
68.00,68.00,68.31,67.72
67.93,68.10,68.58,67.83
68.77,68.24,68.81,68.00
68.61,67.88,68.61,67.10
67.64,67.55,67.78,67.26
67.70,66.97,67.80,66.71
67.12,67.11,67.53,66.61
66.73,66.88,67.10,66.50
67.57,68.17,68.24,67.40
68.63,68.69,68.99,68.29
68.37,67.26,68.69,66.95
67.28,67.72,67.83,66.78
67.92,68.09,68.34,67.61
68.28,67.77,68.29,67.25
67.50,67.21,67.58,66.52
67.88,67.66,67.97,67.02
67.76,68.10,68.25,67.32
67.97,67.48,68.10,66.66
68.04,69.25,69.81,67.58
69.41,69.39,69.72,68.82
69.72,70.56,71.61,69.66
71.29,71.46,71.74,70.50
71.62,71.71,72.01,71.52
71.64,72.11,72.65,71.40
72.13,72.03,72.13,71.13
72.02,71.67,72.25,71.29
71.71,72.29,72.55,71.71
72.25,72.00,72.34,71.64
71.72,70.66,71.75,70.37
70.10,70.08,70.45,69.80
69.87,71.58,72.44,69.75
71.96,73.77,73.94,71.93
73.67,73.50,73.94,73.08
74.08,74.95,75.03,73.97
74.52,75.52,75.99,74.29
75.95,76.62,76.72,75.21
77.61,76.61,78.74,75.79
76.94,78.57,79.60,76.87
78.91,77.28,79.24,76.51
77.31,77.28,77.69,76.78
77.28,77.87,78.34,77.10
78.30,77.83,79.10,77.56
77.55,78.25,78.90,77.42
78.50,79.55,79.81,78.40
79.63,79.98,80.92,79.25
80.62,79.20,81.00,79.11
78.84,78.32,78.91,77.15
78.18,78.04,78.88,77.75
76.99,75.18,77.13,74.70
73.75,76.30,76.93,73.51
75.50,75.84,76.08,75.04
72.48,74.98,75.55,71.13
75.10,73.74,75.45,72.89
75.06,76.72,77.30,74.54
77.87,75.35,78.59,75.34
77.16,77.55,77.97,76.67
77.75,77.22,77.83,77.00
76.87,78.54,78.93,76.80
79.06,79.70,80.05,78.84
79.85,80.24,80.70,79.20
80.03,79.57,80.52,79.57
78.94,78.81,79.46,78.30
79.52,80.69,80.80,79.31
80.82,79.86,81.80,79.83
80.48,79.68,80.75,79.37
80.00,79.68,80.00,79.15
80.01,80.32,80.60,79.60
80.82,80.43,80.90,80.30
80.32,80.40,80.77,79.79
80.75,80.79,81.18,80.43
80.72,80.12,81.75,80.00
79.04,77.16,79.38,76.36
77.76,77.66,78.04,76.87
77.40,78.28,78.62,77.20
78.79,79.12,79.75,78.39
77.41,77.61,78.02,77.15
77.48,78.15,78.38,77.48
79.48,79.99,80.16,79.27
80.27,80.73,80.90,80.02
80.99,80.48,81.00,79.76
80.59,81.21,81.50,80.40
80.39,79.83,80.98,78.40
79.06,77.45,79.39,76.97
77.47,78.89,79.00,77.42
78.87,77.47,78.98,77.02
76.97,74.53,77.02,73.40
74.67,73.65,74.67,72.41
72.84,71.97,72.96,71.21
72.82,72.94,74.44,72.50
73.50,73.72,74.11,73.16
73.89,74.60,74.79,73.56
74.07,72.52,74.19,72.03
72.36,71.52,72.40,70.67
71.69,71.43,71.99,70.61
71.37,71.43,72.11,70.73
70.69,71.54,71.85,70.69
71.82,72.81,73.42,71.51
72.69,72.70,73.15,72.05
72.60,72.61,73.13,71.78
71.54,71.33,71.71,70.84
71.94,71.91,73.05,71.82
71.35,71.97,72.44,71.28
71.93,72.34,72.71,71.56
72.99,72.64,73.35,72.25
73.85,73.22,74.11,72.71
73.18,72.34,73.54,72.06
72.28,72.15,72.88,71.43
70.81,72.39,73.00,70.78
71.90,70.92,72.50,70.60
71.31,70.87,71.69,70.72
70.90,71.46,72.28,70.90
71.95,72.51,73.12,71.40
72.22,71.49,72.46,71.40
71.56,70.75,72.10,70.25
71.52,71.87,72.66,71.52
71.14,70.57,71.82,70.08
70.69,71.62,72.24,70.55
72.23,71.93,72.94,71.31
71.39,72.27,72.78,71.07
73.00,73.73,74.15,72.83
73.45,73.29,74.32,73.27
71.96,73.00,73.04,71.00
72.76,71.43,73.19,71.34
71.32,71.78,72.19,71.27
72.21,73.26,73.37,72.17
73.69,74.02,74.51,73.52
74.35,75.19,75.27,74.33
75.27,75.88,76.00,74.57
75.91,75.85,76.49,75.53
75.91,76.03,76.15,75.57
76.84,76.75,77.00,76.26
75.34,75.91,75.95,75.11
74.83,74.70,75.07,74.41
74.25,74.34,75.21,73.99
74.42,74.40,75.31,73.99
80.11,75.61,80.13,75.50
76.61,76.42,77.03,76.15
76.35,75.44,76.44,75.21
75.99,75.43,76.38,74.70
75.79,75.11,75.92,75.00
74.82,75.81,76.00,74.51
75.71,75.26,75.85,75.08
74.57,74.55,75.26,74.33
74.56,73.61,74.70,73.48
74.19,73.13,74.49,73.12
73.10,72.77,73.52,72.55
72.02,71.99,72.70,71.45
73.46,71.99,73.46,71.44
71.51,70.63,72.43,70.60
70.64,70.56,71.26,69.38
69.41,66.92,69.51,66.78
67.12,67.75,69.25,65.25
65.17,61.92,67.47,61.83
62.90,64.56,64.69,60.40
64.48,62.71,65.17,62.05
62.63,65.52,66.42,62.40
66.55,66.05,67.12,65.32
67.06,67.48,68.25,66.78
66.83,66.54,67.06,65.75
67.29,66.82,67.61,66.37
65.50,63.79,65.52,63.08
63.08,63.59,64.94,63.00
65.38,63.33,65.69,63.02
63.52,65.71,65.72,63.49
65.37,66.12,66.21,64.81
66.61,64.78,66.88,64.50
64.28,65.51,66.02,63.50
66.68,67.78,67.84,66.58
66.84,67.84,68.33,66.22
68.30,68.07,68.75,67.55
68.66,67.97,68.87,67.63
66.41,66.44,66.92,65.73
64.21,65.70,65.83,63.80
66.66,67.31,67.39,66.37
67.00,65.88,67.50,65.38
64.96,64.23,65.76,63.87
63.42,64.24,64.26,62.95
64.46,64.76,65.28,63.78
65.03,65.97,66.88,64.32
66.49,66.92,67.04,66.06
67.39,67.29,67.50,66.25
65.89,66.77,67.22,65.39
67.09,67.01,68.22,66.70
66.83,64.95,67.20,64.95
62.99,62.87,63.32,61.83
61.86,62.51,63.24,61.80
62.94,64.13,64.21,61.79
65.43,64.26,65.95,63.88
63.78,63.23,65.53,63.04
64.66,64.37,64.67,63.07
62.98,63.32,64.64,62.98
62.71,60.99,62.91,60.95
60.06,62.27,62.35,58.65
63.12,63.93,64.01,62.23
63.20,64.35,64.43,62.92
64.76,64.16,65.08,63.45
65.53,66.95,67.10,65.44
66.35,67.02,67.37,66.28
67.71,67.85,68.52,67.19
66.21,67.04,67.31,66.09
68.00,68.99,68.99,67.82
68.72,68.34,69.16,67.79
68.10,69.21,70.00,67.89
69.35,69.56,70.67,69.06
69.48,70.27,70.62,69.00
71.01,71.83,72.00,70.88
71.82,72.12,72.41,71.35
72.19,70.68,72.19,70.45
72.13,71.89,72.47,70.16
73.23,73.65,73.70,72.45
72.77,71.74,72.97,71.51
70.67,69.65,70.89,69.65
67.91,67.92,68.86,67.25
69.22,69.10,69.86,68.60
69.78,70.50,70.77,68.95
69.83,70.71,70.84,69.57
70.83,71.58,71.87,70.44
71.97,72.74,72.97,71.18
70.82,70.22,71.72,69.90
71.19,71.44,71.82,70.15
72.28,72.14,72.78,71.98
71.81,71.70,72.12,71.14
71.57,71.99,72.50,71.42
71.19,69.76,71.50,69.41
69.62,69.56,70.89,68.98
69.91,69.27,69.99,68.84
68.30,68.85,69.20,67.87
68.68,68.14,68.93,67.91
67.28,66.93,67.76,66.93
66.76,66.14,67.17,66.13
68.08,67.27,68.27,66.69
67.50,68.14,68.49,67.27
70.03,71.32,71.37,70.01
71.16,71.76,71.89,71.02
72.41,72.55,73.12,71.84
73.22,72.82,73.90,72.33
72.91,72.54,73.30,72.54
72.17,72.41,72.88,71.65
72.06,71.02,72.33,70.80
71.39,71.95,72.36,71.34
71.15,70.48,71.40,69.75
70.94,69.85,71.65,69.56
69.42,68.52,69.95,68.16
69.01,68.29,69.33,67.96
69.10,68.40,69.11,67.98
68.04,67.85,68.75,67.65
69.23,69.78,70.00,69.13
69.96,70.62,70.78,69.74
70.73,71.74,71.91,70.60
71.88,72.43,72.44,71.82
72.19,72.94,73.17,72.19
72.94,71.82,73.11,71.75
71.91,72.87,72.91,71.91
72.92,72.87,73.20,72.71
73.92,74.17,74.83,73.92
73.90,73.82,74.09,73.27
73.26,73.23,73.47,72.63
73.46,72.66,73.50,72.59
72.76,72.94,73.04,72.48
73.55,73.28,73.82,73.10
72.88,72.01,73.03,71.95
71.45,70.76,71.70,70.67
70.39,70.34,70.89,70.05
71.00,70.80,71.26,70.49
70.89,71.50,71.73,70.50
71.72,71.27,71.79,70.81
71.03,71.20,71.20,70.42
70.78,70.56,71.04,70.40
70.14,70.61,70.93,70.02
71.51,69.98,71.62,69.01
70.48,69.53,70.49,69.36
69.08,69.40,69.76,68.79
68.91,68.72,69.06,68.25
69.01,68.21,69.17,68.00
68.90,69.32,69.65,68.54
69.21,69.91,70.07,69.20
70.60,70.46,70.66,70.06
70.24,71.32,71.36,70.20
71.48,71.92,72.13,71.27
72.29,72.25,72.43,71.72
72.24,71.55,72.50,71.24
71.68,72.25,72.47,71.45
72.69,72.81,72.91,71.98
72.62,73.60,73.91,72.61
74.00,73.45,74.00,73.12
72.92,72.78,72.95,72.14
73.15,73.36,73.52,72.96
73.94,73.83,74.13,73.62
74.03,74.13,74.49,73.91
74.37,74.81,75.00,74.20
75.08,75.95,76.25,75.00
75.89,76.43,76.84,75.70
76.76,77.27,77.43,76.40
77.33,76.55,77.72,76.06
77.11,78.22,78.24,77.01
77.92,77.65,78.19,77.40
77.25,77.56,77.72,76.78
76.30,76.45,76.71,75.93
76.45,77.02,77.50,76.29
77.46,77.22,77.65,77.14
77.23,77.16,78.00,77.08
77.17,77.31,77.80,76.98
77.68,77.76,77.81,77.04
77.79,77.51,78.11,77.28
77.49,76.63,77.70,76.13
76.90,77.18,77.49,76.79
77.23,78.07,78.29,77.02
77.51,77.57,77.99,77.11
77.77,77.29,77.81,76.98
76.86,75.89,77.00,75.72
76.01,76.51,76.88,75.55
77.08,77.36,77.44,76.93
77.48,76.84,77.50,76.80
76.62,75.98,76.79,75.51
75.20,75.80,75.85,74.44
76.16,76.01,76.57,75.84
75.99,76.87,79.96,75.88
76.66,76.31,76.75,75.68
75.73,76.18,76.75,75.40
76.06,75.36,76.35,75.25
74.66,75.05,75.49,74.60
74.95,73.69,75.25,73.44
74.39,73.55,74.78,73.42
73.48,74.53,74.74,73.48
74.17,73.63,74.65,73.63
73.81,73.83,74.52,73.62
74.40,74.26,74.68,74.22
73.32,73.29,73.83,73.17
73.19,72.89,73.39,72.30
73.11,72.88,73.54,72.67
71.74,72.33,72.72,71.37
72.14,71.88,72.44,71.82
72.22,71.02,72.22,70.53
71.07,72.19,72.36,70.92
72.37,71.98,72.50,71.53
71.95,71.63,72.30,71.40
55.92,56.51,56.74,55.46
55.83,54.59,55.83,54.43
54.67,54.26,54.96,53.81
53.80,53.17,54.00,52.96
52.24,53.35,53.43,52.13
52.84,54.31,54.49,52.73
53.68,53.47,53.93,52.68
54.09,54.22,54.60,53.82
54.01,53.50,54.50,53.43
52.66,52.93,53.17,52.51
53.00,52.53,53.12,52.41
52.75,52.32,53.11,52.32
51.80,51.19,52.08,51.17
51.33,50.82,51.61,50.66
50.82,51.77,51.88,50.80
51.99,51.67,52.45,51.36
51.30,52.09,52.12,50.97
52.36,52.14,52.39,51.57
52.22,52.11,52.44,51.97
52.91,53.27,53.50,52.71
52.69,52.04,52.76,51.91
52.19,52.16,52.64,51.34
51.40,51.19,51.64,50.89
51.40,51.30,51.52,50.62
51.78,51.87,52.00,51.35
52.40,53.58,53.58,52.40
54.24,53.81,54.59,53.75
53.77,53.97,54.28,53.57
54.51,53.88,54.77,53.80
54.27,54.71,54.75,53.94
54.63,54.10,54.84,53.84
54.03,54.68,54.89,53.80
54.76,55.46,55.46,54.71
55.03,55.07,55.24,54.54
55.50,55.64,56.00,55.30
55.34,54.44,55.55,53.99
54.32,52.76,54.48,52.68
53.19,53.41,53.70,52.75
52.82,52.96,53.05,52.29
53.35,53.64,53.89,53.00
53.89,54.45,54.60,53.74
54.07,54.53,54.61,53.66
55.68,55.88,55.88,55.25
55.97,55.73,56.10,55.19
56.01,56.41,56.47,55.82
56.23,55.28,56.31,55.19
54.77,54.75,54.91,54.25
54.67,54.33,54.75,54.05
54.61,53.48,54.75,53.23
53.50,54.36,54.65,53.39
53.85,53.98,54.25,53.50
54.24,54.98,55.05,54.11
54.91,55.46,55.62,54.60
55.77,56.28,56.36,55.08
56.21,56.77,56.89,56.02
56.42,56.37,56.56,55.95
56.07,55.99,56.07,55.51
54.82,55.05,55.19,54.35
55.04,54.64,55.13,53.83
54.26,53.24,54.60,52.84
54.03,54.40,54.53,53.32
54.87,54.97,55.16,54.48
54.94,54.86,55.16,54.56
54.85,54.44,55.10,54.16
54.64,55.22,55.42,54.28
54.62,54.65,55.21,54.19
55.56,55.71,55.99,55.41
55.93,55.89,56.39,55.80
56.34,56.45,56.70,56.24
56.03,57.17,57.35,56.03
57.17,57.09,57.37,56.85
56.80,57.28,57.32,56.58
57.46,57.31,57.65,57.04
57.67,57.35,57.76,57.21
57.36,57.24,57.50,57.07
57.29,57.55,57.68,57.22
57.74,57.39,57.77,57.25
57.34,57.03,57.37,56.87
57.11,56.63,57.30,56.57
56.49,56.68,56.78,56.20
56.65,56.16,56.65,56.06
56.07,56.36,56.44,55.78
56.42,56.38,56.77,56.33
56.44,56.46,56.63,56.27
56.38,56.35,56.56,56.16
56.13,56.11,56.34,55.98
56.57,56.79,57.13,56.54
56.74,56.21,57.00,56.00
56.16,54.87,56.18,54.83
55.27,55.79,56.18,55.27
56.03,56.64,56.68,56.00
56.67,56.18,56.68,56.15
56.42,56.37,56.80,56.35
56.73,56.54,56.78,56.36
56.67,57.65,57.96,56.10
57.89,58.21,58.90,57.89
58.10,58.30,58.75,58.02
58.36,57.82,58.39,57.60
57.71,57.31,57.88,57.26
57.11,57.59,57.76,56.77
57.76,57.36,57.85,57.13
57.10,57.96,58.06,57.05
58.06,57.41,58.08,57.35
57.32,57.01,57.47,56.88
57.30,57.39,57.46,57.02
57.17,57.18,57.32,56.83
57.48,57.41,57.85,57.25
57.70,57.37,57.82,57.04
57.32,56.77,57.39,56.59
57.12,57.40,57.45,56.81
57.61,57.58,58.03,57.41
57.37,57.62,57.69,57.27
57.71,57.80,58.23,57.62
57.70,57.24,57.83,57.13
57.08,56.63,57.08,56.63
56.80,56.17,56.89,55.90
56.17,56.79,56.89,55.89
57.15,57.62,57.80,56.96
57.47,58.12,58.28,57.36
58.25,58.27,58.52,58.10
58.20,57.45,58.35,57.33
57.52,57.04,57.54,56.43
56.26,56.06,56.33,55.70
56.08,55.95,56.43,55.81
56.71,57.16,57.53,56.65
57.01,57.31,57.57,57.00
57.61,57.85,57.92,57.50
58.00,58.42,58.50,57.92
58.61,57.65,58.80,57.56
57.49,57.53,57.82,57.28
57.54,58.22,58.41,57.46
57.43,56.77,57.55,56.57
56.73,55.86,56.99,55.85
55.68,55.67,56.26,55.61
55.83,55.64,56.05,55.44
55.31,55.35,56.00,55.25
55.37,54.77,55.70,54.66
54.65,54.59,55.14,54.12
54.57,55.03,55.14,53.95
55.69,55.73,56.01,55.43
55.63,55.63,55.69,55.16
55.82,56.05,56.06,55.53
56.31,56.67,56.70,56.09
56.23,56.80,56.80,56.01
56.67,56.18,57.01,56.14
55.94,57.06,57.07,55.78
57.31,56.98,57.38,56.87
57.13,56.94,57.20,56.75
57.33,57.17,57.40,56.87
57.07,56.84,57.20,56.57
56.84,57.18,57.61,56.65
57.18,57.35,57.51,56.92
57.49,57.94,57.94,57.40
57.59,57.88,58.08,57.59
58.01,58.12,58.38,57.85
58.36,58.20,58.75,58.09
58.10,57.88,58.13,57.53
57.59,57.69,57.91,57.55
57.98,58.28,58.66,57.67
58.22,59.30,59.34,58.18
59.34,59.20,59.65,59.20
59.30,59.28,59.50,58.53
58.54,58.61,59.03,58.21
58.56,58.44,58.69,58.33
58.62,57.95,58.67,57.88
58.00,57.90,58.19,57.20
57.63,57.07,57.70,57.01
56.98,57.99,58.02,56.84
59.15,59.21,59.23,58.51
59.14,59.17,59.47,58.87
59.29,59.83,59.90,59.25
59.63,59.17,59.71,59.04
58.99,58.37,59.09,58.25
58.59,58.25,58.67,58.16
58.53,58.50,58.63,58.12
58.33,58.27,58.36,58.02
58.20,58.47,58.55,58.19
58.40,59.03,59.08,58.28
58.94,58.88,59.14,58.73
59.11,59.14,59.32,58.65
59.06,59.27,59.36,58.97
59.30,59.98,59.98,59.17
59.84,59.55,59.92,59.43
59.67,60.41,60.58,59.52
60.47,61.06,61.10,60.34
60.88,60.75,60.94,60.18
61.00,61.66,61.76,60.94
61.67,61.09,62.05,60.92
59.20,58.00,59.46,57.81
58.47,58.82,58.84,58.02
58.47,58.03,58.48,58.00
58.44,57.72,58.53,57.62
57.50,57.59,57.70,57.05
57.67,57.63,57.84,57.36
57.82,57.87,57.87,57.58
57.94,57.59,57.94,57.53
57.84,58.25,58.26,57.60
58.35,58.61,58.62,58.00
57.80,57.92,58.01,57.62
57.90,57.02,58.01,56.78
57.64,58.60,58.61,57.52
58.60,57.67,58.61,57.64
57.56,58.11,58.16,57.09
58.30,58.20,58.33,57.65
58.47,56.89,58.55,56.83
57.30,57.75,57.92,56.95
57.56,58.04,58.18,57.41
57.90,57.95,58.30,57.85
57.93,58.28,58.28,57.65
58.14,57.62,58.19,57.25
57.94,57.66,58.01,57.36
57.93,58.00,58.04,57.44
58.00,57.86,58.14,57.85
57.97,58.39,58.49,57.83
58.41,58.44,58.60,58.08
58.56,58.73,58.92,58.45
58.76,58.78,58.94,58.56
59.00,59.52,59.56,58.87
59.10,59.07,59.39,58.81
58.67,59.15,59.65,58.55
59.21,59.31,59.48,58.71
60.00,60.44,60.54,59.63
60.17,60.94,61.03,60.01
61.11,60.91,61.11,60.68
61.00,60.21,61.19,60.06
60.50,60.44,60.62,60.08
60.20,60.38,60.71,60.03
60.40,60.10,60.59,60.06
60.20,60.48,60.70,60.02
60.58,60.04,60.65,59.85
60.14,59.28,60.35,59.13
59.22,58.88,59.41,58.70
58.38,58.54,58.69,58.06
58.60,59.31,59.34,58.51
59.51,59.78,60.06,59.00
59.98,60.25,60.60,59.89
60.40,60.16,60.63,59.83
59.63,59.36,59.86,59.08
58.72,57.24,58.72,57.20
58.01,57.44,58.01,56.88
57.17,56.81,57.20,56.38
56.96,57.32,57.57,56.46
57.64,57.49,57.99,57.04
57.58,57.39,57.79,56.92
57.61,57.78,57.80,57.00
57.89,58.26,58.55,57.89
58.37,58.37,58.77,57.72
58.42,58.91,59.00,58.36
59.29,59.90,60.05,59.02
59.84,60.45,60.45,59.51
60.15,60.01,60.72,59.90
60.10,60.96,61.23,59.95
61.41,61.92,61.97,61.25
61.96,62.22,62.42,61.71
62.38,62.84,62.99,62.26
62.80,62.59,62.94,62.33
62.56,62.58,62.89,62.33
62.44,62.23,62.58,61.82
62.11,62.00,62.33,61.75
62.02,63.06,63.14,61.84
62.84,62.42,62.84,61.86
62.37,62.43,62.87,62.24
62.39,63.31,63.31,62.37
63.30,64.03,64.46,63.25
64.25,64.31,64.77,63.80
63.54,62.74,63.97,62.57
62.03,62.79,62.93,61.90
62.54,62.53,62.62,62.18
63.24,62.84,63.61,62.72
62.49,62.78,63.01,62.20
62.58,62.28,62.61,62.05
62.12,61.34,62.65,61.34
61.58,62.09,62.10,61.28
61.89,61.68,62.08,61.32
61.96,61.62,62.11,61.44
61.52,61.91,61.92,60.96
62.17,62.32,62.38,61.76
62.36,62.20,62.44,61.95
61.72,61.91,62.18,61.36
62.27,60.88,62.27,60.79
60.67,61.65,61.72,60.38
61.67,61.03,61.71,60.86
61.45,61.94,62.05,61.44
61.94,62.10,62.23,61.75
62.15,61.71,62.57,61.71
61.13,60.28,61.21,60.12
