INVT,Inventergy Global,NASDAQ
1.85,1.77,1.85,1.77
1.77,1.78,1.83,1.77
1.77,1.76,1.77,1.76
1.77,1.77,1.78,1.76
1.79,1.81,1.99,1.77
1.85,1.80,1.86,1.80
1.81,1.76,1.81,1.76
1.76,1.76,1.76,1.76
1.78,1.79,1.79,1.78
1.79,1.72,1.79,1.71
1.72,1.60,1.72,1.57
1.60,1.58,1.60,1.58
1.56,1.59,1.59,1.56
1.59,1.52,1.59,1.51
1.59,1.57,1.59,1.57
1.59,1.54,1.59,1.50
1.50,1.50,1.51,1.50
1.54,1.54,1.54,1.54
1.53,1.54,1.54,1.53
1.50,1.53,1.53,1.49
1.53,1.52,1.54,1.40
1.52,1.52,1.52,1.52
1.51,1.42,1.51,1.38
1.36,1.48,1.54,1.34
1.26,1.36,1.38,1.26
1.36,1.37,1.37,1.36
1.38,1.42,1.42,1.37
1.35,1.37,1.39,1.35
1.40,1.40,1.41,1.32
1.34,1.32,1.34,1.32
1.32,1.36,1.36,1.32
1.35,1.32,1.35,1.31
1.32,1.31,1.36,1.31
1.35,1.34,1.35,1.31
1.34,1.34,1.34,1.34
1.31,1.30,1.32,1.28
1.30,1.30,1.30,1.30
1.27,1.31,1.31,1.27
1.31,1.43,1.44,1.30
1.44,2.10,2.65,1.44
2.16,2.81,3.25,2.15
2.81,2.56,2.81,2.30
2.36,2.45,2.56,2.33
2.56,2.26,2.56,2.20
2.22,2.00,2.26,1.99
2.00,1.91,2.05,1.91
2.00,1.85,2.00,1.85
1.86,1.92,1.93,1.75
1.93,1.99,2.14,1.88
1.96,1.68,2.04,1.64
1.77,1.72,1.79,1.72
1.84,1.79,1.84,1.62
1.79,1.64,1.84,1.64
1.68,1.65,1.72,1.61
1.72,1.65,1.72,1.65
1.68,1.79,1.84,1.68
1.76,1.75,1.80,1.73
1.75,1.72,1.75,1.66
1.70,1.73,1.75,1.62
1.70,1.77,2.01,1.70
1.76,1.93,2.14,1.71
1.98,1.81,2.00,1.81
1.81,1.75,1.81,1.75
1.75,1.63,1.80,1.60
1.66,2.33,2.45,1.60
2.35,2.39,3.35,2.21
2.35,2.13,2.45,2.02
2.09,1.97,2.09,1.95
1.98,1.79,1.98,1.79
1.79,1.82,1.85,1.70
1.82,1.78,1.83,1.71
1.75,1.87,1.88,1.75
1.78,1.80,1.87,1.78
1.82,1.74,1.83,1.74
1.73,1.77,1.82,1.56
1.65,1.73,1.79,1.65
1.73,1.68,1.79,1.68
1.74,1.65,1.84,1.65
1.65,1.70,1.78,1.65
1.70,1.67,1.76,1.67
1.66,1.70,1.77,1.66
1.73,1.67,1.74,1.66
1.65,1.65,1.70,1.64
1.68,1.65,1.70,1.63
1.65,1.62,1.65,1.60
1.65,2.10,2.29,1.61
2.06,1.91,2.23,1.87
1.91,1.93,2.07,1.78
1.93,1.90,1.93,1.87
1.89,1.92,1.92,1.86
1.89,1.87,1.91,1.87
1.86,1.74,1.87,1.72
1.71,1.88,1.89,1.71
1.76,1.85,1.88,1.75
1.80,1.80,1.82,1.80
1.83,1.79,1.83,1.77
1.80,1.79,1.80,1.79
1.75,1.73,1.75,1.73
1.70,1.66,1.73,1.65
1.72,1.78,1.79,1.67
1.79,1.67,1.79,1.67
1.66,1.70,1.76,1.63
1.72,1.55,1.72,1.55
1.56,1.67,1.72,1.54
1.59,1.47,1.61,1.47
1.46,1.50,1.58,1.46
1.60,1.55,1.61,1.49
1.56,1.54,1.56,1.52
1.60,1.67,1.67,1.60
1.67,1.75,1.82,1.61
1.72,1.73,1.88,1.70
1.90,1.68,1.90,1.68
1.72,1.67,1.72,1.57
1.63,1.59,1.63,1.57
1.58,1.55,1.63,1.55
1.55,1.55,1.56,1.55
1.55,1.54,1.62,1.54
1.52,1.56,1.70,1.50
1.53,1.63,1.63,1.53
1.65,1.68,1.68,1.62
1.67,1.73,1.74,1.67
1.73,1.71,1.73,1.62
1.79,1.71,1.79,1.70
1.69,1.59,1.69,1.59
1.62,1.61,1.74,1.58
1.65,1.65,1.70,1.65
1.68,1.67,1.68,1.63
1.65,1.55,1.65,1.55
1.57,1.74,1.74,1.57
1.72,1.66,1.75,1.58
1.67,1.70,1.70,1.65
1.75,1.67,1.76,1.67
1.74,1.74,1.74,1.74
1.68,1.63,1.68,1.63
1.68,1.58,1.69,1.55
1.72,1.59,1.77,1.58
1.60,1.69,1.69,1.56
1.60,1.50,1.60,1.50
1.55,1.40,1.57,1.39
1.46,1.52,1.52,1.46
1.42,1.50,1.50,1.42
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.50,1.36,1.50,1.33
1.64,1.45,1.64,1.34
1.37,1.44,1.44,1.35
1.49,1.50,1.50,1.49
1.63,1.37,1.63,1.37
1.44,1.38,1.44,1.36
1.37,1.37,1.58,1.28
1.40,1.40,1.40,1.40
1.55,1.35,1.55,1.35
1.40,1.44,1.50,1.39
1.48,1.47,1.48,1.38
1.38,1.37,1.45,1.35
1.36,1.40,1.40,1.36
1.45,1.36,1.45,1.36
1.44,1.36,1.45,1.36
1.44,1.45,1.45,1.36
1.50,1.54,1.62,1.45
1.67,1.64,1.67,1.59
1.58,1.61,1.80,1.50
1.57,1.62,1.64,1.55
1.55,1.49,1.55,1.49
1.50,1.43,1.50,1.43
1.42,1.44,1.51,1.41
1.58,1.47,1.58,1.47
1.47,1.47,1.47,1.47
1.40,1.26,1.40,1.17
1.34,1.16,1.34,1.16
1.16,1.23,1.23,1.16
1.22,1.19,1.27,1.19
1.19,1.19,1.20,1.19
1.20,1.19,1.20,1.17
1.18,1.15,1.18,1.08
1.14,1.19,1.21,1.12
1.10,1.19,1.21,1.10
1.19,1.19,1.19,1.19
1.09,1.13,1.22,1.09
1.13,1.13,1.13,1.13
1.11,1.16,1.16,1.11
1.11,1.18,1.18,1.11
1.10,1.15,1.18,1.06
1.03,1.03,1.03,1.03
1.09,1.02,1.09,1.02
1.00,1.00,1.03,1.00
0.98,1.12,1.18,0.92
1.06,1.14,1.19,1.06
1.04,1.05,1.05,0.98
1.09,1.10,1.12,1.05
1.10,1.06,1.10,1.05
1.05,1.12,1.12,1.05
1.05,1.02,1.05,1.01
1.17,1.02,1.18,1.02
1.65,1.99,2.88,1.65
1.99,1.59,2.15,1.54
1.53,1.43,1.69,1.37
1.42,1.25,1.48,1.23
1.25,1.27,1.33,1.25
1.30,1.45,1.64,1.30
1.41,1.40,1.49,1.37
1.53,1.45,1.53,1.40
1.44,1.38,1.45,1.38
1.34,1.29,1.36,1.24
1.25,1.30,1.30,1.24
1.28,1.32,1.34,1.28
1.24,1.37,1.37,1.24
1.36,1.33,1.45,1.28
1.33,1.36,1.45,1.33
1.38,1.31,1.41,1.30
1.31,1.31,1.37,1.31
1.33,1.34,1.42,1.31
1.32,1.32,1.33,1.32
1.34,1.34,1.41,1.34
1.38,1.32,1.39,1.32
1.35,1.31,1.44,1.31
1.34,1.36,1.36,1.34
1.37,1.38,1.38,1.31
1.36,1.34,1.36,1.32
1.31,1.34,1.38,1.31
1.35,1.36,1.36,1.30
1.36,1.46,1.59,1.36
1.47,1.46,1.47,1.35
1.43,1.42,1.49,1.36
1.41,1.34,1.41,1.33
1.35,1.35,1.36,1.32
1.35,1.34,1.45,1.34
1.35,1.40,1.45,1.33
1.39,1.38,1.42,1.35
1.38,1.33,1.45,1.31
1.33,1.37,1.45,1.33
1.39,1.46,1.59,1.38
1.50,1.51,1.53,1.44
1.42,1.66,1.74,1.42
1.63,1.62,1.69,1.55
1.62,1.50,1.90,1.47
1.50,1.55,1.73,1.50
1.65,1.65,1.71,1.57
1.65,1.63,1.69,1.56
1.54,1.61,1.63,1.54
1.61,1.57,1.61,1.56
1.56,1.62,1.62,1.55
1.65,1.65,1.70,1.65
1.70,1.58,1.70,1.58
1.60,1.64,1.70,1.55
1.61,1.62,1.64,1.56
1.61,1.64,1.65,1.61
1.64,1.62,1.65,1.55
1.60,1.61,1.64,1.60
1.64,1.57,1.67,1.57
1.58,1.63,1.64,1.55
1.66,1.73,1.75,1.59
1.72,1.66,1.79,1.62
1.61,1.63,1.67,1.61
1.63,1.69,1.71,1.61
1.58,1.34,1.58,1.25
1.34,1.30,1.44,1.26
1.30,1.34,1.37,1.26
1.30,1.32,1.39,1.30
1.32,1.37,1.37,1.32
1.32,1.32,1.35,1.30
1.30,1.29,1.35,1.29
1.29,1.29,1.29,1.29
1.27,1.25,1.27,1.25
1.25,1.31,1.32,1.25
1.25,1.26,1.26,1.25
1.24,1.21,1.27,1.20
1.28,1.25,1.28,1.25
1.25,1.25,1.25,1.25
1.21,1.20,1.21,1.18
1.18,1.40,1.40,1.18
1.43,1.34,1.43,1.32
1.37,1.35,1.39,1.35
1.34,1.30,1.34,1.30
1.31,1.30,1.36,1.29
1.31,1.36,1.45,1.20
1.36,1.36,1.36,1.36
1.33,1.36,1.36,1.31
1.38,1.40,1.43,1.35
1.33,1.31,1.38,1.30
1.31,1.35,1.35,1.31
1.35,1.41,1.41,1.35
1.32,1.42,1.42,1.30
1.35,1.31,1.35,1.31
1.32,1.30,1.38,1.30
1.32,1.36,1.36,1.26
1.31,1.27,1.35,1.26
1.27,1.27,1.27,1.27
1.27,1.20,1.31,1.18
1.22,1.20,1.33,1.08
1.20,1.25,1.25,1.19
1.24,1.24,1.25,1.22
1.25,1.25,1.25,1.25
1.23,1.21,1.25,1.21
1.21,1.22,1.22,1.21
1.22,1.17,1.22,1.16
1.19,1.13,1.19,1.12
1.16,1.11,1.16,1.10
1.07,1.13,1.18,1.07
1.12,1.07,1.13,1.07
1.11,1.04,1.11,0.99
0.99,1.10,1.10,0.99
1.03,1.05,1.16,1.03
1.05,1.05,1.21,1.05
1.05,1.18,1.21,1.05
1.18,1.11,1.21,1.10
1.20,1.11,1.25,1.10
1.11,1.11,1.11,1.11
1.12,1.11,1.19,1.11
1.11,1.20,1.20,1.11
1.12,1.18,1.18,1.07
1.12,1.04,1.12,1.04
1.08,1.07,1.13,1.05
1.08,1.05,1.08,1.05
1.09,1.22,1.23,1.08
1.23,1.40,1.59,1.22
1.47,1.38,1.48,1.27
1.40,1.25,1.40,1.10
1.17,1.10,1.25,1.10
1.11,1.15,1.15,1.11
1.13,1.15,1.17,1.12
1.15,1.20,1.20,1.11
1.14,1.20,1.20,1.12
1.23,1.20,1.23,1.13
1.12,1.20,1.20,1.11
1.16,1.14,1.16,1.10
1.10,1.10,1.11,1.10
1.10,1.13,1.13,1.05
1.08,1.06,1.08,1.06
1.08,1.02,1.08,1.02
1.04,0.99,1.13,0.99
1.02,0.99,1.02,0.99
1.08,0.99,1.08,0.99
0.99,0.99,1.01,0.99
1.00,0.99,1.00,0.99
0.99,0.91,1.05,0.90
0.95,0.95,0.95,0.95
0.95,1.00,1.20,0.93
0.99,0.95,0.99,0.95
0.89,0.89,0.99,0.83
0.95,0.85,0.97,0.85
0.89,0.87,0.90,0.87
0.93,0.87,0.94,0.87
0.86,0.92,0.92,0.85
0.92,0.92,0.92,0.87
0.92,0.87,0.92,0.87
0.87,0.87,0.87,0.87
0.90,0.90,0.90,0.90
0.86,0.90,0.94,0.86
0.90,0.86,0.90,0.86
0.88,0.85,0.88,0.85
0.86,0.89,0.89,0.86
0.87,0.86,0.90,0.86
0.87,0.87,0.87,0.87
0.87,0.88,0.88,0.87
0.96,0.90,0.96,0.87
0.90,0.90,0.90,0.90
0.92,0.92,0.93,0.92
0.92,0.86,0.93,0.86
0.89,0.89,0.89,0.86
0.92,0.89,0.92,0.89
0.89,0.89,0.89,0.89
0.89,0.88,0.89,0.88
0.92,0.90,0.92,0.90
0.92,0.90,0.92,0.90
0.87,0.86,0.87,0.86
0.86,0.83,0.86,0.81
0.82,0.82,0.82,0.82
0.85,0.87,0.87,0.85
0.81,0.85,0.90,0.78
0.83,0.83,0.83,0.83
0.83,0.83,0.83,0.83
0.83,0.83,0.83,0.83
0.88,0.89,0.89,0.79
0.85,0.80,0.85,0.79
0.78,0.77,0.84,0.75
0.80,0.82,0.86,0.79
