USLM,United States Lime & Minerals,NASDAQ
36.39,39.20,39.20,36.39
38.91,39.07,39.40,38.91
39.30,39.30,39.30,39.30
39.60,39.99,40.50,39.26
40.50,40.00,40.71,39.71
40.26,39.32,40.30,38.79
39.27,40.11,40.31,38.64
39.78,39.59,40.41,39.34
38.45,39.17,41.36,37.69
39.24,38.25,39.24,38.18
38.11,37.04,38.11,36.10
37.04,38.52,38.85,36.90
38.85,38.59,38.99,38.49
39.30,37.90,39.30,37.51
38.28,37.54,38.28,37.54
36.91,37.20,37.36,36.44
37.40,37.94,38.00,37.40
37.22,37.84,38.00,37.22
37.23,37.00,37.58,36.90
36.98,38.36,38.50,36.75
37.85,37.55,37.85,37.32
38.16,37.37,38.16,37.36
37.10,36.00,37.10,36.00
35.80,38.09,38.18,35.59
38.30,39.44,39.76,37.87
39.51,37.94,39.95,37.53
38.39,38.90,39.80,37.86
38.80,38.67,38.80,37.75
38.89,39.02,39.02,38.01
39.42,39.65,39.86,38.70
38.58,41.21,41.30,38.46
41.62,41.08,41.62,40.70
40.44,42.72,42.72,40.44
42.99,42.71,42.99,42.55
42.70,42.06,42.70,42.03
42.73,42.83,42.85,42.30
42.58,42.26,42.63,42.26
41.95,42.30,42.52,41.50
41.00,41.37,42.24,40.85
40.88,40.33,40.88,40.33
40.21,39.14,40.21,39.14
38.79,38.29,38.89,38.02
38.30,37.23,38.76,36.73
37.26,37.87,39.00,37.18
38.36,38.25,38.48,38.02
38.88,38.43,38.88,38.42
38.72,36.85,38.72,36.85
36.85,36.20,37.40,35.82
36.54,35.91,36.80,35.72
35.72,35.65,36.30,35.64
35.55,36.09,36.09,35.20
35.90,35.72,36.00,35.72
36.20,36.69,36.88,35.56
36.69,36.58,37.30,36.33
37.17,38.26,38.47,36.83
38.81,39.00,39.50,38.05
39.32,39.40,39.41,39.32
39.55,39.60,39.60,39.55
39.45,38.86,39.60,38.86
39.27,39.25,39.27,38.15
39.70,38.51,39.78,38.38
39.02,39.17,39.17,38.72
38.96,39.50,39.50,38.21
39.53,39.03,39.53,38.80
38.71,38.71,38.71,38.71
38.51,38.26,38.51,38.26
38.71,38.44,38.88,38.14
37.97,38.72,38.94,37.86
38.73,37.98,38.79,37.90
38.00,38.38,38.38,38.00
38.39,37.86,38.79,37.86
38.24,38.58,38.90,38.04
38.59,37.85,38.59,37.02
37.53,38.24,38.25,37.50
38.23,38.20,38.52,37.99
38.75,38.66,39.00,38.35
37.85,38.10,38.10,37.75
38.11,37.82,38.13,37.50
37.99,39.05,39.05,37.99
38.72,39.12,39.75,38.40
39.48,39.86,39.91,38.17
39.80,39.85,39.96,39.70
39.24,39.52,39.69,39.21
39.43,38.85,39.70,38.21
39.76,40.55,40.70,38.48
40.55,40.00,40.55,39.98
40.55,40.75,40.75,39.86
40.41,40.78,40.78,40.41
40.35,40.42,40.69,40.25
40.28,41.07,41.08,40.28
41.00,40.06,41.00,39.91
40.08,40.60,40.60,40.07
40.60,40.58,40.96,40.40
40.58,40.82,40.93,40.51
40.79,40.32,40.79,40.32
40.20,39.92,40.39,39.80
39.68,40.50,40.80,38.70
39.50,39.84,40.07,39.50
39.04,39.91,39.92,39.04
39.15,39.44,40.22,38.65
39.38,40.67,40.67,39.38
39.72,41.24,41.24,39.72
41.16,40.29,41.24,40.08
39.73,38.75,40.62,38.02
38.70,39.95,39.95,38.02
39.66,40.12,40.15,39.66
39.67,39.57,39.67,39.57
40.04,39.78,40.04,39.78
39.21,39.21,39.21,39.21
38.65,39.38,39.71,38.20
39.37,39.69,39.69,39.07
39.77,40.04,40.05,39.15
40.04,40.92,40.92,39.32
40.79,40.22,40.88,39.74
40.25,40.66,40.95,40.25
40.66,40.66,40.66,40.66
40.66,40.43,40.66,39.55
40.46,41.00,41.00,39.87
41.24,40.57,41.24,40.06
40.07,40.07,40.15,40.07
40.00,40.19,40.19,39.55
40.33,39.84,40.33,39.65
40.37,40.61,40.70,40.23
40.55,40.49,40.75,40.49
40.49,40.39,40.51,40.05
40.39,40.65,40.75,40.39
40.74,40.32,40.74,40.00
40.68,39.93,40.68,39.75
39.93,40.39,40.66,39.93
40.30,41.68,41.68,40.30
41.57,41.44,41.57,40.16
41.57,42.19,42.46,41.31
42.01,41.75,42.01,41.25
42.01,41.90,42.01,41.61
41.90,41.52,41.90,41.33
41.50,41.80,41.92,40.02
41.80,42.15,42.15,41.80
41.47,42.02,42.14,41.30
41.74,41.63,42.04,41.63
42.06,42.13,42.13,41.90
42.14,43.90,44.00,42.13
44.00,43.34,44.00,43.21
43.34,43.35,43.56,43.02
43.25,43.26,43.34,43.15
43.24,42.71,43.24,42.65
42.70,42.20,42.70,42.05
41.76,40.63,41.88,40.13
40.86,40.62,40.86,40.47
40.55,41.14,41.44,40.55
41.04,43.89,43.89,41.01
43.90,43.54,43.90,42.62
43.57,42.53,43.57,42.43
42.59,42.49,42.91,42.49
42.90,42.01,42.90,42.01
42.45,41.80,43.25,41.42
42.42,41.58,42.42,41.58
41.58,41.40,41.60,40.93
41.26,40.59,42.68,40.57
40.37,39.00,40.97,37.35
38.98,39.78,40.00,37.30
39.90,40.34,40.48,39.54
39.99,39.99,39.99,39.99
40.15,39.76,40.15,39.76
39.15,38.96,39.23,38.50
39.74,39.24,39.89,38.76
39.35,39.42,39.48,38.93
39.89,38.63,39.89,38.63
38.93,39.44,39.47,38.93
39.11,39.44,39.44,38.88
39.24,39.40,39.66,39.24
39.84,39.23,39.84,39.11
39.73,39.73,39.94,39.02
39.72,40.49,40.79,39.72
40.57,40.34,40.57,40.16
40.21,39.95,40.25,39.83
40.00,39.83,40.48,39.83
39.64,40.30,40.30,39.60
40.13,40.53,40.53,39.67
40.43,40.34,40.53,39.85
40.22,39.48,40.22,39.40
38.40,39.45,39.45,38.40
39.79,39.75,39.80,39.36
39.75,39.36,39.76,39.36
39.43,38.84,39.76,38.84
38.82,38.90,39.14,38.66
38.80,39.08,39.08,38.78
38.86,38.85,39.17,38.85
38.77,39.06,39.06,38.77
38.98,39.36,39.68,38.85
38.48,38.81,38.90,38.48
38.85,38.97,39.88,38.63
38.85,38.19,38.99,38.00
38.33,38.17,38.54,38.01
38.58,39.18,39.18,38.18
39.25,39.25,39.25,38.86
39.21,39.91,39.91,39.21
39.99,40.42,40.45,39.66
40.28,40.28,40.76,40.06
40.23,40.42,40.42,40.00
40.13,40.21,40.21,40.05
40.24,40.19,40.24,39.95
40.50,40.51,40.51,40.50
40.78,41.43,41.43,40.78
41.50,41.81,41.81,41.40
41.81,41.91,42.23,41.17
42.05,42.04,42.05,41.71
42.02,41.83,42.02,41.58
41.90,41.17,42.22,40.73
40.97,40.75,41.13,40.75
40.47,39.51,40.47,38.98
39.66,39.98,40.71,39.66
40.49,40.39,40.49,40.00
40.29,41.21,41.21,40.01
40.90,41.00,41.36,40.88
40.80,40.16,41.00,39.76
40.20,40.12,40.84,39.88
40.12,39.82,40.56,39.82
39.98,39.80,40.12,39.80
39.61,40.04,40.04,39.61
39.90,40.92,40.92,39.90
40.70,40.98,41.00,40.14
40.93,41.36,41.36,40.79
41.50,41.14,42.07,40.40
41.36,40.72,41.36,40.72
40.69,40.72,41.15,40.53
40.75,39.92,40.75,39.79
40.21,40.00,40.21,39.86
40.02,40.18,40.24,40.02
40.10,40.58,40.58,39.74
39.96,39.96,39.96,39.96
40.49,40.49,40.49,40.49
40.62,39.99,40.62,39.99
39.78,39.40,39.81,39.40
39.40,39.09,39.40,39.09
39.06,39.64,40.04,39.06
40.14,39.33,40.14,39.33
39.15,38.89,39.78,38.79
38.60,37.92,38.98,37.92
38.03,37.43,38.10,37.25
37.48,37.69,37.89,37.48
37.72,38.59,38.59,37.71
38.60,38.80,40.05,38.60
38.72,39.46,39.46,38.72
39.47,38.52,39.66,38.51
38.57,38.82,39.73,38.57
38.41,38.16,38.41,38.16
38.00,37.02,38.17,37.02
37.52,38.20,38.30,37.52
38.03,38.03,38.03,38.03
38.12,38.70,38.70,37.74
38.31,37.80,38.49,37.19
38.16,37.70,38.50,37.70
37.93,38.68,39.33,37.73
38.34,37.87,38.34,37.87
37.83,38.12,38.12,37.77
38.29,37.73,39.30,37.73
37.76,38.02,38.23,37.70
38.69,38.60,38.69,38.60
38.33,38.54,38.92,38.31
38.01,38.76,38.76,37.65
38.93,40.69,40.74,38.50
40.49,41.74,41.84,40.49
41.72,41.55,42.25,41.49
41.69,40.75,41.99,40.72
40.75,41.01,41.11,40.66
41.02,41.42,41.96,40.94
41.35,41.41,41.43,40.26
41.31,41.49,41.50,41.12
41.64,41.95,41.95,41.49
41.53,41.46,41.86,41.46
41.21,40.68,41.25,40.68
40.79,40.35,41.37,40.35
40.59,41.68,41.68,40.59
41.38,40.74,41.38,40.65
41.13,41.58,41.80,41.13
41.61,41.01,42.00,40.95
41.33,41.96,41.96,41.20
41.72,41.51,41.88,41.48
41.59,42.91,42.91,41.59
42.93,42.56,42.96,42.52
42.27,42.37,43.00,42.27
42.30,42.74,42.74,42.00
42.30,40.85,42.41,40.85
41.15,41.66,42.22,41.00
41.17,41.24,41.95,41.17
41.79,41.29,41.93,41.04
41.19,40.97,41.88,40.94
40.65,40.87,41.30,40.39
40.64,40.00,40.66,40.00
40.41,40.50,40.70,40.00
39.72,39.50,40.74,39.50
39.95,40.50,40.50,39.37
39.69,38.50,39.83,38.25
38.56,40.17,40.49,38.50
39.53,40.65,41.49,39.43
41.40,41.50,41.50,40.90
41.05,40.79,41.34,40.01
41.48,40.60,41.48,40.52
39.70,39.46,40.03,39.14
39.02,39.50,39.51,39.02
40.36,39.27,40.36,38.77
39.44,40.81,40.81,38.75
40.20,40.20,40.20,39.78
40.20,39.32,40.20,39.30
39.72,40.00,40.00,39.72
40.01,41.57,41.57,39.21
41.24,42.48,42.49,40.20
42.37,42.33,42.98,41.78
40.53,40.63,41.25,40.53
40.08,42.00,42.07,40.08
40.93,41.78,42.77,39.93
42.42,42.53,42.99,42.21
42.32,41.53,42.70,41.53
41.58,39.68,41.58,39.68
40.47,39.16,40.47,39.16
38.62,40.36,40.37,38.62
40.42,41.04,41.04,39.72
41.14,41.50,41.50,40.48
41.69,41.23,41.69,40.63
40.57,41.50,41.53,40.57
41.50,41.50,41.50,41.50
41.41,40.30,42.17,40.14
39.49,39.00,40.25,39.00
39.10,39.50,39.58,39.10
40.29,40.34,41.25,39.26
40.89,40.40,40.89,40.03
40.40,39.15,40.64,39.15
39.12,39.98,40.24,39.12
39.62,39.90,40.40,39.37
40.40,37.80,40.40,37.80
37.63,41.36,42.84,37.31
40.89,42.78,42.78,40.89
41.81,42.84,42.84,41.81
42.00,40.92,42.35,39.31
40.06,42.92,42.92,40.06
42.83,44.40,44.40,42.50
43.37,45.64,45.65,43.37
45.60,46.33,46.99,45.60
46.50,48.50,48.60,45.99
48.06,46.14,48.16,46.14
45.80,50.00,50.00,45.80
49.35,48.44,49.35,48.10
47.05,48.19,48.25,47.05
49.88,50.06,50.40,49.00
50.70,50.90,50.92,49.76
50.69,49.31,50.69,49.31
49.66,49.96,49.96,49.00
50.59,54.98,54.98,50.55
54.56,55.14,55.50,53.39
54.95,55.00,55.01,53.90
53.80,51.62,54.77,51.62
52.25,52.36,53.18,52.25
52.76,54.15,54.15,52.53
53.27,53.45,53.50,53.27
53.44,53.44,53.49,52.57
53.44,52.85,53.99,52.85
51.41,49.35,52.84,48.90
53.22,50.48,53.50,49.78
50.30,52.36,52.36,50.20
51.65,52.52,52.86,51.65
51.95,52.63,52.85,51.95
52.04,52.30,53.06,52.04
52.30,53.25,53.31,51.62
53.36,53.35,53.81,53.02
53.15,53.35,54.00,53.15
53.25,52.42,53.25,52.03
52.42,52.45,52.97,52.42
51.95,51.75,51.95,50.97
53.14,52.58,53.14,52.25
52.50,52.31,52.55,52.31
53.29,55.22,55.22,53.29
54.58,53.85,54.61,53.85
54.57,54.78,54.82,53.43
55.25,57.90,58.24,54.76
57.02,56.84,57.50,56.10
56.84,55.70,56.84,55.21
55.50,52.89,55.58,52.89
51.31,56.80,56.80,51.31
52.70,56.15,56.80,52.70
56.58,55.76,56.72,55.49
55.66,56.95,57.25,55.66
57.27,57.50,57.50,56.10
57.60,59.54,59.94,57.12
59.50,59.03,59.50,58.84
59.65,60.07,60.50,58.20
59.65,59.63,60.30,59.30
59.64,60.20,60.60,59.06
59.53,59.86,60.20,59.49
59.59,60.11,60.20,59.59
60.04,58.53,60.04,58.53
59.74,59.50,59.74,59.01
59.65,60.11,60.11,59.17
61.78,62.24,62.24,61.13
61.74,61.12,62.41,61.12
60.93,61.67,61.67,60.92
61.12,61.19,61.67,61.04
61.61,61.49,61.61,60.75
61.71,62.38,63.04,61.69
62.38,62.69,62.71,61.45
62.27,62.40,62.50,61.93
61.30,61.75,62.03,61.20
61.39,61.38,61.85,61.29
61.02,61.70,61.79,60.14
61.70,61.18,61.71,61.02
61.31,61.55,62.50,60.94
61.56,61.56,61.60,60.83
61.64,62.00,62.14,61.05
62.00,62.89,62.89,62.00
62.95,62.37,63.55,62.35
62.51,62.83,62.92,62.30
62.34,62.03,62.96,61.72
62.00,62.28,62.67,61.72
62.72,64.00,65.08,62.34
65.49,65.60,65.92,65.23
65.75,67.37,67.37,65.75
66.89,65.75,66.89,64.13
65.99,65.89,66.38,64.63
65.93,66.45,66.45,65.93
66.95,66.97,67.40,66.80
65.92,65.48,67.03,65.48
65.66,66.20,66.69,65.43
66.28,64.17,66.42,64.10
63.60,63.26,63.91,60.50
63.08,63.38,63.52,61.12
63.67,62.18,63.67,59.94
62.44,61.31,62.44,61.31
60.55,60.51,60.87,60.00
60.52,60.96,61.74,60.52
60.40,60.24,60.67,60.00
60.04,61.14,61.14,59.66
60.73,60.92,61.16,60.63
60.90,60.90,61.00,60.29
60.70,60.45,60.96,60.41
59.65,60.01,60.47,53.67
59.81,60.49,60.49,59.81
59.89,58.67,59.89,58.60
58.56,58.79,59.15,57.90
59.10,59.00,59.18,57.32
58.79,59.62,59.62,58.30
60.34,61.02,61.31,59.58
60.70,61.55,61.55,60.70
61.82,61.02,61.82,60.80
61.07,61.10,61.10,60.61
60.85,61.43,61.45,60.85
61.57,61.77,62.25,60.70
61.10,61.25,61.72,61.10
61.27,61.87,61.99,61.27
60.85,59.31,60.85,56.74
59.33,58.27,59.75,56.50
58.29,59.35,59.80,57.24
59.15,59.62,60.50,58.71
59.51,59.74,60.33,59.27
59.06,59.66,59.81,55.55
59.89,59.89,59.89,59.89
59.89,60.33,61.01,59.21
60.22,60.31,61.05,60.14
60.16,59.60,60.19,58.37
59.88,59.68,59.88,58.99
58.99,55.70,58.99,55.70
56.05,54.51,57.37,54.51
55.03,56.32,56.36,54.48
55.96,58.73,58.74,55.50
57.34,55.86,57.39,55.86
56.25,55.99,56.75,55.50
56.99,56.93,57.42,56.31
57.13,55.17,57.13,54.86
54.96,53.40,54.99,53.01
54.69,54.20,54.69,53.47
53.58,51.67,53.58,51.67
52.05,50.26,52.05,49.80
51.00,50.20,51.00,49.85
50.71,50.12,51.23,49.82
50.39,50.11,50.39,49.70
49.62,47.97,49.70,47.34
48.21,47.40,49.15,47.40
47.64,46.28,47.64,46.10
46.55,46.15,46.55,45.51
46.82,48.82,49.28,46.60
48.53,51.22,51.70,48.53
50.34,49.34,50.34,48.51
48.82,48.23,49.22,48.23
49.10,52.75,55.13,49.00
52.63,49.68,52.63,49.60
49.55,48.79,50.78,48.79
48.79,47.62,49.00,47.49
47.72,46.77,48.31,45.07
46.78,46.09,46.78,45.51
45.95,46.58,47.39,45.95
46.57,46.00,47.69,45.82
46.62,46.00,46.76,45.50
45.01,44.75,45.30,43.90
44.72,43.68,45.03,43.10
43.50,43.03,43.52,43.02
43.57,43.43,44.50,42.47
42.69,42.85,44.09,42.69
43.04,44.68,45.04,43.04
43.62,43.61,44.77,42.32
44.12,44.18,45.43,42.75
44.37,44.65,45.05,44.25
45.13,48.09,48.22,44.88
48.88,49.34,49.50,47.44
48.75,48.20,48.80,47.61
48.58,45.88,48.58,44.63
46.55,45.77,46.55,45.22
45.97,45.26,47.10,43.77
45.45,45.00,45.83,44.05
45.23,46.28,46.68,45.11
46.31,45.06,46.31,43.55
45.28,46.66,46.66,45.28
46.94,46.99,48.45,43.76
47.13,44.97,48.16,44.71
45.31,45.28,45.31,43.15
44.29,44.50,46.74,44.29
44.50,43.90,45.00,43.26
43.91,45.01,45.01,43.91
44.23,44.50,45.10,43.79
45.84,46.67,47.01,45.10
46.79,47.94,47.94,46.68
48.07,47.46,48.07,47.02
47.21,47.97,47.97,47.18
47.54,48.55,48.55,47.53
48.18,48.63,48.75,48.10
48.78,48.25,48.80,48.25
48.22,46.90,48.22,46.85
46.51,48.55,48.70,46.51
48.87,50.41,50.69,48.87
50.05,52.00,52.46,49.10
52.11,50.05,52.11,49.52
49.71,50.83,50.97,48.81
51.28,50.42,51.28,50.36
49.89,48.85,49.96,48.74
48.44,48.75,49.31,47.47
49.06,48.95,51.69,48.09
49.27,49.28,50.07,49.02
49.25,48.70,50.55,48.56
48.95,47.88,49.30,47.88
48.05,46.98,48.21,46.98
47.34,45.59,47.63,45.56
45.89,44.26,45.89,44.26
44.23,42.31,44.23,42.06
42.87,44.00,44.17,42.87
43.90,43.84,44.01,42.91
44.07,43.84,44.07,43.40
43.60,43.42,43.75,43.02
43.42,43.66,43.74,43.14
43.25,44.26,44.26,42.55
43.96,43.85,43.96,43.50
44.04,43.81,44.10,43.80
42.81,42.50,43.80,42.00
42.62,41.96,42.62,41.25
41.74,42.51,42.70,41.74
42.69,42.89,43.22,42.12
42.12,43.20,43.20,42.12
42.90,43.31,43.31,42.80
43.11,42.93,43.19,42.93
42.94,43.55,43.55,42.84
43.36,43.35,43.89,43.35
43.49,45.13,45.50,42.60
45.40,45.51,45.65,44.72
45.08,44.79,45.08,44.60
45.14,44.00,45.14,44.00
44.00,43.66,44.09,43.39
43.42,44.26,44.83,43.42
44.50,45.40,45.40,44.50
45.56,46.40,46.40,45.05
46.60,47.52,47.52,46.60
47.99,48.74,49.90,47.99
48.98,48.40,49.37,48.05
48.27,49.79,49.96,48.27
50.24,50.23,50.25,50.00
50.25,49.50,50.25,49.02
49.31,48.27,49.99,46.97
48.15,48.58,48.70,48.00
48.61,47.89,48.61,47.01
48.69,48.42,49.85,48.10
48.31,49.22,49.72,48.31
49.45,49.12,49.45,49.12
49.14,48.53,49.30,48.53
48.46,48.58,48.76,48.11
48.84,48.21,48.84,48.01
49.00,49.71,49.75,49.00
49.54,49.42,49.61,49.31
49.37,49.16,50.00,49.01
49.15,49.54,49.65,49.15
49.17,49.29,49.56,49.17
49.10,49.29,49.46,49.10
49.10,48.70,49.32,47.94
48.25,48.51,48.51,48.25
48.28,48.21,48.95,47.98
48.15,48.17,48.66,47.99
48.33,48.50,48.50,48.09
48.73,48.92,49.63,48.56
48.84,48.60,49.65,48.60
48.61,48.03,48.78,48.03
47.65,46.05,47.65,45.59
45.97,45.16,46.73,45.16
45.25,45.42,45.75,45.25
45.34,45.28,45.75,45.25
45.75,45.44,46.15,45.44
45.72,44.96,45.72,44.85
45.54,43.81,45.54,43.30
43.99,43.45,44.00,43.01
42.70,43.18,43.45,42.70
43.64,43.67,43.94,43.61
44.00,43.76,44.30,43.76
43.62,43.42,43.65,43.19
43.51,42.98,43.94,42.90
43.11,43.60,43.65,43.11
43.21,43.35,43.43,43.11
43.36,43.53,43.85,43.26
43.26,43.07,43.80,43.07
42.21,42.97,43.10,42.21
42.75,42.18,42.78,42.15
42.60,43.74,43.80,42.47
43.68,42.75,43.68,42.28
42.88,43.37,43.37,42.21
43.38,43.42,43.54,43.38
43.70,43.21,43.70,42.30
42.95,43.01,43.07,41.95
42.59,42.44,42.60,42.10
42.51,42.60,43.00,42.37
42.75,43.93,43.93,42.75
43.33,43.13,43.33,43.05
43.06,42.68,43.06,42.65
42.51,42.19,42.68,42.11
43.00,43.62,43.80,43.00
43.60,43.56,43.63,43.33
43.50,43.87,44.18,43.50
44.00,44.75,45.25,43.98
43.25,43.80,45.55,43.25
43.75,43.75,43.75,43.75
44.00,43.70,44.00,43.70
43.99,44.95,44.96,43.97
45.02,46.89,47.05,44.51
46.92,47.01,47.23,46.16
47.28,47.95,48.58,45.32
47.61,47.50,47.97,47.50
47.83,48.00,48.58,47.83
48.00,47.64,48.00,47.64
47.73,46.64,47.73,46.35
46.41,46.52,46.61,44.01
46.51,47.12,47.49,46.51
47.52,49.49,50.26,46.45
49.48,48.82,50.00,48.82
49.37,47.98,50.46,47.98
47.71,46.81,47.98,46.35
47.38,46.71,47.65,46.28
46.91,46.80,46.91,46.80
46.91,46.85,47.70,46.66
46.80,47.15,47.47,46.73
47.35,46.45,47.35,46.45
46.32,46.61,47.00,46.32
46.86,46.03,46.86,45.75
46.27,45.81,46.27,45.59
45.46,46.01,46.35,45.46
45.85,46.53,46.75,45.85
46.55,47.25,47.86,46.55
47.23,47.53,47.53,47.23
47.57,46.45,47.65,46.01
46.49,45.80,46.71,45.80
46.40,46.31,46.85,45.81
46.18,46.05,46.25,45.97
46.13,46.05,46.80,46.00
46.15,46.65,46.90,46.15
46.99,46.56,47.00,46.56
46.65,47.46,47.96,46.65
47.23,47.65,48.04,47.23
46.53,47.42,47.68,46.53
47.79,47.27,47.97,46.91
47.37,46.93,47.37,46.60
47.01,46.98,47.50,46.65
47.07,47.40,47.66,47.07
47.33,47.54,47.80,47.20
47.74,47.50,47.87,47.50
47.00,47.69,47.69,47.00
46.95,46.94,47.37,46.70
46.53,46.99,47.25,46.52
47.30,48.52,48.52,46.87
48.53,47.32,48.53,47.32
47.81,50.23,50.31,47.81
50.27,52.13,52.13,50.27
52.13,52.44,52.85,51.60
52.25,53.70,54.02,52.25
53.33,53.39,53.74,52.62
53.40,53.29,53.69,52.71
53.00,53.29,53.30,52.01
52.14,52.67,53.05,52.14
53.26,54.57,54.57,53.26
54.12,54.11,54.12,53.95
53.36,54.00,54.29,53.36
53.90,52.96,54.10,52.82
53.07,53.59,54.09,52.76
53.56,53.70,54.04,53.41
53.20,54.29,54.29,53.20
53.96,52.96,53.96,52.94
52.51,53.39,53.65,52.51
52.80,53.41,53.60,52.77
54.18,53.83,54.18,53.05
54.13,53.12,54.13,53.01
53.45,53.88,53.88,52.03
53.48,53.14,53.49,52.90
53.28,53.19,53.59,52.82
52.58,53.06,53.49,52.17
53.25,52.04,53.25,51.69
52.36,52.05,52.58,51.14
51.87,51.83,52.00,51.51
51.39,51.21,51.60,51.21
51.03,51.13,51.58,50.59
51.40,50.57,51.40,50.40
50.89,51.35,52.25,50.08
51.55,51.25,51.99,48.00
50.77,51.00,51.40,50.07
51.05,49.52,51.05,48.71
48.62,48.46,49.50,47.88
48.50,46.60,49.40,46.25
46.79,46.38,46.85,46.00
46.69,46.71,47.36,46.48
47.24,46.95,47.40,46.43
46.89,46.86,47.29,46.54
46.89,47.61,47.68,46.86
47.53,47.10,47.72,46.62
46.53,47.03,47.78,46.53
47.50,46.37,47.50,45.00
46.53,46.18,46.55,45.40
46.76,46.02,46.79,45.15
46.32,46.68,46.69,45.97
46.80,46.80,46.80,46.48
46.80,46.69,46.81,46.56
46.80,46.65,47.24,46.59
46.71,46.07,46.77,45.26
45.87,46.37,47.20,45.70
46.54,49.45,49.77,46.54
49.36,49.78,50.55,48.64
49.68,48.50,50.45,48.35
48.50,49.08,49.33,48.23
48.79,49.22,50.15,48.66
49.62,50.32,50.32,49.01
50.29,50.95,51.67,50.00
51.06,50.96,51.51,49.75
50.94,50.43,51.41,49.85
50.21,50.45,50.46,49.17
50.10,50.82,51.18,49.92
50.79,51.06,52.00,50.52
50.30,51.42,51.74,50.30
51.51,51.07,51.99,50.72
50.58,49.87,51.17,49.83
50.01,51.77,52.62,49.57
51.65,50.78,52.53,50.60
51.04,48.19,51.46,47.61
49.20,47.39,49.20,46.40
47.72,47.42,47.96,46.20
47.31,47.75,48.62,46.75
48.16,48.15,49.08,47.56
48.20,47.80,49.05,47.79
48.07,47.67,48.75,47.23
47.74,48.02,48.27,47.51
48.02,49.20,49.47,47.94
48.36,50.05,50.30,48.36
49.86,50.10,51.92,49.74
49.63,49.31,50.14,49.30
