ROM,ProShares Ultra Technology,NASDAQ
51.90,52.07,52.40,51.60
52.53,51.49,53.02,50.85
52.21,51.42,52.39,51.05
51.01,50.21,51.24,49.55
51.32,52.48,52.69,51.23
52.35,51.66,52.70,50.83
52.08,51.91,52.28,51.11
52.00,52.69,52.92,51.29
52.99,52.79,53.35,52.50
52.69,53.68,53.90,51.90
54.25,54.61,55.11,54.05
55.01,54.61,55.01,53.95
56.13,56.77,56.78,55.27
56.79,57.34,57.34,56.33
55.01,55.15,56.16,54.35
55.30,55.97,56.70,55.21
56.46,55.95,56.75,54.83
56.01,56.79,56.88,55.99
57.15,57.19,57.94,57.09
56.51,57.31,57.45,56.00
56.78,57.93,58.07,56.63
58.50,58.16,58.50,57.27
58.43,58.30,58.99,58.26
58.72,58.52,59.62,57.95
59.42,59.55,59.86,59.23
59.72,60.21,60.34,58.82
61.69,62.02,62.28,61.35
62.25,62.09,62.29,61.61
62.00,62.32,62.67,61.78
62.66,61.82,63.31,61.39
61.94,62.11,62.26,60.89
59.35,59.97,60.08,58.44
59.37,58.32,60.05,57.56
58.76,57.71,59.00,57.71
57.01,55.83,57.41,55.31
55.93,55.74,56.62,55.25
56.98,57.73,58.23,56.96
57.81,58.08,58.36,57.50
57.78,58.97,58.99,57.46
58.15,57.46,58.24,56.75
58.12,59.38,59.56,58.12
58.58,58.91,59.22,58.24
58.26,58.32,58.53,57.00
57.08,56.67,57.35,56.46
58.24,59.26,59.71,58.24
59.40,60.67,60.87,59.38
60.19,61.16,61.29,60.03
61.01,61.27,61.49,60.92
62.56,61.27,62.58,61.23
61.59,62.29,62.29,61.12
62.85,62.24,62.93,61.99
62.67,62.98,63.02,62.25
63.41,62.44,63.48,62.36
62.35,62.32,63.00,62.00
62.07,61.82,62.78,61.50
61.85,62.63,62.65,61.64
62.80,62.99,63.36,62.78
62.99,62.86,63.36,62.01
63.20,63.84,63.90,63.17
63.55,63.68,63.86,63.50
63.28,63.52,63.68,63.25
62.97,63.70,63.90,62.50
63.83,63.64,64.02,63.40
63.77,63.73,64.14,63.67
63.62,63.60,63.88,63.45
63.35,63.37,63.53,62.71
63.96,64.67,65.41,63.96
65.15,65.06,65.32,64.07
64.61,65.87,65.92,64.55
65.84,66.98,67.05,65.84
66.98,66.69,67.18,65.29
66.00,67.04,67.29,65.86
67.60,67.31,67.74,66.91
68.02,68.47,68.50,67.58
68.45,68.33,68.79,67.92
68.46,69.75,69.77,68.32
68.59,70.12,70.28,68.59
70.43,68.98,70.47,68.45
68.11,67.54,68.11,66.28
68.36,66.64,68.49,66.62
66.68,68.49,68.49,66.50
67.96,68.84,68.93,67.74
69.23,69.70,70.14,68.80
70.23,70.56,71.15,69.95
71.03,67.44,71.03,66.79
67.50,68.16,68.22,65.83
69.09,70.64,71.00,69.09
70.47,71.00,71.38,70.23
70.62,71.09,71.39,69.81
71.37,72.25,72.34,70.91
72.76,73.17,73.89,72.66
73.14,73.81,73.81,72.80
73.58,73.49,73.88,73.00
71.86,72.57,73.00,71.50
72.41,73.16,73.34,72.26
73.25,73.52,73.90,73.25
73.20,72.84,73.40,72.50
73.30,73.83,74.08,73.12
73.26,74.14,74.42,73.25
74.30,74.08,74.51,73.58
71.92,70.07,72.64,69.75
69.21,68.05,69.48,66.88
68.02,68.54,69.17,67.22
69.61,70.69,70.79,69.61
71.29,70.87,71.67,70.00
71.31,68.31,71.51,68.20
68.11,69.00,70.17,68.11
70.44,71.43,71.68,70.42
71.65,70.56,71.65,69.64
71.04,68.40,71.04,67.20
68.49,69.21,69.86,67.61
68.76,68.21,68.93,67.72
66.54,65.46,66.58,65.23
64.90,66.21,66.71,64.73
65.28,65.64,66.50,64.85
61.68,63.79,64.29,61.15
63.00,60.46,63.38,59.48
62.00,61.38,62.64,61.29
62.89,61.43,63.09,61.30
63.51,63.88,64.65,63.14
64.01,63.66,64.19,63.41
63.19,64.30,64.64,62.62
65.16,66.47,66.60,64.71
67.31,66.83,67.68,66.68
67.31,66.14,67.46,66.10
66.03,67.00,67.00,65.32
67.64,67.27,67.66,66.86
67.18,67.11,67.46,66.72
67.92,66.70,67.92,66.29
66.87,65.92,66.93,65.43
65.86,65.95,66.81,65.79
66.88,66.74,67.17,66.02
66.71,66.69,67.49,65.97
67.13,65.98,67.16,65.46
66.07,65.57,66.34,65.07
64.82,64.40,65.00,63.83
65.35,65.35,65.84,64.62
64.40,65.11,65.11,63.85
64.57,64.58,64.91,64.01
63.35,63.49,63.56,61.75
63.55,63.93,64.00,63.08
66.28,67.13,67.32,65.90
68.60,68.41,68.63,67.77
68.56,68.74,68.82,68.28
69.00,69.74,70.11,68.77
70.02,70.36,70.44,69.28
70.06,70.43,70.55,69.75
70.43,70.78,70.82,70.08
71.01,69.85,71.07,69.58
69.69,69.26,69.70,68.28
69.26,69.03,69.53,67.79
68.36,68.44,69.98,67.97
69.75,69.08,70.63,68.68
68.87,69.30,69.85,68.69
69.76,70.49,70.74,69.41
70.46,69.47,70.87,68.48
68.79,70.30,70.56,68.12
69.73,68.58,70.06,68.50
67.90,66.36,68.43,65.98
65.27,65.93,65.96,64.41
65.93,67.19,67.50,65.86
67.68,67.35,67.68,66.54
67.29,66.60,67.59,66.50
64.99,64.54,65.00,64.04
64.97,63.93,65.00,63.90
63.79,64.61,65.19,63.75
64.34,65.41,65.69,64.33
65.64,66.08,66.25,65.60
67.40,68.14,68.14,66.63
67.88,65.07,68.29,65.00
65.24,65.15,65.79,64.69
63.70,63.35,64.52,63.17
63.05,62.39,63.66,62.25
62.71,62.00,63.00,61.92
61.40,60.86,61.57,60.42
60.89,60.93,61.45,60.65
60.50,59.11,60.63,59.00
59.33,58.88,59.62,58.56
59.88,60.55,60.97,59.83
59.36,58.29,59.79,58.05
58.24,57.85,58.81,56.88
58.94,57.51,59.11,57.20
57.08,57.88,58.16,57.08
58.38,60.27,60.48,58.00
59.85,59.42,60.42,59.37
58.20,60.73,60.73,57.89
60.21,58.57,60.21,58.30
58.60,60.13,60.74,58.38
60.44,61.69,61.70,60.44
61.86,61.99,62.29,61.31
62.40,63.85,63.97,62.40
64.17,65.88,66.11,63.61
65.92,66.23,66.30,65.50
66.16,66.83,67.02,65.65
67.81,68.71,69.07,67.73
67.27,68.02,68.02,66.55
66.41,65.50,67.36,65.15
65.30,64.21,65.32,64.01
64.94,64.52,65.98,64.21
64.83,63.18,65.63,62.80
64.65,65.02,65.12,63.96
64.57,64.64,65.06,63.47
66.17,68.13,68.31,66.01
69.27,67.58,69.27,67.35
67.32,68.04,68.50,66.35
67.98,69.88,70.16,67.98
68.54,69.62,70.39,68.36
69.52,70.04,70.71,69.50
68.61,65.81,68.61,65.42
65.71,65.95,67.46,65.13
64.51,65.10,66.48,63.93
66.64,64.59,66.94,63.02
63.80,61.70,64.76,61.68
61.84,63.15,63.27,60.04
61.27,57.28,61.69,57.28
58.37,56.27,58.78,52.83
52.55,49.84,54.56,49.84
51.05,54.00,54.00,48.19
51.87,49.91,53.36,49.78
51.27,54.26,55.56,51.27
55.36,55.19,55.92,53.96
56.03,57.20,57.21,55.71
56.14,55.84,56.94,54.50
55.93,54.95,56.74,53.86
51.82,49.24,51.82,48.18
47.61,46.29,49.49,46.29
48.27,46.76,48.74,46.53
47.41,50.54,50.56,47.33
50.51,51.28,51.50,49.49
51.17,49.65,51.73,49.50
49.42,52.00,52.38,48.65
53.24,55.21,55.25,53.24
54.63,55.47,56.02,53.93
56.14,55.27,56.85,54.60
55.85,54.04,56.51,53.98
52.08,51.54,52.49,50.93
48.84,50.93,51.12,48.57
52.72,53.71,53.82,52.48
53.24,53.33,55.14,53.00
52.45,51.02,53.11,50.47
49.81,52.31,52.37,49.81
52.96,53.88,54.10,52.41
54.57,55.75,56.92,53.59
56.95,57.46,57.67,55.96
57.94,58.42,58.66,57.52
57.02,58.41,58.90,56.02
59.06,57.72,59.98,57.64
58.32,56.28,59.41,56.28
53.09,52.77,54.32,51.17
51.80,53.87,54.27,51.80
54.53,55.28,55.34,52.34
57.20,56.63,58.52,56.01
56.96,54.77,57.70,54.76
56.47,54.45,56.74,52.55
53.04,51.40,53.61,51.40
50.84,48.88,51.94,48.79
47.69,51.10,51.24,47.00
50.82,53.59,53.90,50.10
53.51,55.44,55.53,52.86
55.67,54.81,56.18,54.47
56.43,58.63,58.63,56.43
58.33,59.19,59.60,57.98
60.27,59.81,61.04,59.81
59.44,61.19,61.43,59.44
63.06,63.85,63.85,62.43
63.07,61.45,63.39,60.79
60.86,62.70,63.09,59.90
61.69,59.99,61.86,59.81
60.00,59.28,60.00,57.70
60.55,60.76,61.51,59.96
61.27,63.36,63.71,61.09
62.81,61.47,63.05,61.18
62.67,61.95,62.78,59.48
65.00,65.65,66.47,64.23
64.71,66.01,66.19,64.71
64.74,63.75,65.07,63.75
60.60,60.11,61.35,59.11
61.41,61.41,61.90,60.33
62.50,64.45,64.54,61.17
63.69,63.96,64.30,62.74
63.62,64.62,64.75,62.30
65.50,66.13,66.38,64.31
63.25,61.26,63.53,60.87
62.82,61.47,62.82,60.33
62.57,63.88,64.40,62.57
63.86,63.31,64.44,63.01
63.38,65.09,65.65,63.07
64.25,63.34,65.60,63.18
63.00,60.31,63.00,59.49
60.65,59.34,60.65,59.30
57.70,56.93,57.93,56.00
56.59,56.71,57.34,55.70
55.80,53.95,55.99,53.91
53.44,53.15,54.78,53.14
55.91,56.88,56.96,55.91
56.72,56.08,57.47,55.78
59.02,60.42,60.53,58.85
60.43,61.13,61.53,60.11
62.42,60.99,62.58,60.97
62.76,62.70,63.63,62.10
62.73,62.56,63.25,62.11
62.28,62.61,63.07,60.96
61.99,60.58,62.45,60.39
60.68,62.55,62.80,60.68
61.15,60.65,61.15,59.71
61.57,59.40,62.04,59.01
58.82,57.33,58.99,56.76
58.42,56.87,58.51,56.80
57.54,57.16,58.73,56.99
57.54,55.74,57.80,55.54
57.66,59.30,59.37,57.66
58.13,56.76,58.21,55.25
57.25,58.09,58.19,57.19
58.32,59.22,59.24,58.20
58.99,59.48,59.94,58.99
59.63,58.15,59.63,57.90
58.26,59.11,59.21,58.22
59.03,58.71,59.31,58.70
60.73,60.58,61.62,60.42
60.35,61.00,61.20,59.71
60.68,61.82,61.91,60.57
61.78,62.03,62.31,61.31
62.30,61.87,62.45,61.64
63.07,62.37,63.24,62.22
62.15,62.76,62.95,61.91
63.07,63.18,63.30,62.08
62.36,62.31,62.53,61.53
63.18,62.99,63.87,62.69
63.46,65.15,65.20,63.46
65.98,66.24,66.58,65.84
66.00,66.68,66.89,65.95
66.59,67.18,67.88,66.22
66.70,67.29,67.72,66.70
68.77,68.75,68.98,67.54
69.21,67.83,69.50,67.35
67.38,68.18,68.38,67.38
66.95,68.53,68.75,66.82
69.33,68.75,69.49,67.83
69.83,70.35,70.94,69.44
70.70,70.58,71.25,70.27
71.56,72.64,72.87,71.54
72.15,72.60,72.61,71.66
72.50,73.12,73.45,72.05
73.24,74.37,74.40,73.08
74.91,75.70,75.94,74.41
74.59,74.40,74.84,73.97
75.66,75.40,75.74,74.54
75.16,75.80,75.82,74.63
76.36,74.87,77.69,74.70
74.67,77.43,77.61,74.54
78.05,77.03,78.05,76.64
77.18,77.64,78.34,76.66
77.29,76.86,77.86,76.71
76.52,77.55,77.81,75.72
78.18,78.32,78.66,77.92
77.50,78.60,79.10,76.63
78.74,79.75,79.83,78.56
79.98,78.95,80.56,78.40
79.77,80.00,80.35,79.17
79.92,79.64,80.37,79.23
79.43,77.79,79.54,77.08
76.12,76.09,76.37,75.11
76.93,77.34,77.69,76.66
78.19,79.02,79.31,77.78
79.34,79.66,79.96,79.20
79.71,79.93,80.00,79.04
81.00,83.31,83.31,80.94
83.40,84.19,84.87,82.98
84.81,84.85,85.23,84.21
85.17,84.67,85.38,82.76
85.09,86.02,86.34,84.69
85.05,85.97,86.06,84.37
86.18,85.90,86.75,85.84
84.71,85.28,85.70,84.48
85.33,85.32,85.41,84.43
86.37,88.04,88.04,86.24
88.24,88.22,88.98,88.02
88.27,87.71,89.11,86.85
86.97,87.63,87.75,86.17
88.19,86.97,88.27,86.09
86.83,88.68,88.98,86.42
88.85,88.50,89.58,87.50
86.95,85.84,86.95,84.84
85.31,86.47,86.59,85.15
84.20,85.31,85.92,84.00
85.38,82.91,86.11,82.43
83.98,83.53,84.51,83.18
84.04,85.72,86.01,83.92
85.28,82.87,85.28,82.75
83.74,80.94,83.97,80.64
81.46,84.55,85.05,81.46
83.64,83.39,84.25,82.98
82.15,81.03,84.11,80.00
81.61,79.98,82.16,79.63
78.65,78.67,78.95,77.04
78.30,77.63,78.99,76.90
81.84,82.59,82.60,81.54
82.64,83.72,84.01,82.58
83.72,83.51,84.08,82.77
83.11,81.98,83.14,81.79
81.82,82.64,84.34,81.82
81.54,82.89,82.89,81.48
83.29,81.39,83.49,80.88
79.96,77.49,79.96,77.49
76.26,76.98,77.79,76.26
76.07,76.37,76.59,73.94
74.49,76.35,76.93,73.94
76.45,74.76,76.55,74.48
74.10,74.97,76.41,74.06
73.49,73.40,74.56,73.33
74.04,72.98,75.00,72.74
73.43,71.65,73.68,71.41
71.58,69.15,71.86,69.15
69.77,67.21,69.97,66.00
67.46,71.06,71.17,67.20
71.54,70.74,71.79,70.00
69.22,70.75,71.09,67.95
71.17,69.37,71.17,68.41
69.30,69.18,69.47,68.84
70.75,70.94,71.22,70.04
69.82,70.16,70.45,69.01
69.83,69.34,69.87,68.16
66.85,65.35,67.37,65.35
65.53,65.75,66.01,64.19
65.29,66.87,67.04,65.29
67.95,70.17,70.27,67.95
71.47,69.46,71.59,69.23
69.02,70.83,70.93,68.79
72.05,68.05,72.17,68.00
68.77,69.73,69.88,68.00
69.38,68.84,70.23,68.65
68.79,69.01,69.39,67.89
69.55,71.23,71.23,69.55
70.37,71.83,72.29,69.98
72.88,73.23,73.78,72.88
73.45,73.46,74.06,72.44
73.47,69.57,73.55,69.48
70.02,71.03,71.20,69.87
69.65,68.02,69.65,67.58
68.18,68.23,68.69,67.49
69.00,69.20,69.70,68.70
68.30,67.87,68.30,66.45
69.90,72.35,72.35,69.90
72.62,72.64,72.75,71.50
72.64,74.05,74.05,72.40
73.92,74.30,75.15,73.27
73.23,71.47,73.23,70.47
71.13,70.96,71.61,70.20
72.18,69.25,72.18,68.88
69.02,68.49,69.50,67.50
67.60,66.83,67.60,65.75
67.83,68.72,69.00,67.35
68.79,68.01,68.79,67.81
68.89,68.35,69.08,66.72
68.32,71.04,71.44,68.32
72.19,73.15,73.52,72.19
72.53,71.11,72.86,70.99
68.13,69.39,69.97,67.21
69.63,68.16,69.70,67.51
67.00,67.25,68.40,66.83
69.19,69.21,69.97,68.42
69.65,72.00,72.31,69.47
72.51,71.81,73.10,71.32
71.95,72.59,73.23,71.95
73.36,72.05,73.37,71.26
70.46,71.37,72.98,70.35
73.51,74.37,74.87,73.04
75.00,75.60,76.43,75.00
76.52,77.00,77.72,76.25
76.68,77.12,77.67,76.68
77.31,77.98,78.30,77.31
77.50,78.35,78.44,77.47
78.44,78.59,78.87,77.60
79.27,77.99,79.27,77.80
78.06,78.44,78.93,78.06
79.47,80.96,81.30,79.34
81.15,81.92,81.98,81.15
81.88,82.51,82.56,81.50
83.49,81.48,83.68,80.94
80.90,81.89,82.20,80.15
81.03,80.24,81.40,80.07
79.72,80.87,81.18,79.14
81.94,81.09,81.94,81.09
80.92,81.32,81.55,80.80
81.49,81.50,81.75,80.80
80.25,79.19,80.25,79.04
80.53,80.73,81.22,79.07
80.47,80.43,80.89,78.94
80.37,80.36,81.11,80.11
81.70,84.08,84.10,81.66
83.31,83.75,84.19,82.43
83.55,81.50,83.76,81.49
81.78,81.72,82.50,81.57
82.65,82.48,82.83,81.71
83.04,84.78,85.50,82.24
85.46,86.41,87.18,85.46
86.49,86.27,86.49,85.80
85.78,86.28,86.43,85.78
86.12,86.49,86.80,85.99
85.56,85.82,85.87,85.00
86.88,85.98,87.17,85.93
84.13,84.34,84.65,83.56
84.66,81.64,84.81,81.49
81.09,80.33,81.09,79.01
80.60,82.81,83.12,80.53
82.31,81.37,83.26,81.35
82.32,80.83,83.00,80.38
81.64,81.16,82.01,79.94
81.58,81.72,82.12,81.22
81.64,81.81,82.04,81.15
82.28,80.55,82.59,80.31
79.61,78.77,80.10,78.62
78.65,76.68,78.65,76.14
76.52,75.90,76.90,75.73
77.23,75.46,77.23,75.45
75.25,75.47,76.25,75.21
76.14,76.62,76.76,75.25
76.83,79.05,79.20,76.83
77.55,77.65,78.45,77.52
76.98,74.94,76.98,74.17
74.83,71.27,74.86,71.27
71.22,72.66,72.99,71.22
71.36,71.21,72.70,71.00
71.88,70.43,72.30,70.16
71.23,70.06,71.53,69.57
70.07,70.39,70.76,68.91
70.20,69.70,71.18,69.55
70.57,72.23,72.44,70.44
72.48,70.00,72.48,70.00
70.23,71.42,71.42,70.09
71.78,71.95,72.80,71.51
70.29,68.00,70.51,67.85
68.71,65.72,68.83,65.72
65.85,66.64,67.94,65.82
66.81,66.01,66.86,65.61
65.00,65.03,66.18,64.00
65.82,63.78,65.82,63.75
64.14,63.26,64.43,62.93
63.50,63.62,63.87,61.22
64.89,67.12,67.25,64.41
66.82,66.35,66.82,65.48
66.63,66.80,67.04,66.23
67.68,69.00,69.00,67.55
68.95,70.04,70.04,68.73
70.07,69.71,70.33,69.23
68.81,70.54,70.56,67.77
71.21,71.04,71.63,70.48
70.93,70.75,70.93,70.27
71.43,70.41,72.01,70.27
70.09,70.17,70.47,69.58
69.44,68.25,69.44,67.68
67.90,69.42,69.85,67.29
70.17,68.50,70.17,67.97
68.05,69.19,69.76,67.91
70.19,71.22,71.99,70.19
72.00,70.60,72.00,70.35
70.42,69.58,71.04,68.99
67.97,67.95,68.99,67.82
68.00,69.74,69.88,67.84
70.46,72.48,72.66,70.16
72.93,72.11,73.26,72.02
71.87,72.00,72.10,71.34
69.99,70.65,70.80,68.13
70.36,70.10,70.52,69.92
70.27,69.34,70.70,68.96
69.27,69.49,69.56,67.40
68.03,67.78,68.93,67.58
67.36,70.01,70.83,67.25
74.19,74.81,75.31,73.39
74.35,73.66,75.07,73.26
73.74,72.87,73.74,72.56
72.36,72.40,72.95,71.82
72.63,72.08,72.74,71.21
72.06,72.19,72.61,72.06
73.41,73.15,73.54,72.13
73.27,73.45,73.65,72.98
72.75,72.46,72.83,72.00
71.35,71.74,71.88,71.03
71.97,72.83,73.25,71.97
73.82,73.42,73.83,73.26
72.80,72.87,72.95,72.13
72.88,73.16,73.16,72.01
74.61,75.22,75.69,74.61
72.26,71.90,73.51,71.70
72.21,72.22,72.85,72.02
72.11,72.93,73.45,72.11
72.35,72.63,72.63,71.42
72.91,72.01,73.04,71.86
72.80,72.25,73.21,72.11
73.41,73.50,74.02,72.74
73.37,71.45,73.37,71.28
72.54,73.16,73.71,72.18
72.65,73.10,73.91,72.65
73.41,73.12,73.41,71.59
73.91,74.69,75.10,73.91
74.69,75.03,75.27,74.69
75.00,74.36,75.10,74.21
74.77,74.08,74.78,73.89
73.54,74.28,74.64,73.54
74.78,74.07,74.87,73.69
74.66,74.95,75.00,74.25
74.94,72.62,75.00,72.62
72.14,70.72,72.14,70.00
72.01,72.80,72.80,71.70
73.95,71.19,74.04,71.19
70.56,71.28,71.71,70.26
71.71,72.68,73.33,71.15
72.98,72.36,73.38,72.36
71.31,72.10,72.51,70.68
71.69,72.49,72.50,71.51
73.73,74.64,75.25,73.73
75.53,74.94,75.53,74.65
75.21,75.68,75.77,75.07
76.00,75.84,76.27,75.20
75.04,76.03,76.28,74.86
75.92,75.32,75.92,74.75
74.93,75.72,76.00,74.71
76.49,76.66,76.80,76.28
76.45,76.29,76.70,75.92
74.83,76.33,77.02,74.67
77.02,75.79,77.02,74.51
77.00,76.75,77.20,76.31
75.30,74.89,75.30,74.50
74.90,75.43,75.68,74.90
76.40,74.85,76.40,74.63
76.29,75.76,76.29,75.25
75.01,75.56,75.56,74.33
74.59,75.34,75.54,74.59
75.23,73.89,75.23,73.50
74.53,74.10,74.89,73.95
74.19,73.32,74.45,72.76
73.24,72.65,73.24,71.79
70.80,71.50,71.78,70.05
71.58,71.90,72.27,70.72
72.41,73.29,73.77,71.88
73.94,76.02,76.35,73.90
75.13,74.95,75.40,74.35
74.19,74.16,74.20,73.05
73.53,71.72,73.70,71.51
72.52,73.54,73.56,71.98
72.08,70.08,72.08,69.35
70.75,68.02,70.75,67.59
67.56,67.59,68.42,66.45
68.26,69.10,69.50,67.79
69.80,70.79,71.53,69.78
70.36,71.65,72.06,70.05
71.70,71.93,72.88,71.65
71.84,72.04,72.42,71.37
72.50,74.43,74.96,72.19
74.70,75.98,76.12,74.00
76.11,74.90,76.11,74.76
75.33,76.94,77.25,75.18
78.22,78.67,79.14,78.08
79.02,79.69,79.88,78.99
79.99,79.17,80.10,78.58
79.29,80.41,80.50,78.72
79.99,79.64,80.87,79.57
79.92,80.37,80.67,79.72
80.23,80.05,80.57,79.85
80.30,80.32,81.01,79.92
80.15,80.42,80.53,79.44
81.34,82.05,82.97,81.22
82.22,83.45,83.46,82.10
83.07,83.74,84.39,83.07
83.61,83.51,84.01,82.90
83.87,81.53,84.50,80.83
80.01,81.49,82.15,79.42
80.42,81.11,81.36,80.02
83.01,82.34,83.59,81.86
81.34,82.35,82.92,81.08
82.67,83.88,84.62,82.55
83.60,82.67,84.98,82.67
82.96,83.48,83.49,81.67
83.66,82.91,84.56,82.16
82.06,80.80,82.59,80.63
80.88,80.94,81.67,79.06
81.55,82.62,82.85,80.63
83.12,82.67,83.51,82.42
81.09,80.98,82.63,80.62
82.07,79.44,82.07,79.32
79.30,81.18,81.69,78.77
81.33,80.13,81.40,79.76
80.92,81.58,82.54,80.92
81.81,82.63,83.30,81.81
82.72,81.48,83.14,81.11
79.75,77.33,80.00,77.04
