BXP,Boston Properties,NASDAQ
84.72,84.11,84.72,83.18
84.25,85.65,85.92,84.00
84.99,84.89,85.70,84.48
84.46,84.73,84.89,83.26
85.04,85.87,86.08,84.45
85.35,84.59,85.61,83.79
83.20,82.86,84.16,82.34
81.45,81.32,82.86,81.28
81.10,81.02,82.00,80.99
80.57,81.04,81.61,80.00
81.78,83.65,84.38,81.37
83.78,83.17,84.00,82.72
82.74,81.24,82.83,80.53
80.53,81.23,81.45,80.28
81.57,81.53,82.36,81.42
80.98,79.94,80.98,79.64
79.44,81.39,81.73,79.21
81.88,80.65,82.06,80.48
81.34,81.72,82.21,79.38
81.28,81.06,82.17,81.03
81.00,81.40,81.93,80.42
82.80,84.47,84.79,82.19
84.65,86.42,86.54,84.61
87.54,87.85,88.37,86.67
87.09,86.52,87.57,86.45
85.89,86.80,87.04,85.86
88.15,85.10,88.16,84.97
85.41,85.20,86.10,84.71
85.89,86.26,86.32,85.49
85.87,86.40,86.89,85.31
86.05,87.50,87.55,85.51
87.19,86.77,87.42,86.33
87.06,87.10,87.37,86.41
87.67,88.88,89.25,87.25
88.01,88.01,89.26,87.90
87.78,86.54,88.24,86.07
85.50,83.98,85.92,83.70
85.00,85.78,86.03,84.83
85.73,85.03,85.84,84.46
84.94,84.96,85.21,83.23
84.69,83.48,84.81,83.12
83.95,83.12,84.95,82.63
83.90,83.64,83.99,82.71
83.57,83.57,84.03,82.90
84.48,85.08,85.21,83.62
84.70,84.81,85.00,84.05
85.20,84.99,85.68,84.61
85.04,84.86,85.18,84.20
84.86,85.07,85.41,84.63
84.72,85.85,85.99,84.36
86.35,86.83,87.54,86.02
86.50,87.17,87.34,86.27
87.60,86.96,87.99,86.62
86.53,88.45,88.46,86.20
87.50,87.81,88.99,87.11
88.16,89.89,90.88,87.96
90.11,90.14,91.23,89.47
90.21,90.50,91.04,89.56
91.18,90.73,91.45,90.48
90.19,89.87,90.23,89.18
88.62,87.34,89.23,86.69
87.91,86.25,88.06,86.05
85.88,86.19,86.36,85.73
86.59,86.32,86.93,85.85
87.28,87.40,87.50,86.53
87.47,87.35,87.88,86.80
88.48,88.64,88.78,87.74
88.63,90.15,90.51,88.40
89.77,89.33,90.20,88.98
89.03,85.37,89.03,84.76
85.52,86.32,86.50,85.37
85.47,85.07,86.62,85.05
84.45,84.70,85.31,83.94
85.04,83.77,85.81,83.69
83.28,81.56,83.71,81.02
81.84,82.26,82.48,81.39
83.92,83.53,84.19,83.25
83.52,84.12,84.30,82.82
83.67,84.06,84.59,83.42
83.07,83.47,83.84,82.81
84.13,84.96,85.12,83.85
84.26,84.33,84.72,83.99
83.67,84.19,84.45,82.60
83.20,83.80,84.50,83.01
85.10,84.91,85.22,84.03
84.92,86.12,86.32,84.68
85.68,86.19,86.37,85.30
85.95,86.41,86.81,85.08
87.33,86.41,87.33,86.10
86.41,84.51,86.48,84.03
85.19,82.70,85.39,82.65
82.77,83.37,83.43,82.51
83.58,84.05,84.45,83.26
83.94,82.66,84.10,82.15
82.50,81.95,83.14,81.90
82.04,82.06,82.52,81.11
82.07,83.12,83.25,81.78
83.56,84.19,84.38,83.32
84.56,84.74,84.86,83.82
85.15,85.56,86.18,84.74
85.45,85.41,86.12,85.37
85.23,86.59,86.60,84.94
86.59,86.89,87.00,86.02
86.80,86.51,86.80,85.83
86.59,86.53,86.85,86.40
86.53,86.10,86.98,86.03
86.86,89.18,89.32,86.84
89.47,86.50,89.58,86.20
86.18,87.08,87.42,85.94
87.10,85.87,87.36,85.64
86.11,84.93,86.73,84.21
84.57,84.68,85.09,83.90
84.82,84.66,85.54,84.12
85.02,86.46,86.63,85.01
86.60,87.21,87.43,86.21
87.43,89.47,89.50,87.21
89.23,90.58,90.97,89.16
90.41,89.63,90.70,89.39
89.55,89.95,90.77,89.47
89.99,90.29,90.29,89.28
90.33,90.52,91.29,89.95
90.11,91.26,91.29,89.83
93.62,92.33,93.80,91.75
92.99,93.72,93.76,92.66
93.61,92.71,94.26,92.44
93.03,94.37,94.94,93.03
94.92,93.77,95.12,93.12
93.48,93.41,94.26,93.18
93.40,93.98,94.21,92.88
93.87,93.34,94.13,92.93
93.76,94.69,94.92,93.32
94.76,94.87,95.53,94.57
94.32,94.75,95.00,94.18
94.35,95.37,95.78,94.35
95.10,95.90,96.34,95.06
95.90,95.37,96.22,94.56
94.83,95.47,96.27,94.52
95.91,95.21,96.59,94.85
95.02,94.51,95.05,94.39
94.25,94.99,95.27,94.14
94.27,94.00,95.77,93.88
94.13,93.00,94.53,92.52
92.73,92.45,93.78,92.06
93.12,93.73,94.01,93.04
93.99,95.92,96.36,93.96
96.10,93.65,96.15,93.40
93.73,92.69,93.80,92.08
93.62,94.02,94.05,93.24
93.74,92.73,94.04,92.23
93.06,92.34,93.56,91.80
92.55,93.37,93.82,92.55
93.32,93.45,94.00,92.68
92.27,91.57,93.02,91.44
91.21,93.23,93.48,91.07
92.59,92.04,92.86,91.97
89.89,91.96,93.02,89.82
91.84,90.41,92.01,89.93
91.78,91.66,91.94,90.73
92.91,91.52,93.13,91.48
92.56,92.38,93.06,91.93
92.52,92.20,92.96,91.86
92.01,91.00,92.26,90.01
91.35,91.43,91.66,90.24
91.83,92.89,92.98,91.52
93.00,93.20,93.72,92.88
92.78,93.52,93.80,92.40
93.82,93.94,94.12,93.30
93.80,94.85,94.95,93.57
95.53,96.54,96.64,95.17
96.52,96.63,97.04,96.31
96.35,96.61,96.98,96.24
96.73,95.87,97.05,95.80
95.84,94.85,96.05,94.49
95.41,93.91,95.48,93.70
94.25,94.77,94.92,94.22
94.35,94.44,95.11,94.19
94.73,94.06,95.10,93.75
93.38,95.77,96.23,93.29
95.88,97.14,97.16,95.88
96.07,96.31,96.54,95.61
96.33,97.16,97.16,95.82
98.37,98.12,98.37,97.08
98.39,98.91,98.95,97.51
99.00,100.22,100.45,98.63
100.66,100.95,101.70,99.96
101.18,101.89,102.27,100.72
101.81,103.78,104.19,101.62
103.83,104.53,104.58,102.68
105.19,104.10,105.33,103.47
104.09,103.79,105.38,102.36
103.77,104.51,105.09,103.05
103.93,104.19,105.23,103.66
104.97,103.33,105.00,102.88
103.33,103.94,104.25,102.96
104.00,105.71,105.74,103.86
105.45,104.52,105.62,104.39
104.12,104.00,104.32,103.33
104.28,103.01,104.28,102.56
102.85,104.59,105.14,102.73
104.17,104.41,104.73,103.61
104.65,105.71,105.86,104.02
106.18,106.29,106.77,105.71
106.21,104.51,106.45,104.23
103.19,103.52,103.96,103.19
103.76,103.27,104.22,103.01
103.09,104.10,104.74,102.44
103.84,105.78,105.97,103.51
106.30,106.33,106.50,105.15
107.01,108.35,108.35,106.62
107.68,104.98,108.20,104.87
104.47,104.49,106.00,104.47
103.19,104.47,105.24,103.19
104.37,103.21,105.02,102.95
103.64,104.49,105.67,103.28
104.45,104.43,105.74,104.18
104.55,103.16,104.73,102.45
103.60,101.19,103.65,100.50
101.38,101.65,102.42,100.83
102.61,103.15,103.47,102.33
102.34,101.04,102.65,100.00
101.34,102.74,102.82,100.73
103.59,103.93,104.51,102.75
103.53,105.68,105.96,103.45
106.72,106.73,106.91,105.70
106.26,106.76,107.95,105.92
105.47,103.67,105.77,102.71
103.74,102.61,104.56,102.27
102.82,103.86,104.02,102.50
103.99,104.30,104.44,102.97
104.95,105.71,105.81,104.40
105.95,106.16,106.50,105.17
106.00,107.83,108.20,105.99
107.83,109.76,110.24,107.12
109.56,110.62,110.91,108.83
111.54,111.48,111.94,110.84
110.10,110.75,110.84,109.55
109.47,108.59,109.88,108.38
108.47,108.97,110.86,108.31
109.43,108.46,110.12,108.43
109.01,107.97,109.20,107.17
108.44,109.46,109.51,107.70
108.90,108.10,109.17,107.11
108.96,110.99,111.00,108.96
111.28,110.66,111.46,110.05
111.55,112.36,112.84,111.14
112.57,112.27,112.78,111.79
111.12,110.92,111.65,110.38
111.08,110.37,111.13,109.65
110.04,106.99,110.10,106.89
107.21,107.21,107.96,105.78
106.21,107.36,107.78,105.27
108.77,105.96,108.98,105.17
105.20,103.48,106.81,103.45
103.28,103.12,103.43,100.25
101.81,98.38,102.15,98.28
99.70,96.91,100.27,95.25
94.68,89.10,95.14,89.02
90.65,97.12,97.16,89.36
94.66,95.66,100.35,94.00
96.73,100.31,102.21,95.32
101.25,100.17,102.30,99.37
100.76,103.26,103.50,100.63
101.64,103.02,103.75,100.73
102.96,104.09,104.67,102.62
100.39,100.04,101.75,98.84
99.02,98.78,101.58,98.50
100.83,97.99,100.83,97.36
98.10,100.31,100.35,97.51
100.38,101.12,101.79,98.94
101.41,99.53,103.03,98.69
98.35,100.60,100.69,96.43
101.85,103.64,103.73,101.12
103.71,103.47,104.22,101.22
103.90,104.29,104.58,102.67
104.32,102.44,104.51,102.06
99.91,101.25,102.45,99.91
98.37,101.77,102.69,98.35
102.59,104.10,104.36,101.01
103.84,103.55,104.72,103.13
102.20,100.26,103.00,99.27
99.05,100.45,100.49,98.31
100.64,99.74,101.37,99.04
100.53,100.56,101.21,98.27
101.41,102.76,102.78,100.42
102.84,102.50,103.92,101.52
100.58,99.52,101.74,99.40
99.82,99.61,101.10,99.45
99.94,95.05,99.94,94.91
92.58,92.55,93.18,91.14
91.59,92.42,92.88,91.31
93.03,93.00,93.31,90.52
94.81,93.16,95.40,92.61
93.08,90.81,93.41,90.63
92.69,92.68,93.11,91.18
91.29,89.10,92.72,89.02
88.35,84.72,90.05,84.64
83.13,86.54,86.85,82.32
86.62,85.46,86.62,81.52
85.13,87.70,87.80,84.00
87.30,85.47,89.30,85.37
87.00,90.53,90.59,87.00
89.64,88.86,90.62,88.51
89.54,89.92,91.38,88.68
89.43,89.90,90.63,87.63
90.99,92.34,92.74,90.69
91.46,90.56,92.15,90.20
90.75,92.64,93.21,90.29
92.33,90.07,93.50,89.85
91.09,90.85,91.09,88.48
91.93,92.98,93.63,91.26
92.86,94.98,95.19,92.54
93.82,92.99,94.19,92.73
91.36,94.11,94.86,90.14
97.33,97.75,99.61,95.67
98.50,99.84,100.08,98.04
98.25,98.99,99.78,98.02
96.74,97.18,98.77,95.63
99.07,98.33,99.29,96.14
99.05,99.40,99.80,96.87
98.58,98.81,99.06,97.08
98.57,98.90,99.83,97.46
99.05,100.45,100.64,97.61
98.24,95.80,99.07,95.43
97.01,95.39,97.01,94.51
96.79,98.09,98.22,96.00
97.49,95.60,97.49,95.13
95.47,96.39,96.98,94.81
95.53,95.29,96.91,95.15
95.01,93.77,95.78,93.27
94.48,95.13,95.21,93.21
93.56,92.50,93.98,92.43
92.47,92.13,93.18,91.58
91.28,88.82,91.31,88.80
88.64,89.15,90.84,88.40
91.96,90.29,92.48,89.44
90.70,89.96,91.21,89.50
92.30,95.38,95.55,91.74
94.94,93.57,95.20,93.24
94.43,93.73,95.26,93.46
94.96,95.23,96.44,94.50
95.17,94.91,95.33,94.10
94.67,95.87,96.22,93.86
95.40,93.79,95.44,93.51
94.18,95.49,96.00,93.70
94.62,93.35,94.64,92.58
93.73,92.54,94.47,91.85
92.11,93.65,94.52,91.90
94.43,95.04,96.07,93.56
95.68,95.96,97.22,95.30
96.09,95.11,96.85,94.92
96.48,98.39,98.50,96.15
98.37,97.90,98.67,97.30
98.32,100.03,100.53,98.01
100.24,101.01,101.14,99.89
100.61,101.59,102.32,100.31
101.10,99.07,101.10,98.88
99.57,100.03,100.21,98.95
100.36,99.60,100.69,99.60
101.74,101.32,102.86,100.49
100.69,99.33,101.02,99.21
98.83,99.50,99.98,98.65
99.42,99.22,99.82,98.17
99.31,98.64,99.71,98.28
99.42,99.58,100.63,99.00
98.70,99.89,100.00,98.23
99.15,98.21,99.63,97.82
97.62,97.49,98.18,96.73
98.56,98.70,99.40,98.22
98.90,99.18,99.65,98.76
99.18,99.76,100.08,99.01
99.40,99.86,99.93,98.12
99.51,100.72,101.21,99.51
99.74,101.95,102.04,99.53
101.75,103.75,103.99,101.65
103.96,103.68,104.69,103.43
103.82,104.24,104.67,103.34
102.68,102.55,103.48,102.17
103.13,104.05,104.16,102.56
104.24,106.14,106.16,104.24
106.11,106.21,106.74,105.63
107.34,107.57,107.87,106.80
107.43,107.25,107.53,106.61
106.85,106.30,107.33,106.01
106.83,106.00,107.07,105.34
105.99,104.74,106.45,104.64
104.03,103.78,104.67,103.40
105.00,104.47,105.14,104.06
104.21,103.13,104.27,102.39
103.43,102.78,103.79,102.19
102.80,104.80,105.02,102.62
105.33,104.84,105.46,104.00
104.79,103.34,104.91,102.63
103.08,101.76,103.86,101.57
101.60,103.13,103.18,101.60
103.17,102.62,103.57,102.19
102.17,102.42,102.88,100.98
102.66,101.81,102.93,101.63
101.82,101.55,102.31,101.02
101.53,102.47,102.58,101.42
102.37,102.46,102.96,102.14
102.38,103.02,103.17,101.60
102.13,102.55,103.38,101.75
102.72,103.06,103.13,101.26
103.40,101.91,103.40,101.62
101.88,102.31,102.73,101.67
102.53,103.77,104.84,102.38
104.13,105.71,105.96,104.03
105.58,105.08,106.28,104.87
105.33,104.74,105.44,104.34
104.76,105.94,106.36,104.70
105.61,105.17,106.00,104.71
104.29,105.08,105.84,104.10
105.05,104.35,105.32,104.27
103.91,103.38,103.91,102.42
103.47,104.01,104.58,102.68
105.19,104.48,105.24,103.99
104.66,104.14,104.94,104.08
103.77,104.33,104.33,102.98
103.69,103.86,104.14,102.82
104.61,104.99,105.31,104.32
104.99,105.21,105.60,104.66
104.72,104.85,105.13,104.37
104.24,103.61,104.35,103.25
103.04,102.76,103.49,102.14
101.03,101.39,101.83,100.78
101.35,99.03,101.61,98.92
100.02,100.45,100.47,99.37
100.27,102.01,102.01,99.51
101.53,100.30,101.75,100.19
100.97,101.90,102.53,100.87
102.20,103.64,103.79,101.49
102.81,103.08,103.50,102.48
103.25,103.34,103.57,102.50
103.61,105.02,105.17,103.50
103.93,104.46,104.51,103.47
104.68,106.16,106.19,104.49
106.95,106.78,106.95,105.90
106.48,107.46,107.65,106.19
107.55,107.80,108.18,106.44
107.76,108.25,108.30,107.14
108.35,109.75,110.17,107.81
106.70,109.41,109.74,106.70
109.61,107.90,109.72,107.85
107.75,107.95,108.24,107.39
107.41,108.43,108.86,107.33
108.06,108.34,108.61,107.57
107.46,107.82,108.82,107.00
108.97,108.20,108.97,107.11
107.91,108.31,108.51,107.37
107.58,107.52,108.48,107.26
107.39,106.50,107.67,106.36
107.15,104.89,107.32,104.80
104.72,101.71,105.14,101.66
102.52,100.87,102.98,100.47
101.45,103.50,103.69,101.17
103.57,103.28,103.70,102.72
102.74,103.60,103.84,102.10
103.36,104.05,104.50,102.95
103.88,103.85,104.47,103.53
104.10,105.33,105.60,104.10
104.03,102.67,104.60,102.63
102.98,102.93,103.96,101.75
101.20,101.31,102.16,100.80
101.56,100.27,101.56,99.33
100.34,101.59,101.83,99.85
102.57,104.13,104.13,101.76
105.02,103.85,105.38,103.24
103.51,105.20,105.20,103.51
105.71,101.89,105.85,101.83
102.21,102.06,102.41,100.97
101.84,101.50,102.73,101.01
101.75,103.21,103.66,101.46
103.72,104.03,104.11,102.88
103.96,104.94,105.38,103.20
105.33,105.31,105.98,104.70
105.59,105.54,106.26,104.84
105.78,103.64,105.96,103.48
104.06,103.31,104.21,103.11
102.61,104.09,104.46,102.50
104.37,104.10,104.80,103.36
104.14,103.85,104.39,103.13
103.33,104.86,105.05,102.63
106.83,108.37,108.37,105.99
109.23,109.57,109.57,108.04
109.40,110.25,110.31,109.14
110.00,109.37,110.44,108.93
108.34,110.18,110.41,108.22
109.89,109.63,110.06,109.08
109.97,108.45,110.20,107.92
108.68,108.95,109.24,108.20
108.26,108.90,109.73,107.88
109.16,110.59,110.62,109.08
110.85,110.50,110.85,110.11
110.69,111.95,112.09,109.76
111.18,111.02,111.86,110.44
111.01,110.35,111.25,109.18
109.45,109.93,110.44,108.96
108.72,109.07,109.35,108.21
109.03,108.54,109.41,107.52
109.00,108.72,109.39,107.71
110.09,110.11,111.09,109.08
110.58,110.79,111.67,110.11
110.67,110.42,111.38,109.94
110.23,110.90,111.31,110.22
111.21,111.20,112.00,110.61
110.55,111.81,111.90,110.19
112.58,113.00,113.30,112.16
113.39,113.17,113.83,112.57
112.72,112.53,113.01,111.34
112.27,110.79,112.33,110.57
110.67,110.52,111.89,110.06
110.25,110.70,110.92,109.84
110.28,111.00,111.45,110.28
111.16,110.56,111.49,110.28
110.57,111.34,111.55,110.33
111.09,111.99,112.16,110.72
112.14,111.76,112.21,111.39
111.51,111.34,111.77,110.57
111.34,111.35,111.61,110.79
111.27,111.62,111.84,110.19
111.57,111.58,111.93,111.18
111.35,111.84,112.20,111.17
111.95,111.43,112.27,111.06
111.12,111.85,111.98,110.29
112.32,111.85,112.32,111.29
111.29,111.40,111.59,110.95
111.84,112.13,112.26,111.14
111.71,112.76,112.82,111.07
112.75,112.38,112.75,111.67
112.87,112.95,113.31,112.57
113.59,114.37,114.51,113.25
114.16,113.21,114.16,113.05
112.83,112.68,113.43,112.29
112.90,112.76,113.28,112.43
112.77,114.83,114.83,112.44
116.93,116.07,116.94,115.17
116.24,115.87,117.00,115.51
115.58,114.95,115.68,114.64
115.05,113.66,115.36,113.66
113.60,112.54,113.75,112.18
112.97,113.54,113.99,112.63
113.10,112.57,114.44,112.49
112.82,110.82,112.91,110.80
110.57,110.40,111.18,110.22
110.70,111.39,112.23,110.56
110.79,110.61,111.19,110.32
110.67,109.44,111.06,108.62
109.78,109.78,110.37,109.01
110.03,110.49,111.56,109.90
110.85,109.88,111.17,109.66
110.30,110.15,110.86,109.72
110.11,110.02,110.26,109.78
110.06,109.58,110.94,109.50
109.77,109.50,109.89,108.86
110.14,109.45,110.55,109.45
109.43,108.98,110.26,108.67
108.97,109.87,109.92,108.47
110.26,110.28,110.99,109.87
109.94,110.13,110.44,109.18
110.00,111.46,111.46,109.93
110.90,109.53,111.31,109.27
109.37,109.29,109.51,108.24
108.04,107.69,108.29,107.32
106.86,107.71,108.71,106.86
108.82,107.35,109.70,106.78
107.25,106.53,107.25,105.75
107.84,106.30,107.84,105.41
106.45,107.16,107.29,105.87
107.52,107.22,108.00,107.13
107.72,106.39,107.72,105.78
106.64,107.05,107.19,105.88
106.23,106.08,107.00,105.89
105.52,103.69,105.79,103.46
103.37,103.10,104.10,103.02
103.18,102.48,103.22,102.40
102.09,101.61,103.02,101.50
101.75,100.06,101.99,99.85
100.20,100.03,100.82,99.23
100.27,100.85,101.14,99.32
101.31,101.88,102.23,101.21
101.66,102.25,102.26,100.96
102.27,101.67,102.73,101.22
102.35,103.06,103.06,101.67
102.30,102.61,103.49,101.98
102.11,101.64,103.10,101.13
101.55,101.45,101.83,100.68
101.92,102.19,102.51,101.15
102.19,102.63,103.00,102.13
102.97,102.59,103.61,102.21
102.42,102.53,103.57,102.14
102.72,102.56,102.86,101.96
102.89,104.23,104.43,102.89
104.25,105.40,105.44,104.01
105.04,104.99,105.35,104.48
105.22,104.88,105.42,104.74
104.66,104.27,104.83,103.43
104.05,103.75,104.27,103.47
103.51,103.98,104.40,103.51
104.43,104.84,104.90,104.08
104.92,105.40,105.69,104.67
105.57,105.20,105.67,104.76
105.27,106.67,106.70,105.02
105.89,105.70,106.87,105.59
105.47,105.99,106.32,105.10
106.11,105.62,106.11,105.06
105.43,105.67,105.93,104.23
105.04,104.94,106.16,104.85
104.70,105.81,105.84,104.53
106.76,106.65,107.22,105.90
106.80,106.78,107.40,106.52
106.70,107.47,107.66,106.70
107.03,108.26,108.32,106.93
107.91,107.33,108.16,107.04
107.45,107.56,107.73,107.33
107.87,107.40,107.87,107.00
107.55,107.00,107.70,106.88
107.12,107.36,107.51,107.06
107.23,108.70,108.89,107.05
108.19,107.59,108.26,106.71
107.69,107.12,107.94,107.09
107.19,107.83,107.87,107.06
107.50,108.92,108.94,107.47
108.59,108.76,109.08,108.38
108.90,109.00,109.38,108.40
109.25,109.46,109.65,108.86
109.46,108.83,109.49,108.42
108.96,108.85,109.36,108.43
108.58,106.51,109.24,106.04
106.52,105.28,106.90,105.13
105.61,105.10,106.31,105.02
104.45,104.50,105.85,104.14
105.09,104.02,105.11,103.79
103.57,104.23,104.35,103.57
104.55,104.18,104.89,104.02
104.28,105.14,105.25,104.18
104.95,105.29,105.31,104.61
105.54,107.03,107.06,105.48
107.12,107.18,107.35,106.72
106.76,107.35,107.36,106.27
107.23,107.21,107.28,106.53
107.19,107.35,107.84,106.49
107.26,106.52,107.77,106.50
106.10,105.46,106.58,105.07
105.89,106.27,106.57,105.59
106.69,104.01,106.92,104.00
104.53,104.20,105.18,103.54
104.07,103.90,104.63,103.80
104.05,103.88,104.68,103.00
103.57,103.52,104.30,102.18
103.48,104.47,104.75,103.05
104.93,105.25,105.55,104.50
105.65,104.83,105.65,104.48
104.88,103.83,105.33,103.77
104.42,102.89,104.42,102.65
102.81,104.04,104.06,102.68
104.02,104.78,104.84,103.45
104.81,104.92,105.08,104.46
105.04,105.67,105.90,104.90
105.25,105.25,105.40,104.41
104.54,104.71,105.20,104.00
104.59,102.81,104.88,102.50
103.13,101.85,103.27,101.67
101.41,100.71,101.93,100.66
100.95,100.98,101.52,100.78
101.35,100.89,101.76,100.62
100.68,100.66,101.10,100.36
100.18,100.33,100.79,99.85
100.30,101.06,101.47,99.93
100.86,100.50,101.64,100.00
100.99,102.14,102.36,100.93
102.48,103.27,103.42,101.77
103.51,105.51,105.62,103.44
104.62,106.25,106.50,104.11
106.18,107.73,107.78,105.27
107.60,108.32,108.84,106.05
108.76,109.87,110.13,108.40
109.79,110.51,110.84,109.79
110.39,110.36,110.90,109.98
109.56,108.16,110.00,108.07
109.99,109.53,110.10,108.41
109.09,109.29,109.54,108.07
109.31,109.08,109.60,108.37
109.50,109.80,110.08,108.96
109.90,108.86,109.98,108.72
109.35,108.42,109.42,107.57
108.70,108.38,109.16,107.99
108.41,108.05,108.68,107.76
107.84,107.77,108.45,107.64
107.77,109.15,109.22,107.68
108.83,109.43,109.56,108.03
108.88,108.71,109.34,108.02
108.90,109.06,109.63,108.56
109.65,108.58,109.65,108.42
108.86,109.21,109.36,108.65
109.13,110.30,110.34,108.56
109.93,110.81,110.81,109.18
110.55,110.04,110.79,109.87
110.28,111.23,111.27,109.60
110.74,110.91,111.32,110.46
111.07,110.50,111.22,110.12
110.73,111.73,111.82,110.22
111.35,111.34,112.17,110.83
111.51,112.43,112.44,111.28
112.34,113.70,113.76,112.07
114.15,114.59,114.87,113.62
114.68,112.99,115.85,112.27
112.03,112.62,112.90,111.04
111.95,112.44,112.74,111.01
113.36,111.15,113.62,110.55
110.93,109.58,111.18,108.37
109.58,108.31,110.02,108.22
108.28,106.58,108.90,106.55
106.88,108.49,108.67,106.18
108.68,108.96,109.75,108.56
108.80,107.85,109.05,107.40
108.07,109.58,109.65,107.18
109.85,109.81,110.49,108.12
110.00,109.32,110.45,108.93
108.39,106.90,108.63,106.79
107.41,106.52,107.71,106.31
106.66,110.78,111.32,106.26
110.78,110.09,113.19,109.79
110.81,111.23,111.52,110.19
111.16,111.20,111.92,110.44
111.23,107.51,111.68,107.24
106.79,100.58,106.96,99.81
