FXA,Guggenheim CurrencyShares Australian Dollar Trust,NASDAQ
88.33,87.84,88.45,87.02
87.93,86.68,88.04,86.42
84.98,84.70,85.12,83.74
83.06,82.28,83.60,81.70
82.16,83.32,83.58,82.06
83.28,83.08,83.60,82.96
81.39,82.67,82.71,81.24
83.27,82.53,84.11,82.46
84.20,85.31,85.31,84.06
85.00,84.98,85.17,84.54
83.54,83.34,84.38,83.30
83.32,84.25,84.26,83.12
84.79,84.39,84.82,83.73
83.35,82.25,83.37,82.17
81.92,81.10,82.11,81.09
81.88,82.84,82.92,81.53
83.42,82.83,83.66,82.67
84.86,85.15,85.20,84.67
84.53,85.16,85.18,84.45
86.51,86.00,86.79,85.97
86.02,86.73,86.73,85.88
86.30,86.51,86.87,86.22
86.82,86.94,86.99,86.23
87.09,87.16,87.27,87.02
88.53,87.89,88.56,87.73
88.11,87.42,88.23,87.41
87.34,87.52,88.01,86.81
87.03,86.81,87.51,86.72
87.02,87.76,87.82,86.56
87.55,87.45,87.82,87.32
85.91,85.17,85.91,84.93
84.65,84.37,85.09,84.33
84.08,84.35,84.49,83.50
84.75,84.31,84.94,84.10
85.39,85.16,85.65,84.86
85.20,86.63,86.70,85.20
87.75,87.71,87.99,87.02
87.66,87.84,87.84,87.51
87.48,87.63,87.65,87.35
87.91,88.10,88.42,87.77
88.21,88.44,88.83,88.00
88.21,88.55,88.65,87.43
87.69,87.14,87.73,86.99
86.97,87.21,87.33,86.74
87.53,88.52,88.56,87.47
88.48,87.99,88.61,87.83
89.10,89.55,89.74,89.10
89.41,89.92,89.94,89.29
90.09,90.55,90.60,89.93
90.71,90.47,90.80,90.26
89.42,89.45,89.68,89.34
90.52,90.34,90.68,90.06
90.35,90.81,90.98,90.29
91.11,91.29,91.49,91.08
91.19,91.28,91.54,90.86
91.65,91.78,91.87,91.36
91.37,91.56,91.60,91.25
91.79,91.98,92.29,91.47
91.96,91.75,91.98,91.63
90.98,91.40,91.75,90.72
90.42,89.97,90.43,89.91
89.43,89.73,89.86,89.41
89.79,89.41,90.07,89.41
89.44,89.91,90.08,89.30
90.47,90.68,90.95,90.32
90.43,90.06,90.43,89.97
90.10,89.48,90.19,89.25
89.03,89.43,89.51,88.84
89.81,89.38,90.04,89.35
88.53,88.64,88.95,88.19
88.12,88.51,88.63,87.94
89.17,89.02,89.40,88.82
89.32,90.18,90.27,88.91
89.86,89.49,90.01,89.47
89.15,89.30,89.47,89.05
90.63,90.95,91.01,90.55
90.95,91.23,91.26,90.90
91.65,91.71,91.80,91.45
91.50,91.17,91.55,91.15
91.72,91.77,92.03,91.72
92.75,92.48,92.82,92.39
92.64,92.78,92.81,92.50
93.50,93.72,93.74,93.41
93.60,94.34,94.72,93.53
93.83,94.00,94.34,93.69
93.89,93.86,94.13,93.49
94.36,93.82,94.40,93.81
94.64,94.87,95.15,94.60
95.11,95.59,95.84,94.75
96.03,95.74,96.22,95.35
95.18,95.23,95.72,95.07
96.09,96.25,96.40,95.97
96.31,96.49,96.71,96.16
96.52,97.05,97.15,96.21
97.33,97.14,97.48,97.04
97.51,97.00,97.55,96.60
97.31,97.35,97.54,96.91
96.99,96.84,97.09,96.63
96.54,97.17,97.31,96.51
97.56,97.76,97.98,97.45
98.87,98.18,98.89,97.95
98.30,98.66,98.83,98.07
98.62,98.56,98.88,98.47
98.48,98.74,98.90,98.07
98.83,99.15,99.49,98.80
99.42,99.58,99.78,99.20
99.76,99.09,99.76,98.80
99.00,99.59,99.64,98.86
97.53,96.99,97.78,96.82
97.82,98.83,99.08,97.81
98.77,98.04,99.09,97.69
98.43,98.32,98.56,98.04
99.74,99.27,99.99,99.27
98.68,98.68,98.98,98.42
97.52,97.38,97.54,96.78
98.24,98.17,98.43,97.94
97.99,98.29,98.49,97.89
98.88,98.61,99.07,98.38
100.07,99.91,100.18,99.85
99.78,100.40,100.42,99.00
101.36,101.70,101.72,101.33
101.76,101.57,101.83,101.44
101.09,101.44,101.54,100.90
101.72,100.43,101.83,100.10
100.37,100.75,100.78,99.91
100.31,99.99,100.34,99.73
99.37,98.80,99.53,98.56
99.00,98.51,99.34,98.51
98.18,97.86,98.30,97.43
98.04,98.01,98.47,97.92
98.90,99.04,99.25,98.88
98.62,98.84,98.86,98.39
99.04,99.16,99.20,98.49
98.14,97.51,98.33,97.36
98.51,98.42,98.77,98.37
96.82,96.59,97.00,96.59
96.31,96.65,96.70,95.97
96.04,96.20,96.57,96.02
96.38,96.89,97.00,96.19
96.73,97.66,97.84,96.71
98.66,99.29,99.45,98.62
98.78,99.07,99.17,98.70
99.52,98.47,99.53,98.44
98.19,98.05,98.41,97.64
98.77,98.59,98.82,98.25
98.81,98.69,98.85,98.52
99.45,99.63,99.96,99.34
99.89,100.01,100.44,99.77
99.38,98.71,99.61,98.62
99.04,99.09,99.09,98.54
98.91,99.06,99.14,98.64
99.61,99.64,99.72,99.41
99.98,99.89,100.06,99.82
100.23,100.34,100.35,100.11
100.42,100.78,101.00,100.42
100.59,100.70,100.83,100.50
101.67,101.26,101.73,101.20
101.78,102.13,102.16,101.66
101.84,102.04,102.09,101.57
102.22,102.66,102.93,102.15
101.95,101.69,102.14,101.69
100.97,100.60,100.98,100.34
99.72,100.01,100.20,99.68
99.89,99.46,99.91,99.41
99.79,99.77,100.01,99.34
99.21,99.71,99.78,99.05
98.75,98.86,98.95,98.50
99.33,99.66,99.77,99.17
100.24,99.79,100.32,99.70
99.13,99.13,99.29,98.97
99.92,99.98,100.18,99.82
100.72,100.26,100.77,100.09
99.15,98.99,99.19,98.56
99.26,99.24,99.39,99.08
99.38,100.14,100.47,99.38
99.42,99.96,100.03,99.18
99.99,100.05,100.16,99.62
99.66,99.52,99.70,99.27
99.92,99.60,100.13,99.41
99.83,99.99,100.22,99.79
100.79,101.15,101.50,100.64
100.77,100.86,100.91,100.60
101.36,101.65,101.68,100.89
101.94,101.47,102.03,101.19
101.42,101.40,101.66,101.38
101.56,101.62,101.93,101.46
101.25,101.27,101.49,101.00
100.53,100.58,100.80,100.23
99.98,100.31,100.46,99.93
100.34,100.49,100.57,100.29
100.17,99.66,100.21,99.62
99.93,100.56,100.70,99.88
100.65,101.34,101.53,100.61
101.39,101.70,101.79,101.28
100.52,100.06,100.62,99.92
100.21,100.42,100.53,100.08
101.39,101.26,101.52,101.02
101.70,102.07,102.07,101.65
102.07,102.16,102.24,102.00
101.88,101.35,101.89,101.26
101.44,101.69,101.85,101.43
101.63,101.63,101.69,101.34
101.23,101.44,101.48,101.10
101.99,101.19,102.00,101.00
100.76,101.07,101.24,100.63
101.33,101.14,101.37,101.02
100.40,100.06,100.42,100.03
100.33,101.65,101.72,100.33
100.90,101.19,101.25,100.65
98.70,99.26,99.52,98.50
99.26,98.37,99.35,97.82
98.62,98.32,98.93,98.14
99.46,99.98,99.98,99.29
100.83,100.74,100.83,100.57
101.45,101.35,101.50,101.15
101.07,101.65,101.80,101.01
102.00,102.48,102.56,101.93
102.65,102.85,103.24,102.57
103.02,102.87,103.27,102.86
102.47,103.27,103.27,102.36
103.42,103.59,103.69,103.36
103.71,103.81,104.10,103.70
103.60,103.89,103.94,103.26
103.60,103.70,103.73,103.42
103.15,103.36,103.70,103.11
104.00,104.53,104.58,103.95
104.97,104.71,105.15,104.25
105.57,105.46,105.64,105.30
105.56,105.05,105.67,104.98
105.30,104.68,105.35,104.60
105.16,105.26,105.51,104.92
105.22,105.67,105.70,105.16
105.63,105.82,105.98,105.57
105.52,105.38,105.52,104.78
105.25,105.41,105.53,105.15
106.82,107.13,107.20,106.79
107.76,107.79,107.89,107.61
107.75,107.55,107.75,107.17
107.84,108.12,108.22,107.71
108.56,109.05,109.13,108.16
109.35,109.67,109.67,109.00
109.81,110.02,110.18,109.61
109.70,109.46,110.16,109.41
108.83,108.67,109.34,108.44
108.68,107.42,108.69,107.40
106.73,105.67,107.00,105.44
107.61,107.04,108.03,106.74
107.44,108.02,108.07,107.22
107.93,108.51,108.61,107.86
108.23,107.09,108.23,106.79
106.72,106.83,107.13,106.25
106.77,105.80,106.77,105.36
105.86,106.04,106.59,105.80
105.74,106.41,106.44,105.25
106.11,106.47,106.54,105.93
106.67,106.96,107.02,106.21
106.94,106.98,107.39,106.37
105.34,105.36,105.65,105.09
105.91,105.86,106.07,105.66
105.18,105.62,105.79,105.14
106.30,106.70,106.76,106.02
107.15,107.29,107.50,107.11
107.19,107.15,107.22,106.86
107.40,106.16,107.43,106.07
106.58,106.84,106.93,106.07
106.36,107.25,107.77,106.35
107.58,107.05,107.62,107.00
107.24,107.16,107.48,107.10
106.40,106.26,106.66,106.20
106.02,106.43,106.62,105.94
106.06,105.64,106.08,105.44
105.83,106.15,106.50,105.51
106.59,107.00,107.30,106.56
106.78,105.76,106.96,105.50
105.48,105.62,105.87,105.24
106.33,106.37,106.47,106.09
105.75,105.93,106.13,105.69
106.14,106.30,106.43,105.99
106.13,105.98,106.76,105.96
105.07,105.58,105.59,104.82
105.86,105.27,105.92,105.17
104.38,104.70,104.81,104.20
105.12,105.72,105.75,105.08
106.53,107.11,107.14,106.42
107.67,107.62,107.85,107.35
107.05,107.83,107.91,106.83
107.07,106.99,107.19,106.80
106.90,106.93,107.04,106.74
107.64,107.80,107.87,107.63
107.45,107.68,107.70,107.18
106.97,106.55,107.15,106.44
106.26,106.08,106.56,106.01
106.98,107.55,107.94,106.90
107.78,107.22,108.01,107.13
106.80,106.70,106.95,106.40
106.27,106.19,106.37,105.80
106.98,107.48,107.61,106.96
107.65,107.63,107.75,107.45
107.97,108.60,108.81,107.87
108.78,108.79,108.91,108.67
108.72,108.75,109.05,108.65
109.77,109.92,110.02,109.62
110.99,110.48,110.99,110.36
110.64,110.18,110.71,110.11
109.96,110.27,110.59,109.87
110.47,109.68,110.47,109.26
108.54,108.02,108.69,107.99
107.59,107.56,107.61,106.84
106.07,104.83,106.17,104.76
105.17,104.76,105.29,103.82
103.39,102.28,103.80,102.16
101.87,103.96,103.96,100.72
102.89,102.00,103.00,101.80
102.52,103.51,103.74,102.35
103.50,103.67,103.77,103.20
104.67,105.24,105.30,104.67
104.70,104.97,105.23,104.41
105.92,105.73,106.21,105.43
104.64,104.19,104.66,103.78
104.53,104.31,105.03,104.12
104.89,104.38,104.93,104.36
104.97,105.49,105.62,104.72
105.21,105.05,105.53,104.83
105.16,104.65,105.34,104.56
105.28,106.13,106.25,105.01
106.65,106.92,106.96,106.47
106.97,107.45,107.58,106.83
107.23,107.26,107.56,107.09
107.20,107.41,107.68,107.18
106.66,106.56,106.88,106.31
105.31,105.22,105.59,104.89
106.21,106.61,106.61,106.07
106.47,105.88,106.71,105.79
104.99,104.68,105.01,104.35
103.52,103.59,103.97,102.69
103.45,103.41,103.75,103.08
102.74,102.82,103.10,101.98
103.36,103.41,103.58,102.98
103.86,103.90,104.19,103.77
102.31,102.44,102.75,101.88
102.89,102.69,103.33,102.65
102.51,100.76,102.88,100.72
98.27,97.87,98.45,96.51
98.04,97.97,98.71,97.60
98.03,98.41,98.42,97.07
99.65,99.40,100.07,99.22
99.44,98.17,99.62,98.08
98.84,98.17,99.05,97.40
97.34,97.09,98.01,97.06
96.28,95.65,96.78,95.43
94.50,95.47,95.47,93.92
95.95,96.62,96.70,95.65
96.63,97.67,97.78,96.45
98.50,97.88,98.91,97.48
99.55,100.02,100.28,99.52
99.49,100.06,100.14,99.34
101.44,101.70,102.19,101.19
101.74,102.24,102.27,101.24
103.19,103.63,103.63,103.06
102.96,102.04,102.96,102.00
101.94,102.96,103.48,101.54
103.28,102.42,103.45,102.25
102.77,102.72,103.02,101.91
103.55,103.74,103.94,103.36
104.29,105.08,105.31,104.22
104.80,104.57,105.12,104.29
104.46,104.36,104.55,103.57
107.30,107.54,107.87,106.87
107.03,107.51,107.65,107.01
106.28,105.76,106.49,105.70
102.99,103.29,103.86,102.84
103.88,103.46,104.09,102.95
103.82,104.22,104.42,102.99
103.81,103.93,104.15,103.23
103.67,103.81,104.00,103.34
103.53,104.11,104.13,103.24
102.30,101.65,102.30,101.54
102.01,101.57,102.03,101.03
102.26,103.00,103.17,102.22
102.44,102.10,102.49,101.78
101.84,101.96,102.16,101.43
101.35,101.04,101.83,101.00
100.98,100.11,101.09,99.93
100.90,100.36,100.95,100.24
99.12,98.85,99.12,98.35
98.66,98.63,98.91,98.36
97.48,97.17,97.49,96.90
97.31,97.27,98.01,97.27
99.88,99.28,99.96,98.97
100.22,100.52,100.66,100.14
102.90,103.12,103.26,102.65
102.17,102.18,102.64,102.07
102.84,102.13,102.84,102.12
102.93,102.83,103.09,102.56
102.24,102.51,102.70,102.15
102.55,102.87,103.11,102.44
102.59,101.66,102.71,101.53
101.37,102.27,102.36,101.33
101.06,100.89,101.06,100.62
101.28,100.21,101.76,99.92
99.51,99.20,99.72,98.97
99.97,99.31,99.99,99.27
99.92,99.89,100.13,99.60
99.68,99.04,99.80,99.00
100.77,100.96,101.13,100.75
101.10,101.14,101.17,100.72
101.32,101.59,101.74,101.26
101.74,101.78,101.93,101.59
101.76,101.84,102.03,101.74
102.12,101.16,102.12,100.99
101.10,101.72,101.74,101.02
102.10,102.62,103.00,102.05
103.33,103.76,103.88,103.33
103.32,103.76,103.77,103.11
102.79,102.73,102.84,102.39
102.61,102.34,102.61,102.06
102.43,102.55,102.66,102.05
103.48,103.12,103.52,103.12
102.91,103.19,103.26,102.75
103.65,103.57,103.70,103.08
103.05,103.23,103.24,102.47
104.07,103.82,104.20,103.74
103.90,104.48,104.49,103.83
104.35,104.40,104.43,104.15
104.85,105.04,105.11,104.75
105.70,105.62,105.96,105.39
104.70,105.04,105.10,104.62
104.99,106.32,106.47,104.71
106.96,106.48,107.14,106.40
106.44,106.92,106.98,106.44
105.77,106.25,106.31,105.68
107.04,106.52,107.06,106.24
107.16,107.02,107.41,106.95
107.31,107.11,107.50,106.98
107.38,107.87,108.03,107.33
107.18,107.39,107.53,107.10
108.07,108.10,108.24,107.93
108.35,108.03,108.41,107.79
108.29,107.96,108.31,107.93
106.82,106.71,106.97,106.67
107.63,107.47,107.67,107.40
107.18,107.00,107.29,106.46
107.69,107.06,107.69,106.96
107.23,107.71,107.87,107.14
107.74,107.35,107.74,107.11
107.02,106.90,107.21,106.79
106.49,106.61,106.79,106.29
107.12,107.28,107.34,106.88
107.43,107.14,107.63,107.13
107.14,107.78,108.09,107.00
107.80,107.94,108.03,107.57
108.67,107.56,108.85,107.44
107.73,107.96,108.13,107.69
107.66,107.35,107.68,107.31
106.92,106.76,107.00,106.63
105.69,105.63,105.81,105.32
105.52,105.88,105.99,105.40
106.26,106.51,106.79,106.03
106.09,105.84,106.34,105.79
105.16,105.18,105.19,104.88
105.15,105.46,105.68,104.98
104.83,104.65,104.88,104.45
105.30,105.50,105.69,105.13
105.96,105.98,106.13,105.92
105.88,106.29,106.57,105.80
105.06,105.01,105.18,104.79
104.74,104.71,104.80,104.45
103.85,104.05,104.12,103.62
104.16,104.98,104.98,104.00
105.48,105.61,105.70,105.34
105.37,104.91,105.37,104.88
104.20,104.23,104.24,103.86
103.74,104.07,104.13,103.35
104.14,103.87,104.14,103.80
103.74,104.28,104.45,103.74
103.80,103.31,103.90,103.04
102.72,102.63,102.89,102.58
102.92,103.11,103.28,102.90
102.95,103.31,103.41,102.95
102.99,102.63,103.07,102.61
103.25,103.10,103.43,103.04
104.13,104.52,104.63,104.09
104.25,103.84,104.28,103.75
103.83,103.74,103.94,103.56
103.96,104.14,104.35,103.84
103.77,103.69,104.04,103.63
103.58,103.56,103.73,103.38
103.79,103.89,104.06,103.78
103.10,103.42,103.42,102.99
103.23,103.18,103.47,103.03
103.70,103.81,103.86,103.43
103.99,104.23,104.27,103.96
104.74,104.92,105.05,104.60
104.52,104.52,104.59,104.39
103.36,103.35,103.54,103.25
103.12,103.36,103.36,102.88
102.82,102.63,102.86,102.47
102.11,101.89,102.17,101.86
102.00,102.07,102.24,101.84
101.36,101.20,101.41,100.96
100.47,100.70,100.92,100.30
101.46,100.98,101.49,100.97
100.35,100.44,100.89,100.34
99.91,99.78,100.14,99.72
99.79,99.41,99.99,99.35
99.59,99.19,99.84,99.17
99.47,99.20,99.70,99.15
98.94,98.29,98.94,93.95
98.41,99.33,99.37,98.36
99.08,98.35,99.24,98.09
97.86,97.91,97.91,97.10
98.13,97.82,98.17,97.40
97.89,97.82,98.16,97.82
98.80,98.68,99.06,98.27
97.73,97.40,97.74,97.34
97.66,97.73,98.00,97.10
96.91,96.89,97.25,96.54
97.36,97.31,97.49,96.98
97.42,97.46,97.64,97.21
98.76,99.38,99.39,98.76
100.08,99.08,100.12,99.03
98.51,99.30,99.35,98.46
99.67,98.76,99.68,98.71
99.29,99.59,99.64,98.99
99.81,99.55,100.14,99.48
99.78,100.13,100.18,99.71
100.46,101.00,101.04,100.39
100.88,101.31,101.56,100.75
101.94,102.06,102.15,101.85
102.03,101.90,102.40,101.50
101.78,100.46,101.84,100.46
100.75,100.87,100.95,100.50
100.16,100.26,100.31,99.88
100.55,100.85,101.02,100.31
101.04,100.98,101.10,100.85
100.59,100.70,100.71,100.20
102.58,102.55,102.80,102.49
102.59,102.59,102.64,102.26
102.60,102.90,102.97,102.57
102.77,102.93,103.08,102.60
102.34,102.25,102.40,101.87
101.89,102.10,102.11,101.77
102.44,101.92,102.48,101.88
102.58,102.53,102.76,102.28
101.34,101.51,101.65,101.13
101.91,102.32,102.39,101.89
102.50,102.66,102.71,102.29
102.96,103.26,103.30,102.49
103.23,103.79,103.83,103.23
104.31,104.42,104.50,104.18
104.03,103.94,104.08,103.81
102.79,102.98,103.06,102.63
103.29,102.72,103.33,102.36
103.25,103.33,103.57,102.84
104.19,104.19,104.44,104.08
104.54,104.95,105.08,104.51
105.11,105.26,105.32,105.06
105.30,105.32,105.56,105.22
105.26,104.56,105.30,104.51
104.68,104.58,105.09,104.42
105.37,105.62,105.73,105.32
105.56,105.75,105.96,105.47
105.83,105.53,105.90,105.52
105.61,105.76,105.88,105.58
105.78,105.87,105.99,105.72
105.40,105.85,105.89,105.34
105.50,105.26,105.53,105.07
105.10,105.06,105.18,104.93
105.09,105.15,105.27,105.07
105.13,105.30,105.42,104.95
104.63,104.38,104.63,104.26
104.63,104.67,104.76,104.58
105.26,104.90,105.38,104.88
104.42,105.17,105.31,104.41
104.87,104.58,105.09,104.55
104.13,104.27,104.48,103.98
104.02,103.90,104.14,103.90
103.96,104.03,104.13,103.86
104.07,103.76,104.11,103.72
103.59,103.22,103.59,103.00
103.45,103.54,103.81,103.06
102.50,102.28,102.51,102.19
102.00,101.92,102.08,101.80
102.30,102.85,103.05,102.30
103.74,103.99,104.03,103.71
103.54,103.46,103.76,103.41
104.19,104.46,104.58,104.19
104.82,104.65,104.85,104.54
104.56,105.54,105.80,104.11
105.87,105.70,106.34,105.64
105.25,104.90,105.37,104.69
104.47,104.63,104.73,104.39
104.71,105.03,105.14,104.62
104.03,104.62,104.63,103.93
105.23,104.67,105.25,104.61
104.22,104.38,104.52,104.19
104.66,104.07,104.80,104.04
103.73,103.82,103.91,103.61
104.49,104.66,104.81,104.29
104.37,104.00,104.37,103.90
103.78,103.70,103.99,103.56
103.22,102.65,103.23,102.56
102.27,102.08,102.30,102.00
102.21,102.47,102.78,102.11
102.64,101.74,102.70,101.57
101.96,102.02,102.24,101.89
102.28,102.05,102.37,101.83
102.54,102.43,102.71,102.30
102.89,102.72,102.94,102.67
102.50,102.43,102.63,102.27
102.52,102.66,102.71,102.31
102.81,102.88,102.94,102.65
103.59,103.96,104.01,103.53
103.85,103.85,104.23,103.70
103.77,103.39,103.77,103.34
103.42,103.34,103.55,103.15
102.87,102.79,102.88,102.53
103.60,103.53,103.78,103.42
104.04,103.78,104.09,103.57
103.83,103.87,104.04,103.62
103.85,103.98,104.06,103.73
103.92,104.00,104.15,103.90
104.01,103.38,104.01,103.35
103.63,103.66,103.73,103.56
104.40,104.39,104.51,104.29
104.29,104.19,104.32,104.07
104.20,104.11,104.52,104.11
103.81,103.95,104.10,103.80
104.45,104.35,104.47,104.27
104.13,104.39,104.55,104.10
104.25,103.80,104.28,103.77
103.40,103.44,103.51,103.19
103.35,103.57,103.63,103.00
104.18,104.21,104.29,104.11
103.84,104.04,104.04,103.73
103.70,103.81,103.81,103.53
104.33,104.83,104.89,104.33
104.68,104.86,104.86,104.59
104.83,104.55,104.88,104.54
104.53,104.99,105.01,104.48
104.55,104.56,104.68,104.40
104.26,104.54,104.62,104.26
104.35,104.22,104.36,104.17
104.78,104.74,104.85,104.73
104.72,104.56,104.79,104.47
105.01,104.89,105.20,104.77
104.85,104.94,105.01,104.78
105.10,104.94,105.11,104.88
105.13,105.30,105.37,105.12
105.55,105.56,105.94,105.48
105.64,105.36,105.69,105.18
105.43,105.69,105.88,105.42
105.49,105.61,105.65,105.49
105.40,105.46,105.58,105.29
105.00,105.04,105.15,104.93
104.88,105.01,105.03,104.79
104.47,104.21,104.48,104.11
104.02,103.85,104.05,103.71
103.93,103.90,104.03,103.65
103.91,103.97,104.04,103.69
104.12,103.89,104.13,103.87
103.94,104.15,104.25,103.94
105.16,105.00,105.26,104.83
105.19,104.70,105.30,104.65
104.49,104.87,104.90,104.45
104.92,105.09,105.11,104.80
105.00,105.03,105.06,104.81
105.28,105.20,105.36,105.00
105.81,105.98,106.03,105.72
105.71,105.40,105.72,105.37
105.69,105.77,105.81,105.58
105.48,105.71,105.75,105.43
105.63,105.82,105.84,105.56
105.52,105.52,105.69,105.36
105.16,105.19,105.26,104.97
105.79,105.77,105.85,105.63
105.62,105.64,105.70,105.47
104.86,104.80,104.93,104.67
104.56,104.43,104.59,104.19
104.15,104.30,104.35,104.05
104.70,104.83,104.90,104.68
104.40,104.29,104.52,104.18
104.39,104.47,104.70,104.34
104.20,104.01,104.21,103.85
104.35,104.30,104.43,104.18
103.89,104.02,104.19,103.73
103.12,103.30,103.34,103.08
103.26,102.89,103.34,102.80
103.31,103.24,103.39,103.15
102.80,102.83,103.00,102.73
102.78,103.09,103.27,102.74
103.46,103.52,103.62,103.45
103.64,103.68,103.74,103.49
103.38,103.12,103.39,102.99
103.55,103.63,103.80,103.50
103.25,102.59,103.25,102.51
102.59,102.58,102.76,102.35
103.28,103.44,103.47,103.12
103.20,102.85,103.27,102.79
102.61,102.53,102.70,102.16
102.07,102.50,102.59,102.02
102.58,102.34,102.71,102.32
102.02,102.02,102.17,101.85
101.52,101.90,102.00,101.48
102.42,102.48,102.62,102.27
102.86,102.44,102.89,102.36
102.72,102.73,102.93,102.66
102.39,102.44,102.49,102.17
102.35,102.77,102.81,102.33
103.37,103.29,103.41,103.18
103.21,103.16,103.24,102.90
103.66,103.84,104.08,103.66
103.89,104.16,104.20,103.50
104.01,104.01,104.20,103.97
103.88,103.81,103.91,103.62
103.91,103.91,104.12,103.86
104.38,104.47,104.70,104.36
104.43,104.58,104.72,104.38
104.89,104.78,104.93,104.57
105.02,105.00,105.10,104.85
104.55,104.63,104.63,104.34
104.21,104.27,104.42,104.19
104.00,104.20,104.32,104.00
104.58,104.46,104.62,104.40
104.89,104.56,104.97,104.52
104.09,104.34,104.53,103.87
103.95,104.00,104.02,103.58
104.19,104.16,104.21,103.84
104.92,104.91,105.11,104.76
105.30,105.49,105.56,105.30
105.62,105.51,105.76,105.48
105.35,105.18,105.43,104.88
104.12,103.05,104.14,103.05
103.76,104.01,104.03,103.49
103.45,103.03,103.49,102.85
103.24,103.06,103.27,102.91
103.23,103.01,103.29,102.89
102.65,102.81,102.89,102.49
102.66,102.80,102.82,102.46
102.88,102.96,103.03,102.67
103.23,103.04,103.29,103.00
102.95,102.95,103.03,102.85
103.48,103.66,103.75,103.46
103.64,103.86,104.00,103.48
103.07,102.69,103.13,102.66
102.39,102.50,102.61,102.37
102.94,103.23,103.25,102.94
102.39,102.53,102.56,102.33
101.72,101.88,101.91,101.58
101.91,101.71,102.04,101.64
102.04,100.80,102.04,100.48
100.01,100.11,100.30,99.65
99.87,99.64,99.90,99.45
99.13,98.98,99.34,98.80
99.08,98.88,99.24,98.68
98.42,98.16,98.87,98.08
97.22,97.32,97.58,97.19
97.77,98.28,98.36,97.77
97.80,98.13,98.54,97.64
97.73,97.09,98.36,96.73
97.31,97.61,97.87,97.01
96.87,96.64,96.98,96.49
96.88,96.50,97.03,96.39
96.34,96.57,96.76,96.28
96.49,96.76,97.07,96.42
96.08,95.86,96.20,95.67
96.48,97.56,97.89,96.36
96.55,96.47,96.65,96.11
95.52,95.37,95.64,95.10
94.89,96.13,96.75,94.76
94.60,95.04,95.14,94.41
94.31,94.62,94.83,94.16
93.65,94.39,94.58,93.56
95.22,94.68,95.41,94.67
95.80,96.39,96.47,95.73
96.19,95.98,96.58,95.76
95.94,95.72,96.03,95.17
94.79,94.86,95.22,94.60
