WSO,Watsco,NASDAQ
68.79,69.63,70.28,68.48
70.03,70.04,70.13,69.78
69.85,68.96,69.92,68.72
68.83,68.82,68.99,67.81
68.96,67.71,69.21,67.24
67.26,66.91,67.73,66.66
66.69,65.97,67.08,65.62
66.31,67.09,67.20,65.92
67.51,66.40,67.64,66.19
66.05,66.09,66.59,65.99
65.35,65.58,66.00,64.90
65.66,64.52,65.99,64.23
64.38,64.53,64.71,64.10
64.21,65.07,65.40,64.16
65.31,65.18,65.55,64.94
65.95,66.94,67.07,65.36
66.83,64.34,67.37,64.31
64.46,63.89,64.64,63.73
63.28,62.75,63.66,62.72
62.82,62.07,63.04,62.00
62.52,62.19,62.64,62.05
62.08,62.52,62.84,62.03
62.66,62.82,63.08,62.40
62.55,62.40,62.76,62.17
62.47,62.97,63.22,62.47
62.75,64.36,64.66,62.66
63.79,62.97,64.08,62.45
63.11,63.66,64.03,62.93
63.98,63.51,63.99,63.20
63.37,64.06,64.24,63.00
64.81,65.81,65.92,64.51
65.55,65.83,66.35,65.55
65.03,66.23,66.33,64.45
66.30,65.63,66.89,65.36
65.70,66.15,66.43,65.12
66.44,66.84,66.84,66.30
67.14,67.01,67.34,66.69
67.45,67.99,68.19,67.13
67.67,68.89,69.19,67.67
68.72,67.89,68.86,67.68
67.48,67.48,67.93,66.98
68.39,69.26,69.50,67.84
68.43,68.38,68.98,67.94
67.47,66.76,68.15,66.56
66.62,66.35,67.06,66.32
66.15,65.98,66.65,65.50
66.37,64.48,66.65,64.40
64.88,63.66,65.15,63.43
63.47,62.87,63.53,62.54
63.47,64.55,64.84,63.43
64.68,64.54,65.00,63.97
64.84,63.98,64.99,63.94
64.10,63.23,64.10,63.10
62.45,62.16,63.00,62.04
58.86,60.06,60.64,57.58
59.95,59.11,59.95,58.51
59.04,59.16,59.74,58.65
58.42,59.18,59.90,58.41
59.78,58.65,59.98,58.27
58.36,57.15,59.24,57.10
57.16,57.51,58.00,55.53
56.78,55.80,57.50,55.75
56.37,55.81,57.02,54.54
54.59,52.93,56.83,52.93
54.13,56.11,56.12,51.74
54.88,52.85,55.52,52.75
52.89,56.13,56.70,51.84
56.56,56.65,57.01,55.72
57.07,56.94,57.49,56.06
56.43,57.01,57.71,56.17
57.30,56.19,57.76,55.57
54.81,53.39,54.81,52.83
52.50,53.56,54.54,52.40
54.90,53.45,55.08,53.24
53.75,56.08,56.09,53.32
56.06,56.59,57.01,55.20
56.98,54.95,57.51,54.47
55.11,57.50,57.82,54.14
