CDTI,Clean Diesel Technologies,NASDAQ
6.20,6.05,6.20,5.70
6.05,5.59,6.05,5.59
nan,5.59,nan,nan
5.95,5.65,5.95,5.65
5.70,5.70,5.70,5.70
5.90,5.90,5.90,5.90
5.90,5.90,5.90,5.90
5.95,5.90,5.95,5.90
nan,5.90,nan,nan
5.60,5.13,5.90,4.90
5.25,5.75,5.80,5.25
5.80,5.55,5.80,5.55
5.25,5.25,5.39,5.25
5.30,5.75,5.75,5.30
5.30,5.30,5.30,5.30
5.30,5.30,5.30,5.20
5.25,5.05,5.25,5.05
5.15,5.05,5.30,5.00
5.15,5.25,5.25,5.05
5.25,5.40,5.40,5.25
5.50,5.50,5.50,5.38
5.40,5.30,5.50,5.30
5.15,5.00,5.40,4.95
5.00,5.00,5.00,4.75
5.00,5.00,5.00,5.00
4.35,4.45,4.90,4.35
4.50,4.54,4.75,4.50
4.50,4.70,4.70,4.50
4.36,4.65,4.70,4.36
4.40,4.65,4.70,4.40
4.70,4.65,4.70,4.65
4.50,4.65,4.65,4.35
4.35,4.35,4.35,4.35
4.55,4.55,4.55,4.55
4.55,4.36,4.55,4.36
4.35,4.10,4.35,4.10
4.11,4.10,4.12,4.10
4.15,4.15,4.15,4.15
4.05,4.05,4.06,4.05
4.02,3.40,4.02,3.40
3.40,3.75,3.85,3.40
3.80,3.80,3.80,3.75
3.50,3.65,3.65,3.50
3.65,3.75,3.80,3.65
3.80,3.75,3.80,3.75
3.65,3.50,3.75,3.50
3.50,3.32,3.50,3.26
3.35,3.43,3.43,3.26
3.50,3.50,3.50,3.50
4.00,3.75,4.00,3.56
4.32,4.00,4.32,3.80
4.00,4.20,4.90,4.00
4.65,4.40,4.75,4.30
4.40,4.30,4.40,4.30
4.00,4.08,4.08,3.80
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
24.22,19.94,24.40,15.00
21.20,53.25,66.15,21.20
61.85,55.75,61.85,45.15
55.75,99.45,99.45,55.40
97.50,185.30,221.90,77.55
155.60,148.60,188.90,116.35
126.90,84.60,135.00,82.55
83.80,84.25,101.65,76.05
90.00,71.20,90.00,67.60
65.55,65.00,72.50,60.50
64.50,70.25,73.50,61.00
75.90,63.90,78.75,63.00
68.95,64.95,71.25,63.55
66.25,64.00,68.75,63.05
67.50,60.54,67.50,60.00
60.00,56.20,60.50,56.20
56.10,55.00,59.45,52.30
55.05,48.25,55.05,47.55
47.65,49.50,50.76,45.60
47.50,59.08,68.90,47.50
59.60,76.60,78.70,59.60
89.40,92.50,104.00,87.50
97.50,85.40,107.50,81.75
84.95,81.90,94.65,81.90
81.90,70.25,83.61,69.45
70.30,65.45,71.20,63.30
65.45,76.05,78.25,65.00
76.05,80.00,81.00,72.55
81.05,90.00,91.00,80.10
91.30,83.65,94.10,77.90
83.30,81.86,89.70,79.25
80.55,74.50,84.80,73.00
75.10,73.75,77.80,73.50
73.55,70.35,78.50,70.35
71.50,71.05,72.50,68.25
70.70,69.65,73.15,68.30
68.60,67.50,68.75,65.25
67.50,65.40,67.90,65.00
65.15,67.45,70.00,62.80
66.55,65.10,67.45,64.50
65.75,62.98,66.55,61.28
64.25,61.65,66.18,61.65
61.45,55.00,62.10,54.00
55.00,52.05,55.00,51.30
51.85,49.75,52.00,49.45
49.80,55.00,58.75,48.30
54.85,53.15,56.65,51.60
54.10,52.13,55.00,51.50
51.68,50.07,53.45,48.85
49.75,49.95,50.55,49.00
49.55,47.45,49.55,46.65
48.20,46.95,49.50,45.85
46.00,43.45,46.60,42.88
43.25,47.00,53.25,40.00
49.45,44.85,51.20,44.80
44.45,45.65,47.50,41.55
45.05,45.70,47.50,43.05
46.40,51.75,58.45,46.40
54.20,52.65,56.50,51.50
52.95,47.00,55.10,46.50
46.75,46.75,49.50,45.40
46.20,46.85,48.65,46.00
46.55,44.90,46.80,44.90
44.45,42.50,44.45,41.75
42.55,42.80,46.50,42.15
43.40,42.66,44.75,42.55
42.50,40.75,42.60,40.00
40.65,39.65,40.65,38.25
39.35,38.49,39.50,37.25
38.00,36.03,38.50,34.70
36.15,33.25,37.00,32.50
33.95,32.90,34.25,30.40
32.88,37.20,38.75,31.30
36.95,39.40,41.95,36.95
40.40,36.75,40.40,35.30
37.05,38.40,39.55,35.00
38.60,37.70,38.60,36.25
37.45,37.44,38.60,36.45
37.20,37.10,38.95,35.05
37.25,36.25,38.20,36.10
36.25,36.78,37.25,35.86
37.25,37.40,38.10,36.50
37.50,36.97,37.50,36.50
37.20,39.10,40.35,36.95
38.90,37.65,39.10,36.00
37.15,35.25,37.15,35.00
35.45,31.80,35.45,31.00
31.65,29.45,32.65,28.40
29.40,30.45,31.60,28.50
31.20,29.55,32.30,29.30
30.35,28.45,30.35,28.25
28.25,27.60,29.15,27.30
27.05,31.10,35.00,27.00
30.55,31.55,33.63,30.55
31.40,29.50,31.40,28.85
29.95,31.75,33.75,28.80
32.05,30.45,32.45,30.15
30.25,28.30,30.60,27.95
28.00,28.50,29.40,28.00
28.40,28.40,30.05,27.90
27.70,28.70,29.00,27.30
28.65,27.70,30.00,27.10
28.50,28.40,29.90,28.05
28.90,27.55,28.90,27.50
27.95,27.95,28.59,26.10
27.75,27.05,28.00,26.85
27.00,27.55,28.50,25.80
27.45,27.50,28.25,27.45
27.85,27.16,28.35,26.25
26.05,28.20,29.95,26.05
28.15,28.15,29.00,26.35
28.65,31.75,32.67,28.50
33.50,43.00,44.35,33.50
32.75,33.00,35.75,31.95
34.15,32.85,34.15,31.65
32.95,30.55,33.00,30.15
30.45,31.00,32.30,30.45
30.80,29.65,31.20,29.00
29.95,29.36,31.00,29.25
29.40,30.60,31.15,29.25
30.25,30.20,30.95,29.30
30.30,29.47,30.30,29.00
29.15,28.48,29.46,27.65
27.80,28.15,28.74,27.00
27.00,25.25,28.45,23.70
25.25,23.75,25.50,23.00
23.75,24.00,24.85,22.26
23.50,22.00,24.55,21.85
22.10,22.35,23.20,22.00
22.50,23.50,23.50,22.15
23.70,22.85,23.90,22.50
22.65,22.40,22.65,22.00
22.25,21.60,22.25,21.40
21.75,21.00,21.78,21.00
20.95,20.25,21.25,19.76
20.00,18.45,20.00,18.05
19.55,21.60,25.40,18.25
21.90,20.65,22.50,20.50
20.85,21.35,22.25,19.55
21.35,21.85,23.45,21.30
21.65,22.15,24.75,21.60
21.95,21.60,22.45,20.85
19.48,21.85,22.40,18.45
21.85,20.00,22.40,20.00
19.95,19.00,19.95,18.25
19.25,19.34,19.75,19.25
20.55,22.50,24.05,20.55
22.85,21.65,22.85,21.40
21.25,19.90,22.20,19.40
19.48,19.45,20.00,18.85
19.95,19.50,20.65,19.50
27.70,38.00,43.20,27.50
40.90,42.25,56.00,40.55
47.30,41.25,52.25,39.55
39.45,35.90,41.00,35.00
36.00,37.75,40.70,36.00
36.55,34.15,37.10,33.90
32.85,32.45,35.90,31.92
33.05,28.25,33.90,28.10
28.40,30.85,34.50,26.65
31.40,29.95,32.15,29.00
29.05,27.65,29.65,26.72
27.85,28.10,29.40,26.70
28.50,28.35,31.70,27.55
27.60,31.30,32.50,26.90
31.30,30.00,33.65,28.00
30.00,30.50,30.95,28.50
30.15,28.55,30.15,28.00
29.45,28.25,31.45,27.55
28.25,28.30,29.20,28.05
27.95,27.95,28.35,26.85
28.10,25.90,28.40,25.40
26.15,21.95,26.75,20.80
22.95,20.20,22.95,19.75
22.55,24.80,25.70,22.20
24.30,23.75,24.75,22.50
24.00,23.65,24.00,22.90
24.00,23.80,24.95,23.25
25.25,24.25,26.75,23.86
25.00,24.30,25.00,23.75
23.60,22.50,23.80,22.42
22.50,21.05,22.50,20.80
24.75,33.60,35.60,23.55
35.55,30.30,35.60,29.65
30.40,29.35,31.85,29.10
29.55,30.35,32.35,28.30
30.35,32.75,35.50,29.00
37.05,35.75,40.00,35.00
36.00,34.50,38.00,33.40
34.45,31.20,35.25,30.70
31.20,30.70,31.44,29.50
30.25,31.40,32.70,29.75
31.40,29.85,31.70,29.75
30.00,27.00,30.00,26.75
26.95,27.22,29.35,26.55
26.40,26.60,27.38,25.75
28.85,27.05,29.00,26.60
27.00,25.05,26.25,24.50
25.13,26.55,26.70,24.50
26.10,23.95,27.45,23.75
24.35,23.45,25.00,22.00
21.75,21.85,21.96,20.25
22.95,23.28,23.60,21.30
22.50,23.75,24.25,22.00
24.95,25.65,26.02,24.25
22.50,22.25,23.00,20.75
22.85,22.00,23.30,21.85
22.25,21.70,22.55,21.40
21.95,20.85,21.95,20.00
20.10,18.85,20.45,18.50
18.50,17.90,18.72,17.75
18.65,17.75,18.85,17.50
17.80,18.40,18.80,17.55
18.45,18.35,18.80,17.80
18.85,18.90,19.40,18.25
18.90,18.85,19.25,17.95
19.20,20.75,21.75,18.50
20.95,21.20,21.70,20.32
21.55,20.75,21.70,20.60
20.90,19.45,21.50,19.35
19.00,19.45,20.35,18.75
18.45,18.75,18.95,18.00
19.45,19.05,19.75,18.50
18.55,19.00,20.45,18.55
18.75,18.70,19.45,18.70
18.10,18.50,18.75,17.75
18.50,19.00,19.25,18.30
19.25,19.05,19.50,18.25
19.10,18.55,19.50,18.50
18.65,18.75,18.84,18.05
18.15,18.25,19.25,18.15
18.25,17.50,18.90,17.50
17.50,15.95,17.85,15.85
15.00,14.10,15.00,13.35
14.25,14.00,15.05,13.50
14.45,14.00,15.40,13.40
14.60,13.80,15.25,13.80
13.80,13.15,14.00,13.15
13.70,12.00,13.70,11.75
11.65,11.60,11.95,10.80
11.55,10.25,11.70,9.65
10.10,9.84,10.40,7.50
9.95,10.40,10.40,9.55
10.35,12.35,13.20,10.15
12.25,16.65,17.60,11.55
15.75,14.85,16.60,14.25
15.85,19.30,20.20,15.75
19.75,18.05,19.75,17.40
19.75,19.40,22.70,18.90
19.60,18.65,21.25,18.35
19.10,18.00,19.80,17.75
17.85,16.60,18.00,15.55
16.50,15.50,16.55,15.50
15.70,14.05,15.70,13.75
14.45,17.50,18.50,14.20
17.70,18.15,19.55,17.10
17.55,16.70,18.05,16.40
18.50,18.35,19.55,17.65
19.30,17.70,19.75,17.50
17.00,17.90,18.50,16.45
17.70,17.50,18.00,16.90
16.55,15.80,17.30,15.25
16.50,16.50,17.40,16.05
16.90,16.45,16.95,16.00
16.25,16.40,17.22,15.75
16.65,16.85,17.75,16.10
16.95,18.10,18.65,16.65
17.50,17.60,17.90,16.55
18.00,17.90,20.95,17.65
18.25,17.35,18.25,16.60
17.15,16.75,17.35,16.00
16.95,16.80,17.75,15.90
17.05,16.35,17.95,16.25
16.15,15.45,16.50,15.25
15.90,14.86,15.95,14.70
14.40,14.25,14.45,13.10
14.40,14.00,14.40,13.75
13.75,13.55,13.76,12.90
13.35,13.20,13.75,13.00
13.85,13.95,14.68,13.39
13.80,13.30,13.95,13.27
14.15,13.85,14.50,13.75
14.05,14.85,15.50,13.85
15.25,14.15,16.10,14.05
14.45,14.50,14.91,14.35
14.50,13.90,14.55,13.75
13.85,14.30,14.65,13.40
14.45,14.75,16.45,14.26
15.65,14.55,15.65,13.75
14.55,13.75,14.70,13.60
14.25,13.65,14.30,13.55
13.50,13.55,14.65,13.35
14.00,13.56,14.15,13.50
14.20,13.85,14.20,13.05
14.10,13.40,14.10,12.95
13.55,13.70,14.05,13.25
13.60,13.45,13.60,13.05
13.45,13.60,13.60,13.15
13.60,13.85,13.85,13.30
14.40,13.85,14.90,13.70
14.15,13.60,14.25,13.40
13.80,13.40,13.92,13.40
13.30,14.00,14.25,13.05
14.40,14.00,14.60,13.80
14.05,14.75,15.40,13.90
14.60,14.55,15.14,14.00
14.35,14.60,14.75,14.25
14.55,14.15,14.76,14.15
14.15,14.00,14.30,13.45
13.80,14.85,15.00,13.55
14.75,14.70,14.80,14.15
14.50,14.40,14.55,14.10
14.45,14.15,14.55,13.80
14.05,14.35,14.35,13.75
14.15,14.05,14.30,13.75
14.15,14.25,14.34,13.80
14.35,14.35,14.36,14.04
14.05,14.10,14.15,13.80
14.15,14.30,14.50,13.85
14.40,14.10,14.40,14.00
14.05,14.15,14.28,14.00
14.10,14.60,14.85,13.90
14.65,16.80,18.20,14.60
17.15,15.75,17.70,15.00
15.85,17.70,18.10,15.60
18.20,17.60,18.65,17.00
17.55,17.00,17.60,16.85
17.00,16.30,17.50,16.00
16.25,15.94,16.42,15.30
15.75,16.65,17.40,15.75
16.30,15.85,16.30,15.65
17.35,17.45,18.25,16.30
17.45,16.45,17.70,16.05
16.50,15.55,16.79,15.15
15.55,15.85,16.05,15.25
16.00,15.75,16.00,15.50
15.85,15.70,16.25,15.50
15.60,15.30,15.70,14.65
15.25,15.20,15.30,14.80
15.30,15.15,15.70,15.00
15.15,15.45,16.25,15.05
15.40,15.65,16.00,15.40
15.65,15.05,15.70,15.00
15.15,15.45,15.70,15.15
15.75,15.10,15.85,15.00
15.30,14.20,15.30,14.15
14.05,13.65,14.15,13.50
13.80,14.10,14.65,13.50
14.25,14.15,14.50,13.80
14.30,15.55,15.70,14.30
20.10,24.25,26.40,20.10
23.25,22.80,24.75,21.80
22.35,20.70,23.20,20.25
20.55,21.45,22.10,20.15
21.65,21.50,23.45,21.15
21.40,19.65,21.40,18.85
19.40,20.70,20.70,18.60
20.60,19.65,21.05,19.00
19.55,19.55,20.30,19.25
19.80,19.75,20.30,19.35
20.05,22.25,22.65,19.90
23.00,20.90,23.15,20.75
21.25,20.95,21.35,20.40
21.00,20.30,21.00,19.50
21.35,20.15,22.10,19.85
20.25,20.65,21.00,19.50
20.45,19.90,20.55,19.85
19.60,19.15,19.75,18.80
19.35,19.40,20.00,18.96
19.15,18.35,19.30,18.25
18.70,17.85,18.95,17.25
18.00,17.35,18.50,17.35
17.50,16.80,17.50,16.60
16.80,16.70,17.95,16.45
16.75,16.35,17.95,16.25
16.40,15.65,16.85,15.50
15.95,15.65,16.45,15.50
15.70,15.50,16.11,15.40
15.60,16.05,16.25,15.60
16.00,16.95,16.95,15.75
16.75,15.70,17.15,15.65
16.10,15.90,16.24,15.75
16.00,16.90,17.00,15.95
17.15,16.70,17.50,16.50
17.40,16.75,17.65,16.30
16.90,16.10,16.90,16.00
16.35,16.60,16.65,16.05
16.40,16.40,17.35,16.15
16.15,15.75,16.15,15.75
15.90,16.35,16.65,15.50
16.20,16.40,17.10,16.15
16.35,17.70,18.15,16.20
14.95,14.15,15.15,12.90
13.85,12.85,14.00,12.50
12.80,13.15,13.70,12.55
13.20,12.85,13.75,12.80
12.50,11.50,12.55,11.25
11.65,10.10,11.65,9.95
10.20,10.55,10.60,9.70
10.65,10.70,10.95,10.25
10.85,10.70,11.50,10.70
10.75,11.40,11.45,10.75
11.55,12.05,12.05,11.15
12.10,13.15,13.15,12.10
13.40,11.95,13.75,11.65
12.00,12.35,12.50,11.50
13.75,12.15,16.05,12.00
12.10,11.45,12.15,11.25
11.30,10.80,11.35,10.75
10.85,10.65,11.10,10.30
10.90,11.05,11.70,10.85
11.25,11.05,11.85,11.05
11.20,11.35,11.40,10.80
11.55,10.75,12.20,10.75
10.85,11.50,11.95,10.85
11.30,11.35,11.65,11.20
11.05,11.80,12.40,11.05
12.00,12.70,13.00,11.12
12.55,12.40,12.90,12.15
12.70,11.95,12.94,11.50
12.05,11.15,12.15,11.05
11.10,11.25,11.40,11.05
11.30,10.95,11.30,10.85
10.80,11.45,11.50,10.75
11.45,11.10,11.45,11.00
11.15,11.20,11.75,11.00
10.90,10.50,11.35,10.40
10.80,9.95,11.20,9.65
10.00,10.50,10.50,10.00
10.75,10.65,10.80,10.60
10.70,10.80,10.95,10.55
10.55,11.10,11.10,10.40
11.15,11.10,11.20,10.75
10.95,10.95,11.35,10.95
10.90,10.40,11.15,10.40
10.61,10.35,10.65,10.35
10.55,10.20,11.15,10.20
10.40,10.45,10.60,10.25
10.50,10.60,10.83,10.45
10.75,10.60,10.75,10.50
10.55,10.50,10.80,10.40
10.50,10.60,10.65,10.45
10.45,10.20,10.50,10.20
10.45,10.60,10.70,10.40
10.65,10.25,10.65,10.20
10.30,10.50,10.60,10.15
10.60,10.50,10.60,10.25
13.80,12.60,16.20,12.45
12.65,11.50,13.10,11.45
11.65,11.10,12.00,10.95
11.10,11.25,11.83,11.05
11.35,11.25,11.60,11.25
11.30,11.40,11.85,11.30
11.40,12.10,12.70,11.40
12.25,12.20,12.65,11.85
12.60,11.80,12.95,11.25
11.80,11.70,12.14,11.25
11.90,12.20,12.35,11.82
12.20,11.90,12.25,11.80
11.90,11.95,12.10,11.90
12.10,12.05,12.25,11.85
11.95,11.96,12.10,11.85
12.20,11.80,12.20,11.44
11.65,11.70,12.05,11.65
11.70,11.45,11.80,11.15
11.20,11.35,11.50,11.00
11.25,11.14,11.68,11.00
10.90,10.90,11.14,10.75
11.00,10.91,11.12,10.90
10.95,10.90,11.00,10.50
11.00,11.10,11.20,10.75
11.60,11.55,11.85,11.10
11.45,11.40,11.85,11.15
11.25,11.20,11.45,11.10
11.25,11.20,11.43,11.20
11.25,11.35,11.45,11.25
11.25,11.85,12.50,11.25
11.85,13.20,14.50,11.85
13.00,12.90,13.75,12.75
12.80,12.50,12.95,12.15
12.35,12.95,13.10,12.15
13.10,12.95,13.25,12.50
12.85,13.30,14.30,12.70
13.85,13.50,13.90,13.22
13.55,13.30,13.55,13.05
13.45,13.90,14.04,13.25
13.80,15.80,16.20,13.80
15.95,14.40,16.75,14.20
14.50,14.05,14.60,13.80
13.95,14.30,14.95,13.65
14.40,14.05,14.70,13.85
14.40,13.70,14.55,13.50
13.55,14.10,14.20,13.35
14.05,13.60,14.05,13.40
13.80,13.80,14.20,13.35
14.00,14.80,15.05,13.50
14.45,14.50,14.70,14.10
14.35,15.01,15.05,14.05
14.90,14.55,14.95,14.45
14.10,14.35,14.75,14.00
14.25,14.65,14.90,14.20
14.50,14.15,14.60,14.15
14.35,14.25,14.69,14.15
14.44,14.40,14.45,14.25
14.90,14.30,15.20,14.25
14.20,14.05,14.70,14.00
14.20,13.75,14.45,13.75
13.50,12.85,13.70,12.80
13.00,13.00,13.50,13.00
13.40,13.45,13.45,13.10
13.55,13.05,13.55,13.00
13.00,13.50,13.50,13.00
13.00,13.50,13.50,12.85
12.75,13.50,13.60,12.75
13.65,13.15,13.75,13.05
13.30,13.75,13.90,13.22
13.90,13.25,14.45,13.25
13.50,13.65,14.00,13.15
13.40,13.15,13.81,13.15
13.15,13.30,13.70,13.15
12.10,11.20,12.10,10.50
11.25,10.50,11.35,10.45
10.55,10.25,10.55,10.00
10.35,10.45,10.55,10.00
10.57,10.65,11.00,10.50
10.80,11.00,11.10,10.50
11.15,10.80,11.15,10.75
10.60,10.55,10.97,10.55
10.75,10.80,11.10,10.35
13.25,12.20,13.25,11.80
12.35,11.80,12.40,11.50
11.80,11.90,12.20,11.80
11.95,11.70,12.20,11.50
12.00,11.60,12.00,11.05
11.45,11.55,11.78,11.30
11.35,11.45,11.60,11.06
11.45,11.55,11.70,11.40
11.30,11.50,11.65,11.30
11.50,11.30,11.50,11.25
11.34,11.45,11.50,11.25
11.35,11.30,11.45,11.10
11.35,11.25,11.35,11.16
11.10,11.85,12.85,11.10
11.95,11.55,12.10,11.20
11.70,11.35,11.70,11.30
11.30,11.48,11.55,11.25
11.50,11.50,11.50,11.15
11.35,11.50,11.53,11.10
11.65,11.30,11.65,11.15
11.55,11.40,11.55,11.15
11.25,11.45,11.45,11.15
11.35,11.00,11.50,10.90
10.90,10.85,11.25,10.75
11.05,11.20,11.34,10.75
11.25,11.20,11.80,11.05
11.35,11.30,11.65,11.30
11.45,11.75,11.75,11.45
11.75,11.50,11.85,11.50
11.50,11.90,12.25,11.50
12.15,12.00,12.25,11.80
11.95,12.55,12.70,11.87
12.65,12.65,12.85,12.45
12.75,12.75,12.95,12.75
12.80,11.85,12.80,11.40
11.70,11.70,12.49,11.60
11.65,11.85,11.90,11.40
11.70,11.75,12.15,11.55
11.60,11.85,12.00,11.60
11.90,11.60,12.00,11.40
11.50,11.75,12.90,11.50
11.85,11.90,12.35,11.70
11.70,12.25,12.25,11.70
12.30,12.10,12.35,11.80
11.90,12.20,12.35,11.75
12.25,12.65,13.50,12.05
12.90,12.10,13.25,12.10
12.10,12.60,13.00,12.10
12.55,13.15,13.20,12.30
13.05,13.10,13.12,12.25
13.00,12.90,13.00,12.45
12.75,12.55,12.80,12.55
12.55,12.70,13.00,12.30
12.80,12.70,12.85,12.55
12.50,12.44,12.69,12.30
12.25,12.60,12.90,12.25
12.75,12.55,12.75,12.30
14.25,13.00,15.25,12.85
12.91,12.70,13.00,12.50
13.00,12.85,13.00,12.50
13.05,12.35,13.15,12.30
12.35,12.15,12.35,11.95
12.05,12.10,12.40,12.00
11.95,11.95,12.45,11.50
11.80,11.80,12.10,11.50
11.65,11.70,11.85,11.60
11.65,11.55,11.70,11.50
11.70,11.50,11.70,11.30
11.55,11.25,11.55,11.25
11.40,11.70,11.70,11.25
11.70,11.95,12.35,11.31
11.85,11.60,11.85,11.50
11.55,12.20,12.35,11.55
12.25,12.30,12.50,12.10
11.05,11.08,11.45,10.50
10.85,11.50,11.55,10.85
11.50,11.25,11.50,11.05
11.10,10.70,11.25,10.70
11.05,11.00,11.35,10.60
10.70,10.70,11.00,10.55
10.85,10.70,10.95,10.65
10.90,10.80,10.95,10.60
10.85,10.75,11.00,10.60
10.85,10.90,11.00,10.80
11.00,10.85,11.00,10.75
10.75,10.85,10.95,10.70
10.75,10.95,10.95,10.50
11.05,10.85,11.05,10.85
10.60,10.75,11.13,10.60
10.75,10.70,10.95,10.60
10.65,10.70,10.80,10.65
11.00,10.65,11.00,10.65
10.65,10.70,10.90,10.60
10.70,10.75,10.85,10.70
10.70,10.55,10.72,10.55
10.70,10.80,10.80,10.55
10.70,10.70,10.80,10.65
10.75,10.80,11.14,10.75
10.95,10.75,10.95,10.75
10.51,10.85,10.85,10.51
10.75,10.70,10.80,10.60
10.75,10.65,10.80,10.59
10.70,10.30,10.80,10.30
10.30,10.25,10.45,10.15
10.25,10.05,10.25,9.85
9.95,10.35,10.55,9.95
10.20,10.20,10.45,10.20
10.15,10.20,10.35,10.15
10.24,10.20,10.40,10.20
10.25,10.40,10.50,10.20
10.25,10.35,10.36,10.20
10.40,10.20,10.45,10.20
10.20,10.45,10.65,10.20
10.90,10.34,10.90,10.34
10.25,10.50,10.65,10.25
10.65,10.25,10.65,10.25
10.35,10.20,10.50,10.20
10.20,10.05,10.50,10.00
10.45,10.22,10.45,10.15
10.20,10.30,10.30,10.05
10.26,10.90,11.20,10.25
10.75,10.50,11.00,10.50
10.50,10.80,10.90,10.25
10.85,10.50,10.85,10.45
10.35,10.75,11.35,10.35
10.75,10.45,10.85,10.45
10.70,10.40,10.80,10.40
10.65,10.50,10.95,10.40
10.45,10.45,10.60,10.40
10.50,10.45,10.75,10.40
10.36,10.25,10.36,10.25
10.20,10.30,10.70,10.20
10.35,10.20,10.50,10.20
10.28,10.25,10.40,10.15
10.20,10.10,10.30,10.10
10.35,10.20,10.35,10.10
10.10,10.30,10.30,10.10
10.35,10.10,10.35,10.00
10.39,10.35,10.45,10.10
10.45,10.25,10.50,10.25
10.45,10.35,10.45,10.30
10.25,9.85,10.25,9.85
10.25,10.45,11.35,9.95
