RYT,Guggenheim S&P 500 Equal Weight Technology ETF,NASDAQ
45.47,46.20,46.26,45.47
45.36,44.29,45.69,44.16
44.50,43.25,44.60,43.19
43.30,43.27,43.30,42.52
43.48,43.04,44.22,43.04
44.11,44.50,44.51,43.88
44.29,45.07,45.07,44.18
45.60,45.02,45.71,45.02
45.17,46.68,46.68,45.17
46.41,46.58,46.86,46.19
46.85,46.83,46.85,46.30
46.94,46.76,46.97,46.63
47.24,46.42,47.28,46.19
46.47,45.76,47.28,45.65
45.53,45.73,46.03,45.27
45.55,44.62,45.55,44.56
44.48,44.73,44.90,44.12
44.83,44.71,45.12,44.47
43.98,42.88,43.98,42.58
42.82,42.17,43.02,42.16
42.21,42.19,42.36,41.25
42.15,41.90,42.30,41.60
42.52,42.06,42.97,41.87
42.04,43.70,43.71,42.04
44.33,43.93,44.33,43.46
44.01,44.29,44.29,43.99
44.17,44.46,44.68,44.12
44.90,45.39,45.53,44.90
45.49,45.57,45.92,45.39
45.46,45.62,45.62,45.00
45.30,44.25,45.30,44.13
44.61,44.70,44.82,44.35
44.00,45.22,45.23,43.90
45.57,44.41,45.57,44.31
45.16,45.53,45.75,45.16
45.47,46.09,46.12,45.23
46.17,46.59,46.59,46.05
46.87,46.36,46.87,46.24
46.22,45.84,46.36,45.77
46.07,45.45,46.07,44.87
44.86,45.06,45.12,44.55
45.65,45.91,45.96,45.65
45.73,45.59,45.76,45.52
45.86,46.19,46.22,45.48
45.98,45.90,46.01,45.66
45.55,45.78,45.85,45.23
45.82,46.09,46.09,45.82
45.38,45.36,45.65,45.04
44.46,44.02,44.50,43.84
43.19,43.26,43.35,42.72
43.05,43.10,43.39,43.05
42.84,43.13,43.39,42.84
43.64,43.77,44.10,43.64
43.66,44.05,44.21,43.60
44.10,43.98,44.16,43.65
43.79,44.04,44.08,43.72
43.99,43.60,43.99,43.60
42.97,42.93,43.24,42.78
42.58,43.18,43.36,41.88
43.55,42.87,43.55,42.79
43.19,43.64,43.69,42.50
43.52,42.90,43.61,42.90
42.50,42.55,42.90,42.39
43.40,43.91,44.02,43.38
44.37,44.67,44.68,44.31
45.09,45.33,45.50,44.87
45.10,44.87,45.10,44.79
44.85,45.12,45.19,44.82
45.49,45.11,45.50,45.00
45.08,45.05,45.25,44.75
45.72,45.95,46.03,45.72
46.42,46.41,46.65,46.31
46.21,46.48,46.48,46.12
46.50,46.79,46.79,46.40
47.09,46.87,47.09,46.36
47.28,47.63,47.71,47.19
47.52,47.48,47.85,47.31
47.28,46.78,47.35,46.69
46.51,46.87,47.35,46.51
47.50,48.19,48.19,47.50
48.10,48.06,48.42,48.06
48.21,48.43,48.43,47.48
48.54,48.55,48.68,48.40
48.81,48.34,49.17,48.03
48.67,48.20,48.70,48.07
48.07,47.65,48.11,47.32
48.23,48.89,48.89,48.23
48.75,47.73,48.75,47.66
48.04,48.05,48.08,47.88
47.83,48.41,48.41,47.83
48.41,48.42,48.79,48.41
48.35,48.88,48.93,48.16
49.04,49.27,49.37,49.04
49.31,49.05,49.39,48.97
49.52,49.49,49.52,49.22
49.51,49.55,49.56,49.31
48.94,48.67,49.35,48.55
49.09,49.28,49.47,48.85
49.49,49.26,49.68,48.85
49.59,49.86,49.94,49.55
50.10,50.34,50.53,50.07
50.01,50.06,50.12,49.60
49.79,50.19,50.19,49.79
50.51,50.33,50.51,50.09
50.46,50.75,50.81,50.46
50.95,50.65,51.10,50.41
51.01,51.09,51.09,50.99
51.08,51.19,51.19,50.74
52.00,52.17,52.22,52.00
52.36,52.48,52.50,52.22
52.42,52.47,52.56,52.38
52.67,52.11,52.67,52.10
51.80,52.32,52.32,51.80
51.54,51.76,51.82,50.98
51.49,51.21,51.82,50.85
51.41,51.03,51.41,50.97
50.73,49.80,50.73,49.80
49.99,50.05,50.31,49.95
50.58,51.04,51.22,50.58
51.00,51.42,51.49,51.00
51.16,51.80,51.80,51.16
51.38,51.18,51.38,50.95
51.52,52.17,52.22,51.52
52.08,52.09,52.15,51.97
51.63,51.65,51.74,51.08
51.19,51.13,51.19,50.90
51.92,52.47,52.54,51.92
52.62,53.13,53.18,52.53
53.07,53.48,53.55,53.05
53.48,53.47,53.49,53.17
54.09,53.60,54.09,53.60
53.97,54.14,54.16,53.56
54.38,54.07,54.38,53.86
54.05,54.30,54.34,54.01
54.52,54.22,54.53,54.22
54.06,53.98,54.25,53.86
53.87,53.55,54.10,53.53
53.54,53.84,54.02,53.54
53.85,53.90,53.99,53.81
54.05,53.84,54.05,53.59
54.16,54.24,54.28,54.01
54.29,54.17,54.29,54.05
54.00,53.95,54.11,53.91
53.94,54.06,54.22,53.80
54.21,53.91,54.21,53.80
54.15,53.97,54.20,53.97
54.15,54.15,54.16,53.99
54.15,53.77,54.15,53.73
54.39,54.60,54.90,54.32
54.70,54.46,54.77,54.22
54.41,55.02,55.02,54.37
55.24,55.52,55.63,55.24
55.67,55.38,55.67,55.00
55.30,55.53,55.53,55.10
55.65,55.62,55.68,55.40
55.92,56.18,56.22,55.77
56.40,56.27,56.46,56.08
56.41,57.11,57.11,56.30
57.24,57.45,57.45,57.11
57.32,56.57,57.32,56.39
56.26,55.85,56.26,55.26
56.27,55.61,56.36,55.58
55.70,56.50,56.52,55.70
56.25,56.05,56.25,55.75
56.27,56.52,56.58,56.08
56.86,56.88,57.01,56.67
57.06,55.55,57.06,55.35
55.46,55.92,56.00,55.37
56.57,57.24,57.30,56.57
57.30,57.71,57.83,57.21
57.75,57.82,57.90,57.23
57.93,58.51,58.59,57.90
58.78,58.72,59.09,58.61
59.07,58.87,59.07,58.51
59.00,58.58,59.00,58.34
58.20,58.94,58.99,57.98
58.85,59.41,59.47,58.59
59.63,59.60,59.82,59.38
59.55,59.02,59.55,58.97
59.30,59.78,59.87,59.30
59.70,60.19,60.24,59.50
60.43,60.09,60.43,59.80
59.23,58.20,59.36,58.02
58.06,57.20,58.08,56.63
56.96,57.69,57.80,56.87
58.20,58.71,58.79,58.20
59.11,58.48,59.11,58.00
58.94,57.42,58.94,57.35
57.19,57.80,58.09,57.19
58.37,58.82,58.95,58.37
58.93,58.41,58.93,58.04
60.00,57.45,60.00,56.85
57.78,57.91,58.28,57.27
57.83,56.98,57.83,56.88
56.69,55.91,56.69,55.75
55.74,56.24,56.40,55.51
56.00,56.12,56.42,55.82
54.60,55.46,55.71,54.20
55.06,54.37,55.58,53.97
55.25,54.80,55.25,54.69
55.49,54.74,55.49,54.61
55.47,55.74,55.95,55.42
55.63,55.30,55.69,55.30
55.34,55.84,55.94,55.00
56.50,57.19,57.19,56.36
57.32,57.05,57.46,57.05
57.38,56.93,57.38,56.93
56.85,57.22,57.23,56.44
57.63,57.52,57.63,57.27
57.48,57.37,57.48,57.22
57.78,57.10,57.78,57.01
57.28,56.83,57.28,56.60
57.54,57.51,57.83,57.35
57.84,57.82,57.98,57.44
57.75,57.73,58.02,57.40
58.10,57.25,58.10,57.25
57.52,57.05,57.57,56.93
56.84,56.51,56.85,56.30
57.00,56.93,57.22,56.70
56.57,56.92,56.92,56.21
56.94,57.12,57.17,56.55
56.83,56.25,56.83,55.72
56.46,56.55,56.55,56.13
57.63,58.22,58.26,57.63
58.78,58.51,58.78,58.37
58.71,58.66,60.41,58.49
58.68,58.90,59.11,58.52
58.96,59.16,59.18,58.60
59.05,59.00,59.05,58.71
59.10,58.91,59.10,58.73
59.38,58.61,59.38,58.61
58.48,58.03,58.48,57.65
58.09,57.77,58.11,57.28
57.52,57.89,58.51,57.52
58.61,58.33,59.02,58.09
58.11,58.44,58.68,58.11
58.65,59.29,59.30,58.58
59.12,58.55,59.38,58.41
58.45,59.28,59.31,58.45
59.05,58.57,59.17,58.57
58.22,57.49,58.54,57.45
57.33,57.22,57.38,56.66
57.51,57.94,58.13,57.51
58.09,58.01,58.16,57.58
57.99,57.89,58.18,57.76
57.00,56.79,57.00,56.66
56.99,56.42,57.00,56.41
56.41,56.79,56.79,56.41
56.49,57.14,57.16,56.49
57.29,57.53,57.53,57.26
58.04,57.94,58.12,57.71
58.01,56.79,58.17,56.79
56.50,56.75,56.89,56.47
56.04,55.56,56.26,55.56
55.54,55.09,55.57,55.09
55.08,55.26,55.62,55.08
54.60,54.35,54.81,54.13
54.35,54.49,54.68,54.18
54.18,53.93,54.33,53.50
53.92,53.51,54.00,53.31
53.97,54.36,54.59,53.97
53.96,53.41,54.04,53.25
53.30,52.51,53.54,52.51
53.32,52.78,53.39,52.62
52.62,52.98,53.13,52.57
53.21,54.05,54.16,53.21
53.94,53.81,54.24,53.77
53.08,53.99,53.99,53.00
53.99,53.18,53.99,53.18
53.04,53.58,53.76,52.86
53.70,54.21,54.22,53.69
54.30,54.76,54.76,54.29
54.85,55.61,55.67,54.85
55.67,56.45,56.45,55.37
56.48,56.26,56.50,56.01
56.10,56.23,56.39,55.85
56.77,57.18,57.35,56.77
56.64,56.52,56.64,56.01
56.05,55.14,56.12,55.10
54.97,54.35,54.97,54.25
54.38,54.25,54.99,54.25
54.41,53.35,54.64,53.35
53.90,53.67,53.90,53.36
53.37,53.10,53.63,52.75
54.21,54.45,54.61,54.10
54.44,54.07,54.53,53.85
54.10,54.32,54.48,53.65
54.35,55.15,55.26,54.35
54.48,54.71,55.03,54.48
54.75,55.05,55.34,54.75
54.64,53.18,54.64,53.14
52.86,52.88,53.45,52.81
52.25,52.41,52.85,51.90
52.43,51.89,52.43,51.46
51.66,50.57,51.93,50.57
50.56,51.36,51.38,49.98
50.34,48.68,50.40,48.57
49.21,48.22,49.21,46.80
46.46,46.14,47.31,45.14
45.83,47.12,47.12,44.44
46.19,45.39,46.92,45.39
45.76,47.72,48.24,45.76
48.20,48.01,48.32,47.66
48.42,49.22,49.22,48.42
49.00,48.66,49.08,48.01
48.92,47.99,48.92,47.61
46.52,45.01,46.52,44.73
44.49,44.20,45.60,44.15
45.04,44.48,45.17,44.39
44.90,46.41,46.46,44.61
46.44,46.19,46.70,46.18
47.04,46.14,47.04,45.84
45.77,46.97,47.25,45.25
47.70,48.67,48.69,47.70
48.10,49.00,49.00,48.10
49.47,49.00,49.74,48.87
49.09,48.32,49.48,48.32
47.34,46.68,47.45,46.68
45.49,46.46,46.46,45.32
47.48,48.22,48.27,47.42
48.43,47.94,48.75,47.94
47.10,46.64,47.71,46.64
46.23,47.31,47.33,46.23
47.90,47.89,47.90,47.52
48.47,49.22,49.58,48.19
49.70,49.91,50.00,49.45
50.26,49.93,50.35,49.89
49.25,49.22,49.42,48.86
49.64,48.96,49.88,48.87
49.23,48.00,49.27,48.00
46.39,46.23,46.73,45.64
45.72,46.71,46.80,45.72
47.02,47.08,47.08,46.11
48.36,48.24,49.22,48.00
48.32,47.11,48.32,47.11
47.89,46.89,47.96,46.20
46.22,45.35,46.51,45.35
45.03,43.80,45.28,43.80
43.25,45.25,45.25,43.04
45.25,46.75,46.76,45.25
46.79,47.81,47.81,46.48
48.00,47.86,48.12,47.28
48.53,49.11,49.11,48.53
49.36,49.30,49.44,49.15
49.68,49.63,50.12,49.63
49.48,50.03,50.03,49.31
50.66,50.80,50.91,50.33
50.47,49.55,50.47,49.55
49.53,50.59,50.70,48.89
50.05,49.33,50.31,49.33
49.25,49.28,49.34,48.40
50.46,50.34,50.51,49.96
50.60,51.69,51.85,50.60
51.17,50.38,51.22,50.38
50.98,50.94,51.26,50.63
52.83,53.31,53.70,52.23
52.89,53.65,53.78,52.89
52.81,52.33,52.89,52.33
50.77,50.61,51.03,50.32
51.25,51.17,51.45,50.81
51.50,52.52,52.54,50.91
52.34,52.64,52.83,51.86
52.45,52.63,52.67,51.64
53.01,53.20,53.23,52.36
51.76,50.86,51.81,50.80
51.40,51.02,51.40,50.44
51.68,52.41,52.56,51.68
52.26,51.81,52.60,51.81
51.68,52.62,52.64,51.68
52.16,52.61,52.74,52.10
51.83,50.27,51.83,50.13
50.25,50.09,50.25,49.97
49.08,49.09,49.22,48.30
48.82,48.54,49.05,48.24
48.25,47.33,48.25,47.22
47.06,46.88,47.63,46.88
48.71,48.50,48.76,48.26
48.50,48.30,48.85,48.22
49.54,50.69,50.74,49.54
50.43,50.87,50.99,50.43
51.35,50.90,51.61,50.86
51.43,51.55,52.08,51.29
51.49,51.45,51.62,51.23
50.89,51.44,51.60,50.89
50.96,50.32,50.98,50.32
50.42,51.36,51.39,50.42
50.74,50.38,50.74,49.94
50.68,49.48,50.68,49.43
49.15,48.59,49.15,48.34
49.15,48.67,49.15,48.57
48.83,48.88,49.52,48.75
48.50,48.37,48.52,48.29
48.62,49.82,49.86,48.62
49.62,48.94,49.62,48.29
48.99,49.96,50.06,48.99
49.98,50.32,50.37,49.97
50.20,50.26,50.51,50.20
50.11,49.56,50.11,49.50
49.63,50.13,50.15,49.62
49.90,49.99,50.23,49.90
50.72,50.55,51.17,50.55
50.32,50.41,50.42,50.11
50.49,50.83,50.94,50.39
50.76,50.82,50.98,50.56
51.04,51.25,51.26,50.93
51.84,51.71,51.87,51.63
51.81,51.93,52.10,51.81
51.95,52.35,52.35,51.73
51.85,51.60,51.85,51.41
52.01,51.85,52.30,51.83
52.32,53.57,53.57,52.32
54.03,54.26,54.42,54.03
54.30,54.22,54.37,54.22
54.28,54.24,54.61,54.03
54.12,54.58,54.73,54.06
54.56,54.77,54.77,54.13
55.14,54.16,55.28,54.16
54.23,54.57,54.70,54.23
54.12,54.33,54.41,53.84
54.75,54.47,54.75,53.98
54.84,55.34,55.51,54.84
55.45,55.42,55.66,55.42
55.84,56.48,56.55,55.84
56.04,56.12,56.20,56.02
55.86,56.33,56.44,55.86
56.52,56.65,56.69,56.51
56.92,57.35,57.37,56.86
56.83,56.44,56.83,56.39
56.81,56.70,56.81,56.44
56.50,56.84,56.84,56.46
57.26,56.99,57.45,56.99
57.26,57.99,57.99,57.22
58.16,57.76,58.16,57.65
57.72,57.37,57.92,57.18
57.29,57.00,57.45,57.00
56.80,57.19,57.28,56.70
57.36,57.32,57.61,57.32
57.10,57.53,57.62,56.92
57.79,57.64,57.80,57.47
57.75,57.14,57.89,57.14
57.18,57.32,57.38,57.18
57.42,56.86,57.42,56.86
56.24,56.11,56.24,55.94
55.36,55.36,55.44,55.19
55.57,55.97,56.00,55.57
56.40,56.72,56.83,56.33
57.05,57.10,57.24,57.02
56.87,57.00,57.05,56.84
57.30,58.19,58.19,57.30
58.21,57.90,58.21,57.81
58.04,58.52,58.53,58.04
58.51,58.45,58.51,58.40
58.38,58.62,58.82,58.38
58.16,58.11,58.24,57.94
58.23,58.46,58.55,58.16
57.87,58.08,58.10,57.86
57.79,58.14,58.16,57.79
58.50,59.04,59.04,58.50
59.08,59.05,59.23,59.05
58.89,58.50,58.89,58.39
58.19,58.77,58.77,58.14
58.50,58.74,58.85,58.50
58.64,59.15,59.15,58.64
59.00,58.46,59.05,58.32
58.02,57.43,58.02,57.16
57.40,57.42,57.46,57.23
56.67,56.77,56.90,56.51
56.65,55.90,56.88,55.90
56.33,56.36,56.65,56.24
57.16,57.28,57.37,57.16
57.10,56.63,57.10,56.63
56.37,56.41,56.47,56.34
56.99,57.46,57.53,56.87
57.06,57.07,57.22,56.93
56.98,56.73,57.72,56.59
56.77,56.22,56.83,56.22
55.71,55.73,55.76,55.20
55.71,55.32,55.77,55.06
55.86,56.34,56.34,55.86
56.40,57.05,57.08,56.40
56.97,57.02,57.04,56.65
56.79,56.61,56.82,56.51
56.63,56.89,57.31,56.63
56.56,56.90,56.90,56.31
56.78,55.96,56.78,55.91
55.43,54.83,55.43,54.69
54.37,54.43,54.62,54.32
54.06,54.13,54.15,53.21
53.09,53.98,54.13,53.09
54.13,53.52,54.13,53.26
53.71,53.54,54.02,53.50
53.04,53.17,53.46,52.95
53.22,52.92,53.57,52.89
53.09,52.28,53.12,52.27
52.25,51.72,52.25,51.59
51.65,50.43,51.65,50.43
50.68,51.81,51.81,50.66
51.79,51.45,51.85,51.45
51.11,51.70,51.70,50.68
51.78,50.89,51.78,50.79
51.40,51.36,51.40,51.26
51.77,52.03,52.05,51.74
51.51,51.04,51.51,51.04
51.07,50.71,51.07,50.19
49.80,49.17,49.86,49.16
49.10,49.29,49.29,48.78
49.24,50.10,50.15,49.24
50.51,51.67,51.67,50.51
52.16,51.20,52.16,51.20
50.93,51.68,51.68,50.93
52.02,51.14,52.02,51.10
50.82,51.35,51.38,50.82
51.03,50.87,51.42,50.78
50.89,51.02,51.19,50.87
51.19,51.96,51.99,51.16
51.75,52.25,52.37,51.75
52.58,52.73,52.89,52.58
52.74,52.95,53.15,52.74
52.88,51.20,52.88,51.13
51.59,51.92,51.92,51.59
51.42,50.74,51.42,50.52
50.65,50.75,50.86,50.53
51.00,51.33,51.40,51.00
50.74,50.23,50.74,50.23
51.72,52.44,52.47,51.72
52.85,52.51,52.85,52.33
52.55,53.11,53.12,52.55
53.08,53.14,53.30,52.65
52.56,51.54,52.56,51.23
50.86,50.95,50.95,50.83
50.33,50.05,50.33,49.99
50.25,50.01,50.28,49.65
49.51,49.46,49.71,48.95
49.51,49.72,49.82,49.51
49.78,49.91,49.92,49.51
49.25,49.68,49.84,49.05
49.71,51.15,51.30,49.71
51.47,51.67,51.82,51.47
51.56,50.96,51.56,50.96
49.94,50.12,50.22,49.44
50.25,49.56,50.25,49.35
49.83,49.99,50.32,49.80
50.97,51.45,51.64,50.97
52.05,52.75,52.80,52.04
52.62,52.24,52.80,52.04
52.33,52.26,52.54,52.21
52.12,52.07,52.25,52.05
51.53,51.83,52.35,51.40
52.45,53.03,53.18,52.45
53.51,53.65,53.75,53.48
54.20,54.71,54.79,54.20
54.46,54.77,54.89,54.46
54.88,55.18,55.18,54.88
54.88,55.21,55.21,54.85
55.15,55.00,55.15,54.77
55.30,54.68,55.30,54.68
54.76,55.11,55.25,54.76
55.32,56.01,56.13,55.32
56.02,56.16,56.19,56.02
55.90,55.98,56.04,55.59
56.47,55.97,56.57,55.89
55.82,55.85,55.87,55.48
55.61,55.40,55.61,55.17
55.12,55.43,55.60,54.94
55.49,55.37,55.71,55.37
55.51,55.44,55.59,55.35
55.44,55.39,55.44,55.24
55.10,54.44,55.10,54.44
54.76,54.75,54.76,54.75
54.67,54.66,54.71,54.16
54.56,54.54,54.78,54.34
55.28,56.19,56.23,55.26
55.96,56.24,56.24,55.96
56.18,55.71,56.19,55.71
56.01,56.04,56.10,55.98
56.12,56.20,56.35,56.06
56.14,56.83,57.04,56.06
57.05,57.49,57.78,57.05
57.50,57.04,57.50,56.98
56.77,56.81,56.82,56.76
56.98,56.95,56.98,56.88
56.48,56.48,56.56,56.30
56.75,56.33,56.78,56.33
55.91,55.87,55.97,55.71
56.06,55.17,56.06,55.17
54.80,54.30,54.80,53.95
54.55,55.20,55.29,54.55
55.00,54.85,55.00,54.78
55.03,54.76,55.06,54.69
54.79,54.79,54.79,54.49
54.78,54.60,54.88,54.60
54.68,54.86,54.92,54.50
55.19,54.61,55.31,54.61
54.55,54.27,54.55,54.19
53.95,53.53,53.95,53.49
53.41,52.97,53.41,52.92
53.32,53.23,53.58,53.11
53.13,53.10,53.29,52.90
53.13,53.40,53.40,52.98
53.52,54.33,54.34,53.52
54.09,54.12,54.27,53.97
54.01,53.68,54.21,53.68
53.72,52.75,53.72,52.64
52.62,52.81,52.87,52.46
52.10,52.52,52.70,52.10
52.57,51.86,52.57,51.86
52.13,52.02,52.18,51.86
52.00,52.01,52.08,51.73
51.99,51.51,51.99,51.39
52.16,52.78,52.83,52.16
52.51,52.15,52.63,52.13
52.17,52.65,52.69,52.17
52.93,53.63,53.76,52.93
53.08,52.56,53.08,52.35
52.34,51.82,52.34,51.82
51.69,52.02,52.45,51.69
51.98,51.85,52.06,51.74
51.52,51.65,52.02,51.42
51.97,51.02,51.97,51.00
51.00,50.82,51.00,50.77
50.90,50.97,51.17,50.27
51.51,51.82,51.82,51.51
51.63,51.56,51.78,51.44
51.90,51.96,52.00,51.79
52.75,52.81,52.81,52.71
52.81,52.87,52.90,52.66
52.84,52.85,52.90,52.62
52.57,53.15,53.15,52.57
53.37,53.44,53.48,53.35
53.35,53.39,53.43,53.23
53.66,53.26,53.66,53.25
53.45,53.65,53.65,53.17
53.63,53.84,53.95,53.30
54.12,54.27,54.33,53.99
54.12,54.35,54.38,54.12
54.35,54.70,54.70,54.35
54.95,55.42,55.58,54.95
55.63,55.43,55.72,55.43
55.23,55.04,55.36,54.83
55.09,54.97,55.10,54.93
55.18,55.12,55.34,54.98
55.65,56.27,56.31,55.65
56.54,56.29,56.64,56.29
56.00,56.47,56.51,56.00
55.44,55.68,55.71,55.39
55.56,55.45,55.56,55.31
55.50,55.23,55.71,55.13
55.17,55.20,55.20,54.58
54.72,54.50,54.83,54.50
54.55,55.27,55.30,54.47
57.19,57.29,57.29,56.73
57.39,57.00,57.57,57.00
56.88,57.08,57.22,56.88
56.97,56.96,57.07,56.79
56.57,56.57,56.66,56.37
56.75,56.96,56.98,56.75
57.48,57.29,57.48,56.91
57.30,57.58,57.58,57.30
57.60,57.66,57.71,57.18
57.40,57.59,57.61,57.39
57.55,57.92,58.02,57.55
58.24,58.44,58.47,58.24
58.24,58.14,58.26,58.02
58.26,58.38,58.38,58.13
58.60,58.62,58.77,58.42
58.36,58.66,59.07,58.36
59.14,59.30,59.41,59.04
59.40,59.34,59.53,59.28
58.80,58.68,58.80,58.48
58.83,58.56,58.84,58.56
58.71,58.72,59.01,58.71
59.07,59.38,59.48,59.04
59.41,58.79,59.52,58.78
59.05,59.67,59.77,59.05
59.76,59.69,59.80,59.53
59.55,59.31,59.55,58.86
59.55,59.89,60.02,59.55
59.94,59.96,59.98,59.89
59.86,60.06,60.15,59.86
60.11,60.04,60.20,59.84
59.90,60.25,60.34,59.68
60.32,60.20,60.48,59.99
60.25,60.77,60.77,60.25
60.79,59.71,60.79,59.71
59.59,58.80,59.59,58.53
59.28,59.66,59.71,59.28
59.98,58.71,60.08,58.71
58.78,58.78,58.97,58.37
58.81,59.65,59.74,58.81
59.62,59.47,59.87,59.46
59.26,59.53,59.73,58.81
59.47,59.69,59.69,59.24
60.34,60.55,60.63,60.34
60.70,60.78,60.88,60.67
60.95,60.92,61.13,60.78
61.13,61.24,61.24,60.92
60.94,61.28,61.28,60.94
61.22,61.13,61.22,60.89
61.16,61.28,61.35,60.89
61.50,61.59,61.65,61.40
61.42,60.94,61.42,60.79
60.25,60.53,60.87,60.25
60.61,60.20,60.77,59.77
60.61,60.96,61.09,60.61
60.43,60.31,60.59,60.08
60.47,60.40,60.53,60.30
60.72,60.31,60.72,60.06
60.67,60.71,60.76,60.51
60.45,60.90,60.98,60.44
60.88,61.28,61.34,60.75
61.34,60.69,61.48,60.62
60.93,60.55,60.98,60.55
60.65,59.86,60.78,59.68
59.90,60.01,60.03,59.74
58.88,59.19,59.19,58.64
59.17,59.61,59.62,59.15
59.92,60.65,60.72,59.68
60.65,61.66,61.67,60.65
61.46,61.48,61.73,61.30
61.22,61.21,61.23,60.77
61.00,59.87,61.00,59.80
60.22,60.71,60.78,60.05
60.14,59.51,60.14,59.19
59.65,58.61,59.65,58.42
58.66,58.57,58.80,58.18
58.29,58.94,59.17,58.29
59.27,59.78,60.03,59.23
59.74,60.39,60.47,59.74
60.48,60.88,61.24,60.48
60.73,60.65,60.73,60.50
60.74,61.27,61.27,60.74
61.19,61.80,61.80,61.01
61.61,61.28,61.67,61.26
61.48,62.10,62.15,61.48
62.64,63.04,63.20,62.64
63.10,63.37,63.47,63.04
63.40,63.24,63.49,63.05
63.33,64.05,64.08,63.20
63.98,64.08,64.47,63.90
64.20,64.59,64.62,64.20
64.65,64.40,64.70,64.32
64.48,64.92,64.95,64.44
64.80,65.34,65.34,64.80
65.40,65.22,65.75,65.17
65.28,66.04,66.04,65.20
65.85,65.85,66.22,65.81
66.03,65.83,66.11,65.66
65.94,64.86,66.20,64.59
64.26,64.98,65.08,64.19
64.67,64.86,64.88,64.32
65.62,65.31,65.79,65.18
65.03,65.35,65.53,65.03
65.46,66.11,66.30,65.45
65.82,65.54,66.32,65.43
65.36,65.46,65.53,64.61
65.49,65.15,65.81,64.89
64.91,64.36,64.91,64.24
64.36,64.71,64.71,63.91
65.06,65.62,65.62,64.86
65.63,65.65,65.77,65.50
65.25,64.74,65.46,64.72
65.39,63.82,65.39,63.78
63.77,64.85,64.85,63.68
64.84,64.40,64.90,64.24
65.00,65.09,65.48,64.96
65.32,65.81,65.91,65.32
