QLD,ProShares Ultra QQQ,NASDAQ
79.88,78.25,80.17,77.72
78.64,78.00,79.36,77.39
76.80,78.19,78.47,76.10
77.42,75.56,78.03,74.48
76.41,75.09,76.71,75.02
73.94,72.57,74.86,71.97
72.67,72.97,73.77,72.31
74.59,75.31,76.36,74.52
75.13,75.42,75.82,74.53
74.86,76.74,76.74,74.60
75.19,74.34,75.39,73.44
75.76,77.27,77.66,75.68
76.36,76.23,77.29,75.97
76.03,76.20,76.62,74.31
74.56,74.24,75.23,73.70
76.53,77.39,78.19,76.43
77.66,79.02,79.24,77.52
78.34,79.38,79.60,78.34
79.40,79.31,79.65,78.87
81.21,79.47,81.27,79.26
79.87,80.09,80.22,78.84
80.97,80.16,81.10,79.65
80.62,81.23,81.39,80.07
81.88,80.69,81.94,80.57
81.03,80.86,81.60,80.45
80.88,80.23,81.86,79.84
80.36,81.37,81.70,79.97
81.66,81.62,82.09,81.31
81.87,81.79,82.34,80.57
82.39,82.65,82.69,81.95
82.63,82.73,82.93,82.40
82.37,82.29,82.65,81.89
81.95,82.30,82.61,80.67
82.66,82.06,82.82,81.67
82.50,82.39,82.71,82.23
82.42,81.97,82.42,81.70
81.80,81.43,81.87,80.66
82.92,83.93,85.06,82.90
84.59,83.78,84.66,82.77
83.34,85.24,85.27,83.22
85.41,85.76,85.91,85.06
86.06,85.65,86.14,83.97
85.18,86.22,86.54,84.75
86.97,86.45,87.12,85.87
87.31,87.67,87.74,86.62
87.82,87.87,88.25,87.29
87.84,89.13,89.17,87.42
87.61,89.61,89.82,87.51
89.85,87.60,89.94,86.96
86.83,86.23,87.10,84.99
87.18,84.94,87.46,84.89
85.21,87.33,87.36,85.00
86.49,87.52,87.63,86.11
87.90,88.54,88.98,87.32
89.06,89.60,90.10,88.79
89.50,85.05,89.70,84.25
85.28,85.90,86.35,84.01
87.11,89.06,89.49,86.98
88.67,88.78,89.45,88.43
88.47,89.04,89.34,87.06
89.16,90.12,90.21,88.63
90.45,90.99,91.93,90.18
90.96,92.28,92.28,90.67
91.80,91.87,92.42,91.25
90.75,92.20,92.35,90.43
91.58,93.45,93.53,91.31
93.42,93.90,94.12,93.25
93.52,93.67,93.82,92.76
94.06,94.91,95.35,94.04
93.91,94.83,95.14,93.77
94.81,94.44,95.11,93.64
91.91,88.85,92.40,88.59
88.76,87.41,89.46,86.04
87.79,88.26,88.84,86.10
89.28,90.77,91.02,89.15
91.51,91.23,92.04,90.10
91.84,88.32,91.96,87.76
88.15,89.18,90.31,88.04
90.82,92.68,92.96,90.82
92.64,91.66,92.67,90.53
92.44,89.29,92.60,87.61
88.95,89.96,90.75,87.92
89.28,88.70,89.49,87.77
86.72,86.02,87.12,85.25
85.00,87.00,87.53,84.90
86.09,86.37,87.35,85.09
81.33,84.02,84.96,80.82
82.56,79.97,83.49,78.74
82.40,81.36,83.08,81.25
83.25,81.03,83.25,80.88
83.45,84.00,84.93,83.16
84.30,83.90,84.42,83.41
83.18,84.74,85.20,82.07
85.95,87.95,88.10,85.08
88.29,88.17,89.34,87.93
88.92,87.12,88.97,87.12
86.81,88.83,88.83,86.28
89.65,89.70,89.98,88.89
89.41,89.97,90.14,89.12
90.93,90.04,91.45,89.54
90.53,89.50,90.73,88.70
89.11,88.95,90.15,88.64
90.33,89.38,90.90,88.38
89.34,89.34,90.48,88.03
90.13,88.47,90.36,87.50
89.12,87.88,89.52,87.26
87.10,86.71,87.51,85.98
87.87,88.14,88.56,86.74
86.88,87.76,88.01,86.16
87.10,87.48,88.15,86.33
85.77,86.22,86.29,83.39
86.69,87.31,87.31,85.81
90.37,91.20,91.41,90.16
93.12,92.65,93.12,92.15
92.87,93.18,93.28,92.52
93.65,94.16,94.87,93.24
94.55,95.48,95.71,93.71
94.94,95.24,95.48,94.38
94.88,95.16,95.68,94.69
95.39,94.75,95.90,94.23
94.63,93.77,94.78,92.66
93.90,93.57,94.39,91.93
92.61,92.44,94.69,91.86
94.37,93.16,95.43,92.61
93.37,93.83,94.50,92.68
94.35,95.37,95.64,94.05
95.10,93.97,95.78,92.68
93.27,95.03,95.32,92.30
94.63,92.83,94.95,92.78
92.02,89.60,92.52,89.20
88.70,90.06,90.17,88.35
89.88,91.65,91.91,89.64
92.22,92.15,92.55,91.05
91.91,90.75,92.14,90.51
88.34,88.16,88.80,87.25
88.51,87.03,88.54,86.99
86.73,87.68,88.45,86.67
87.13,88.80,89.23,87.10
89.07,89.67,89.81,88.88
91.31,92.45,92.48,90.39
92.09,88.47,92.53,88.40
88.82,88.89,89.52,87.91
86.86,86.25,88.18,85.97
85.86,84.75,86.74,84.74
85.26,84.51,85.90,84.39
84.15,83.23,84.39,82.80
83.22,83.47,84.33,82.77
82.78,81.01,83.12,80.84
81.20,80.89,81.83,80.40
82.18,82.92,83.45,82.16
81.51,80.01,82.49,79.61
80.04,79.33,80.55,77.92
80.74,78.79,80.97,78.35
78.41,79.56,80.11,78.36
80.20,82.95,83.18,79.51
82.32,81.84,83.26,81.76
80.09,83.36,83.41,79.53
82.49,80.45,82.69,80.14
80.59,83.06,83.81,80.29
83.41,85.46,85.51,83.15
85.94,86.21,86.52,84.96
86.81,88.43,88.58,86.70
88.61,91.14,91.34,88.07
91.27,92.00,92.19,90.89
91.86,92.53,92.92,91.22
93.98,95.20,95.67,93.75
93.55,94.61,94.63,92.51
92.63,91.29,93.58,90.55
91.20,89.77,91.56,89.65
91.11,90.55,92.38,89.92
91.08,88.47,91.89,87.80
90.43,90.80,90.81,89.16
89.88,89.86,90.62,88.10
91.66,93.97,94.12,91.55
94.95,93.09,95.04,92.83
93.32,94.45,95.41,92.32
94.31,96.33,96.60,94.16
94.82,96.00,96.98,94.43
95.78,96.34,97.08,95.42
95.15,91.47,95.29,90.98
91.47,91.76,94.07,90.82
90.27,91.11,93.04,89.38
93.24,90.45,93.71,88.10
89.50,85.78,90.26,85.57
86.03,87.30,87.57,82.95
84.87,79.30,85.15,79.30
81.06,78.23,81.76,73.85
73.51,69.07,76.18,68.91
70.74,75.46,75.58,67.05
72.07,69.28,74.24,69.13
71.23,75.37,77.00,70.60
76.30,76.63,77.62,74.75
77.29,78.88,78.93,76.59
77.35,77.55,78.91,75.53
77.82,76.70,79.09,75.10
72.52,69.23,72.56,67.83
67.78,66.70,71.12,66.58
69.81,67.13,69.92,66.74
68.08,72.59,72.68,67.51
72.39,73.71,74.09,71.10
73.67,71.39,74.41,70.86
70.95,74.87,75.49,69.50
76.45,79.20,79.29,76.44
78.54,80.15,81.15,77.66
81.12,80.52,82.43,79.10
80.87,78.94,82.14,78.67
76.21,75.25,76.85,74.43
71.77,75.28,75.50,71.41
77.38,79.06,79.14,77.02
78.32,78.33,80.63,77.87
77.24,74.85,77.92,73.97
73.26,76.84,76.86,73.16
77.38,78.81,79.17,76.62
79.64,81.07,82.89,78.08
82.87,83.47,83.76,81.19
83.98,84.89,85.18,83.55
82.96,85.08,85.97,81.53
85.96,84.35,87.31,83.99
85.14,81.38,86.07,81.38
77.15,76.12,78.70,73.72
74.88,77.69,78.39,74.75
78.54,79.47,79.79,75.04
82.23,81.13,83.64,80.09
81.85,78.73,82.97,78.43
81.10,76.91,81.36,74.27
74.97,72.95,76.42,72.86
71.64,69.14,73.94,69.10
67.76,71.97,72.30,66.37
71.66,75.67,76.11,70.55
75.57,78.17,78.24,74.82
78.16,77.19,78.92,76.21
79.79,82.47,82.50,79.59
82.12,83.51,84.08,81.88
85.24,84.47,86.35,84.36
84.15,86.05,86.26,84.00
88.21,89.15,89.25,87.25
88.35,86.55,88.94,85.55
86.23,88.57,89.52,84.60
87.71,85.16,88.18,84.63
85.04,84.40,85.34,81.96
86.13,86.44,87.53,84.92
87.11,90.01,90.52,86.91
89.37,86.53,89.52,86.12
87.50,86.28,87.80,83.15
90.43,91.09,92.08,88.62
89.95,91.28,91.52,89.95
89.64,88.27,90.38,88.13
84.07,83.62,85.25,82.70
85.35,84.97,85.82,83.52
86.45,88.54,88.82,84.45
87.63,87.66,88.40,85.90
87.48,88.87,89.05,85.76
90.14,90.91,91.26,88.20
87.36,84.63,87.67,84.01
86.27,84.40,86.37,82.85
85.95,87.55,88.12,85.71
87.17,86.55,88.10,85.90
85.99,88.43,89.15,85.86
87.24,85.43,88.47,85.24
85.14,81.65,85.17,80.50
81.61,80.26,81.77,80.02
78.21,77.22,78.36,75.59
76.79,77.61,78.16,75.90
76.58,74.10,76.73,74.10
73.57,73.03,75.25,73.03
76.58,78.05,78.31,76.52
77.95,77.12,79.21,76.73
81.29,82.81,82.98,80.81
82.80,83.97,84.41,82.73
85.69,83.36,85.69,83.36
86.06,85.28,86.45,84.39
85.48,84.87,85.95,84.29
84.40,84.95,85.61,82.69
83.83,82.04,85.11,81.71
82.43,84.63,85.14,82.36
82.84,82.78,82.94,81.31
83.83,80.87,84.48,80.25
80.26,78.44,80.43,77.46
79.83,77.94,79.90,77.72
78.82,78.65,80.87,78.48
79.35,77.25,79.68,76.77
79.69,81.75,81.93,79.61
80.77,79.36,80.79,77.54
79.74,80.72,80.82,79.55
81.05,82.14,82.17,80.75
81.92,82.62,83.17,81.75
82.46,80.86,82.65,80.32
81.02,81.85,82.02,80.50
81.52,81.46,82.27,81.40
84.55,84.43,85.38,84.13
84.21,85.16,85.46,83.54
84.92,86.61,86.77,84.25
86.68,87.16,87.60,86.02
87.67,86.66,87.74,86.11
88.56,87.91,89.03,87.47
87.89,88.31,88.66,87.23
88.69,89.03,89.19,87.37
88.08,88.40,88.41,86.84
89.95,89.85,90.70,89.28
90.34,92.25,92.32,89.96
93.13,93.47,93.80,92.83
92.67,93.22,93.27,92.54
93.26,93.24,94.53,92.17
92.47,92.91,93.40,92.06
94.78,95.21,95.70,93.41
96.05,94.52,96.39,93.68
94.15,95.19,95.48,94.09
93.57,95.30,95.55,92.80
96.18,95.53,96.57,94.32
96.53,97.03,97.78,95.96
97.70,97.70,98.31,96.93
99.48,100.36,100.58,99.18
99.60,100.27,100.27,99.12
100.02,100.66,100.99,99.16
100.67,101.59,101.67,99.90
102.40,103.15,103.37,101.25
101.70,101.70,102.25,100.97
103.23,103.49,103.83,102.30
103.01,104.06,104.12,102.42
105.10,102.56,106.23,102.33
102.77,105.45,105.69,102.20
105.53,104.80,105.64,103.91
105.02,105.32,106.29,104.06
104.98,104.42,105.58,104.13
104.66,105.82,106.02,103.69
106.39,106.52,106.90,106.00
105.31,106.78,107.50,104.42
106.97,108.94,108.94,106.75
109.14,108.05,109.87,107.31
108.82,109.64,109.92,108.20
109.41,109.52,110.25,108.84
109.37,107.32,109.66,106.59
105.31,105.17,105.67,104.06
106.07,106.72,107.25,105.83
107.97,109.07,109.68,107.57
109.36,109.99,110.37,109.30
109.85,110.08,110.29,108.97
111.31,114.12,114.19,110.83
114.42,115.01,115.83,113.57
115.66,115.55,116.10,114.50
115.97,115.36,116.00,114.91
115.77,117.17,117.62,115.28
115.88,117.51,117.78,115.26
117.54,117.57,118.84,117.23
116.07,117.02,117.58,116.05
117.33,116.99,117.39,115.58
118.44,121.00,121.00,118.26
121.12,121.30,122.32,121.02
121.49,120.34,122.39,118.93
119.22,119.56,120.30,117.75
120.52,118.95,120.59,118.03
118.68,121.38,121.73,118.29
121.66,121.40,122.48,120.00
119.54,118.11,119.67,116.70
117.66,119.47,119.74,117.46
116.46,117.74,118.67,116.13
117.65,113.85,118.49,113.23
115.95,115.05,116.52,114.43
115.46,117.58,117.87,115.15
116.77,114.09,116.89,113.97
115.26,111.66,115.32,110.82
112.52,116.04,116.76,112.13
115.35,115.39,116.82,114.80
114.62,113.01,117.40,112.03
114.05,112.24,115.06,111.89
110.20,110.32,110.51,108.16
109.80,109.00,110.65,108.07
113.43,114.79,114.89,113.13
114.66,116.16,116.62,114.43
117.09,117.54,118.24,115.88
116.74,115.89,117.25,115.65
115.55,116.23,118.81,115.21
115.03,116.77,117.02,114.51
117.02,114.34,117.16,113.75
112.28,108.67,112.58,108.67
107.38,108.82,109.91,107.31
107.43,108.00,108.79,104.56
105.53,107.64,108.57,104.68
108.40,106.84,108.45,106.17
53.07,53.45,54.59,53.01
52.56,52.47,53.29,52.29
52.81,52.09,53.60,51.92
52.50,51.38,52.78,51.20
51.43,49.21,51.58,49.21
49.51,47.97,49.78,46.53
48.10,50.55,50.71,48.01
50.86,50.46,51.32,49.77
49.69,50.74,50.94,48.78
50.92,50.08,50.95,49.28
50.10,49.88,50.32,49.61
50.81,51.13,51.63,50.25
50.25,50.30,50.67,49.68
50.17,49.87,50.43,49.12
48.12,47.19,48.66,47.18
47.49,47.89,48.06,46.62
47.61,48.31,48.49,47.55
49.08,50.56,50.61,48.95
51.58,50.11,51.58,50.04
49.94,51.13,51.22,49.65
51.85,49.50,51.93,49.31
49.81,50.55,50.61,49.18
50.27,49.87,51.05,49.52
49.84,50.25,50.63,49.34
50.52,51.48,51.62,50.48
51.11,52.45,52.71,50.90
52.98,53.52,53.97,52.91
53.72,53.67,54.07,52.83
53.47,50.94,53.65,50.84
51.25,51.99,52.14,51.01
51.16,49.97,51.17,49.72
50.29,50.65,50.91,49.88
51.04,51.24,51.68,50.90
50.48,50.14,50.55,49.05
51.99,53.24,53.25,51.74
53.40,53.58,53.61,52.77
53.61,54.46,54.46,53.46
54.34,54.52,55.07,53.78
54.07,53.15,54.12,52.41
53.01,53.00,53.42,52.45
53.53,51.94,53.80,51.54
51.80,51.34,52.07,50.51
50.60,50.43,50.81,49.47
50.63,51.89,52.15,50.60
51.68,51.63,52.13,51.23
52.24,52.12,52.50,50.70
51.93,53.56,53.88,51.93
54.28,54.72,55.09,54.11
54.71,53.33,54.73,53.26
51.24,52.07,52.38,50.43
52.22,51.18,52.34,50.54
50.46,50.47,51.15,49.89
52.01,51.77,52.44,51.19
52.57,54.37,54.46,52.28
54.58,54.20,55.02,53.84
54.36,54.11,54.80,54.06
54.94,53.83,54.95,53.45
53.00,53.46,54.53,52.69
55.12,55.43,55.96,54.83
56.08,56.32,56.82,55.81
56.85,57.27,57.72,56.64
56.94,57.16,57.47,56.79
57.23,57.51,57.70,56.99
57.16,57.63,57.65,56.87
57.65,57.88,57.89,57.00
58.34,57.95,58.57,57.63
57.85,58.24,58.39,57.83
58.70,59.60,59.90,58.54
59.85,60.12,60.15,59.61
60.04,60.32,60.33,59.58
60.72,59.86,61.13,59.37
59.52,60.31,60.57,59.25
59.81,59.36,60.16,59.04
59.06,60.04,60.36,58.88
60.62,60.25,60.75,60.00
60.15,60.25,60.59,59.76
60.28,60.24,60.57,59.76
59.75,59.04,59.80,58.87
59.92,59.87,60.33,58.65
59.67,59.72,60.15,58.54
59.64,59.57,60.17,59.26
60.30,62.18,62.24,60.30
61.95,62.01,62.26,61.71
61.77,60.47,61.98,60.38
60.48,60.27,60.93,60.07
60.71,60.65,60.93,59.88
60.76,62.20,62.77,60.58
62.77,63.37,63.82,62.67
63.43,63.41,63.44,62.97
63.09,63.53,63.57,63.08
63.54,63.73,64.08,63.14
63.09,63.63,63.72,62.80
64.21,63.68,64.36,63.54
62.58,62.84,63.12,62.34
63.28,61.11,63.51,61.07
60.96,60.16,61.02,59.52
60.43,61.78,62.07,60.24
61.36,60.83,61.75,60.66
61.40,60.55,62.11,60.21
61.12,60.97,61.47,60.00
61.30,61.66,61.92,60.76
61.95,62.12,62.48,61.53
62.72,61.43,62.94,61.17
60.77,60.39,61.00,60.07
60.00,58.48,60.05,58.16
58.40,57.88,58.72,57.64
58.71,57.43,58.78,57.40
57.52,57.40,58.08,57.20
57.87,58.21,58.40,57.16
58.41,59.90,60.03,58.41
59.26,59.86,60.20,59.12
59.44,58.49,59.82,58.00
58.33,55.67,58.36,55.51
55.56,56.27,56.50,55.35
55.32,55.15,56.10,54.80
55.76,54.67,55.92,54.59
55.53,54.74,55.69,54.41
54.75,55.06,55.52,53.91
54.98,54.37,55.10,54.00
55.03,55.93,56.14,54.76
56.42,54.59,56.50,54.59
54.70,55.43,55.65,54.51
55.64,55.67,56.41,55.23
54.51,53.00,54.59,52.57
53.30,51.44,53.56,51.41
51.44,51.83,52.90,51.36
52.40,51.74,52.51,51.48
50.91,51.09,52.03,50.75
51.53,49.83,51.64,49.69
49.94,49.46,50.24,49.14
49.56,49.88,50.21,48.34
51.00,52.28,52.37,51.00
52.30,52.31,52.48,51.33
52.43,52.56,52.70,52.02
53.21,54.12,54.14,53.09
53.92,54.66,54.66,53.54
54.53,54.23,54.96,54.05
53.74,55.16,55.25,53.04
55.70,55.81,56.20,55.28
55.86,55.68,55.92,55.32
56.52,55.49,56.60,55.39
55.43,55.26,55.57,54.64
55.21,54.10,55.21,53.52
53.82,54.79,55.09,53.50
55.36,54.13,55.48,53.79
53.90,54.47,55.04,53.86
55.23,55.90,56.50,55.14
56.44,55.60,56.49,55.35
55.47,54.75,56.21,54.29
54.09,53.73,54.38,53.37
53.79,55.20,55.20,53.68
55.88,56.83,57.00,55.42
57.16,56.33,57.20,56.30
56.54,56.29,56.60,55.78
54.61,55.18,55.29,54.12
54.85,54.88,55.03,54.68
54.83,53.93,55.02,53.53
53.96,53.73,54.10,52.36
52.91,52.68,53.73,52.64
52.50,54.81,55.12,52.35
57.55,58.35,58.41,57.16
58.37,57.81,58.63,57.43
57.80,57.39,57.81,57.12
57.08,57.50,57.62,56.74
57.39,57.34,57.72,56.62
57.36,57.60,57.95,57.29
58.40,58.31,58.51,57.26
58.26,58.50,58.53,58.02
57.86,57.95,58.29,57.46
57.40,57.40,57.55,56.87
57.57,57.84,58.22,57.34
58.35,58.37,58.84,58.12
58.01,58.16,58.24,57.60
58.26,58.37,58.39,57.54
58.97,58.95,59.36,58.79
57.45,57.41,58.47,57.21
57.78,57.99,58.30,57.53
58.01,58.23,58.62,57.86
58.07,58.01,58.49,57.32
58.43,58.06,58.81,57.73
57.96,57.72,58.56,57.65
58.56,59.07,59.29,58.08
58.38,57.00,58.74,57.00
57.49,58.77,59.06,57.26
58.33,58.33,58.86,57.98
58.44,58.45,58.56,57.15
59.05,59.64,59.88,58.98
59.68,59.65,59.77,59.27
59.53,59.16,59.74,59.07
59.50,59.58,60.03,59.23
59.00,59.51,59.73,58.98
59.52,59.22,59.83,58.87
59.44,60.05,60.07,59.41
60.06,58.20,60.06,58.20
57.76,56.95,57.88,56.53
57.57,58.08,58.09,57.17
58.86,56.63,59.24,56.56
56.80,57.04,57.29,56.07
57.07,58.19,58.94,56.92
58.23,58.00,59.11,58.00
57.61,58.47,58.68,57.04
58.09,59.01,59.01,57.95
59.74,60.79,60.90,59.71
61.16,60.45,61.16,60.28
60.55,60.79,60.96,60.36
61.15,60.86,61.35,60.44
60.76,61.28,61.29,60.38
60.91,60.85,61.18,60.24
60.91,60.64,61.12,60.25
61.07,61.07,61.31,60.80
61.12,60.73,61.21,60.41
59.61,60.41,60.92,59.32
60.81,60.24,61.03,59.14
60.90,60.86,61.16,60.36
59.84,59.57,60.10,59.25
60.00,60.68,60.76,59.89
61.03,60.21,61.31,59.66
60.70,60.91,60.91,60.43
60.08,61.06,61.13,59.90
61.04,61.39,61.49,60.75
61.44,60.51,61.54,60.20
61.07,61.47,61.85,60.98
61.51,60.35,61.69,60.05
60.29,60.40,60.65,59.72
58.47,59.37,59.54,58.18
59.37,60.01,60.01,59.05
60.31,60.77,61.26,59.74
61.16,63.17,63.32,61.16
62.82,63.05,63.39,62.72
62.83,63.00,63.10,62.07
62.55,60.53,62.73,60.40
61.24,62.15,62.27,60.96
61.01,59.72,61.07,59.00
60.03,58.04,60.04,57.54
58.27,59.65,59.88,58.10
60.05,60.80,61.27,59.62
61.59,61.98,62.43,60.89
61.70,61.93,62.41,61.41
62.26,62.59,63.09,62.26
62.28,62.24,62.57,61.69
62.62,63.37,63.84,62.58
63.51,64.25,64.31,63.06
64.31,63.71,64.53,63.44
63.90,65.29,65.55,63.79
66.52,66.84,67.22,66.48
67.07,67.33,67.55,66.96
67.57,67.25,67.67,66.77
67.16,67.92,68.02,66.98
67.61,67.79,68.64,67.47
67.99,68.51,68.60,67.77
68.33,68.74,69.04,68.18
68.72,69.43,69.84,68.70
69.15,69.70,69.84,68.82
69.85,69.58,70.50,69.48
70.21,70.85,70.95,69.83
70.49,70.65,71.13,70.12
70.62,70.78,71.35,70.12
71.00,69.65,72.12,68.86
68.34,69.21,69.71,68.10
68.32,69.20,69.20,67.95
70.78,70.08,71.30,69.67
69.53,69.40,69.92,68.62
69.47,70.12,70.78,69.47
69.61,68.82,70.65,68.75
68.94,69.11,69.12,67.33
69.32,68.39,69.92,67.82
67.96,66.65,68.44,66.50
66.78,67.14,67.23,65.52
67.82,69.04,69.21,67.45
69.34,69.14,69.76,68.83
67.75,67.75,68.98,67.28
68.53,66.17,68.58,65.98
66.00,67.79,68.12,65.63
67.86,66.96,68.00,66.75
68.02,68.19,69.00,67.54
68.41,69.32,69.61,68.40
69.40,67.77,69.53,67.67
66.25,64.46,66.69,64.15
