EMITF,Elbit Imaging Ltd. - Ordinary Shares,NASDAQ
44.80,45.00,46.80,44.80
42.00,40.20,42.00,39.59
40.40,39.60,42.00,39.40
41.20,45.00,47.00,41.20
45.20,43.40,45.20,43.40
43.40,44.80,44.80,43.40
43.60,43.80,44.40,42.80
43.00,47.40,47.40,41.00
N/A,N/A,N/A,N/A
43.40,42.80,45.78,41.00
40.00,40.00,40.00,40.00
42.00,46.00,51.00,42.00
51.00,49.40,51.00,48.00
48.20,48.00,48.20,48.00
48.00,50.00,51.00,48.00
46.40,49.00,49.40,46.40
51.40,47.20,51.40,47.20
44.80,47.12,47.60,43.00
50.00,50.44,50.80,50.00
52.80,53.20,53.60,52.80
46.40,52.40,55.20,46.40
51.40,53.80,54.00,51.40
54.80,54.03,54.80,54.03
52.60,54.40,55.40,52.60
57.00,54.20,60.00,54.20
N/A,N/A,N/A,N/A
51.60,53.80,53.80,51.60
53.60,55.20,55.40,53.40
53.80,56.00,56.00,53.40
N/A,N/A,N/A,N/A
55.20,53.60,55.40,53.60
60.60,60.80,61.60,59.40
73.00,70.40,73.00,68.60
78.00,81.00,87.80,77.20
89.20,93.60,101.80,86.80
94.00,94.60,97.80,90.93
93.00,87.20,93.00,84.60
75.80,81.40,88.20,75.80
84.80,85.80,89.80,84.80
86.20,83.40,89.80,83.00
82.00,84.60,84.80,81.40
76.00,76.40,77.00,75.00
75.00,76.00,77.00,70.00
73.20,66.60,73.20,64.23
68.60,68.80,70.40,67.20
66.80,68.00,71.40,66.80
60.80,62.40,64.20,60.80
63.00,62.80,63.00,62.60
61.00,63.80,63.80,60.40
62.40,58.92,62.40,58.92
57.80,57.60,57.80,57.40
54.00,53.80,56.00,53.80
54.80,55.20,55.20,54.80
53.80,52.40,54.00,51.20
51.40,50.80,51.40,50.20
54.00,57.00,59.80,54.00
60.80,53.20,60.80,53.00
56.20,59.00,59.00,56.00
60.20,59.40,60.20,54.40
58.20,56.40,58.20,56.40
63.20,67.10,68.20,63.20
68.60,70.80,70.98,68.60
65.80,65.60,68.20,65.20
64.80,62.00,64.80,60.40
61.40,61.30,61.40,61.30
61.40,61.60,62.20,55.20
57.60,57.90,58.80,57.00
N/A,N/A,N/A,N/A
56.20,55.00,56.20,55.00
53.40,55.00,55.00,53.40
53.80,53.20,54.80,50.40
53.80,52.77,53.80,50.60
50.60,50.20,51.60,50.00
50.40,50.40,51.00,50.40
51.80,51.60,52.10,50.15
52.00,51.20,55.40,51.20
49.60,48.40,49.80,45.60
44.80,45.00,46.40,44.60
44.40,46.00,46.00,43.60
51.40,53.60,54.40,51.40
55.80,56.20,59.40,55.80
56.40,56.40,56.40,56.40
57.40,59.00,59.40,57.40
64.00,56.40,64.00,56.40
58.40,52.08,58.40,51.00
63.00,66.40,70.60,63.00
63.00,63.00,65.60,59.00
62.80,62.00,65.80,62.00
61.20,61.20,61.60,58.00
59.80,62.20,62.20,59.80
62.20,63.20,65.20,62.20
59.20,63.40,63.40,59.20
58.20,60.00,61.80,58.20
58.80,59.20,59.20,58.00
58.00,58.20,58.20,56.20
57.00,57.00,57.00,57.00
58.60,59.60,59.80,58.60
57.14,58.80,58.80,54.80
60.40,60.40,60.40,60.40
59.60,59.40,59.60,59.40
58.00,57.00,59.00,57.00
58.40,58.80,59.00,58.40
58.80,57.00,59.20,57.00
57.80,57.40,57.80,57.40
N/A,N/A,N/A,N/A
58.40,58.00,58.40,58.00
57.80,57.20,57.80,54.60
55.00,54.40,56.00,52.60
52.60,53.00,53.06,52.60
53.20,54.80,57.40,53.20
nan,54.80,nan,nan
64.80,57.60,64.80,55.40
58.00,58.00,58.58,57.80
56.60,57.00,60.00,54.40
57.00,55.20,57.00,54.00
nan,55.20,nan,nan
51.60,50.80,52.00,50.00
49.60,49.40,51.00,48.00
49.40,50.00,50.20,49.40
50.00,50.40,50.40,50.00
nan,50.00,nan,nan
50.40,50.40,50.40,50.40
49.40,49.40,49.40,49.40
49.40,50.80,50.80,49.40
51.20,51.40,51.40,51.20
50.20,50.45,50.45,50.20
45.20,49.80,49.80,45.20
49.20,49.40,49.40,48.80
48.80,50.00,50.20,48.80
nan,48.80,nan,nan
46.80,50.00,50.00,46.80
50.00,48.20,50.00,48.20
48.40,49.00,49.00,48.40
nan,48.40,nan,nan
nan,48.40,nan,nan
48.80,48.00,48.80,47.60
54.60,55.20,56.66,54.60
55.00,52.40,55.00,51.80
53.20,51.40,54.80,48.40
51.40,50.40,51.40,50.40
50.40,52.40,52.60,50.40
53.00,54.18,55.20,53.00
57.40,57.20,60.40,57.00
53.45,58.60,58.60,53.40
55.40,58.00,58.00,55.40
60.60,63.80,63.80,60.60
64.40,59.80,64.40,59.80
59.80,62.20,62.20,59.80
62.00,56.40,62.00,54.80
nan,59.60,nan,nan
nan,59.20,nan,nan
56.40,58.60,59.00,56.00
nan,57.40,nan,nan
54.60,60.00,60.00,54.60
59.80,57.20,59.80,57.20
56.80,56.80,56.80,56.80
56.00,56.00,56.00,56.00
nan,56.80,nan,nan
56.20,60.00,60.00,56.20
58.00,57.20,58.00,57.20
53.20,58.40,58.40,53.20
