IYC,iShares U.S. Consumer Services ETF,NASDAQ
61.31,61.01,61.33,60.95
61.08,61.52,61.64,60.49
61.30,61.25,61.47,61.09
61.63,61.13,61.83,60.71
61.46,61.17,61.63,60.85
61.08,60.80,61.33,60.43
61.44,61.93,62.04,61.19
61.80,61.65,61.81,61.42
61.90,61.77,61.91,61.39
61.99,62.21,62.37,61.61
62.19,62.35,62.50,62.15
61.97,62.41,62.57,61.77
62.88,62.63,63.08,62.54
62.44,62.37,62.59,62.00
62.91,62.80,62.95,62.21
62.80,62.78,62.82,62.47
62.42,61.85,62.45,61.52
61.94,62.58,62.88,61.94
62.91,63.10,63.74,62.61
63.21,63.45,63.48,63.02
63.72,63.76,64.30,63.72
63.50,64.06,64.32,63.39
63.68,63.90,63.90,63.24
64.00,64.18,64.29,63.80
64.16,64.22,64.25,63.92
64.41,64.15,64.65,63.83
64.72,64.89,65.11,64.57
64.95,65.11,65.18,64.31
66.10,65.99,66.10,65.85
66.17,66.21,66.48,66.07
66.04,66.09,66.11,65.65
66.18,65.61,66.18,65.38
65.54,65.87,65.87,65.12
65.58,65.83,66.15,65.20
65.71,65.18,65.91,64.99
65.58,64.90,65.58,64.90
64.54,64.23,65.05,64.00
64.32,64.56,64.66,64.32
65.17,65.23,65.76,65.17
65.27,65.59,65.64,65.03
65.49,65.92,66.04,65.29
65.29,65.12,65.37,64.91
65.67,66.37,66.37,65.67
66.07,66.06,66.18,65.84
65.62,65.79,65.91,65.12
65.18,65.56,65.93,65.13
66.34,66.72,67.02,66.34
66.84,67.26,67.36,66.70
66.80,67.39,67.46,66.80
67.39,67.38,67.46,67.17
68.10,67.43,68.15,67.41
67.54,67.39,67.54,67.11
67.73,67.45,67.78,67.31
67.74,67.72,67.76,67.42
67.98,67.29,68.05,67.28
67.32,67.23,67.54,67.14
67.11,66.98,67.50,66.93
67.22,67.57,67.58,66.99
67.63,67.61,67.77,67.45
67.89,67.83,67.97,67.43
68.00,68.03,68.10,67.88
68.00,68.01,68.16,67.94
68.00,67.91,68.07,67.74
67.79,67.73,67.79,67.41
67.92,67.64,67.92,67.36
67.79,67.86,68.02,67.64
67.94,67.90,67.94,67.67
67.73,67.66,67.73,67.54
68.18,68.31,68.60,68.18
68.55,68.04,68.55,67.76
67.87,68.42,68.52,67.87
68.47,67.98,68.47,67.89
68.11,67.99,68.29,67.38
67.65,67.96,68.03,67.41
68.28,67.89,68.28,67.81
68.53,68.07,68.53,67.97
68.07,68.01,68.22,67.95
68.02,68.45,68.47,67.80
68.35,68.61,68.67,68.35
68.46,67.92,68.59,67.86
67.81,68.41,68.58,67.81
68.77,68.40,68.80,68.35
68.42,68.74,68.76,68.27
68.47,68.77,68.78,68.20
68.76,68.90,69.24,68.76
68.93,69.32,69.39,68.93
69.27,67.60,69.27,67.50
67.75,67.62,67.95,67.47
67.81,68.66,68.75,67.81
68.50,68.49,68.65,68.34
68.43,69.19,69.23,68.43
69.17,69.39,69.40,68.92
69.55,69.57,69.90,69.41
69.63,70.31,70.33,69.63
70.22,70.63,70.82,70.22
70.33,70.80,70.82,70.25
70.56,71.44,71.46,70.46
71.43,71.16,71.43,70.96
70.95,71.26,71.38,70.92
71.49,71.73,71.90,71.40
71.47,71.96,72.00,71.47
71.93,72.17,72.20,71.79
71.34,70.45,71.46,70.28
70.28,69.50,70.64,68.82
69.28,69.74,69.75,68.98
70.02,70.41,70.48,69.99
70.66,70.80,70.86,70.33
70.88,69.64,70.88,69.63
69.65,69.78,70.03,69.46
70.73,70.91,71.03,70.40
70.83,70.40,70.93,69.99
70.80,69.82,70.83,69.42
69.94,70.37,70.51,69.54
70.24,70.58,70.67,70.07
69.81,69.97,70.42,69.67
69.63,70.25,70.42,69.51
69.75,69.49,69.90,68.99
67.68,68.88,69.19,67.68
68.38,67.86,68.80,67.50
68.92,68.03,68.92,67.97
68.72,68.25,68.73,68.08
68.73,69.26,69.33,68.73
69.35,68.75,69.35,68.69
68.55,69.26,69.26,68.21
69.39,70.16,70.25,69.39
70.08,70.13,70.51,70.08
70.13,69.47,70.19,69.47
69.41,70.07,70.11,69.41
70.38,70.86,70.92,70.37
70.54,70.61,70.72,70.37
70.94,71.07,71.45,70.81
71.32,71.17,71.32,71.02
70.96,71.48,71.74,70.96
71.91,71.52,71.91,71.28
71.41,71.36,71.67,70.98
71.53,71.00,71.53,70.73
71.24,70.97,71.25,70.84
70.62,70.91,71.10,70.62
71.22,71.00,71.35,70.71
70.57,70.91,70.99,70.35
71.04,71.41,71.47,70.86
70.86,70.81,70.86,70.01
70.89,71.00,71.00,70.57
71.94,72.00,72.19,71.83
72.38,72.32,72.38,72.02
72.35,72.26,72.39,72.14
72.49,72.51,72.70,72.25
72.60,73.33,73.40,72.60
73.27,73.46,73.54,73.23
73.50,73.52,73.70,73.44
73.89,73.73,74.18,73.64
73.54,73.47,73.77,73.21
73.51,73.14,73.51,72.87
72.99,73.12,73.74,72.67
73.83,73.19,73.98,73.10
73.23,73.47,73.62,73.23
73.67,74.43,74.52,73.67
74.33,73.97,74.34,73.55
73.75,74.57,74.63,73.58
74.63,74.17,74.64,73.97
73.97,73.19,73.97,73.19
72.96,73.31,73.43,72.94
73.39,74.06,74.11,73.15
74.37,74.21,74.37,73.91
74.13,73.59,74.13,73.37
72.76,72.98,73.26,72.71
73.15,72.57,73.15,72.49
72.21,72.57,72.77,72.19
72.45,73.11,73.23,72.45
73.21,73.33,73.51,73.14
73.93,73.66,73.93,73.37
73.44,72.22,73.57,72.21
72.24,72.09,72.41,71.70
71.28,71.21,71.75,71.15
71.16,70.38,71.19,70.38
70.67,70.53,71.18,70.53
70.35,70.13,70.59,70.00
70.18,70.60,70.85,70.18
70.38,69.38,70.38,69.35
69.52,69.33,69.84,69.09
69.84,70.26,70.52,69.84
69.82,69.34,70.17,69.26
69.28,69.38,69.71,68.91
70.20,69.75,70.24,69.64
69.86,70.32,70.46,69.85
70.60,71.55,71.56,70.42
71.32,70.95,71.53,70.95
70.22,71.12,71.17,70.08
70.99,70.13,71.07,70.06
70.22,70.87,71.12,70.00
71.18,71.91,71.95,71.09
72.15,72.36,72.47,71.95
72.53,72.95,73.01,72.53
73.08,74.20,74.31,72.98
74.32,74.35,74.58,73.90
74.30,74.32,74.37,74.04
74.93,75.39,75.63,74.93
74.60,74.95,74.95,74.36
74.18,73.52,74.42,73.41
73.72,73.32,74.03,73.31
73.61,73.71,74.35,73.59
73.82,73.07,74.12,72.93
73.26,73.12,73.32,72.67
72.87,72.27,72.87,71.89
72.74,73.68,73.75,72.74
73.83,73.31,73.85,73.16
73.74,73.94,74.37,73.73
73.98,74.20,74.31,73.75
73.52,73.68,73.98,73.50
73.62,73.65,73.85,73.37
73.56,72.45,73.56,72.34
72.39,71.99,72.87,71.87
71.35,71.71,72.25,70.99
72.35,71.23,72.35,70.51
70.78,68.91,71.05,68.91
69.02,69.43,69.48,67.71
68.35,66.25,68.51,66.25
67.17,66.12,67.28,64.23
64.15,61.89,65.09,61.89
62.85,64.86,64.86,61.05
63.44,62.02,63.96,62.02
62.57,64.73,65.59,62.50
65.27,65.37,65.73,64.63
65.81,66.32,66.32,65.32
65.85,66.32,66.65,65.66
66.83,66.20,66.94,65.53
64.42,63.38,64.44,62.87
62.49,62.58,64.34,62.49
63.92,62.72,63.92,62.58
62.93,64.79,64.79,62.79
64.75,65.71,65.74,64.70
66.25,64.48,66.28,64.34
64.13,65.82,66.04,63.42
66.70,67.68,67.72,66.69
67.43,68.14,68.45,67.15
68.72,68.35,69.07,67.97
68.64,67.56,68.64,67.56
66.24,65.93,66.67,65.75
64.13,65.75,65.79,64.13
66.65,67.40,67.43,66.37
67.21,66.73,67.68,66.47
65.77,65.05,66.14,64.66
64.25,65.69,65.71,64.25
66.03,66.46,66.58,65.51
66.86,67.52,68.30,66.17
68.31,68.46,68.55,67.58
68.71,69.17,69.25,68.62
68.17,69.02,69.35,67.87
69.28,68.69,69.96,68.67
68.67,66.94,68.82,66.94
65.18,64.92,66.15,64.07
64.39,65.48,65.76,64.20
66.13,66.90,66.95,65.26
67.81,67.16,68.42,66.96
67.42,66.13,67.91,66.10
67.23,65.61,67.27,64.49
64.84,63.97,65.43,63.97
63.47,62.12,64.40,62.07
61.29,63.72,63.72,60.88
63.60,64.55,64.69,63.41
64.42,65.85,65.87,64.29
66.18,65.78,66.50,65.46
66.91,67.93,67.94,66.91
67.75,68.13,68.26,67.60
68.81,68.72,69.55,68.58
68.54,68.72,69.01,68.18
69.50,69.68,69.70,68.96
69.40,68.64,69.50,68.50
68.66,69.76,70.31,68.00
69.64,68.91,70.04,68.84
69.13,69.15,69.24,68.31
70.04,70.69,70.72,69.89
70.80,71.68,71.85,70.80
70.91,70.19,71.23,70.05
70.60,70.27,70.78,69.18
71.83,72.13,72.57,71.13
72.04,71.68,72.18,71.35
70.94,70.56,71.36,70.56
68.90,69.14,69.78,68.48
69.92,69.93,70.33,69.46
70.47,70.82,70.96,69.51
70.41,70.73,70.81,69.88
70.98,71.08,71.14,70.32
71.42,71.83,71.86,70.43
70.35,69.41,70.46,69.29
70.18,69.86,70.18,69.20
70.69,71.57,71.68,70.69
71.11,71.14,71.68,70.91
70.83,71.31,71.60,70.49
70.78,69.99,71.19,69.94
69.59,69.07,70.19,68.74
69.33,69.10,69.36,68.90
68.26,68.04,68.27,67.29
67.59,67.94,68.23,67.44
67.33,66.66,67.33,66.66
66.47,66.49,67.14,66.47
68.19,68.31,68.64,67.89
68.53,68.53,68.83,68.27
70.30,70.53,70.60,69.90
70.35,70.62,71.08,70.35
71.28,70.98,71.57,70.94
71.80,71.55,72.01,71.14
71.38,71.47,71.72,71.18
70.94,71.75,72.06,70.90
71.39,70.39,71.54,70.28
70.50,71.45,71.59,70.50
70.80,71.20,71.25,70.35
71.50,69.99,71.60,69.73
69.75,69.32,69.93,69.09
69.84,69.50,70.00,69.50
70.22,69.89,70.54,69.69
70.08,68.84,70.30,68.67
70.03,70.97,71.03,70.03
70.91,71.04,71.11,70.42
70.92,71.01,71.12,70.75
71.20,71.79,71.79,71.16
71.73,71.91,72.07,71.54
71.75,71.10,71.75,71.02
71.33,71.75,71.78,71.23
71.53,71.41,71.73,71.41
72.57,71.95,72.60,71.88
71.83,72.14,72.20,71.67
71.49,72.49,72.54,71.37
72.35,72.45,72.69,72.16
72.41,72.46,72.56,72.08
73.01,72.80,73.02,72.67
72.72,73.02,73.07,72.72
73.29,73.14,73.29,72.69
72.87,72.92,72.99,72.36
73.63,73.32,73.71,73.30
73.40,74.29,74.31,73.40
74.23,75.08,75.08,74.23
75.00,74.69,75.00,74.47
74.78,74.63,74.98,74.23
74.19,74.75,74.75,74.19
74.60,75.28,75.34,74.59
75.70,75.11,75.80,74.87
74.98,75.21,75.36,74.76
74.73,74.96,75.03,74.18
75.32,74.85,75.32,74.53
75.17,75.42,75.63,75.06
75.52,75.38,75.52,75.07
75.94,76.50,76.58,75.94
76.32,76.35,76.43,76.21
76.00,76.54,76.61,76.00
76.60,76.64,76.84,76.27
76.74,76.91,76.91,76.24
76.41,76.51,76.54,76.20
76.77,76.85,77.02,76.73
76.68,76.83,76.94,76.47
77.18,76.58,77.27,76.50
76.57,77.09,77.13,76.55
77.39,77.66,77.74,77.34
77.81,77.14,77.81,77.04
77.08,76.84,77.20,76.67
76.83,77.25,77.29,76.69
77.32,77.25,77.49,77.15
76.86,77.44,77.63,76.83
77.51,78.09,78.12,77.46
78.19,77.88,78.31,77.86
78.05,78.29,78.37,77.94
78.33,78.12,78.50,77.94
77.94,78.19,78.33,77.82
77.56,77.31,77.56,77.07
77.45,78.04,78.14,77.45
78.39,78.77,78.91,78.04
78.94,79.21,79.37,78.89
79.41,79.05,79.41,78.98
79.47,80.14,80.14,79.28
80.04,80.00,80.07,79.74
80.10,80.31,80.31,79.70
80.40,80.13,80.40,80.08
79.95,80.44,80.57,79.89
80.13,80.50,80.65,79.96
80.72,80.66,80.87,80.54
80.21,80.51,80.62,80.17
80.34,80.76,80.76,79.90
81.08,81.74,81.74,81.06
81.79,81.57,81.98,81.56
81.52,80.89,81.62,80.65
80.52,80.79,80.86,80.12
81.25,80.99,81.26,80.64
80.89,81.25,81.50,80.79
81.24,81.10,81.53,80.77
80.67,80.32,80.67,79.94
80.47,80.72,80.83,80.41
79.82,80.02,80.20,79.58
80.02,78.37,80.02,78.28
79.03,79.33,79.53,79.03
79.46,80.30,80.36,79.43
80.22,79.95,80.32,79.82
80.32,79.91,80.32,79.44
80.28,80.92,81.07,80.26
80.75,80.95,81.25,80.59
80.99,80.66,81.54,80.29
81.15,80.89,81.37,80.89
80.03,79.84,80.03,79.31
79.76,79.46,80.04,79.20
80.13,80.40,80.51,80.11
80.70,81.45,81.64,80.65
82.05,82.62,82.67,81.68
82.36,82.00,82.36,81.84
82.10,82.31,82.90,81.86
82.00,82.65,82.74,81.90
82.56,82.05,82.63,81.82
81.65,80.78,81.65,80.74
80.50,80.80,81.05,80.45
80.32,80.17,80.32,79.04
79.70,79.88,80.27,79.18
80.45,80.25,80.75,80.04
79.94,80.27,80.94,79.94
79.57,79.22,79.87,79.21
79.16,79.21,79.96,78.91
79.48,79.04,79.89,79.04
79.11,77.29,79.11,77.27
77.51,76.69,77.74,76.57
76.68,77.92,77.94,76.31
77.98,78.06,78.67,77.69
77.55,78.53,78.57,77.30
78.67,78.97,79.13,78.40
79.01,79.01,79.33,78.85
79.62,79.97,80.05,79.24
79.16,78.82,79.17,78.76
78.77,78.77,78.99,78.18
77.47,76.61,77.63,76.46
76.61,76.96,76.97,76.16
76.70,77.31,77.43,76.57
78.00,78.87,78.87,78.00
79.68,78.71,79.69,78.71
78.56,79.44,79.48,78.54
79.97,78.33,79.97,78.33
78.41,79.19,79.20,78.33
78.71,78.19,79.13,78.03
78.37,79.31,79.57,78.37
79.52,80.00,80.03,79.52
79.82,80.69,80.74,79.69
80.80,81.06,81.30,80.60
81.44,80.99,81.44,80.47
81.09,79.51,81.09,79.50
79.86,79.96,80.05,79.61
79.32,78.89,79.32,78.50
79.09,79.75,80.03,79.03
79.86,79.77,79.98,79.52
79.21,79.44,79.50,78.67
80.42,81.21,81.22,80.42
81.79,81.69,81.79,81.12
81.66,81.66,81.85,81.30
81.42,81.80,82.12,81.42
81.28,81.53,81.60,81.21
81.50,81.24,81.70,80.97
81.57,80.87,81.72,80.52
80.90,80.48,80.94,79.99
79.89,80.18,80.47,79.38
80.39,81.31,81.40,80.39
81.08,80.86,81.21,80.66
81.44,81.58,81.75,80.72
81.32,81.82,82.05,81.27
82.21,82.26,82.61,82.00
81.77,81.40,81.80,81.35
80.23,80.33,80.41,79.65
80.65,79.79,80.65,79.36
79.79,79.55,80.00,79.43
80.68,80.85,80.89,80.26
81.36,82.23,82.42,81.31
82.41,82.21,82.54,81.95
82.00,81.56,82.00,81.55
81.88,81.04,81.92,81.00
80.63,81.10,81.48,80.32
82.34,82.42,82.56,82.06
82.63,82.62,82.89,82.55
82.93,83.09,83.36,82.93
82.58,82.98,83.05,82.40
82.87,82.80,82.98,82.71
82.56,82.70,82.72,82.31
82.64,82.78,82.78,82.32
83.27,82.95,83.28,82.77
83.14,83.20,83.28,83.08
83.18,83.65,83.80,83.02
83.86,83.95,84.00,83.80
83.90,83.76,83.90,83.57
83.88,83.63,84.20,83.52
83.56,83.90,84.00,83.56
83.69,83.32,83.70,83.21
83.29,83.88,84.01,83.23
84.20,83.89,84.20,83.75
83.95,83.98,84.17,83.76
84.13,84.38,84.49,84.09
84.16,83.91,84.16,83.85
84.39,84.26,84.64,84.08
84.18,84.37,84.67,83.75
84.44,84.50,84.83,84.42
84.93,86.16,86.16,84.93
86.39,86.38,86.43,86.18
86.32,86.12,86.60,86.11
86.22,86.03,86.40,85.98
86.31,86.31,86.45,86.12
86.40,87.51,87.66,86.11
87.77,87.72,88.30,87.59
87.70,87.35,87.70,87.22
87.34,87.08,87.34,86.92
87.22,87.83,88.04,87.22
87.50,87.81,87.82,87.22
88.19,87.74,88.28,87.69
87.48,87.62,87.79,87.28
87.54,86.54,87.92,86.54
86.35,86.04,86.46,85.83
86.37,86.91,87.14,86.24
86.55,86.52,86.80,86.18
87.01,86.62,87.32,86.46
86.83,86.49,86.91,86.18
86.75,87.10,87.34,86.52
87.68,87.79,87.99,87.53
88.21,87.95,88.61,87.84
87.80,87.80,87.85,87.65
87.66,86.42,87.66,86.42
86.55,86.23,86.94,86.12
86.66,85.88,86.77,85.75
86.00,85.89,86.28,85.76
86.07,86.62,86.62,85.82
86.93,87.26,87.35,86.93
87.52,87.58,87.84,87.36
87.48,87.75,88.08,87.39
87.56,86.33,87.56,86.00
86.14,86.22,86.33,85.73
85.40,85.42,85.58,84.81
85.67,85.03,85.71,84.98
85.69,85.04,85.84,84.79
85.12,85.29,85.51,84.56
85.90,85.36,85.90,84.80
85.57,86.13,86.30,85.57
86.78,85.94,86.92,85.94
85.83,86.02,86.10,85.40
86.12,86.55,86.69,86.12
85.98,85.56,85.98,85.03
86.09,84.33,86.09,84.32
84.00,84.12,84.65,83.63
84.31,84.05,84.35,83.87
83.85,84.21,84.78,83.85
84.46,82.96,84.53,82.75
82.93,82.69,82.95,82.30
83.00,83.17,83.18,82.29
83.98,84.57,84.57,83.98
84.53,84.89,85.12,84.32
85.00,85.18,85.26,84.86
85.63,86.20,86.20,85.51
85.90,85.90,85.95,85.57
86.08,85.59,86.17,85.59
85.42,86.76,86.78,85.17
86.78,87.08,87.21,86.60
86.98,87.52,87.52,86.85
87.76,86.95,87.76,86.95
86.85,86.72,86.91,86.40
86.50,86.59,86.97,86.09
86.64,87.23,87.29,86.64
87.62,87.40,87.68,87.15
87.38,87.06,87.48,86.90
87.43,87.29,87.75,87.15
87.39,87.24,87.73,87.16
87.44,86.94,87.72,86.75
86.85,86.72,86.94,86.61
86.83,88.06,88.06,86.83
88.18,88.91,89.08,87.93
88.38,87.65,88.38,87.63
87.44,87.93,87.98,87.35
86.94,86.95,87.14,86.42
86.87,86.71,86.98,86.71
86.86,85.88,86.86,85.79
85.93,85.96,86.18,84.88
85.44,85.25,85.93,85.19
85.42,86.80,86.81,85.25
88.20,88.79,88.79,88.09
88.91,88.76,89.36,88.74
89.09,89.26,89.39,88.91
89.06,88.98,89.13,88.58
88.79,88.79,88.97,88.39
88.95,89.03,89.36,88.90
89.29,89.29,89.36,88.83
89.45,89.46,89.53,89.17
89.48,89.55,89.76,89.33
89.33,90.18,90.24,89.30
89.86,90.09,90.24,89.86
90.68,91.03,91.15,90.55
91.05,91.15,91.19,90.78
91.16,91.45,91.47,90.92
91.50,91.72,91.81,91.36
92.13,92.37,92.81,92.06
92.58,93.06,93.19,92.58
93.10,92.85,93.16,92.65
92.70,92.53,92.71,92.24
92.70,92.43,92.86,92.36
92.21,92.24,92.70,92.12
93.05,93.00,93.05,92.61
92.43,91.63,92.55,91.59
91.97,92.60,92.78,91.89
92.40,92.64,92.83,92.40
92.62,92.56,92.62,91.77
92.68,93.22,93.23,92.68
93.12,92.99,93.12,92.77
92.67,93.20,93.35,92.67
93.72,93.39,93.85,93.20
93.14,93.32,93.49,92.98
93.32,93.17,93.64,92.78
93.28,93.66,93.69,93.28
93.60,92.40,93.66,92.40
92.10,91.81,92.34,91.60
92.10,92.38,92.38,91.77
92.84,91.06,92.93,91.06
91.48,91.71,91.76,91.21
91.84,93.04,93.17,91.84
92.94,93.00,93.66,92.94
92.66,93.55,93.61,92.53
93.41,94.60,94.60,93.17
95.12,95.32,95.46,95.00
95.43,95.07,95.66,94.97
95.10,95.16,95.26,94.97
95.54,96.11,96.17,95.51
96.02,96.25,96.31,95.98
96.15,96.08,96.25,95.84
96.26,96.54,96.59,96.16
96.70,96.64,96.85,96.43
96.42,96.13,96.50,96.09
95.28,95.68,96.00,95.28
95.86,95.30,95.93,94.69
95.88,96.46,96.60,95.88
96.20,95.85,96.35,95.59
96.21,96.86,96.86,96.21
96.94,96.51,97.15,96.08
96.80,97.03,97.03,96.65
96.51,97.14,97.19,96.48
97.17,97.61,97.67,97.17
97.91,97.14,97.91,96.95
97.00,97.80,98.00,97.00
97.89,96.73,97.89,96.56
96.79,97.43,97.43,96.79
96.50,97.18,97.21,95.95
97.35,98.18,98.18,96.89
98.63,98.06,98.63,97.75
98.32,99.01,99.10,98.28
99.09,99.79,100.13,99.09
99.60,100.15,100.24,99.60
99.79,97.88,99.96,97.88
98.49,99.27,99.27,98.43
98.65,98.31,98.82,97.98
97.79,97.07,97.88,96.91
97.19,98.31,98.34,97.19
98.27,98.59,98.72,97.62
98.98,99.50,99.54,98.54
99.53,99.25,99.63,99.21
99.75,99.96,100.22,99.71
99.75,99.62,99.80,99.35
99.96,99.78,100.07,99.60
99.90,99.93,100.02,99.60
99.76,99.69,100.16,99.68
99.86,100.73,100.81,99.86
101.52,101.81,102.01,101.52
101.88,101.89,102.11,101.65
102.23,102.66,102.70,101.92
102.65,102.90,102.98,102.57
103.08,102.89,103.34,102.77
103.11,103.79,103.80,103.11
103.73,103.79,103.87,103.39
104.16,104.81,104.86,104.16
104.80,105.48,105.54,104.80
105.28,104.30,105.28,104.13
104.59,104.97,105.01,104.49
104.92,104.56,104.97,104.43
104.86,104.99,105.26,104.64
104.99,104.05,105.74,103.70
103.27,103.93,103.97,103.03
103.37,103.93,103.93,103.08
104.95,104.84,105.50,104.40
104.19,103.65,104.19,103.25
104.29,103.42,104.29,103.42
103.18,102.30,103.73,102.30
102.28,102.59,102.63,101.52
102.57,102.37,103.21,101.84
102.10,100.87,102.21,100.71
100.80,101.63,101.63,100.23
102.30,103.42,103.49,102.30
103.75,103.21,103.86,103.14
102.43,102.46,103.16,102.15
102.98,101.35,103.01,101.23
101.34,102.86,103.03,101.34
102.82,102.71,103.13,102.50
103.44,103.22,103.71,102.72
103.49,104.21,104.42,103.49
104.34,103.07,104.45,103.07
