DSS,Document Security Systems,NASDAQ
3.72,3.87,3.88,3.72
3.94,3.99,4.18,3.90
3.99,3.98,4.00,3.85
3.91,3.85,3.94,3.68
3.78,3.80,3.84,3.77
3.85,3.76,3.90,3.72
3.85,3.73,3.85,3.72
3.73,3.79,3.84,3.64
3.79,3.79,3.82,3.70
3.80,3.89,3.90,3.80
3.92,3.97,3.98,3.85
3.98,3.94,4.01,3.92
3.77,3.93,3.97,3.72
3.98,4.01,4.01,3.80
4.05,3.90,4.05,3.86
3.88,3.81,3.88,3.77
3.83,3.80,3.86,3.69
3.82,3.66,3.82,3.66
3.68,3.70,3.77,3.57
3.61,3.60,3.70,3.50
3.55,3.54,3.67,3.50
3.70,3.60,3.70,3.51
3.67,3.65,3.68,3.60
3.57,3.61,3.70,3.57
3.67,3.60,3.69,3.60
3.58,3.70,3.72,3.58
3.66,3.58,3.69,3.51
3.55,3.87,4.09,3.55
3.82,3.81,3.84,3.71
3.81,3.40,3.81,3.40
3.46,3.54,3.78,3.46
3.57,3.48,3.60,3.46
3.50,3.56,3.65,3.50
3.60,3.57,3.66,3.43
3.63,3.57,3.65,3.50
3.56,3.35,3.56,3.27
3.34,3.43,3.44,3.29
3.41,3.40,3.44,3.33
3.42,3.38,3.43,3.36
3.40,3.38,3.53,3.38
3.41,3.38,3.48,3.33
3.39,3.40,3.43,3.32
3.40,3.50,3.51,3.40
3.53,3.55,3.58,3.48
3.50,3.57,3.58,3.47
3.60,3.52,3.60,3.52
3.52,3.49,3.52,3.46
3.53,3.55,3.59,3.45
3.56,3.52,3.58,3.48
3.52,3.50,3.52,3.48
3.45,3.45,3.58,3.43
3.48,3.47,3.51,3.38
3.45,3.57,3.64,3.45
3.59,3.52,3.59,3.47
3.50,3.52,3.57,3.50
3.58,3.60,3.60,3.55
3.60,3.62,3.64,3.59
3.65,3.60,3.65,3.51
3.61,3.63,3.65,3.54
3.65,3.63,3.69,3.56
3.63,3.75,3.75,3.62
3.73,3.71,3.75,3.68
3.69,3.75,3.80,3.63
3.84,3.93,3.94,3.83
3.90,4.07,4.15,3.90
4.13,4.21,4.26,4.05
4.24,4.20,4.36,4.05
4.22,4.26,4.30,4.18
4.29,4.32,4.33,4.20
4.34,4.25,4.35,4.24
4.30,4.27,4.44,4.26
4.30,4.20,4.39,4.10
4.22,4.35,4.43,4.22
4.42,4.40,4.50,4.34
4.45,4.78,4.84,4.42
4.86,4.88,4.89,4.64
4.87,5.15,5.15,4.87
5.16,4.98,5.18,4.90
5.00,4.97,5.11,4.90
4.94,4.87,4.95,4.82
4.82,4.94,4.94,4.82
4.94,4.85,4.95,4.83
4.83,4.84,4.95,4.80
4.80,4.80,4.87,4.80
4.85,4.85,4.99,4.82
4.89,4.80,4.89,4.80
4.83,4.81,4.92,4.79
4.87,4.85,5.05,4.80
4.87,4.90,4.95,4.80
4.94,5.51,6.00,4.94
5.58,5.42,5.71,5.36
5.54,5.40,5.60,5.36
5.47,5.14,5.47,5.14
5.22,5.50,5.50,5.21
5.40,5.35,5.51,5.28
5.29,5.28,5.35,5.19
5.27,5.50,5.55,5.25
5.49,5.41,5.55,5.41
5.51,5.44,5.51,5.36
5.49,5.43,5.50,5.39
5.43,5.40,5.48,5.30
5.36,5.38,5.40,5.25
5.37,5.39,5.45,5.28
5.50,5.52,5.63,5.43
5.58,5.55,5.65,5.40
5.63,5.58,5.64,5.41
5.65,5.51,5.65,5.48
5.49,5.53,5.55,5.35
5.48,5.43,5.55,5.35
5.42,5.39,5.46,5.32
5.43,5.42,5.45,5.32
5.40,5.36,5.41,5.33
5.40,5.30,5.40,5.30
5.29,5.29,5.32,5.25
5.26,5.14,5.26,5.10
5.11,4.94,5.11,4.77
4.89,5.03,5.06,4.87
5.03,4.97,5.10,4.92
4.92,4.98,5.01,4.88
4.98,4.99,5.07,4.91
4.97,5.17,5.24,4.97
5.17,5.05,5.18,5.02
5.01,4.87,5.01,4.87
4.91,4.83,4.97,4.80
4.82,4.84,4.91,4.80
4.82,4.77,4.82,4.70
4.75,4.84,4.92,4.71
4.82,4.94,4.94,4.81
4.84,4.90,4.96,4.80
4.89,4.88,4.93,4.83
4.85,4.99,4.99,4.80
4.98,4.92,4.99,4.90
4.95,4.93,4.95,4.84
5.26,4.94,5.26,4.86
4.97,4.94,4.97,4.88
4.91,4.95,5.02,4.91
4.99,4.96,5.04,4.90
4.89,4.83,4.95,4.79
4.80,4.64,4.80,4.59
4.64,4.74,4.77,4.62
4.79,4.71,4.83,4.64
4.72,4.60,4.75,4.58
5.13,4.69,5.13,4.58
4.71,4.65,4.72,4.63
4.70,4.64,4.72,4.61
4.68,4.61,4.71,4.52
4.60,4.62,4.65,4.53
4.56,4.71,4.74,4.56
4.71,4.60,4.71,4.57
4.60,4.60,4.63,4.57
4.59,4.64,4.64,4.54
4.65,4.54,4.79,4.47
4.50,4.49,4.53,4.36
4.50,4.50,4.58,4.47
4.51,4.48,4.53,4.47
4.50,4.48,4.55,4.43
4.64,4.67,4.73,4.58
4.63,4.69,4.72,4.60
4.67,4.56,4.67,4.47
4.57,4.57,4.61,4.51
4.55,4.51,4.59,4.50
4.53,4.53,4.55,4.46
4.50,4.45,4.54,4.40
4.52,4.18,4.58,4.18
4.75,4.11,4.75,4.03
4.11,4.13,4.16,4.09
4.11,3.95,4.11,3.95
3.96,4.00,4.02,3.96
4.02,3.92,4.02,3.86
3.93,3.95,3.97,3.88
3.95,3.93,3.99,3.85
3.94,3.82,4.01,3.76
3.79,3.42,3.80,3.38
3.45,3.39,3.46,3.20
3.40,3.40,3.49,3.28
3.40,3.43,3.45,3.25
3.38,3.36,3.40,3.31
3.42,3.23,3.48,3.23
3.27,3.24,3.34,3.16
3.25,3.30,3.30,3.24
3.27,3.15,3.29,3.15
3.16,3.06,3.16,3.01
3.03,3.05,3.17,3.00
3.05,2.99,3.18,2.90
3.01,3.23,3.23,2.95
3.24,3.19,3.26,3.14
3.15,3.04,3.15,3.04
3.06,3.10,3.11,3.06
3.08,3.12,3.19,3.05
3.15,3.22,3.26,3.10
3.31,3.24,3.31,3.18
3.25,3.32,3.35,3.18
3.34,3.33,3.35,3.27
3.34,3.45,3.52,3.32
3.53,3.35,4.00,3.26
3.34,3.30,3.41,3.20
3.34,3.20,3.34,3.11
3.19,3.20,3.25,3.14
3.22,3.25,3.32,3.10
3.24,3.28,3.29,3.21
3.20,3.28,3.29,3.17
3.29,3.04,3.29,2.94
3.04,3.12,3.15,3.04
3.13,3.14,3.23,3.09
3.15,3.40,3.44,3.15
3.43,3.38,3.51,3.38
3.32,3.26,3.40,3.26
3.29,3.26,3.33,3.25
3.27,3.29,3.40,3.23
3.30,3.07,3.30,3.01
3.10,3.08,3.14,3.07
3.11,3.09,3.11,3.05
3.12,3.13,3.16,3.04
3.13,3.22,3.22,3.12
3.22,3.23,3.32,3.19
3.28,3.13,3.28,3.11
3.16,3.13,3.20,3.06
3.16,3.19,3.21,3.09
3.19,3.14,3.23,3.12
3.22,3.21,3.25,3.14
3.23,3.23,3.24,3.11
3.18,3.12,3.18,3.07
3.12,3.15,3.20,3.09
3.11,3.20,3.20,3.11
3.18,3.13,3.25,3.06
3.16,3.06,3.20,3.06
3.08,3.10,3.14,3.06
3.19,3.14,3.19,3.08
3.21,3.20,3.25,3.11
3.20,3.21,3.22,3.15
3.19,3.29,3.31,3.08
3.31,3.49,3.58,3.30
3.45,3.60,3.60,3.40
3.45,3.78,3.92,3.45
3.61,3.82,3.97,3.61
3.83,3.73,3.83,3.70
3.73,3.66,3.77,3.56
3.76,3.74,3.76,3.56
3.74,3.58,3.84,3.56
3.69,3.66,3.78,3.56
3.70,3.67,3.72,3.58
3.76,3.83,3.83,3.61
3.84,3.77,3.85,3.74
3.76,3.68,3.77,3.61
3.69,3.60,3.69,3.56
3.56,3.46,3.66,3.40
3.45,3.44,3.62,3.35
3.90,3.38,3.90,3.35
3.47,3.35,3.47,3.26
3.32,3.19,3.32,3.05
3.20,3.17,3.23,3.10
3.22,2.95,3.22,2.91
2.95,2.70,3.11,2.66
2.60,2.58,2.71,2.53
2.60,2.39,2.69,2.30
2.36,2.15,2.51,2.15
2.23,2.34,2.34,1.86
2.46,2.33,2.46,2.30
2.37,2.30,2.38,2.21
2.37,2.09,2.42,2.05
2.10,2.15,2.21,1.89
2.10,2.14,2.16,1.95
2.07,2.23,2.29,2.07
2.28,2.23,2.37,2.22
2.23,2.32,2.35,2.22
2.47,2.37,2.47,2.29
2.50,2.37,2.50,2.31
2.39,2.38,2.39,2.32
2.38,2.45,2.45,2.35
2.39,2.45,2.45,2.37
2.41,2.49,2.52,2.40
2.50,2.49,2.54,2.46
2.49,2.53,2.57,2.46
2.49,2.62,2.67,2.48
2.62,2.65,2.69,2.53
2.64,2.95,3.09,2.64
2.98,3.13,3.19,2.90
3.07,3.14,3.15,3.04
3.10,3.46,3.48,3.10
3.49,3.70,3.74,3.48
3.67,3.55,3.75,3.45
3.62,3.56,3.65,3.53
3.71,3.35,3.71,3.33
3.39,3.34,3.50,3.19
3.37,3.40,3.44,3.25
3.31,3.18,3.31,3.08
3.00,2.95,3.15,2.87
2.94,2.75,3.00,2.64
2.82,2.91,2.96,2.71
2.88,2.91,3.00,2.82
2.91,2.81,2.91,2.71
2.83,2.90,2.93,2.73
2.84,2.68,2.90,2.61
2.69,2.57,2.69,2.54
2.58,2.51,2.65,2.43
2.51,2.73,2.73,2.51
2.72,2.72,2.72,2.65
2.75,2.67,2.75,2.62
2.63,2.75,2.78,2.61
2.75,2.86,3.20,2.71
2.91,2.85,2.91,2.84
2.89,2.82,2.89,2.75
2.81,2.86,2.91,2.80
2.93,2.87,2.95,2.81
2.86,2.88,2.90,2.81
2.92,3.10,3.10,2.91
3.17,2.84,3.17,2.76
2.91,2.90,3.01,2.80
2.95,3.00,3.00,2.88
3.00,3.20,3.31,2.95
3.24,3.25,3.28,3.12
3.26,3.28,3.34,3.21
3.23,3.23,3.24,3.13
3.27,3.23,3.30,3.13
3.26,3.48,3.49,3.21
3.44,3.41,3.50,3.37
3.47,3.41,3.50,3.40
3.35,3.41,3.43,3.30
3.47,3.27,3.47,3.26
3.25,3.20,3.30,3.18
3.48,3.14,3.48,3.11
3.12,3.10,3.17,3.08
3.17,2.93,3.29,2.92
2.99,3.02,3.10,2.92
3.05,3.04,3.08,2.99
3.08,3.10,3.15,3.03
3.08,3.05,3.10,3.02
3.00,3.00,3.05,2.79
2.99,3.15,3.17,2.99
3.15,3.08,3.15,3.01
3.13,3.09,3.13,3.04
3.14,3.12,3.15,3.05
3.11,3.07,3.15,3.03
3.11,3.15,3.15,2.99
3.16,2.97,3.16,2.93
3.05,3.03,3.05,2.98
3.05,2.97,3.05,2.80
3.01,3.00,3.01,2.95
3.02,2.86,3.02,2.81
2.89,2.83,2.90,2.78
2.85,2.81,2.85,2.78
2.80,2.60,2.85,2.56
2.72,2.59,2.72,2.55
2.61,2.38,2.62,2.38
2.37,2.43,2.44,2.37
2.41,2.63,2.69,2.37
2.66,2.67,2.75,2.62
2.75,2.72,2.80,2.62
2.67,2.64,2.72,2.60
2.68,2.71,2.78,2.67
2.67,2.59,2.67,2.47
2.60,2.57,2.65,2.51
2.50,2.46,2.60,2.33
2.70,2.39,2.70,2.38
2.39,2.55,2.55,2.34
2.61,2.62,2.63,2.51
2.65,2.48,2.65,2.40
2.48,2.48,2.55,2.43
2.50,2.54,2.56,2.47
2.58,2.53,2.58,2.47
2.50,2.55,2.58,2.48
2.56,2.71,2.71,2.47
2.74,2.90,2.90,2.66
2.91,3.05,3.10,2.85
3.03,3.19,3.24,3.03
3.20,3.30,3.39,3.16
3.35,3.28,3.35,3.17
3.31,3.28,3.33,3.24
3.32,3.38,3.39,3.24
3.39,3.48,3.48,3.31
3.47,3.45,3.48,3.37
3.41,3.38,3.45,3.34
3.42,3.43,3.44,3.36
3.44,3.62,3.70,3.38
3.63,3.64,3.69,3.62
3.65,3.71,3.74,3.65
3.79,3.75,3.85,3.71
3.79,3.84,3.89,3.72
3.86,3.90,3.93,3.85
3.91,4.06,4.06,3.88
4.07,4.36,4.42,4.00
4.39,4.85,4.94,4.39
4.95,5.02,5.12,4.72
5.10,4.99,5.10,4.84
4.88,4.54,4.92,4.43
4.54,4.58,4.69,4.51
4.60,4.38,4.62,4.37
4.44,4.62,4.62,4.41
4.65,4.67,4.69,4.54
4.75,4.55,4.75,4.50
4.56,4.64,4.67,4.56
4.63,4.64,4.75,4.58
4.67,4.68,4.75,4.57
4.67,4.49,4.67,4.44
4.53,4.53,4.59,4.46
4.57,4.46,4.59,4.45
4.45,4.27,4.45,4.16
4.27,3.79,4.27,3.79
3.83,3.46,3.83,3.38
3.46,3.53,3.62,3.43
3.53,3.73,3.76,3.53
3.75,4.12,4.27,3.69
4.12,4.39,4.45,4.11
4.35,4.11,4.40,4.08
4.16,3.95,4.19,3.85
3.95,3.83,3.97,3.68
3.85,4.00,4.01,3.81
4.48,3.88,4.48,3.80
3.93,4.06,4.09,3.76
4.07,3.93,4.14,3.93
3.92,3.81,3.95,3.76
3.81,3.56,3.90,3.53
3.60,3.42,3.63,3.37
3.49,3.08,3.49,2.90
3.12,3.02,3.14,3.00
3.02,3.05,3.07,2.97
3.00,3.02,3.05,2.88
3.00,3.19,3.24,2.96
3.15,3.20,3.32,3.10
3.20,3.15,3.28,3.12
3.16,3.12,3.24,3.01
3.13,3.02,3.17,2.96
3.03,2.96,3.09,2.91
3.03,3.04,3.04,2.95
3.01,3.28,3.32,3.01
3.29,3.56,3.65,3.27
3.62,3.51,3.65,3.29
3.50,3.32,3.50,3.31
3.35,3.28,3.40,3.25
3.28,3.36,3.40,3.28
3.30,3.01,3.34,2.97
3.01,2.98,3.06,2.98
2.97,3.03,3.06,2.96
3.04,2.98,3.05,2.90
2.96,3.19,3.20,2.96
3.21,3.12,3.21,3.01
3.08,3.07,3.20,3.01
3.11,3.28,3.28,3.05
3.20,3.07,3.20,2.99
3.10,3.11,3.15,3.03
3.09,3.19,3.24,3.09
3.12,3.06,3.16,3.04
3.05,3.05,3.15,3.01
3.02,3.03,3.11,3.01
3.03,3.10,3.20,3.03
3.08,3.12,3.26,2.98
3.20,3.11,3.20,3.05
3.09,3.33,3.50,3.09
3.35,3.04,3.36,3.02
3.09,3.01,3.25,2.87
3.02,2.80,3.02,2.76
2.83,2.62,2.89,2.50
2.59,2.53,2.70,2.50
2.51,2.47,2.63,2.42
2.49,2.65,2.78,2.49
2.66,2.48,2.75,2.48
2.52,2.43,2.54,2.40
2.41,2.35,2.53,2.26
2.76,2.74,2.99,2.64
2.95,2.75,2.98,2.52
2.81,2.68,2.84,2.68
2.72,3.25,3.37,2.72
3.22,3.19,3.25,3.00
3.21,3.30,3.38,3.01
3.24,3.74,3.94,3.20
3.75,4.14,4.20,3.70
4.06,4.13,4.34,4.01
4.06,3.99,4.15,3.91
3.91,3.78,4.06,3.67
3.69,3.88,3.94,3.67
3.94,4.14,4.20,3.94
4.20,4.05,4.25,3.95
4.02,4.01,4.06,3.86
3.95,3.82,3.99,3.61
3.74,4.09,4.09,3.40
3.99,3.80,4.13,3.74
3.86,3.96,4.13,3.79
4.00,4.06,4.09,3.96
4.00,4.06,4.08,3.80
4.07,4.03,4.07,3.92
3.96,3.90,4.02,3.85
3.90,3.95,3.98,3.90
3.92,4.06,4.19,3.92
4.05,4.03,4.10,4.00
4.05,3.96,4.08,3.96
4.02,3.70,4.05,3.65
3.73,3.68,3.73,3.50
3.61,3.71,3.90,3.61
3.75,3.89,3.92,3.71
4.03,4.01,4.09,3.95
3.99,4.00,4.06,3.93
4.04,4.04,4.08,3.95
4.04,4.02,4.07,3.98
3.99,4.03,4.08,3.99
4.03,3.92,4.08,3.86
3.97,4.05,4.18,3.97
4.00,4.04,4.09,3.98
4.06,4.10,4.16,3.86
4.12,4.07,4.20,3.97
4.11,4.00,4.12,3.99
4.08,4.02,4.09,4.00
4.06,4.22,4.30,4.05
4.12,4.24,4.35,4.09
4.25,4.16,4.30,4.10
4.19,4.05,4.19,3.93
4.05,3.95,4.05,3.91
3.98,3.77,3.98,3.70
3.77,3.81,3.90,3.74
3.81,3.88,3.94,3.79
3.81,3.84,3.88,3.71
3.82,3.69,3.82,3.63
3.68,3.83,3.88,3.66
3.86,4.06,4.12,3.74
4.00,4.00,4.00,3.78
3.96,4.00,4.11,3.91
4.06,3.96,4.11,3.80
3.98,3.92,4.04,3.84
3.95,3.80,4.00,3.75
3.76,3.66,3.78,3.52
3.62,3.87,3.87,3.57
3.89,3.79,4.00,3.77
3.81,3.63,3.90,3.57
3.61,3.93,3.99,3.59
3.93,3.66,3.93,3.66
3.70,3.80,3.83,3.70
3.75,3.77,3.85,3.65
3.80,4.00,4.02,3.77
3.99,4.07,4.15,3.91
4.06,4.01,4.15,4.01
4.04,4.15,4.19,3.98
4.17,4.18,4.25,4.12
4.23,3.92,4.25,3.68
3.95,3.86,4.07,3.83
3.88,3.83,4.09,3.77
3.84,3.82,3.89,3.75
3.85,3.98,4.06,3.80
4.01,4.02,4.04,3.95
4.05,4.26,4.26,4.00
4.18,4.02,4.30,4.02
4.00,4.02,4.10,3.91
4.06,3.85,4.06,3.75
3.90,3.89,4.05,3.83
3.92,4.16,4.20,3.84
4.21,4.32,4.35,3.95
4.26,4.15,4.60,3.82
4.11,4.05,4.19,3.96
4.02,4.05,4.30,4.00
4.20,3.88,4.20,3.85
3.90,3.81,4.10,3.78
3.88,3.69,3.93,3.66
3.68,3.73,3.85,3.65
3.79,3.71,3.85,3.68
3.75,3.64,3.80,3.62
3.78,3.58,3.78,3.55
3.60,3.28,3.60,3.26
3.28,3.22,3.37,3.07
3.22,3.16,3.27,3.10
3.16,2.85,3.19,2.82
2.91,3.01,3.05,2.83
3.06,3.07,3.07,2.92
3.07,3.02,3.22,2.96
3.00,3.00,3.10,2.92
2.97,2.93,3.04,2.90
2.95,2.78,3.00,2.66
2.77,2.60,2.82,2.50
2.66,2.67,2.83,2.61
2.66,2.67,2.77,2.65
2.68,2.71,2.87,2.55
2.72,2.71,2.85,2.68
2.68,2.69,2.80,2.55
2.68,2.70,2.72,2.61
2.72,2.84,2.89,2.72
2.80,2.81,2.88,2.76
2.78,2.68,2.85,2.63
2.65,2.58,2.76,2.58
2.60,2.66,2.74,2.56
2.72,2.73,2.74,2.65
2.76,2.84,2.89,2.70
2.84,2.70,2.88,2.55
2.68,2.70,2.77,2.66
2.73,2.69,2.78,2.65
2.70,2.65,2.71,2.61
2.61,2.73,2.74,2.61
2.75,2.70,2.75,2.65
2.81,2.70,2.81,2.67
2.67,2.71,2.80,2.61
2.70,2.69,2.78,2.66
2.70,2.60,2.79,2.60
2.71,2.65,2.71,2.62
2.68,2.60,2.69,2.58
2.60,2.30,2.60,2.27
2.29,2.22,2.36,2.11
2.23,2.30,2.33,2.23
2.29,2.37,2.42,2.27
2.34,2.36,2.44,2.34
2.39,2.42,2.43,2.35
2.44,2.38,2.49,2.37
2.41,2.33,2.42,2.33
2.33,2.28,2.42,2.26
2.27,2.27,2.37,2.22
2.26,2.27,2.29,2.25
2.22,2.23,2.29,2.15
2.17,2.21,2.26,2.17
2.20,2.12,2.26,2.11
2.13,2.17,2.24,2.12
2.23,2.51,2.51,2.23
2.50,2.43,2.50,2.40
2.46,2.54,2.55,2.39
2.56,2.65,2.71,2.54
2.68,2.76,2.79,2.60
2.76,2.84,2.86,2.74
2.90,2.87,2.90,2.83
2.84,2.75,2.86,2.72
2.75,2.70,2.79,2.64
2.67,2.66,2.72,2.60
2.64,2.50,2.64,2.43
2.50,2.44,2.55,2.41
2.47,2.50,2.60,2.41
2.50,2.48,2.60,2.46
2.46,2.48,2.55,2.45
2.45,2.46,2.51,2.40
2.48,2.37,2.48,2.31
2.39,2.31,2.40,2.25
2.29,2.33,2.41,2.28
2.33,2.36,2.45,2.30
2.50,2.40,2.50,2.26
2.42,2.38,2.49,2.35
2.36,2.38,2.46,2.36
2.39,2.33,2.40,2.31
2.32,2.28,2.33,2.25
2.26,2.31,2.32,2.25
2.32,2.30,2.33,2.13
2.29,2.25,2.29,2.25
2.25,2.29,2.30,2.25
2.27,2.30,2.30,2.26
2.28,2.33,2.42,2.27
2.35,2.34,2.39,2.29
2.34,2.31,2.36,2.29
2.31,2.30,2.35,2.29
2.30,2.32,2.32,2.28
2.30,2.22,2.30,2.20
2.20,2.31,2.35,2.20
2.30,2.30,2.34,2.25
2.26,2.25,2.28,2.23
2.30,2.25,2.32,2.21
2.22,2.47,2.54,2.22
2.48,2.50,2.54,2.42
2.55,2.46,2.55,2.41
2.47,2.43,2.47,2.32
2.43,2.35,2.48,2.35
2.38,2.34,2.42,2.20
2.35,2.29,2.40,2.25
2.33,2.27,2.45,2.20
2.30,2.26,2.30,2.22
2.29,2.23,2.30,2.22
2.20,2.24,2.30,2.16
2.19,2.15,2.25,2.05
2.14,2.07,2.15,2.05
2.04,2.09,2.14,2.00
2.11,2.10,2.12,2.01
2.06,2.12,2.12,2.01
2.14,2.13,2.17,2.06
2.12,2.15,2.17,2.03
2.17,2.16,2.18,2.13
2.24,2.27,2.39,2.17
2.35,2.35,2.37,2.27
2.33,2.32,2.33,2.25
2.33,2.27,2.34,2.25
2.24,2.27,2.59,2.24
2.26,2.20,2.26,2.20
2.24,2.23,2.25,2.20
2.25,2.35,2.36,2.20
2.37,2.44,2.49,2.29
2.47,2.49,2.56,2.41
2.53,2.48,2.54,2.39
2.52,2.47,2.60,2.41
2.47,2.38,2.47,2.33
2.36,2.41,2.44,2.30
2.44,2.36,2.44,2.30
2.42,2.29,2.43,2.27
2.30,2.40,2.49,2.30
2.43,2.46,2.55,2.32
2.50,2.47,2.55,2.45
2.50,2.50,2.56,2.45
2.52,2.49,2.52,2.40
2.77,2.75,2.80,2.56
2.87,3.05,3.16,2.77
3.09,3.23,3.30,3.05
3.27,3.41,3.64,3.25
3.45,3.12,3.56,3.01
3.14,3.16,3.20,3.14
3.15,3.08,3.17,3.04
3.05,2.74,3.05,2.68
2.75,2.81,2.90,2.67
2.85,2.76,2.86,2.71
2.90,2.93,2.93,2.77
2.96,3.08,3.11,2.92
3.10,3.01,3.20,3.00
3.04,2.79,3.04,2.76
2.83,2.70,2.94,2.66
2.85,2.77,2.90,2.70
2.85,2.58,2.85,2.55
2.60,2.57,2.64,2.51
2.51,2.47,2.54,2.25
2.44,2.50,2.50,2.36
2.51,2.52,2.69,2.51
2.54,2.51,2.57,2.46
2.54,2.60,2.60,2.45
2.60,2.94,2.94,2.60
2.90,2.75,2.90,2.75
2.81,2.79,2.87,2.72
2.87,2.72,2.87,2.72
2.66,2.78,2.82,2.65
2.77,2.78,2.85,2.73
2.81,2.88,2.89,2.75
2.92,2.87,2.95,2.80
2.90,2.95,2.95,2.88
2.95,2.95,2.95,2.88
2.93,2.94,2.95,2.85
2.94,2.91,2.95,2.75
2.92,2.89,3.02,2.77
2.90,2.82,2.90,2.80
2.88,2.72,2.88,2.51
