JKL,iShares Morningstar Small-Cap Value ETFnd,NASDAQ
74.58,75.17,75.23,74.00
75.46,76.17,76.61,75.41
76.03,75.96,76.31,75.38
76.56,75.69,76.56,75.39
75.85,76.51,76.51,75.74
75.53,75.28,76.46,74.81
75.47,76.25,76.66,75.47
76.51,75.91,77.02,75.21
75.93,75.95,76.03,75.74
76.40,76.35,77.14,76.29
75.54,76.15,76.53,75.54
75.60,75.35,75.83,74.89
76.14,75.25,76.43,75.03
75.30,75.39,75.68,75.30
75.64,74.93,76.35,74.71
75.94,76.45,76.46,75.78
76.54,76.69,76.85,76.16
77.98,78.86,78.86,77.78
79.10,79.27,79.61,79.10
79.00,79.09,79.09,78.66
79.20,77.93,79.24,77.61
77.90,78.61,78.69,77.50
78.07,78.53,78.73,77.91
77.78,77.61,78.20,77.27
77.85,77.39,78.05,77.39
76.92,75.46,76.92,75.24
75.94,76.06,76.18,75.63
76.81,77.09,77.52,76.81
76.98,77.35,77.49,76.59
77.06,77.56,77.60,76.68
76.79,76.72,76.82,76.41
77.36,78.25,78.26,77.36
78.00,77.99,78.22,77.74
77.46,77.94,77.94,76.80
77.01,77.23,77.56,76.97
78.44,78.78,78.90,78.44
78.92,79.79,79.81,78.90
79.39,80.34,80.54,79.39
80.34,80.56,80.80,80.32
81.44,80.70,81.46,80.69
81.21,80.76,81.21,80.71
81.31,81.17,81.35,80.90
81.42,81.94,82.10,81.30
82.32,81.93,82.32,81.88
81.88,81.61,82.21,81.49
82.13,81.02,82.19,81.02
81.20,81.66,81.95,81.09
81.56,81.80,81.93,81.42
81.99,82.17,82.48,81.80
82.57,83.04,83.07,82.55
83.18,83.66,83.92,83.18
83.16,82.93,83.33,82.74
82.50,82.92,83.02,82.50
83.17,82.91,83.17,82.67
83.15,83.12,83.15,82.94
83.09,83.18,83.40,83.04
82.90,82.67,83.23,82.67
83.26,84.18,84.39,83.26
83.78,83.15,83.78,82.38
83.05,84.00,84.03,83.05
84.20,83.71,84.24,83.57
84.08,83.40,84.08,82.50
83.32,83.75,83.81,82.47
83.98,83.87,84.12,83.66
84.52,84.27,84.68,84.27
84.42,84.30,84.66,84.16
84.30,85.14,85.21,84.29
85.13,85.40,85.46,84.58
84.95,83.78,84.95,83.68
83.50,83.40,84.18,83.00
83.76,83.08,83.76,83.07
83.32,83.81,84.01,83.19
83.41,84.06,84.06,83.33
84.44,84.80,84.94,84.09
84.65,85.22,85.42,84.65
85.13,83.26,85.15,83.16
83.27,83.76,84.19,83.27
84.04,85.21,85.47,84.04
85.12,84.86,85.47,84.86
84.77,85.08,85.14,84.16
84.99,85.10,85.11,84.66
85.51,85.95,86.09,85.51
85.93,86.30,86.38,85.61
86.08,85.94,86.14,85.77
85.54,85.96,86.03,85.52
85.82,86.98,87.01,85.82
87.12,87.31,87.37,87.08
87.21,87.10,87.50,87.08
87.48,88.04,88.22,87.48
87.88,88.71,88.85,87.88
88.55,88.58,88.97,88.45
87.97,86.40,88.13,86.34
86.35,85.06,86.55,84.61
84.83,85.37,85.47,84.45
85.64,86.67,86.67,85.62
87.41,87.09,87.47,86.70
87.53,85.82,87.56,85.40
85.42,85.75,85.97,85.40
86.53,87.43,87.62,86.53
87.49,86.47,87.49,86.15
87.28,85.82,87.28,85.36
85.57,87.42,87.51,85.57
86.99,87.15,87.20,86.99
86.01,84.91,86.01,84.91
84.42,85.56,85.56,84.39
84.23,84.77,85.12,84.10
82.70,84.02,84.69,82.33
83.75,82.97,84.14,82.71
84.19,83.33,84.19,83.23
84.26,84.16,84.47,84.10
85.10,85.97,85.97,85.10
85.82,85.55,86.25,85.45
85.11,85.58,85.58,84.64
85.26,85.89,86.07,85.20
85.85,86.70,87.17,85.85
86.79,86.00,86.79,86.00
86.09,86.73,86.80,86.09
87.05,87.80,87.81,87.05
87.65,87.78,87.86,87.43
88.26,88.28,88.68,88.00
88.50,88.33,88.67,88.16
88.30,88.73,89.25,88.23
89.17,88.75,89.32,88.73
89.01,88.68,89.30,88.40
88.50,87.26,88.61,87.26
87.73,86.63,87.77,86.41
86.45,85.87,86.70,85.76
86.22,85.16,86.22,85.16
85.09,85.81,85.86,84.94
86.03,86.59,86.68,85.72
85.47,85.37,85.55,84.89
85.78,85.59,85.78,85.17
86.96,87.00,87.20,86.69
87.58,87.56,87.58,87.13
87.42,87.58,87.61,87.26
88.13,88.55,88.83,88.13
88.57,88.96,89.02,88.28
88.90,89.32,89.32,88.89
89.25,89.50,89.59,89.07
89.84,88.87,89.84,88.78
88.76,88.14,88.97,87.47
88.05,87.41,88.05,86.65
86.67,87.03,87.90,86.58
87.80,87.33,88.35,87.00
87.16,87.84,87.98,87.11
88.37,89.13,89.13,88.37
88.89,88.18,88.89,87.71
87.56,88.44,88.61,87.35
88.82,87.63,88.87,87.57
86.99,86.89,87.86,86.86
86.40,86.50,86.77,86.08
86.55,87.48,87.51,86.55
87.60,87.77,87.95,87.60
87.69,87.45,87.74,87.14
86.00,85.80,86.16,85.74
86.02,85.75,86.11,85.20
85.19,86.13,86.13,85.13
85.83,86.87,86.87,85.63
87.11,87.30,87.44,87.11
88.23,88.13,88.29,87.76
88.16,85.89,88.16,85.79
86.06,85.63,86.06,85.63
84.59,84.69,85.13,84.49
84.40,83.44,84.71,83.43
84.00,83.91,84.46,83.91
83.46,83.08,83.79,82.97
83.03,83.49,83.78,83.03
82.99,82.17,82.99,81.80
82.38,82.33,82.57,81.66
82.79,83.66,83.96,82.67
82.98,82.31,83.30,82.01
82.22,82.37,83.09,81.89
83.09,82.97,83.27,82.79
82.66,83.19,83.69,82.66
83.99,84.70,84.81,83.99
84.35,84.35,85.13,84.35
82.92,83.61,83.61,82.55
83.93,83.07,83.93,82.88
82.94,83.60,83.66,82.88
83.88,84.40,84.45,83.77
84.86,85.16,85.18,84.37
85.52,85.77,86.06,85.52
85.96,87.24,87.38,85.92
87.43,86.96,87.43,86.57
86.75,87.12,87.29,86.53
87.95,88.43,88.65,87.91
87.45,87.69,87.69,87.06
86.75,85.89,86.87,85.76
85.64,85.83,86.66,85.64
86.24,86.61,87.26,86.20
86.58,85.16,86.65,84.99
85.47,85.23,85.47,84.96
85.22,84.05,85.22,83.81
84.94,85.61,85.61,84.74
85.77,85.81,85.82,85.51
86.38,86.86,86.90,86.38
86.51,86.65,86.73,86.27
86.05,85.86,86.32,85.81
85.68,85.35,85.86,85.27
84.88,83.15,84.88,83.12
83.04,82.82,83.94,82.76
81.63,82.72,83.08,81.02
83.73,82.22,83.86,81.72
82.22,79.67,82.22,79.64
79.92,80.14,80.22,78.10
79.12,76.00,79.12,76.00
76.66,74.40,76.67,72.82
71.82,67.73,73.36,67.73
69.43,72.23,72.23,66.93
69.88,68.82,71.57,68.77
69.22,72.43,73.48,69.11
72.97,72.24,73.64,71.91
73.04,74.68,74.68,73.04
73.78,73.81,74.31,73.37
74.47,73.71,74.81,73.45
71.52,70.15,71.52,69.57
68.91,68.79,70.79,68.79
70.53,68.75,70.53,68.54
68.99,71.12,71.12,68.72
71.11,72.38,72.56,71.02
73.05,70.80,73.05,70.80
70.36,72.08,72.41,70.03
73.84,75.55,75.55,73.78
75.24,75.85,76.23,74.94
76.07,76.11,77.00,75.42
76.46,74.37,76.74,74.21
72.65,71.70,73.03,71.50
69.39,71.51,71.51,69.39
72.99,74.20,74.32,72.49
73.73,72.96,74.40,72.77
72.10,71.23,72.57,70.77
70.50,71.48,71.48,70.18
71.98,72.66,72.98,71.84
73.08,73.78,74.60,72.13
74.04,74.80,74.80,73.80
74.83,74.98,75.48,74.32
73.70,73.61,73.84,72.99
73.77,72.98,74.49,72.88
72.92,71.20,72.97,71.20
69.00,67.99,69.00,67.13
67.80,68.40,68.87,67.63
68.66,69.63,69.63,67.83
71.33,70.81,72.40,70.72
70.83,68.56,71.02,68.56
69.70,70.07,70.33,68.77
68.77,68.06,69.74,67.99
67.39,64.72,68.50,64.72
63.86,67.72,67.72,63.48
67.84,68.90,68.90,67.40
68.63,70.52,70.52,68.63
70.56,69.64,70.94,68.80
70.33,71.62,71.62,70.33
71.22,72.39,72.39,71.22
72.64,73.35,73.59,72.56
72.18,72.82,72.82,71.73
73.51,74.04,74.22,73.13
73.33,71.82,73.33,71.82
72.12,74.18,74.59,71.42
74.12,73.28,74.52,73.25
73.72,73.93,73.93,72.18
74.93,75.60,75.60,74.67
76.06,77.94,77.94,76.06
76.46,75.69,77.02,75.69
76.99,77.08,77.48,75.92
79.60,80.45,81.01,79.12
80.22,80.23,80.60,79.74
79.12,78.31,79.55,78.31
75.65,75.53,77.10,75.29
77.47,76.32,77.50,76.32
77.44,79.42,79.42,77.44
78.24,78.99,79.23,78.24
79.12,79.08,79.23,77.90
79.68,80.19,80.26,78.36
78.14,76.72,78.30,76.59
77.86,77.17,77.86,76.79
78.06,78.93,79.29,78.06
78.68,77.73,78.68,77.39
77.49,78.48,78.72,77.49
77.85,77.39,78.90,77.39
77.21,75.98,77.57,75.86
76.50,76.56,76.69,76.04
75.36,75.05,75.36,74.34
74.71,74.25,75.07,73.93
73.33,72.16,73.56,72.16
71.72,72.05,72.54,71.72
74.32,74.31,74.36,73.76
74.30,74.30,74.79,73.93
77.23,78.15,78.15,76.58
77.89,77.70,78.29,77.56
78.94,78.00,78.94,78.00
78.96,78.65,79.30,78.41
78.92,78.84,79.27,78.60
77.93,79.01,79.12,77.59
78.24,76.98,78.36,76.98
77.37,78.81,78.81,77.37
77.26,77.49,77.49,76.95
78.27,76.27,78.59,76.26
75.66,75.54,76.05,75.54
76.05,76.22,76.62,76.01
76.87,76.92,77.68,76.49
77.35,75.41,77.50,75.40
77.08,78.12,78.12,77.05
78.01,78.99,79.00,77.82
78.70,79.14,79.46,78.65
79.20,79.43,79.54,79.20
79.12,79.59,79.95,79.12
79.33,78.32,79.33,78.27
78.58,79.36,79.40,78.58
79.23,78.90,79.45,78.90
80.51,80.02,80.97,79.91
79.78,79.84,80.21,79.48
79.26,80.28,80.57,78.87
80.23,80.21,80.68,79.69
80.14,80.56,80.59,80.00
81.47,81.48,81.73,81.35
81.02,81.85,81.88,81.02
82.08,82.05,82.17,81.63
81.37,81.23,81.42,80.60
82.21,81.15,82.21,81.15
81.14,82.34,82.34,81.14
82.61,82.64,82.73,82.18
82.59,82.99,82.99,82.40
83.75,83.12,83.75,82.56
82.50,83.44,83.54,82.39
83.42,84.21,84.30,83.08
84.45,83.75,84.52,83.56
83.54,84.43,84.43,83.54
83.61,83.69,83.92,83.41
83.69,83.55,83.74,83.17
84.78,85.18,85.31,84.73
85.32,85.48,85.79,85.32
86.72,87.23,87.35,86.67
86.76,86.75,87.07,86.59
86.63,86.97,87.09,86.45
87.06,87.09,87.42,86.86
87.25,86.88,87.25,86.28
86.01,85.79,86.20,85.76
86.68,86.67,86.88,86.29
86.40,85.87,86.42,85.87
86.86,86.05,86.95,86.05
86.15,87.36,87.49,86.13
87.76,87.48,87.76,87.40
87.61,87.11,87.69,86.68
87.23,86.42,87.26,86.33
86.36,87.30,87.30,85.95
87.27,87.50,87.63,87.22
86.34,87.37,87.38,85.90
87.16,86.79,87.37,86.51
86.90,86.11,87.21,86.11
86.34,86.49,87.03,86.34
86.37,85.68,86.60,85.25
85.40,85.55,85.63,85.11
84.48,83.85,84.71,83.75
84.12,84.55,84.58,84.12
85.27,85.60,85.71,85.25
85.59,86.55,87.09,85.59
86.74,86.47,86.77,86.16
87.48,88.14,88.19,86.97
88.19,87.55,88.37,87.53
87.69,88.70,88.72,87.56
88.78,88.53,88.89,88.53
88.46,89.25,89.60,88.46
88.45,88.58,88.62,88.30
88.59,88.42,88.71,88.34
87.21,87.02,87.47,86.85
87.16,87.76,87.76,86.93
88.30,88.45,88.58,88.15
88.69,88.38,88.94,88.38
88.15,87.40,88.15,87.40
87.41,87.74,87.83,86.67
88.17,87.64,88.17,87.45
87.32,88.37,88.38,87.32
88.16,87.69,88.25,87.69
86.99,86.76,86.99,86.55
86.50,86.17,86.76,86.09
84.79,85.08,85.10,84.78
84.79,83.15,84.90,82.99
84.05,84.22,84.29,83.98
84.40,85.90,85.91,84.40
85.54,84.76,85.54,84.65
84.70,85.07,85.30,84.70
86.16,86.17,86.57,86.09
85.70,85.45,85.77,85.18
85.41,84.90,85.99,84.75
85.55,85.67,86.09,85.55
84.32,84.53,84.55,83.86
84.66,84.93,85.42,84.64
86.67,86.32,86.72,85.94
86.25,86.97,86.97,86.08
86.90,87.47,87.47,86.62
87.05,86.62,87.05,86.52
86.73,86.91,88.01,86.63
86.42,86.83,86.92,86.17
86.94,85.96,86.94,85.82
85.54,84.72,85.54,84.52
84.61,84.94,85.14,84.32
84.44,85.21,85.21,84.31
84.18,84.80,84.90,83.93
85.41,85.06,85.53,84.84
84.51,84.74,85.19,84.43
83.88,83.88,84.45,83.85
83.87,83.40,84.14,83.25
83.74,82.67,84.13,82.67
82.77,80.77,82.77,80.72
80.70,79.77,80.80,79.75
80.94,81.17,81.19,80.68
81.34,81.28,81.93,80.96
80.31,81.55,81.57,80.08
81.66,82.07,82.07,81.13
82.04,81.78,82.20,81.77
82.79,82.93,82.93,82.40
82.37,81.83,82.37,81.53
80.70,81.52,81.52,80.70
79.79,79.52,80.21,79.46
79.49,78.55,79.49,78.21
78.28,79.58,79.58,78.25
80.28,81.41,81.41,80.28
82.61,81.87,82.69,81.82
80.85,82.12,82.12,80.85
82.98,80.66,83.01,80.66
80.72,81.34,81.34,80.30
81.21,80.73,81.80,80.58
80.76,81.52,81.71,80.76
81.63,82.26,82.26,81.63
81.63,82.40,82.53,81.58
82.31,83.41,83.65,82.22
83.28,83.37,83.97,82.88
83.41,81.37,83.41,81.34
81.71,82.12,82.24,81.45
80.83,80.48,80.96,80.17
80.89,80.75,80.97,80.07
80.96,82.16,82.31,80.96
81.45,82.72,82.72,77.32
84.67,84.85,84.91,84.01
85.51,85.46,85.51,84.59
85.63,86.50,86.58,85.63
86.61,86.43,86.74,85.96
85.76,85.64,85.90,85.27
85.00,85.04,85.10,84.78
85.54,83.87,85.77,83.87
84.22,84.04,84.43,83.70
83.32,83.38,83.78,82.51
83.87,84.45,84.45,83.87
84.28,84.08,84.34,83.94
84.78,84.40,84.78,83.46
84.24,84.73,85.17,84.24
85.03,84.44,85.16,84.39
84.34,83.59,84.34,83.58
82.34,82.69,82.94,82.00
82.79,81.04,82.79,80.83
81.72,81.13,81.72,81.13
82.49,82.27,82.70,81.97
82.95,84.11,84.33,82.95
84.31,84.10,84.34,83.72
84.09,83.84,84.59,83.84
84.32,82.79,84.32,82.78
82.23,82.09,82.80,81.64
82.91,83.78,84.22,82.91
83.99,84.27,84.63,83.86
84.92,85.19,85.63,84.89
85.17,85.66,85.82,85.15
85.74,86.01,86.02,85.74
85.52,85.75,85.75,85.32
85.60,85.55,85.61,84.92
86.03,85.44,86.03,85.35
85.31,85.96,85.96,85.31
86.00,86.81,86.96,85.70
86.95,87.36,87.36,86.82
87.06,87.38,87.38,86.99
87.83,87.35,88.45,87.35
86.59,86.83,87.11,86.59
86.70,85.81,86.70,85.66
85.60,85.97,86.26,85.34
86.06,85.99,86.47,85.95
86.17,86.39,86.69,86.00
86.50,86.66,86.84,86.33
86.08,85.90,86.08,85.84
86.67,86.07,86.67,86.07
86.36,86.94,87.06,85.59
86.96,86.94,87.16,86.74
87.92,88.71,88.89,87.75
88.89,89.63,89.73,88.89
89.56,89.48,89.92,89.38
89.47,89.85,90.14,89.47
90.23,90.21,90.28,89.67
90.01,91.29,91.60,89.88
91.74,92.34,92.67,91.71
92.05,91.43,92.06,91.30
91.11,91.03,91.11,90.86
91.06,91.24,91.38,91.06
90.53,90.77,90.91,90.19
91.53,90.69,91.57,90.69
90.39,90.40,90.92,90.26
90.34,88.38,90.34,88.36
88.45,87.95,88.45,87.76
88.37,88.77,88.87,88.08
88.30,88.13,88.49,87.94
88.60,88.43,89.06,88.16
88.58,88.60,88.68,88.28
88.97,88.70,89.01,88.52
88.82,89.51,89.57,88.82
90.10,89.75,90.53,89.70
89.30,89.48,89.71,89.30
89.50,88.55,89.50,88.55
88.55,88.13,88.67,87.97
88.64,88.91,89.22,88.64
88.82,87.92,88.90,87.77
88.09,88.41,88.42,87.50
88.79,89.21,89.21,88.76
89.29,90.01,90.20,89.24
90.29,90.17,90.49,90.09
90.49,88.75,90.49,84.92
88.61,88.57,88.90,88.30
87.89,87.97,88.05,87.33
88.51,87.89,88.62,87.87
88.60,88.13,88.74,87.69
88.30,87.76,88.77,87.46
87.73,88.28,88.30,87.27
88.42,89.60,89.62,88.42
89.94,88.43,89.94,88.43
88.38,88.57,88.73,88.38
88.95,89.52,89.67,88.92
88.60,87.31,88.60,86.96
87.28,86.26,87.56,86.26
86.01,86.32,86.95,85.94
86.69,86.09,86.69,85.96
85.46,85.43,86.24,84.20
85.53,83.77,85.55,83.66
83.57,83.56,84.08,83.25
83.64,84.35,84.37,83.05
85.31,86.01,86.01,85.27
85.93,86.09,86.18,85.52
86.23,86.49,86.49,86.13
86.89,87.45,87.49,86.89
87.41,87.67,87.67,87.21
87.59,87.56,88.10,87.48
87.03,88.10,88.11,86.67
88.74,88.89,89.10,88.49
88.95,88.87,89.06,88.65
89.68,88.68,89.82,88.52
88.85,88.91,89.04,88.36
89.33,89.15,89.38,88.35
89.16,89.38,89.38,88.99
89.75,89.56,89.77,89.32
90.07,90.12,90.12,89.61
91.99,90.68,91.99,90.51
91.35,90.32,91.35,90.32
90.64,89.78,90.64,89.51
89.62,89.58,89.99,89.42
90.17,90.59,90.59,90.09
90.90,91.89,91.94,90.90
91.29,91.17,92.25,91.00
91.33,91.68,91.71,91.02
90.33,90.87,91.04,90.33
91.20,90.47,91.20,90.40
90.84,89.97,90.84,89.93
89.61,89.72,90.05,88.74
89.34,89.03,89.79,89.02
89.14,90.76,90.76,88.90
93.05,93.03,93.06,92.44
93.15,93.41,93.98,93.15
93.70,94.32,94.49,93.57
94.26,93.85,94.26,93.72
93.94,93.42,93.94,93.24
93.54,93.46,93.69,93.43
93.87,93.79,93.91,93.44
93.86,93.81,93.86,93.40
93.78,93.76,93.83,93.70
93.47,94.29,94.43,93.36
94.23,94.24,94.37,93.94
94.77,95.21,95.36,94.77
95.26,95.56,95.58,95.04
95.69,96.62,96.62,95.68
96.97,96.50,96.97,96.46
96.92,96.70,97.29,96.44
97.21,97.38,97.38,96.80
97.85,97.64,97.97,96.94
97.57,97.64,97.64,97.30
97.53,96.92,97.54,96.82
96.81,97.45,97.58,96.69
98.33,98.28,98.59,97.84
97.83,96.91,99.27,96.89
97.55,97.77,97.98,97.36
97.53,98.47,98.49,97.39
98.65,98.46,98.74,97.96
98.69,99.13,99.19,98.69
99.19,98.92,99.19,98.70
99.01,99.48,99.68,99.01
99.89,100.04,100.20,99.76
99.85,100.49,100.61,99.85
101.00,100.40,101.00,100.19
100.72,101.26,101.26,100.55
101.38,99.22,101.43,99.17
99.00,98.53,99.00,97.84
98.96,99.14,99.24,98.78
99.71,97.14,99.84,97.08
97.49,97.83,97.85,96.80
97.64,98.99,99.08,97.61
98.72,98.95,99.50,98.61
98.41,98.64,98.84,97.37
98.59,98.77,98.89,98.14
99.22,99.97,100.25,99.22
100.38,100.20,100.45,100.04
100.49,100.71,100.84,100.38
101.71,101.62,101.71,101.12
101.37,101.80,101.86,101.27
101.70,101.82,102.08,101.52
102.07,102.58,102.58,101.80
103.02,103.51,103.51,102.98
103.32,103.50,103.71,103.17
102.56,103.15,103.56,102.56
103.96,103.07,103.96,102.38
103.51,103.96,104.01,103.51
103.31,103.17,103.99,102.94
103.47,103.22,103.59,103.10
103.25,102.76,103.81,102.44
103.14,103.30,103.39,102.85
102.71,103.42,103.48,102.45
103.45,103.51,103.58,103.17
103.52,102.34,103.56,102.04
103.25,101.54,103.25,101.31
101.37,100.21,101.37,99.75
100.03,100.66,100.66,99.80
99.37,100.20,100.25,98.88
100.52,101.53,101.55,100.24
101.74,101.77,102.09,101.28
101.71,102.81,102.81,101.71
102.96,103.40,103.57,102.96
103.22,102.67,103.22,102.27
102.22,99.09,102.22,98.96
99.72,100.29,100.29,99.36
99.71,98.52,99.74,97.98
98.85,98.12,98.85,97.73
98.36,99.29,99.32,97.86
99.47,99.52,99.85,98.26
100.11,100.64,100.85,99.90
101.02,101.69,101.74,101.02
101.93,102.05,102.54,101.79
101.86,101.51,101.89,101.26
102.20,102.64,102.71,102.03
102.66,103.10,103.10,102.26
102.98,100.96,102.98,100.96
101.48,102.04,102.20,101.21
103.24,103.52,104.00,103.07
103.41,104.32,104.39,103.41
104.54,105.33,105.33,104.25
105.16,105.45,105.65,105.07
105.54,104.87,105.74,104.87
105.25,105.44,105.45,105.00
105.33,104.96,105.37,104.19
105.20,106.10,106.10,105.20
105.81,106.42,106.83,105.81
106.43,105.87,106.74,105.87
106.58,107.07,107.11,106.58
106.96,107.43,107.91,106.96
107.61,107.49,107.79,107.35
107.70,105.76,108.33,105.54
104.72,105.65,105.74,104.36
105.30,105.50,105.62,104.53
106.91,106.49,107.63,105.93
105.81,105.64,106.11,104.66
106.03,106.43,106.71,106.01
106.02,105.63,106.97,105.63
105.84,105.73,106.01,104.47
106.38,104.74,106.38,104.00
104.18,103.22,104.42,103.09
103.13,103.81,103.86,103.00
105.06,105.41,105.48,104.49
105.63,105.66,105.88,105.17
104.67,104.21,105.18,103.71
105.24,103.66,105.24,103.63
103.39,105.55,105.55,103.39
105.45,104.60,105.65,104.47
105.29,105.01,105.44,104.50
105.15,105.95,106.15,105.02
