SVBI,Severn Bancorp Inc - Common Stock,NASDAQ
3.60,3.52,3.60,3.52
3.73,3.81,3.85,3.65
3.80,3.67,3.80,3.55
3.67,3.63,3.78,3.50
3.77,3.65,3.77,3.52
3.75,3.70,3.75,3.51
3.71,3.72,3.72,3.69
3.51,3.72,3.84,3.51
3.84,3.71,3.84,3.54
3.85,3.80,3.85,3.66
3.85,3.52,3.85,3.52
3.52,3.60,3.79,3.50
3.73,3.46,3.73,3.46
3.68,3.68,3.68,3.68
3.67,3.89,3.98,3.67
3.90,3.65,3.90,3.47
3.83,3.47,3.83,3.46
3.76,3.50,3.76,3.45
3.74,3.42,3.74,3.42
3.47,3.62,3.65,3.47
3.63,3.52,3.63,3.40
3.60,3.52,3.60,3.44
3.46,3.50,3.61,3.45
3.61,3.30,3.61,3.22
3.35,3.35,3.35,3.35
3.22,3.04,3.36,3.04
2.81,3.61,3.67,2.80
3.49,3.65,3.71,3.12
3.73,3.22,3.73,3.09
3.45,3.23,3.45,2.96
3.27,3.27,3.27,3.27
3.26,3.07,3.26,3.04
3.05,3.04,3.05,3.01
3.05,3.04,3.05,2.90
2.82,3.02,3.04,2.82
3.04,3.03,3.05,3.02
3.01,3.32,3.33,3.00
3.33,3.33,3.33,3.33
3.18,3.18,3.18,3.00
3.18,3.00,3.20,2.95
3.20,3.18,3.20,3.18
3.20,3.02,3.20,3.00
3.01,3.19,3.19,3.01
3.18,3.05,3.18,2.93
3.17,3.17,3.17,3.00
3.16,2.85,3.19,2.85
3.00,3.10,3.19,3.00
3.05,3.16,3.28,3.05
3.27,3.30,3.35,3.13
3.45,3.43,3.45,3.06
3.24,3.33,3.43,3.11
3.39,3.22,3.39,3.05
3.39,3.39,3.39,3.23
3.42,3.39,3.44,3.22
3.44,3.45,3.45,3.22
3.45,3.40,3.45,3.40
3.45,3.35,3.45,3.31
3.45,3.44,3.45,3.44
3.44,3.25,3.44,3.10
3.44,3.15,3.44,3.10
3.19,3.24,3.40,3.15
3.43,3.39,3.43,3.02
3.38,3.34,3.39,3.34
3.42,3.30,3.42,3.25
3.42,3.33,3.44,3.32
3.43,3.46,3.49,3.30
3.46,3.38,3.46,3.25
3.39,3.49,3.49,3.32
3.49,3.62,3.70,3.48
3.65,4.17,4.73,3.65
4.45,4.41,4.45,4.25
4.22,4.45,4.45,4.20
4.50,5.34,5.36,4.50
5.30,5.50,5.50,4.56
5.50,5.00,5.50,5.00
5.00,4.92,5.20,4.85
5.19,5.20,5.20,5.19
5.20,5.20,5.20,5.20
5.24,4.96,5.24,4.86
5.69,4.91,5.69,4.90
5.00,5.00,5.00,4.99
4.94,4.95,5.00,4.86
5.00,4.98,5.00,4.98
4.88,4.99,4.99,4.88
4.94,4.94,4.94,4.90
4.85,5.00,5.00,4.84
5.00,5.00,5.00,5.00
4.97,4.73,4.97,4.62
4.76,4.70,4.76,4.63
4.86,5.00,5.00,4.86
5.00,5.00,5.00,4.85
5.00,5.00,5.00,5.00
5.00,4.86,5.00,4.79
4.78,4.84,4.84,4.65
4.85,4.85,4.86,4.85
4.97,5.00,5.00,4.62
4.67,4.99,4.99,4.67
4.90,4.94,4.94,4.90
4.74,4.68,4.81,4.68
4.75,4.85,4.94,4.68
4.92,4.85,4.92,4.85
4.85,4.91,4.91,4.85
4.88,4.83,4.88,4.83
4.63,4.14,4.63,4.00
4.20,4.67,4.73,4.20
4.64,4.70,4.75,4.64
4.70,4.88,4.88,4.70
4.90,4.99,5.10,4.80
4.96,4.62,4.96,4.62
4.94,4.53,4.94,4.53
4.85,4.51,4.85,4.51
4.79,4.77,4.79,4.77
4.77,4.77,4.77,4.77
4.67,4.80,4.80,4.64
4.59,4.38,4.71,4.35
4.66,4.37,4.66,4.30
4.59,4.45,4.59,4.45
4.31,4.40,4.60,4.31
4.31,4.20,4.45,4.01
4.25,4.00,4.25,3.99
4.00,3.90,4.00,3.90
4.08,4.35,4.35,4.08
4.44,4.89,4.99,4.44
4.95,4.58,4.99,4.52
4.52,4.60,4.60,4.52
4.60,4.75,4.95,4.54
4.70,4.70,4.70,4.70
4.65,4.75,4.75,4.65
4.66,4.42,4.66,4.28
4.49,4.82,4.88,4.45
4.85,4.66,4.89,4.51
4.83,4.66,4.83,4.66
4.80,4.67,4.80,4.67
4.67,4.66,4.77,4.66
4.66,4.66,4.66,4.66
4.70,4.61,4.70,4.45
4.58,4.25,4.58,4.21
4.26,4.28,4.37,4.06
4.31,4.34,4.34,4.31
4.34,4.34,4.45,4.33
4.45,4.45,4.45,4.45
4.45,4.45,4.45,4.45
4.45,4.45,4.45,4.45
4.45,4.48,4.48,4.21
4.53,4.51,4.53,4.23
4.35,4.36,4.45,4.35
4.35,4.10,4.45,4.08
4.10,4.28,4.29,4.10
4.25,4.27,4.28,4.07
4.28,4.30,4.30,4.08
4.30,4.20,4.30,4.20
4.30,4.15,4.30,4.15
4.28,4.10,4.28,4.02
4.25,4.25,4.25,4.25
4.25,4.25,4.25,4.25
4.25,4.15,4.25,4.15
4.23,4.07,4.23,4.04
4.23,3.91,4.23,3.91
3.92,3.90,4.17,3.90
3.90,3.90,3.90,3.90
4.01,3.78,4.01,3.62
3.92,3.89,3.92,3.76
3.90,3.90,3.90,3.90
3.89,3.76,3.89,3.76
3.88,3.75,3.89,3.45
3.78,3.63,3.78,3.36
3.62,3.57,3.65,3.38
3.64,3.41,3.64,3.30
3.47,3.34,3.47,3.13
3.36,3.43,3.43,3.36
3.48,3.55,3.58,3.17
3.57,3.23,3.57,3.11
3.44,3.35,3.44,3.25
3.47,3.25,3.47,3.25
3.36,3.20,3.36,3.20
3.37,3.16,3.37,3.16
3.16,3.15,3.36,3.14
3.30,3.20,3.30,3.20
3.27,3.07,3.27,3.07
3.24,3.24,3.26,3.13
3.23,3.23,3.23,3.23
3.23,3.22,3.23,3.15
3.52,3.37,3.52,3.32
3.65,3.42,3.65,3.27
3.42,3.57,3.66,3.39
3.61,3.50,3.61,3.35
3.62,3.49,3.62,3.45
3.60,3.50,3.60,3.37
3.60,3.45,3.60,3.45
3.60,3.44,3.60,3.31
3.58,3.19,3.58,3.19
3.24,3.40,3.40,3.18
3.40,3.33,3.40,3.11
3.36,3.26,3.40,3.26
3.13,3.11,3.15,3.11
3.14,3.28,3.30,3.03
3.17,3.30,3.30,3.17
3.29,3.00,3.29,3.00
3.01,3.14,3.21,3.01
3.14,3.26,3.26,3.13
3.05,3.30,3.30,3.04
3.20,3.16,3.29,3.16
3.19,3.02,3.28,3.02
3.07,3.05,3.11,3.01
3.09,3.10,3.10,3.00
3.00,2.89,3.00,2.89
2.90,2.91,2.91,2.51
2.70,2.80,2.84,2.60
2.71,2.60,2.80,2.60
2.63,2.78,2.80,2.63
2.62,2.79,2.79,2.60
2.79,2.79,2.79,2.79
2.75,2.73,2.75,2.60
2.69,2.60,2.85,2.60
2.64,2.54,2.84,2.54
2.82,2.51,2.82,2.25
2.50,2.45,2.50,2.35
2.40,3.06,3.06,2.40
3.15,3.05,3.15,2.99
3.03,3.08,3.08,3.03
2.95,3.02,3.02,2.81
3.02,3.02,3.02,3.02
3.03,3.03,3.05,2.99
3.03,3.03,3.03,3.03
3.03,3.03,3.03,3.03
2.95,3.00,3.00,2.95
3.08,3.08,3.08,3.08
3.01,2.95,3.01,2.90
3.01,2.71,3.01,2.71
2.69,2.49,2.84,2.09
2.65,2.67,2.68,2.65
2.37,2.44,2.63,2.29
2.14,2.92,2.97,2.14
2.78,2.60,2.82,2.58
2.58,2.65,2.65,2.58
2.42,2.50,2.60,2.41
2.74,2.63,2.74,2.63
2.40,2.65,2.65,2.38
2.49,2.51,2.51,2.49
2.51,2.51,2.51,2.51
2.44,2.43,2.56,2.37
2.42,2.57,2.57,2.42
2.40,2.52,2.52,2.40
2.42,2.51,2.51,2.41
2.38,2.36,2.39,2.36
2.25,2.25,2.29,2.25
2.29,2.30,2.30,2.25
2.28,2.41,2.41,2.28
2.60,2.45,2.60,2.41
2.45,2.45,2.45,2.45
2.70,2.45,2.70,2.45
2.35,2.75,2.75,2.35
2.43,2.50,2.57,2.40
2.41,2.53,2.55,2.41
2.51,2.64,2.75,2.41
2.94,2.70,2.94,2.54
2.65,2.65,2.65,2.55
2.55,2.74,2.77,2.55
2.74,2.74,2.74,2.74
2.97,2.82,2.97,2.61
2.71,3.01,3.01,2.63
2.93,2.72,3.00,2.61
2.72,2.69,2.88,2.59
2.68,2.90,3.10,2.67
2.90,2.90,2.90,2.90
2.90,2.90,2.90,2.90
2.58,2.60,2.61,2.57
2.51,2.51,2.51,2.51
2.52,2.80,3.09,2.32
2.65,2.66,2.68,2.65
2.87,2.87,3.00,2.86
3.06,2.84,3.10,2.70
2.96,2.80,2.96,2.80
3.17,3.00,3.17,2.97
3.00,3.00,3.00,3.00
2.80,2.71,2.80,2.71
2.70,2.67,2.70,2.66
2.88,2.69,2.88,2.69
2.69,2.69,2.69,2.69
2.51,2.53,2.56,2.50
2.65,2.65,2.65,2.65
2.70,2.76,2.77,2.69
2.76,2.76,2.76,2.76
2.67,2.51,2.73,2.51
2.59,2.51,2.59,2.51
2.51,2.50,2.51,2.50
2.43,2.45,2.45,2.41
2.42,2.50,2.52,2.41
2.45,2.33,2.50,2.31
2.44,2.40,2.57,2.40
2.45,2.40,2.45,2.37
2.40,2.40,2.40,2.40
2.36,2.40,2.41,2.36
2.40,2.42,2.51,2.40
2.52,2.52,2.52,2.52
2.50,2.41,2.51,2.41
2.40,2.40,2.40,2.40
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.40,2.36,2.55,2.36
2.41,2.38,2.41,2.37
2.45,2.40,2.60,2.37
2.74,2.35,2.74,2.35
2.42,2.38,2.58,2.36
2.40,2.34,2.43,2.27
2.36,2.46,2.46,2.33
2.44,2.41,2.55,2.41
2.55,2.55,2.55,2.55
2.51,2.54,2.60,2.51
2.65,2.51,2.65,2.51
2.41,2.65,2.65,2.41
2.65,2.65,2.65,2.65
2.64,2.41,2.65,2.40
2.50,2.40,2.50,2.40
2.41,2.60,2.65,2.41
2.40,2.56,2.56,2.40
2.67,2.69,2.69,2.67
2.70,3.08,3.90,2.69
3.14,3.14,3.14,3.14
3.22,3.28,3.40,3.15
3.30,3.59,3.59,3.20
3.59,3.54,3.59,3.22
3.20,3.20,3.54,3.20
3.22,3.23,3.47,3.20
3.34,3.26,3.50,3.23
3.47,3.24,3.47,3.23
3.21,3.21,3.21,3.21
3.49,3.21,3.49,3.21
3.35,3.25,3.35,3.20
3.22,3.20,3.22,3.20
3.22,3.22,3.22,3.22
3.21,3.11,3.29,3.11
3.33,3.40,3.40,3.30
3.20,3.15,3.20,3.14
3.15,3.31,3.31,3.15
3.14,3.23,3.26,3.05
3.24,3.24,3.24,3.24
3.20,3.12,3.26,3.02
3.11,3.15,3.19,3.01
3.11,3.28,3.28,3.11
3.18,3.18,3.18,3.18
3.25,3.28,3.28,3.25
3.35,3.41,3.45,3.26
3.45,3.45,3.45,3.45
3.59,3.59,3.59,3.59
3.67,3.53,3.67,3.45
3.50,3.50,3.50,3.50
3.55,3.56,3.56,3.55
3.55,3.69,3.69,3.49
3.64,3.69,3.69,3.55
3.78,3.64,3.78,3.40
3.64,3.64,3.64,3.64
3.67,3.68,3.78,3.67
3.74,3.63,3.80,3.45
3.70,3.67,3.76,3.67
3.36,3.45,3.54,3.36
3.53,3.70,3.70,3.53
3.69,3.56,3.69,3.49
3.68,3.50,3.70,3.50
3.90,3.75,3.90,3.75
3.74,3.89,3.89,3.70
3.89,3.72,3.89,3.72
3.74,3.74,3.74,3.74
3.79,3.87,3.95,3.79
3.87,3.87,3.87,3.87
3.98,3.76,3.98,3.76
3.97,3.95,3.97,3.95
3.79,3.98,3.99,3.77
3.79,3.81,3.81,3.79
3.91,3.91,3.91,3.91
3.91,3.91,3.91,3.91
3.91,3.91,3.91,3.91
3.82,3.77,3.82,3.77
3.77,3.60,3.77,3.51
3.60,3.66,3.66,3.60
3.73,3.73,3.73,3.73
3.75,3.75,3.75,3.75
3.75,3.75,3.75,3.75
3.76,3.50,3.76,3.50
3.51,3.50,3.51,3.50
3.53,3.31,3.53,3.31
3.62,3.59,3.62,3.38
3.36,3.53,3.53,3.36
3.64,3.64,3.64,3.64
3.53,3.75,3.75,3.50
3.70,3.42,3.70,3.42
3.77,3.77,3.77,3.77
3.77,3.77,3.77,3.77
3.72,3.40,3.72,3.32
3.36,3.20,3.50,3.20
3.20,3.25,3.25,3.11
3.17,3.06,3.17,3.05
3.06,3.06,3.06,3.06
3.08,3.06,3.10,3.06
3.06,3.06,3.06,3.06
3.52,3.52,3.52,3.52
3.48,3.48,3.48,3.48
3.08,3.49,3.49,3.08
3.49,3.49,3.49,3.49
3.49,3.21,3.52,3.12
3.48,3.35,3.48,3.35
3.11,3.39,3.49,3.11
3.56,3.55,3.56,3.55
3.51,3.40,3.51,3.15
3.33,3.16,3.33,3.15
3.12,2.89,3.16,2.89
2.89,2.69,2.91,2.69
3.17,2.59,3.17,2.54
2.57,2.19,2.57,2.01
2.25,3.21,3.25,2.25
3.10,3.03,3.10,3.02
3.01,3.01,3.08,3.01
3.02,3.18,3.18,3.02
3.19,3.20,3.20,3.18
3.20,3.20,3.20,3.20
2.92,3.00,3.00,2.38
2.86,2.83,2.86,2.75
2.83,2.83,2.83,2.83
3.36,3.30,3.36,3.25
3.29,3.29,3.29,3.03
3.29,3.29,3.29,3.29
3.28,3.28,3.28,3.28
2.80,3.00,3.00,2.80
3.10,3.10,3.10,3.10
3.10,3.10,3.10,3.10
3.14,2.98,3.14,2.98
2.99,2.95,2.99,2.95
2.99,3.02,3.02,2.99
3.10,3.02,3.11,3.00
3.01,3.10,3.10,3.00
3.00,3.12,3.12,3.00
3.14,3.12,3.14,2.86
3.24,3.25,3.25,3.21
3.27,3.06,3.27,2.80
3.00,3.02,3.06,3.00
3.02,3.02,3.02,3.02
3.25,3.29,3.29,3.18
3.08,3.00,3.08,3.00
3.00,2.30,3.02,2.30
2.92,2.82,3.28,2.61
3.05,2.99,3.05,2.85
3.03,3.10,3.27,2.78
2.85,2.65,2.85,2.62
2.76,2.60,2.76,2.60
2.60,2.56,2.85,2.56
2.57,2.50,2.57,2.50
2.50,2.74,2.75,2.49
2.65,2.65,2.72,2.65
2.62,2.75,2.75,2.62
2.83,2.80,2.97,2.61
2.69,2.69,2.69,2.69
2.69,2.69,2.69,2.69
2.60,2.70,2.80,2.60
2.67,2.67,2.67,2.67
2.67,2.61,2.80,2.61
2.70,2.65,2.70,2.65
2.65,2.65,2.65,2.65
2.66,2.60,2.80,2.60
2.65,2.77,2.77,2.65
2.75,2.80,2.80,2.75
2.85,2.75,2.88,2.69
2.85,2.73,2.94,2.70
2.85,2.90,2.90,2.84
2.93,2.98,2.98,2.80
3.00,2.99,3.00,2.80
2.95,3.10,3.16,2.89
3.07,3.10,3.10,3.07
3.10,3.10,3.10,3.10
3.00,3.00,3.00,3.00
3.18,3.18,3.18,3.18
3.19,3.16,3.20,3.16
3.02,3.02,3.02,3.02
3.15,3.15,3.15,3.15
3.10,3.01,3.10,3.01
3.15,3.15,3.15,2.87
3.15,3.15,3.15,3.15
2.90,3.14,3.14,2.90
2.92,3.15,3.15,2.92
3.15,3.15,3.15,3.15
3.01,2.93,3.15,2.92
2.98,2.98,2.98,2.92
3.00,3.00,3.10,2.98
2.95,3.01,3.01,2.95
3.05,3.10,3.10,2.96
3.00,3.00,3.10,3.00
3.10,3.24,3.24,3.10
2.96,2.97,3.07,2.96
3.03,3.05,3.08,3.02
3.14,3.25,3.25,3.14
3.25,3.25,3.25,3.25
3.15,3.11,3.15,3.08
3.10,3.25,3.25,3.07
3.16,3.20,3.20,3.16
3.06,3.17,3.25,3.01
3.23,3.23,3.23,3.23
3.08,3.08,3.08,3.08
3.08,3.19,3.19,2.99
3.20,3.36,3.36,3.20
3.25,3.37,3.38,3.25
3.25,3.39,3.39,3.25
3.39,3.39,3.39,3.39
3.25,3.25,3.25,3.25
3.27,3.39,3.39,3.27
3.37,3.37,3.37,3.37
3.27,3.25,3.27,3.23
3.25,3.15,3.25,3.10
3.15,3.15,3.15,3.15
3.25,3.26,3.26,3.25
3.35,3.40,3.40,3.03
3.38,3.40,3.40,3.35
3.37,3.50,3.50,3.25
3.50,3.60,3.65,3.50
3.62,3.62,3.62,3.62
3.62,3.60,3.62,3.60
3.60,3.60,3.61,3.41
3.60,3.60,3.60,3.60
3.53,3.40,3.55,3.40
3.31,3.38,3.42,3.25
3.40,3.60,3.60,3.40
3.25,3.49,3.49,3.10
3.40,3.40,3.40,3.40
3.17,3.20,3.34,3.04
3.14,3.14,3.14,3.08
3.14,3.14,3.14,3.14
3.11,3.10,3.11,3.10
3.10,3.10,3.10,3.10
3.10,3.34,3.34,3.10
3.16,3.37,3.37,3.15
3.25,3.27,3.27,3.24
3.20,3.20,3.20,3.19
3.20,3.20,3.20,3.20
3.25,3.30,3.30,3.20
3.29,3.23,3.29,3.20
3.28,3.29,3.29,3.28
3.29,3.29,3.29,3.24
3.29,3.30,3.30,3.29
3.30,3.30,3.30,3.30
3.17,3.10,3.17,3.10
3.10,3.10,3.10,3.10
3.19,3.30,3.30,3.15
3.29,3.13,3.30,3.10
3.10,3.13,3.29,3.10
3.13,3.13,3.13,3.13
3.02,3.06,3.06,3.00
3.07,3.04,3.08,3.04
3.13,3.13,3.14,3.13
2.96,2.96,2.96,2.96
3.15,3.15,3.15,3.15
3.10,3.00,3.10,3.00
3.09,3.05,3.15,3.00
3.00,2.95,3.01,2.95
2.95,2.95,2.95,2.95
2.95,2.90,3.05,2.90
2.94,2.91,2.95,2.91
3.15,3.15,3.15,3.00
2.92,3.14,3.15,2.91
3.22,3.37,3.37,3.22
3.28,3.28,3.28,3.28
3.29,3.28,3.29,3.28
3.28,3.28,3.28,3.28
3.25,3.25,3.35,3.15
3.39,3.25,3.39,3.25
3.25,3.28,3.36,3.25
3.25,3.36,3.36,3.25
3.34,3.34,3.34,3.34
3.25,3.29,3.30,3.11
3.29,3.29,3.29,3.29
3.25,3.25,3.25,3.25
3.25,3.40,3.40,3.25
3.35,3.35,3.35,3.35
3.30,3.39,3.39,3.18
3.40,3.45,3.45,3.40
3.47,3.64,3.65,3.32
3.77,3.83,3.89,3.62
3.85,4.20,4.71,3.85
4.30,4.10,4.33,3.99
3.85,4.40,4.40,3.85
4.30,4.15,4.30,4.05
4.10,4.20,4.20,3.99
4.10,4.24,4.24,4.10
4.10,4.02,4.10,4.02
4.03,4.10,4.10,4.03
4.10,4.22,4.22,4.00
4.24,4.15,4.24,3.56
4.19,4.01,4.19,3.95
4.01,4.01,4.01,4.01
4.00,4.30,4.30,4.00
4.30,4.30,4.40,4.00
4.30,4.29,4.30,4.10
4.29,4.28,4.30,4.25
4.28,4.34,4.34,4.25
4.30,4.73,4.92,4.27
4.74,4.80,4.90,4.50
4.73,4.85,4.89,4.73
4.85,5.14,5.50,4.85
5.06,5.05,5.14,5.05
4.83,5.35,5.35,4.81
5.01,5.35,5.40,5.01
5.35,5.35,5.35,5.20
5.31,5.31,5.31,5.31
5.26,5.40,5.40,5.26
5.31,5.48,5.48,5.25
5.49,5.78,5.78,5.30
5.71,5.59,5.76,5.37
5.62,5.70,5.70,5.36
5.64,5.65,5.65,5.58
5.65,5.39,5.65,5.38
5.36,5.25,5.38,5.00
5.30,5.26,5.30,5.26
5.21,5.69,5.72,5.13
5.69,5.69,5.69,5.69
5.72,5.43,5.72,5.43
5.35,5.35,5.35,5.35
5.36,5.39,5.75,5.30
5.37,5.40,5.40,5.17
5.35,5.30,5.35,5.01
5.01,5.39,5.39,5.01
5.17,5.20,5.38,5.07
5.19,5.17,5.20,5.05
5.00,5.12,5.25,4.77
5.20,5.15,5.20,5.15
5.08,4.90,5.14,4.85
4.87,5.09,5.20,4.87
5.18,5.08,5.18,5.08
5.03,5.01,5.07,4.82
4.80,5.09,5.09,4.72
5.09,4.99,5.09,4.69
4.78,4.81,4.99,4.76
4.94,4.65,4.94,4.03
4.57,4.64,4.64,4.57
4.64,4.64,4.64,4.64
4.56,4.50,4.59,4.41
4.50,4.25,4.50,4.16
4.25,4.39,4.41,4.25
4.36,4.38,4.39,4.20
4.36,4.36,4.36,4.36
4.27,4.26,4.36,4.17
4.25,4.23,4.30,4.23
4.19,4.17,4.19,4.13
4.17,4.47,4.47,4.17
4.47,4.37,4.60,4.37
4.45,4.46,4.46,4.45
4.58,4.53,4.58,4.22
4.48,4.40,4.51,4.37
4.19,4.35,4.45,4.19
4.45,4.45,4.45,4.44
4.50,4.51,4.59,4.50
4.51,4.55,4.60,4.51
4.55,4.60,4.62,4.54
4.59,4.52,4.59,4.52
4.54,4.60,4.60,4.50
4.62,4.62,4.62,4.48
4.66,4.70,4.75,4.66
4.90,4.87,4.90,4.87
4.52,4.79,4.80,4.52
4.60,4.78,4.90,4.60
4.55,4.71,4.75,4.55
4.98,4.74,4.98,4.74
4.71,4.80,4.86,4.70
4.89,4.94,4.97,4.89
4.88,4.90,4.90,4.74
4.90,4.90,4.90,4.90
4.79,4.80,4.85,4.78
4.80,4.80,4.81,4.80
4.94,4.62,4.94,4.62
4.92,4.61,4.92,4.61
4.62,4.66,4.96,4.59
4.80,4.66,4.80,4.66
4.75,4.60,4.94,4.51
4.59,4.89,4.94,4.58
4.81,4.60,4.97,4.57
4.85,4.64,4.87,4.52
4.55,4.63,4.90,4.55
