MTX,Minerals Technologies Inc. Common Stock,NASDAQ
56.91,57.88,57.98,56.32
57.99,58.41,58.47,57.55
58.26,58.31,58.48,56.99
57.67,58.59,58.66,57.21
58.70,59.43,59.52,58.32
59.22,59.00,59.45,58.80
58.72,57.07,59.54,56.99
57.28,57.23,57.76,56.97
57.81,58.95,59.29,57.65
64.96,57.70,64.96,57.66
58.08,59.53,59.63,57.61
58.54,56.23,58.54,55.17
55.82,56.27,57.13,54.94
55.76,54.10,57.06,51.33
53.53,53.07,54.48,51.71
56.07,56.65,57.48,55.40
55.84,56.26,56.97,55.47
56.25,57.86,58.00,56.25
57.60,57.37,57.98,57.00
56.91,55.09,56.91,54.42
55.53,55.30,56.36,53.90
55.96,54.14,56.84,53.95
54.04,53.99,54.35,52.79
52.74,51.02,53.25,50.98
50.70,51.08,51.99,49.70
51.08,51.28,51.89,50.35
49.97,51.51,51.73,49.70
51.65,51.48,52.89,51.06
52.67,54.07,54.12,52.09
54.08,53.45,55.28,53.13
52.96,51.38,53.16,51.36
51.86,51.89,51.91,50.76
52.40,51.56,52.40,50.74
50.27,48.65,50.94,48.52
48.81,47.83,49.49,47.79
47.99,48.34,48.47,47.32
48.56,48.02,49.49,47.67
48.87,49.46,50.18,48.82
48.75,50.03,50.06,48.71
50.40,50.49,51.67,50.16
50.83,51.94,52.02,50.53
51.66,51.56,52.20,51.01
51.75,51.07,51.95,50.65
51.36,51.33,51.74,50.92
52.10,52.52,53.52,52.10
52.63,50.79,53.32,50.72
50.89,50.90,51.54,50.40
50.31,49.37,51.03,49.31
49.69,49.98,50.27,49.37
50.00,49.79,50.69,49.58
49.03,47.64,49.14,47.32
47.60,47.54,49.61,47.47
47.65,46.91,47.87,46.03
47.24,46.90,47.35,46.17
47.71,45.73,48.06,45.58
45.92,47.59,47.73,45.92
48.21,48.71,48.84,47.82
48.60,49.33,49.73,48.23
49.28,48.73,49.80,48.15
49.46,50.28,50.66,49.30
50.02,50.44,50.78,49.60
50.42,50.11,50.63,49.32
49.87,48.67,50.10,48.55
48.71,48.65,48.85,47.67
47.81,49.65,49.69,47.81
50.01,48.98,50.31,48.70
49.82,50.84,51.05,49.56
50.50,52.29,52.38,50.24
52.48,53.47,53.55,52.16
53.98,53.35,54.23,53.07
53.26,53.02,53.53,52.84
53.24,52.17,54.22,51.85
52.37,52.17,53.55,51.33
53.29,53.93,54.41,53.08
53.62,53.17,54.34,52.80
53.39,54.74,54.78,52.88
54.26,54.29,55.17,53.99
53.45,54.13,54.40,52.73
54.67,54.84,54.96,54.12
53.97,54.00,54.70,53.03
52.89,51.32,52.89,51.06
50.27,51.36,52.05,50.03
51.03,50.56,51.15,50.37
50.24,50.55,51.25,49.90
51.21,51.43,52.11,50.86
51.21,51.68,52.09,50.84
51.39,50.08,51.39,49.85
49.80,50.06,50.10,49.51
50.42,49.16,50.84,49.12
48.32,48.91,49.51,48.27
48.53,50.61,50.75,48.06
50.77,50.74,51.82,50.61
51.28,52.82,52.88,50.79
52.43,52.60,53.36,52.24
52.65,53.60,54.03,52.32
54.86,56.52,56.54,54.32
56.46,55.77,56.78,54.88
56.76,56.39,56.99,55.75
56.09,55.19,56.09,55.02
55.25,55.82,56.53,55.17
56.56,55.79,56.64,55.30
55.77,55.85,56.72,55.43
56.69,56.91,57.18,56.02
56.95,56.83,57.39,56.31
56.74,56.56,56.98,55.86
56.32,56.41,56.87,55.89
56.75,57.14,57.54,56.09
57.30,58.03,58.13,56.72
58.08,57.61,58.48,57.47
57.28,57.40,58.11,56.81
56.81,56.03,57.73,55.94
56.92,58.39,58.39,56.72
58.23,57.85,58.45,57.68
58.19,59.68,59.73,56.82
59.25,58.73,59.64,58.01
59.34,58.92,59.97,58.42
59.50,58.65,59.50,58.13
58.38,57.27,58.40,56.96
58.13,59.82,59.98,57.66
59.56,59.17,59.89,58.93
59.66,59.24,59.66,58.58
59.24,59.83,60.00,58.81
59.71,59.30,59.91,59.05
59.22,59.14,59.35,58.44
59.43,59.81,60.15,59.17
59.87,59.56,59.99,58.85
59.98,58.79,60.35,58.69
58.89,59.36,59.54,58.89
58.32,58.14,59.56,57.86
58.50,59.47,59.81,58.40
59.91,59.64,60.52,58.50
59.81,59.27,59.81,58.94
59.87,60.72,61.26,59.87
60.24,59.83,60.46,59.69
59.33,58.98,59.96,58.05
59.56,58.47,59.93,57.79
55.00,58.67,60.40,54.94
59.06,56.43,59.16,55.98
57.03,57.25,57.91,56.91
57.23,57.54,57.56,56.57
58.64,59.62,59.93,58.35
59.61,59.91,59.98,59.43
59.82,60.12,60.36,59.56
60.20,59.14,60.27,58.79
59.31,60.71,60.76,58.77
60.07,60.68,61.13,59.79
60.02,59.24,60.63,58.73
59.50,59.42,59.98,59.22
58.79,59.09,59.46,58.67
59.25,59.05,59.58,58.83
59.90,60.43,60.87,59.90
60.18,60.54,60.83,59.94
60.06,61.18,61.38,59.67
60.30,60.39,60.74,60.05
61.09,61.92,61.95,61.07
61.29,61.67,61.97,61.14
61.01,61.62,61.78,60.34
60.80,60.84,61.48,60.47
62.00,63.04,63.21,61.87
63.14,64.14,64.14,63.06
63.60,63.89,64.12,63.19
63.72,65.39,65.51,63.62
66.17,66.56,67.39,65.89
66.60,65.90,66.86,65.76
66.21,63.68,66.33,63.59
63.92,64.03,64.49,63.23
64.22,63.67,64.32,63.58
64.03,64.63,64.92,63.88
64.54,64.63,65.62,64.46
64.73,65.39,65.68,64.56
65.29,65.14,65.53,64.41
65.58,65.85,66.38,65.16
66.16,66.31,66.68,65.79
66.50,66.81,67.02,66.36
66.81,66.09,66.96,66.01
65.96,66.14,66.33,65.51
66.21,66.30,66.51,65.88
66.42,66.63,66.95,66.17
66.61,66.56,66.99,66.53
66.52,65.41,66.93,65.35
66.18,66.27,66.97,66.06
66.48,65.33,66.61,64.29
65.13,65.65,65.78,64.87
65.61,65.74,66.12,65.52
65.97,64.99,66.30,64.20
64.57,65.69,66.13,63.63
66.10,66.28,66.35,65.64
66.20,66.36,66.46,65.83
66.25,66.43,66.64,66.10
66.43,66.46,66.80,66.11
66.17,67.09,67.09,65.97
66.97,65.88,66.97,65.35
65.42,64.64,65.73,64.51
65.10,63.64,65.35,63.41
63.78,64.14,64.37,63.78
63.66,64.20,64.33,63.57
64.53,64.63,64.82,64.09
64.41,64.33,64.88,64.02
64.12,62.46,64.40,62.45
62.50,63.02,63.29,62.48
63.52,64.25,64.88,62.67
63.97,63.87,64.94,63.62
63.70,63.67,64.45,62.43
63.84,65.25,65.74,63.84
65.25,65.70,66.25,65.25
65.56,65.93,65.99,65.30
65.64,65.20,65.81,64.86
64.84,65.23,65.67,64.84
64.84,65.70,65.74,64.56
65.86,65.78,65.92,65.50
65.62,65.56,66.00,65.41
65.98,65.37,65.98,65.07
65.33,65.75,65.77,65.08
66.20,65.93,66.20,65.68
65.13,63.83,65.95,63.73
63.83,63.26,63.83,62.27
63.23,63.44,63.69,62.73
63.64,64.32,64.48,63.64
64.95,64.88,65.16,64.32
65.18,63.60,65.50,63.09
63.55,63.81,64.39,63.37
64.68,65.53,66.86,64.68
65.69,64.81,65.77,64.21
65.18,64.35,65.57,63.81
64.33,65.55,66.31,63.75
65.39,65.25,65.53,64.64
64.15,63.98,64.49,63.62
63.28,63.66,64.52,63.17
63.02,63.59,64.27,63.02
61.80,63.15,63.77,61.45
62.82,62.60,63.31,62.15
63.61,63.78,64.29,63.16
64.30,64.47,65.22,63.47
65.56,66.57,66.71,65.39
66.64,66.46,66.94,66.28
66.49,66.63,67.00,65.69
67.16,67.02,67.21,66.36
67.07,67.77,68.93,66.61
67.91,67.39,68.44,67.31
67.35,67.59,67.86,67.10
68.13,68.18,68.27,67.39
67.75,68.52,68.80,67.64
68.88,68.73,69.25,68.56
69.08,69.34,69.47,68.83
69.14,69.90,70.57,68.93
70.38,70.09,70.68,69.24
70.05,69.39,70.54,69.35
69.93,68.10,70.10,67.83
68.35,67.16,68.43,66.91
66.65,65.72,66.84,65.65
66.18,65.95,66.42,65.00
65.31,65.94,66.08,65.26
65.53,66.14,66.32,65.53
65.23,65.15,65.30,64.31
65.29,65.35,65.52,65.00
66.46,65.51,66.67,65.25
66.04,65.87,66.20,65.69
65.72,65.94,66.31,65.29
66.33,67.09,67.36,66.20
67.07,67.48,67.57,66.54
67.51,67.06,67.80,66.56
67.95,68.00,68.38,66.67
68.40,67.09,68.63,66.82
66.89,66.69,67.52,66.14
66.66,65.20,66.79,65.03
64.71,65.31,66.36,64.71
66.22,66.33,67.42,66.01
66.26,67.06,67.30,66.15
67.58,68.03,68.54,67.43
67.83,66.34,67.85,65.74
66.17,66.90,67.37,65.77
67.14,66.00,67.15,65.66
65.44,65.45,66.53,65.44
64.93,64.87,65.37,64.38
65.23,65.22,65.50,64.66
65.70,65.69,66.14,65.24
65.25,65.16,66.05,64.76
64.24,64.16,64.67,63.45
64.22,63.39,64.42,62.90
63.31,64.90,65.24,63.31
64.31,65.42,65.76,64.31
65.84,66.79,67.01,65.84
67.67,68.00,68.00,66.90
68.01,65.92,68.15,65.79
66.31,66.16,66.75,65.91
65.14,64.45,65.47,64.43
64.49,64.69,65.11,64.22
65.25,64.73,65.42,64.47
64.36,64.26,65.01,64.19
64.73,64.18,65.03,64.11
63.98,63.71,64.37,63.51
63.76,63.42,64.21,63.19
64.14,64.03,64.36,63.89
63.56,63.01,63.86,62.62
63.00,63.08,64.13,62.32
63.56,63.02,64.19,63.02
62.98,64.01,64.62,62.98
64.40,65.19,65.37,64.04
64.72,65.20,65.66,64.72
64.33,64.63,64.81,63.68
64.85,64.25,65.33,63.68
64.26,64.45,65.21,64.01
64.68,64.81,65.09,64.01
65.06,65.31,65.54,64.41
65.33,66.29,66.67,64.90
66.49,67.66,67.78,66.23
67.70,67.62,67.97,67.02
67.65,68.19,68.50,66.93
69.00,68.63,69.54,68.50
67.84,68.15,68.30,67.43
67.20,67.08,67.62,66.96
66.89,66.98,67.57,66.53
67.40,66.91,68.22,66.91
67.19,66.06,67.57,65.83
66.11,66.95,67.02,66.07
66.81,66.30,67.14,66.02
66.68,66.58,67.06,66.04
66.59,66.74,67.04,66.24
67.13,67.67,67.89,66.71
67.81,67.20,67.81,66.93
66.50,66.45,67.39,66.38
66.26,65.25,66.40,65.21
65.04,64.14,65.20,63.85
64.33,65.10,65.43,64.30
64.42,64.78,66.21,64.42
65.63,64.47,66.02,64.20
64.20,63.22,65.42,63.20
63.18,61.30,63.36,60.57
60.59,57.79,60.89,57.73
58.58,56.36,58.77,55.38
54.80,51.68,56.18,51.68
54.54,55.82,55.83,51.28
54.14,52.45,55.05,52.12
52.87,54.82,55.72,52.00
55.29,54.99,55.89,53.94
55.53,56.27,56.31,55.33
55.58,55.79,56.19,54.95
56.15,56.11,57.12,55.61
54.52,52.26,54.52,51.65
51.37,51.56,52.96,51.37
52.58,51.70,52.89,51.36
51.70,54.86,54.90,51.45
54.67,56.06,56.17,54.67
56.76,55.85,56.90,55.59
55.23,56.99,57.56,54.25
58.00,59.44,59.56,57.85
58.77,59.36,59.66,58.32
59.86,58.01,59.86,57.22
57.96,56.27,58.73,56.20
54.96,53.71,55.18,53.55
51.97,52.76,52.95,51.41
53.87,55.00,56.10,53.58
54.33,52.76,54.79,52.49
52.11,50.97,52.18,50.61
50.21,51.15,51.52,49.94
51.46,51.38,51.58,50.17
51.58,52.47,53.18,50.66
52.74,53.51,53.72,52.59
53.07,53.70,54.33,53.04
52.42,52.97,53.44,51.99
53.16,53.01,53.95,52.64
52.76,51.76,53.28,51.75
49.96,50.11,50.62,49.49
49.99,50.53,51.36,49.59
51.18,51.56,51.74,50.05
53.02,52.90,54.13,52.46
52.96,49.66,52.99,49.66
50.72,50.93,51.01,49.62
49.95,49.27,50.70,49.04
48.83,46.75,49.92,46.73
46.17,49.86,50.06,46.17
49.97,50.19,50.82,49.04
50.16,50.63,50.95,49.62
50.83,48.91,50.84,48.44
49.85,51.29,51.52,49.85
50.69,51.04,51.31,50.50
51.55,51.88,52.34,51.47
51.41,50.88,51.62,50.30
51.95,51.70,52.04,51.24
51.19,49.35,51.67,49.18
49.49,51.61,52.01,48.54
51.75,51.12,52.37,50.87
51.10,50.92,51.28,49.66
51.86,52.08,52.12,51.10
52.36,53.83,54.03,52.27
53.57,51.63,53.57,51.50
53.72,53.50,53.90,51.51
55.89,57.04,57.86,54.93
56.44,56.99,57.66,56.29
55.86,54.84,56.23,54.78
54.11,53.45,54.65,52.69
54.48,55.32,55.46,54.28
56.19,57.11,57.23,55.10
56.42,56.48,56.72,55.46
56.50,56.98,57.54,55.64
57.10,57.38,57.61,55.61
55.83,55.12,56.38,54.97
56.18,56.27,56.70,55.22
56.97,57.55,57.99,56.67
57.12,56.21,57.31,55.90
55.97,57.40,57.87,55.74
56.69,56.41,57.88,56.31
56.16,55.78,57.09,55.42
55.77,56.12,56.64,55.38
54.97,54.75,55.52,54.26
54.70,53.80,55.23,53.67
53.30,52.42,53.70,52.38
52.01,51.57,52.97,51.54
52.51,54.34,54.59,52.51
54.43,54.08,54.64,53.66
56.41,58.00,58.02,56.25
57.58,56.30,58.05,56.16
57.18,56.24,57.20,56.05
57.21,56.37,57.21,55.94
56.30,56.77,57.45,55.98
56.28,56.53,56.75,55.18
55.98,54.31,56.20,54.13
54.29,56.44,56.75,54.10
55.39,55.99,56.24,54.58
56.46,55.24,57.16,54.99
54.76,54.71,55.50,54.49
55.37,55.67,56.00,54.88
56.22,56.77,57.26,56.22
57.13,55.09,57.33,55.00
56.36,57.02,57.47,56.36
56.74,57.01,57.19,55.97
57.41,57.47,57.77,57.15
57.51,57.88,57.91,57.21
57.45,57.61,57.91,57.44
57.65,56.51,57.65,56.47
56.84,57.34,57.63,56.84
57.14,56.53,57.66,56.41
58.03,57.57,58.89,57.41
57.25,58.49,58.76,57.25
57.93,60.17,60.26,57.93
59.93,60.19,60.36,59.30
60.21,59.57,60.47,59.35
60.53,60.59,61.04,60.39
60.18,60.70,60.82,60.18
60.70,61.40,61.84,60.16
60.77,60.80,61.11,60.21
61.51,61.56,62.32,61.40
61.77,62.60,62.63,61.59
63.17,63.49,64.66,62.89
63.40,63.50,63.64,63.14
62.41,63.91,64.05,62.41
63.47,64.25,64.39,63.35
63.98,64.29,64.70,63.42
64.76,64.29,64.80,63.92
64.15,64.72,65.08,64.15
64.22,63.89,64.38,63.52
64.46,63.45,64.46,63.38
64.40,65.46,65.92,63.75
65.39,64.88,65.98,64.83
66.00,67.77,69.13,65.02
67.57,67.71,68.00,67.22
67.63,67.67,68.48,67.27
68.09,67.92,68.26,67.52
68.16,67.25,68.16,67.02
66.57,65.94,66.94,65.86
66.78,66.66,67.67,66.34
66.44,66.02,66.49,65.50
66.26,65.56,66.28,65.27
65.90,66.92,67.20,65.52
67.15,66.60,67.22,66.50
66.79,66.41,67.22,66.02
66.42,66.30,66.87,66.16
66.54,66.61,66.95,66.02
66.52,66.20,66.91,66.06
65.90,66.23,66.78,65.35
66.43,65.65,66.50,65.17
65.88,64.57,66.17,64.52
64.45,64.16,65.58,64.05
64.01,63.15,64.74,62.80
62.89,62.94,63.41,62.37
62.22,61.37,62.44,61.14
61.65,62.47,62.50,61.65
62.80,64.04,64.14,62.54
63.92,64.59,65.47,63.67
64.90,64.26,65.05,64.10
64.85,65.33,65.33,64.41
65.42,65.26,65.57,64.80
65.29,65.13,65.47,64.45
65.28,64.86,65.32,64.76
64.77,65.69,66.45,64.42
65.44,65.13,65.87,65.03
65.36,64.91,65.46,64.83
64.38,64.37,64.85,64.02
64.34,65.37,65.74,64.27
66.05,66.66,66.98,65.94
66.81,65.77,66.81,65.77
65.76,65.82,65.88,65.01
65.21,65.54,65.70,64.81
66.21,65.41,66.21,65.37
65.43,66.00,66.20,65.11
65.85,65.88,65.95,65.21
65.16,64.68,65.40,64.60
64.54,64.59,65.36,64.51
63.45,63.93,64.36,63.45
63.95,63.20,64.15,62.95
63.97,63.99,64.30,63.34
64.01,65.50,66.21,63.64
65.54,64.77,65.94,64.75
65.24,65.06,65.93,64.39
65.70,66.96,67.82,65.70
66.71,65.72,66.71,65.27
65.88,65.70,66.52,65.27
66.45,66.44,67.00,66.07
65.10,65.19,65.66,64.78
65.36,65.77,65.84,65.17
66.62,66.99,67.70,66.45
66.67,66.84,67.06,66.39
67.61,67.21,67.90,66.62
67.42,67.10,68.10,66.85
67.35,66.71,68.19,66.70
66.52,66.92,67.08,65.88
66.91,66.06,66.91,65.93
65.88,64.80,65.97,64.80
64.47,65.51,65.78,64.28
65.14,66.27,66.39,65.01
65.37,65.72,66.19,65.12
66.20,65.93,66.41,65.08
65.51,65.51,66.27,65.20
65.01,64.13,65.01,64.13
64.28,64.05,64.96,63.95
64.46,63.68,64.66,63.67
63.67,62.55,63.78,62.52
62.59,61.62,63.24,61.26
61.93,64.04,64.19,61.90
64.02,63.17,64.28,62.74
62.73,64.41,64.48,62.22
64.67,64.49,64.87,63.81
64.42,63.95,64.58,63.74
64.69,65.15,65.42,64.38
64.49,63.60,64.74,63.50
63.74,63.27,63.85,62.52
62.52,61.66,62.66,61.56
62.12,61.95,62.47,61.06
61.76,62.40,62.71,61.52
62.80,63.60,63.68,62.75
64.73,63.60,65.27,63.52
63.57,64.58,64.73,62.79
65.23,63.53,65.23,63.51
63.95,64.49,64.68,63.04
64.40,63.27,64.55,63.02
63.50,63.48,64.00,63.00
63.33,62.80,63.57,62.80
62.70,62.37,62.90,62.11
62.84,64.22,64.72,62.43
64.12,63.83,64.73,63.67
63.87,62.30,64.01,62.21
62.74,63.42,63.78,62.18
62.56,61.89,62.65,61.84
62.14,61.98,62.65,61.37
62.02,62.00,62.08,61.68
61.68,62.42,62.43,61.07
63.76,63.78,64.07,62.97
64.06,64.10,64.20,62.85
64.01,64.89,64.89,63.84
64.50,65.17,65.50,64.50
64.47,64.46,64.60,63.88
64.42,64.27,64.98,64.00
64.77,63.17,64.77,62.69
63.27,63.15,63.52,62.63
62.81,62.36,62.92,61.59
62.54,63.63,63.84,62.54
63.44,63.39,63.78,62.40
63.93,65.04,65.17,63.58
64.54,65.93,65.95,64.54
66.31,65.82,66.49,65.65
65.12,64.31,65.20,64.22
63.39,63.00,63.39,62.70
63.25,62.03,63.34,61.81
62.52,61.50,62.86,61.50
62.56,61.00,62.60,60.88
61.42,63.77,64.05,61.42
64.00,64.72,64.90,63.30
64.41,63.94,64.98,63.84
64.31,62.55,64.65,62.53
62.15,62.06,62.25,61.47
63.18,64.49,65.32,63.18
64.72,64.53,65.03,64.23
64.86,65.39,65.85,64.13
64.98,65.78,66.00,64.81
65.57,65.79,66.36,65.01
65.62,65.90,66.45,64.91
65.69,65.83,66.03,64.44
66.03,66.05,66.14,65.47
66.00,67.39,67.47,66.00
67.25,69.23,69.40,67.02
68.96,68.91,69.64,67.90
68.54,67.91,68.65,67.29
68.39,68.57,69.32,68.18
68.32,67.61,68.74,67.00
67.62,66.91,67.62,66.46
67.00,66.76,67.22,66.40
67.25,66.01,67.25,65.82
66.30,67.18,68.63,66.15
67.20,67.68,67.78,66.02
67.53,67.37,67.59,66.89
67.97,67.81,68.02,67.09
67.97,68.34,68.74,66.71
68.74,69.06,69.41,67.76
69.48,70.63,70.69,69.48
70.96,70.48,70.97,70.22
70.65,70.63,70.90,70.38
70.82,71.65,71.85,70.58
71.63,71.84,71.90,71.03
71.50,73.56,73.76,71.28
73.73,73.99,75.60,72.83
73.56,72.94,73.76,72.63
72.92,72.79,73.40,72.59
73.20,72.59,73.31,72.36
72.27,72.83,73.06,71.77
72.87,72.76,74.00,72.52
72.54,71.49,72.90,71.07
71.88,71.30,72.93,71.27
71.23,71.26,71.57,70.68
71.55,71.36,71.55,70.90
70.86,70.93,71.28,70.32
71.30,71.11,71.39,70.41
71.39,71.00,71.52,70.59
71.01,70.48,71.16,70.19
70.89,71.12,71.12,70.01
71.48,71.50,72.33,71.18
71.23,70.75,71.31,70.73
70.91,70.24,70.91,69.93
70.37,70.35,70.63,69.76
70.83,70.60,71.84,70.21
70.50,70.12,70.76,69.89
70.11,70.94,71.00,69.88
71.48,71.40,72.10,71.21
71.64,71.77,72.14,71.44
71.73,71.50,71.78,71.32
71.02,70.08,71.17,69.90
70.27,70.73,70.74,69.86
70.02,70.63,71.12,69.81
71.02,71.27,71.36,70.64
72.00,72.34,72.46,71.36
72.26,70.89,72.48,70.88
70.67,71.66,71.89,70.52
71.82,73.74,74.67,71.63
74.29,71.42,74.29,71.42
71.30,71.77,71.91,70.80
71.91,72.00,72.35,71.57
71.15,71.31,71.67,70.62
71.08,70.57,71.46,70.57
70.30,70.39,71.65,70.15
70.77,69.50,71.10,69.40
69.07,68.50,69.73,68.42
68.77,70.11,70.99,68.47
69.94,69.24,70.12,68.44
69.13,69.15,69.87,68.87
70.00,71.51,71.51,70.00
71.03,72.20,72.23,70.63
71.90,71.99,72.12,71.29
72.33,73.12,73.16,72.33
72.89,73.28,73.35,72.30
73.24,73.46,73.91,72.60
72.78,73.36,73.54,71.91
73.00,74.59,75.31,73.00
74.57,74.00,74.90,73.67
74.52,74.21,74.67,73.41
74.15,74.44,74.78,73.52
74.59,74.53,75.76,74.17
74.35,75.29,75.56,74.12
75.78,74.72,75.78,73.96
74.92,76.23,76.71,74.08
76.88,76.71,77.11,76.23
38.56,37.93,38.87,37.83
37.93,37.81,38.29,37.74
37.64,37.91,38.43,37.64
38.01,38.40,38.60,38.01
38.47,38.79,38.90,38.36
38.80,38.45,39.14,38.43
38.44,39.09,39.27,38.40
38.89,39.07,39.33,38.71
39.07,39.52,39.58,38.92
39.66,39.47,39.67,39.23
39.48,39.39,39.83,38.86
39.23,39.04,39.65,39.03
39.16,39.92,40.00,38.89
40.84,40.99,41.05,40.21
40.98,40.72,41.24,40.60
40.92,40.89,41.02,40.76
40.52,40.78,40.95,40.33
40.60,40.25,40.75,39.88
40.26,40.64,40.87,40.22
40.94,40.92,41.13,40.46
41.02,40.98,41.44,40.67
40.99,40.81,41.08,40.70
40.50,40.95,40.99,40.50
40.77,40.59,40.94,40.59
40.86,41.10,41.46,40.65
41.15,41.30,41.32,40.80
41.36,41.50,41.50,41.08
41.54,41.31,41.54,41.21
41.39,41.50,41.82,40.90
41.72,41.79,41.89,41.34
41.79,41.95,41.99,41.61
41.96,42.06,42.06,41.78
42.00,41.52,42.11,41.39
41.55,41.37,41.86,41.22
42.20,43.04,43.28,41.88
42.85,42.34,43.07,42.27
42.49,42.51,42.96,42.38
41.98,41.10,41.98,40.87
41.20,41.65,41.69,41.02
41.65,42.12,42.22,41.63
42.14,42.15,42.22,41.91
42.09,42.36,42.67,41.83
42.37,42.18,42.42,41.94
42.00,41.97,42.16,41.83
42.10,41.75,42.11,41.65
41.83,42.40,42.53,41.83
42.23,40.77,42.24,40.74
40.66,40.24,40.94,40.13
40.51,40.64,40.80,40.30
40.84,39.54,40.97,39.54
39.84,39.88,40.14,39.64
39.90,40.22,40.53,39.90
40.26,40.24,40.76,40.23
39.88,40.31,40.46,39.42
40.18,40.27,40.44,39.76
40.56,40.49,40.87,40.32
40.64,40.75,40.88,40.38
40.69,41.01,41.03,40.63
41.40,41.15,41.40,40.78
41.09,41.34,41.36,41.01
41.08,41.34,41.61,41.08
41.39,41.47,41.73,41.25
41.51,42.18,42.37,41.50
42.04,42.61,42.67,41.98
42.18,42.25,42.48,42.15
41.76,41.99,42.02,41.43
42.17,42.67,42.67,42.16
42.33,42.32,42.60,41.98
42.51,42.04,42.55,41.92
42.05,41.77,42.29,41.58
41.86,41.79,42.05,41.60
41.55,41.30,41.60,41.01
41.50,41.51,41.67,41.25
41.51,40.87,41.51,40.52
41.08,40.54,41.30,40.39
40.66,40.05,40.71,39.95
40.22,40.33,40.43,39.80
39.67,39.94,40.13,39.51
40.17,40.39,40.44,39.70
40.38,39.93,40.55,39.92
40.20,40.77,40.88,39.88
40.79,40.54,41.00,40.52
40.46,40.09,40.52,39.96
39.85,38.57,39.93,38.50
38.95,39.56,39.62,38.83
39.29,38.83,39.29,38.24
38.94,38.43,38.98,38.29
38.52,39.09,39.35,38.44
39.21,38.95,39.26,38.35
39.27,39.49,39.55,39.00
39.58,39.86,40.00,39.58
40.11,39.94,40.44,39.84
39.96,39.35,40.08,39.06
39.52,39.91,40.02,39.34
39.95,40.63,40.63,39.62
40.55,39.33,40.72,39.26
39.61,40.17,40.29,39.32
40.56,41.39,41.75,40.56
41.33,41.21,41.54,40.99
41.20,41.99,41.99,41.20
41.96,42.01,42.12,41.58
41.99,41.64,42.19,41.51
41.81,41.97,42.15,41.70
42.05,41.72,42.10,41.59
41.63,42.25,42.26,41.63
42.04,42.68,42.86,42.04
42.62,42.61,42.94,42.40
42.77,42.81,43.03,42.51
42.60,42.82,43.06,42.53
42.81,42.70,42.99,42.43
42.67,42.38,43.10,42.20
41.89,42.54,42.70,41.87
42.33,42.53,42.72,42.11
43.17,43.09,43.60,42.67
42.75,42.81,42.99,42.36
42.83,42.99,43.15,42.65
42.70,42.60,43.40,42.56
42.81,42.88,43.07,42.34
42.87,42.88,43.31,42.31
42.69,42.20,42.91,42.13
42.27,42.45,42.53,41.79
42.86,42.36,42.86,42.17
42.43,42.83,43.02,42.17
42.27,42.34,42.65,41.91
42.75,42.10,42.76,42.02
42.17,43.04,43.16,42.04
42.88,42.40,42.90,42.20
42.74,42.58,42.86,42.27
42.71,43.12,43.27,42.68
43.21,42.45,43.21,42.39
