ZIXI,Zix Corporation - Common Stock,NASDAQ
2.59,2.47,2.60,2.46
2.47,2.59,2.59,2.47
2.54,2.46,2.54,2.44
2.43,2.42,2.49,2.22
2.42,2.31,2.46,2.28
2.31,2.25,2.44,2.19
2.35,2.46,2.48,2.31
2.43,2.43,2.46,2.34
2.40,2.48,2.49,2.40
2.50,2.50,2.52,2.46
2.48,2.39,2.48,2.37
2.39,2.42,2.43,2.34
2.42,2.36,2.42,2.35
2.34,2.29,2.36,2.27
2.25,2.20,2.30,2.20
2.16,2.22,2.26,2.11
2.23,2.27,2.33,2.23
2.15,2.21,2.24,2.09
2.22,2.15,2.32,2.15
2.23,2.40,2.40,2.22
2.37,2.35,2.42,2.32
2.31,2.33,2.36,2.31
2.32,2.43,2.43,2.32
2.45,2.50,2.52,2.41
2.44,2.41,2.47,2.38
2.41,2.40,2.44,2.37
2.42,2.31,2.45,2.28
2.34,2.24,2.34,2.20
2.31,2.34,2.34,2.26
2.30,2.28,2.37,2.26
2.32,2.31,2.35,2.27
2.38,2.50,2.50,2.28
2.46,2.43,2.50,2.39
2.46,2.36,2.46,2.33
2.38,2.29,2.38,2.27
2.32,2.24,2.35,2.23
2.26,2.17,2.28,2.16
2.18,2.21,2.30,2.16
2.20,2.20,2.23,2.17
2.22,2.35,2.35,2.18
2.32,2.36,2.40,2.28
2.31,2.25,2.34,2.23
2.25,2.26,2.32,2.23
2.25,2.25,2.26,2.17
2.27,2.24,2.30,2.21
2.27,2.13,2.27,2.10
2.15,2.22,2.26,2.14
2.25,2.24,2.26,2.17
2.22,2.26,2.26,2.15
2.15,2.18,2.26,2.15
2.23,2.20,2.28,2.17
2.21,2.26,2.29,2.21
2.28,2.22,2.28,2.20
2.19,2.20,2.23,2.15
2.18,2.19,2.21,2.18
2.18,2.23,2.24,2.18
2.23,2.20,2.25,2.19
2.24,2.31,2.31,2.20
2.33,2.38,2.38,2.29
2.39,2.39,2.39,2.36
2.40,2.34,2.44,2.32
2.33,2.34,2.45,2.27
2.34,2.23,2.37,2.23
2.21,2.28,2.29,2.20
2.33,2.36,2.37,2.31
2.34,2.34,2.37,2.32
2.37,2.43,2.44,2.36
2.37,2.43,2.45,2.37
2.38,2.38,2.42,2.37
2.38,2.32,2.40,2.30
2.29,2.27,2.33,2.23
2.21,2.17,2.25,2.15
2.19,2.23,2.24,2.15
2.21,2.26,2.27,2.13
2.24,2.27,2.27,2.22
2.28,2.33,2.37,2.27
2.31,2.36,2.37,2.29
2.33,2.36,2.36,2.28
2.32,2.35,2.35,2.25
2.35,2.36,2.37,2.29
2.27,2.33,2.34,2.25
2.29,2.33,2.35,2.28
2.33,2.36,2.38,2.30
2.37,2.45,2.45,2.35
2.43,2.76,2.78,2.41
2.72,2.67,2.83,2.63
2.73,2.77,2.78,2.60
2.77,2.73,2.84,2.68
2.68,2.76,2.82,2.64
2.74,2.73,2.94,2.71
2.85,2.73,2.85,2.69
2.75,2.71,2.78,2.70
2.73,2.74,2.77,2.65
2.78,2.86,2.92,2.76
2.85,2.81,2.88,2.79
2.78,2.80,2.85,2.77
2.78,2.77,2.92,2.75
2.81,2.78,2.82,2.77
2.78,2.82,2.84,2.76
2.83,2.87,2.94,2.83
2.88,2.82,2.92,2.80
2.79,2.85,2.85,2.76
2.87,2.92,2.94,2.82
2.93,2.88,2.94,2.85
2.88,2.86,2.90,2.81
2.85,2.80,2.86,2.80
2.83,2.84,2.86,2.77
2.85,2.82,2.85,2.78
2.80,2.77,2.85,2.70
2.81,2.77,2.85,2.76
2.75,2.75,2.80,2.71
2.78,2.75,2.79,2.73
2.76,2.81,2.82,2.72
2.82,2.84,2.84,2.78
2.82,2.95,2.95,2.78
2.98,3.00,3.05,2.94
3.00,2.98,3.04,2.96
3.03,3.00,3.10,2.98
3.00,3.06,3.06,2.96
3.00,2.92,3.04,2.91
2.92,3.09,3.10,2.92
3.09,3.19,3.25,3.09
3.19,3.32,3.35,3.18
3.32,3.34,3.42,3.31
3.34,3.79,3.79,3.34
3.75,3.74,3.80,3.62
3.65,3.68,3.74,3.47
3.66,3.89,3.95,3.59
3.89,3.81,3.98,3.77
3.85,4.04,4.07,3.81
4.18,4.01,4.18,3.91
4.05,4.06,4.12,3.98
4.03,3.77,4.05,3.68
3.78,3.97,4.05,3.70
3.99,3.82,4.01,3.82
3.84,3.98,4.00,3.80
3.94,4.00,4.05,3.92
3.99,3.96,4.00,3.90
4.00,3.86,4.00,3.81
3.80,3.66,3.82,3.56
3.68,3.66,3.73,3.60
3.69,3.78,3.78,3.68
3.78,3.85,3.85,3.73
3.85,3.87,3.94,3.80
3.82,3.72,3.90,3.68
3.77,3.83,3.88,3.73
3.71,3.83,3.87,3.71
3.79,3.78,3.83,3.69
3.75,3.84,3.87,3.63
3.87,3.71,3.95,3.70
3.75,3.76,3.79,3.70
3.73,3.78,3.78,3.70
3.80,3.89,3.92,3.73
3.93,4.25,4.29,3.93
4.33,4.16,4.35,4.04
4.18,4.27,4.30,4.14
4.30,4.38,4.45,4.25
4.38,4.19,4.39,4.18
4.22,4.15,4.23,4.11
4.18,4.09,4.20,4.07
4.11,4.16,4.17,4.05
4.17,4.24,4.38,4.17
4.24,4.19,4.33,4.12
4.22,4.25,4.32,4.20
4.29,4.18,4.29,4.15
4.18,4.23,4.32,4.18
4.23,4.49,4.55,4.17
4.47,4.26,4.49,4.22
4.30,4.28,4.38,4.24
4.29,4.31,4.39,4.24
4.32,4.27,4.35,4.25
4.30,4.35,4.48,4.25
4.35,4.25,4.42,4.20
4.26,4.30,4.32,4.17
4.29,4.37,4.39,4.27
4.37,4.64,4.68,4.37
4.64,4.73,4.75,4.55
4.73,4.70,4.80,4.64
4.70,4.68,4.75,4.64
4.67,4.74,4.85,4.63
4.75,4.71,4.76,4.64
4.66,4.72,4.75,4.65
4.71,4.68,4.72,4.64
4.65,4.37,4.65,4.03
4.38,4.54,4.57,4.37
4.53,4.50,4.53,4.38
4.47,4.49,4.55,4.35
4.48,4.59,4.70,4.48
4.61,4.61,4.68,4.50
4.59,4.41,4.61,4.36
4.41,4.50,4.52,4.30
4.55,4.62,4.72,4.51
4.63,4.68,4.75,4.62
4.69,4.61,4.70,4.57
4.59,4.66,4.68,4.55
4.65,4.68,4.82,4.63
4.67,4.75,4.77,4.62
4.75,4.70,4.88,4.66
4.68,4.65,4.86,4.61
4.65,4.13,4.65,4.09
4.15,4.10,4.29,4.08
4.15,3.98,4.25,3.95
4.06,4.13,4.22,4.03
4.13,3.91,4.18,3.89
3.94,3.91,4.01,3.77
3.90,3.70,3.90,3.70
3.86,3.58,3.86,3.40
3.58,3.56,3.65,3.48
3.56,3.64,3.68,3.56
3.68,3.69,3.77,3.66
3.68,3.45,3.68,3.42
3.44,3.56,3.57,3.41
3.58,3.59,3.71,3.55
3.63,3.63,3.66,3.53
3.69,3.59,3.81,3.54
3.59,3.62,3.79,3.59
3.63,3.83,3.88,3.63
3.85,3.55,3.86,3.47
3.54,3.59,3.65,3.50
3.53,3.49,3.57,3.47
3.44,3.47,3.55,3.34
3.48,3.38,3.55,3.36
3.45,3.36,3.57,3.32
3.40,3.34,3.43,3.28
3.36,3.53,3.55,3.36
3.55,3.51,3.66,3.46
3.50,3.55,3.57,3.45
3.59,3.53,3.65,3.48
3.56,3.57,3.63,3.55
3.56,3.46,3.58,3.42
3.48,3.54,3.54,3.46
3.59,3.58,3.72,3.53
3.55,3.70,3.78,3.51
3.73,3.90,3.94,3.70
3.95,3.78,4.00,3.77
3.79,3.96,4.05,3.79
4.00,3.81,4.01,3.76
3.82,3.81,3.89,3.77
3.83,3.77,3.83,3.65
3.76,3.66,3.77,3.65
3.63,3.53,3.65,3.51
3.54,3.62,3.71,3.50
3.61,3.52,3.66,3.50
3.51,3.58,3.61,3.51
3.53,3.49,3.53,3.45
3.50,3.72,3.85,3.50
3.80,3.74,3.84,3.68
3.79,3.78,3.79,3.75
3.80,3.75,3.83,3.72
3.82,3.72,3.82,3.69
3.67,3.37,3.69,3.33
3.44,3.33,3.44,3.28
3.33,3.30,3.37,3.28
3.31,3.22,3.40,3.21
3.22,3.04,3.26,2.98
3.04,3.06,3.13,3.04
3.05,3.12,3.23,3.05
3.17,3.29,3.31,3.17
3.32,3.35,3.37,3.30
3.36,3.50,3.51,3.34
3.52,3.50,3.52,3.39
3.48,3.48,3.55,3.44
3.50,3.36,3.54,3.35
3.34,3.29,3.46,3.29
3.27,3.17,3.28,3.13
3.17,3.34,3.37,3.17
3.38,3.43,3.49,3.35
3.41,3.37,3.50,3.31
3.30,3.25,3.35,3.21
3.38,3.35,3.52,3.34
3.34,3.45,3.52,3.34
3.46,3.68,3.73,3.43
3.71,3.80,3.85,3.65
3.86,3.81,3.93,3.68
3.81,3.64,3.83,3.63
3.66,3.63,3.73,3.56
3.57,3.56,3.65,3.47
3.60,3.42,3.60,3.40
3.45,3.45,3.51,3.35
3.46,3.40,3.48,3.37
3.41,3.47,3.48,3.31
3.44,3.32,3.48,3.31
3.35,3.27,3.46,3.25
3.31,3.49,3.54,3.27
3.45,3.38,3.51,3.36
3.38,3.40,3.53,3.30
3.43,3.41,3.48,3.34
3.40,3.44,3.48,3.40
3.47,3.66,3.66,3.44
3.62,3.60,3.71,3.53
3.54,3.64,3.65,3.53
3.66,3.75,3.77,3.66
3.77,3.81,3.84,3.72
3.81,3.86,3.89,3.78
3.88,3.79,3.90,3.74
3.77,3.84,3.85,3.77
3.83,3.89,3.89,3.80
3.88,4.08,4.09,3.87
4.07,4.10,4.15,4.00
4.14,4.18,4.21,4.10
4.11,4.08,4.14,4.03
4.02,3.91,4.05,3.85
3.90,3.99,4.03,3.88
4.01,4.03,4.12,3.96
4.04,3.95,4.09,3.86
3.98,3.98,3.99,3.91
3.94,3.87,3.95,3.72
3.90,4.00,4.00,3.90
4.01,4.04,4.04,3.95
4.04,3.96,4.05,3.92
3.97,3.96,4.03,3.91
3.86,3.89,3.99,3.84
3.89,3.86,3.97,3.84
3.89,3.76,4.00,3.74
3.73,3.86,3.94,3.73
3.75,3.84,3.90,3.65
3.96,3.91,3.99,3.79
3.87,3.69,3.94,3.69
3.68,3.77,3.78,3.54
3.71,3.53,3.73,3.53
3.58,3.57,3.62,3.18
3.21,3.00,3.37,3.00
3.09,3.41,3.43,3.01
3.25,3.26,3.42,3.10
3.29,3.34,3.43,3.28
3.45,3.36,3.47,3.29
3.42,3.43,3.45,3.36
3.39,3.32,3.42,3.27
3.34,3.26,3.40,3.19
3.11,3.07,3.18,3.05
3.02,2.97,3.15,2.92
3.03,2.94,3.10,2.90
2.97,3.24,3.29,2.96
3.24,3.26,3.33,3.13
3.29,3.08,3.29,3.06
3.04,3.17,3.24,3.01
3.23,3.37,3.39,3.22
3.32,3.36,3.40,3.25
3.39,3.40,3.42,3.25
3.40,3.26,3.47,3.23
3.17,3.14,3.30,3.13
3.02,3.17,3.18,2.96
3.22,3.28,3.31,3.20
3.25,3.23,3.35,3.21
3.18,3.08,3.22,3.02
3.02,3.10,3.13,3.02
3.13,3.26,3.29,3.11
3.27,3.29,3.32,3.19
3.32,3.29,3.32,3.19
3.31,3.22,3.31,3.17
3.14,3.29,3.33,3.13
3.31,3.13,3.33,3.13
3.14,3.01,3.24,3.01
2.97,2.92,3.07,2.86
2.92,2.96,3.00,2.90
3.00,3.02,3.08,2.88
3.11,3.08,3.20,3.04
3.12,2.95,3.12,2.95
3.05,2.78,3.06,2.70
2.72,2.67,2.84,2.66
2.63,2.20,2.63,2.17
2.16,2.56,2.56,2.16
2.59,2.69,2.70,2.51
2.68,2.81,2.82,2.63
2.83,2.68,2.89,2.66
2.75,2.77,2.83,2.69
2.74,2.77,2.82,2.68
2.83,2.84,2.86,2.78
2.81,2.81,2.87,2.76
2.88,2.84,2.90,2.73
2.81,2.77,2.89,2.76
2.78,2.82,2.89,2.73
2.82,2.77,2.89,2.76
2.77,2.79,2.85,2.72
2.85,2.82,2.86,2.77
2.83,2.83,2.85,2.79
2.80,2.79,2.87,2.77
2.78,2.44,2.78,2.34
2.55,2.52,2.67,2.45
2.50,2.57,2.61,2.44
2.50,2.48,2.60,2.48
2.37,2.44,2.49,2.25
2.49,2.66,2.67,2.49
2.70,2.71,2.74,2.53
2.67,2.65,2.72,2.60
2.65,2.56,2.67,2.47
2.61,2.71,2.73,2.55
2.62,2.55,2.67,2.55
2.62,2.71,2.71,2.57
2.75,2.80,2.81,2.72
2.80,2.76,2.82,2.74
2.75,2.77,2.80,2.68
2.73,2.72,2.80,2.71
2.71,2.72,2.78,2.70
2.72,2.75,2.82,2.72
2.66,2.64,2.73,2.64
2.65,2.65,2.71,2.62
2.61,2.50,2.65,2.50
2.49,2.49,2.60,2.47
2.62,2.72,2.72,2.53
2.72,2.66,2.73,2.64
2.79,2.76,2.83,2.71
2.76,2.68,2.79,2.68
2.71,2.73,2.74,2.71
2.79,2.75,2.83,2.68
2.74,2.71,2.79,2.66
2.69,2.65,2.70,2.60
2.63,2.49,2.65,2.49
2.52,2.72,2.73,2.52
2.66,2.72,2.76,2.62
2.78,2.72,2.88,2.67
2.70,2.81,2.81,2.62
2.84,2.78,2.84,2.71
2.80,2.81,2.90,2.75
2.85,2.77,2.88,2.76
2.84,2.95,3.00,2.81
2.95,2.91,2.95,2.78
2.92,2.94,2.96,2.91
2.94,2.95,2.95,2.86
2.92,2.96,2.98,2.84
2.96,2.83,2.96,2.83
2.84,2.85,2.91,2.79
2.83,2.82,2.93,2.80
2.90,2.98,3.00,2.90
2.96,2.96,2.98,2.90
2.95,2.96,2.98,2.91
2.97,2.96,3.04,2.94
2.97,2.92,3.00,2.90
2.97,3.01,3.02,2.94
3.01,3.03,3.04,3.00
3.02,2.98,3.04,2.97
2.94,2.97,3.01,2.93
3.00,2.96,3.01,2.95
2.94,3.03,3.03,2.94
3.03,3.03,3.05,3.00
3.03,3.09,3.10,3.01
3.07,3.13,3.18,3.07
3.12,3.10,3.14,3.10
3.10,3.15,3.18,3.07
3.18,3.16,3.20,3.12
3.16,3.17,3.18,3.12
3.14,3.12,3.16,3.12
3.16,3.02,3.16,2.98
3.04,3.18,3.19,3.01
3.18,3.29,3.29,3.15
3.31,3.33,3.40,3.30
3.33,3.40,3.41,3.25
3.40,3.32,3.41,3.31
3.35,3.38,3.39,3.32
3.39,3.30,3.40,3.30
3.29,3.14,3.29,3.14
3.19,3.25,3.25,3.16
3.24,3.16,3.25,3.12
3.18,3.10,3.19,3.08
3.12,3.20,3.27,3.11
3.20,3.21,3.24,3.15
3.23,3.14,3.30,3.13
3.00,2.85,3.01,2.82
2.87,2.90,2.92,2.85
2.93,2.97,3.01,2.89
2.93,3.01,3.04,2.92
3.03,3.06,3.11,3.01
3.09,2.93,3.10,2.92
2.95,2.94,3.03,2.93
2.94,2.86,3.01,2.86
2.87,2.94,2.95,2.85
2.91,2.88,2.97,2.86
2.92,2.95,3.00,2.91
2.98,2.93,2.99,2.88
2.93,2.95,3.01,2.89
2.96,2.97,2.99,2.96
3.00,3.09,3.10,2.94
3.07,3.00,3.08,2.97
2.99,3.00,3.06,2.97
3.01,2.90,3.03,2.90
2.91,2.89,2.96,2.88
2.88,2.95,2.99,2.88
2.95,2.97,3.01,2.95
2.94,2.95,3.01,2.92
2.95,2.93,2.96,2.88
2.97,3.04,3.04,2.94
3.04,3.02,3.08,3.01
3.01,2.93,3.01,2.91
2.93,2.99,3.02,2.91
3.03,2.91,3.03,2.87
2.90,2.89,2.91,2.84
2.88,2.91,2.94,2.86
2.88,2.80,2.89,2.78
2.78,2.92,2.92,2.78
2.84,2.80,2.89,2.80
2.76,2.75,2.88,2.75
2.78,2.84,2.85,2.77
2.84,2.85,2.89,2.76
2.82,2.79,2.87,2.79
2.80,2.85,2.89,2.76
2.87,2.86,2.90,2.84
2.82,2.90,2.93,2.82
2.90,2.99,2.99,2.89
3.02,3.00,3.05,2.94
2.95,2.84,2.95,2.83
2.85,2.93,2.94,2.80
2.92,2.83,2.92,2.79
2.83,2.79,2.89,2.77
2.80,2.91,2.92,2.80
2.89,2.83,2.91,2.82
2.82,2.80,2.92,2.80
2.80,2.82,2.85,2.80
2.82,2.80,2.83,2.80
2.80,2.80,2.82,2.77
2.80,2.81,2.84,2.77
2.80,2.83,2.84,2.78
2.80,2.81,2.84,2.80
2.83,2.83,2.83,2.80
2.80,2.81,2.83,2.80
2.80,2.80,2.81,2.79
2.80,2.82,2.87,2.80
2.83,2.82,2.85,2.80
2.81,2.81,2.85,2.80
2.79,2.75,2.84,2.75
2.75,2.77,2.78,2.75
2.78,2.75,2.80,2.75
2.75,2.75,2.77,2.74
2.75,2.66,2.76,2.63
2.64,2.71,2.71,2.60
2.72,2.64,2.72,2.60
2.62,2.55,2.62,2.53
2.55,2.46,2.55,2.43
2.41,2.46,2.53,2.38
2.50,2.60,2.61,2.45
2.59,2.56,2.59,2.50
2.58,2.60,2.63,2.53
2.65,2.59,2.67,2.56
2.58,2.56,2.62,2.53
2.60,2.43,2.60,2.42
2.44,2.49,2.49,2.40
2.47,2.47,2.50,2.45
2.46,2.49,2.49,2.45
2.48,2.63,2.63,2.47
2.61,2.71,2.73,2.60
2.71,2.77,2.83,2.61
2.75,2.74,2.78,2.72
2.75,2.58,2.75,2.57
2.59,2.60,2.63,2.58
2.57,2.46,2.58,2.45
2.47,2.49,2.50,2.46
2.49,2.48,2.50,2.45
2.46,2.47,2.50,2.40
2.53,2.60,2.60,2.48
2.50,2.60,2.60,2.50
2.61,2.68,2.69,2.56
2.68,2.61,2.69,2.59
2.57,2.55,2.58,2.53
2.54,2.54,2.58,2.53
2.55,2.53,2.57,2.53
2.53,2.55,2.61,2.50
2.52,2.58,2.60,2.51
2.58,2.63,2.64,2.57
2.59,2.56,2.61,2.55
2.59,2.58,2.60,2.52
2.56,2.62,2.68,2.56
2.63,2.53,2.63,2.53
2.51,2.49,2.53,2.48
2.47,2.45,2.47,2.45
2.43,2.41,2.50,2.41
2.42,2.46,2.50,2.40
2.53,2.49,2.53,2.40
2.50,2.47,2.52,2.44
2.46,2.44,2.47,2.42
2.44,2.44,2.50,2.43
2.44,2.40,2.44,2.40
2.40,2.40,2.45,2.40
2.41,2.46,2.49,2.41
2.47,2.45,2.50,2.44
2.46,2.45,2.50,2.42
2.44,2.44,2.49,2.40
2.40,2.50,2.50,2.40
2.50,2.45,2.51,2.44
2.43,2.58,2.58,2.43
2.56,2.61,2.69,2.54
2.59,2.62,2.63,2.59
2.61,2.63,2.65,2.59
2.62,2.67,2.69,2.62
2.65,2.64,2.65,2.57
2.61,2.50,2.67,2.50
2.51,2.51,2.54,2.50
2.51,2.49,2.52,2.49
2.51,2.49,2.52,2.45
2.50,2.50,2.51,2.47
2.51,2.55,2.55,2.51
2.56,2.60,2.60,2.56
2.61,2.53,2.67,2.51
2.56,2.57,2.58,2.55
2.58,2.55,2.58,2.50
2.52,2.56,2.60,2.51
2.59,2.61,2.64,2.57
2.64,2.70,2.71,2.62
2.70,2.68,2.70,2.66
2.67,2.67,2.69,2.59
2.69,2.70,2.72,2.63
2.72,2.75,2.78,2.70
2.79,2.85,2.85,2.77
2.84,2.82,2.84,2.75
2.82,2.93,2.94,2.78
2.94,2.93,2.98,2.89
2.89,2.90,2.95,2.84
2.96,2.97,2.99,2.91
2.97,2.97,2.99,2.90
2.99,2.84,2.99,2.83
2.84,2.82,2.87,2.79
2.85,2.96,2.99,2.85
2.92,2.86,2.94,2.86
2.90,2.86,2.91,2.82
2.85,2.89,2.89,2.83
2.90,2.93,2.98,2.89
2.95,2.91,2.95,2.88
2.91,2.92,2.96,2.90
2.92,2.94,2.97,2.91
2.95,2.89,2.95,2.89
2.89,2.91,2.94,2.81
2.93,2.95,2.95,2.91
2.95,2.95,2.96,2.91
2.93,2.93,2.97,2.91
2.96,2.97,2.97,2.90
2.98,2.95,2.99,2.92
2.96,2.88,2.96,2.85
2.85,2.90,2.92,2.78
2.89,2.87,2.94,2.83
2.85,2.90,2.94,2.82
2.82,2.99,3.04,2.82
3.05,3.01,3.10,2.96
2.99,2.90,2.99,2.88
2.89,2.90,2.94,2.85
2.89,3.00,3.01,2.89
3.00,2.91,3.02,2.90
2.91,2.91,2.95,2.90
2.93,2.94,2.96,2.91
2.89,2.80,2.90,2.80
2.84,2.75,2.90,2.75
2.79,2.86,2.89,2.76
2.87,2.74,2.88,2.73
2.73,2.62,2.76,2.62
2.63,2.57,2.75,2.55
2.58,2.59,2.65,2.54
2.58,2.51,2.59,2.50
2.50,2.59,2.60,2.50
2.57,2.57,2.62,2.56
2.56,2.56,2.57,2.53
2.55,2.62,2.63,2.55
2.64,2.67,2.73,2.62
2.66,2.70,2.73,2.65
2.68,2.61,2.75,2.57
2.63,2.69,2.69,2.63
2.69,2.74,2.74,2.68
2.76,2.75,2.76,2.74
2.75,2.80,2.80,2.73
2.81,2.71,2.85,2.69
2.70,2.72,2.81,2.69
2.74,2.72,2.74,2.65
2.73,2.73,2.75,2.70
2.74,2.78,2.78,2.71
2.80,2.79,2.81,2.74
2.80,2.72,2.81,2.69
2.70,2.69,2.76,2.68
2.71,2.76,2.77,2.67
2.77,2.81,2.81,2.71
2.81,2.85,2.85,2.76
2.84,2.88,2.90,2.77
2.86,2.79,2.88,2.76
2.78,2.75,2.82,2.73
2.75,2.75,2.80,2.72
2.75,2.70,2.75,2.65
2.70,2.82,2.82,2.70
2.83,2.79,2.85,2.76
2.90,2.94,3.00,2.87
2.95,2.84,2.98,2.84
2.87,2.90,2.94,2.87
2.91,2.95,2.98,2.88
2.95,2.99,3.00,2.88
2.99,3.16,3.18,2.99
3.16,3.16,3.24,3.11
3.15,3.13,3.15,3.10
3.16,3.21,3.22,3.16
3.19,3.22,3.22,3.12
3.22,3.12,3.25,3.11
3.12,3.13,3.18,3.11
3.14,3.03,3.15,3.02
3.01,3.09,3.10,3.01
3.12,3.10,3.16,3.05
3.09,3.11,3.14,3.07
3.13,3.19,3.19,3.08
3.19,3.35,3.37,3.18
3.37,3.35,3.41,3.26
3.36,3.29,3.39,3.29
3.27,3.26,3.33,3.23
3.29,3.36,3.40,3.25
3.35,3.28,3.35,3.27
3.29,3.21,3.30,3.19
3.21,3.34,3.37,3.20
3.33,3.24,3.33,3.22
3.27,3.30,3.36,3.25
3.31,3.24,3.33,3.23
3.24,3.24,3.26,3.20
3.24,3.21,3.24,3.19
3.20,3.28,3.29,3.19
3.32,3.38,3.42,3.29
3.38,3.43,3.51,3.35
3.40,3.49,3.55,3.16
3.45,3.45,3.54,3.43
3.48,3.48,3.51,3.41
3.54,3.40,3.60,3.39
3.42,3.43,3.46,3.40
3.45,3.50,3.52,3.41
3.50,3.77,3.78,3.49
3.70,3.69,3.73,3.60
3.70,3.66,3.70,3.61
3.69,3.70,3.70,3.65
3.70,3.66,3.71,3.63
3.66,3.69,3.70,3.65
3.70,3.67,3.70,3.61
3.67,3.88,3.89,3.63
3.86,3.85,3.90,3.84
3.84,3.78,3.84,3.76
3.78,3.84,3.86,3.72
3.81,3.83,3.84,3.77
3.77,3.80,3.85,3.75
3.80,3.61,3.80,3.53
3.60,3.72,3.77,3.55
3.70,3.65,3.72,3.60
3.65,3.64,3.71,3.60
3.65,3.70,3.74,3.63
3.73,3.68,3.73,3.62
3.66,3.61,3.69,3.60
3.62,3.58,3.62,3.54
3.59,3.54,3.62,3.47
3.53,3.58,3.63,3.53
3.58,3.53,3.63,3.49
3.51,3.60,3.60,3.42
3.56,3.57,3.58,3.49
3.59,3.75,3.76,3.59
3.77,3.85,3.88,3.75
3.85,3.91,3.94,3.82
3.91,3.74,3.91,3.68
3.75,3.71,3.78,3.64
3.66,3.46,3.73,3.37
3.66,3.77,3.78,3.66
3.71,3.64,3.75,3.60
3.62,3.73,3.73,3.55
3.70,3.67,3.75,3.62
3.67,3.63,3.69,3.55
3.68,3.72,3.75,3.61
3.70,3.74,3.80,3.62
3.78,3.65,3.79,3.64
3.64,3.65,3.67,3.54
3.70,3.67,3.74,3.66
3.70,3.76,3.82,3.70
3.75,3.61,3.76,3.61
3.64,3.66,3.67,3.60
3.71,3.73,3.80,3.70
3.73,3.69,3.75,3.66
3.74,3.72,3.77,3.67
3.72,3.67,3.74,3.63
3.68,3.65,3.70,3.62
3.68,3.65,3.68,3.60
3.65,3.65,3.66,3.60
3.65,3.62,3.71,3.60
3.65,3.83,3.85,3.65
3.82,4.04,4.11,3.78
4.05,3.96,4.20,3.94
3.98,3.82,4.02,3.76
3.80,3.79,3.88,3.78
3.80,3.77,3.89,3.75
3.74,3.81,3.82,3.70
3.79,3.70,3.80,3.69
3.75,3.70,3.80,3.67
3.68,3.80,3.81,3.66
3.87,4.07,4.12,3.87
4.03,3.99,4.09,3.96
3.99,3.98,4.07,3.87
4.00,3.94,4.03,3.90
3.95,3.97,4.00,3.87
3.97,3.98,4.00,3.90
3.97,4.03,4.04,3.92
4.06,4.07,4.09,4.02
4.05,4.13,4.21,4.01
4.16,4.02,4.16,4.01
4.03,4.00,4.03,3.95
3.98,3.93,4.01,3.90
3.98,4.05,4.07,3.91
4.07,4.15,4.23,3.99
4.15,4.13,4.23,4.11
