IJK,iShares S&P Mid-Cap 400 Growth ETF,NASDAQ
91.76,91.09,91.81,90.62
90.85,91.45,91.71,90.85
92.00,91.37,92.50,90.81
92.16,92.42,92.65,91.73
92.43,92.70,92.78,91.61
93.83,94.29,94.34,93.61
94.23,94.88,95.00,94.23
94.59,94.88,95.02,94.31
95.07,94.06,95.36,93.67
94.06,94.84,94.84,93.34
93.83,94.73,94.96,93.57
94.07,93.27,94.57,92.82
93.74,93.61,94.43,93.54
92.89,92.08,93.15,91.58
92.20,92.77,92.97,92.14
93.77,94.01,94.59,93.73
93.79,94.39,94.51,93.47
94.01,95.47,95.50,93.90
94.38,94.39,94.70,93.84
95.14,96.48,96.49,95.14
95.80,96.00,96.39,95.68
95.61,95.95,96.07,94.73
95.00,95.63,96.09,94.90
97.25,97.48,97.57,96.91
97.53,98.49,98.49,97.43
98.17,99.16,99.36,98.01
99.13,99.17,99.31,98.87
100.35,99.38,100.46,99.26
99.61,99.19,99.88,98.89
99.89,99.42,99.89,98.93
99.73,100.52,100.56,99.55
101.12,100.00,101.12,99.98
100.30,99.90,100.39,99.70
99.92,99.63,100.84,99.55
99.85,100.71,100.71,99.42
100.82,100.99,101.39,100.39
101.01,101.04,101.30,100.49
101.49,101.59,101.70,101.25
101.76,101.55,101.89,101.41
101.46,101.21,101.56,101.08
100.75,101.17,101.28,100.33
101.38,100.93,101.38,100.72
101.21,101.24,101.38,101.02
101.28,101.35,101.70,101.20
101.31,100.72,101.32,100.64
101.28,101.97,102.51,101.28
102.38,100.79,102.38,100.11
100.81,101.33,101.47,100.44
101.53,101.06,101.86,100.97
101.26,100.83,101.67,99.73
100.40,101.50,101.75,99.73
102.03,101.73,102.23,101.44
102.53,102.30,102.53,101.97
102.31,102.28,102.49,101.91
102.26,102.93,102.96,102.03
102.80,103.56,103.61,102.58
103.65,102.06,103.65,101.83
101.66,100.91,101.76,100.41
101.66,100.65,101.69,100.57
100.75,101.42,101.64,100.56
100.85,101.34,101.34,100.51
101.75,102.34,102.59,101.34
102.17,102.92,103.18,102.17
102.93,101.08,103.28,100.79
101.25,101.98,102.52,101.19
102.82,103.32,103.62,102.56
103.10,103.35,103.94,103.09
103.24,103.70,103.89,102.50
103.88,104.55,104.68,103.56
104.77,105.40,105.91,104.77
105.72,105.92,105.99,105.23
105.66,105.79,106.23,105.56
105.21,106.58,106.68,105.21
106.23,107.84,107.91,106.23
107.99,108.44,108.51,107.86
108.21,107.74,108.42,107.57
108.31,108.36,108.72,108.00
108.10,108.68,108.88,108.02
108.98,108.72,109.05,108.36
107.58,106.19,108.15,106.04
106.18,104.55,106.38,103.33
104.48,104.88,105.52,103.65
105.53,106.97,107.00,105.53
107.88,107.13,107.99,106.56
107.59,105.27,107.59,104.95
105.09,105.84,106.52,105.08
106.89,108.22,108.45,106.89
108.49,107.77,108.49,107.04
108.26,106.20,108.26,105.21
106.31,107.24,107.72,105.60
107.01,106.81,107.20,106.25
105.66,105.18,106.05,104.69
104.39,105.91,106.26,104.37
105.51,105.51,106.35,104.84
103.32,104.92,105.67,102.37
104.41,103.92,105.76,103.48
105.50,104.33,105.65,104.20
105.65,104.71,105.66,104.41
106.05,106.69,106.92,105.88
106.79,105.97,106.93,105.81
105.61,105.98,106.32,104.08
106.69,107.20,107.39,105.65
107.55,107.96,108.82,107.19
108.32,107.50,108.47,107.42
107.29,108.61,108.72,106.92
109.32,109.79,109.94,109.04
109.67,110.35,110.35,109.58
111.07,110.88,111.23,110.43
111.30,110.98,111.32,110.58
110.89,111.43,111.96,110.84
111.87,111.27,112.31,110.81
111.32,110.64,111.51,110.16
111.18,109.89,111.20,109.25
110.24,109.32,110.38,108.95
108.61,108.36,109.18,108.07
109.27,109.00,109.31,108.26
108.32,108.97,109.13,107.99
109.20,109.88,110.01,108.75
108.56,108.03,108.56,107.12
108.43,108.65,108.74,107.92
110.44,110.93,110.94,110.22
111.78,111.85,111.85,111.04
111.94,111.86,112.09,111.21
112.08,112.71,113.12,112.02
113.16,113.59,113.59,112.33
113.61,113.79,114.18,113.31
113.77,113.98,114.32,113.50
114.55,113.41,114.60,113.20
112.97,111.93,113.18,111.31
111.99,111.13,112.40,110.49
110.17,110.75,111.91,110.00
112.03,111.02,112.41,110.57
111.04,112.19,112.38,110.82
112.71,113.54,113.71,112.44
113.46,112.62,113.71,112.00
111.97,113.32,113.65,111.45
113.44,112.38,113.53,112.09
111.66,111.01,112.74,110.92
110.22,110.17,110.66,109.34
110.38,112.02,112.11,110.15
112.72,112.17,112.75,111.35
111.98,111.18,111.98,110.59
109.60,109.49,110.07,109.17
109.99,109.25,110.11,108.86
109.04,110.14,110.40,108.75
109.86,111.37,111.49,109.86
111.73,112.00,112.31,111.68
113.20,112.94,113.20,111.93
112.64,110.36,113.09,110.19
110.42,110.30,111.07,109.72
108.64,108.81,110.02,108.55
108.47,107.13,108.84,107.06
107.76,107.56,108.32,107.20
107.13,106.47,107.29,106.27
106.52,106.92,107.38,106.15
106.39,105.20,106.60,104.94
105.20,104.89,106.02,104.44
106.07,106.75,107.10,105.84
105.74,105.26,106.65,104.94
105.26,104.93,105.61,103.94
106.02,105.01,106.04,104.81
104.66,106.01,106.22,104.52
106.58,108.31,108.42,106.48
107.84,107.77,108.81,107.72
106.32,107.94,108.04,105.57
108.16,107.10,108.36,106.83
106.97,107.60,108.03,106.35
108.02,109.51,109.53,107.94
109.97,110.22,110.70,109.25
110.54,110.95,111.45,110.50
111.23,112.82,112.88,110.91
113.00,113.24,113.34,112.36
113.13,113.94,114.15,112.80
115.23,115.29,115.49,114.85
113.99,114.60,114.62,113.50
113.23,112.09,113.84,111.83
111.55,111.40,112.33,111.35
111.98,111.95,113.30,111.85
112.19,110.48,112.97,110.24
111.15,111.19,111.19,110.18
110.81,109.80,110.95,109.04
110.57,112.15,112.23,110.57
112.26,111.54,112.26,111.01
112.11,112.38,112.98,111.59
112.48,113.07,113.29,112.16
111.72,112.16,112.87,111.50
112.09,111.45,112.30,111.29
110.84,108.15,110.84,108.06
108.45,107.96,109.69,107.87
106.50,107.55,108.18,105.66
108.70,106.91,109.12,105.60
106.12,103.68,107.15,103.55
103.87,104.46,104.53,101.12
102.99,98.09,103.05,98.08
99.45,96.33,99.47,94.04
93.17,88.47,94.03,88.40
90.19,94.27,94.27,88.02
92.38,91.64,94.82,91.27
91.98,96.50,97.62,91.80
97.19,97.31,97.79,96.00
97.81,99.44,99.45,97.73
98.07,97.84,98.81,96.81
98.77,97.02,99.06,96.29
94.06,91.48,94.07,90.60
90.21,89.69,92.72,89.59
91.90,89.99,92.13,89.44
90.42,94.05,94.08,89.73
93.78,95.15,95.31,93.00
95.94,92.92,96.09,92.77
92.26,95.56,95.87,91.15
97.03,99.31,99.40,97.03
98.82,100.02,100.61,98.33
100.40,100.19,102.09,99.42
100.48,98.66,101.43,98.50
96.43,95.56,97.30,95.15
92.44,95.02,95.22,92.10
96.75,98.38,98.54,96.46
97.70,97.25,99.00,96.87
96.54,94.71,97.07,93.90
92.83,95.19,95.28,92.83
95.82,96.83,97.25,95.16
97.64,98.64,99.87,95.99
99.90,99.97,100.09,98.32
100.17,100.06,100.75,99.29
98.22,98.98,99.78,97.39
99.30,97.80,100.34,97.73
97.84,94.78,98.19,94.75
91.79,91.23,92.98,89.84
90.69,92.30,92.50,90.61
92.92,93.91,94.04,90.73
95.98,95.45,97.58,94.93
95.70,92.39,95.95,92.31
94.30,92.61,94.41,90.32
91.38,89.84,92.12,89.83
89.10,85.46,90.27,85.37
84.55,89.00,89.04,83.83
89.08,90.76,91.24,87.86
90.60,93.00,93.11,90.20
93.45,91.86,93.82,91.43
93.60,94.99,94.99,93.43
93.96,95.16,95.89,93.96
96.11,96.39,97.46,95.83
95.55,96.84,97.18,94.98
97.92,98.66,98.74,97.26
98.03,95.76,98.10,95.58
95.90,97.92,98.30,94.54
97.65,96.01,98.15,95.75
96.36,96.22,96.47,94.11
97.55,98.20,98.50,97.09
98.74,101.39,101.54,98.58
100.96,98.86,100.96,98.83
100.42,99.99,100.49,97.54
103.02,104.39,105.19,102.17
103.81,104.34,104.65,103.66
103.98,101.83,103.98,101.80
98.15,98.58,100.07,97.61
100.09,100.46,100.87,99.00
101.60,102.84,103.01,99.65
101.91,103.18,103.30,101.12
103.25,102.92,103.52,101.00
103.69,103.83,103.95,101.49
101.25,99.31,101.33,99.07
100.32,99.29,100.42,98.50
100.33,101.70,102.13,100.27
101.42,100.84,101.65,100.36
100.55,101.87,102.32,100.00
100.76,100.48,102.50,100.40
100.16,98.38,100.36,97.93
98.68,97.92,98.88,97.45
96.21,96.11,96.59,94.99
95.90,95.56,96.30,94.89
94.50,93.11,94.62,92.98
92.64,92.59,93.76,92.44
95.26,96.08,96.56,95.15
96.24,96.06,96.76,95.67
99.38,100.68,100.69,99.10
100.51,100.27,101.51,100.13
101.33,100.54,102.01,100.41
102.20,102.02,103.04,101.51
101.95,101.61,102.16,101.06
101.01,101.13,101.46,99.50
100.13,98.66,100.78,98.40
99.00,101.02,101.26,98.85
99.98,99.20,99.98,98.38
100.01,97.04,100.37,96.41
96.21,95.37,96.48,94.94
96.78,95.87,96.78,95.24
96.39,96.78,97.94,96.36
97.48,95.43,97.76,95.24
97.19,98.42,98.68,97.02
98.18,98.29,98.50,96.72
98.38,98.86,99.10,98.32
99.33,99.48,99.48,98.72
99.08,99.79,100.23,99.08
99.90,98.08,99.90,98.00
98.53,99.29,99.42,98.21
99.33,98.73,99.57,98.73
100.81,99.37,101.06,99.11
98.95,99.11,99.44,98.46
98.77,99.88,100.10,97.89
99.91,99.85,100.45,99.22
100.39,100.46,100.62,99.52
101.62,101.76,102.04,101.44
101.42,101.91,102.09,101.39
102.33,102.34,102.44,101.36
101.67,101.90,102.04,101.03
102.88,102.42,103.18,102.25
102.46,103.84,103.84,102.18
104.05,104.87,105.11,104.05
104.94,104.50,104.94,104.19
104.59,104.45,105.27,103.72
103.86,105.03,105.03,103.59
104.93,105.96,106.21,104.40
106.69,105.26,106.70,104.89
104.89,105.91,106.10,104.89
105.16,105.46,105.80,104.46
106.09,105.50,106.39,105.08
106.43,107.41,107.50,106.24
107.74,107.71,108.24,107.46
109.14,109.40,109.48,108.80
108.94,109.45,109.58,108.72
109.32,109.74,109.91,108.96
109.87,109.78,110.25,109.08
110.32,110.03,110.32,109.04
109.01,108.90,109.32,108.44
109.96,110.15,110.21,109.25
109.77,110.44,110.45,109.60
111.04,110.01,111.05,109.64
110.02,111.61,111.69,110.01
112.11,111.28,112.15,111.09
111.56,110.71,111.58,110.34
110.63,110.56,111.11,110.13
110.63,111.39,111.48,110.00
111.43,111.62,112.06,111.35
110.88,111.65,112.02,110.19
111.83,111.51,112.15,110.95
111.69,110.79,112.02,110.71
111.20,111.74,112.08,111.07
111.75,110.96,111.97,110.49
110.66,110.50,110.84,109.98
109.25,108.45,109.29,108.15
108.79,109.50,109.60,108.51
110.11,110.78,110.96,109.60
110.60,111.69,112.06,110.60
111.78,111.23,111.83,110.96
111.92,113.20,113.20,111.54
113.14,112.36,113.19,112.02
112.45,113.15,113.28,112.08
113.03,112.97,113.29,112.85
112.76,113.33,113.93,112.67
112.69,112.57,112.80,112.18
112.75,112.68,113.22,112.35
111.77,111.68,112.01,110.85
111.84,112.34,112.41,110.94
113.17,113.83,113.87,112.97
113.80,113.38,113.89,113.32
113.21,112.59,113.44,111.70
111.84,112.45,112.68,111.19
113.14,112.44,113.14,112.13
112.38,113.18,113.77,111.99
113.00,113.54,113.77,112.65
112.46,111.81,112.55,111.40
111.60,111.68,112.07,111.43
110.09,110.34,110.55,109.61
110.15,107.72,110.34,107.57
108.74,108.98,109.16,108.59
109.09,110.81,111.07,109.09
110.37,109.71,110.69,109.65
110.34,109.62,110.49,108.99
110.45,111.40,111.85,110.23
110.98,111.23,111.55,110.77
111.17,110.65,112.17,110.06
111.17,110.78,111.68,110.78
109.10,109.53,109.61,108.35
109.72,109.48,110.05,109.12
110.65,111.52,111.56,110.60
111.53,112.86,113.15,111.53
113.16,113.24,113.54,112.20
113.19,112.28,113.20,112.16
112.35,112.83,114.09,112.11
112.22,113.21,113.40,111.93
112.79,111.26,112.86,110.97
110.53,109.55,110.53,109.17
109.21,109.92,110.11,109.21
109.04,109.60,109.71,107.49
108.44,109.13,109.73,107.74
110.03,109.29,110.14,108.99
108.62,109.47,110.32,108.62
108.34,108.18,108.99,107.81
108.05,107.86,108.90,107.56
108.20,107.13,108.80,107.05
107.14,104.12,107.14,104.12
104.29,102.80,104.86,102.72
102.96,105.26,105.30,102.50
105.52,105.61,106.42,105.07
104.73,106.38,106.50,104.17
106.53,106.57,106.92,105.57
106.65,106.39,106.80,106.07
107.01,107.59,107.95,106.55
106.58,105.68,106.65,105.41
105.59,105.34,105.79,103.98
103.23,101.84,103.56,101.80
102.00,101.55,102.42,100.32
101.06,102.88,103.02,101.05
103.69,104.86,104.94,103.42
106.36,104.24,106.36,104.19
104.08,105.11,105.18,103.44
106.24,102.98,106.24,102.98
103.38,104.00,104.05,102.70
103.64,102.40,103.98,102.10
102.51,103.06,103.54,102.24
103.26,104.16,104.40,103.17
103.77,105.26,105.40,103.43
105.72,106.04,106.49,105.55
106.09,105.77,106.42,105.18
105.69,102.94,105.82,102.82
103.47,103.44,103.63,102.75
102.05,101.60,102.05,101.14
101.88,102.27,102.56,101.26
102.59,102.84,103.07,102.32
102.00,102.74,102.74,101.30
104.95,105.86,105.89,104.62
106.15,106.57,106.59,105.58
106.74,107.68,107.84,106.61
107.66,107.78,108.14,107.00
106.74,106.32,106.78,105.74
106.25,105.99,106.45,105.52
106.64,104.85,106.76,104.42
105.01,104.47,105.22,103.74
103.60,104.27,104.68,102.89
104.72,105.79,105.94,104.72
105.50,105.16,105.57,104.60
105.49,105.75,105.91,104.22
105.58,106.57,106.86,105.34
107.00,107.07,107.41,106.52
106.18,105.89,106.67,105.89
104.18,104.55,104.81,103.44
104.71,103.08,104.73,102.46
103.67,103.50,104.02,102.95
105.10,105.08,105.50,104.31
105.93,107.32,107.75,105.45
107.31,106.78,107.64,106.42
106.51,105.97,107.05,105.94
106.47,104.97,106.66,104.97
104.55,104.63,105.29,103.80
105.74,106.65,107.01,105.74
106.91,107.20,107.59,106.78
107.87,108.39,108.91,107.83
108.09,108.38,108.69,107.88
108.22,108.49,108.79,108.19
108.00,108.66,108.71,107.87
108.56,108.52,108.73,107.60
109.01,108.33,109.06,108.05
108.33,109.11,109.13,108.02
109.26,110.17,110.36,109.05
110.32,110.71,110.75,110.14
110.50,110.16,110.62,109.81
110.57,110.53,111.24,110.16
110.18,110.41,110.67,109.87
110.24,109.86,110.29,109.56
109.58,110.10,110.43,109.46
110.54,110.06,110.61,109.96
109.96,110.63,110.81,109.80
110.80,110.75,111.00,110.32
110.16,109.73,110.34,109.30
110.56,110.41,110.70,109.25
110.75,111.68,111.91,109.73
111.71,111.43,111.79,111.07
112.04,113.49,113.77,112.04
113.72,114.13,114.34,113.52
114.04,113.63,114.19,113.58
113.70,113.60,113.94,113.42
113.88,113.87,114.12,113.40
114.07,114.76,115.23,113.40
115.20,115.87,116.40,115.09
115.56,114.94,115.63,114.78
114.68,114.26,114.72,114.02
114.52,114.50,114.72,114.00
113.90,113.66,113.90,113.28
114.44,113.67,114.67,113.62
113.19,113.41,113.73,112.15
113.76,111.67,113.76,111.63
111.63,110.89,111.84,110.37
111.31,112.28,112.43,111.05
111.83,111.96,112.33,111.29
112.32,111.35,112.47,110.63
111.74,111.78,111.95,111.27
111.93,111.78,112.12,111.32
112.08,112.51,112.51,111.58
113.07,112.37,113.41,112.15
111.82,111.91,112.32,111.70
111.78,110.70,111.92,110.62
110.81,110.22,110.82,110.00
110.91,110.68,111.42,110.59
110.75,110.11,110.97,109.90
110.36,110.88,110.91,109.75
111.35,112.22,112.23,111.11
112.29,112.78,112.99,111.93
112.60,112.61,112.89,112.11
112.21,110.93,112.22,110.68
110.84,110.76,111.08,110.09
109.69,110.14,110.40,108.75
110.65,109.87,110.76,109.70
110.58,110.02,110.82,109.21
109.97,109.80,110.41,109.00
110.10,110.66,110.66,109.63
110.83,113.34,113.37,110.53
113.80,111.66,113.80,111.63
111.61,112.25,112.30,111.37
112.62,113.21,113.41,112.42
112.01,111.08,112.14,110.46
111.04,109.61,111.15,109.61
109.21,109.74,110.60,109.01
110.20,109.82,110.22,109.60
109.38,109.65,110.38,109.01
109.92,107.92,110.10,107.73
107.72,107.58,108.23,107.03
107.58,108.37,108.53,107.16
109.58,110.56,110.57,109.35
110.38,110.91,110.99,110.27
111.19,111.30,111.30,110.73
111.76,112.49,112.49,111.64
112.20,112.35,112.65,111.78
112.39,112.12,112.68,112.05
111.69,112.93,112.95,111.00
113.68,113.68,113.78,112.90
114.01,113.56,114.01,113.17
114.22,113.19,114.22,113.00
113.13,113.21,113.37,112.57
113.35,113.26,113.66,112.41
113.22,113.59,113.80,113.12
113.81,113.59,113.89,113.22
113.64,114.09,114.22,113.44
114.68,114.59,114.88,114.33
114.92,114.33,115.03,114.22
114.51,113.63,114.70,113.39
113.40,113.23,113.73,113.10
113.44,114.09,114.14,113.44
114.37,115.66,115.68,114.12
115.36,114.84,115.44,114.84
115.14,115.53,115.53,114.68
113.88,114.65,114.97,113.67
114.43,114.40,114.51,114.15
114.67,113.30,114.67,113.27
113.40,113.30,113.62,112.04
112.89,112.54,113.39,112.54
112.43,114.41,114.65,112.18
117.49,117.66,117.66,116.38
117.66,117.59,118.33,117.28
117.90,118.39,118.52,117.42
117.98,118.17,118.33,117.78
118.05,118.08,118.31,117.41
118.50,118.92,118.99,118.46
119.74,118.90,119.74,118.28
119.08,118.87,119.15,118.38
118.99,118.99,119.31,118.64
118.42,119.42,119.51,118.40
119.32,119.29,119.52,118.93
119.68,120.28,120.40,119.56
120.28,120.34,120.40,119.71
120.38,121.08,121.08,120.18
121.17,121.28,121.48,121.00
121.32,121.92,122.47,121.25
122.55,123.18,123.24,122.27
123.51,122.89,123.51,122.46
122.80,122.84,122.95,122.17
122.90,121.96,122.91,121.80
121.89,122.47,122.76,121.89
123.02,123.46,123.80,122.91
122.96,122.41,123.41,122.03
123.09,123.28,123.56,122.74
122.98,123.78,123.95,122.86
123.85,123.38,123.85,122.52
123.68,124.13,124.59,123.49
124.15,123.84,124.18,123.59
123.85,124.09,124.35,123.85
124.78,124.20,124.78,123.70
124.11,124.47,124.61,124.02
124.55,124.24,124.81,124.03
124.50,124.88,125.00,124.42
124.87,122.64,124.88,122.64
122.39,121.29,122.46,120.75
121.87,122.56,122.56,121.70
123.22,120.33,123.22,120.30
120.66,121.00,121.22,119.85
121.06,122.96,123.36,120.98
122.70,122.75,123.74,122.70
122.15,122.46,122.78,120.99
122.27,123.13,123.17,121.97
123.87,124.90,124.97,123.87
125.24,125.09,125.59,124.87
125.23,125.24,125.40,124.87
125.95,126.20,126.27,125.06
125.90,126.09,126.19,125.75
126.10,125.97,126.17,125.51
126.07,126.51,126.66,125.91
126.85,127.29,127.29,126.75
127.08,126.83,127.24,126.55
125.61,126.43,126.99,125.61
126.67,126.17,126.98,125.06
126.96,127.54,127.67,126.66
126.66,126.34,127.40,126.01
126.74,126.95,126.95,126.51
127.02,126.19,127.38,125.61
126.94,126.97,127.02,126.25
126.20,127.15,127.23,125.71
125.98,128.14,128.23,125.98
128.19,126.71,128.25,126.35
127.43,126.39,127.57,126.01
126.67,124.27,126.69,123.89
124.50,124.99,124.99,124.24
123.11,124.80,124.81,122.77
125.06,125.75,125.78,124.29
126.04,125.79,126.28,125.17
126.14,127.64,127.73,126.14
127.67,128.14,128.72,127.59
127.81,127.89,127.98,127.11
127.29,123.77,127.29,123.55
124.79,125.84,125.88,124.37
125.21,123.77,125.21,122.95
124.21,122.95,124.21,122.43
124.42,125.41,125.48,123.54
125.62,125.94,126.18,124.18
126.66,127.36,127.57,126.34
127.27,127.45,127.63,126.89
127.79,128.48,129.12,127.79
128.17,127.90,128.42,127.38
128.38,128.65,128.95,128.11
128.71,129.65,129.65,128.19
129.29,127.38,129.49,127.27
127.88,128.66,128.85,127.55
129.93,130.38,131.06,129.64
130.44,131.20,131.39,130.31
131.36,132.35,132.39,131.22
132.19,133.02,133.02,132.00
132.88,132.67,133.27,132.28
132.88,133.69,133.69,132.66
133.44,133.49,133.79,132.91
133.69,135.12,135.12,133.65
134.92,135.62,135.81,134.83
135.54,134.81,135.88,134.63
135.36,136.19,136.29,135.18
136.00,136.00,136.64,135.80
136.01,136.34,136.63,135.80
136.52,133.89,137.34,133.31
132.15,133.75,133.91,131.97
133.08,133.25,133.32,131.94
134.99,134.32,135.55,133.67
133.39,133.00,133.58,132.00
133.22,134.03,134.32,133.22
133.42,132.51,134.59,132.51
132.77,131.91,132.77,130.68
131.98,131.06,132.70,130.35
130.63,129.00,130.97,129.00
129.16,130.76,130.76,128.83
131.57,132.03,132.22,130.40
132.68,132.02,132.70,131.34
130.82,130.50,131.78,129.79
131.28,129.23,131.40,128.93
129.12,131.52,131.76,128.87
131.31,130.99,131.96,130.68
132.05,131.79,132.22,131.18
131.94,132.92,133.14,131.94
