EZJ,ProShares Ultra MSCI Japan,NASDAQ
65.40,65.64,65.64,65.40
64.21,64.20,64.21,64.20
63.89,63.97,63.97,63.43
61.65,61.65,61.65,61.65
64.49,65.72,65.72,64.49
67.14,67.04,67.14,66.78
66.71,67.05,67.05,66.71
67.57,67.83,67.83,67.30
68.01,68.01,68.01,68.01
66.12,67.18,67.18,66.12
66.92,67.09,67.78,66.92
67.53,67.53,67.53,67.53
67.53,67.53,67.53,67.53
67.53,67.53,67.53,67.53
67.53,67.27,67.53,67.27
67.27,67.27,67.27,67.27
67.27,67.27,67.27,67.27
67.03,67.03,67.03,67.03
67.83,67.25,68.14,67.25
65.58,65.42,65.58,65.33
65.42,65.42,65.42,65.42
65.64,65.71,65.71,65.64
65.71,65.71,65.71,65.71
64.77,63.77,64.77,63.77
64.96,65.00,65.00,64.96
64.80,63.46,64.80,63.46
66.97,68.27,68.27,66.97
69.09,68.83,69.62,68.63
69.62,69.87,69.87,69.40
71.23,68.67,71.23,68.67
70.48,69.59,70.48,69.59
69.59,69.59,69.59,69.59
68.25,69.19,69.32,68.25
69.59,69.59,69.59,69.59
67.22,65.65,67.22,65.65
67.91,68.12,68.12,67.79
71.05,71.35,71.50,71.05
70.00,71.19,71.19,70.00
71.19,71.19,71.19,71.19
68.00,67.85,68.00,67.74
70.53,70.62,70.62,70.53
68.28,68.23,68.51,68.23
67.74,67.55,67.74,67.55
67.68,68.19,68.19,67.68
70.24,70.45,70.55,70.24
71.63,72.79,72.97,71.63
72.59,73.50,73.50,72.59
72.60,74.06,74.16,72.60
73.80,72.40,73.80,72.36
72.60,71.66,72.60,71.66
72.72,72.72,72.72,72.60
72.70,72.28,72.70,72.28
74.21,74.79,74.79,74.21
76.05,75.00,76.13,75.00
74.38,73.30,74.38,73.30
74.75,74.75,74.75,74.75
73.36,73.76,73.78,73.36
74.72,74.61,74.73,74.16
75.68,75.25,75.68,75.25
75.77,75.81,75.81,75.56
75.81,75.81,75.81,75.81
76.57,76.22,76.57,76.22
77.13,77.18,77.18,77.13
78.70,79.10,79.10,78.65
77.38,77.05,77.38,77.00
77.90,78.49,78.83,77.90
79.00,79.56,79.59,79.00
79.41,79.00,79.64,78.79
78.95,77.64,79.00,77.64
79.50,79.25,79.53,79.24
79.22,79.11,79.51,78.67
78.21,78.44,78.44,78.10
80.00,79.93,80.00,79.93
80.77,81.44,81.45,80.77
82.08,81.58,82.50,81.57
81.30,81.30,81.30,81.30
81.30,81.30,81.30,81.30
81.30,81.30,81.30,81.30
80.42,79.50,80.42,79.34
78.85,78.00,78.85,78.00
78.50,79.36,79.46,78.50
80.50,80.02,80.50,79.76
80.19,80.19,80.19,80.19
80.75,80.75,80.75,80.75
78.05,77.99,78.40,77.99
78.45,78.24,78.45,78.24
81.26,81.51,81.51,81.26
82.23,82.73,82.80,82.10
82.49,84.55,84.55,82.05
83.88,83.92,83.98,82.95
83.72,84.29,84.42,83.72
84.43,85.16,85.16,84.30
83.68,82.90,83.81,82.90
82.65,83.89,83.95,82.65
83.80,83.75,83.80,83.75
84.53,85.18,85.18,84.53
84.75,84.23,84.82,84.23
85.50,86.74,86.74,85.50
87.34,87.95,88.24,87.34
87.54,87.70,87.88,87.31
84.52,83.21,85.08,83.21
83.20,83.50,83.50,82.31
82.96,82.91,82.96,82.76
85.01,84.81,85.01,84.81
86.57,86.95,87.24,86.14
87.50,85.67,87.50,85.67
84.49,84.74,85.39,84.49
85.68,86.53,86.53,85.50
85.51,84.85,85.51,84.00
84.21,82.25,85.37,82.25
82.27,83.22,83.22,81.82
83.22,83.22,83.22,83.22
80.11,78.85,80.11,78.57
75.41,76.12,76.46,72.54
62.73,65.31,66.17,61.83
55.93,64.82,66.16,55.15
63.45,60.36,63.84,57.85
66.17,65.38,67.48,64.21
66.64,69.15,70.10,65.94
71.12,73.31,73.47,70.72
72.21,72.57,72.67,70.39
70.46,71.83,72.39,69.75
70.39,71.98,72.44,70.32
69.61,68.56,70.26,68.35
68.95,68.25,69.38,68.24
67.11,67.97,68.21,67.00
69.65,69.91,70.64,69.50
68.98,68.37,69.04,68.18
67.52,68.39,68.53,66.80
67.09,66.37,67.09,66.23
63.74,63.80,64.31,63.36
62.86,62.63,63.03,62.40
62.77,61.42,62.91,60.36
64.20,63.85,64.64,63.71
63.80,62.78,64.41,62.78
63.11,63.11,63.51,62.66
64.38,63.70,64.71,63.46
64.30,64.53,64.93,64.12
64.62,64.59,65.08,64.23
63.20,64.09,64.09,62.69
64.29,64.52,64.54,63.58
66.00,66.27,66.62,65.73
67.11,66.98,67.11,66.63
66.64,66.57,66.64,66.11
66.08,66.76,67.05,66.00
66.75,66.90,67.12,65.90
69.15,70.43,70.49,69.04
70.52,70.66,70.94,70.40
71.67,71.38,72.39,71.16
71.56,71.21,71.62,70.40
70.93,70.69,70.98,70.07
70.29,69.76,70.68,69.03
71.55,70.57,72.00,70.44
70.59,71.10,71.25,70.22
71.78,71.79,72.00,71.46
70.01,69.60,70.40,69.15
69.27,69.71,70.07,68.60
69.11,67.06,69.11,66.78
66.58,66.24,67.18,66.05
65.62,66.10,66.50,64.75
66.78,66.98,67.46,66.77
65.33,65.46,65.73,64.80
64.55,64.01,64.70,63.63
62.15,61.99,62.39,61.74
63.06,63.34,63.74,62.76
63.00,63.65,64.00,62.76
64.39,64.74,65.03,64.30
64.95,64.80,65.50,64.73
66.87,67.45,67.47,66.53
66.98,65.25,66.98,65.17
65.67,65.56,65.83,64.75
64.54,64.26,64.97,64.24
64.09,63.26,64.09,63.12
64.72,64.34,65.02,64.21
64.74,64.18,64.96,64.18
64.94,64.88,65.47,64.88
64.67,63.66,64.67,63.26
63.78,63.91,63.95,63.25
65.33,66.20,66.62,65.33
64.58,63.56,64.88,63.30
63.10,63.20,64.09,62.50
63.84,63.59,64.10,63.54
63.32,63.67,64.05,63.32
64.83,65.82,65.92,64.76
66.15,65.54,67.01,65.54
64.71,65.38,65.54,64.35
66.89,66.09,67.09,66.08
65.72,65.73,65.87,65.58
66.06,67.15,67.15,66.06
68.38,69.20,69.37,68.15
69.60,70.13,70.70,69.49
69.68,71.48,71.84,69.41
71.15,71.73,72.02,70.85
72.14,72.64,72.64,71.76
72.79,73.45,73.64,72.55
72.03,72.39,72.70,71.70
71.50,70.70,71.50,70.21
71.41,70.91,72.15,70.72
73.39,73.63,74.45,72.93
73.62,72.38,73.62,71.94
73.49,73.27,73.67,73.04
71.96,71.48,72.24,70.62
72.80,73.30,73.44,72.80
73.93,74.79,74.90,73.72
74.57,76.18,76.29,74.57
76.24,76.60,76.60,75.66
75.34,75.71,76.03,75.07
76.17,76.27,76.66,75.70
75.03,73.46,75.03,73.31
73.60,73.22,74.38,72.91
72.80,73.78,73.87,72.57
75.17,72.53,75.17,71.94
72.59,71.45,73.36,71.38
71.16,71.44,71.55,69.74
65.83,62.85,66.21,62.49
64.72,63.95,65.15,60.96
61.93,57.84,62.62,57.74
61.38,63.71,63.71,59.60
60.87,57.76,60.87,57.76
60.13,62.85,62.85,60.06
61.48,61.02,61.70,61.02
62.29,62.81,62.81,61.88
61.41,61.75,61.75,61.07
61.57,61.79,61.79,61.54
58.68,57.64,58.68,57.30
57.18,56.39,59.15,56.39
57.85,56.56,57.85,56.56
57.84,58.45,58.45,57.57
56.99,57.34,58.06,56.60
57.50,55.82,57.50,55.60
56.99,58.06,58.65,56.45
59.35,59.66,59.72,59.11
59.21,59.13,59.76,58.90
61.37,61.50,61.76,60.96
60.74,60.43,61.15,60.22
58.50,58.04,58.93,58.04
54.67,55.56,55.65,54.33
57.00,57.82,57.88,56.90
57.21,56.44,57.52,56.04
55.00,53.90,55.08,53.62
53.47,54.85,54.85,53.02
56.00,57.00,57.00,55.86
56.38,57.13,58.19,56.01
57.81,58.49,58.49,57.32
59.29,59.55,59.55,58.46
57.61,58.01,58.26,56.57
57.52,57.86,58.80,57.52
57.86,57.86,57.86,57.86
54.82,54.33,55.38,53.49
54.05,54.68,55.38,54.05
54.68,55.69,55.69,54.01
58.09,57.33,58.75,57.04
58.98,57.25,59.00,57.25
59.29,58.91,59.69,58.42
57.45,56.32,57.50,56.32
56.11,54.87,57.00,54.87
53.74,55.79,55.79,53.35
53.80,55.03,55.31,53.80
55.70,55.80,56.06,55.70
56.08,55.72,56.08,55.25
57.60,57.38,57.92,57.38
57.11,57.25,57.43,56.99
58.00,58.18,58.42,57.82
58.03,57.93,58.03,57.33
57.78,57.49,57.78,56.86
57.98,57.81,58.00,57.43
58.50,59.00,59.00,58.50
57.68,57.68,57.68,57.68
56.50,56.35,56.52,55.87
57.75,57.66,57.75,57.66
58.50,58.69,59.10,58.50
57.64,57.25,57.88,57.16
58.41,57.37,58.45,57.37
61.57,61.56,62.19,61.10
61.57,62.30,62.30,61.55
56.54,55.04,56.54,55.04
53.80,53.94,54.39,53.49
53.78,54.11,54.12,53.44
54.95,54.97,55.26,54.24
54.64,54.51,54.64,53.90
54.95,55.51,55.58,54.40
54.72,55.27,55.27,54.11
53.90,52.96,53.95,52.69
53.23,53.02,53.33,52.50
53.61,53.97,54.12,53.61
53.87,53.82,53.98,53.42
53.70,53.61,54.24,53.15
52.90,51.90,53.07,51.89
52.88,51.68,52.88,51.51
52.63,52.50,52.63,52.16
50.67,50.13,50.67,49.90
51.00,50.80,51.05,50.80
49.87,48.74,49.87,48.74
48.78,48.44,49.51,48.44
51.06,50.96,51.22,50.86
51.41,51.61,51.79,51.41
54.37,54.93,55.00,54.30
54.34,54.19,54.34,54.19
54.75,54.11,55.19,54.07
55.08,54.68,55.08,54.68
53.81,53.60,53.81,53.60
54.14,54.64,54.64,53.94
54.36,52.98,54.42,52.86
54.41,54.53,54.53,54.33
52.80,52.81,52.99,52.28
53.81,52.12,54.01,52.12
51.63,51.55,51.63,51.55
51.52,51.07,51.52,50.75
50.84,50.52,51.01,50.20
50.33,49.25,50.41,49.24
51.07,51.36,51.67,51.07
50.57,50.64,50.67,50.10
50.61,51.08,51.28,50.38
51.33,51.92,51.93,51.33
51.32,50.76,51.32,50.76
50.19,49.72,50.20,49.52
50.37,51.41,51.41,50.37
51.85,52.38,52.38,51.85
54.13,54.36,54.46,54.13
54.46,54.35,54.64,54.15
53.00,53.05,53.33,52.82
52.69,51.77,52.69,51.77
52.33,52.24,52.33,51.77
53.38,53.57,53.57,53.17
52.57,53.12,53.12,52.56
52.55,52.73,52.75,52.43
52.73,52.73,52.73,52.73
53.24,52.89,53.32,52.88
53.50,54.11,54.24,53.50
54.75,54.98,54.98,54.71
55.68,56.34,56.34,55.68
56.74,56.61,56.86,56.51
55.49,55.55,55.74,55.17
55.87,57.15,57.26,55.87
57.75,56.72,57.75,56.58
57.31,57.30,57.59,57.19
56.81,56.85,57.20,56.78
57.42,57.24,57.50,56.71
57.98,58.08,58.13,57.95
58.71,58.56,58.71,58.40
58.60,58.93,58.96,58.35
58.48,58.48,58.60,58.47
59.05,59.75,59.75,59.05
60.04,60.26,60.26,59.84
60.71,60.00,60.71,60.00
58.20,58.22,58.45,58.08
59.37,59.64,59.65,59.37
59.41,59.12,59.41,59.12
61.72,61.10,61.93,61.10
61.05,62.22,62.22,61.05
62.94,62.52,62.94,62.22
62.33,62.08,62.50,61.71
62.82,62.70,62.93,62.46
62.70,63.50,63.70,62.70
63.94,63.63,64.33,63.63
62.20,63.17,63.17,62.06
64.80,65.16,65.20,64.58
64.57,62.52,64.60,62.52
62.90,63.33,63.39,62.90
62.20,62.26,62.37,62.01
61.81,61.60,61.81,61.38
60.02,60.28,60.28,59.88
61.11,61.17,61.61,61.00
63.13,63.22,63.45,62.85
63.51,63.46,63.85,63.22
62.44,62.46,62.68,62.37
62.65,63.70,63.71,62.40
62.82,62.20,62.82,62.20
63.41,63.42,63.59,63.18
64.25,63.82,64.43,63.82
63.79,64.37,64.38,63.75
62.80,63.17,63.32,62.67
62.26,62.28,62.28,62.02
62.39,62.53,62.90,62.16
62.47,62.53,62.53,62.23
62.91,63.14,63.15,62.91
64.65,64.27,64.78,64.27
64.71,64.60,64.71,64.51
64.46,64.38,64.46,63.63
65.00,64.71,65.00,64.52
64.22,64.89,65.26,64.00
63.19,63.19,63.19,63.19
60.64,60.19,60.82,59.57
60.68,60.48,60.80,60.48
59.51,59.84,59.93,59.51
59.17,58.11,59.51,58.11
59.50,59.68,59.68,59.12
59.91,60.60,60.69,59.86
60.00,59.06,60.00,59.06
59.64,59.29,59.66,59.29
59.96,60.42,60.51,59.96
59.00,59.53,60.00,58.99
58.54,58.91,58.91,58.54
58.91,58.91,58.91,58.91
58.07,57.81,58.07,57.65
59.06,58.70,59.11,58.65
59.51,59.51,59.51,59.51
59.74,59.86,60.17,59.74
59.13,59.49,59.49,59.13
59.34,59.00,59.34,58.89
57.54,57.54,57.54,57.54
57.00,57.17,57.17,57.00
56.60,56.69,56.69,56.60
56.19,55.83,56.19,55.50
55.48,56.08,56.62,55.48
54.88,55.25,55.25,54.30
53.96,54.54,54.54,53.42
55.09,54.81,55.09,54.75
53.49,53.54,53.54,53.49
52.90,52.37,52.90,52.37
51.76,51.29,52.06,51.29
50.28,50.00,50.36,50.00
51.04,50.82,51.04,50.58
50.37,49.25,50.37,49.25
49.47,50.25,50.25,49.47
50.25,49.91,50.50,49.91
48.78,48.70,48.98,48.13
49.15,48.58,49.38,48.58
48.47,49.00,49.00,48.47
49.55,49.23,49.69,49.14
48.73,48.23,48.73,48.23
49.32,48.99,49.54,48.91
47.65,46.55,47.73,46.55
47.50,47.51,47.67,46.76
47.51,47.51,47.51,47.51
49.91,50.11,50.12,49.91
50.34,50.25,50.34,50.25
48.75,48.76,48.76,47.89
49.00,48.41,49.00,48.35
48.41,48.41,48.41,48.41
48.41,48.41,48.41,48.41
48.41,48.41,48.41,48.41
50.39,51.16,51.18,50.39
51.56,51.56,51.56,51.56
52.05,52.05,52.05,52.05
52.50,52.76,52.91,52.32
52.91,51.24,52.91,51.14
51.63,51.79,52.03,51.49
50.79,50.65,50.80,50.11
51.10,51.10,51.10,51.10
51.81,52.36,52.36,51.81
53.00,53.71,53.71,52.86
55.32,55.89,55.89,55.13
55.45,55.68,55.86,55.29
56.01,56.84,56.98,56.01
55.51,55.74,55.89,55.38
55.74,55.74,55.74,55.74
53.92,53.92,53.92,53.88
53.55,53.51,53.55,53.15
53.71,53.55,53.75,53.12
51.77,52.04,52.11,51.54
52.92,52.92,52.92,52.92
52.56,52.49,52.79,52.26
52.09,52.10,52.10,52.09
52.55,52.55,52.79,52.44
53.01,53.06,53.11,53.00
53.06,53.06,53.06,53.06
48.90,49.31,49.31,48.90
48.77,48.30,48.77,48.23
48.17,48.67,48.67,48.13
49.76,50.00,50.00,49.42
50.95,51.10,51.10,50.95
51.10,51.10,51.10,51.10
51.50,51.15,51.50,51.15
51.15,50.94,51.31,50.85
50.05,49.56,50.05,49.56
51.37,51.34,51.37,51.34
52.66,52.48,52.81,52.48
53.55,53.76,54.00,53.55
53.16,53.07,53.42,53.07
53.79,53.79,53.79,53.79
53.50,53.53,53.53,53.40
53.53,53.53,53.53,53.53
53.29,53.40,53.40,53.08
52.82,52.82,52.82,52.82
54.19,54.19,54.39,54.19
55.13,54.98,55.22,54.70
54.58,54.55,54.58,54.55
54.55,54.55,54.55,54.55
54.55,54.55,54.55,54.55
54.55,54.55,54.55,54.55
53.90,54.50,54.68,53.90
53.94,54.06,54.06,53.94
52.89,53.40,53.43,52.89
53.67,53.67,53.67,53.67
52.42,51.97,52.42,51.81
51.50,51.08,51.85,51.08
49.78,50.45,50.45,49.78
49.33,49.28,49.42,49.11
50.19,50.63,50.63,50.19
51.68,51.57,51.99,51.57
51.95,51.57,52.22,51.56
52.10,52.24,52.32,52.10
53.37,53.09,53.38,53.09
53.75,54.90,54.90,53.75
55.86,56.17,56.21,55.86
55.62,55.02,55.62,54.98
55.22,55.22,55.22,55.22
55.65,55.65,55.65,55.65
54.50,54.50,54.50,54.38
55.40,55.40,55.40,55.40
54.37,54.37,54.37,54.37
55.43,54.90,55.43,54.84
53.67,53.59,53.67,53.55
54.68,54.68,54.68,54.68
52.95,52.70,52.95,52.59
53.12,52.69,53.12,52.65
52.47,52.47,52.47,52.47
51.86,51.63,51.86,51.63
52.45,52.73,52.73,52.45
52.91,53.00,53.18,52.89
52.33,52.22,52.33,51.98
50.82,50.50,50.86,50.50
49.44,49.66,49.66,49.24
49.98,50.24,50.55,49.98
50.37,49.95,50.37,49.91
50.35,51.07,51.07,50.35
52.20,52.58,52.58,52.18
53.07,53.06,53.07,53.06
53.61,53.48,53.62,53.41
53.18,52.52,53.18,52.52
52.52,52.52,52.52,52.52
51.57,51.57,51.57,51.57
52.09,51.11,52.09,51.11
52.65,52.42,52.65,52.42
52.42,52.42,52.42,52.42
51.72,51.55,51.72,51.39
52.04,51.83,52.04,51.83
52.02,51.87,52.03,51.71
51.35,51.58,51.58,51.35
51.70,51.71,51.71,51.70
50.27,50.46,50.46,50.27
50.40,50.20,50.40,50.05
50.01,50.22,50.22,50.01
49.12,48.99,49.12,48.99
49.41,49.41,49.41,49.41
48.45,48.21,48.45,48.21
49.41,49.41,49.41,49.41
50.87,51.07,51.09,50.86
52.97,52.74,53.00,52.74
51.97,52.30,52.30,51.84
52.33,52.49,52.49,52.33
53.45,53.70,53.99,53.45
53.65,53.75,53.75,53.36
53.74,53.19,53.74,53.08
52.55,53.38,53.40,52.55
54.26,54.63,54.63,53.97
54.14,54.32,54.32,54.01
54.00,53.99,54.00,53.99
54.07,54.04,54.07,54.04
54.18,54.00,54.30,54.00
54.43,54.29,54.43,54.15
54.56,54.68,54.75,54.56
54.27,54.32,54.49,54.20
54.41,54.32,54.64,54.32
54.60,54.76,55.24,54.60
54.40,54.16,54.40,54.16
54.99,55.10,55.10,54.79
55.57,55.90,55.93,55.43
57.05,57.73,57.73,57.02
59.23,59.56,59.64,59.07
59.96,60.77,60.78,59.90
59.34,60.03,60.03,58.77
60.18,60.40,60.40,60.05
61.52,60.15,61.98,59.81
60.24,60.33,60.45,59.34
60.49,59.50,60.49,59.50
59.40,60.62,61.75,58.18
62.68,63.28,63.28,62.54
63.11,62.32,63.15,62.32
61.73,61.86,62.00,61.39
60.38,60.56,60.98,60.13
59.73,59.07,59.73,58.52
60.25,60.69,60.69,60.24
61.84,61.67,61.84,61.37
62.11,61.98,62.11,61.60
63.00,62.80,63.00,62.47
61.83,62.30,62.30,61.71
60.59,61.16,61.16,60.00
60.86,61.40,61.51,60.62
62.02,61.86,62.03,61.51
60.58,60.47,60.58,59.96
59.80,59.55,59.85,59.50
60.50,60.94,61.37,60.50
61.90,61.70,62.25,61.17
60.55,60.20,60.55,59.65
61.72,61.67,61.84,61.50
62.59,62.87,63.27,62.50
62.99,62.96,63.20,62.72
62.53,63.10,63.10,62.36
63.32,62.86,63.32,62.59
62.30,62.42,62.48,62.08
62.90,63.73,63.73,62.90
64.21,64.40,64.44,63.35
63.59,64.16,64.23,63.53
64.76,65.31,65.47,64.58
64.37,64.66,64.67,64.08
63.96,63.78,63.96,63.60
62.76,62.77,62.83,62.40
62.41,62.45,62.53,62.23
63.52,63.96,63.96,63.50
65.52,64.64,65.53,64.47
63.52,62.90,63.52,62.36
64.29,64.80,64.80,64.29
65.04,63.18,65.04,62.97
65.14,65.52,65.52,64.85
64.61,65.41,65.41,64.26
65.96,66.29,66.48,65.69
66.88,66.96,67.32,66.54
67.44,67.92,67.92,67.00
67.92,68.24,68.31,67.69
69.53,69.72,69.87,69.21
68.85,68.78,69.22,68.27
68.33,69.45,69.73,68.22
69.71,70.05,70.09,69.39
69.11,68.66,69.20,68.45
68.56,69.40,69.80,68.56
70.24,70.37,70.37,69.69
71.08,71.25,71.40,70.96
70.67,70.91,71.65,70.36
71.49,71.31,71.59,70.89
72.16,72.56,72.96,72.15
73.06,72.60,73.23,72.56
72.40,73.11,73.29,72.35
73.20,71.79,73.20,71.71
72.64,73.15,73.23,72.31
73.15,74.01,74.14,73.15
73.07,73.50,73.95,72.80
68.89,68.45,69.40,67.73
68.72,69.42,69.49,68.19
70.68,68.98,71.70,68.98
74.16,75.10,75.10,74.03
74.68,75.81,76.10,74.27
75.79,77.44,77.44,75.55
75.50,75.82,76.59,74.91
78.00,79.32,79.32,77.99
80.31,81.11,82.17,79.99
81.19,81.20,81.32,80.19
80.36,79.25,80.98,79.25
80.49,81.20,81.31,80.27
81.09,80.39,81.09,79.25
79.51,78.95,79.51,78.19
79.14,80.74,80.74,78.99
79.79,80.65,80.92,79.38
80.55,82.34,82.37,80.55
82.37,83.32,83.91,82.37
83.66,84.20,85.00,83.66
83.91,83.65,84.13,82.82
83.76,84.64,85.00,83.76
85.16,85.95,85.95,84.71
85.16,84.23,85.16,84.14
84.72,84.53,85.60,84.35
85.93,86.89,87.61,85.93
86.76,86.89,86.90,86.25
86.46,86.52,87.13,86.26
86.93,88.20,88.36,86.93
86.43,86.73,87.35,85.47
86.14,86.70,87.08,85.90
88.36,89.28,89.43,88.22
88.69,90.45,90.68,88.69
91.33,91.55,91.90,91.07
89.98,89.07,91.28,89.02
90.41,91.76,92.04,89.86
93.11,93.12,93.44,92.70
93.43,94.50,94.79,93.37
95.28,92.05,96.97,91.71
79.70,84.60,84.89,75.54
79.76,81.29,81.51,78.68
80.72,80.27,82.40,79.45
78.01,77.49,78.15,76.37
75.44,76.85,77.25,75.39
73.89,73.55,75.00,73.39
70.87,71.50,72.20,69.51
76.28,75.53,76.70,74.74
71.50,69.90,71.72,69.83
69.15,69.96,70.06,66.74
71.14,75.04,75.53,71.00
77.98,77.15,78.60,76.45
74.85,74.25,75.74,73.35
76.93,74.45,76.98,74.12
75.61,78.08,78.20,74.79
74.72,73.40,75.57,73.11
78.24,77.22,79.62,76.31
79.59,79.60,80.61,79.56
80.25,77.52,81.00,77.41
