HON,Honeywell International Inc. Common Stock,NASDAQ
42.57,41.81,42.70,41.56
41.15,41.29,41.53,41.06
41.12,41.32,41.51,41.07
41.03,41.18,41.37,40.51
41.88,42.39,43.02,41.65
42.27,42.16,42.39,41.73
41.89,40.77,41.89,40.46
40.36,40.64,40.75,40.05
40.77,40.16,41.05,40.14
39.69,39.34,39.71,38.72
38.94,38.82,39.10,38.08
39.20,38.70,39.36,38.57
39.06,39.65,39.69,38.39
39.42,38.86,39.75,38.83
38.74,39.06,39.29,38.29
39.59,40.88,41.11,39.45
40.96,42.01,42.01,40.96
42.36,42.82,43.25,42.36
42.48,41.93,42.68,41.84
41.90,42.19,42.52,41.90
42.78,41.97,42.92,41.81
42.16,42.81,42.89,41.93
43.31,43.30,43.59,43.09
43.28,43.54,43.79,43.05
43.36,43.57,43.63,43.15
43.34,43.73,43.86,43.31
43.89,43.82,44.08,43.54
44.04,44.31,44.41,43.68
44.35,44.31,44.51,43.89
44.13,43.68,44.32,43.38
43.58,43.23,43.96,43.09
43.70,44.46,44.49,43.70
44.51,43.84,44.51,43.70
43.95,44.19,44.32,43.20
43.90,44.04,44.29,43.74
44.35,43.94,44.89,43.70
44.22,44.15,44.71,44.02
44.15,43.61,44.54,43.41
44.05,45.01,45.23,43.99
45.01,45.72,45.85,45.00
45.86,45.48,45.86,45.06
45.57,45.75,45.89,45.17
45.67,45.61,45.85,45.41
45.40,45.55,45.67,44.75
45.87,46.41,46.68,45.72
46.38,46.17,46.40,45.73
46.56,46.49,46.70,45.93
46.51,47.00,47.02,46.30
46.30,46.16,46.83,45.72
46.34,46.41,47.29,46.26
46.71,46.67,47.26,46.38
46.64,47.26,47.35,45.35
47.75,47.53,48.28,47.44
47.42,47.28,47.46,46.89
46.64,47.09,47.15,46.26
47.47,47.10,47.78,46.63
46.88,47.11,47.21,46.61
46.93,46.80,47.37,46.56
47.07,47.24,47.40,46.93
47.39,47.44,47.60,46.74
47.97,49.01,49.02,47.85
49.00,49.28,49.34,48.75
48.97,49.11,49.38,48.75
49.33,49.02,49.33,48.75
48.98,48.83,48.98,48.48
48.49,48.31,48.71,47.90
48.04,47.52,48.20,47.20
47.65,47.59,48.07,47.52
47.95,48.44,49.50,47.95
48.50,48.82,49.12,48.17
49.44,49.74,49.97,49.31
49.64,49.78,49.79,49.13
49.39,49.65,50.05,49.03
49.20,49.60,49.92,49.08
49.83,50.41,50.44,49.73
49.79,50.13,50.29,49.55
49.78,49.93,50.05,49.19
49.62,49.71,50.04,49.10
50.41,50.88,51.23,50.41
50.84,51.19,51.49,50.60
51.09,51.45,51.54,50.77
51.28,51.17,51.41,50.95
51.63,51.43,51.93,51.30
51.43,51.37,51.82,51.13
51.66,51.34,51.77,51.25
51.51,51.98,52.29,51.37
52.23,52.00,52.40,51.89
52.27,52.53,52.81,52.00
51.98,51.54,52.55,51.35
51.54,53.41,53.42,51.54
52.99,52.99,53.34,52.39
53.23,52.91,53.29,52.83
53.26,53.53,53.64,52.98
53.45,53.72,53.74,53.22
53.53,53.43,53.64,53.15
53.04,53.39,53.49,52.91
53.62,53.51,53.62,53.06
53.66,53.30,53.71,53.23
53.20,52.96,53.30,52.82
52.94,53.16,53.37,52.72
53.49,54.21,54.42,53.45
54.26,53.48,54.28,52.98
53.19,54.37,54.65,53.14
54.55,54.36,54.56,53.71
54.59,54.30,54.68,53.81
54.34,53.90,54.34,53.40
54.18,54.00,54.36,53.70
54.47,54.72,54.80,54.16
54.60,54.59,54.84,54.41
54.48,55.02,55.03,54.37
55.03,54.76,55.25,54.58
54.83,54.34,54.93,54.07
54.24,54.58,55.84,53.96
55.10,54.49,55.20,54.43
54.58,55.37,55.63,54.47
55.22,55.38,55.45,54.69
55.57,55.77,56.09,55.15
55.96,55.92,56.03,55.36
55.69,55.32,56.99,54.59
55.26,56.01,56.01,54.75
56.32,56.94,57.00,56.09
56.56,57.41,57.83,56.56
57.17,57.17,57.70,57.03
57.20,57.12,57.30,56.52
57.27,57.13,57.42,56.97
57.26,57.39,57.48,57.13
57.13,57.34,57.54,56.94
57.21,57.47,57.63,57.07
57.32,57.98,58.07,57.08
57.72,57.60,58.03,57.20
57.35,57.37,57.45,56.94
57.15,57.20,57.59,56.78
57.11,57.36,57.53,56.88
57.44,57.99,58.02,57.36
57.16,56.23,57.47,55.95
56.33,55.64,56.99,54.92
55.14,56.48,56.61,55.06
56.66,57.28,57.49,56.60
57.06,57.91,58.08,57.01
58.09,56.45,58.19,56.40
56.59,55.55,56.72,55.06
56.22,57.29,57.53,56.22
57.28,56.51,57.35,55.82
56.79,56.19,57.47,55.72
56.27,57.30,57.58,55.76
56.97,56.71,57.44,56.28
56.54,55.79,56.54,55.43
55.76,56.27,56.49,55.47
55.72,56.01,56.26,55.13
54.45,55.54,55.96,54.19
55.36,54.33,55.51,53.74
55.09,55.21,55.71,54.82
55.84,55.86,56.52,55.56
56.74,57.04,57.47,56.64
57.09,56.54,57.26,56.51
56.38,57.10,57.27,56.30
57.40,57.73,57.73,56.90
57.72,57.39,57.90,57.38
58.38,58.32,59.08,58.09
58.34,59.60,59.63,57.80
59.87,59.59,59.88,59.40
59.61,59.71,59.95,59.56
59.96,59.26,60.02,59.08
59.45,59.23,59.81,59.08
59.09,59.05,59.49,59.01
59.29,58.85,59.49,58.59
58.69,58.49,59.16,58.30
58.93,58.30,59.00,57.80
58.35,58.26,58.75,57.92
57.98,57.53,58.16,57.30
57.60,57.31,57.64,56.95
56.95,57.50,57.61,56.31
57.55,57.75,57.88,57.11
57.11,57.11,57.24,56.34
57.15,57.46,57.61,56.80
58.39,58.74,59.48,57.77
60.00,60.72,61.10,59.40
60.52,60.32,60.72,60.21
60.61,62.00,62.00,60.58
62.10,61.46,62.10,61.27
61.40,61.01,61.68,60.99
61.10,61.23,61.52,61.00
61.67,61.54,62.28,61.31
61.55,61.80,61.85,61.26
61.62,60.32,61.85,60.22
59.88,60.15,60.99,59.32
60.80,60.95,61.68,60.62
61.10,61.62,62.01,60.91
61.83,61.76,61.98,61.38
61.61,61.28,61.87,60.96
61.31,60.86,61.40,60.60
60.98,60.51,61.24,60.30
60.44,60.12,60.94,60.00
59.90,58.98,60.12,58.68
58.90,59.55,59.69,58.22
59.97,59.49,60.13,59.13
59.38,58.99,59.51,58.55
58.12,58.48,58.92,58.01
58.48,58.25,58.76,57.76
58.06,58.87,59.28,57.81
58.33,58.50,58.70,57.81
58.89,59.19,59.44,58.57
59.96,59.55,60.10,58.95
59.37,57.53,59.54,57.42
57.65,57.95,58.21,57.33
56.79,57.25,57.91,56.66
57.11,57.45,57.66,56.77
57.76,56.85,57.80,56.79
56.56,56.07,56.77,55.93
56.07,56.46,56.78,55.86
56.30,55.53,56.30,55.38
55.78,55.71,56.08,55.37
56.32,57.19,57.50,56.25
56.66,56.05,56.87,55.97
55.97,56.35,56.56,55.76
56.94,55.85,57.00,55.73
55.94,56.43,56.66,55.76
56.96,57.81,57.95,56.78
57.52,57.01,57.71,56.94
56.31,56.50,56.55,55.53
56.56,56.35,56.76,56.16
56.54,56.79,56.94,56.15
57.03,58.38,58.40,56.72
58.52,58.62,58.91,58.18
58.79,59.59,59.95,58.76
59.49,60.19,60.45,59.15
59.68,59.46,60.17,59.36
59.50,59.69,59.95,59.26
60.36,60.44,60.65,60.13
59.67,59.54,59.82,59.20
58.62,58.31,59.03,58.15
58.01,57.28,58.30,57.20
57.76,57.59,58.27,57.39
57.70,57.01,57.98,56.88
57.29,57.25,57.34,56.65
56.93,56.57,56.98,56.21
56.83,57.43,57.60,56.81
57.63,57.34,57.80,57.04
57.71,58.21,58.55,57.56
57.03,56.40,57.23,55.52
55.85,56.30,56.68,55.80
56.33,55.34,56.40,55.27
55.03,53.46,55.12,53.46
53.74,53.00,54.46,52.87
52.19,53.10,53.85,51.99
54.01,53.06,54.04,52.18
52.62,51.20,53.06,51.19
51.32,51.59,51.65,49.89
50.58,48.69,50.90,48.65
49.42,47.98,49.78,47.24
46.26,44.29,47.38,44.23
45.25,46.76,46.80,43.76
45.71,43.22,45.85,43.08
43.73,44.63,45.32,43.16
45.19,46.88,46.98,44.63
47.10,47.23,47.81,46.84
46.74,46.03,47.03,45.82
46.12,45.99,46.87,45.45
44.45,42.76,44.47,42.13
42.31,42.19,43.89,42.12
43.72,41.94,43.84,41.62
42.25,44.16,44.16,41.93
44.11,44.82,44.95,43.81
45.00,44.73,45.51,44.06
44.31,45.48,45.88,43.55
46.18,47.00,47.06,46.00
46.88,47.29,47.67,46.28
47.96,47.81,48.45,47.33
47.74,46.88,48.36,46.77
45.95,45.45,46.33,45.28
44.08,45.05,45.21,43.40
45.96,47.03,47.03,45.67
46.66,45.93,47.29,45.72
45.32,44.72,45.87,44.40
44.11,44.14,44.71,43.12
44.20,44.57,45.23,43.88
44.93,45.41,46.13,43.92
45.99,46.64,46.66,45.75
46.99,47.13,47.50,46.31
46.18,47.32,47.61,46.12
47.48,46.75,47.70,46.69
46.68,44.87,47.08,44.86
43.28,41.97,43.51,41.50
41.77,42.43,42.98,41.64
43.00,43.80,43.88,42.20
45.03,45.14,45.95,44.84
45.24,44.27,45.71,44.19
45.27,45.00,45.80,43.87
44.02,43.91,45.35,43.82
43.55,42.32,43.99,42.32
41.69,43.66,43.69,41.22
43.90,44.37,44.52,43.26
44.23,45.06,45.11,43.70
45.42,45.49,46.24,45.04
46.34,47.16,47.40,46.34
46.92,47.37,47.73,46.63
47.77,48.49,49.16,47.73
48.09,47.89,48.12,47.14
48.55,49.45,49.45,48.47
49.23,47.70,49.23,47.55
47.74,49.33,49.82,46.91
49.21,48.82,49.77,48.60
48.89,48.46,49.35,47.85
50.22,51.28,51.42,49.85
51.14,51.77,52.09,51.10
51.32,50.71,51.89,50.55
51.08,51.40,51.80,50.63
53.28,54.07,54.52,53.10
53.84,53.88,54.17,53.50
53.06,52.40,53.34,52.39
50.86,51.20,52.03,50.41
52.02,52.45,52.93,52.02
53.14,53.94,54.20,52.51
53.37,53.95,54.12,53.06
53.94,53.96,54.05,52.88
54.69,54.65,54.82,53.51
53.19,52.83,53.63,52.44
53.64,53.56,54.09,53.33
54.40,54.79,55.81,54.40
54.69,54.71,54.99,54.38
54.44,54.78,55.20,54.02
53.67,53.29,54.39,53.21
53.13,52.60,53.67,52.10
52.99,52.75,53.18,52.32
51.43,51.30,51.56,50.16
51.06,50.96,51.48,50.66
50.41,49.19,50.41,49.15
48.87,49.14,49.97,48.82
50.83,51.66,51.68,50.76
51.97,51.56,52.71,51.52
52.98,54.15,54.19,52.89
53.88,54.17,54.70,53.85
54.51,54.13,55.37,54.05
55.15,54.70,55.55,54.23
54.99,54.60,55.08,54.17
54.13,53.94,54.25,53.25
53.69,52.87,54.14,52.70
53.04,54.00,54.23,52.95
53.84,52.89,53.87,52.39
53.13,52.31,53.87,52.04
52.00,51.55,52.25,51.43
52.27,52.41,52.80,51.78
52.86,53.10,53.71,52.53
53.49,52.29,53.63,52.10
53.29,54.36,54.46,53.27
54.24,54.19,54.41,53.49
54.29,54.64,54.73,54.05
54.74,54.98,55.00,54.52
54.79,54.95,55.16,54.64
55.04,53.98,55.12,53.94
54.18,54.79,54.89,53.92
54.77,54.35,54.90,54.27
55.28,55.58,55.96,55.23
55.49,55.53,55.64,55.15
55.31,55.59,55.78,54.73
55.72,55.18,55.72,55.04
55.49,55.64,55.75,54.98
56.24,56.58,57.00,56.11
56.26,56.46,56.66,56.06
56.76,57.19,57.33,56.47
56.75,56.70,56.83,56.18
57.33,57.16,57.70,57.04
57.15,58.19,58.25,57.04
58.23,58.50,58.56,57.90
58.43,57.38,58.43,56.78
57.45,57.62,58.40,57.31
57.18,57.63,57.68,56.99
57.31,58.11,58.32,56.50
58.80,57.83,58.91,57.50
57.12,58.27,58.71,56.82
57.95,58.18,58.28,57.50
58.39,58.04,58.57,57.61
58.64,58.94,59.34,58.64
58.94,59.03,59.23,58.54
59.63,60.74,60.79,59.50
60.06,60.31,60.52,60.00
59.98,60.16,60.31,59.51
60.07,59.87,60.26,59.61
59.87,59.89,60.09,59.66
59.42,59.33,59.43,58.76
59.81,60.14,60.28,59.35
59.84,59.84,60.09,59.31
60.11,59.00,60.11,58.81
59.00,59.47,59.57,58.96
59.87,60.10,60.26,59.77
60.48,59.89,60.59,59.68
59.41,59.51,59.82,59.17
58.98,59.00,59.25,58.33
59.00,59.27,59.67,58.86
58.75,59.70,59.90,58.70
59.72,59.75,60.13,59.53
59.73,59.57,60.20,59.53
59.35,60.12,60.19,59.30
60.11,59.75,60.22,59.62
59.80,59.10,59.92,59.02
58.37,57.77,58.53,57.55
57.65,57.74,57.96,57.31
58.84,59.49,59.61,58.36
59.80,59.78,60.17,59.37
59.81,59.26,59.92,59.14
59.71,60.37,60.45,59.38
60.40,60.52,60.99,60.32
60.53,60.85,60.91,60.22
60.79,60.37,60.83,60.22
60.24,60.46,60.80,60.13
60.09,59.48,60.09,59.33
59.40,59.47,59.81,59.22
59.01,59.75,59.82,58.38
59.85,60.16,60.23,59.34
60.80,61.78,61.85,60.76
61.85,61.30,62.00,61.29
61.17,60.75,61.30,60.23
60.13,60.70,60.83,59.81
61.23,61.05,61.40,60.84
60.57,61.12,61.39,60.37
60.91,60.63,61.32,60.37
60.11,60.15,60.23,59.79
59.84,59.49,60.01,59.48
58.72,57.89,59.02,57.87
57.65,56.58,57.79,56.57
57.28,57.08,57.63,56.84
57.20,58.79,58.88,57.09
58.60,58.07,58.65,57.99
58.58,58.00,58.69,57.85
58.53,58.93,59.15,57.97
58.60,58.73,58.96,58.34
58.66,58.00,58.92,57.62
59.86,59.39,60.50,59.36
59.00,59.20,59.25,58.54
59.52,59.93,60.25,59.26
60.47,60.48,60.84,60.18
60.37,61.00,61.16,60.27
61.26,61.29,61.45,60.96
61.06,60.66,61.21,60.34
60.48,60.93,61.47,60.20
60.46,60.64,60.72,60.02
60.63,60.47,60.88,60.06
60.15,59.31,60.22,59.21
59.14,59.52,59.63,59.01
59.13,59.37,59.48,58.58
58.58,58.37,59.06,58.16
58.85,58.57,59.10,58.36
58.22,58.55,59.20,58.09
57.96,58.15,58.59,57.50
58.06,57.48,58.55,57.35
57.59,57.14,58.06,57.09
57.07,55.48,57.27,55.43
55.78,55.23,55.98,54.98
55.32,57.03,57.11,55.32
57.34,57.28,57.70,56.92
56.55,57.62,57.72,56.08
57.74,57.27,57.88,56.53
57.41,56.75,57.56,56.45
57.31,57.20,57.42,56.81
56.72,56.20,56.72,56.10
56.20,55.66,56.24,54.78
54.21,53.94,54.53,53.80
53.76,53.20,53.85,52.55
53.00,53.29,53.51,52.81
53.79,54.66,54.66,53.52
55.31,55.37,56.23,55.21
55.37,55.99,56.03,55.18
56.67,55.13,56.69,55.05
55.36,56.05,56.09,55.04
55.76,55.12,55.83,54.84
55.39,55.22,55.81,54.74
55.53,56.04,56.05,55.45
55.74,55.88,56.08,55.51
56.21,56.58,56.72,56.09
56.67,56.54,56.84,56.03
56.80,55.43,56.99,55.39
55.33,55.51,55.73,55.11
54.77,53.72,54.83,53.67
53.82,53.26,53.94,52.84
53.40,54.00,54.13,53.38
53.11,52.92,53.61,52.21
54.38,55.84,55.86,54.02
55.94,55.16,56.19,54.63
54.97,55.59,55.94,54.72
55.40,56.09,56.38,55.30
55.30,54.89,55.39,54.32
54.74,55.21,55.29,54.38
55.33,53.71,56.17,53.45
53.73,53.70,54.33,53.49
53.31,53.60,53.97,52.73
53.66,54.58,54.71,53.60
54.37,54.48,54.64,53.60
54.62,54.54,54.93,53.86
56.31,58.18,58.49,55.90
58.25,57.95,58.62,57.46
57.74,57.74,58.40,57.36
56.76,57.44,57.71,56.45
57.41,56.68,57.54,55.93
56.97,56.80,57.65,56.33
57.85,57.74,58.67,57.38
58.21,59.01,59.52,57.82
58.80,58.39,59.32,58.17
58.15,58.05,58.60,58.01
58.40,58.00,58.64,57.77
57.60,57.32,57.66,56.70
58.45,58.91,59.14,58.40
59.29,58.64,59.50,58.64
59.00,58.57,59.45,58.50
58.28,58.93,59.11,58.17
58.83,58.97,59.21,58.63
58.70,59.01,59.03,58.44
58.70,58.71,59.01,58.33
58.87,58.43,58.96,58.17
58.40,58.47,58.62,58.20
58.11,58.76,59.01,58.05
58.97,59.50,59.56,58.60
59.35,59.50,59.63,59.25
59.70,59.11,59.98,58.92
59.09,58.88,59.17,58.60
58.66,58.48,58.83,58.29
58.20,58.36,58.54,57.66
58.49,58.39,58.76,58.08
58.22,58.56,58.78,58.11
58.76,58.73,58.77,58.24
58.25,58.11,58.49,57.96
58.57,58.45,58.83,58.16
58.48,57.52,58.50,57.16
57.50,57.37,57.80,57.23
57.87,59.02,59.26,57.87
59.23,59.90,59.92,59.17
59.77,59.56,59.86,59.47
59.72,59.79,60.17,59.48
59.89,60.10,60.28,59.64
59.85,61.12,61.25,59.43
61.08,61.02,61.95,60.70
60.77,61.72,61.76,60.72
61.63,61.39,61.80,60.93
61.30,61.28,61.52,60.93
60.75,60.55,60.95,60.25
60.95,60.52,61.16,60.50
60.15,60.13,60.33,59.60
60.24,59.31,60.50,59.29
59.41,59.44,59.66,58.64
59.90,60.24,60.49,59.69
59.84,59.75,60.15,59.32
60.37,60.80,61.30,60.10
61.21,61.45,61.56,60.89
61.47,60.96,61.73,60.89
61.41,61.27,61.67,61.14
61.70,61.43,61.93,61.22
61.04,61.28,61.42,60.64
61.31,60.68,61.36,60.51
60.59,60.24,60.77,60.17
60.70,60.29,60.98,60.29
60.58,60.20,61.06,60.05
60.37,60.85,60.92,60.17
61.20,61.52,61.60,61.03
61.17,61.89,61.95,61.17
61.80,61.42,61.87,60.92
60.80,62.49,63.48,60.80
62.14,62.28,63.48,61.62
61.49,61.55,61.69,60.98
61.47,61.02,61.76,60.84
62.26,61.43,62.27,61.08
61.39,61.49,61.84,61.03
61.73,61.24,61.93,60.86
61.26,62.63,63.03,61.26
63.05,62.43,63.18,62.26
62.36,62.80,62.97,62.18
62.74,63.53,63.89,62.74
62.74,62.12,62.91,61.72
62.05,61.30,62.49,61.29
60.92,60.83,61.53,60.63
60.94,61.44,61.66,60.80
61.01,61.24,61.99,61.00
61.30,59.96,61.49,59.83
59.91,59.33,60.32,59.05
59.08,59.15,59.30,58.29
59.82,60.44,60.49,59.72
60.30,60.61,60.81,60.12
60.60,60.59,60.82,60.36
60.77,61.26,61.26,60.70
60.60,60.66,60.88,60.22
60.65,60.62,61.18,60.54
60.25,61.24,61.29,59.85
61.45,61.34,61.71,60.88
61.42,61.33,61.50,61.06
61.56,60.59,61.70,60.55
60.54,60.52,60.95,60.24
60.77,61.57,61.71,60.38
61.41,61.52,61.54,60.94
61.77,61.97,62.00,61.35
61.82,61.86,62.00,61.50
62.00,61.65,62.28,61.51
61.95,61.10,62.00,61.05
61.16,61.74,62.00,61.01
61.63,61.55,61.90,61.44
61.69,62.39,62.47,61.57
62.50,63.96,64.05,62.39
64.00,63.77,64.35,63.76
63.85,64.29,64.49,63.78
63.40,64.21,64.31,63.40
63.71,63.67,64.49,63.40
63.78,63.81,64.28,63.65
63.73,63.74,63.93,62.98
63.24,62.92,63.64,62.85
62.72,63.47,63.53,62.21
64.67,64.75,65.09,64.16
64.60,65.00,65.50,64.54
65.25,66.33,66.45,65.25
66.07,66.36,66.80,66.00
66.25,65.74,66.26,65.54
66.05,66.54,66.54,65.87
66.87,66.42,66.87,66.09
66.35,66.31,66.50,66.10
66.40,66.76,66.76,66.12
66.27,66.88,66.97,66.18
66.54,66.73,66.73,66.38
67.00,67.31,67.50,66.74
67.48,67.81,67.81,67.14
67.75,68.40,68.40,67.63
68.30,68.27,68.40,68.05
68.36,68.24,69.21,68.05
69.16,68.33,69.25,67.95
69.21,68.92,69.21,68.57
68.92,69.09,69.20,68.60
68.91,68.67,69.21,68.62
68.40,68.24,68.69,68.07
68.97,69.15,69.56,68.62
68.74,68.56,68.94,68.39
68.98,69.88,70.17,68.96
69.53,69.92,70.00,69.31
69.92,70.37,70.44,69.58
70.28,70.53,70.79,70.18
70.42,70.09,70.46,69.92
70.07,70.42,70.57,69.96
70.42,70.18,70.78,69.89
70.00,70.09,70.38,69.78
70.38,70.11,70.44,69.77
70.23,70.93,70.95,70.03
70.81,70.35,71.43,70.34
69.64,69.80,69.98,69.34
70.00,69.89,70.24,69.54
69.89,68.95,70.13,68.95
69.07,69.12,69.55,68.84
69.10,70.35,70.51,69.02
70.39,70.10,70.87,70.10
69.71,70.05,70.26,69.23
69.59,69.70,69.85,68.90
70.00,70.68,70.87,69.97
70.82,71.27,71.41,70.80
71.63,72.17,72.36,71.45
72.67,73.70,73.78,72.67
73.36,73.86,73.93,72.95
73.87,73.59,73.90,73.07
73.73,73.95,74.02,73.54
74.18,73.81,74.28,73.42
73.57,73.46,73.86,73.33
72.72,73.89,74.27,72.55
74.07,74.03,74.37,73.43
74.37,74.70,74.87,74.37
74.59,74.59,75.00,74.44
74.84,75.19,75.23,74.68
75.45,74.86,75.75,74.37
75.11,75.48,75.63,74.92
75.03,75.17,75.20,74.58
75.15,75.35,75.53,75.00
75.20,74.33,75.28,74.10
74.73,74.21,74.83,73.99
74.48,73.33,74.57,73.18
73.51,73.75,73.78,73.34
72.69,72.98,73.16,72.43
72.95,73.55,73.61,72.78
73.64,73.54,73.72,73.18
73.53,74.41,74.44,73.30
74.44,74.70,74.86,74.20
74.38,74.25,74.53,73.79
73.87,72.20,73.92,72.18
72.73,73.18,73.23,72.48
72.74,71.89,72.74,71.42
71.85,71.47,71.89,70.92
73.72,74.18,74.44,72.66
74.29,74.59,74.89,74.04
75.00,74.76,75.00,73.75
74.97,74.83,75.17,74.63
74.93,74.53,75.04,74.43
74.54,73.90,74.68,73.68
74.02,73.80,74.11,73.45
73.97,73.54,73.98,73.00
73.20,72.53,73.39,72.47
72.83,73.97,74.13,72.81
74.71,75.24,75.70,74.71
75.28,76.08,76.17,75.25
76.20,76.90,77.05,76.13
76.70,77.48,77.55,76.58
77.44,77.78,78.01,77.34
77.75,77.74,78.08,77.23
77.69,77.86,78.02,77.47
77.84,79.16,79.16,77.84
78.88,79.89,79.89,78.53
79.29,78.73,79.29,78.55
79.23,80.75,80.84,79.05
80.32,80.53,81.24,80.23
80.50,80.15,80.87,79.91
80.16,79.59,80.84,79.31
78.70,79.24,79.61,78.55
79.01,79.29,79.42,78.50
80.28,79.77,80.88,79.75
79.18,78.80,79.68,78.54
79.01,79.44,79.85,78.70
79.21,78.46,80.14,78.46
78.55,78.85,79.19,78.02
78.70,77.74,79.23,77.38
77.49,76.70,77.58,76.51
76.76,77.66,77.66,76.30
78.39,79.08,79.22,77.88
79.24,78.68,79.31,78.29
77.92,78.16,78.90,77.68
78.76,77.32,78.94,77.26
77.34,78.31,78.51,77.18
78.16,78.18,78.65,77.86
78.83,79.71,79.97,78.72
79.87,80.85,81.09,79.71
80.83,79.68,80.93,79.68
