ULTI,The Ultimate Software Group,NASDAQ
69.85,65.10,69.85,63.75
65.06,65.19,66.76,64.85
65.59,65.38,65.80,64.49
65.37,66.29,66.90,64.87
66.01,64.86,67.40,64.41
64.76,65.25,65.63,64.76
65.10,65.12,66.50,65.03
66.19,65.20,66.76,64.51
64.72,64.43,65.22,63.91
63.92,64.20,65.01,63.86
64.33,64.49,65.15,63.62
64.88,64.90,65.77,64.53
65.45,65.90,66.85,65.31
65.53,65.98,66.10,65.36
66.25,66.52,66.76,66.02
65.70,66.35,66.69,65.70
67.00,65.92,68.23,65.46
65.83,67.14,67.18,65.50
67.19,68.61,68.72,66.93
68.27,68.88,69.44,67.78
68.88,67.37,69.25,67.36
67.24,68.67,69.50,65.37
68.89,69.56,70.20,68.51
69.70,69.91,70.94,68.37
69.51,69.69,70.00,66.28
68.97,67.74,68.97,67.60
66.00,66.69,67.20,64.50
66.77,66.14,67.20,65.97
66.08,66.20,66.76,65.69
67.52,69.35,70.12,67.26
69.23,67.79,69.23,67.55
67.85,67.98,68.21,67.51
65.00,66.01,67.24,64.26
68.00,66.54,68.00,65.86
66.14,66.24,67.78,65.34
67.06,67.45,68.00,65.82
67.22,68.22,68.30,67.22
68.37,68.17,68.91,67.72
68.20,69.10,69.29,68.07
69.32,69.00,69.40,68.71
69.11,68.94,69.46,68.64
68.47,69.27,69.80,68.03
69.17,70.23,70.43,68.75
70.27,70.54,70.97,70.19
69.77,71.33,72.25,69.40
71.57,70.71,71.86,70.24
70.71,69.82,72.42,69.61
69.79,70.67,71.81,69.79
70.88,69.96,70.88,69.24
69.64,69.93,70.30,69.32
68.95,69.35,69.61,68.87
69.47,70.18,70.76,69.41
70.70,71.96,71.99,70.18
71.89,73.12,73.74,71.23
72.84,72.20,73.64,72.00
72.81,73.48,73.59,72.12
73.62,72.25,73.62,72.03
72.26,72.63,72.85,71.96
72.87,73.17,73.17,71.69
72.45,73.67,74.60,72.41
73.04,72.83,73.50,71.84
72.96,73.42,74.46,72.80
72.74,72.12,74.53,71.34
72.30,72.86,73.21,71.86
73.48,74.54,74.99,73.46
74.40,74.27,75.00,74.04
74.40,72.79,74.40,72.16
72.14,73.32,74.27,71.90
74.03,73.28,74.76,72.76
73.18,73.48,73.52,71.94
73.43,73.47,73.84,72.94
72.88,72.15,73.03,71.61
72.00,72.44,73.01,71.65
71.50,71.33,72.83,70.92
71.09,70.68,71.96,70.54
71.20,70.82,72.98,70.00
70.90,72.14,72.36,70.88
71.77,71.75,72.50,71.61
71.88,71.97,72.83,71.25
72.66,73.89,74.50,72.26
73.49,72.86,74.37,72.81
72.83,71.40,73.75,71.07
73.04,71.10,73.04,70.84
69.94,69.38,69.94,67.54
70.11,70.17,72.09,69.68
72.81,75.78,76.84,72.81
75.35,75.31,76.07,74.59
75.65,76.70,77.46,75.16
76.70,77.16,77.79,75.92
77.15,76.73,78.14,76.05
76.01,77.77,77.90,75.70
77.51,76.43,77.56,76.24
76.48,76.43,77.55,75.39
75.95,77.29,77.53,75.95
76.87,76.42,77.22,74.68
74.94,75.67,76.45,74.71
76.16,74.57,76.25,73.89
73.76,75.51,75.93,73.76
77.55,78.18,83.02,77.05
78.10,76.93,79.20,76.73
77.07,76.49,77.50,75.94
76.23,74.81,76.78,74.75
74.63,74.28,75.62,73.84
75.18,76.49,76.49,73.58
76.31,77.80,77.80,76.04
77.53,81.16,81.25,77.26
