COO,Cooper Companies,NASDAQ
38.89,39.16,39.40,38.84
38.97,38.39,38.97,38.33
38.25,38.05,38.28,37.71
38.08,38.25,38.34,37.64
38.35,38.76,38.76,38.22
38.91,39.45,39.58,38.66
39.90,39.17,40.09,38.92
39.31,38.80,39.36,38.62
38.83,38.57,38.83,38.34
38.56,38.12,38.59,37.90
38.10,38.01,38.55,37.90
38.21,39.24,39.57,38.16
39.18,39.00,39.25,38.71
38.87,38.65,38.94,38.45
38.71,38.85,38.91,38.36
38.91,39.06,39.22,38.91
38.88,38.83,39.16,38.78
38.88,39.04,39.34,38.70
39.07,39.40,39.44,38.87
39.35,38.89,39.56,38.86
39.00,38.89,39.06,38.55
38.57,37.61,38.81,37.37
37.23,37.70,38.00,36.66
37.57,37.23,37.91,35.36
37.07,36.25,37.30,36.11
37.26,36.73,37.73,36.45
36.57,36.58,36.70,36.31
36.57,37.09,37.16,36.57
36.96,37.27,37.50,36.96
37.13,36.40,37.13,36.19
36.57,36.62,37.05,35.95
36.73,36.60,37.14,36.54
36.55,36.29,36.72,35.97
36.00,35.09,36.30,34.76
34.70,34.85,35.21,34.28
35.91,35.80,37.41,35.70
35.76,35.57,35.76,34.70
35.56,35.46,36.37,35.33
35.93,37.02,37.06,35.88
37.07,36.86,37.27,36.81
36.71,36.05,36.97,35.99
36.11,37.13,37.26,35.80
37.15,37.96,38.51,37.15
36.94,37.22,38.38,36.79
37.31,37.03,37.58,36.70
36.95,35.70,37.11,35.47
35.91,36.00,36.66,35.78
36.42,36.15,36.42,35.93
36.04,36.80,36.86,35.89
37.00,36.92,37.50,36.83
37.07,38.36,38.40,37.07
38.19,38.56,38.87,38.19
38.80,38.86,38.92,38.37
39.06,39.80,39.92,38.82
40.37,40.90,41.24,40.27
40.56,40.90,41.50,40.47
40.70,40.26,40.99,40.22
40.02,39.96,40.36,39.79
40.01,41.57,41.81,39.67
41.73,41.54,41.82,40.97
41.23,40.03,41.23,39.95
40.13,39.79,40.46,39.67
39.80,39.38,39.80,38.96
39.54,39.20,39.85,39.04
39.60,39.10,39.95,39.07
39.20,39.61,39.66,38.96
39.84,39.56,39.99,39.29
39.61,39.78,39.78,39.35
39.64,39.56,39.82,39.36
39.87,40.02,40.20,39.74
40.19,39.83,40.19,39.48
39.89,39.29,39.89,39.21
39.14,38.63,39.36,38.61
38.75,38.19,38.75,37.91
37.93,38.27,38.27,37.43
38.45,37.88,38.80,37.70
38.28,38.78,38.80,37.95
38.63,39.07,39.42,38.63
38.97,39.88,39.90,38.97
39.95,39.47,40.04,39.11
39.27,38.85,39.44,38.63
39.06,38.94,39.14,38.51
38.40,38.86,39.20,38.30
39.15,39.59,39.66,39.00
39.57,39.76,40.09,39.26
39.82,40.68,40.79,39.73
40.49,40.43,40.70,40.20
40.15,41.19,41.23,39.98
41.23,41.02,41.37,40.75
40.77,40.95,41.04,40.75
40.46,40.20,40.67,40.11
40.05,40.50,40.57,39.90
40.50,40.10,40.65,40.04
40.00,40.94,41.00,39.97
41.32,41.90,42.26,41.21
41.94,41.40,41.94,41.36
41.15,40.86,41.23,40.28
40.80,40.81,40.87,40.27
41.00,41.24,41.59,40.97
41.00,41.17,41.23,40.40
41.07,40.65,41.13,40.33
40.70,40.02,40.92,39.88
40.10,39.85,40.10,39.37
39.75,39.83,40.04,39.44
39.79,40.34,40.60,39.43
40.65,40.81,41.00,40.49
40.90,41.26,41.43,40.79
45.00,44.18,45.00,43.74
43.83,43.67,44.31,43.65
43.78,43.66,44.06,43.50
43.95,44.00,44.07,43.73
44.12,44.05,44.13,43.76
44.60,46.15,46.33,44.38
45.81,45.32,45.81,45.10
45.28,46.26,46.36,45.14
46.10,46.24,46.37,45.77
46.27,46.49,46.53,45.80
46.53,46.52,46.62,46.10
46.61,46.19,46.61,46.09
45.88,45.27,45.97,44.87
45.07,44.89,45.30,44.84
45.32,45.82,45.84,44.77
45.98,46.42,46.45,45.71
46.45,46.38,46.56,45.83
46.20,46.84,46.85,46.02
47.01,46.22,47.28,46.20
46.58,46.91,46.99,46.24
47.82,46.68,48.18,45.94
47.05,47.50,47.82,46.97
47.26,47.51,47.75,47.21
47.84,48.23,48.38,47.52
48.22,48.28,48.45,47.93
48.36,48.82,49.08,48.15
48.88,49.36,49.47,48.70
49.53,50.58,50.61,49.24
50.51,50.78,51.09,50.51
51.04,50.50,51.04,50.23
50.39,50.82,50.97,50.34
50.37,49.84,50.90,49.65
49.89,50.82,50.96,49.89
51.05,50.80,51.32,50.37
50.95,50.66,51.01,50.47
50.99,50.04,51.10,50.03
50.00,49.60,50.27,49.57
49.42,49.93,49.94,49.11
49.88,49.88,50.97,49.80
49.73,49.34,49.86,49.12
49.46,49.57,49.91,49.23
49.79,50.48,50.55,49.73
50.49,50.05,50.51,49.30
50.35,50.03,50.70,49.83
49.94,50.18,50.57,49.78
50.17,49.62,50.17,49.48
49.77,49.40,49.98,49.00
49.47,49.89,50.00,49.14
49.46,49.66,50.00,49.25
49.35,49.52,49.68,49.13
49.52,49.79,50.00,49.13
49.39,49.13,49.57,49.02
49.13,48.98,49.35,48.90
49.35,50.48,50.80,49.06
50.49,50.87,50.92,49.99
50.60,52.15,52.27,50.45
51.66,51.72,51.86,51.38
51.99,53.00,53.28,51.99
52.70,52.29,52.95,52.29
52.12,52.12,52.60,51.52
51.77,53.50,53.57,51.60
54.40,54.36,54.92,53.97
54.39,53.79,54.64,53.74
53.55,53.55,53.74,53.38
53.55,53.50,53.64,53.29
53.70,53.56,53.98,53.17
57.69,56.93,57.69,55.52
57.24,57.67,57.86,56.99
57.60,57.84,57.96,57.13
57.96,58.07,58.38,57.71
58.21,58.30,58.77,57.97
58.32,58.29,59.11,58.13
58.30,58.53,58.91,58.23
58.50,58.35,58.52,58.07
58.74,57.65,58.74,57.62
57.88,57.25,57.98,56.76
57.24,56.93,57.31,56.64
57.03,56.66,57.24,56.49
56.50,56.40,56.76,55.95
56.71,56.58,56.80,55.94
56.56,56.38,56.91,56.20
56.29,56.65,57.41,56.24
56.21,56.34,56.81,55.80
56.70,56.85,57.02,56.47
56.99,56.39,56.99,56.13
56.33,56.06,56.33,55.74
55.98,56.06,56.16,55.85
56.20,56.07,56.45,55.50
55.75,56.60,56.70,55.51
56.81,57.73,57.83,56.77
58.00,57.74,58.09,57.33
57.95,57.38,58.09,57.10
57.22,57.35,57.57,56.95
57.39,57.46,57.84,57.23
57.37,57.39,57.80,57.06
57.25,57.45,57.61,56.85
57.73,56.39,57.73,56.10
56.42,57.15,57.39,56.15
57.15,57.60,57.65,56.66
57.90,57.94,58.08,57.50
57.83,58.18,58.42,57.82
58.10,56.93,58.10,56.74
57.12,57.34,57.96,56.92
57.57,57.48,58.42,57.44
57.42,57.75,57.84,57.16
57.76,58.27,58.37,57.15
58.06,58.65,58.73,58.06
58.67,59.35,59.51,58.67
59.46,59.63,59.85,59.33
59.45,59.75,59.94,59.45
59.61,60.02,60.24,59.61
59.90,61.71,62.17,59.87
61.78,62.00,62.99,61.74
61.78,61.24,62.06,61.16
61.45,61.75,61.95,61.29
61.68,61.78,62.08,61.27
61.98,61.66,62.52,61.41
61.25,60.85,61.34,60.35
60.79,59.09,60.93,58.81
59.09,59.47,60.19,59.07
59.80,61.56,61.59,59.80
61.58,61.82,62.84,61.52
62.00,61.77,62.33,61.27
61.60,61.62,62.45,61.31
62.21,63.62,63.75,61.74
67.79,70.10,70.31,66.70
70.26,69.33,70.40,67.52
69.12,70.50,71.49,68.60
70.28,70.56,71.05,69.45
70.24,68.89,70.24,68.56
69.07,68.98,69.29,68.06
68.86,68.70,69.28,68.45
67.70,66.15,68.10,65.94
66.08,65.48,66.62,65.18
66.44,65.03,66.44,65.03
66.06,65.52,66.15,65.29
66.62,67.22,67.37,66.07
67.18,66.69,67.41,66.40
66.53,67.00,67.46,65.81
67.42,67.79,68.14,66.98
68.48,69.35,69.59,68.30
69.42,68.81,69.76,68.79
68.87,69.15,69.43,68.46
69.23,68.69,69.27,68.52
68.71,69.45,69.46,68.38
69.76,69.60,70.00,69.31
69.83,69.53,70.00,69.31
69.36,69.16,69.59,69.02
69.48,69.39,69.50,69.05
69.72,73.51,73.73,69.30
74.46,72.67,75.23,72.48
72.63,72.58,73.13,72.03
71.83,72.50,72.90,71.83
72.66,72.62,72.84,72.16
72.20,73.62,73.84,71.98
73.67,73.58,73.98,73.32
72.90,73.36,73.41,71.73
73.69,73.70,73.80,73.27
74.62,74.30,75.39,73.92
74.73,74.23,75.00,74.11
74.28,72.63,74.28,72.61
72.85,74.13,74.15,72.66
74.16,73.55,74.30,73.03
73.53,74.19,74.59,73.53
74.19,74.90,75.08,73.76
74.99,75.21,75.67,74.86
75.00,74.54,75.39,74.33
74.45,73.70,74.46,73.30
73.35,73.34,74.14,72.89
74.16,73.93,74.80,73.74
73.68,75.20,75.61,73.51
75.39,75.41,75.74,74.87
75.49,75.20,75.49,74.17
74.92,76.06,76.22,74.56
76.22,75.31,76.59,75.10
75.22,75.56,76.09,74.84
75.18,74.98,75.26,74.21
75.00,75.32,75.43,74.51
75.50,75.68,76.23,75.09
75.68,74.34,75.77,73.61
73.33,73.38,73.98,72.58
73.59,72.11,73.59,71.99
71.78,73.58,73.67,71.70
73.29,74.44,74.58,73.00
74.52,74.36,75.07,74.19
74.91,74.91,75.02,74.29
74.91,73.58,75.30,73.49
73.52,72.69,73.85,72.43
74.02,73.70,75.45,73.31
73.80,73.70,73.91,73.13
73.95,74.11,74.41,73.59
73.80,73.86,74.25,73.64
73.97,73.89,74.28,73.76
73.66,73.06,74.00,72.70
73.23,73.09,73.61,72.76
73.77,74.75,75.00,73.50
74.27,72.79,74.36,72.76
72.56,72.09,72.72,71.42
73.00,72.87,73.26,72.49
72.87,75.03,75.20,72.83
75.41,76.95,77.70,75.24
76.88,77.50,77.98,76.88
77.16,77.19,77.96,75.65
77.19,76.00,77.62,75.47
75.99,75.44,76.35,75.29
74.78,75.63,75.74,74.78
76.01,76.77,77.54,75.24
76.86,79.24,79.26,76.78
79.38,80.29,80.39,79.00
80.38,79.99,80.50,79.67
79.92,81.73,81.78,79.92
82.01,82.07,82.24,81.80
81.55,81.35,81.59,80.48
80.51,80.43,80.82,80.11
80.13,80.27,80.95,79.97
80.57,80.77,81.81,80.51
80.78,80.28,81.31,80.20
80.61,80.58,80.71,80.11
80.40,80.03,80.60,78.88
80.35,81.08,81.27,80.35
81.35,80.82,81.39,80.08
81.20,80.73,82.21,80.60
80.88,80.47,80.88,79.60
79.77,79.25,79.99,78.98
79.17,78.40,79.24,78.17
77.89,76.85,78.01,76.21
76.85,76.48,77.84,76.17
75.30,76.49,76.72,74.51
77.25,75.74,77.71,74.75
75.51,76.00,77.67,75.27
76.00,75.28,76.23,73.94
74.61,71.36,74.61,70.47
72.16,69.91,72.34,68.67
67.96,63.80,68.62,62.77
64.44,68.62,68.63,62.77
67.29,66.26,68.03,65.31
66.61,70.87,71.66,65.65
71.32,70.49,71.33,70.25
70.92,71.90,71.99,69.95
71.22,71.21,71.72,70.27
71.36,70.64,72.25,69.82
68.82,66.78,68.97,66.26
65.83,66.22,67.89,65.83
67.26,66.47,67.38,65.83
66.65,69.65,69.72,66.16
69.47,70.43,70.50,69.04
71.10,69.38,71.61,68.49
68.63,72.25,72.30,68.23
73.30,74.36,74.77,73.15
73.88,75.34,76.06,73.18
75.84,75.27,76.27,74.11
76.61,75.00,77.75,73.54
73.37,72.77,74.22,72.20
70.67,73.66,73.71,69.92
75.09,75.95,75.99,74.53
75.16,75.63,76.61,75.01
74.94,73.45,75.21,73.16
72.40,73.04,73.76,72.02
73.36,75.26,75.44,72.98
75.59,77.02,77.79,74.67
77.53,79.05,79.37,77.19
79.88,80.01,80.56,79.36
78.45,79.96,80.48,78.30
79.71,83.00,84.20,79.71
82.90,80.29,83.38,80.29
73.99,78.51,79.62,73.99
78.50,79.48,79.56,77.84
79.61,79.19,80.14,78.47
80.00,80.45,82.03,80.00
80.72,79.99,81.45,79.80
81.69,79.41,81.95,77.69
78.80,79.15,80.47,78.42
78.94,74.01,79.26,73.71
73.26,75.86,75.92,72.76
76.16,76.90,77.31,75.74
76.93,78.48,78.54,75.96
78.65,76.97,78.83,76.88
78.69,78.59,79.33,77.92
78.13,72.15,78.43,69.25
75.48,74.16,76.19,70.78
73.01,74.67,74.79,72.95
75.13,73.85,75.31,73.56
73.29,69.23,73.46,68.35
69.22,68.35,70.06,68.09
68.44,67.01,68.65,66.70
67.15,65.51,67.52,63.56
66.13,68.36,68.41,65.85
68.08,70.55,70.70,68.07
69.53,69.92,70.73,69.44
70.63,70.34,70.84,69.40
71.94,71.24,72.28,70.34
71.27,71.06,72.09,70.01
69.87,69.30,70.54,69.28
67.29,66.80,67.82,66.62
67.64,68.30,69.24,66.76
69.16,69.34,70.02,68.26
68.57,66.16,68.72,65.83
66.00,67.32,67.42,65.43
67.79,67.78,68.06,66.70
66.19,66.12,66.79,65.28
66.80,66.17,67.23,66.00
66.84,67.01,67.70,66.57
66.64,64.95,66.91,64.81
64.85,56.64,65.09,52.60
55.28,58.85,59.85,55.00
58.52,58.59,58.85,57.30
58.58,58.25,58.70,57.02
57.06,57.18,57.77,56.50
57.36,57.66,58.01,56.70
57.40,57.89,58.14,56.94
57.76,57.46,57.94,57.22
59.05,59.31,60.51,58.80
59.77,58.86,60.31,58.51
60.45,61.26,61.31,60.29
61.22,61.38,62.28,60.77
61.38,59.97,62.15,59.64
60.86,60.60,62.73,60.07
60.12,59.83,60.47,58.46
59.58,58.61,59.84,57.38
58.30,58.16,59.24,58.02
63.49,67.81,69.78,63.00
67.45,66.99,68.13,66.39
67.49,64.62,68.16,64.18
64.36,65.96,67.17,64.30
66.52,66.58,67.66,66.38
67.63,68.37,69.11,66.89
68.43,68.49,69.22,67.31
69.48,70.57,70.81,69.33
70.20,70.48,70.73,69.56
70.59,70.25,70.85,69.75
70.68,70.21,70.72,69.64
70.25,70.58,71.00,70.01
70.34,69.70,70.56,69.25
70.07,71.10,71.22,69.86
70.85,70.52,71.45,70.45
71.92,70.77,72.17,70.47
70.60,70.72,71.04,70.25
70.44,70.09,70.50,69.01
70.35,69.78,71.38,68.96
70.37,69.19,70.72,69.05
70.08,69.54,70.17,69.21
69.02,70.79,71.07,69.02
70.80,70.40,70.94,69.55
69.69,70.87,70.90,69.28
71.98,69.22,71.98,69.18
69.31,69.77,69.81,68.80
70.04,70.87,71.29,69.87
70.81,70.40,70.95,70.00
70.27,68.74,70.42,68.17
68.46,70.73,70.88,67.98
70.39,72.19,72.28,70.31
72.38,71.78,73.01,71.50
71.67,72.13,72.32,71.36
71.85,72.69,72.85,70.65
72.92,72.14,73.28,71.81
72.66,74.73,76.43,72.41
75.10,74.45,75.19,74.03
75.21,76.08,76.24,74.96
75.74,76.30,76.63,75.23
76.33,75.23,76.41,74.99
75.27,75.00,75.80,74.09
75.29,73.92,75.30,73.33
73.28,74.39,74.76,72.72
75.00,74.97,75.04,74.41
74.73,74.47,74.88,73.99
74.78,75.04,75.13,74.21
75.64,78.09,78.79,75.15
78.58,78.21,78.75,77.26
78.24,78.09,78.30,77.76
77.94,78.12,78.38,77.50
78.09,79.18,80.29,78.07
79.09,79.26,79.56,78.34
78.90,79.69,80.06,78.21
80.02,80.08,80.91,79.43
80.46,79.48,80.92,79.47
79.66,79.57,80.31,78.77
79.41,78.50,79.80,78.41
78.43,78.35,78.98,77.67
77.50,77.50,77.66,76.50
77.80,78.29,79.06,77.66
79.11,78.93,79.47,78.25
83.15,81.96,83.85,80.95
81.27,79.58,81.28,79.23
79.82,80.10,80.81,79.00
79.88,81.16,82.23,79.88
80.95,80.83,81.14,79.89
80.68,80.78,80.98,80.47
80.60,79.56,80.60,79.37
79.38,78.40,79.38,78.20
78.37,78.26,78.64,77.71
77.90,79.00,79.10,77.63
78.87,78.90,79.46,78.68
79.10,80.00,80.31,79.10
80.10,79.97,80.25,79.67
80.00,80.43,80.51,79.86
79.80,81.25,81.87,79.43
81.50,81.71,82.11,80.85
81.34,82.25,82.41,80.65
81.98,81.55,81.98,80.92
80.55,80.68,80.79,80.16
80.84,83.76,84.11,80.62
82.48,82.70,82.88,82.14
82.37,81.53,83.13,81.46
82.02,81.89,82.37,81.22
81.78,83.63,83.82,81.78
83.27,82.97,83.49,82.52
83.40,82.54,83.71,82.38
83.00,84.16,84.82,83.00
83.89,84.93,85.00,83.80
85.00,85.86,86.11,84.51
86.35,85.48,87.18,85.41
84.00,85.28,85.47,83.86
85.22,85.63,85.89,84.77
86.34,86.69,87.54,86.18
86.61,86.47,87.07,85.54
86.90,88.56,88.74,86.12
88.28,88.17,88.61,87.68
88.00,88.23,89.23,87.48
87.90,87.78,88.35,87.33
87.54,88.41,89.31,87.54
88.15,87.00,88.15,86.86
86.65,87.22,87.35,86.06
86.60,87.87,88.15,85.89
87.28,86.97,87.36,86.14
87.65,88.28,88.44,87.09
87.58,88.17,89.24,87.40
87.47,87.42,88.19,86.83
87.54,86.90,88.02,86.56
86.94,86.65,87.33,86.37
86.73,85.75,86.98,85.41
85.84,84.97,86.04,84.74
85.03,86.32,86.60,84.36
86.65,85.87,87.42,85.49
85.43,85.76,86.03,84.95
85.93,85.74,87.61,85.42
85.88,85.53,86.36,85.23
86.23,85.72,86.26,85.57
85.22,85.33,85.87,84.38
85.05,85.18,85.46,84.40
83.97,82.87,84.38,82.45
82.67,79.30,82.67,78.95
79.06,81.25,81.54,78.63
81.95,82.15,82.34,81.72
82.86,80.06,83.27,80.05
75.67,78.82,79.33,75.41
79.24,78.03,79.36,77.87
78.17,78.67,79.10,77.70
78.65,77.80,79.28,77.49
77.96,77.59,78.60,77.39
78.42,78.95,79.54,78.42
78.70,79.44,80.06,78.39
79.39,79.42,80.11,78.94
79.17,79.61,80.02,78.95
79.60,79.51,80.69,79.41
79.75,80.60,80.81,79.50
79.85,78.71,80.04,78.64
78.82,78.61,79.83,78.54
78.80,78.73,79.43,78.50
78.62,77.33,78.77,76.31
78.72,79.76,80.17,78.53
79.63,79.95,80.96,79.63
80.00,79.84,80.02,79.17
79.82,78.39,79.93,78.38
77.82,77.52,78.09,77.13
77.26,77.27,77.66,76.85
77.78,76.70,78.17,76.42
75.62,78.30,78.55,72.44
77.64,77.38,77.92,76.58
77.38,78.93,79.17,77.38
78.87,77.07,78.87,76.90
77.13,76.55,77.54,76.15
76.53,77.05,77.74,76.29
77.03,77.20,77.34,76.15
76.78,75.50,76.93,75.49
75.08,74.18,75.31,73.23
74.52,73.79,74.84,73.05
73.84,75.54,75.85,73.84
76.35,75.04,76.80,74.75
75.59,76.00,76.36,74.82
75.93,76.35,76.51,75.81
76.19,75.26,76.79,75.19
75.58,73.79,76.11,73.53
73.45,72.29,73.45,71.40
73.35,72.60,73.78,72.51
72.66,75.10,75.46,72.64
75.17,76.34,76.78,75.17
75.97,76.95,77.05,75.97
76.83,78.15,78.21,76.83
77.83,78.00,78.27,77.73
77.96,78.12,78.46,77.76
78.30,78.17,78.42,77.77
80.19,81.75,82.06,79.11
81.51,81.70,82.06,80.62
81.85,82.92,83.08,81.75
82.76,81.60,83.01,81.12
81.60,81.62,82.49,81.33
81.35,82.04,82.59,81.17
81.78,81.84,82.21,80.82
81.63,82.60,82.87,81.40
83.08,83.24,84.72,82.74
83.17,83.47,84.09,83.01
83.40,83.23,84.08,83.21
82.84,83.16,83.68,82.60
83.60,83.85,84.41,82.26
84.12,84.93,85.35,83.03
85.00,84.63,85.00,84.12
85.22,86.03,86.64,84.76
93.15,93.33,94.89,92.63
93.81,93.01,94.00,91.54
92.72,94.60,94.80,92.72
94.60,93.98,95.92,93.75
94.31,94.83,95.23,92.11
94.79,93.82,95.36,93.51
93.69,93.78,94.56,93.54
93.47,93.45,94.58,93.37
93.68,93.33,93.83,93.16
93.07,93.58,94.26,92.86
93.50,93.76,94.10,93.50
93.96,93.27,94.72,93.22
93.81,94.49,95.18,93.50
94.28,93.68,94.40,93.55
94.20,94.28,94.69,93.57
94.11,94.46,94.77,93.78
94.96,94.04,95.16,93.53
94.51,97.18,97.42,94.21
97.16,99.31,99.32,96.99
99.61,100.67,100.92,98.50
99.78,97.99,100.10,97.51
97.42,96.97,98.00,96.28
97.10,95.95,97.10,95.00
96.11,96.24,96.27,95.31
98.87,97.71,99.74,95.45
97.55,96.87,98.03,96.60
97.43,97.66,97.76,96.62
97.97,98.35,99.08,97.97
98.29,98.62,99.02,97.69
98.88,97.43,98.88,96.87
97.32,95.66,97.65,95.10
95.55,95.30,95.76,94.76
94.83,94.39,94.86,93.32
95.04,95.84,96.32,94.72
96.49,96.07,97.45,95.39
96.09,94.99,96.33,94.77
95.76,95.98,96.23,94.82
95.89,98.45,98.77,95.01
98.77,96.13,98.86,96.12
96.20,97.53,97.92,95.42
97.64,97.80,98.24,96.27
97.15,96.49,97.37,95.01
96.30,94.02,96.35,93.14
93.85,93.36,94.80,93.15
93.72,93.26,94.01,92.71
92.93,91.55,93.32,91.43
91.90,90.70,91.94,90.50
90.63,89.40,91.22,88.80
89.50,91.21,91.45,89.50
91.87,92.65,92.69,90.87
92.29,93.27,93.30,91.63
93.29,94.40,94.42,92.79
94.53,95.28,95.37,93.88
95.23,95.28,95.85,94.72
95.11,95.09,96.36,94.93
94.34,96.59,96.64,94.21
97.21,95.90,97.71,95.77
96.25,94.94,97.50,94.22
94.90,95.13,96.46,94.54
95.34,95.13,95.70,94.26
95.51,93.57,95.65,93.34
93.74,93.85,94.00,92.75
92.00,94.53,94.55,91.11
94.31,95.70,96.12,94.13
95.74,96.91,97.47,95.39
97.33,95.74,97.33,95.63
94.95,95.00,95.68,94.12
95.14,95.48,95.88,94.86
95.51,95.94,96.17,95.27
95.91,95.05,96.74,94.67
95.15,94.48,95.37,93.53
94.63,92.75,95.20,92.66
92.49,92.86,93.43,91.44
94.21,94.21,95.44,93.93
94.19,91.89,94.76,91.82
92.15,92.46,92.71,91.64
92.00,91.51,92.40,91.51
91.26,92.48,92.68,90.75
93.75,95.16,95.16,93.46
94.94,94.93,96.14,94.48
95.50,95.44,96.06,94.77
95.20,96.40,96.91,95.20
96.28,96.04,96.43,95.38
96.45,96.54,97.30,96.04
96.90,97.80,97.98,96.33
97.60,96.88,98.73,96.63
97.00,97.11,97.81,96.67
96.92,97.20,97.20,96.31
97.17,97.83,98.20,96.83
97.96,97.33,98.35,97.33
97.56,97.33,97.78,96.89
97.33,98.40,98.48,97.31
98.59,99.64,99.75,98.09
99.51,100.73,101.43,99.12
100.78,102.08,102.08,99.73
102.09,101.78,102.48,101.18
101.38,101.51,101.97,100.92
101.24,101.05,101.69,100.82
100.95,101.35,101.44,100.14
102.04,102.19,102.33,101.20
101.54,100.65,101.54,100.24
100.95,100.86,101.41,100.75
100.39,103.03,103.03,100.39
103.15,102.87,103.33,102.44
103.01,104.26,105.20,103.00
104.09,104.05,104.74,103.75
104.15,104.61,104.72,104.15
105.03,104.25,105.75,103.89
104.21,103.79,104.42,103.59
103.85,104.01,104.53,103.57
103.89,104.66,105.19,103.38
104.62,103.14,104.66,103.04
103.11,102.59,103.12,101.57
103.05,102.91,103.42,102.64
103.31,102.33,104.83,102.33
102.82,103.96,104.34,102.14
104.07,105.50,106.14,104.04
105.49,106.06,106.75,105.49
105.68,105.08,105.97,104.41
104.83,105.19,105.53,104.19
105.81,105.87,106.31,105.53
106.21,105.55,106.52,105.11
105.69,104.70,105.90,103.88
104.30,108.23,109.56,103.57
106.54,106.25,106.98,105.88
105.67,105.40,106.37,104.96
105.39,105.25,105.39,104.92
105.00,104.82,105.75,104.44
104.66,103.82,104.93,103.46
103.42,104.09,104.42,102.72
104.34,104.42,104.76,103.65
105.06,105.48,109.82,104.43
104.92,103.98,109.65,103.68
104.37,104.16,104.49,103.73
104.64,104.39,104.97,103.68
104.28,104.93,104.99,103.87
104.37,106.74,106.79,104.20
106.74,107.88,108.04,106.48
107.80,106.55,108.25,105.76
107.20,107.71,108.29,107.20
107.70,107.05,107.94,106.65
107.22,107.98,108.01,106.74
107.00,106.17,107.55,105.76
106.21,106.39,106.55,105.39
106.31,106.61,106.98,105.95
106.70,108.17,108.48,106.40
108.50,109.89,109.93,107.94
109.63,108.95,109.79,108.31
108.74,107.08,108.76,106.64
107.64,108.63,108.81,107.00
108.25,107.88,108.38,107.20
107.90,105.86,108.48,105.39
105.80,106.25,106.91,104.24
106.45,106.08,106.45,104.93
106.66,108.20,108.48,106.38
107.99,107.62,108.05,107.02
105.38,107.29,110.45,105.35
107.18,107.72,107.72,106.09
108.21,108.76,108.94,107.00
108.56,110.40,110.85,108.30
110.40,108.67,110.57,108.53
108.92,109.86,109.93,108.19
110.64,112.00,112.03,110.51
112.23,113.32,113.50,111.75
113.32,113.53,113.71,112.66
113.62,115.06,115.17,112.86
114.98,115.34,116.10,114.96
115.63,115.97,116.64,115.28
116.01,116.00,116.46,115.71
115.85,114.97,116.79,114.87
113.89,111.93,113.89,111.38
111.93,110.52,111.95,110.39
111.08,111.22,111.61,110.80
111.25,111.07,112.15,110.65
111.16,110.99,111.98,110.57
111.11,107.22,111.45,106.60
106.84,107.12,107.66,105.71
107.05,109.04,109.85,106.29
109.88,110.94,111.64,109.28
110.55,110.79,111.13,108.57
110.57,114.30,114.37,110.30
113.69,113.01,115.32,112.96
113.00,113.20,114.10,112.93
113.20,111.83,113.99,111.69
111.42,111.00,112.33,110.75
110.63,113.13,113.22,110.33
116.61,120.00,120.56,116.61
120.22,121.63,122.76,119.60
120.46,120.96,122.08,119.06
121.92,120.41,121.95,119.92
120.50,121.22,121.43,119.72
121.22,121.53,121.78,119.97
122.17,122.80,124.08,121.71
123.09,121.69,123.29,121.57
121.85,120.75,122.20,120.61
119.51,117.31,119.92,116.91
