SLYV,SPDR S&P 600 Small Cap Value ETF (based on S&P SmallCap Value Index--symbol--CVK,NASDAQ
60.17,59.82,60.41,59.24
59.15,60.11,60.25,58.74
61.00,61.09,61.12,60.53
60.82,60.30,60.82,60.12
60.40,60.92,60.92,60.40
60.45,60.33,60.74,60.33
59.35,59.59,59.93,59.17
60.25,60.75,60.83,60.12
59.79,59.71,60.12,59.27
58.66,57.45,58.66,57.44
57.19,57.07,57.27,56.05
56.84,56.58,57.08,56.58
56.11,56.86,57.09,56.11
57.29,57.92,58.29,57.29
57.60,58.05,58.46,57.37
57.73,56.60,57.73,56.60
56.32,56.50,56.50,55.74
56.81,55.75,57.13,55.75
54.98,55.11,55.60,54.45
54.76,55.90,55.90,54.53
56.20,55.41,56.40,55.39
55.89,56.73,56.73,55.27
56.36,55.54,56.55,55.52
55.40,55.57,56.09,55.40
56.43,57.73,57.73,56.43
57.55,58.31,58.38,57.52
59.07,59.27,59.47,58.78
59.02,58.11,59.04,58.05
58.27,58.44,58.88,58.22
59.23,58.57,59.23,58.31
58.69,58.68,59.05,58.62
59.33,60.01,60.12,59.23
59.87,59.78,60.24,59.59
59.62,60.05,60.17,59.31
59.89,59.73,60.13,59.46
59.88,59.67,59.88,59.21
59.98,61.04,61.15,59.56
60.78,60.67,61.17,60.60
60.41,59.85,60.79,59.50
59.47,59.26,60.13,59.26
59.74,60.79,60.83,59.74
60.77,60.45,60.85,60.38
60.61,61.14,61.16,59.84
61.19,61.17,61.44,60.90
61.59,61.21,61.86,60.93
61.49,61.42,61.60,61.07
61.32,60.73,61.36,60.70
61.32,62.26,62.35,61.10
62.25,62.10,62.37,61.92
62.40,62.11,62.40,61.93
62.03,62.98,62.98,61.91
62.54,62.89,63.11,62.54
62.55,63.00,63.00,62.38
63.20,63.73,64.16,63.20
63.36,63.64,63.79,63.31
64.16,63.35,64.16,63.34
63.50,64.04,64.04,63.46
63.33,62.97,64.00,62.73
63.55,63.72,64.03,63.55
63.90,63.49,64.31,62.90
63.57,63.73,63.73,63.42
64.48,63.82,64.50,63.79
63.45,63.61,63.90,63.45
63.07,63.28,63.28,62.60
63.82,63.09,63.82,62.87
63.16,63.10,63.35,63.04
63.38,62.64,63.63,62.40
63.37,63.77,63.89,63.37
63.90,63.85,64.03,63.61
64.81,65.80,65.80,64.81
65.71,66.16,66.40,65.71
65.98,66.04,66.07,65.60
66.12,65.09,66.12,65.09
65.00,65.55,65.56,64.70
64.96,65.55,65.67,64.86
65.06,64.70,65.15,64.58
64.65,64.57,65.10,64.57
63.89,63.21,63.89,62.86
63.24,63.24,63.55,63.24
64.55,64.34,64.55,64.23
64.27,64.52,64.63,64.09
64.27,64.82,64.83,64.03
63.95,64.06,64.17,63.77
64.76,65.28,65.37,64.76
65.35,65.30,65.38,65.05
64.56,65.08,65.08,64.07
64.41,64.62,64.62,64.22
65.51,65.85,65.87,65.51
65.87,66.67,66.67,65.87
66.49,67.29,67.29,66.33
66.95,67.38,67.45,66.95
68.04,67.54,68.11,67.54
67.64,67.63,67.78,67.58
67.94,67.88,68.08,67.69
67.96,68.78,68.84,67.95
68.75,68.43,68.98,68.43
68.76,68.44,68.82,68.32
68.39,67.99,68.81,67.99
68.23,68.59,68.62,68.23
68.02,68.31,68.33,67.79
57.89,69.16,71.99,57.89
69.18,69.25,69.40,69.04
69.56,69.74,69.90,69.54
69.85,69.49,69.85,69.40
69.43,69.94,69.96,69.43
70.07,69.68,70.07,69.52
69.87,69.80,69.94,69.76
69.98,69.75,70.00,69.71
69.63,69.00,69.78,69.00
69.45,70.34,70.70,69.45
70.21,69.00,70.21,68.85
68.99,69.57,69.62,68.99
69.63,68.99,69.65,68.99
69.28,68.63,69.35,67.97
68.46,68.96,69.03,68.00
69.18,68.97,69.24,68.70
69.57,69.69,69.87,69.45
69.74,69.56,69.98,69.56
69.65,70.41,70.52,69.65
70.37,70.43,70.43,70.07
70.48,68.95,70.48,68.94
68.68,68.48,68.68,68.36
68.68,68.00,68.68,68.00
68.12,68.71,68.81,68.12
68.45,68.42,68.76,68.27
69.20,70.04,70.30,69.05
70.04,70.43,70.45,69.85
70.24,68.55,70.24,68.54
69.08,68.78,69.25,68.31
69.24,70.31,70.48,69.16
70.31,69.97,70.42,69.96
69.91,70.01,70.13,69.11
70.03,70.10,70.23,69.75
70.21,70.89,71.19,70.21
70.77,71.08,71.08,70.73
71.13,71.02,71.13,70.70
70.53,70.95,71.17,70.53
70.87,71.79,71.85,70.71
71.96,71.94,72.12,71.94
72.07,71.74,72.10,71.72
72.04,72.08,72.18,71.86
72.04,72.71,72.74,72.04
72.82,72.72,72.99,72.15
72.18,70.97,72.47,70.96
71.02,69.68,71.05,69.55
69.47,70.03,70.25,69.27
70.66,71.40,71.43,70.66
72.02,71.53,72.04,71.34
72.00,70.52,72.00,70.52
70.61,70.69,70.80,70.51
71.35,72.25,72.50,71.35
72.37,71.89,72.37,71.16
72.26,70.82,72.50,70.19
70.71,72.04,72.32,70.71
72.20,72.12,72.20,71.95
71.14,70.23,71.14,70.19
72.39,70.31,72.39,69.45
69.55,69.98,69.98,69.20
68.38,69.43,69.52,67.63
68.88,68.58,69.32,68.39
69.33,68.85,69.33,68.71
69.31,69.50,69.54,69.31
70.33,70.66,70.81,70.33
71.11,70.67,71.32,70.47
70.39,70.70,70.72,69.84
70.96,70.89,71.05,70.40
71.14,71.54,72.26,71.03
71.74,71.34,71.74,71.34
71.04,71.88,71.91,71.04
72.14,72.76,72.76,72.14
72.82,73.12,73.19,72.82
73.70,73.76,73.76,73.70
73.59,73.77,73.77,73.52
73.55,73.75,74.28,73.55
74.20,74.19,74.42,73.96
74.30,73.76,74.30,73.56
74.00,72.69,74.00,72.44
72.83,72.17,72.83,72.00
71.69,71.18,71.99,71.15
71.19,70.95,71.19,70.50
70.32,71.12,71.12,70.15
71.00,71.85,71.85,71.00
70.86,70.70,70.86,70.25
71.02,70.80,71.02,70.42
72.78,71.81,72.78,71.66
72.35,72.47,72.47,72.09
72.49,72.22,72.49,72.07
72.72,73.20,73.45,72.72
73.13,73.53,73.60,73.13
73.60,74.00,74.00,73.52
74.00,74.20,74.20,73.99
74.28,73.31,74.28,73.29
72.71,72.19,72.72,72.00
71.96,71.75,72.11,71.38
71.46,71.60,72.03,71.18
72.25,71.64,72.30,71.48
71.62,72.14,72.21,71.62
72.53,73.43,73.43,72.53
73.31,72.12,73.33,71.94
71.67,72.91,72.91,71.67
72.83,71.80,72.83,71.79
71.45,71.00,71.85,71.00
70.52,70.56,70.70,70.23
70.67,71.31,71.31,70.67
71.99,71.75,71.99,71.18
71.04,71.42,71.47,70.78
69.95,70.15,70.18,69.49
69.86,69.69,69.95,69.50
69.40,70.17,70.26,69.40
70.06,71.00,71.12,70.06
71.50,71.46,71.75,71.43
72.25,72.49,72.49,72.15
72.53,70.50,72.53,70.50
70.61,70.44,70.61,70.00
69.03,69.21,69.61,68.92
68.99,68.70,69.29,68.49
68.91,68.49,69.05,68.49
68.07,68.05,68.12,67.97
67.90,68.03,68.37,67.90
67.54,67.04,67.54,66.82
67.13,67.07,67.45,66.83
68.08,68.41,68.58,68.05
67.89,67.31,68.04,67.26
68.19,67.53,68.19,67.53
68.10,67.79,68.10,67.44
67.59,68.25,68.37,67.59
69.38,69.59,69.59,69.32
69.40,68.98,69.70,68.98
68.03,68.92,68.96,67.77
68.63,68.34,68.69,68.33
68.53,69.23,69.25,68.53
69.38,69.89,69.97,69.38
70.28,70.44,70.49,70.10
70.70,71.26,71.29,70.70
72.00,72.47,72.54,72.00
72.60,72.52,72.71,72.15
72.47,72.76,72.96,72.44
73.35,74.00,74.13,73.35
73.12,73.31,73.35,72.68
72.17,71.77,72.55,71.77
71.55,72.12,72.13,71.44
72.02,72.00,72.57,72.00
72.43,71.25,72.63,71.19
71.39,71.54,71.55,70.78
71.15,70.50,71.15,70.22
71.10,71.92,71.92,71.10
71.89,71.94,71.94,71.65
72.29,73.01,73.01,72.29
72.49,72.61,72.72,72.21
71.88,72.13,72.40,71.29
71.66,71.19,71.73,71.19
70.76,69.34,70.76,69.33
69.31,69.17,70.10,68.98
68.24,69.29,69.48,67.80
70.23,68.82,70.23,68.34
68.61,66.91,69.11,66.88
66.85,67.10,67.22,65.29
66.23,64.06,66.34,64.01
64.09,62.97,64.26,61.61
60.85,57.81,62.54,57.69
58.92,60.90,60.90,56.20
59.57,57.66,60.22,57.66
58.12,60.72,61.59,57.88
61.20,60.72,61.35,60.20
61.36,62.54,62.54,61.36
61.77,61.30,61.85,61.30
62.23,61.32,62.39,61.32
59.73,58.22,59.73,57.83
57.31,57.20,58.78,57.20
59.34,57.21,59.34,57.17
57.22,59.86,59.86,57.22
60.00,60.80,60.80,60.00
61.40,59.41,62.00,59.41
59.11,60.53,60.64,58.19
61.54,63.28,63.28,61.54
62.92,63.77,64.20,62.92
64.27,63.53,64.29,63.41
63.96,62.28,63.96,62.28
60.57,60.02,61.42,59.68
57.54,59.53,59.53,57.54
60.41,62.22,62.22,60.40
62.26,61.29,62.26,61.29
58.89,59.27,59.27,58.50
58.66,59.38,59.38,58.34
59.97,60.47,60.50,59.62
60.47,61.94,61.94,60.34
62.07,61.98,62.11,61.58
62.41,62.22,62.41,61.95
61.21,61.48,61.48,60.40
61.08,61.28,61.72,61.08
60.16,57.51,60.16,57.51
55.24,56.14,56.39,55.24
56.16,56.68,56.77,55.96
57.32,57.26,57.36,56.49
59.12,59.18,60.80,59.12
59.32,57.14,59.63,57.14
58.32,57.38,58.65,57.37
57.33,56.77,58.28,56.77
56.10,53.98,56.62,53.98
53.21,56.97,56.97,52.83
57.73,58.30,58.30,57.32
58.37,59.42,59.42,58.24
59.72,57.91,59.72,57.91
59.84,60.47,60.47,59.64
60.19,60.65,60.65,59.99
61.73,61.79,62.36,61.73
61.60,61.40,61.72,60.63
61.90,62.73,62.73,61.90
61.44,60.56,61.48,60.42
60.67,62.65,62.88,60.67
62.30,61.33,62.64,61.33
61.47,61.83,61.83,60.50
62.78,63.25,63.25,62.58
63.27,64.96,65.03,63.27
64.52,62.91,64.52,62.91
63.85,64.11,64.48,62.58
66.38,67.59,68.08,66.00
67.61,67.36,67.85,67.12
66.25,65.64,66.86,65.58
63.25,63.01,64.26,62.97
64.58,64.16,64.58,63.93
65.62,66.53,66.53,64.33
65.47,65.89,65.94,65.22
65.76,65.80,66.01,64.74
65.99,66.74,66.75,65.99
65.04,64.04,65.27,64.04
64.64,64.25,64.67,63.89
65.75,66.02,66.32,65.75
64.99,64.87,65.03,64.67
64.45,65.97,65.98,64.25
65.50,64.90,66.19,64.75
64.39,63.83,65.10,63.74
63.99,64.21,64.30,63.88
63.26,62.63,63.26,62.52
62.69,62.10,62.96,61.77
61.23,60.54,61.23,59.98
59.94,60.39,60.39,59.45
61.08,62.04,62.04,61.06
62.04,62.12,62.50,61.85
64.60,65.88,65.88,64.46
65.85,65.30,65.85,65.24
66.43,65.59,66.48,65.59
66.96,66.76,67.23,66.30
66.63,66.89,66.89,66.63
66.43,65.97,66.43,65.09
65.84,64.85,65.84,64.85
64.83,65.65,65.65,64.61
65.49,65.51,65.51,64.92
66.18,64.46,66.37,64.28
64.01,63.60,64.29,63.45
64.38,64.36,64.61,64.36
65.16,64.62,65.35,64.42
65.42,63.31,65.42,63.31
65.66,66.10,66.10,65.66
66.01,67.05,67.14,66.01
67.81,67.83,67.83,67.48
67.57,67.74,67.74,67.49
67.66,68.20,68.43,67.49
68.22,66.71,68.22,66.71
67.24,67.58,67.66,67.12
67.70,66.98,67.88,66.98
68.60,68.53,69.01,68.42
67.92,68.13,68.34,67.92
67.48,68.61,68.69,66.99
68.63,68.70,68.89,67.81
68.68,68.53,68.73,68.20
70.00,69.48,70.00,69.48
69.48,70.00,70.00,69.00
70.21,70.50,70.50,69.62
69.92,69.55,70.03,68.15
70.55,69.74,70.70,69.69
70.56,70.95,71.11,70.41
71.55,71.43,71.63,70.99
71.41,71.64,71.78,71.21
71.86,71.80,72.15,71.29
71.36,72.26,72.33,71.02
72.18,72.77,72.88,71.75
72.99,72.27,73.21,72.27
72.75,72.84,72.86,72.52
72.38,72.23,72.51,72.13
72.48,72.35,72.55,71.78
73.09,74.09,74.09,72.93
74.27,74.50,74.74,74.00
75.76,76.03,76.47,75.68
76.06,75.70,76.15,75.61
75.77,75.71,76.15,75.38
75.95,75.82,76.35,75.40
75.73,75.41,75.73,75.22
74.97,74.34,74.97,74.32
75.34,75.37,75.43,74.75
75.13,74.77,75.13,74.37
75.40,74.02,75.40,74.02
74.46,75.74,75.74,74.32
76.33,75.80,76.33,75.75
76.31,75.39,76.31,75.31
75.26,74.57,75.26,74.57
74.73,75.55,75.55,74.25
75.35,75.29,75.62,75.12
74.56,75.18,75.31,73.91
75.34,74.74,75.34,74.50
74.84,73.61,75.04,73.61
73.91,74.45,74.64,73.91
73.86,72.51,73.93,72.49
72.47,72.73,72.73,72.00
71.85,71.19,71.98,71.00
71.38,71.77,71.82,71.36
72.45,72.82,72.82,72.30
73.20,73.96,74.12,73.20
73.82,73.82,73.99,73.50
74.24,75.25,75.30,74.14
75.76,74.82,75.76,74.70
75.12,75.54,75.64,75.12
75.54,75.31,75.54,75.17
75.12,76.21,76.73,75.12
75.61,75.26,75.63,75.08
75.42,75.31,75.62,75.31
74.46,74.30,74.46,74.03
74.50,75.16,75.16,74.17
75.91,76.65,76.65,75.91
76.70,76.14,76.96,76.14
76.18,75.79,76.18,75.33
75.08,75.41,75.41,74.85
76.22,75.60,76.22,75.59
75.19,76.24,76.29,75.19
76.57,75.95,76.57,75.55
74.62,74.47,74.62,74.33
74.38,74.28,74.75,74.10
73.06,72.91,73.17,72.51
72.73,71.12,72.73,71.12
71.70,71.97,72.06,71.70
73.18,73.60,73.60,73.18
73.06,72.27,73.06,72.26
72.68,72.74,72.99,72.31
73.54,74.40,74.40,73.54
73.28,73.26,73.28,72.62
73.00,72.42,73.37,72.15
73.67,73.04,73.73,73.04
71.97,71.91,71.97,71.44
71.91,72.48,72.75,71.89
73.65,73.71,73.82,73.35
73.76,74.05,74.24,73.69
74.34,75.00,75.00,73.62
74.91,74.19,74.91,73.94
74.94,73.87,75.40,73.85
73.10,74.13,74.20,73.10
74.09,73.07,74.09,72.79
72.70,71.79,72.70,71.55
71.19,71.97,72.14,71.19
71.35,71.98,71.99,70.99
71.24,71.51,71.54,71.13
72.12,71.74,72.21,71.70
71.00,71.61,71.96,71.00
70.60,70.91,71.09,70.60
70.82,70.98,71.25,70.69
71.00,70.00,71.10,70.00
70.00,68.54,70.00,68.54
68.62,67.81,68.99,67.81
68.15,69.05,69.05,67.86
69.24,68.32,69.62,68.32
67.86,68.97,68.97,67.46
68.90,69.07,69.15,68.25
69.14,68.97,69.39,68.97
69.21,70.03,70.03,69.21
68.89,68.96,69.06,68.83
68.02,68.36,68.36,67.71
67.19,66.49,67.60,65.89
66.76,65.98,66.79,65.62
66.30,66.66,66.83,66.21
67.49,68.21,68.29,67.49
69.73,68.18,69.73,68.18
68.03,68.98,69.05,68.03
70.03,67.12,70.03,67.12
67.32,68.07,68.07,67.30
67.76,67.22,68.19,67.22
67.85,68.17,68.17,67.85
67.76,68.62,68.62,67.59
67.92,68.52,68.59,67.82
68.82,69.82,70.17,68.82
69.67,69.68,70.01,69.55
69.79,67.90,69.80,67.86
68.10,68.76,68.76,68.10
67.52,67.56,67.80,67.45
67.72,67.79,68.08,67.25
68.23,68.76,68.76,68.23
68.82,68.89,68.98,68.04
70.02,71.29,71.31,70.02
71.06,71.75,71.75,70.98
72.00,72.83,72.88,72.00
73.00,73.00,73.16,72.87
72.86,72.11,72.86,71.90
71.70,71.87,71.93,71.70
73.26,71.02,73.26,71.02
71.37,70.99,71.37,70.84
70.86,70.97,70.97,70.16
71.93,72.07,72.17,71.93
71.74,71.70,71.85,71.61
72.00,71.99,72.12,71.99
72.30,72.30,72.68,72.30
72.66,72.02,72.66,72.02
71.68,71.23,71.68,71.20
70.09,70.15,70.15,69.88
69.32,68.89,69.32,68.76
69.51,69.11,69.51,68.82
70.02,69.62,70.02,69.31
70.08,71.48,71.63,70.08
71.52,71.32,71.56,71.07
71.64,71.08,71.64,70.95
71.15,69.73,71.15,69.73
68.24,69.37,69.82,68.24
70.81,71.41,71.50,70.81
71.46,71.85,72.26,71.46
72.29,72.60,72.95,72.29
72.26,72.75,72.81,72.26
72.67,72.83,73.01,72.67
72.54,72.65,72.66,72.40
72.50,72.38,72.50,71.64
72.88,72.35,72.88,72.34
72.76,72.69,72.80,72.69
72.68,73.64,73.64,72.68
73.80,74.31,74.31,73.48
74.23,74.16,74.23,73.74
75.00,74.09,75.00,74.09
73.94,73.81,74.12,73.55
73.69,73.22,73.69,73.22
72.97,73.23,73.49,72.97
73.67,73.32,73.67,73.32
73.65,73.87,73.91,73.65
74.04,74.41,74.41,74.04
73.51,73.48,73.67,73.29
73.94,73.72,73.94,73.59
73.25,74.61,74.61,73.25
74.46,74.46,74.52,74.26
74.76,75.91,76.07,74.76
76.10,76.55,76.71,76.10
76.54,76.42,77.04,76.42
76.39,76.72,76.96,76.39
76.87,76.92,77.03,76.47
76.90,78.03,78.34,76.90
78.90,78.96,79.31,78.90
78.52,78.18,78.57,77.95
77.86,78.06,78.08,77.86
78.21,77.90,78.36,77.90
77.16,77.58,77.69,77.16
78.22,77.82,78.22,77.82
77.49,77.36,77.78,76.84
77.15,76.24,77.91,76.20
76.15,75.72,76.15,75.59
75.71,76.46,76.60,75.71
76.08,76.00,76.16,75.77
76.14,76.08,76.71,71.59
76.48,76.17,76.48,76.03
76.04,75.95,76.37,75.83
76.19,76.56,76.66,76.18
76.77,76.59,77.64,76.49
76.13,76.27,76.43,76.00
76.12,75.25,76.12,75.25
75.11,75.05,75.28,75.00
75.74,75.39,75.74,75.39
75.02,74.55,75.04,74.55
74.76,74.78,75.00,74.34
75.54,75.46,75.66,75.33
75.43,76.19,76.19,75.43
76.12,75.92,76.31,75.92
75.42,74.66,75.42,74.32
74.38,74.33,74.64,73.69
73.80,74.13,74.20,73.33
74.41,73.92,74.41,73.77
74.86,74.09,74.89,74.01
73.95,73.67,74.03,73.38
73.77,74.21,74.27,73.77
74.95,75.17,75.32,74.73
75.70,74.59,75.73,74.57
74.35,74.78,74.78,74.35
75.38,75.67,75.85,75.38
74.81,73.78,74.81,71.28
73.73,72.70,73.74,72.70
72.30,73.02,73.26,72.27
72.85,72.71,72.85,72.24
72.71,72.48,72.71,72.37
72.34,70.87,72.34,70.87
70.75,70.50,70.88,70.03
70.49,71.03,71.03,69.81
71.67,72.56,72.56,71.67
72.58,72.76,72.80,72.58
72.88,72.97,73.23,72.88
73.31,73.83,73.83,73.31
73.81,74.26,74.26,73.66
74.37,74.43,74.73,74.37
73.91,74.76,74.76,73.58
75.35,75.61,75.61,75.09
75.74,75.40,75.74,75.18
75.41,75.42,75.54,75.32
75.48,75.64,75.70,75.08
75.90,75.44,75.90,75.36
75.16,75.43,75.70,75.16
75.45,75.60,75.63,75.41
75.78,75.91,76.03,75.78
76.37,76.46,76.76,76.37
76.79,76.54,76.97,76.54
76.33,75.88,76.33,75.88
75.53,75.75,76.16,75.53
76.06,76.79,76.79,76.06
77.43,77.91,77.91,77.43
77.81,78.14,78.53,77.81
78.10,78.50,78.65,77.88
76.78,77.38,77.49,75.61
77.34,77.18,77.34,77.02
76.88,76.71,76.88,76.71
76.56,76.55,76.61,75.90
76.26,76.15,76.62,76.15
75.99,77.01,77.08,75.55
79.11,79.37,79.45,79.10
79.50,79.48,80.00,79.33
79.80,80.14,80.29,79.77
79.72,79.68,79.80,79.53
79.73,79.28,79.73,79.18
79.58,79.53,79.72,79.49
79.92,79.72,79.92,79.41
79.66,79.63,79.66,79.33
79.32,79.51,79.56,79.32
79.21,80.03,80.03,79.21
79.60,79.74,79.91,79.60
80.33,80.54,80.61,80.29
80.56,80.74,80.77,80.44
80.75,81.65,81.65,80.75
81.59,81.32,81.59,81.32
81.54,81.80,82.03,81.54
82.38,82.17,82.38,81.84
81.92,82.08,82.32,81.62
82.07,82.30,82.33,82.05
81.65,81.42,81.84,81.36
81.17,81.73,81.78,81.17
82.37,82.45,82.75,82.37
82.15,81.68,82.17,81.57
81.86,82.28,82.41,81.86
81.80,82.46,82.46,81.80
82.75,82.59,82.75,82.08
82.71,83.05,83.22,82.71
83.20,82.85,83.20,82.75
83.21,83.39,83.45,83.21
83.51,83.58,83.69,83.34
83.50,83.92,84.00,83.50
84.11,83.85,84.17,83.83
84.12,84.98,84.98,84.12
85.02,83.51,85.05,83.51
83.46,82.82,83.59,82.33
83.48,83.49,83.58,83.30
84.10,81.67,84.10,81.62
82.06,82.21,82.27,81.58
82.02,83.00,83.30,82.02
83.03,82.93,83.55,82.93
82.66,83.19,83.40,82.66
83.08,83.12,83.30,82.40
83.53,84.05,84.37,83.53
84.26,84.39,84.88,84.01
84.33,84.84,84.84,84.30
85.41,85.49,85.50,84.95
85.20,85.41,85.44,85.13
85.16,85.10,85.30,84.88
85.32,85.47,85.69,85.25
85.87,86.46,86.46,85.85
86.36,86.60,86.92,86.34
85.83,86.38,86.41,84.98
86.39,86.07,86.42,85.53
87.00,86.42,87.00,86.25
86.67,85.89,86.67,85.89
86.00,86.07,86.27,85.95
86.28,85.92,86.68,85.64
86.62,86.50,86.75,86.04
85.96,86.32,86.46,85.51
86.39,86.13,86.58,86.13
86.37,85.47,86.40,84.83
86.46,84.99,86.46,84.81
84.69,83.98,84.69,83.70
83.76,84.47,84.48,83.76
82.98,84.27,84.29,82.00
84.54,85.12,85.12,84.11
85.18,85.07,85.31,84.79
85.14,86.54,86.55,85.14
86.50,86.50,86.90,86.23
86.02,85.94,86.23,85.80
85.54,83.00,85.54,82.95
83.56,83.97,84.24,83.40
83.56,82.88,83.63,82.18
82.99,82.40,82.99,82.19
82.61,83.28,83.48,82.08
83.75,83.39,83.75,82.00
84.04,84.66,84.67,84.04
84.94,85.36,85.36,84.91
85.63,85.92,86.40,85.63
85.75,85.23,85.85,84.93
85.51,85.96,86.00,85.36
85.77,86.27,86.38,85.64
86.16,84.34,86.18,84.34
84.77,85.73,85.76,84.77
86.73,87.52,87.80,86.65
87.21,87.65,87.76,87.21
87.74,88.33,88.46,87.68
88.46,88.81,88.96,88.41
88.88,89.00,89.08,88.63
88.78,89.20,89.31,88.78
89.38,88.82,89.38,88.77
89.19,90.26,90.28,89.19
90.10,90.52,90.95,89.96
90.42,90.10,90.78,90.10
91.00,91.41,91.41,90.96
91.09,91.67,91.88,91.09
91.55,91.88,91.94,91.49
91.91,90.37,92.67,89.82
89.49,90.38,90.41,88.68
90.13,90.33,90.54,89.29
91.59,91.44,92.29,91.08
90.89,90.57,91.23,90.11
90.79,90.96,91.30,90.78
90.55,89.96,91.03,89.96
90.38,90.58,91.10,89.81
91.55,90.70,91.55,90.21
90.42,89.33,90.42,89.28
89.34,89.60,89.92,88.88
90.68,90.69,90.86,90.18
91.12,91.11,91.25,90.57
90.46,90.47,90.84,89.77
90.80,89.38,90.80,89.32
89.35,90.94,90.94,89.32
90.82,90.15,90.94,90.06
