LLL,L3 Technologies,NASDAQ
92.55,92.52,92.66,91.97
92.72,93.91,93.99,92.35
93.79,94.39,94.65,93.49
94.49,95.18,95.21,93.70
95.38,95.61,95.62,94.40
95.48,96.02,96.50,95.37
95.62,94.80,95.98,94.00
94.72,95.15,95.35,94.36
95.50,96.53,97.09,95.35
96.76,97.54,97.81,96.65
96.44,96.73,97.18,95.41
96.82,96.82,97.08,95.60
96.91,96.11,96.91,95.76
95.62,93.82,95.82,93.54
94.13,93.92,94.80,93.26
94.35,95.43,95.58,94.35
95.53,93.57,95.68,93.57
93.91,95.34,95.60,93.91
94.46,92.51,94.47,92.04
92.51,92.56,92.93,92.00
92.05,89.66,92.47,85.00
89.60,86.52,89.69,86.21
90.30,89.26,90.46,87.95
88.65,89.88,90.67,88.33
90.03,90.87,91.00,89.33
90.44,89.73,90.59,89.47
89.06,88.33,89.46,87.78
88.62,88.39,88.84,86.68
88.62,87.52,89.44,87.49
86.43,86.27,87.40,85.46
85.01,82.62,85.05,82.41
81.11,83.67,83.67,81.01
83.44,82.95,83.88,82.88
81.05,82.65,82.78,80.79
83.21,81.97,83.50,81.84
83.44,83.82,83.83,82.79
83.37,82.63,83.81,82.31
81.95,81.64,83.58,81.63
81.90,82.24,82.30,81.00
82.84,83.33,83.53,82.66
81.82,81.12,82.21,80.84
81.29,79.52,81.36,79.46
79.80,79.48,79.84,78.25
79.75,79.16,80.65,78.83
78.58,79.88,80.10,77.79
79.07,79.61,79.67,78.50
80.01,80.26,81.66,80.01
80.31,82.45,82.45,80.31
81.82,82.13,82.58,81.78
82.18,82.38,82.51,81.25
81.69,81.61,82.06,80.75
82.58,81.39,82.64,80.84
80.32,78.80,81.26,78.67
79.02,77.84,79.31,77.59
77.57,75.24,77.61,74.87
75.54,74.85,75.66,74.27
74.75,74.62,75.72,74.52
73.79,71.57,73.90,71.19
71.60,70.84,72.54,70.75
70.84,70.36,70.84,69.56
70.41,70.43,71.17,69.93
71.06,70.32,71.24,69.75
70.57,72.80,72.94,70.50
73.10,74.00,74.15,73.07
73.86,73.22,73.86,72.33
72.86,71.86,72.86,71.70
72.62,73.25,73.44,72.11
73.66,74.49,74.94,73.04
74.60,73.79,74.95,72.73
73.48,71.63,73.49,71.49
71.77,72.32,72.32,71.25
71.42,73.12,73.12,70.61
73.75,72.34,73.75,71.91
73.32,74.23,74.59,72.97
74.17,75.15,75.41,74.01
75.57,76.65,76.65,75.13
75.85,73.03,75.85,72.57
73.02,74.03,74.20,72.69
74.75,73.55,74.75,72.89
72.94,73.04,73.41,72.27
73.91,74.25,74.67,73.01
73.89,74.47,74.95,73.89
74.49,74.74,75.08,74.35
74.18,74.82,74.88,74.13
74.05,74.43,74.76,73.44
74.88,74.55,74.95,74.19
74.19,74.06,74.50,73.15
73.12,71.56,73.15,71.35
70.50,70.27,71.03,70.23
69.73,70.26,71.17,69.47
69.98,70.11,70.58,69.48
70.60,71.29,71.99,70.42
71.42,71.44,71.72,70.68
71.13,70.06,71.33,69.80
69.69,69.27,69.73,68.81
69.48,68.80,69.49,68.67
67.99,67.87,68.41,67.57
67.33,67.93,68.27,66.80
68.87,67.89,69.00,67.77
68.16,68.71,68.78,67.17
67.69,67.06,68.62,67.00
66.66,66.60,67.23,66.11
67.30,69.27,69.28,67.30
69.52,69.91,69.99,69.40
70.54,70.68,70.68,69.94
70.47,69.37,70.50,69.21
69.19,68.77,69.36,68.76
69.53,68.27,69.53,67.92
68.25,68.50,68.84,67.92
69.26,69.26,69.48,68.80
69.05,69.05,69.44,68.45
68.67,68.79,68.89,68.25
68.52,69.00,69.03,68.21
69.45,70.73,71.12,69.09
71.00,71.56,71.73,70.73
71.50,71.49,71.80,71.02
71.27,70.91,71.59,70.74
70.45,69.72,70.75,69.56
70.38,71.61,71.84,70.19
71.93,71.25,71.93,71.19
71.56,72.15,72.30,70.36
71.75,72.42,72.47,71.65
72.65,72.27,73.44,71.84
72.75,71.72,73.01,71.53
71.34,69.95,71.62,69.65
70.67,70.65,70.86,70.08
70.66,70.83,71.15,70.62
70.76,70.30,70.95,69.85
70.29,70.78,70.90,69.82
70.61,70.27,70.81,70.02
70.27,70.03,70.28,69.39
70.48,71.22,71.55,70.33
71.17,70.96,71.22,70.54
71.28,71.05,71.65,70.68
71.14,70.79,71.15,70.56
69.55,68.87,69.79,68.39
69.02,69.67,69.98,68.81
69.91,70.04,70.96,69.65
70.00,69.80,70.07,69.60
70.14,70.46,70.72,69.43
70.17,71.33,71.43,70.11
70.77,71.13,71.33,70.49
69.29,71.24,71.50,68.76
70.96,72.18,72.29,70.70
72.68,72.69,73.59,72.30
73.34,73.12,73.97,73.06
73.10,73.27,73.70,72.74
74.05,73.37,74.10,72.54
73.50,73.90,74.10,73.03
73.57,73.62,73.99,73.21
73.80,73.13,73.80,72.90
73.16,72.42,73.23,72.25
71.87,71.38,71.87,71.03
70.98,70.62,71.06,70.30
70.43,70.65,71.31,69.81
70.01,69.89,70.42,69.45
69.81,70.21,70.42,69.68
70.87,71.44,71.60,70.31
71.31,71.30,71.84,70.88
70.76,70.94,71.02,70.09
70.17,70.93,71.21,70.04
71.40,72.61,72.70,71.32
72.01,71.38,72.50,71.07
70.98,70.94,71.04,69.99
70.19,70.33,70.80,70.02
71.21,72.04,72.25,71.01
72.06,73.64,74.00,71.91
73.26,73.25,73.76,72.75
72.97,72.49,73.14,72.13
73.03,72.51,73.11,72.21
72.52,72.44,73.01,72.09
72.53,71.38,72.66,71.25
71.63,71.39,71.91,71.34
71.64,70.61,71.87,70.27
70.67,70.90,71.17,70.62
70.62,69.90,70.73,69.62
69.70,70.83,71.02,69.43
70.75,70.44,70.81,70.00
70.46,70.25,70.51,69.57
70.32,70.05,70.98,70.02
69.88,70.80,70.86,69.63
70.77,71.66,72.33,70.58
71.49,71.61,71.70,71.25
71.71,71.96,72.01,71.39
71.98,70.67,72.12,70.63
70.56,70.69,71.07,70.27
70.69,70.49,70.84,70.35
70.49,70.84,71.08,70.26
71.01,71.27,71.39,70.39
70.94,72.60,72.79,70.84
72.45,74.03,74.76,72.44
74.04,78.23,78.50,73.92
77.29,75.54,78.65,75.49
75.73,75.07,75.78,74.61
75.56,76.42,77.32,75.54
76.23,75.49,76.70,75.40
75.53,75.87,75.91,75.13
74.98,77.22,77.41,74.98
77.12,76.64,77.25,76.24
76.44,77.98,78.73,76.36
78.42,77.57,78.66,76.90
77.55,77.16,77.89,77.03
77.28,78.82,78.84,76.80
78.91,77.35,79.07,77.31
78.80,78.40,80.00,78.01
78.47,76.39,78.96,76.10
76.76,78.25,78.57,76.25
78.52,78.90,79.25,78.44
78.62,78.47,78.86,78.24
78.36,78.22,78.71,78.10
78.14,78.58,78.82,77.71
78.65,79.31,79.33,78.54
79.22,80.25,81.57,79.20
80.03,80.15,80.44,79.89
79.95,80.04,80.14,79.25
79.69,80.04,80.40,79.33
80.00,79.42,80.31,79.17
78.89,80.07,80.15,78.82
80.17,79.70,80.39,78.58
79.54,80.35,80.85,79.14
80.65,80.85,81.34,80.62
79.83,79.28,80.12,78.74
79.56,79.45,80.50,78.50
79.28,80.17,80.82,79.28
80.32,79.95,80.59,79.18
80.14,79.29,80.85,79.22
79.68,78.31,79.68,78.23
77.92,78.78,79.33,77.91
79.38,80.70,80.78,79.38
80.35,79.20,80.57,78.46
79.29,78.43,79.93,78.10
78.70,80.17,80.54,78.45
80.08,80.54,80.93,79.78
79.70,79.48,80.56,79.37
78.96,79.68,80.13,78.76
79.30,79.30,80.49,79.22
77.73,78.20,78.73,77.41
77.97,76.69,78.03,76.00
77.60,77.52,78.11,76.93
78.19,78.54,78.94,77.87
79.29,79.69,80.28,79.08
79.76,79.80,80.11,79.45
79.37,79.40,79.73,78.47
79.73,79.54,79.99,79.23
79.48,79.62,80.45,79.08
78.78,78.59,79.45,78.54
78.62,78.75,78.96,78.20
78.93,78.69,79.35,78.56
78.47,78.31,78.76,78.23
79.25,79.10,79.63,78.87
79.34,78.30,79.50,78.04
78.06,78.91,79.43,78.02
79.06,79.86,80.00,78.95
79.46,80.03,80.10,79.19
80.23,79.52,80.25,78.98
79.45,79.34,79.82,79.06
79.03,78.55,79.25,78.49
78.76,77.01,78.83,76.94
76.61,75.43,76.65,75.13
75.69,76.14,76.27,74.82
75.24,74.95,75.43,74.45
75.10,75.68,75.73,75.01
76.28,76.95,77.43,76.06
75.80,77.69,77.71,74.75
77.58,78.71,78.73,77.06
79.01,80.01,80.53,78.83
80.01,80.12,80.49,79.84
80.08,80.39,80.67,79.76
80.56,80.19,81.00,80.04
80.63,81.01,81.08,79.96
80.80,82.02,82.74,80.71
82.12,81.37,82.40,81.09
81.11,82.60,82.84,80.98
83.33,83.04,84.08,82.93
83.01,83.22,83.66,82.68
83.45,83.84,84.14,83.45
83.68,83.12,84.08,82.95
83.21,83.72,83.98,82.73
83.58,83.50,83.66,82.83
83.19,84.29,84.47,83.03
84.09,84.08,84.66,83.76
84.14,84.50,84.70,83.91
84.77,84.45,85.45,84.34
84.45,83.53,84.45,83.34
82.70,82.76,83.29,82.25
82.79,82.65,83.13,82.40
82.28,81.78,82.51,81.76
81.61,81.30,81.98,80.97
81.39,81.60,81.70,80.96
82.09,81.65,82.48,81.29
81.60,80.40,81.81,80.36
80.40,80.34,81.27,80.28
79.44,79.47,80.11,79.09
79.13,79.39,79.95,78.95
79.69,79.58,80.70,79.46
79.54,79.31,79.72,79.12
79.62,80.13,80.30,79.19
79.68,78.88,79.71,78.84
79.22,80.00,80.24,79.16
80.65,81.11,81.53,80.34
80.46,81.00,81.08,80.23
81.00,81.79,82.36,81.00
82.41,81.87,82.92,81.76
81.73,82.37,82.61,81.28
82.73,82.38,82.89,82.20
82.25,86.21,87.68,82.15
85.17,84.93,85.42,83.36
85.13,84.54,85.54,84.03
84.53,84.57,84.89,84.11
84.74,85.77,85.83,84.45
85.91,86.93,87.31,85.46
87.18,87.45,88.23,87.05
87.60,88.31,88.55,87.11
88.00,86.77,88.00,86.57
86.49,86.46,87.18,85.81
87.23,86.37,87.28,85.66
85.83,85.28,86.29,84.87
84.54,84.29,85.05,84.07
84.27,84.17,84.96,83.76
84.52,83.97,85.40,83.73
84.19,82.37,84.25,82.28
82.61,82.03,82.65,81.40
81.69,81.00,81.79,80.10
81.17,81.53,81.78,81.05
81.93,82.17,82.87,81.93
82.41,83.61,84.13,82.32
83.17,82.90,83.44,82.02
82.33,82.09,82.89,81.89
82.17,80.89,82.17,80.75
80.52,79.12,80.52,78.90
82.50,79.89,82.60,79.79
79.09,79.12,80.87,78.30
79.59,76.61,79.59,76.40
76.39,74.23,76.51,74.21
74.57,73.19,74.83,72.50
72.56,70.32,72.63,70.27
70.88,69.93,71.06,69.06
68.32,65.54,69.30,65.53
65.44,68.29,68.53,64.10
67.16,64.24,67.22,64.19
64.59,67.31,68.07,64.41
67.41,68.98,69.47,67.31
69.28,69.63,69.89,68.44
68.87,67.65,68.99,67.23
67.87,67.53,68.15,67.24
65.76,64.33,65.76,63.91
63.49,63.01,64.75,62.95
63.89,63.80,64.49,63.53
64.00,64.07,64.28,63.69
63.96,65.39,65.45,63.85
65.75,63.69,65.93,63.59
63.27,64.61,64.77,62.14
65.38,65.85,65.87,64.92
65.63,67.23,67.50,64.98
67.70,67.82,68.65,67.30
67.61,66.68,68.49,66.63
65.47,64.69,65.57,64.61
62.71,64.11,64.29,62.22
64.82,66.20,66.52,64.45
65.25,65.27,66.30,65.14
64.60,63.84,64.80,63.47
63.17,64.37,64.45,63.13
64.50,64.61,65.68,63.90
64.98,65.21,66.09,63.65
65.78,66.17,66.67,65.40
66.54,67.17,67.54,66.36
65.99,65.57,66.14,64.76
65.95,64.37,66.07,64.33
64.38,60.99,64.43,60.98
59.20,58.94,59.66,58.30
58.40,60.15,60.65,58.34
60.63,62.74,62.79,60.50
64.08,63.72,64.72,63.43
63.95,62.12,64.44,61.87
63.26,63.36,64.71,62.30
62.49,61.97,63.22,61.89
61.54,60.04,62.65,60.02
59.24,62.32,62.37,59.15
62.60,63.85,63.98,62.35
63.67,64.72,65.12,63.58
65.04,64.70,65.73,64.20
65.90,67.53,67.53,65.82
66.78,67.34,67.67,66.78
67.73,68.51,68.79,67.69
68.01,68.15,68.50,67.18
68.96,69.08,69.26,68.39
68.90,68.37,69.57,68.20
68.36,69.22,69.91,67.82
69.30,68.94,69.95,68.68
69.04,68.81,69.30,68.01
69.50,70.37,70.92,69.33
70.50,69.85,71.12,69.53
69.48,68.81,70.08,68.64
69.88,67.74,69.95,67.11
70.65,69.06,71.46,68.00
69.30,69.74,69.93,68.36
68.66,67.78,69.01,67.77
65.98,65.98,66.73,65.19
66.88,66.18,67.18,65.61
66.59,68.89,69.28,66.59
68.04,68.58,68.65,67.44
68.48,70.48,70.59,68.31
70.72,70.97,71.23,69.96
69.54,68.65,69.95,68.51
69.39,68.45,69.55,67.95
69.07,69.62,69.92,68.88
69.50,69.08,69.94,68.95
68.11,68.83,69.30,67.86
68.14,67.98,68.37,67.49
67.62,66.87,67.98,66.16
67.10,66.71,67.37,66.16
65.57,65.17,65.65,63.66
64.86,63.77,65.00,63.24
63.28,62.59,63.29,62.46
62.60,63.29,63.94,62.42
64.52,64.61,65.13,64.22
64.87,64.72,65.57,64.63
66.47,66.30,67.08,66.13
66.13,66.01,66.85,65.89
66.83,66.24,66.88,66.14
66.94,67.29,67.96,66.72
66.69,67.02,67.59,66.29
66.95,67.03,67.28,66.38
66.37,64.73,66.48,64.52
65.27,66.16,66.70,65.07
65.53,65.18,66.15,64.67
65.12,65.22,66.72,64.94
64.93,64.61,65.28,64.46
65.43,65.61,65.99,65.21
66.16,64.45,66.73,63.85
64.95,64.05,66.20,63.84
65.05,65.71,66.16,64.99
65.65,66.01,66.20,64.91
66.17,66.79,67.14,65.87
67.00,67.39,67.47,66.74
67.45,67.23,67.59,67.10
67.27,66.70,67.27,66.46
66.85,67.05,67.15,66.76
67.09,66.68,67.20,66.68
67.62,67.51,68.00,67.06
67.28,67.46,67.59,67.16
67.13,67.43,67.53,66.55
67.30,67.07,67.52,66.99
67.04,66.91,67.23,66.84
67.98,67.97,68.07,67.67
67.73,69.21,69.53,67.68
69.54,69.89,70.00,69.22
69.20,69.31,69.64,69.03
69.96,70.15,70.53,69.80
70.00,70.10,70.41,69.64
70.20,70.63,70.89,70.07
70.32,70.50,70.97,70.15
69.18,70.41,70.85,68.66
69.93,70.34,70.46,69.65
70.09,70.61,70.95,69.65
70.61,70.07,70.62,69.83
69.78,69.91,70.10,69.48
69.42,69.60,69.76,68.78
69.81,70.74,70.86,68.65
71.07,70.30,71.24,70.26
70.52,69.72,70.64,69.71
70.49,70.62,70.91,70.47
70.13,70.07,70.34,69.86
70.00,70.25,70.39,69.57
70.33,70.72,70.99,70.33
70.83,70.47,70.98,69.99
69.99,70.14,70.29,69.67
70.53,70.71,70.95,70.37
70.21,70.80,70.84,70.21
70.88,70.54,70.89,70.09
70.60,70.77,70.90,70.26
70.80,70.95,71.10,70.65
71.00,70.74,71.04,70.55
70.86,70.43,70.86,70.16
70.35,70.58,70.58,69.95
70.64,70.28,71.22,70.20
70.04,70.24,70.86,69.41
70.16,70.28,70.40,69.91
70.22,70.25,70.48,69.88
70.80,69.59,70.80,69.40
69.40,68.83,69.54,68.66
68.83,68.77,69.15,68.58
68.00,67.70,68.21,67.51
67.84,67.73,67.92,67.31
68.20,68.15,68.62,67.60
68.29,68.19,68.48,67.61
68.16,68.63,68.68,68.00
68.80,69.99,70.05,68.63
70.00,70.60,70.76,69.92
70.60,70.77,70.83,70.28
70.74,71.00,71.34,70.69
70.84,70.52,71.10,70.39
70.38,70.08,70.44,69.46
70.11,69.73,70.26,69.70
69.42,69.60,69.76,69.17
69.49,69.56,69.73,69.27
70.00,70.69,70.80,69.96
70.92,71.34,72.16,70.65
71.47,70.96,71.50,70.42
70.87,70.86,70.96,70.15
71.10,70.77,71.24,70.56
70.28,71.58,71.82,70.00
71.68,70.95,71.75,70.60
70.51,70.05,70.78,69.98
69.79,69.00,70.05,68.77
68.39,68.47,68.60,67.66
68.47,67.41,68.47,67.10
67.95,68.23,68.61,67.72
68.25,69.56,69.72,68.23
69.48,69.02,69.57,68.82
69.27,69.09,69.76,69.04
69.53,70.30,70.49,69.27
70.09,69.95,70.22,69.74
69.94,69.47,70.08,69.14
69.62,69.91,70.38,69.36
69.46,69.42,69.58,68.76
69.41,69.85,69.99,69.18
70.31,70.03,70.64,69.55
71.00,73.59,74.79,70.01
74.00,73.49,74.20,73.16
73.17,73.54,73.63,72.76
73.63,73.77,74.19,72.72
73.32,73.00,73.61,72.87
72.93,72.40,73.49,71.87
72.15,72.00,72.24,71.71
71.75,71.41,71.92,71.27
71.04,71.15,71.26,70.65
70.63,70.46,71.14,70.30
70.86,71.00,71.17,70.74
70.72,70.53,71.16,70.47
69.89,70.35,70.68,69.74
70.14,69.50,70.22,69.33
70.02,68.44,70.22,68.43
68.54,67.88,68.75,67.84
68.20,67.58,68.20,67.45
67.59,68.10,68.27,66.79
68.10,68.33,68.68,67.88
67.88,67.98,68.17,66.46
68.33,67.68,68.53,66.90
67.46,67.19,68.00,66.99
67.76,67.90,68.02,67.43
67.45,67.61,67.86,66.81
67.40,68.19,68.71,67.00
67.42,67.11,67.86,67.10
67.40,67.20,67.40,66.83
67.00,67.43,67.49,66.87
67.42,69.36,69.36,67.42
69.74,69.65,70.54,69.49
69.41,69.62,69.76,69.20
70.11,69.19,70.20,69.13
69.51,70.26,70.38,69.36
70.10,69.57,70.57,69.33
69.72,71.35,71.67,69.57
71.69,71.74,71.86,71.31
71.44,73.11,73.50,71.44
73.09,73.26,73.73,72.95
73.27,73.45,73.94,73.04
73.49,72.43,73.93,72.35
72.89,73.21,73.53,72.51
72.89,71.83,72.90,71.80
72.02,71.31,72.07,70.59
71.53,71.93,72.47,71.34
71.55,71.45,71.67,70.82
72.56,74.01,74.05,72.50
74.08,74.05,74.33,73.20
74.02,74.45,74.52,73.73
73.84,73.94,74.31,73.58
73.03,72.73,73.14,72.57
72.18,72.38,72.70,71.49
72.60,71.65,73.32,71.27
71.59,71.57,71.94,71.30
71.18,71.32,71.89,70.66
71.33,72.31,72.97,71.19
72.08,71.84,72.47,71.57
71.96,72.64,72.68,71.67
69.60,71.03,71.65,69.48
71.19,71.51,71.76,70.91
71.10,70.64,71.63,70.42
69.63,68.63,69.93,68.61
68.58,68.27,68.83,67.05
67.01,69.62,69.69,67.01
69.34,69.55,70.49,68.76
69.83,69.86,70.58,69.26
69.63,70.35,70.59,69.21
70.28,70.89,71.29,69.89
71.16,69.87,71.16,69.59
69.47,68.58,69.68,68.00
69.43,69.79,70.23,69.38
69.96,68.79,69.96,68.67
69.03,69.38,69.70,69.00
69.25,69.76,69.84,69.03
69.50,70.41,70.48,69.35
70.26,70.39,70.53,69.15
70.12,69.29,70.29,69.08
69.63,69.29,69.75,69.06
68.99,68.74,69.09,68.36
68.85,69.04,69.39,68.45
69.06,69.17,69.26,68.51
68.39,69.44,69.48,68.00
69.61,69.62,69.92,69.11
69.47,69.55,69.84,69.25
70.07,69.71,70.07,69.41
69.45,69.98,70.07,68.79
69.95,69.54,70.22,69.45
69.24,69.48,69.98,68.72
69.60,70.06,70.08,69.40
69.72,69.88,70.09,69.40
70.26,70.24,70.74,69.89
70.12,69.06,70.27,68.84
69.18,69.38,69.74,69.06
69.81,70.91,70.93,69.71
70.61,71.40,71.49,70.49
70.99,71.46,71.79,70.90
71.43,71.52,71.69,71.25
71.78,72.10,72.38,71.25
72.07,72.56,72.97,71.29
72.48,73.10,73.45,72.24
72.83,73.00,73.61,72.81
73.05,72.41,73.05,72.41
72.38,72.35,72.60,71.83
71.90,72.23,72.30,71.37
72.31,72.46,72.91,72.27
72.15,72.21,72.50,71.54
72.24,71.97,72.51,71.90
71.88,72.21,72.73,71.55
72.42,72.47,72.75,72.11
72.15,71.71,72.46,71.55
71.96,73.38,73.52,71.73
73.53,73.11,73.70,73.06
73.22,72.99,73.64,72.86
73.35,73.23,73.87,72.95
73.57,73.46,73.94,73.23
73.41,73.20,73.41,73.01
73.25,72.72,73.68,72.63
72.70,72.14,72.70,72.04
72.62,72.10,72.96,72.10
72.35,72.32,73.16,71.98
72.33,72.75,72.81,72.24
73.03,73.65,73.78,72.99
73.72,74.42,74.51,73.60
74.25,74.84,75.00,73.75
74.47,73.61,74.75,73.48
73.46,73.33,74.24,72.96
71.89,72.61,72.89,71.89
72.78,73.10,73.83,72.67
73.58,73.79,74.12,73.11
73.62,73.42,74.14,73.04
73.65,73.80,74.40,72.81
73.94,74.85,75.00,73.04
74.88,75.85,76.19,74.51
75.64,75.85,75.96,74.93
76.05,77.46,77.68,76.05
76.14,74.40,76.56,72.27
73.95,73.73,74.90,73.73
73.51,74.47,75.07,73.51
74.57,74.28,74.71,74.21
73.75,74.40,75.38,73.75
74.26,72.67,74.42,72.43
72.40,72.35,73.06,72.10
72.60,73.97,74.01,71.91
74.89,74.85,74.96,74.04
74.90,75.45,75.45,74.32
75.51,75.63,76.05,75.22
75.92,76.33,76.33,75.38
76.00,76.74,76.85,75.68
76.48,76.47,77.34,75.88
76.13,77.21,77.33,75.66
77.49,77.45,77.70,76.68
77.31,76.85,77.69,76.67
77.05,76.44,77.20,75.92
76.38,75.99,76.64,75.65
75.90,76.18,76.65,75.24
75.96,76.26,76.48,75.35
76.65,76.65,76.81,75.89
76.56,76.65,77.05,76.12
76.79,76.61,77.03,76.30
76.93,76.14,77.00,76.01
76.09,75.51,76.15,75.48
75.38,75.28,75.65,74.95
75.33,75.88,75.90,74.86
76.01,77.03,77.04,75.88
76.95,76.33,77.00,76.21
76.22,77.91,77.91,76.17
76.60,77.77,77.79,76.60
77.61,77.59,77.74,76.93
77.75,76.99,77.87,76.66
77.06,76.76,77.38,75.92
76.24,75.71,76.79,75.64
75.40,76.62,76.68,74.63
78.11,77.55,78.11,76.85
77.46,77.42,77.93,77.21
77.52,77.71,77.80,77.27
77.41,77.18,77.63,76.84
77.12,76.75,77.13,76.18
77.01,77.86,78.00,76.92
78.00,78.49,78.50,77.89
78.31,77.88,78.56,77.63
77.86,77.83,78.06,77.46
77.69,78.86,79.16,77.21
78.19,78.38,78.82,77.48
78.61,79.37,79.65,78.42
79.49,78.81,79.80,78.40
78.72,78.82,78.96,78.60
78.41,78.89,79.20,78.27
79.00,78.73,79.13,78.36
78.81,78.71,78.81,78.42
78.69,77.73,78.82,77.50
77.73,77.89,78.23,77.38
78.37,78.11,79.08,75.79
77.95,75.92,78.03,75.80
76.39,75.22,76.95,74.28
74.92,74.86,75.50,74.38
75.06,75.76,76.13,75.06
75.62,76.12,76.85,75.51
76.32,77.00,77.27,76.06
77.25,77.67,77.82,77.11
77.64,78.12,78.29,77.31
78.34,78.36,78.50,77.74
78.37,78.07,78.60,77.31
77.74,77.74,78.34,77.35
77.62,77.67,77.69,77.35
77.74,77.63,77.74,77.30
76.98,77.00,77.90,76.43
76.90,76.46,76.98,76.13
76.66,76.88,76.99,76.53
77.11,75.32,77.44,75.30
75.67,75.89,75.99,75.33
75.24,76.47,76.59,75.20
76.46,76.27,77.15,76.24
76.14,76.40,76.72,75.55
76.12,75.84,76.40,75.21
75.99,76.81,77.01,75.63
77.02,76.33,77.03,75.64
76.44,76.70,77.00,76.38
77.00,77.18,77.25,76.57
77.06,77.31,77.39,76.75
77.28,77.42,77.65,77.02
77.55,78.77,79.00,77.55
78.89,79.70,79.74,78.72
79.82,81.13,81.13,79.49
80.54,80.67,81.01,80.26
81.06,81.03,81.23,80.50
81.32,81.21,81.60,81.10
80.73,80.29,81.33,80.09
80.35,80.43,80.75,80.17
80.75,79.82,81.05,79.70
80.13,80.09,80.19,79.79
79.70,80.16,80.29,79.50
80.29,80.92,80.96,79.93
80.92,80.45,81.00,80.27
80.82,80.03,80.82,79.72
80.11,81.09,81.50,80.00
81.10,81.21,82.36,81.04
80.55,82.40,82.44,80.21
81.76,81.83,81.83,80.85
82.00,81.84,82.32,81.54
82.00,83.37,83.42,81.76
83.50,83.30,83.99,83.23
82.95,82.45,82.95,81.78
82.12,81.58,82.61,81.30
82.14,82.68,82.74,81.91
82.05,80.31,82.40,80.21
80.36,80.19,80.56,79.75
80.49,81.38,81.49,80.43
81.50,81.27,81.50,80.57
81.64,81.35,81.95,80.54
81.69,82.60,83.00,81.69
83.00,82.31,83.00,81.00
82.48,81.39,82.48,79.63
81.37,81.08,81.46,80.61
80.99,81.25,81.34,80.80
80.98,81.00,81.75,80.81
81.20,82.31,82.38,81.01
82.60,83.42,83.70,82.50
82.54,83.54,83.95,82.54
83.66,83.86,84.00,83.24
83.85,84.42,84.43,83.76
84.42,84.08,84.98,83.90
83.99,83.78,84.34,83.40
83.74,83.82,83.99,83.52
83.85,84.27,84.45,83.74
83.71,85.09,85.29,83.28
84.89,84.77,85.69,84.64
84.77,85.55,85.76,84.77
85.44,86.76,86.96,85.21
86.85,87.37,87.38,86.46
87.42,85.81,87.96,85.67
85.11,85.07,86.02,85.00
84.69,85.19,85.32,84.50
85.91,85.54,86.18,85.22
84.93,84.61,85.20,84.13
85.07,86.60,87.23,85.07
86.50,85.09,86.69,85.07
85.29,86.53,86.58,84.93
86.38,85.71,86.84,85.26
85.06,84.40,85.39,84.33
84.46,85.22,85.24,84.05
85.26,86.81,86.88,85.26
86.81,86.56,86.95,86.22
85.59,86.06,86.62,85.50
86.71,85.96,87.38,85.91
85.98,85.80,86.56,85.60
85.87,86.04,86.45,85.50
86.50,86.45,87.04,86.10
86.61,86.80,87.00,86.38
86.87,85.28,86.97,85.28
84.72,84.13,85.28,84.07
