EOG,EOG Resources,NASDAQ
51.96,53.48,53.89,51.87
53.66,52.38,54.10,52.34
52.29,53.59,53.65,51.96
53.48,53.69,54.20,52.58
54.42,54.64,54.72,53.66
54.69,55.25,55.48,54.35
54.78,53.74,55.18,53.65
53.23,54.00,54.20,53.15
54.44,55.76,55.84,54.44
55.66,55.94,56.11,55.22
55.48,56.50,56.61,54.93
56.08,56.86,56.93,55.54
56.98,56.24,57.29,56.08
56.02,54.32,56.52,54.18
54.70,54.71,55.20,54.04
55.10,55.63,55.80,54.60
55.77,56.06,57.48,55.28
56.41,56.78,57.45,55.52
54.68,55.12,55.27,52.72
54.00,52.58,54.47,52.14
52.20,51.18,52.74,48.28
50.91,50.42,52.28,49.46
51.34,53.24,53.88,50.78
52.49,52.37,52.70,51.92
52.50,54.19,54.37,52.50
54.06,54.04,55.06,53.80
53.47,53.04,53.81,51.70
53.08,51.62,53.64,50.48
52.50,51.42,52.96,51.24
51.26,51.12,52.12,49.80
49.82,48.14,49.89,48.02
47.19,50.30,50.33,46.64
49.82,48.68,50.54,48.63
46.75,49.36,49.46,46.72
50.01,49.87,50.94,49.70
50.98,53.26,53.36,50.72
53.02,52.42,53.78,51.92
51.80,50.42,52.50,50.30
51.05,53.88,53.90,50.44
53.74,54.86,54.96,52.56
53.90,51.50,55.30,50.96
51.78,50.57,53.10,49.69
51.26,52.68,52.90,50.55
53.09,51.90,54.27,51.54
52.91,54.38,54.44,52.91
54.00,54.93,54.96,53.48
55.47,54.48,56.08,54.32
55.30,55.18,55.52,54.42
54.72,55.20,55.71,54.36
55.21,55.03,55.57,54.26
55.00,55.11,55.28,54.49
56.00,55.30,56.95,54.76
55.30,53.22,55.68,52.91
53.28,53.42,53.96,52.63
52.91,52.30,54.11,51.99
53.12,54.89,54.98,52.30
54.47,52.71,54.78,52.47
51.66,50.12,51.88,49.76
50.13,49.18,50.68,49.02
49.26,49.54,49.99,47.89
49.34,49.17,50.32,48.78
50.17,49.92,51.35,49.38
50.06,51.90,51.91,49.62
52.44,53.11,53.40,51.88
52.94,52.78,53.44,52.12
52.65,52.77,53.30,52.34
53.50,53.40,54.16,53.26
53.06,53.32,54.24,52.58
53.50,53.10,53.50,51.96
52.56,51.14,52.76,50.56
51.34,51.00,51.76,50.34
50.24,52.08,52.24,50.00
52.26,51.21,52.32,50.76
51.92,51.60,52.37,51.38
51.40,51.16,51.60,50.30
51.10,51.86,52.21,51.10
51.93,50.28,51.97,49.56
50.46,50.28,50.93,50.01
50.86,50.29,51.01,49.74
49.79,48.75,50.49,48.57
49.66,51.26,51.42,49.53
51.15,50.85,51.42,50.60
51.03,51.50,51.88,50.76
51.12,51.22,51.45,50.56
48.22,49.63,49.86,47.62
50.08,49.97,50.30,49.06
49.40,50.35,50.70,49.24
49.30,48.58,49.59,48.36
47.70,47.68,48.93,47.52
47.66,47.08,47.96,46.86
46.74,47.04,47.10,46.06
47.54,47.58,47.80,46.90
47.38,46.68,47.50,45.98
46.50,45.76,46.80,45.56
45.63,45.71,45.85,45.22
45.82,45.86,46.48,45.70
45.15,44.30,45.24,43.77
43.96,43.73,43.99,42.71
44.04,43.31,44.51,43.09
43.78,44.70,44.80,42.90
44.62,43.78,44.96,43.76
43.58,43.44,44.16,42.96
44.14,44.97,45.03,43.64
45.04,44.74,45.04,44.22
45.16,45.16,45.69,44.90
44.63,44.36,44.94,44.17
44.36,45.14,45.32,44.36
45.72,44.68,45.75,44.26
44.81,46.10,46.28,44.81
46.58,46.14,46.58,45.82
45.94,46.10,46.57,45.65
45.87,45.79,46.08,45.36
46.10,45.50,46.35,45.22
45.54,44.56,45.54,43.92
44.71,43.86,44.94,43.68
44.00,44.81,45.12,43.64
44.85,45.18,45.46,44.85
44.65,44.84,45.39,44.32
45.57,46.06,46.44,45.03
46.12,45.62,46.48,45.60
45.68,45.89,45.99,45.04
45.50,46.91,46.97,45.38
47.24,46.48,47.42,45.86
47.06,48.08,48.30,46.99
47.68,47.86,48.42,47.59
48.38,48.66,48.88,47.72
48.64,49.26,49.72,48.60
49.50,49.28,49.54,48.81
49.34,49.73,49.91,48.98
49.50,49.78,50.32,49.40
49.44,49.46,49.72,48.90
49.86,49.38,50.12,49.18
48.94,49.50,49.87,48.94
49.85,50.02,50.42,49.58
49.94,50.66,51.03,49.78
49.89,49.74,50.05,49.27
49.78,50.06,50.41,49.58
50.22,49.40,50.84,48.84
49.74,48.66,49.74,48.24
49.02,48.73,49.46,48.56
48.43,47.88,48.84,47.59
47.46,47.88,47.95,46.83
48.20,47.47,48.46,47.17
47.26,47.86,48.02,47.07
48.44,48.04,48.96,47.68
48.58,48.87,49.18,47.93
45.24,44.32,45.25,43.00
44.88,44.14,44.88,43.16
44.33,44.30,44.43,43.50
44.60,44.73,45.67,44.38
45.07,46.00,46.40,44.93
46.20,46.94,47.04,46.04
46.61,47.06,47.50,46.61
46.56,46.02,46.72,45.62
46.75,46.22,47.11,46.04
45.71,45.52,45.71,44.80
45.64,45.08,45.96,44.99
45.26,46.06,46.36,45.02
45.82,46.48,46.54,45.57
46.34,46.25,46.82,45.49
45.58,44.35,45.60,44.25
44.65,44.90,45.02,44.27
44.48,44.46,44.90,44.42
44.32,44.61,44.82,43.80
44.21,44.48,44.94,44.00
45.24,45.82,45.86,44.78
45.76,46.93,47.00,45.76
46.73,46.87,47.00,46.39
46.78,47.19,47.35,46.76
47.78,46.36,48.04,46.22
46.58,46.10,46.76,45.70
46.18,46.12,46.70,45.88
45.96,45.38,46.22,45.36
45.75,45.35,46.25,45.30
45.41,45.82,46.04,45.09
45.68,45.06,46.10,44.92
45.08,45.26,45.36,44.88
45.20,45.84,45.90,45.04
45.94,45.73,46.00,44.94
45.86,45.82,46.22,45.54
45.96,46.10,46.28,45.73
45.30,45.72,46.03,45.16
45.62,45.06,45.72,44.76
45.26,44.99,45.32,44.96
45.24,45.60,45.77,44.98
45.61,45.88,46.03,45.44
45.82,45.70,46.06,45.66
46.22,46.18,46.75,46.14
46.54,46.07,46.64,45.70
45.63,46.16,46.50,45.42
46.68,46.41,47.22,46.15
46.63,47.13,47.18,46.46
47.08,47.48,47.50,46.91
47.72,48.36,48.44,47.39
48.74,49.24,49.66,48.46
49.12,48.93,49.29,48.52
48.90,50.29,50.36,48.62
50.42,51.44,51.60,50.16
51.42,50.72,51.50,50.38
49.89,50.68,50.74,49.62
51.00,50.86,51.29,50.25
50.68,50.86,51.06,50.30
50.79,49.94,50.79,49.47
50.19,51.14,51.47,50.12
50.96,51.62,52.07,50.86
51.68,51.26,52.58,51.08
51.37,53.20,53.29,51.37
53.36,53.69,54.14,52.92
53.50,53.62,54.14,53.17
53.44,53.52,53.62,52.81
53.65,53.39,53.74,52.86
53.68,52.80,54.24,52.72
52.91,52.38,52.91,51.78
52.15,51.98,52.66,51.38
51.74,52.12,52.34,51.54
51.92,51.65,52.25,51.52
51.68,52.45,53.26,51.68
52.40,51.78,53.10,51.58
52.04,51.50,52.68,51.47
51.64,52.11,52.29,51.17
53.42,54.44,54.90,53.40
54.93,54.16,55.81,54.04
54.26,57.20,57.37,54.26
57.30,55.08,57.58,54.90
55.35,55.88,56.24,55.02
56.04,56.16,56.62,55.78
54.75,53.96,56.10,53.94
52.92,54.34,54.48,52.19
54.66,55.54,55.64,53.99
55.40,54.69,55.79,54.20
55.12,54.29,55.70,54.09
54.27,53.10,54.45,53.04
53.07,52.90,53.82,52.60
52.26,51.42,52.26,51.20
51.30,52.82,53.28,51.00
52.54,53.26,53.55,52.06
51.64,52.72,53.24,51.32
52.90,52.24,53.76,51.54
53.38,54.34,54.58,52.94
54.88,53.96,55.22,53.52
54.74,55.70,55.73,54.50
56.17,56.68,57.22,56.00
56.72,57.04,57.04,56.00
57.46,57.78,57.85,56.51
57.91,58.77,59.06,57.38
58.38,59.22,59.86,58.17
58.76,59.84,59.88,57.90
60.15,59.60,60.72,59.18
59.62,59.26,60.05,59.21
59.58,59.20,59.65,58.91
59.45,59.18,59.91,59.04
59.02,58.46,59.37,58.32
58.86,57.40,58.98,57.38
57.26,57.33,57.84,56.38
57.73,57.33,58.20,56.90
57.28,56.34,57.49,55.93
55.76,54.62,55.76,54.08
55.04,55.30,56.10,54.82
54.85,55.36,55.64,54.35
55.42,55.52,55.94,54.78
54.86,54.94,55.20,53.92
54.96,54.74,55.20,54.24
55.66,55.91,56.00,55.22
55.66,55.94,56.14,55.30
56.00,55.17,56.10,54.86
55.37,55.86,55.88,54.99
56.00,55.88,56.10,54.60
55.80,55.99,56.52,55.16
55.92,56.52,56.78,55.54
56.74,55.47,56.90,55.24
55.34,54.08,55.35,53.62
53.88,53.14,53.88,52.42
52.13,52.18,52.72,50.92
54.50,53.72,55.68,53.06
55.12,55.66,55.95,54.75
55.71,55.42,55.89,54.89
55.22,53.34,55.34,53.00
52.73,52.76,53.46,52.06
52.91,52.72,53.40,52.20
52.58,52.35,53.86,52.12
52.06,52.80,53.09,51.88
52.94,53.31,53.73,52.75
53.48,53.00,53.61,52.54
53.04,53.42,53.97,52.44
52.55,52.12,52.80,51.98
52.58,53.03,53.54,52.42
52.75,53.60,53.96,52.75
53.35,53.62,53.75,52.70
53.94,54.08,54.54,53.70
55.00,54.57,55.10,53.55
54.76,54.10,55.84,53.98
54.20,55.46,55.86,54.20
54.68,55.28,55.90,53.90
55.27,54.53,56.02,54.52
54.76,54.02,55.02,54.01
54.06,54.47,55.43,54.06
54.78,55.39,55.58,54.52
55.00,53.84,55.23,53.78
54.00,52.36,54.28,51.82
53.13,52.52,53.49,52.31
52.08,51.44,52.67,51.12
51.28,50.80,51.78,50.62
51.20,51.12,51.50,50.36
50.76,50.45,50.96,50.11
50.76,51.10,51.59,50.62
50.86,50.67,51.70,50.61
49.53,50.08,50.12,48.31
50.04,49.14,50.20,49.04
48.70,50.16,50.22,48.60
50.30,51.20,51.40,50.00
51.32,51.55,52.08,50.80
51.78,52.28,52.42,51.62
52.18,51.54,52.28,51.01
51.66,51.62,52.50,51.48
51.52,51.14,51.66,50.88
51.84,51.78,52.00,51.22
50.99,50.96,51.31,50.58
50.22,49.50,50.22,49.28
49.42,49.44,50.06,49.26
49.76,49.47,50.54,49.29
49.73,48.36,49.79,48.20
50.00,50.60,51.06,49.87
50.70,50.76,51.30,50.24
51.00,52.02,52.14,51.00
52.40,51.90,52.40,51.76
52.32,52.78,52.95,52.04
52.78,53.28,53.30,52.50
52.60,53.10,53.73,52.40
53.10,53.28,53.94,52.31
53.00,52.04,53.01,51.98
52.02,51.72,52.66,51.54
51.09,51.00,51.68,50.75
51.94,50.81,52.16,50.24
50.43,49.60,51.18,49.54
49.64,48.99,49.66,47.78
48.26,46.06,48.26,45.72
49.14,47.96,50.61,46.70
46.80,44.30,46.90,43.53
45.14,45.43,45.95,43.05
45.26,43.50,45.54,43.34
43.98,46.57,47.14,43.48
48.39,47.08,48.92,46.57
47.60,48.14,48.24,47.32
47.50,47.29,47.85,46.56
47.64,47.00,48.52,46.51
45.83,43.82,45.83,43.42
43.31,43.78,44.88,43.25
44.95,43.18,45.25,42.92
43.16,44.48,44.50,42.79
44.18,44.96,45.02,43.92
45.31,44.13,45.62,43.76
43.87,44.92,45.08,43.00
45.61,45.78,45.84,44.90
45.55,46.10,46.38,44.88
46.49,46.30,47.08,45.72
46.66,45.71,47.08,45.64
44.68,44.18,45.10,43.91
42.87,43.48,43.56,42.46
44.24,45.34,45.42,44.05
44.81,44.62,45.98,44.38
43.66,42.66,44.14,42.46
42.26,43.06,43.08,41.96
43.22,43.38,43.71,42.66
42.93,43.88,44.43,42.55
44.44,45.20,45.20,44.06
45.56,45.08,45.62,44.62
44.06,43.88,44.31,42.98
44.10,43.56,44.78,43.44
43.48,41.72,44.16,41.70
40.42,38.38,40.46,37.56
37.68,36.86,38.58,36.68
37.63,38.34,38.40,36.57
39.32,39.30,40.26,39.02
39.36,37.14,39.40,37.07
38.02,36.89,38.18,35.94
35.70,35.50,36.38,34.78
35.07,34.20,35.12,33.90
33.67,36.83,37.02,33.40
36.86,38.40,38.48,36.61
38.18,39.27,39.46,37.76
39.52,37.45,39.62,37.36
38.42,39.70,39.72,38.37
39.32,40.07,40.24,38.98
40.40,40.48,41.34,40.15
40.01,40.11,40.26,38.82
41.04,41.99,42.04,40.86
41.65,40.70,42.05,40.56
40.76,43.01,43.30,40.12
42.83,43.94,44.59,42.76
43.76,43.67,44.02,42.54
44.48,45.31,45.54,44.10
45.56,45.54,45.90,45.12
45.54,43.76,45.54,43.62
44.49,43.71,44.64,43.17
45.50,45.91,47.00,44.92
45.82,47.59,47.63,45.82
46.70,44.72,46.75,44.65
43.00,42.94,43.50,41.94
45.36,48.02,48.91,45.06
48.79,50.02,50.30,48.10
49.42,50.84,51.26,49.14
50.74,50.58,51.20,49.86
50.88,50.96,51.12,49.72
49.72,49.12,50.33,49.00
49.70,50.02,50.38,49.22
50.60,52.00,52.02,50.58
51.47,51.88,52.24,50.65
51.66,51.18,51.96,51.00
50.97,50.34,51.70,50.27
50.20,48.51,50.65,48.08
49.18,48.92,49.93,48.02
47.86,48.00,48.32,47.02
47.79,47.49,48.16,46.82
46.80,45.80,46.94,45.70
45.42,45.44,46.42,45.38
47.00,47.80,48.40,46.93
48.14,49.12,49.46,48.00
51.02,51.87,52.20,51.02
51.82,51.26,52.50,50.84
51.90,51.28,52.00,51.06
52.00,51.06,52.43,50.62
51.23,52.44,53.10,51.04
52.06,51.52,52.14,50.83
51.27,50.32,52.29,50.06
50.24,51.88,52.21,50.24
51.04,50.52,51.13,49.58
50.88,49.25,51.56,48.58
48.49,46.58,48.53,46.56
47.28,47.22,47.78,46.50
47.72,48.84,48.95,47.37
48.76,47.78,48.86,47.60
48.92,48.98,49.60,48.68
49.12,49.09,49.34,48.26
49.11,49.16,49.32,48.97
49.24,49.14,49.56,48.62
49.20,49.50,49.87,49.05
49.62,48.22,49.74,48.06
48.18,49.02,49.09,48.18
49.02,49.26,49.55,48.90
50.30,50.72,51.06,50.20
50.73,50.80,51.00,50.31
50.58,51.08,51.26,49.91
51.12,51.22,51.88,51.00
51.24,51.08,51.53,50.75
52.70,52.76,53.63,52.45
52.39,51.58,52.74,51.48
51.82,51.94,52.35,51.27
51.34,51.52,51.72,50.72
52.35,51.86,52.56,51.33
51.81,52.68,52.91,51.40
52.84,52.54,53.26,52.34
52.44,51.58,52.48,51.22
52.42,52.80,53.32,52.18
52.32,52.28,52.44,51.75
52.14,53.40,53.60,51.51
53.64,52.38,53.75,52.12
52.16,52.06,52.63,51.74
51.50,52.66,52.72,51.08
52.78,53.07,53.14,52.35
53.48,52.95,53.49,52.34
52.82,53.24,54.06,52.48
54.02,54.54,55.06,53.55
54.74,55.03,55.28,54.38
55.00,55.56,55.75,54.52
55.72,55.71,55.84,54.78
55.52,56.22,56.83,55.44
55.38,55.92,55.92,55.08
56.27,56.69,56.82,56.09
56.58,56.88,56.91,56.18
57.25,57.42,57.95,56.68
57.50,58.81,59.40,57.26
59.54,57.18,59.98,56.74
57.99,57.82,58.50,57.50
57.98,57.83,58.76,57.78
57.92,58.25,58.30,57.25
58.33,58.78,59.04,58.10
58.66,57.81,58.90,57.81
57.96,58.30,58.60,57.75
58.36,56.93,58.60,56.69
57.12,58.46,58.50,57.12
58.20,56.95,58.39,56.54
56.76,56.60,56.81,55.68
55.56,56.36,56.40,55.11
56.36,56.57,56.84,56.02
57.36,57.20,57.66,56.66
57.25,57.49,57.88,57.03
57.62,56.86,57.62,56.26
56.92,58.42,58.47,56.51
58.40,57.34,58.48,57.04
57.42,57.82,58.14,57.02
58.18,58.39,58.94,57.90
58.32,58.70,58.98,58.06
58.07,57.36,58.07,57.08
57.36,56.90,57.55,56.54
56.18,55.18,56.57,54.93
55.24,55.86,56.33,55.08
56.38,56.08,56.60,55.80
56.23,55.64,56.26,55.46
55.37,54.82,55.48,54.25
54.24,54.51,54.63,53.58
54.74,55.55,55.74,54.38
55.50,56.68,57.16,55.16
56.32,56.78,56.85,56.08
56.03,55.26,56.20,54.85
55.06,54.59,55.74,54.42
53.48,53.72,54.02,53.30
53.72,52.00,53.86,51.90
52.59,51.48,52.76,51.26
51.50,52.61,52.82,51.47
52.36,51.66,52.65,51.55
51.93,51.38,52.56,50.92
51.96,52.40,52.66,51.76
52.20,52.08,52.49,51.78
52.15,51.98,52.64,51.66
52.44,51.52,52.75,51.40
50.30,51.80,51.88,50.30
52.06,52.22,52.46,51.70
52.69,53.22,53.26,52.30
53.21,54.26,54.44,53.00
54.50,54.51,54.62,54.05
54.44,54.90,54.97,53.92
55.15,55.62,56.12,54.90
54.95,54.64,54.95,54.11
54.50,53.86,54.97,53.61
53.20,52.64,53.60,52.19
52.24,52.38,52.92,51.64
51.81,52.00,52.10,50.20
51.90,52.55,52.84,50.38
53.37,53.26,53.66,52.76
52.74,52.12,53.28,51.96
51.45,50.52,51.45,50.44
50.50,49.60,50.85,49.32
49.83,49.48,50.80,49.28
49.46,48.67,49.66,48.58
48.94,48.16,49.31,47.89
48.66,50.10,50.13,48.64
50.80,50.66,51.74,50.24
50.14,50.85,50.90,48.89
51.00,50.40,51.20,49.57
50.28,50.88,51.22,50.28
52.22,52.43,52.66,51.58
51.67,50.50,51.67,49.95
50.38,49.65,50.42,48.20
47.94,45.84,48.07,45.67
45.98,45.20,46.08,44.42
44.80,45.94,46.12,44.78
46.52,47.46,47.48,46.42
48.29,47.72,48.70,47.20
46.91,46.94,47.06,45.88
47.68,45.96,48.05,45.90
46.30,47.08,47.18,46.12
46.90,46.35,47.62,46.01
46.45,47.23,47.48,46.11
47.44,48.32,48.39,46.96
48.02,47.36,48.08,47.18
47.84,47.98,48.16,47.29
48.07,46.47,48.38,46.07
46.42,43.24,46.64,43.17
43.84,43.81,43.98,42.94
42.84,42.45,42.94,41.83
42.46,41.98,42.78,41.24
42.12,42.86,43.08,42.04
42.60,42.58,42.92,41.94
43.98,45.06,45.13,43.78
44.77,44.47,44.97,43.77
45.00,47.44,47.50,45.00
47.04,46.00,47.25,45.88
44.88,45.32,45.68,44.54
45.20,45.74,46.44,45.09
45.74,44.68,45.98,44.38
44.86,45.94,46.31,44.86
45.08,45.52,45.92,44.54
45.68,46.46,46.54,45.60
46.22,46.62,46.92,45.64
47.09,47.62,47.72,46.16
47.42,48.35,48.72,47.28
48.60,49.12,49.32,48.38
48.74,49.62,49.64,48.12
48.32,48.60,48.74,47.12
48.64,47.75,48.95,47.21
48.24,47.84,48.36,47.10
48.67,48.71,49.29,48.13
48.98,50.50,50.74,48.72
50.34,49.78,50.81,49.22
49.71,49.00,49.95,48.98
nan,49.00,nan,nan
49.06,48.06,49.56,47.64
51.53,53.38,54.38,51.07
53.48,52.87,53.66,52.76
52.86,54.37,54.75,52.78
53.71,53.95,54.53,53.70
53.76,54.70,55.40,53.72
54.06,55.00,55.18,54.00
55.45,54.65,55.45,54.41
55.13,55.18,55.56,54.86
54.84,54.91,55.36,54.48
54.88,55.50,55.54,54.70
55.66,55.60,55.86,55.05
55.76,54.78,55.78,54.58
55.14,54.38,55.42,54.14
54.28,54.46,54.60,53.55
54.38,53.50,54.59,53.22
53.48,54.46,54.59,53.28
54.49,54.58,54.98,54.08
54.62,54.41,54.96,54.02
54.44,54.02,54.49,53.74
53.72,52.94,53.72,52.72
53.50,54.15,54.30,53.05
54.21,54.66,54.88,53.60
54.54,54.27,54.76,54.22
54.91,56.20,56.60,54.80
55.48,56.44,56.64,55.36
56.50,56.20,57.24,56.04
56.40,56.22,56.73,55.96
56.42,56.49,56.97,55.80
56.72,57.59,58.06,55.90
57.87,58.81,59.84,57.87
58.70,58.20,59.12,57.94
58.12,57.94,58.41,57.28
57.83,56.78,57.90,56.75
56.46,56.78,57.04,55.74
57.28,56.98,57.37,56.62
56.30,56.60,56.87,56.08
56.85,56.21,57.20,56.13
55.94,55.30,56.04,55.20
55.88,56.60,56.88,55.75
56.30,56.02,56.50,55.57
56.50,57.10,57.34,56.46
57.40,57.57,57.64,56.94
57.42,55.54,57.50,55.40
55.96,55.71,56.12,55.32
55.76,54.96,56.20,54.75
54.43,54.91,54.98,54.32
54.96,55.52,55.90,54.64
55.42,54.75,55.68,54.60
55.20,54.92,55.64,54.80
54.98,54.39,55.16,53.94
54.33,55.12,55.29,53.88
55.86,56.87,56.94,55.76
57.27,57.62,57.82,56.78
57.27,57.38,57.54,56.87
57.26,56.54,57.72,56.28
56.39,56.06,56.47,55.22
55.04,55.08,55.45,54.52
55.44,55.35,55.77,54.88
56.02,56.21,56.22,55.46
56.14,57.04,57.25,56.00
57.12,58.24,58.28,57.12
58.24,58.44,59.30,58.02
58.88,57.60,59.26,57.34
57.28,58.40,58.54,57.28
61.70,60.99,62.24,60.65
60.00,60.00,60.48,59.66
59.94,57.88,60.38,57.86
57.82,57.26,58.38,57.22
57.54,57.38,57.80,56.72
56.95,57.64,58.57,56.84
57.69,56.68,57.95,56.50
56.72,58.08,58.28,56.66
58.62,58.34,58.73,57.40
59.10,59.30,60.40,58.91
59.20,58.70,59.27,58.28
58.90,59.07,59.27,58.70
59.25,59.50,59.58,58.82
58.72,58.32,58.92,57.80
57.77,57.54,58.03,57.22
57.04,58.18,58.30,56.36
58.80,58.82,59.21,58.40
58.70,58.81,59.20,58.52
59.12,58.62,59.55,58.56
58.47,58.59,59.00,58.34
58.75,59.36,59.78,58.67
59.14,59.18,59.38,58.50
59.36,58.68,59.36,58.46
58.60,58.86,58.93,58.28
59.16,59.36,59.75,58.98
59.60,60.37,60.68,59.36
60.16,59.26,60.32,59.18
59.19,59.50,59.90,59.02
59.70,60.48,60.49,59.39
60.54,61.96,62.12,60.50
61.80,61.22,62.01,61.22
61.40,62.18,62.25,61.20
61.21,61.78,62.08,60.94
61.56,61.38,62.10,61.34
61.57,60.78,61.58,60.61
60.99,60.82,61.08,59.78
60.28,59.30,60.46,59.25
59.06,60.40,60.49,59.00
61.70,61.84,61.84,60.72
61.74,62.09,62.74,61.24
62.12,62.90,63.12,61.98
62.60,63.00,63.05,62.08
62.88,62.07,63.00,61.59
62.18,62.32,62.58,61.84
62.70,63.05,63.06,62.28
63.03,62.82,63.22,62.50
62.82,62.33,63.14,62.12
62.00,62.55,62.75,61.88
62.42,62.68,62.75,62.20
63.00,63.02,63.28,62.44
63.17,63.40,63.54,62.61
63.48,63.25,63.67,62.45
63.08,62.38,63.30,62.25
62.45,62.50,63.20,62.40
62.68,62.64,63.27,62.27
62.90,62.10,62.90,61.78
62.33,63.47,63.60,62.00
63.58,63.16,64.72,63.08
62.75,62.49,62.98,62.25
63.32,64.30,64.40,62.50
63.84,63.64,63.90,63.30
64.32,64.41,64.64,63.95
63.86,64.84,64.96,63.76
64.86,64.88,65.06,64.02
65.07,66.64,66.70,65.07
66.64,66.67,66.84,66.06
66.75,67.05,67.34,66.40
67.00,66.80,67.20,66.40
69.04,66.66,69.10,66.54
66.63,64.60,67.00,63.89
65.28,65.70,65.79,65.02
65.72,63.70,65.87,63.66
63.24,62.02,63.53,61.78
62.50,62.67,62.92,61.84
62.84,60.88,63.48,60.82
61.18,61.75,61.92,60.38
61.56,63.46,63.56,61.38
63.22,62.86,63.98,62.80
62.32,61.50,62.68,61.12
61.39,60.90,61.44,60.50
61.54,62.35,62.52,61.21
62.59,62.80,62.98,62.16
62.88,63.78,64.12,62.68
64.10,64.34,64.46,63.74
64.16,64.33,64.68,63.71
64.75,65.04,65.20,64.56
65.00,64.94,65.59,64.74
65.24,65.92,66.00,65.14
65.74,65.21,66.42,65.20
64.46,64.46,65.21,64.16
64.55,63.64,64.76,63.36
64.18,63.12,64.40,63.08
62.64,61.95,63.42,61.92
62.22,62.49,62.54,61.81
62.88,61.96,63.40,61.52
62.24,64.45,64.70,62.18
63.94,64.10,64.34,63.10
64.08,64.04,64.58,63.72
64.04,64.26,64.42,63.32
64.40,64.52,65.02,64.02
64.52,63.05,64.71,62.88
63.04,61.43,63.04,61.32
60.50,62.38,62.44,60.38
62.47,63.44,63.61,62.26
63.54,64.12,64.60,63.10
64.28,64.31,65.10,64.24
64.50,64.13,64.83,63.86
63.65,62.06,63.90,62.00
61.18,58.10,61.18,58.06
58.92,59.58,59.82,57.91
58.70,57.41,58.93,56.73
57.70,57.66,57.98,56.02
58.08,56.72,58.14,56.46
56.98,58.20,58.41,56.76
58.45,58.50,58.69,57.64
58.52,59.96,60.22,58.50
60.08,60.93,61.76,59.68
60.85,59.56,60.96,59.50
60.25,60.96,61.36,59.94
60.90,60.58,61.37,60.30
60.20,59.42,60.20,58.88
59.62,59.84,60.13,59.00
60.70,61.99,62.10,60.70
62.30,63.02,63.36,61.63
66.90,67.84,68.98,66.48
68.02,68.95,69.39,67.96
69.40,68.04,69.50,67.76
67.74,66.79,67.74,65.85
66.41,66.83,67.27,66.16
67.00,68.34,68.48,66.91
68.24,67.34,68.82,67.02
67.26,66.61,67.46,66.37
66.90,67.62,67.94,66.76
67.68,67.80,68.58,67.44
67.89,67.14,68.13,67.02
67.08,65.46,67.76,64.91
64.48,65.70,65.82,64.12
64.86,65.42,65.48,64.32
66.23,65.56,66.62,64.76
65.17,66.42,66.71,65.06
66.16,66.34,66.97,65.45
65.86,64.55,66.30,64.54
65.08,65.88,66.06,64.86
65.74,66.08,66.32,65.16
65.83,64.26,65.98,64.24
64.46,65.32,65.32,63.76
65.55,66.34,66.82,65.10
66.16,65.81,66.30,65.58
64.64,64.56,65.16,64.12
65.63,64.82,65.88,64.74
64.84,66.66,66.75,64.68
66.80,65.87,66.80,65.56
66.60,66.66,67.17,66.08
66.75,67.51,67.98,66.57
67.48,67.80,69.00,67.39
66.86,65.50,66.94,64.90
