CMI,Cummins Inc. Common Stock,NASDAQ
66.91,67.04,69.35,66.81
67.44,66.74,67.92,65.95
65.98,68.06,68.32,64.78
68.26,69.76,69.84,67.57
70.24,70.31,71.50,70.01
74.45,72.40,76.35,71.99
73.20,73.81,74.95,73.07
74.71,75.79,76.95,74.22
75.75,72.23,76.56,72.05
72.67,73.25,74.25,72.60
71.96,70.65,72.01,69.33
68.82,70.41,71.80,67.30
69.95,67.24,72.00,58.91
64.85,65.31,68.49,64.57
69.72,72.13,72.38,69.60
70.77,71.76,72.95,70.60
72.74,75.09,75.45,72.52
75.18,74.04,76.23,73.65
73.29,71.55,73.31,70.68
71.75,71.27,72.44,68.71
73.04,69.95,73.45,69.51
68.04,68.47,69.77,66.51
66.03,63.70,66.08,62.00
62.00,65.87,66.20,60.36
66.00,64.23,66.81,64.07
61.45,64.94,65.11,60.50
66.42,65.98,68.62,65.54
68.10,69.59,69.62,67.73
69.78,67.98,70.20,67.02
67.08,66.09,69.10,66.05
67.17,69.78,69.89,66.16
71.22,70.54,72.00,69.14
69.00,66.35,70.00,65.50
66.52,62.94,66.52,62.86
63.50,65.19,65.50,62.80
65.95,65.89,67.51,65.40
67.57,70.48,70.84,67.57
69.04,72.22,72.43,68.92
73.69,72.41,74.34,72.08
73.00,75.37,75.46,72.98
74.62,74.51,75.04,74.04
75.15,73.81,75.20,72.96
74.06,74.30,74.95,73.35
76.00,74.97,77.10,74.33
75.01,72.21,75.57,72.01
72.30,73.15,73.85,70.61
72.09,71.36,72.85,70.75
71.85,72.59,72.69,70.54
72.57,70.46,72.76,70.40
68.98,66.24,69.02,65.50
66.19,65.13,67.36,65.02
64.87,64.82,66.64,63.24
65.01,64.24,65.67,63.71
65.86,63.57,66.30,63.04
63.69,67.41,67.59,63.58
68.28,68.94,69.20,67.19
69.00,71.53,71.64,68.37
71.26,70.66,71.70,69.87
72.35,73.73,74.24,71.96
73.48,74.64,75.38,72.90
74.94,72.70,74.94,72.05
71.78,69.50,72.54,69.36
70.43,70.66,71.01,68.52
68.99,72.54,72.74,68.82
73.50,73.15,75.24,72.77
75.21,75.90,76.36,74.60
75.50,76.97,77.98,74.60
76.90,77.85,78.43,76.70
82.18,79.43,82.34,78.62
79.25,79.76,80.39,79.01
80.93,79.14,81.09,78.27
77.70,79.61,80.14,77.01
81.48,81.41,82.13,80.78
81.20,80.04,81.87,79.47
80.52,81.49,81.64,79.47
81.05,81.64,81.98,80.15
80.94,81.13,82.21,79.65
82.04,81.12,82.46,80.76
80.00,81.48,81.88,79.56
79.26,77.81,80.13,77.17
75.51,77.97,78.52,75.00
77.70,77.75,78.42,77.02
77.06,77.77,78.42,76.00
78.86,80.57,81.24,78.69
80.60,81.83,82.17,79.37
81.24,81.24,82.69,80.39
82.07,79.51,82.15,78.65
80.19,76.50,80.19,76.04
75.00,74.77,76.24,73.76
73.80,73.48,74.30,71.51
74.23,72.57,75.62,72.48
73.71,76.19,76.50,71.97
75.32,73.82,76.00,73.66
73.24,74.41,75.23,72.51
77.07,79.88,81.21,77.00
79.74,81.80,81.84,79.09
82.91,83.16,84.69,82.16
82.43,80.88,82.75,80.75
81.00,81.96,82.42,80.34
83.33,81.44,83.49,80.85
81.88,81.92,82.82,81.24
84.28,84.81,84.93,83.34
84.18,85.02,85.58,83.65
84.15,83.32,84.49,82.30
83.03,84.08,84.50,82.77
84.74,85.14,85.57,83.02
85.86,87.95,88.43,85.32
88.60,89.13,90.47,87.85
89.11,88.39,90.00,87.67
87.16,88.31,89.62,86.75
90.00,90.86,92.50,90.00
90.86,89.60,90.86,89.34
90.06,90.96,91.17,88.24
90.77,91.30,91.90,90.35
92.40,90.58,92.86,89.68
91.37,91.31,91.70,89.66
91.25,89.69,91.68,88.85
91.35,92.24,92.97,90.63
92.19,93.22,93.60,91.93
93.70,92.28,93.80,90.83
92.59,92.91,93.66,91.52
93.19,93.06,94.19,92.50
92.88,92.26,92.88,90.68
93.00,92.82,93.75,92.55
93.01,93.76,94.77,93.00
94.37,93.64,94.87,92.41
93.64,91.35,93.64,90.80
89.74,90.17,91.58,88.80
90.58,92.05,93.14,90.36
92.58,93.75,93.81,91.83
94.09,93.63,94.09,92.50
94.77,94.49,96.13,94.26
87.41,89.00,91.56,87.00
89.27,89.26,90.25,88.22
90.23,89.01,90.23,88.24
89.26,88.10,89.86,87.94
87.90,88.20,89.50,87.51
88.80,91.37,91.76,88.49
91.40,91.47,91.68,89.87
93.22,95.64,95.72,92.78
95.64,96.39,96.63,95.26
95.85,95.40,96.10,94.91
95.20,93.30,95.51,92.85
93.78,94.53,94.97,92.48
93.95,95.01,95.02,93.32
93.81,94.06,94.83,92.69
94.63,93.98,94.71,93.29
92.95,91.32,92.99,90.37
91.39,92.02,92.71,90.42
93.62,93.81,95.34,93.40
93.34,94.31,94.44,92.56
94.24,95.59,95.75,93.39
93.62,94.91,95.19,93.56
95.89,98.65,98.73,95.72
97.57,98.20,98.64,97.40
97.26,97.27,97.61,95.50
96.06,97.12,97.78,95.59
99.74,100.52,101.20,99.25
100.84,103.97,104.36,100.52
102.72,102.84,103.95,102.26
102.75,104.96,105.58,102.43
106.49,105.98,107.62,105.60
106.03,105.08,106.48,103.57
106.11,104.25,106.20,104.00
105.00,105.03,105.22,104.00
106.40,106.69,107.26,105.70
106.55,108.29,109.19,106.55
108.41,108.62,110.84,108.04
109.25,108.51,109.25,107.14
108.47,107.96,109.00,107.80
108.49,109.12,109.57,107.68
109.72,111.19,111.59,109.25
111.05,111.25,111.41,110.38
110.87,110.91,111.78,110.46
110.18,109.82,110.27,108.88
109.89,110.06,110.51,108.87
110.20,110.13,110.69,109.81
110.19,110.16,110.89,109.91
109.85,110.01,111.87,109.09
111.08,111.75,112.07,110.83
112.23,111.60,112.25,109.00
110.96,112.99,113.66,110.96
113.47,110.16,113.88,109.98
110.61,109.78,112.06,109.15
109.01,111.04,111.77,108.87
111.90,111.52,113.11,111.01
112.90,111.83,112.90,111.69
111.95,112.91,113.25,111.07
112.78,112.56,113.24,111.47
113.31,113.85,114.81,112.60
113.75,111.43,113.91,111.17
111.11,108.02,112.07,107.78
109.18,105.05,110.20,103.72
105.05,106.13,106.31,102.58
106.03,107.07,107.20,104.70
107.80,109.61,110.68,107.60
110.65,109.92,111.92,109.18
110.23,105.38,110.33,104.96
106.70,105.88,109.48,105.16
106.98,107.41,108.32,101.85
107.00,106.89,108.65,106.19
107.40,107.65,107.94,105.50
107.67,109.69,110.14,107.05
110.23,111.81,112.14,109.70
112.05,111.70,112.39,110.00
111.16,111.80,112.29,110.22
110.54,111.14,112.13,109.77
110.64,111.70,112.25,110.64
112.81,113.54,114.30,112.36
113.50,112.65,113.53,111.37
113.38,110.99,113.80,110.88
110.95,111.82,112.20,110.33
112.18,110.04,112.50,109.82
107.98,103.08,108.18,102.76
102.65,100.69,102.97,97.20
100.73,100.87,103.55,99.51
102.21,102.33,103.05,101.25
102.96,101.12,103.81,100.80
102.38,99.92,102.38,98.92
99.88,100.30,101.93,99.07
102.09,103.94,104.58,101.56
104.20,102.50,104.34,101.50
102.49,99.70,103.07,99.36
100.21,100.09,101.16,98.62
99.64,100.07,101.00,98.70
97.98,98.65,99.44,95.83
97.20,98.73,99.30,96.90
98.19,97.55,99.48,96.60
94.16,99.93,100.50,93.50
100.09,98.93,101.77,97.85
101.25,99.97,101.95,99.30
101.97,99.92,102.50,99.50
102.03,102.57,103.36,101.29
102.93,101.70,102.93,100.83
101.44,102.68,103.17,100.01
103.84,103.77,104.49,102.68
104.10,104.54,105.80,104.07
104.86,104.92,105.41,104.29
104.76,107.63,108.05,104.50
108.90,109.57,110.75,108.64
109.24,109.62,110.33,108.58
110.88,111.30,113.65,110.52
112.04,110.83,112.20,110.46
111.32,110.95,111.87,109.29
111.17,110.26,111.98,109.65
109.66,110.17,111.60,108.72
111.00,108.89,111.22,107.41
108.87,107.42,108.98,106.59
106.17,105.72,106.67,104.15
106.74,105.89,108.00,105.00
104.88,105.32,105.47,103.30
105.71,105.13,106.07,104.53
103.47,102.82,103.52,101.16
103.83,105.33,106.51,103.83
107.15,108.15,108.32,106.25
109.00,108.94,109.87,108.45
109.42,108.20,109.79,108.03
114.59,116.39,117.40,114.25
117.40,119.08,119.58,115.05
118.68,117.75,119.84,117.15
118.38,120.18,120.54,117.88
121.32,118.29,121.49,118.05
117.25,115.93,118.15,115.06
116.48,112.66,116.84,112.60
111.75,115.89,117.95,110.82
118.35,117.24,119.51,116.79
117.62,117.59,118.55,116.46
118.07,118.41,118.72,117.20
118.10,114.04,118.10,113.17
113.67,113.12,114.69,111.08
112.50,110.29,113.50,110.17
109.74,110.12,112.50,109.26
109.52,106.49,109.60,105.86
106.80,108.19,108.53,105.63
109.31,109.51,110.26,108.21
108.98,106.41,109.24,106.14
104.08,104.16,105.19,102.33
104.94,102.68,105.50,102.25
101.82,105.11,105.75,101.74
104.77,105.85,106.33,104.00
106.06,104.97,106.29,104.52
106.73,105.24,106.88,103.93
104.79,100.64,105.33,100.50
101.35,103.09,103.92,101.00
100.67,101.40,103.18,99.79
101.21,99.95,101.83,99.25
101.60,100.98,102.41,100.74
100.65,96.23,100.93,95.85
96.75,96.58,97.55,95.86
96.17,92.87,96.17,92.68
93.15,93.45,94.81,92.41
94.90,95.87,97.10,94.78
94.66,92.44,95.58,92.32
92.69,92.93,94.76,91.13
94.63,93.62,94.90,93.09
93.39,93.48,94.17,92.76
94.26,97.52,97.64,94.23
97.25,96.08,99.45,95.98
94.09,98.35,98.40,93.49
99.08,96.67,100.00,96.26
96.69,97.39,97.90,95.66
98.29,100.70,100.70,98.03
101.82,101.04,101.94,100.12
101.37,103.49,104.17,100.57
103.80,107.42,107.84,103.48
106.50,105.65,107.20,105.25
105.74,106.78,107.34,104.72
108.79,108.82,110.15,108.67
105.93,106.77,107.62,105.01
104.97,103.65,106.46,103.16
104.76,103.32,106.31,103.01
104.65,105.71,107.61,104.65
106.22,104.49,107.65,103.15
105.49,104.68,105.76,103.27
104.30,103.50,104.32,101.80
104.52,106.58,106.79,104.52
107.66,106.75,108.00,105.92
107.45,107.57,109.14,106.43
106.34,106.78,107.58,104.74
104.64,106.66,107.62,104.40
113.22,110.82,114.00,110.35
109.38,106.49,110.20,105.88
106.87,105.74,108.94,105.40
104.02,104.88,105.85,102.05
108.60,103.79,108.75,102.50
102.82,99.15,105.04,99.08
99.74,101.54,101.80,95.74
99.38,93.16,100.96,93.00
95.96,92.26,96.50,88.01
86.68,83.67,89.69,83.01
86.04,91.11,91.29,83.84
88.93,86.25,89.69,86.00
87.51,91.87,93.39,87.15
94.45,94.47,96.40,93.67
95.46,96.18,96.95,94.70
94.97,93.68,95.46,92.96
94.72,91.93,94.75,90.66
87.10,83.34,87.19,82.32
81.78,79.91,84.46,79.62
84.02,79.95,84.45,79.63
80.96,84.15,84.15,79.87
83.85,86.58,86.85,82.80
87.66,85.13,88.26,84.54
83.53,87.47,87.52,82.80
89.76,90.46,90.53,88.44
89.76,90.98,91.90,88.49
92.20,92.92,94.96,91.68
92.80,90.76,94.35,90.69
86.54,86.82,88.79,86.12
82.62,85.54,85.75,82.27
88.14,90.50,91.00,88.00
89.08,90.01,92.45,88.80
88.43,88.16,89.98,86.49
85.85,87.06,88.22,84.33
89.56,92.20,93.74,89.02
92.96,94.17,95.70,91.20
96.84,97.86,98.00,95.38
98.50,97.84,99.73,96.69
95.10,97.03,97.85,94.30
97.13,94.25,97.80,94.23
94.00,91.61,95.58,91.51
86.92,85.26,88.70,84.11
84.84,86.26,87.92,84.45
87.30,89.48,89.65,84.30
92.42,91.91,94.94,91.32
91.89,86.95,92.82,86.70
89.87,86.45,90.09,83.61
83.88,81.66,84.62,81.51
80.90,81.01,83.67,80.42
79.68,85.12,85.50,79.53
85.16,88.32,88.77,84.50
88.48,90.02,90.30,87.00
91.27,90.17,91.57,89.25
91.96,94.08,94.08,91.15
93.15,95.75,96.38,92.74
96.85,95.71,97.71,94.92
95.04,95.48,95.72,92.75
97.28,97.60,98.26,95.60
96.10,92.37,96.10,92.00
92.82,93.76,94.75,90.95
93.69,90.49,93.86,90.06
91.26,91.84,92.60,89.90
93.37,94.22,94.33,91.78
96.18,98.82,99.21,96.00
92.10,93.81,94.96,90.50
95.40,94.88,96.86,92.75
98.72,99.97,102.90,98.43
100.97,102.75,103.54,100.54
100.37,99.43,101.92,99.17
94.21,96.03,97.42,93.90
98.89,98.77,100.32,97.55
100.52,103.24,103.95,100.00
101.92,103.39,103.46,101.05
102.95,101.00,103.69,99.59
101.75,101.68,101.98,98.57
98.27,96.35,99.22,96.03
98.14,97.28,98.70,95.95
98.74,98.72,99.79,98.30
98.40,99.41,99.98,98.23
99.00,99.23,100.02,98.02
98.31,98.03,100.50,97.84
97.77,94.78,98.38,94.02
96.12,94.02,96.12,93.71
92.36,91.10,92.79,90.16
91.09,89.58,91.21,87.90
88.42,86.84,88.70,86.40
86.67,86.04,87.64,86.04
90.09,90.45,90.76,89.08
90.83,88.47,91.09,88.35
92.20,96.33,96.50,92.20
96.06,96.32,97.33,95.19
97.96,95.73,98.00,95.72
97.55,95.71,97.65,94.87
95.44,96.70,97.54,94.87
95.78,94.58,95.95,93.33
93.67,91.89,94.42,91.51
92.30,95.11,95.49,92.00
93.75,92.37,93.87,91.26
93.02,89.24,94.05,88.50
87.74,87.51,88.51,86.27
88.88,86.83,88.98,86.55
87.81,87.30,90.02,86.81
87.64,85.82,88.18,85.51
87.82,90.02,90.18,87.60
89.37,87.97,89.49,86.13
88.56,88.15,88.87,87.14
88.58,89.07,89.15,87.78
88.82,88.83,89.54,87.92
89.08,87.85,89.58,87.00
88.00,88.98,89.28,87.95
88.09,88.02,88.94,88.02
90.45,91.05,92.75,90.37
90.86,92.30,92.78,90.45
92.67,94.70,94.86,91.59
95.00,93.53,95.03,93.37
93.77,96.21,96.57,93.61
97.88,98.73,99.20,97.67
98.35,98.57,99.25,98.00
99.01,99.23,99.51,97.26
97.81,97.76,99.04,96.80
99.56,99.25,100.94,98.97
98.96,101.32,101.75,98.67
103.63,105.51,106.10,103.19
105.12,104.78,105.50,104.10
105.24,105.50,106.50,104.34
104.38,106.80,107.23,103.79
106.50,108.96,109.34,105.90
110.95,107.25,110.95,106.61
106.70,106.50,107.75,106.21
104.67,105.35,105.89,102.52
106.35,104.00,107.06,103.75
105.34,105.82,107.91,104.25
111.76,113.31,114.75,110.58
115.46,120.09,120.66,114.76
119.02,119.80,120.93,118.37
119.48,119.55,120.05,118.14
119.54,119.58,119.99,118.53
119.53,121.24,121.73,119.16
119.36,120.30,120.37,117.96
121.74,122.88,122.92,120.05
121.78,121.50,122.72,120.30
121.93,121.07,123.18,120.42
121.64,123.04,123.08,120.80
123.19,122.07,123.81,121.30
122.62,123.30,124.69,122.18
122.77,122.38,123.07,121.00
122.59,122.56,123.56,121.61
122.71,121.78,123.55,121.51
121.33,121.40,122.01,119.43
121.44,121.71,122.54,120.44
121.91,120.57,122.78,120.27
121.47,121.65,122.25,120.46
121.20,119.46,121.45,118.83
119.68,120.28,122.08,118.89
117.23,115.37,117.87,114.88
115.63,117.72,118.17,115.60
118.75,119.98,120.34,117.30
120.56,118.93,121.64,118.63
119.15,117.55,119.34,117.38
119.19,124.31,124.50,118.64
124.08,123.88,124.29,122.70
123.92,126.99,127.83,123.01
127.75,127.54,129.51,127.32
128.57,128.00,129.45,126.96
126.66,123.42,126.86,121.83
123.93,123.59,124.63,123.00
120.97,120.12,121.64,118.95
120.25,121.52,122.05,119.45
123.47,123.91,124.35,122.91
124.30,122.51,124.45,122.39
122.07,117.98,122.71,117.28
116.93,119.66,119.82,116.23
120.62,120.04,120.76,118.61
120.62,121.71,122.25,118.31
121.04,119.84,123.34,118.80
117.49,115.62,117.49,114.86
115.97,115.54,116.93,115.25
113.37,115.54,116.84,112.76
115.00,111.76,115.41,111.31
114.02,111.81,114.25,110.02
112.57,116.05,116.77,112.16
115.42,114.02,115.90,113.73
115.44,114.10,115.95,112.72
115.88,116.07,116.97,114.28
115.34,116.81,117.55,114.11
116.87,114.80,117.18,113.41
115.71,116.03,117.03,115.21
113.92,114.67,115.37,113.50
115.50,116.04,117.22,114.73
115.16,115.10,116.47,113.81
114.69,116.08,116.36,113.81
116.69,118.29,119.00,116.69
117.12,115.83,118.10,114.94
113.99,111.14,114.47,110.50
110.50,112.49,113.14,109.55
111.89,110.44,112.34,109.75
109.40,107.11,109.86,105.43
104.76,105.50,107.56,104.17
104.93,106.89,107.25,103.00
105.16,106.74,109.20,104.75
108.94,105.87,109.18,105.37
104.68,106.47,107.36,104.61
104.84,103.66,105.44,103.52
103.90,102.97,104.43,102.58
103.74,100.61,104.01,100.52
100.47,96.74,100.89,96.35
97.55,97.20,99.07,96.57
97.93,99.49,99.90,97.75
100.21,100.94,102.50,99.61
99.73,101.52,101.54,98.45
102.18,100.26,102.42,99.00
99.90,98.95,100.49,98.54
100.67,101.06,101.92,99.67
99.34,99.00,99.88,97.82
98.00,96.95,98.29,95.43
94.70,93.56,95.11,93.23
92.00,91.68,93.74,89.44
90.94,92.33,92.97,90.91
93.55,95.75,95.75,93.04
98.64,97.29,100.55,97.10
95.71,96.80,97.09,95.17
98.21,92.48,98.46,92.25
93.00,96.73,96.87,92.54
95.45,93.65,96.59,93.17
94.10,93.15,94.10,91.88
93.87,94.69,94.73,93.26
93.80,94.36,95.08,93.18
94.77,96.64,97.66,94.77
97.09,95.40,97.09,94.33
95.33,91.48,95.86,91.30
92.11,90.39,92.27,89.84
89.06,89.82,90.44,88.93
89.99,89.65,90.28,88.31
90.17,90.63,90.77,88.79
89.66,92.26,92.28,89.66
95.80,96.91,98.09,95.16
97.25,96.08,97.53,94.68
96.66,100.14,101.21,96.42
99.00,99.31,100.66,98.60
96.48,96.29,96.52,94.55
95.95,95.44,96.57,94.75
96.64,86.91,97.36,85.08
86.01,83.53,86.31,83.29
83.36,85.77,86.55,82.20
86.31,88.63,88.82,85.60
88.00,86.56,88.00,86.26
87.06,86.53,87.09,85.01
86.10,87.54,88.64,85.33
87.56,88.70,89.32,87.36
87.92,86.09,88.06,85.75
84.35,87.46,88.50,84.35
88.00,86.86,88.24,85.95
88.41,87.08,88.99,86.10
88.68,89.09,89.38,87.29
89.73,92.62,93.13,89.65
92.45,90.48,92.45,89.85
94.02,95.90,97.88,93.33
97.18,93.62,97.23,93.12
95.85,95.34,97.80,93.00
97.11,99.00,100.33,96.51
99.46,98.28,100.27,98.08
98.65,101.01,102.49,98.65
99.98,101.00,101.35,99.90
100.80,101.28,101.69,100.35
100.45,101.31,101.44,100.34
101.36,100.72,101.36,99.41
101.49,100.90,101.73,100.43
99.62,100.76,101.07,99.10
100.52,102.82,103.72,100.35
103.53,103.19,103.73,102.85
102.50,102.71,102.94,101.44
103.22,102.81,105.63,102.25
102.55,101.53,102.61,100.13
101.00,100.40,101.77,100.04
100.05,100.09,100.78,99.23
100.37,98.58,100.58,98.35
98.28,96.94,98.37,96.85
96.28,97.70,98.16,95.90
95.92,95.74,97.80,95.52
96.86,97.11,97.40,95.50
95.81,95.29,97.08,94.84
95.50,95.33,96.06,94.81
96.52,98.43,99.65,96.52
98.84,100.57,101.41,98.84
99.20,97.39,99.98,97.17
97.79,98.25,99.20,97.79
97.85,98.50,99.48,97.84
98.89,100.19,100.52,97.31
100.63,102.62,104.71,100.63
102.41,99.97,102.41,99.60
99.90,99.07,100.17,98.71
99.35,99.19,100.29,98.69
97.96,96.95,97.96,96.11
98.02,96.17,98.10,96.10
95.57,95.19,96.12,95.05
95.11,92.41,95.14,92.34
92.65,92.27,93.38,91.43
92.95,92.86,93.49,92.01
92.13,92.21,92.69,91.16
92.87,92.31,94.34,92.07
92.15,91.75,92.87,91.34
92.02,90.64,92.21,90.42
90.79,92.01,92.46,90.00
92.99,92.11,93.97,91.51
91.25,92.14,92.92,91.21
92.09,90.84,92.41,90.62
86.58,87.79,89.60,86.50
88.44,86.49,89.14,85.88
86.97,87.49,87.81,86.02
87.77,89.06,89.25,86.87
89.87,91.38,91.60,89.67
91.40,92.41,92.92,91.00
92.10,93.12,94.25,91.88
92.44,91.93,93.41,90.97
91.35,93.50,94.88,90.44
91.80,93.45,94.00,91.45
94.00,92.27,94.27,92.05
93.65,94.05,94.12,92.04
94.14,93.82,94.57,93.24
94.00,93.58,94.98,92.90
94.06,98.75,99.05,94.00
99.89,100.03,101.42,99.04
99.49,101.00,101.16,97.25
101.17,101.91,101.99,100.21
99.57,98.10,99.73,97.67
99.05,96.56,99.38,96.47
96.09,97.10,99.09,95.86
97.60,98.69,99.44,97.08
97.63,97.54,99.24,97.36
98.28,94.37,98.42,94.05
94.34,94.87,95.71,93.98
94.94,95.78,96.31,94.35
98.25,98.72,99.79,97.71
98.15,98.09,99.15,97.21
97.81,98.28,98.57,97.34
99.10,99.64,100.53,99.10
99.10,99.61,99.84,98.81
99.38,99.72,101.70,99.01
98.81,100.08,100.10,97.95
100.75,99.85,101.20,98.88
99.68,98.16,99.78,97.85
98.86,97.37,99.04,97.34
97.63,97.31,98.34,96.76
98.00,101.31,102.30,98.00
101.07,100.41,101.07,99.23
101.25,101.69,102.80,101.08
101.03,103.24,103.74,101.03
103.82,105.48,106.52,103.34
106.16,105.88,107.56,105.80
105.54,105.48,106.75,104.60
105.27,106.30,107.38,105.27
107.11,105.75,107.17,104.97
106.12,108.67,109.45,105.92
108.79,107.95,109.78,107.87
108.04,107.77,108.33,107.30
106.35,108.07,108.17,105.75
107.32,107.16,107.32,106.51
107.46,107.16,108.84,106.60
107.55,106.80,107.74,104.68
106.08,105.82,106.63,105.51
105.37,108.35,108.54,105.24
111.50,113.37,113.82,111.30
113.16,114.17,114.93,112.78
114.82,113.86,115.00,113.26
113.26,112.53,113.63,111.56
111.91,111.16,112.39,110.70
111.25,113.12,114.24,110.54
113.97,112.44,114.09,111.22
110.93,110.59,111.47,109.19
110.17,111.55,111.64,110.17
110.83,111.82,112.08,110.83
111.53,112.06,112.23,111.02
112.56,114.20,114.50,111.72
114.08,115.59,115.80,113.35
115.22,115.75,115.79,114.50
115.52,115.27,115.76,114.39
113.52,115.46,117.61,112.61
115.57,116.98,117.24,115.28
117.39,115.91,117.95,114.75
115.78,116.05,116.34,115.00
116.13,115.52,116.36,114.83
114.97,114.83,115.95,113.81
115.56,116.34,116.91,113.79
115.05,116.42,117.70,115.00
117.19,117.39,117.98,116.27
120.50,120.38,122.54,118.83
119.85,118.96,120.48,117.41
118.47,119.47,120.00,118.12
118.80,119.26,119.99,118.53
119.42,119.19,119.93,118.94
119.79,119.04,119.92,118.00
118.54,118.73,119.34,117.89
119.32,119.21,119.79,118.48
119.23,118.87,119.41,118.01
118.01,114.83,118.19,114.52
114.07,112.53,114.15,111.46
113.44,112.79,114.00,112.44
115.76,111.25,116.26,111.22
111.88,113.38,113.76,110.87
113.12,115.77,116.65,112.45
115.87,115.87,117.34,115.52
114.96,115.05,116.00,113.02
114.30,114.13,114.64,112.33
115.48,116.45,118.43,115.39
117.07,116.87,117.79,115.55
117.01,117.28,118.38,116.41
118.35,119.63,119.73,118.24
119.11,119.62,119.77,118.51
119.60,118.63,119.62,117.53
118.29,117.77,118.49,117.30
118.30,117.28,118.31,116.58
116.77,117.36,117.84,116.46
115.97,116.31,118.05,115.34
116.41,115.08,116.82,114.00
116.95,116.25,117.66,115.73
115.74,114.01,116.01,113.85
114.23,113.50,114.53,113.02
113.91,112.31,114.12,111.58
112.40,113.15,113.30,112.25
112.36,113.92,114.77,111.88
114.14,115.81,116.00,113.82
115.81,112.71,115.97,112.38
113.08,111.84,113.54,111.33
111.86,112.54,112.92,111.30
112.71,114.07,114.25,112.54
111.85,112.94,113.21,110.25
112.92,112.83,113.21,111.70
113.11,114.98,115.32,113.02
115.58,118.10,118.35,115.13
118.28,118.18,118.69,116.95
117.62,117.11,117.93,116.39
116.10,109.75,116.13,109.72
111.27,111.32,112.25,110.07
110.00,108.01,110.50,107.52
108.39,106.02,109.04,105.86
106.11,107.06,107.60,106.02
107.17,107.67,108.55,106.16
108.57,107.49,109.37,107.00
108.17,110.08,110.62,108.06
110.76,112.16,114.04,110.52
112.30,111.20,112.36,110.77
112.15,113.25,113.77,111.51
110.44,106.39,110.63,105.95
105.25,103.66,106.20,103.41
104.14,106.41,106.58,104.14
108.45,110.60,111.85,107.80
111.06,110.85,112.06,109.94
111.14,112.98,113.09,111.14
113.05,115.01,115.22,112.44
114.71,114.24,114.95,113.64
114.08,114.38,114.96,113.54
114.23,113.40,114.39,113.05
113.65,114.80,115.19,112.95
113.98,114.68,115.14,113.08
114.16,114.33,116.16,113.90
115.06,116.43,116.66,114.69
116.04,118.15,119.44,115.73
118.14,118.83,119.51,117.72
118.55,117.50,119.50,117.09
115.47,116.94,118.18,115.33
115.90,116.31,116.65,115.26
118.01,117.27,119.11,116.91
115.95,117.72,118.20,115.76
117.86,117.69,118.88,117.01
117.33,119.63,122.32,116.80
119.75,118.44,120.71,116.72
118.24,118.21,119.33,116.92
117.65,116.00,117.83,115.71
116.30,117.34,118.33,115.74
118.25,118.54,119.63,117.35
119.13,118.65,119.13,117.82
117.11,117.43,119.50,116.38
118.56,115.74,118.63,115.57
115.11,118.27,118.45,114.91
117.12,116.13,118.69,115.93
116.61,116.06,117.37,115.30
116.36,117.37,117.65,115.71
117.37,115.60,117.61,115.59
