JKJ,iShares Morningstar Small-Cap ETF,NASDAQ
84.91,84.37,85.08,84.34
84.16,82.29,84.69,82.29
82.71,82.31,82.96,82.30
83.47,84.09,84.09,83.00
83.89,82.04,84.26,82.04
82.13,83.54,83.62,82.13
81.94,80.90,81.94,80.44
80.07,79.87,80.98,78.41
79.55,76.90,80.08,60.40
76.70,74.77,77.30,74.48
78.84,78.90,78.90,77.92
78.18,79.37,80.51,78.18
79.84,81.64,81.69,79.84
81.07,80.89,82.09,80.52
79.90,79.15,79.90,78.40
79.67,79.25,79.91,77.39
80.14,77.85,80.35,77.60
77.31,76.88,78.19,75.59
75.88,73.18,75.88,72.98
71.56,74.35,74.90,71.14
74.13,73.52,74.87,73.45
72.52,73.66,73.66,70.71
74.35,73.66,75.50,73.66
75.56,76.68,76.68,75.24
76.84,76.64,77.00,75.85
74.94,74.37,75.55,74.37
74.05,75.63,75.63,73.62
75.68,76.55,76.65,75.54
74.45,72.81,75.18,72.69
72.92,71.03,73.23,71.03
71.18,71.14,71.37,69.93
71.78,71.22,72.77,70.93
72.54,73.68,73.68,72.31
72.77,74.57,74.57,72.77
75.38,75.01,76.24,74.85
75.69,77.01,77.15,75.60
76.26,76.65,77.29,76.25
77.07,76.46,77.07,75.67
76.75,76.50,76.97,76.03
77.74,75.84,77.97,75.46
76.18,74.16,76.70,74.16
73.78,73.87,74.38,72.89
73.08,72.44,73.42,72.38
72.07,73.00,73.40,72.07
73.31,73.00,74.00,72.85
71.84,70.34,71.84,69.98
70.15,69.71,71.03,69.46
69.48,69.22,69.64,67.31
69.40,68.61,69.40,68.02
70.03,67.68,70.03,67.42
67.80,69.80,69.80,67.80
70.84,71.14,71.14,70.19
71.51,71.93,71.93,71.33
71.71,71.40,72.17,70.72
72.21,73.54,73.72,72.21
73.19,73.38,73.72,72.98
73.59,73.16,73.59,72.00
71.98,70.38,71.98,70.21
70.69,70.71,70.93,69.97
69.70,72.02,72.02,69.70
72.60,71.30,72.60,71.30
71.92,73.49,73.59,71.92
73.02,74.87,74.87,72.88
74.90,76.33,76.33,74.90
77.04,75.86,77.04,75.69
75.66,74.73,75.75,74.31
75.49,74.48,75.49,73.48
73.50,74.48,74.67,72.92
75.45,75.85,76.07,75.25
75.68,75.00,75.79,74.48
75.51,75.59,75.68,75.06
75.06,74.96,75.43,74.96
73.95,74.46,74.50,73.29
74.91,75.21,75.31,74.66
74.83,74.22,74.83,73.37
72.51,71.23,72.51,71.03
70.10,70.85,71.02,70.02
70.63,70.01,70.65,69.94
69.56,70.24,70.66,69.56
70.95,71.51,72.11,70.92
71.04,71.85,72.30,71.00
71.30,70.23,71.30,69.99
69.31,69.98,69.98,69.24
70.64,69.35,70.64,69.33
67.74,68.71,68.89,67.51
67.99,69.33,69.33,67.64
69.63,68.72,69.78,68.72
69.25,70.36,70.36,68.71
70.07,69.20,70.08,69.20
68.75,68.72,69.38,68.22
69.77,71.21,71.27,69.74
71.40,72.34,72.39,71.26
73.38,73.65,73.65,72.96
73.39,72.19,73.39,72.12
72.35,72.73,73.21,72.35
73.71,72.78,73.71,72.35
72.86,72.94,73.34,72.67
73.92,74.52,74.68,73.89
74.12,74.59,75.10,74.12
74.38,74.95,75.09,73.87
74.93,74.50,74.93,74.06
74.98,74.95,75.13,74.00
74.59,76.73,76.75,74.59
76.61,76.24,77.00,76.05
75.91,75.29,76.41,74.87
74.68,74.34,75.68,74.21
75.24,76.32,76.32,75.20
76.19,76.07,76.50,75.86
75.73,77.05,77.05,74.99
76.90,77.22,77.52,76.67
77.97,77.08,78.15,76.52
77.94,77.46,77.94,77.04
77.49,76.55,77.70,76.01
77.16,78.43,78.57,77.16
78.40,78.16,78.65,77.91
78.62,78.24,78.66,77.89
78.35,79.16,79.25,78.02
79.01,79.18,79.66,79.01
78.84,79.62,79.69,78.28
79.88,80.39,81.03,79.76
80.35,80.03,80.51,79.52
80.73,79.88,80.81,79.78
79.99,80.50,80.52,79.88
79.69,79.09,80.12,78.59
79.59,79.88,80.26,79.20
80.47,79.61,80.74,78.90
79.95,80.13,80.25,79.82
80.68,80.37,81.29,80.28
79.60,80.18,80.71,79.60
79.64,80.00,80.00,79.00
80.70,79.87,80.70,79.47
79.55,80.01,80.27,79.55
80.45,79.73,80.92,79.34
80.47,80.92,80.92,80.20
81.09,81.11,81.21,80.25
82.75,83.39,83.39,82.42
83.70,83.77,84.33,83.68
84.00,84.02,84.15,83.54
84.42,82.59,84.42,82.59
83.13,83.75,83.76,82.27
82.92,83.50,83.77,82.77
82.90,82.31,83.15,82.00
82.65,82.20,82.87,82.20
81.48,80.67,81.50,80.33
80.98,81.04,81.30,80.74
82.12,82.38,82.90,82.12
82.19,82.87,82.95,82.07
82.67,83.08,83.19,82.20
82.24,82.34,82.44,81.80
83.63,84.11,84.18,83.29
83.73,83.82,84.04,83.51
83.20,83.50,83.64,82.47
82.61,83.24,83.36,82.46
84.78,85.16,85.22,84.78
85.12,86.25,86.31,85.12
86.44,86.90,87.01,85.92
86.92,87.27,87.37,86.83
88.31,87.40,88.31,87.34
87.75,87.36,87.75,87.25
88.17,87.56,88.17,87.25
87.72,88.49,88.69,87.60
89.01,88.12,89.01,88.12
88.45,88.23,88.73,88.15
88.64,87.77,88.64,87.73
87.69,88.43,88.62,87.69
88.39,88.73,88.82,88.22
88.85,88.97,89.27,88.60
89.09,89.80,89.99,89.09
89.99,89.95,90.31,89.89
89.78,89.39,89.92,89.38
89.07,89.54,89.68,88.96
89.56,89.48,89.71,89.33
89.82,89.70,89.83,89.69
89.81,89.83,89.95,89.76
89.49,89.11,89.66,89.08
90.05,90.33,90.82,89.74
90.69,89.21,90.69,88.34
89.09,89.71,89.73,88.89
89.95,89.43,89.95,89.34
89.81,89.13,89.99,88.18
88.56,89.71,89.86,88.35
89.89,90.01,90.32,89.81
90.68,90.87,90.87,90.35
90.76,90.76,91.01,90.54
90.72,91.41,91.50,90.67
91.41,91.93,91.93,90.81
91.32,90.03,91.32,89.88
89.41,89.36,89.61,89.00
89.48,88.60,89.61,88.60
88.70,89.38,89.67,88.60
89.04,89.58,89.58,88.61
89.79,90.71,90.87,89.42
90.68,91.32,91.50,90.56
90.78,89.08,90.78,89.08
89.57,90.03,90.45,89.15
90.88,91.86,92.00,90.78
91.54,91.33,91.93,91.33
91.29,91.63,91.78,90.69
91.71,91.97,92.15,91.55
92.74,92.88,93.36,92.62
93.50,93.30,93.50,92.54
93.22,93.11,93.44,92.76
92.62,93.49,93.75,92.62
93.53,94.70,94.79,93.36
94.89,95.27,95.27,94.75
95.28,94.59,95.28,94.56
95.43,95.83,95.83,95.19
95.91,96.69,96.69,95.91
96.86,96.25,96.86,96.02
95.48,93.88,95.72,93.77
93.89,92.34,93.95,91.50
92.60,92.32,92.79,91.27
93.21,94.70,94.70,93.14
95.47,94.63,95.56,94.41
95.30,93.11,95.30,92.89
93.12,93.54,93.86,92.97
94.51,95.47,95.83,94.51
96.03,94.89,96.03,94.40
100.25,93.74,100.25,92.90
93.64,94.92,95.15,93.04
94.70,94.66,94.93,94.24
93.59,92.29,93.59,92.00
91.85,93.16,93.37,91.85
92.22,92.50,92.58,91.72
90.20,92.02,92.07,89.40
91.47,90.86,92.42,90.26
92.06,91.54,92.33,91.49
92.50,92.28,92.79,92.19
93.58,94.39,94.42,93.58
94.74,93.78,94.74,93.62
93.53,93.85,94.07,92.78
94.53,94.69,94.89,94.00
94.87,95.53,96.19,94.80
95.76,95.24,95.94,95.24
94.86,95.96,95.96,94.74
96.46,97.14,97.29,96.40
97.13,97.45,97.61,96.91
98.08,97.98,98.45,97.80
97.83,98.10,98.44,97.83
98.23,98.55,99.01,97.97
98.87,98.63,98.88,98.36
98.65,98.34,98.97,98.00
98.86,96.83,98.86,96.83
97.39,96.38,97.39,96.22
95.96,95.09,96.05,95.00
95.85,95.26,95.85,94.70
94.51,95.41,95.48,94.29
95.76,96.17,96.23,95.39
94.85,94.79,94.85,94.00
95.40,94.98,95.40,94.52
96.82,96.85,97.02,96.51
97.57,97.88,97.88,97.30
97.66,97.52,97.66,97.09
97.91,98.75,99.16,97.91
98.82,99.55,99.55,98.54
99.17,99.39,99.58,99.06
99.74,99.99,100.11,99.42
100.20,98.94,100.34,98.94
98.84,97.84,98.84,97.28
97.97,96.76,97.97,96.44
95.88,96.26,97.24,95.79
97.33,96.34,97.90,96.25
96.80,97.86,97.87,96.80
98.18,99.00,99.00,98.18
98.78,97.48,98.78,97.13
96.95,98.04,98.19,96.37
98.33,96.72,98.33,96.59
96.13,95.60,96.71,95.50
94.90,94.90,95.07,94.29
94.96,96.26,96.26,94.96
97.08,96.88,97.16,96.14
96.46,95.97,96.53,95.41
94.37,94.38,94.78,94.00
94.63,94.37,94.80,93.83
93.59,95.08,95.13,93.59
95.05,96.00,96.00,94.62
96.80,96.48,97.01,96.48
97.66,97.50,97.86,97.05
97.84,94.97,97.84,94.97
95.15,94.90,95.56,94.34
93.29,93.37,94.27,92.90
93.11,91.93,93.41,91.93
92.85,92.76,92.85,92.45
91.96,91.32,92.05,91.25
91.23,92.19,92.19,91.23
91.30,90.38,91.38,89.94
90.65,90.25,91.15,89.72
91.06,92.27,92.45,91.06
91.42,90.80,91.94,90.60
90.88,90.93,91.58,90.10
91.65,91.11,91.87,90.93
90.81,91.72,91.95,90.81
92.67,93.66,93.67,92.54
93.26,93.17,94.23,93.17
91.85,92.86,92.88,91.03
92.99,92.10,93.27,91.95
92.03,92.76,92.76,92.03
92.99,94.10,94.15,92.99
94.47,94.82,95.06,93.99
95.40,95.84,96.03,95.16
96.62,97.47,97.53,96.58
97.71,97.51,97.71,97.01
97.36,97.82,97.93,97.14
98.97,99.37,99.62,98.92
98.30,98.62,98.62,97.85
97.30,96.49,97.80,96.22
95.84,95.90,96.84,95.84
96.74,96.57,97.43,96.24
96.65,95.26,97.07,95.09
95.62,95.62,95.62,95.06
95.23,94.18,95.43,93.70
94.89,96.25,96.25,94.89
96.05,96.16,96.27,95.63
96.52,97.38,97.52,96.52
97.02,97.50,97.54,96.78
96.26,96.57,97.20,96.26
96.35,95.59,96.35,95.51
95.00,92.86,95.00,92.59
92.52,92.24,93.67,92.17
91.19,92.12,92.64,90.61
93.27,91.27,93.27,90.48
90.64,88.25,91.54,88.24
88.35,88.40,88.40,85.98
87.05,83.11,87.05,83.11
83.87,81.92,84.03,79.69
78.95,75.18,80.58,75.18
77.24,79.39,79.65,73.77
76.84,76.02,79.07,76.02
76.97,80.05,80.58,76.07
80.95,80.41,81.19,79.39
81.25,82.71,82.71,81.25
81.29,81.38,82.07,81.04
82.10,80.96,82.44,80.53
78.18,76.54,78.19,76.30
75.37,75.08,77.30,75.00
76.67,75.05,76.67,74.67
75.02,78.42,78.42,75.02
78.17,79.63,79.73,78.07
80.47,77.99,81.06,77.94
77.33,79.77,80.02,76.75
80.76,83.35,83.35,80.76
83.14,83.86,84.27,82.45
84.09,83.83,85.20,83.42
84.06,82.01,84.23,82.01
80.05,79.14,80.65,78.84
76.09,78.73,78.73,75.94
79.94,81.87,81.87,79.82
81.23,80.49,82.00,80.49
79.16,78.30,79.22,77.83
77.17,78.41,78.41,77.05
78.81,79.85,80.08,78.79
80.40,81.38,81.98,79.74
82.34,82.23,82.62,81.66
82.88,82.43,83.13,82.00
80.68,81.18,81.18,79.93
81.15,79.82,81.79,79.82
79.36,76.01,79.63,76.01
73.68,73.43,74.09,72.39
73.40,74.20,74.30,73.17
74.37,75.68,75.68,73.51
77.03,77.21,78.94,77.03
77.18,74.00,77.26,74.00
75.81,75.28,76.18,73.39
74.19,72.94,74.70,72.94
72.27,69.14,73.27,69.14
68.48,73.10,73.10,68.14
72.85,74.59,74.59,72.85
74.69,76.63,76.63,74.27
76.84,74.83,76.84,74.73
76.78,77.90,77.97,76.53
77.20,77.97,78.06,77.20
78.92,79.46,79.93,78.91
78.81,79.18,79.18,77.93
79.97,80.63,80.63,79.70
79.68,77.89,79.68,77.89
78.57,80.29,80.84,77.51
80.54,79.16,80.60,79.03
78.94,79.27,79.27,77.40
80.76,80.99,80.99,80.40
81.38,83.54,83.79,81.32
82.20,81.45,82.82,81.45
82.58,82.77,83.12,80.72
85.75,86.89,87.55,85.27
86.69,86.61,87.26,86.30
85.20,84.30,85.58,84.30
81.02,81.29,82.71,80.94
82.67,82.92,83.05,81.75
84.16,84.86,84.86,82.54
84.17,84.21,84.96,83.77
84.49,84.63,84.87,83.54
85.37,85.34,85.52,84.39
83.45,81.77,83.70,81.58
82.57,82.62,82.62,82.10
83.79,84.79,84.91,83.79
84.39,83.33,84.39,83.33
83.15,84.65,84.81,83.15
83.52,83.29,84.68,83.29
83.01,81.40,83.05,81.25
81.78,81.48,81.88,81.12
79.86,79.55,79.92,78.98
79.72,78.75,79.72,78.49
77.33,76.45,77.33,76.37
75.87,75.86,76.89,75.67
78.18,78.49,78.75,78.18
78.87,78.79,79.20,78.56
81.89,83.25,83.25,81.68
82.98,82.92,83.87,82.77
83.90,82.89,84.19,82.89
84.16,83.80,84.92,83.73
84.20,84.14,84.58,83.45
82.87,83.43,84.02,82.56
83.21,81.45,83.44,81.37
81.64,83.87,83.91,81.64
81.92,82.42,82.42,81.53
82.54,80.61,82.65,80.61
79.94,79.47,80.05,79.23
80.41,80.26,80.55,79.79
80.89,81.16,82.19,80.89
81.73,79.88,81.96,79.77
81.91,83.04,83.04,81.91
82.72,83.57,83.57,82.31
83.51,84.04,84.39,83.51
84.16,84.46,84.52,84.10
84.29,84.87,85.09,84.29
84.53,83.12,84.53,83.12
83.52,84.18,84.22,83.52
84.08,83.78,84.46,83.78
85.65,84.91,85.88,84.57
84.19,84.35,84.49,84.14
83.39,85.16,85.33,83.39
85.22,85.23,85.70,84.42
85.30,85.47,85.53,84.71
86.38,86.79,86.85,86.38
86.57,86.81,86.90,86.57
87.13,86.96,87.13,86.34
86.23,86.36,86.46,85.92
87.32,86.35,87.39,86.35
87.19,87.88,87.96,87.09
88.31,88.49,88.80,87.98
88.36,88.11,88.47,88.11
88.28,88.09,88.36,87.87
87.75,89.17,89.17,87.75
88.95,89.96,90.01,88.52
89.86,89.41,89.92,89.29
89.25,90.35,90.46,89.25
89.58,89.55,89.64,89.10
90.26,89.51,90.41,89.09
90.06,90.99,91.29,90.06
91.50,91.32,91.80,91.32
92.71,93.67,93.67,92.71
92.95,93.32,93.49,92.95
93.25,93.41,93.54,92.95
93.55,93.64,93.87,93.17
93.14,93.42,93.55,93.14
92.51,92.42,92.73,92.14
93.23,93.32,93.51,92.80
92.71,92.41,92.75,92.41
93.39,92.45,93.39,92.34
92.35,94.12,94.18,92.35
94.61,94.30,94.71,94.23
94.62,93.53,94.68,93.53
94.03,93.55,94.03,93.28
93.00,94.29,94.29,93.00
94.36,94.08,94.54,94.04
93.06,94.15,94.22,92.75
93.88,93.88,94.27,93.56
94.55,93.09,94.55,93.09
93.49,93.28,94.09,93.28
93.37,92.13,93.43,92.13
91.85,92.16,92.23,91.32
91.00,90.27,91.05,90.14
90.45,91.05,91.05,90.45
91.72,92.26,92.26,91.16
92.15,93.27,93.72,92.15
93.38,92.88,93.38,92.65
93.52,94.36,94.36,93.52
94.96,94.08,94.96,94.00
94.06,95.22,95.24,93.86
95.25,95.09,95.25,95.09
95.47,95.50,96.09,95.07
94.89,94.65,94.97,94.32
94.42,94.88,94.98,94.42
93.64,93.43,93.89,93.11
93.66,94.47,94.47,92.94
95.30,95.71,95.71,95.17
95.53,95.53,95.70,95.50
95.15,94.58,95.15,94.04
94.20,94.56,94.56,93.49
94.62,94.75,94.89,94.55
94.19,95.44,95.44,94.15
95.56,95.02,95.68,94.71
94.15,93.58,94.15,93.35
93.33,93.45,93.61,93.31
91.71,91.93,91.99,91.54
91.56,89.80,91.64,89.70
90.63,90.74,90.84,90.58
90.90,92.64,92.64,90.90
92.04,91.17,92.04,91.17
91.10,91.34,91.61,91.10
92.38,93.04,93.29,92.15
92.35,92.25,92.35,91.83
92.25,91.45,93.03,91.26
92.20,92.22,92.73,92.11
90.12,90.98,90.98,90.10
91.01,91.62,91.77,90.99
92.66,93.08,93.14,92.45
92.77,93.94,94.03,92.77
94.07,94.71,94.77,93.64
94.65,93.71,94.65,93.69
93.73,93.98,95.29,93.57
93.32,94.28,94.33,93.20
94.10,92.58,94.11,92.57
92.30,91.31,92.30,90.98
90.77,91.41,91.58,90.77
90.49,91.04,91.16,89.63
89.97,90.69,90.98,89.84
91.34,90.79,91.35,90.51
90.29,90.68,91.32,90.29
89.99,89.43,90.09,89.43
89.40,89.00,89.93,88.99
89.49,88.53,89.93,88.53
88.58,86.83,88.58,86.83
86.44,85.33,86.83,85.33
86.05,87.03,87.03,85.93
87.35,87.38,87.60,87.35
86.22,86.41,86.61,85.85
87.69,87.79,87.82,86.94
87.91,87.70,88.15,87.67
88.86,88.88,89.38,88.50
88.44,87.60,88.44,87.46
86.25,86.84,87.04,86.20
85.05,84.50,85.48,84.50
84.67,83.99,84.67,83.31
83.55,84.95,84.98,83.49
85.80,87.14,87.17,85.80
88.55,86.80,88.61,86.80
86.09,87.32,87.32,86.09
88.37,85.61,88.37,85.59
85.82,86.71,86.71,85.33
86.20,85.47,86.80,85.17
85.54,86.32,86.57,85.30
86.50,87.00,87.00,86.50
87.33,87.57,87.63,87.05
88.42,88.64,88.71,88.42
88.17,88.22,88.53,87.85
88.04,86.09,88.17,86.06
86.35,86.96,86.96,86.31
85.55,85.43,85.69,85.10
85.82,85.88,86.03,85.14
86.05,86.99,86.99,86.05
86.33,87.21,87.21,85.93
88.82,89.45,89.54,88.65
89.87,90.25,90.25,89.29
90.68,91.27,91.35,90.68
91.24,91.41,91.51,91.08
90.48,90.13,90.48,89.99
89.50,89.68,89.81,89.49
90.43,88.68,90.56,88.68
89.05,88.73,89.25,88.33
88.12,88.52,88.82,87.58
89.11,89.97,89.98,89.11
89.59,89.47,89.78,89.25
89.20,89.92,90.05,88.74
90.06,90.56,90.56,90.06
90.81,90.46,90.82,90.30
89.79,89.17,89.79,89.13
87.33,87.77,87.88,87.27
87.88,86.74,87.93,86.25
86.98,86.63,87.30,86.48
88.00,87.47,88.24,87.01
87.68,89.27,89.51,87.41
89.52,89.14,90.02,88.87
89.01,88.60,89.35,88.60
88.73,87.32,88.73,87.32
87.01,86.98,87.08,86.56
88.33,89.04,89.36,88.33
89.10,89.86,89.92,89.10
90.10,90.52,90.99,90.10
90.07,90.64,90.81,90.07
90.75,91.00,91.07,90.75
90.66,90.85,90.85,90.40
90.68,90.67,90.71,89.99
91.11,90.32,91.11,90.32
90.33,91.25,91.25,90.33
91.13,92.14,92.20,91.06
92.29,93.02,93.02,92.29
92.64,92.58,92.64,92.14
93.08,92.67,93.63,92.67
92.46,92.27,92.63,92.08
91.95,91.69,92.09,91.46
91.29,91.85,92.11,91.29
92.17,91.89,92.48,91.87
92.09,92.51,92.51,90.73
92.63,92.78,92.96,92.63
92.28,91.97,92.28,91.85
92.14,92.14,92.14,91.55
92.41,93.38,93.58,91.90
93.05,93.26,93.41,93.05
94.00,95.01,95.33,94.00
95.25,95.55,95.64,95.25
95.35,95.27,95.61,95.27
95.61,95.32,95.70,95.32
95.66,95.56,95.71,95.12
95.19,96.98,96.98,95.19
97.15,97.51,97.85,97.15
97.06,96.48,97.22,96.39
96.23,96.26,96.36,95.97
96.25,96.20,96.50,96.18
95.73,95.43,95.73,95.12
96.23,95.71,96.39,95.71
95.25,95.43,95.46,95.14
95.51,93.75,95.51,93.75
93.84,93.03,93.94,93.03
93.57,94.00,94.18,93.19
93.63,93.56,93.69,93.16
93.66,93.46,94.17,93.07
93.69,93.55,93.70,93.26
93.63,93.39,93.89,93.21
93.69,93.87,94.01,93.27
94.33,93.91,95.06,93.75
93.46,93.59,93.78,93.46
93.57,92.65,93.57,92.50
92.52,92.22,92.66,92.18
92.92,92.76,92.92,92.65
92.70,91.87,92.93,91.80
92.34,92.44,92.58,92.29
92.87,93.09,93.24,92.87
93.58,94.05,94.17,93.53
93.92,93.84,94.01,93.58
93.19,91.92,93.19,91.92
92.05,92.01,92.17,91.47
91.06,91.65,91.82,89.97
91.95,91.16,91.95,91.09
92.27,91.47,92.27,91.14
91.39,91.33,91.39,90.96
91.39,92.11,92.11,91.38
92.30,93.60,93.72,92.30
94.03,92.45,94.03,92.45
92.37,92.92,92.97,92.37
93.29,93.75,93.96,93.29
92.68,91.82,92.68,91.33
91.58,90.67,91.62,90.67
90.09,90.45,91.07,90.09
90.70,90.60,90.78,90.33
89.96,90.00,90.73,89.96
90.14,88.39,90.14,88.35
88.24,87.98,88.61,87.19
87.98,88.77,88.78,87.51
90.06,90.58,90.58,90.05
90.54,90.76,90.79,90.28
90.84,91.27,91.27,90.84
91.62,91.94,92.15,91.62
92.28,92.39,92.39,92.14
92.37,92.23,92.91,92.23
91.79,92.75,92.75,91.49
93.83,93.88,93.96,93.36
93.77,93.57,93.77,93.50
93.55,93.58,93.77,93.30
93.77,93.63,93.77,93.11
94.24,94.02,94.24,93.60
93.95,93.79,94.03,93.62
93.88,93.79,93.96,93.56
93.95,94.10,94.11,93.88
94.67,94.88,95.15,94.67
95.35,94.54,95.35,94.48
94.68,94.44,94.85,93.97
94.08,93.95,94.40,93.78
94.48,94.80,94.89,94.41
95.63,96.08,96.15,95.63
95.49,95.45,95.89,95.37
95.62,95.85,95.90,95.62
94.56,95.18,95.26,94.55
95.32,95.10,95.32,94.96
95.39,94.74,95.39,94.57
94.74,94.59,94.74,93.44
94.08,94.02,94.65,94.02
94.20,95.27,95.27,94.09
97.84,98.01,98.08,97.49
98.16,98.03,98.83,98.03
98.67,98.88,98.99,98.30
98.57,98.81,98.81,98.43
98.25,98.56,98.56,98.17
98.83,98.83,98.89,98.78
99.02,98.98,99.15,98.54
98.96,98.83,98.96,98.54
98.62,98.78,98.87,98.62
98.39,99.65,99.68,98.39
99.51,99.59,99.78,99.16
100.00,100.57,100.65,100.00
100.74,100.55,100.74,100.13
100.61,101.11,101.14,100.37
101.21,100.88,101.21,100.88
101.63,101.54,101.91,101.39
101.98,102.55,102.55,101.83
102.61,102.24,102.61,101.83
102.40,102.20,102.40,101.92
101.73,100.98,101.84,100.98
101.09,101.71,101.71,101.06
102.24,102.68,102.80,102.24
101.92,101.63,102.41,101.36
102.00,102.41,102.55,102.00
102.07,102.97,102.97,101.98
102.84,102.76,102.91,102.17
103.36,103.42,103.53,103.25
103.31,103.49,103.49,103.23
103.70,104.02,104.11,103.70
104.52,104.21,104.56,103.99
104.04,104.65,104.65,104.04
104.49,104.68,104.80,104.49
104.74,105.43,105.43,104.74
105.73,103.66,105.73,103.66
103.51,102.41,103.63,102.41
103.29,103.63,103.63,103.07
104.14,102.10,104.14,102.10
101.60,101.70,101.85,101.28
101.60,103.58,103.58,101.60
102.99,103.12,103.66,102.93
102.61,103.20,103.37,101.93
102.93,103.32,103.32,102.44
104.07,104.63,104.67,104.07
104.89,104.77,104.95,104.62
105.38,105.49,105.49,105.34
106.27,106.37,106.39,105.81
106.44,106.69,106.79,106.44
106.66,106.63,106.85,106.44
106.50,107.10,107.12,106.50
107.75,108.09,108.16,107.75
107.75,108.23,108.25,107.75
107.38,107.57,108.06,107.38
107.73,106.90,108.05,106.90
107.71,108.08,108.14,107.71
107.61,107.39,107.81,107.25
107.72,107.69,107.73,107.41
107.86,107.14,107.94,107.02
107.59,107.64,107.64,107.22
107.12,107.99,108.04,106.79
108.02,108.20,108.43,107.92
108.18,106.63,108.21,106.45
107.31,106.56,107.50,106.56
106.56,104.92,106.56,104.83
104.78,105.68,105.72,104.78
104.38,105.36,105.38,104.10
105.60,106.14,106.14,105.15
106.44,106.21,106.52,105.77
106.55,107.77,107.88,106.53
107.72,108.20,108.65,107.65
107.83,107.54,107.83,106.86
106.91,103.77,106.91,103.75
104.76,105.13,105.17,104.58
104.46,103.55,104.86,102.97
103.70,102.75,103.70,102.59
102.94,103.92,103.92,102.54
103.93,104.35,104.51,102.85
104.99,105.49,105.52,104.94
105.64,106.23,106.23,105.63
106.64,107.34,107.39,106.64
106.67,106.35,106.67,105.88
107.01,107.10,107.21,107.01
107.10,107.56,107.56,106.69
107.42,105.88,107.42,105.75
102.30,107.02,107.02,102.30
108.08,108.65,109.23,108.08
108.80,109.36,109.40,108.74
109.50,110.42,110.42,109.48
110.27,110.72,110.81,110.27
111.09,110.95,111.11,110.65
110.92,111.32,111.39,110.85
111.18,111.19,111.50,110.97
111.66,112.46,112.50,111.66
112.48,112.83,113.30,112.35
112.85,112.60,113.28,112.60
113.41,113.94,113.94,113.41
114.10,114.00,114.39,113.96
114.09,114.41,114.44,113.80
114.46,112.14,115.22,112.14
111.21,112.24,112.24,110.91
111.52,111.96,111.98,111.52
113.32,113.15,114.16,112.70
112.26,111.89,112.31,111.45
112.40,112.48,112.75,112.17
112.02,111.70,112.93,111.70
111.94,112.02,112.02,110.88
112.19,111.22,112.38,110.83
110.21,109.68,110.39,109.68
109.74,110.37,110.46,109.37
111.22,111.85,111.95,111.22
112.18,112.12,112.30,111.45
110.66,110.68,111.39,110.12
111.06,109.63,111.16,109.39
109.47,111.72,111.72,109.44
111.41,110.80,111.67,110.42
111.58,111.37,111.58,110.76
111.63,112.53,112.78,111.63
112.46,110.97,112.46,110.97
