CRMD,CorMedix Inc Common Stock,NASDAQ
1.68,1.69,1.69,1.68
1.64,1.68,1.68,1.62
1.64,1.64,1.64,1.64
1.60,1.60,1.60,1.60
1.60,1.60,1.64,1.60
1.60,1.55,1.60,1.55
1.54,1.54,1.56,1.50
1.65,1.65,1.65,1.65
1.60,1.60,1.63,1.60
1.69,1.51,1.75,1.51
1.51,1.35,1.51,1.33
1.35,1.35,1.36,1.35
1.35,1.37,1.37,1.33
1.39,1.45,1.45,1.39
1.45,1.42,1.45,1.38
1.16,1.16,1.16,1.16
1.40,1.45,1.48,1.40
1.47,1.46,1.48,1.46
1.47,1.47,1.47,1.47
1.45,1.45,1.46,1.45
1.47,1.50,1.50,1.47
1.49,1.49,1.49,1.49
1.47,1.46,1.47,1.45
1.20,1.20,1.20,1.20
1.47,1.45,1.47,1.45
N/A,N/A,N/A,N/A
1.45,1.45,1.45,1.45
1.45,1.48,1.50,1.45
1.48,1.28,1.48,1.28
1.30,1.32,1.32,1.30
1.34,1.35,1.35,1.33
N/A,N/A,N/A,N/A
1.34,1.34,1.34,1.34
1.33,1.29,1.33,1.28
1.31,1.28,1.33,1.28
1.30,1.30,1.30,1.30
1.07,1.07,1.07,1.07
1.07,1.07,1.07,1.07
1.29,1.27,1.29,1.26
1.27,1.24,1.27,1.24
1.25,1.24,1.26,1.24
1.23,1.12,1.23,1.07
1.10,1.08,1.10,1.08
1.08,1.06,1.09,1.06
0.87,0.87,0.87,0.87
1.08,1.10,1.10,1.08
1.08,1.08,1.08,1.08
1.12,1.12,1.12,1.12
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1.12,1.12,1.12,1.12
1.12,1.06,1.12,1.06
1.06,1.02,1.08,1.02
1.04,1.04,1.04,1.04
1.02,1.04,1.04,1.02
1.04,1.06,1.06,1.04
1.03,0.99,1.04,0.98
0.99,0.98,0.99,0.98
0.97,0.93,0.97,0.90
0.76,0.76,0.76,0.76
0.92,0.93,0.93,0.92
0.95,1.04,1.06,0.95
1.05,1.09,1.09,1.05
1.10,1.05,1.10,1.05
1.03,1.03,1.03,1.01
0.97,0.97,0.97,0.97
1.03,1.02,1.08,1.02
1.02,1.02,1.02,1.02
0.84,0.84,0.84,0.84
1.00,1.04,1.04,0.98
0.85,0.85,0.85,0.85
0.92,0.92,0.92,0.92
1.05,1.00,1.06,1.00
1.00,0.98,1.02,0.98
0.96,0.93,0.96,0.89
0.95,0.97,0.97,0.95
0.86,0.86,0.86,0.86
0.95,0.93,0.95,0.93
0.97,0.91,0.97,0.91
0.82,0.91,0.91,0.82
0.90,0.70,0.90,0.70
0.69,0.47,0.69,0.47
0.45,0.38,0.47,0.32
0.37,0.35,0.41,0.34
0.37,0.37,0.45,0.37
0.39,0.34,0.39,0.33
0.34,0.43,0.45,0.34
0.43,0.36,0.43,0.34
0.36,0.36,0.36,0.35
0.35,0.32,0.35,0.29
0.35,0.30,0.35,0.26
0.29,0.22,0.31,0.22
0.25,0.34,0.34,0.22
0.31,0.31,0.32,0.30
0.31,0.31,0.31,0.31
0.30,0.30,0.30,0.30
0.30,0.30,0.31,0.30
0.32,0.33,0.33,0.32
0.30,0.32,0.33,0.30
0.34,0.36,0.37,0.34
0.37,0.42,0.42,0.37
0.43,0.47,0.47,0.42
0.48,0.51,0.51,0.48
0.75,0.55,0.75,0.50
0.54,0.52,0.54,0.52
0.50,0.44,0.50,0.43
0.44,0.40,0.44,0.40
0.40,0.40,0.40,0.40
0.38,0.35,0.38,0.35
0.34,0.34,0.34,0.34
0.33,0.27,0.33,0.21
0.26,0.28,0.30,0.26
0.26,0.24,0.26,0.22
0.25,0.31,0.31,0.23
0.31,0.30,0.32,0.30
0.30,0.28,0.30,0.28
0.28,0.32,0.38,0.28
0.30,0.35,0.35,0.29
0.35,0.35,0.35,0.35
0.35,0.34,0.37,0.26
0.28,0.28,0.28,0.28
0.32,0.32,0.32,0.32
0.31,0.31,0.31,0.31
0.31,0.36,0.36,0.31
0.34,0.33,0.35,0.33
0.37,0.33,0.37,0.33
0.33,0.33,0.35,0.33
0.31,0.31,0.31,0.31
0.31,0.33,0.33,0.31
0.30,0.32,0.32,0.28
0.30,0.30,0.30,0.30
0.35,0.31,0.35,0.31
0.31,0.32,0.32,0.31
0.30,0.34,0.34,0.29
0.31,0.33,0.38,0.29
0.31,0.28,0.32,0.28
0.28,0.31,0.31,0.28
0.28,0.30,0.30,0.28
0.30,0.28,0.30,0.28
0.28,0.25,0.28,0.25
0.25,0.25,0.25,0.23
0.25,0.30,0.30,0.25
0.27,0.28,0.28,0.23
0.26,0.26,0.26,0.26
0.24,0.30,0.30,0.24
0.29,0.30,0.35,0.27
0.29,0.29,0.32,0.29
0.27,0.28,0.30,0.27
0.29,0.30,0.30,0.29
0.30,0.33,0.37,0.28
0.33,0.37,0.37,0.33
0.33,0.37,0.37,0.33
0.49,0.39,0.49,0.35
0.38,0.43,0.45,0.38
0.43,0.45,0.45,0.43
0.43,0.42,0.43,0.42
0.40,0.38,0.40,0.38
0.38,0.42,0.43,0.37
0.42,0.41,0.42,0.37
0.42,0.40,0.42,0.40
0.38,0.38,0.38,0.37
0.37,0.38,0.40,0.37
0.37,0.34,0.45,0.33
0.34,0.43,0.43,0.34
0.43,0.43,0.43,0.39
0.43,0.43,0.43,0.43
0.43,0.41,0.43,0.41
0.43,0.40,0.43,0.39
0.34,0.39,0.42,0.34
0.39,0.40,0.40,0.39
0.39,0.42,0.44,0.39
0.40,0.38,0.40,0.38
0.36,0.42,0.42,0.36
0.40,0.40,0.40,0.40
0.39,0.37,0.39,0.37
0.37,0.37,0.37,0.37
0.36,0.35,0.36,0.35
0.35,0.36,0.37,0.35
0.34,0.42,0.43,0.34
0.42,0.42,0.42,0.42
0.40,0.40,0.40,0.40
0.38,0.36,0.40,0.35
0.35,0.35,0.35,0.35
0.34,0.33,0.36,0.33
0.32,0.34,0.37,0.32
0.36,0.39,0.39,0.35
0.39,0.37,0.39,0.37
0.35,0.33,0.35,0.33
0.33,0.33,0.35,0.33
0.33,0.35,0.35,0.33
0.33,0.33,0.39,0.31
0.32,0.32,0.41,0.31
0.33,0.36,0.39,0.32
0.33,0.37,0.37,0.32
0.34,0.55,0.57,0.33
0.55,0.47,0.57,0.47
0.46,0.49,0.62,0.44
0.47,0.49,0.51,0.43
0.51,0.46,0.51,0.46
0.45,0.45,0.48,0.45
0.46,0.48,0.50,0.46
0.47,0.47,0.48,0.47
0.45,0.48,0.48,0.45
0.45,0.46,0.46,0.45
0.47,0.46,0.48,0.46
0.46,0.48,0.48,0.46
0.46,0.48,0.50,0.46
0.47,0.48,0.48,0.46
0.46,0.48,0.48,0.46
0.46,0.45,0.46,0.45
0.44,0.46,0.46,0.44
0.46,0.44,0.48,0.44
0.45,0.45,0.46,0.45
0.44,0.40,0.47,0.40
0.40,0.40,0.41,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.41,0.39,0.41,0.39
0.37,0.36,0.39,0.33
0.36,0.37,0.41,0.36
0.36,0.38,0.38,0.36
0.38,0.37,0.39,0.37
0.35,0.39,0.39,0.35
0.37,0.39,0.39,0.37
0.37,0.37,0.37,0.36
0.37,0.39,0.39,0.37
0.39,0.39,0.39,0.37
0.37,0.30,0.39,0.30
0.33,0.35,0.35,0.33
0.33,0.33,0.33,0.33
0.32,0.31,0.32,0.23
0.28,0.28,0.28,0.28
0.27,0.29,0.29,0.24
0.24,0.24,0.24,0.24
0.27,0.29,0.29,0.21
0.27,0.28,0.28,0.27
0.27,0.26,0.27,0.25
0.25,0.23,0.26,0.22
0.25,0.24,0.25,0.23
0.26,0.25,0.26,0.25
0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24
0.24,0.28,0.29,0.24
0.27,0.27,0.27,0.27
0.25,0.24,0.25,0.24
0.24,0.24,0.24,0.24
0.22,0.20,0.22,0.17
0.18,0.19,0.20,0.16
0.18,0.18,0.18,0.18
0.18,0.18,0.18,0.18
0.18,0.20,0.20,0.18
0.19,0.26,0.27,0.18
0.23,0.25,0.33,0.23
0.25,0.22,0.25,0.22
0.20,0.24,0.25,0.20
0.22,0.23,0.23,0.21
0.21,0.22,0.23,0.16
0.18,0.18,0.24,0.15
0.19,0.21,0.23,0.19
0.21,0.21,0.21,0.21
0.19,0.23,0.23,0.19
0.19,0.24,0.24,0.19
0.21,0.25,0.25,0.21
0.26,0.24,0.26,0.24
0.22,0.22,0.22,0.22
0.20,0.23,0.25,0.20
0.23,0.23,0.23,0.23
0.21,0.21,0.21,0.21
0.19,0.20,0.20,0.19
0.18,0.20,0.20,0.18
0.18,0.18,0.18,0.18
0.18,0.21,0.22,0.18
0.21,0.21,0.21,0.21
0.20,0.20,0.20,0.20
0.20,0.20,0.20,0.20
0.20,0.21,0.22,0.20
0.24,0.25,0.25,0.24
0.22,0.22,0.22,0.22
0.21,0.21,0.21,0.21
0.22,0.25,0.25,0.22
0.23,0.24,0.24,0.23
0.23,0.24,0.25,0.23
0.23,0.25,0.26,0.23
0.23,0.23,0.23,0.21
0.25,0.26,0.26,0.23
0.26,0.28,0.30,0.25
0.26,0.26,0.26,0.26
0.24,0.24,0.24,0.22
0.23,0.23,0.23,0.23
0.21,0.24,0.24,0.20
0.20,0.20,0.20,0.20
0.22,0.20,0.22,0.20
0.20,0.20,0.20,0.20
0.20,0.20,0.24,0.20
0.20,0.20,0.20,0.20
0.20,0.24,0.24,0.20
0.21,0.21,0.21,0.20
0.21,0.20,0.21,0.20
0.23,0.23,0.28,0.21
0.23,0.20,0.23,0.20
0.18,0.18,0.18,0.16
0.17,0.17,0.17,0.17
0.18,0.20,0.20,0.18
0.21,0.21,0.21,0.19
0.17,0.17,0.17,0.17
0.17,0.17,0.17,0.17
0.22,0.20,0.22,0.20
0.18,0.18,0.18,0.18
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.18,0.18,0.18,0.18
0.14,0.14,0.14,0.14
0.18,0.18,0.18,0.18
0.11,0.11,0.11,0.11
0.17,0.17,0.17,0.17
0.16,0.17,0.17,0.16
0.18,0.18,0.18,0.16
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.18,0.18,0.18,0.18
nan,0.18,nan,nan
0.22,0.19,0.22,0.19
0.21,0.24,0.25,0.21
0.25,0.28,0.28,0.23
0.26,0.35,0.35,0.25
0.34,0.32,0.35,0.30
0.30,0.29,0.30,0.28
0.30,0.30,0.31,0.30
0.32,0.30,0.34,0.30
0.30,0.26,0.30,0.26
0.27,0.26,0.28,0.26
0.25,0.26,0.26,0.24
0.25,0.26,0.26,0.24
0.25,0.24,0.25,0.24
0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24
0.26,0.30,0.30,0.24
0.30,0.30,0.30,0.28
0.29,0.40,0.41,0.27
0.44,0.44,0.45,0.38
0.44,0.66,0.66,0.42
0.77,0.70,1.25,0.67
0.65,0.65,0.65,0.50
0.65,0.64,0.73,0.64
0.63,0.67,0.67,0.61
0.75,0.77,0.80,0.73
0.76,0.70,0.77,0.56
0.66,0.70,0.70,0.55
0.69,0.59,0.69,0.57
0.61,0.57,0.62,0.53
0.58,0.58,0.58,0.54
0.66,0.53,0.66,0.53
0.43,0.43,0.43,0.43
0.54,0.54,0.55,0.50
0.51,0.51,0.51,0.51
0.53,0.53,0.53,0.45
0.53,0.48,0.53,0.47
0.47,0.44,0.47,0.38
0.45,0.45,0.45,0.42
0.45,0.47,0.51,0.45
0.50,0.44,0.50,0.44
0.45,0.40,0.45,0.39
0.41,0.43,0.43,0.41
0.43,0.40,0.43,0.38
0.38,0.38,0.38,0.36
0.36,0.41,0.41,0.30
0.39,0.42,0.47,0.39
0.43,0.50,0.51,0.43
0.51,0.57,0.57,0.45
0.53,0.57,0.57,0.47
0.56,0.57,0.61,0.55
0.60,0.72,0.72,0.60
0.74,0.72,0.78,0.67
0.74,0.71,0.74,0.68
0.71,0.68,0.71,0.66
0.62,0.64,0.66,0.62
0.70,0.70,0.71,0.70
0.71,0.60,0.71,0.55
0.61,0.60,0.61,0.53
0.57,0.59,0.59,0.57
0.57,0.57,0.57,0.55
0.57,0.58,0.58,0.54
0.60,0.71,0.71,0.58
0.71,0.70,0.72,0.67
0.67,0.60,0.67,0.59
0.62,0.60,0.63,0.58
0.60,0.60,0.60,0.58
0.61,0.60,0.61,0.60
0.62,0.64,0.64,0.61
0.64,0.72,0.76,0.64
0.73,0.70,0.73,0.67
0.63,0.72,0.78,0.51
0.74,0.75,0.78,0.74
0.73,0.86,0.94,0.71
0.87,0.90,0.99,0.86
0.95,0.93,1.10,0.93
0.94,1.00,1.05,0.94
1.04,0.98,1.05,0.96
1.00,0.95,1.00,0.94
0.95,0.90,0.96,0.86
0.90,0.84,0.90,0.75
0.87,0.94,0.94,0.86
1.11,0.91,1.11,0.89
0.92,0.92,0.94,0.88
0.95,0.91,0.95,0.90
0.92,0.96,0.97,0.90
0.95,0.96,0.96,0.90
0.96,0.91,0.96,0.91
0.96,0.89,0.96,0.86
0.89,0.80,0.91,0.80
0.85,0.98,1.02,0.80
0.99,0.97,0.99,0.96
0.97,0.93,0.98,0.87
0.91,0.91,0.91,0.89
0.91,0.91,0.93,0.91
0.89,0.94,0.94,0.89
0.96,0.95,0.96,0.93
0.95,0.94,0.96,0.93
0.94,0.91,0.94,0.90
0.90,0.82,0.90,0.82
0.82,0.87,0.87,0.82
0.87,0.89,0.89,0.87
0.88,0.85,0.88,0.83
0.88,0.87,0.88,0.85
0.88,0.87,0.88,0.87
0.88,0.98,0.98,0.88
0.98,0.94,1.00,0.90
0.95,0.95,0.98,0.95
0.94,0.91,0.94,0.90
0.90,0.87,0.90,0.86
0.86,0.87,0.87,0.85
0.89,0.85,0.89,0.78
0.85,0.79,0.85,0.78
0.80,0.82,0.82,0.79
0.81,0.81,0.81,0.79
0.79,0.80,0.80,0.79
0.85,0.85,0.92,0.81
0.86,0.88,0.90,0.86
0.90,0.89,0.90,0.86
0.90,0.83,0.90,0.79
0.84,0.84,0.85,0.83
0.85,0.83,0.86,0.83
0.83,0.84,0.85,0.83
0.86,0.92,0.92,0.85
0.93,0.90,0.94,0.90
0.91,0.90,0.91,0.90
0.90,0.88,0.91,0.88
0.90,0.87,0.92,0.87
0.87,0.88,0.88,0.86
0.87,0.82,0.87,0.82
0.83,0.81,0.83,0.81
0.82,0.81,0.83,0.81
0.82,0.84,0.84,0.81
0.85,0.84,0.85,0.83
0.85,0.87,0.87,0.84
0.88,0.90,0.90,0.84
0.89,0.84,0.89,0.84
0.80,0.80,0.83,0.79
0.80,0.77,0.80,0.77
0.77,0.76,0.78,0.75
0.62,0.80,0.80,0.62
0.79,0.79,0.79,0.76
0.80,0.80,0.82,0.80
0.81,0.78,0.81,0.78
0.77,0.75,0.78,0.75
0.77,0.77,0.77,0.75
0.78,0.78,0.78,0.77
0.79,0.78,0.79,0.76
0.78,0.78,0.79,0.77
0.79,0.75,0.79,0.75
0.75,0.75,0.75,0.75
0.73,0.74,0.74,0.64
0.72,0.72,0.72,0.71
0.71,0.60,0.71,0.60
0.65,0.57,0.65,0.56
0.57,0.59,0.60,0.57
0.64,0.56,0.64,0.56
0.57,0.58,0.58,0.54
0.57,0.56,0.57,0.56
0.57,0.49,0.57,0.49
0.50,0.56,0.57,0.48
0.54,0.58,0.59,0.54
0.60,0.56,0.60,0.56
0.55,0.56,0.56,0.55
0.55,0.55,0.55,0.52
0.54,0.61,0.63,0.53
0.63,0.64,0.65,0.63
0.64,0.60,0.66,0.60
0.59,0.68,0.68,0.58
0.69,0.65,0.69,0.63
0.59,0.59,0.59,0.54
0.60,0.59,0.60,0.57
0.58,0.58,0.60,0.57
0.58,0.54,0.58,0.54
0.55,0.53,0.55,0.53
0.53,0.53,0.54,0.52
0.54,0.56,0.56,0.53
0.57,0.57,0.60,0.57
0.56,0.56,0.58,0.55
0.56,0.58,0.58,0.55
0.64,0.58,0.64,0.56
0.61,0.72,0.72,0.60
0.72,0.82,0.83,0.70
0.83,0.83,0.86,0.82
0.83,0.80,0.83,0.80
0.80,0.88,0.90,0.80
0.89,0.85,0.93,0.81
0.89,0.93,0.94,0.88
0.98,0.92,0.98,0.92
0.92,0.95,0.99,0.92
