UNP,Union Pacific Corporation Common Stock,NASDAQ
76.42,74.28,76.44,73.65
73.38,73.82,74.05,72.51
73.42,73.45,74.62,73.25
72.23,73.09,73.43,72.23
73.98,74.85,75.68,73.98
74.85,76.00,76.44,74.40
75.45,74.50,75.84,73.56
73.72,74.26,74.36,72.91
74.54,72.86,74.89,72.69
72.00,71.94,72.40,70.34
71.16,72.17,73.05,70.57
72.66,72.41,73.70,72.14
72.78,73.69,73.85,71.90
73.60,72.35,74.39,72.31
71.93,72.94,73.53,71.69
74.13,76.38,76.69,73.90
76.49,77.31,77.41,76.33
77.82,78.80,79.61,77.82
78.16,78.36,79.18,78.00
78.61,79.01,79.80,78.42
79.97,78.66,80.00,78.13
78.85,78.73,79.50,78.53
79.64,79.25,79.78,78.75
78.91,79.70,80.17,78.66
79.14,79.08,80.15,78.87
78.91,78.92,79.47,78.45
79.32,79.96,80.02,78.67
80.19,80.74,81.64,80.01
81.26,81.23,82.32,80.93
80.90,80.60,81.38,80.27
79.90,79.17,80.71,78.78
79.97,82.10,82.15,79.64
82.23,81.65,82.50,81.52
81.74,82.30,82.46,80.71
81.90,82.25,83.08,81.58
82.69,81.80,82.96,81.11
81.61,81.03,81.81,80.36
80.86,80.03,81.69,79.32
81.25,82.42,82.57,80.65
82.40,83.29,83.29,82.23
83.69,83.63,83.89,82.83
83.90,84.86,85.23,83.25
85.23,85.06,85.75,84.60
84.48,83.46,84.48,82.76
85.17,86.82,87.32,85.17
86.40,86.13,86.53,84.97
86.76,85.21,86.97,85.00
85.58,85.43,85.60,84.88
84.51,84.31,85.03,83.16
84.45,85.79,86.07,84.45
84.29,85.26,85.41,81.84
85.07,86.31,86.38,84.81
87.09,87.19,88.06,86.81
86.68,87.36,87.92,86.32
86.36,85.43,86.60,84.38
86.11,86.05,86.70,84.93
85.75,87.68,88.04,85.54
88.66,88.90,89.57,88.35
89.84,89.95,90.00,89.11
90.04,91.03,91.13,89.81
92.49,91.72,92.71,90.82
91.18,91.22,92.50,90.56
90.91,91.98,92.22,90.68
92.28,90.35,92.29,90.33
90.39,91.40,91.40,89.89
90.82,90.94,91.74,90.46
90.28,90.29,91.34,89.60
91.34,91.29,92.38,91.01
90.54,89.76,91.01,89.31
89.71,89.91,90.03,89.29
90.81,91.69,92.42,90.81
91.87,91.82,92.08,91.21
91.60,90.32,91.81,89.48
89.39,89.01,89.45,88.32
89.55,90.75,90.97,89.53
89.64,90.10,90.79,89.64
89.50,90.65,90.86,88.48
89.83,90.11,90.80,89.36
91.46,91.42,92.15,91.05
91.54,93.66,94.08,91.54
93.09,94.55,94.73,93.09
94.50,94.42,94.74,94.00
95.14,94.13,95.78,94.04
94.45,92.47,94.47,92.27
93.43,92.80,93.60,92.33
93.37,92.64,93.44,91.52
92.75,92.18,93.23,91.93
92.54,91.57,93.09,90.93
91.30,91.44,92.92,91.23
91.52,92.29,92.52,90.52
91.96,91.18,92.32,90.71
91.25,90.90,91.58,90.46
91.18,92.06,92.44,91.04
92.06,92.09,92.27,91.47
92.05,91.71,92.24,91.32
91.46,92.01,92.34,91.28
91.98,91.91,92.22,91.25
92.16,92.15,92.53,91.64
92.25,92.06,92.39,91.73
92.00,92.66,92.93,91.94
93.82,93.69,94.55,93.33
94.01,93.08,94.19,91.98
92.61,92.96,93.33,92.35
92.73,92.55,93.46,92.00
92.93,95.18,95.37,92.93
95.82,97.36,98.02,95.31
98.16,97.47,98.34,97.00
98.00,98.08,98.56,97.61
97.98,99.02,99.49,97.75
98.95,98.66,99.27,98.18
98.90,98.16,99.23,97.65
98.28,97.30,98.49,96.81
95.18,95.05,95.30,93.12
95.49,94.51,96.15,94.30
94.27,94.20,94.58,93.88
94.13,93.02,95.00,92.45
93.92,94.12,94.78,93.22
94.65,95.34,95.59,94.64
95.46,93.54,95.59,93.34
93.66,94.63,95.12,93.52
95.38,95.43,96.00,94.85
95.03,94.17,95.54,93.98
94.13,93.60,94.69,93.55
93.57,94.25,94.53,93.19
94.50,94.61,95.28,94.12
94.66,95.12,95.23,94.35
94.77,95.85,96.29,94.61
95.50,97.51,98.06,95.37
97.27,99.02,99.50,97.01
99.14,98.53,99.25,97.95
98.06,97.99,98.45,97.75
98.46,97.66,98.46,97.11
97.54,97.82,97.96,96.33
97.65,97.14,97.72,96.64
96.12,94.32,96.61,93.95
94.14,92.54,94.45,91.51
91.92,93.71,94.31,91.76
94.30,94.03,94.61,93.60
94.28,95.41,95.54,93.89
95.91,92.67,95.91,92.41
92.59,94.29,94.45,92.55
95.09,95.54,95.95,94.79
95.26,95.36,95.79,94.43
95.86,94.56,96.54,93.74
94.86,96.33,96.62,94.46
96.03,95.10,96.29,94.90
94.00,94.06,94.66,92.79
93.98,94.77,95.25,93.26
94.17,94.04,94.83,93.18
91.74,93.02,93.60,90.66
92.63,91.47,93.59,91.06
92.90,93.80,94.89,92.59
95.15,95.02,96.00,94.14
95.80,96.57,96.94,95.35
96.20,94.63,96.86,94.35
94.50,93.92,94.81,93.85
94.53,95.37,95.40,94.07
95.65,97.59,98.00,95.32
97.77,97.62,98.38,97.40
97.42,98.81,98.81,97.12
99.27,97.87,99.43,97.86
97.40,98.33,99.40,97.37
98.99,98.27,99.24,97.78
98.39,98.61,98.79,97.67
98.30,97.80,98.78,97.64
98.43,97.39,98.43,96.79
97.15,96.49,97.60,96.00
96.64,95.66,96.87,94.58
95.87,95.35,96.25,94.38
94.98,96.54,97.10,94.81
97.02,96.90,97.32,96.29
96.02,97.39,97.79,95.64
97.55,98.27,98.90,96.90
96.96,96.76,97.30,95.64
96.76,97.32,97.74,96.48
98.87,96.07,99.18,92.80
96.54,96.06,96.63,95.50
95.97,97.00,97.17,95.74
97.60,99.98,100.04,97.51
100.43,101.80,102.00,99.81
101.93,102.90,103.16,101.87
103.13,103.47,103.81,102.20
103.83,103.62,104.14,103.12
103.47,103.84,104.08,102.71
103.58,100.56,103.77,100.32
100.15,101.71,102.28,99.42
103.09,102.34,103.54,101.98
102.19,102.47,102.98,101.57
102.82,104.49,104.77,102.78
104.25,102.46,104.38,101.99
102.24,102.43,103.20,100.99
102.48,100.46,102.99,99.98
100.22,101.00,102.06,99.98
100.52,99.79,101.20,98.96
100.13,102.03,102.40,99.13
102.44,102.79,104.34,102.44
102.76,101.99,103.13,101.36
100.50,101.59,101.80,99.66
101.71,101.58,102.44,101.29
101.21,102.58,102.88,100.67
101.67,103.24,103.53,101.19
103.35,103.53,104.16,103.21
104.26,104.97,105.00,103.46
104.93,100.86,105.18,100.82
101.35,102.22,102.98,101.01
100.52,101.14,101.95,99.90
100.90,100.13,101.72,100.10
100.53,100.67,101.42,100.32
100.32,99.74,101.06,99.69
99.81,101.29,101.72,99.81
100.80,99.60,101.18,99.42
99.70,100.64,101.48,99.49
101.82,101.68,102.09,101.39
100.66,99.43,101.45,99.29
99.30,98.79,100.32,98.33
99.79,100.01,100.50,99.15
99.86,101.80,102.18,99.59
102.44,102.84,103.69,102.26
102.49,101.87,103.42,101.73
100.55,101.63,101.69,99.80
101.61,100.04,101.74,99.80
100.33,100.01,100.78,99.40
100.28,101.73,101.94,99.93
102.43,103.00,104.22,101.92
103.39,104.40,105.60,102.96
104.60,106.76,107.04,104.21
106.61,105.72,106.64,105.18
105.78,106.59,107.61,105.57
107.72,106.25,107.89,105.67
105.24,104.30,105.86,103.46
103.27,102.28,103.46,101.41
102.32,101.29,102.39,101.13
101.88,102.15,103.57,101.39
102.48,100.71,102.61,99.69
101.06,100.74,101.25,99.07
100.50,100.50,100.71,99.08
101.02,100.55,101.99,99.85
101.42,99.83,101.68,98.84
101.99,104.40,104.99,101.61
104.28,103.80,104.76,103.28
102.68,104.86,106.00,102.60
104.67,103.72,104.82,103.05
102.98,102.20,104.05,101.95
102.20,103.17,104.29,101.72
101.89,102.48,103.30,100.59
103.47,101.31,103.62,99.70
100.44,97.59,101.38,97.45
97.90,98.28,98.42,96.17
96.99,92.78,97.46,92.68
94.00,92.47,94.32,89.77
89.32,87.45,90.87,87.25
89.21,91.89,92.04,85.75
90.68,88.73,92.07,88.46
89.17,91.98,93.36,88.51
92.36,92.72,94.10,91.80
93.61,93.85,94.87,92.74
92.82,91.53,93.64,91.07
92.05,91.93,93.30,90.68
87.95,86.05,89.25,84.33
84.86,85.69,87.30,84.50
87.33,85.98,88.00,85.70
86.32,88.43,88.47,84.82
87.94,89.06,89.16,86.79
89.37,88.46,89.90,87.51
88.38,89.55,89.95,85.45
90.22,90.84,90.88,89.51
90.61,92.75,93.47,90.25
93.46,92.17,94.46,91.40
92.00,91.39,93.71,90.95
89.91,88.27,89.92,87.92
85.47,88.52,88.71,85.00
89.83,89.72,90.00,88.87
89.09,88.19,89.72,88.10
86.97,85.09,87.58,84.54
83.94,84.29,84.96,82.15
84.72,87.47,87.75,84.44
87.78,88.76,90.03,85.27
90.39,91.24,91.34,89.52
91.77,91.64,92.26,90.85
90.38,89.63,90.38,88.09
90.00,88.38,90.56,88.31
88.08,83.07,88.08,83.01
80.89,82.44,83.38,79.58
82.25,83.11,83.71,81.81
83.88,83.72,84.01,81.96
85.38,85.66,87.31,84.31
85.69,83.27,86.31,83.00
84.72,85.22,85.50,83.54
83.60,81.67,84.28,81.66
81.52,79.83,83.04,79.80
78.88,83.49,83.77,77.73
83.70,86.43,86.84,82.62
86.24,89.53,90.32,85.79
89.94,88.80,90.05,87.87
90.08,92.00,92.00,89.81
91.42,92.31,93.50,91.04
92.65,91.79,94.42,91.72
91.18,90.11,91.20,89.35
91.23,91.97,92.00,90.49
91.57,89.31,91.57,89.00
89.06,92.40,93.31,88.83
92.80,90.96,92.82,90.56
93.18,94.59,95.98,93.00
95.43,96.96,97.00,94.98
96.91,97.41,98.13,96.68
96.53,95.68,96.82,94.24
96.20,97.91,98.50,95.78
100.07,102.63,103.80,99.87
102.05,102.02,102.96,101.52
101.18,99.57,101.45,99.51
96.17,96.83,99.05,95.04
98.36,98.99,99.54,97.46
100.59,101.49,101.82,99.01
100.02,101.24,101.43,98.35
100.80,101.68,103.09,99.61
102.42,102.33,102.54,99.56
99.84,98.36,100.17,97.74
99.19,100.38,100.84,98.73
101.66,102.88,103.17,101.60
102.19,102.97,103.21,101.82
102.47,103.38,104.03,101.19
102.39,102.01,104.16,101.54
101.54,100.92,102.14,99.64
101.17,102.04,102.65,100.57
100.69,98.41,101.07,97.50
98.56,98.25,99.24,97.87
97.12,96.00,97.46,95.53
95.85,95.16,96.91,95.15
97.79,98.53,98.97,97.46
98.59,99.23,100.70,98.39
102.43,103.41,103.56,101.69
102.76,102.93,103.65,101.94
104.00,102.69,104.78,102.39
104.49,104.59,105.99,103.69
105.08,102.84,105.16,101.39
102.54,102.52,103.10,100.98
102.22,100.37,102.22,100.01
100.55,101.75,102.10,99.91
100.78,100.60,101.54,99.79
101.83,100.19,103.00,99.56
98.94,98.62,99.84,98.29
100.00,98.79,100.41,97.82
99.79,99.88,101.05,99.23
100.14,98.49,100.91,98.28
100.35,101.20,101.66,100.04
101.46,103.02,103.13,99.93
103.08,104.22,105.03,102.85
104.58,105.53,106.02,104.50
105.71,105.69,106.27,105.20
105.69,104.47,105.99,104.12
105.00,105.35,105.55,104.45
105.76,105.94,106.60,105.41
108.08,108.00,109.10,107.88
107.33,108.78,109.19,107.28
107.93,107.99,108.73,107.88
108.39,107.53,108.60,107.05
108.17,109.49,109.62,107.34
110.64,111.36,112.52,110.52
111.08,111.98,112.39,110.87
112.25,111.05,112.49,110.57
110.22,109.73,110.22,108.06
111.18,109.50,111.18,108.87
109.66,109.82,111.32,109.25
113.01,112.18,114.82,112.10
112.70,112.84,113.56,111.79
113.33,111.22,113.44,110.75
109.12,111.21,111.84,108.90
110.65,113.63,113.89,110.07
113.67,113.68,115.81,113.50
113.57,114.90,115.23,113.21
113.65,114.64,114.99,113.36
115.68,114.31,115.68,113.62
115.53,114.84,117.40,114.70
114.59,114.73,115.67,114.16
116.00,116.11,116.71,115.58
115.91,115.05,116.11,114.37
114.51,114.68,115.06,112.28
115.11,114.35,115.72,113.81
114.66,112.80,114.74,112.33
112.00,111.63,112.00,110.53
112.62,113.18,113.32,111.51
112.77,113.17,113.72,111.88
113.77,109.41,114.10,108.86
109.30,108.88,110.00,108.32
109.65,110.99,111.35,109.14
111.15,111.78,112.18,110.43
111.10,112.08,112.66,111.03
112.12,111.95,112.12,110.12
111.78,112.62,113.70,111.44
111.51,112.74,113.95,111.20
112.87,112.22,113.09,111.20
112.33,110.25,112.80,110.13
110.39,111.53,112.00,109.95
110.93,110.89,112.12,110.42
110.60,109.55,111.36,109.11
106.94,106.80,107.22,104.77
106.93,107.84,108.66,106.65
108.67,109.27,109.59,107.25
109.35,107.64,109.78,107.34
107.89,108.15,108.75,107.31
108.64,110.39,110.54,107.70
110.49,107.71,110.49,107.30
108.53,113.08,114.32,108.43
113.36,113.15,114.87,112.76
112.48,113.01,113.69,112.21
112.38,111.84,112.48,110.70
111.86,112.31,112.71,111.19
111.22,110.04,111.36,109.44
110.41,108.89,110.55,108.65
109.48,111.33,111.49,109.35
111.46,110.51,111.70,110.24
110.22,107.91,110.53,107.21
107.16,107.40,107.69,104.95
107.89,107.48,108.49,107.18
107.33,109.60,110.06,107.04
109.11,107.75,109.46,105.90
106.99,108.38,109.16,106.99
107.85,108.65,109.32,107.56
107.34,106.18,107.34,106.10
105.75,104.98,106.56,104.08
106.34,105.80,107.19,105.62
106.12,108.80,109.17,105.85
108.28,108.04,108.68,107.50
108.34,108.09,109.50,107.94
108.56,109.20,109.67,108.25
109.25,109.65,110.47,108.75
107.27,105.70,110.34,104.34
105.89,107.26,107.42,104.83
105.84,109.00,109.06,105.75
108.89,110.52,110.52,108.89
111.19,113.49,113.66,110.73
113.17,113.37,113.56,112.08
114.06,113.89,114.48,113.31
113.73,112.44,113.94,112.00
112.71,114.81,115.70,112.70
113.76,115.04,115.55,113.37
115.13,114.06,116.14,113.99
113.95,113.60,114.25,112.78
113.03,113.63,114.17,112.75
113.11,113.08,113.26,111.51
111.81,111.89,113.03,111.65
112.87,112.41,114.14,111.94
111.86,112.18,113.50,111.85
111.11,111.07,111.85,110.27
110.80,112.41,113.78,110.56
113.02,112.00,114.18,111.91
112.11,108.16,113.52,107.66
108.33,107.17,110.01,106.88
107.60,110.18,110.31,107.21
110.65,111.38,113.35,110.35
110.38,112.49,113.02,109.41
113.06,112.89,113.54,111.48
112.44,111.88,112.91,111.40
112.42,112.59,112.85,111.50
111.57,109.86,111.64,109.68
109.72,111.40,112.46,108.71
109.70,108.11,110.53,108.01
108.17,106.45,108.49,105.14
105.92,107.08,107.64,105.52
107.38,110.18,110.24,107.35
112.18,110.28,113.00,110.04
109.73,110.64,110.76,108.62
111.28,109.61,111.96,109.43
110.00,112.17,112.22,109.77
111.16,112.30,113.63,111.07
112.55,113.64,114.21,111.61
114.70,114.87,115.42,114.00
114.52,118.19,118.99,114.33
119.06,118.41,119.82,118.02
117.85,117.29,117.96,116.20
117.52,115.46,118.59,115.33
113.00,116.48,116.54,113.00
115.19,113.93,115.33,112.88
114.29,114.68,115.01,112.96
114.87,114.79,115.42,114.08
114.30,115.32,115.56,112.60
117.28,119.31,119.33,116.89
119.89,118.56,119.94,117.26
118.74,118.95,118.96,118.15
118.54,118.25,118.92,117.69
117.10,116.75,117.59,116.42
116.42,117.99,118.46,116.37
118.92,116.46,119.24,115.96
116.35,116.52,117.48,115.83
115.47,116.29,117.00,115.38
116.48,118.15,118.44,116.05
117.67,117.96,118.87,117.55
118.47,118.34,119.25,117.22
117.75,118.60,119.34,117.34
119.49,122.77,123.56,119.28
122.10,119.60,122.35,118.99
117.78,117.29,118.53,116.71
117.10,116.79,118.61,115.70
117.13,117.39,118.02,116.03
119.64,120.81,121.00,119.35
121.76,122.48,123.35,121.35
122.36,123.14,123.67,121.87
122.93,122.61,123.78,122.37
123.09,121.59,123.23,121.18
120.90,121.80,122.36,120.31
123.93,124.54,126.91,123.69
125.11,123.39,125.20,123.37
124.29,123.25,124.52,123.23
123.22,122.00,123.39,121.55
121.60,121.29,122.25,120.75
121.01,122.01,122.50,120.80
121.55,121.69,122.04,121.16
122.48,121.68,122.50,121.38
121.29,123.71,124.00,121.23
123.44,124.92,125.33,123.35
124.90,125.01,125.54,124.37
125.00,124.32,125.25,123.70
124.46,124.72,125.34,124.08
124.29,124.69,125.14,123.74
124.47,123.79,124.47,122.92
123.34,123.99,124.43,123.08
124.25,123.65,124.50,123.27
123.58,123.50,124.48,123.25
123.44,122.78,123.51,122.63
122.09,121.40,122.24,121.22
121.92,121.44,122.20,121.09
121.57,122.26,122.86,120.63
122.00,119.23,122.00,118.56
119.89,121.24,121.60,119.70
120.78,122.25,122.38,120.76
122.28,122.86,123.37,121.99
122.85,124.19,124.50,122.77
124.05,124.94,125.20,123.78
124.73,126.47,127.07,123.80
126.85,128.43,129.27,126.28
128.29,126.91,128.29,126.15
126.55,126.62,126.71,125.31
125.24,125.05,125.84,123.51
121.13,120.95,122.34,119.46
121.27,119.37,121.43,119.27
118.76,121.11,121.45,118.60
121.45,120.38,121.98,120.21
119.99,118.92,120.60,118.51
119.40,118.51,119.59,118.05
118.12,118.70,119.03,116.86
118.98,118.53,119.28,118.12
119.19,119.10,119.48,118.20
119.43,120.64,120.72,118.79
121.35,121.57,122.57,120.80
122.28,122.16,123.15,121.64
121.94,122.64,123.19,121.69
122.80,121.26,123.45,121.26
121.25,120.93,121.84,120.40
121.95,120.92,122.12,120.90
121.32,121.05,121.98,120.12
121.18,120.93,121.93,119.77
122.03,123.40,123.64,121.33
123.13,123.73,123.99,121.38
124.05,125.34,128.38,123.12
125.56,123.77,125.90,123.12
123.79,124.34,125.17,123.27
122.97,123.22,123.72,121.93
123.43,120.87,123.70,120.30
121.89,121.64,122.94,120.95
121.84,123.61,123.85,121.32
124.59,123.03,125.00,122.59
123.32,125.97,126.35,123.20
126.19,123.98,126.92,123.97
123.20,123.74,124.60,123.00
124.06,124.76,125.50,123.56
123.36,122.14,124.41,121.31
121.87,121.03,122.49,120.80
120.76,120.25,121.77,120.00
120.54,121.77,122.19,120.39
120.69,121.32,122.58,120.60
121.50,117.46,121.96,117.17
117.84,117.99,118.51,116.52
118.05,117.56,118.62,116.06
118.61,119.71,119.72,118.19
119.60,120.03,120.41,118.50
120.45,120.04,120.73,119.54
120.00,121.98,122.00,120.00
121.49,121.87,122.21,121.08
121.25,122.25,123.34,120.79
120.82,122.79,122.82,119.97
123.38,123.16,123.67,122.09
122.96,122.78,123.14,121.92
123.68,121.43,124.05,121.24
121.63,122.37,122.78,121.31
122.57,122.86,123.58,121.31
122.78,123.13,124.15,122.13
123.68,123.95,124.00,122.84
124.03,125.23,125.41,123.84
125.40,123.59,125.58,123.51
124.36,124.70,126.20,123.77
124.81,124.69,125.71,124.16
123.62,124.28,125.47,123.62
124.90,125.69,125.88,124.16
125.51,127.16,127.41,125.07
127.55,125.77,127.55,125.75
125.75,126.12,126.15,125.07
124.86,125.68,126.16,124.29
125.40,125.50,125.58,124.85
125.61,124.71,125.69,124.39
124.59,124.62,125.01,123.31
124.03,123.54,125.24,123.48
123.25,125.72,125.82,123.01
128.24,128.46,129.33,127.32
128.25,128.64,130.35,128.09
128.84,130.89,130.98,128.30
130.40,130.27,130.49,129.16
130.09,130.18,130.40,129.00
130.59,130.89,131.78,130.28
131.10,131.09,131.75,129.93
131.45,130.97,132.09,130.68
131.02,131.34,132.00,130.98
130.98,131.44,131.65,130.41
130.97,131.36,131.81,130.65
132.20,131.67,132.27,131.17
132.08,132.49,132.52,130.80
132.46,133.72,133.82,132.38
133.52,135.35,136.19,133.52
134.45,133.84,135.50,132.13
134.53,134.77,135.42,133.26
135.20,132.87,135.20,132.33
132.79,134.76,134.98,132.70
133.97,131.17,133.97,130.50
131.26,131.46,132.43,130.92
132.84,133.96,134.14,132.38
132.75,131.99,133.48,131.77
132.50,133.14,133.55,132.11
132.35,133.24,133.35,132.35
133.03,132.00,133.33,131.51
132.38,133.15,133.16,132.20
133.06,133.42,134.26,132.92
133.48,134.67,134.85,133.26
134.92,135.29,135.79,134.81
134.61,136.17,136.18,134.50
136.29,136.83,137.03,136.25
137.32,137.53,137.63,136.12
137.76,134.72,138.00,134.68
134.36,134.25,134.85,133.88
134.53,136.02,136.28,134.01
136.60,133.18,137.60,133.15
133.70,133.94,134.48,132.79
133.95,136.71,137.26,133.45
137.15,137.11,138.51,136.44
136.41,136.57,137.55,135.50
136.27,138.35,138.54,136.08
139.11,139.08,139.76,138.22
140.00,138.96,140.84,138.37
138.89,137.02,139.23,136.25
137.65,138.70,139.13,137.00
138.77,139.69,139.99,138.73
140.00,139.00,140.17,138.30
138.86,139.56,139.80,138.12
140.00,141.00,141.12,139.52
140.36,141.69,141.78,140.15
139.90,140.21,141.57,139.82
140.23,139.58,140.77,138.78
140.75,139.13,140.96,138.70
138.25,138.37,139.25,137.73
138.73,139.14,139.33,138.07
139.96,137.19,140.26,136.90
138.28,139.48,139.72,138.02
138.61,140.83,140.92,138.22
141.10,142.41,143.00,140.82
142.41,140.10,142.97,139.92
141.02,140.82,142.66,140.44
140.82,138.84,141.38,138.35
138.59,138.46,138.82,136.86
136.29,138.54,138.79,136.00
138.40,139.62,139.96,138.27
140.03,139.73,140.65,138.88
140.00,141.30,141.55,139.82
141.73,141.40,142.42,140.49
141.40,141.27,142.37,140.51
140.46,135.76,140.52,135.75
137.01,139.61,139.84,136.87
138.77,136.94,138.91,136.17
140.46,142.46,143.63,139.82
143.23,145.85,146.04,142.46
146.05,147.44,148.20,145.27
147.95,147.43,148.39,146.34
147.83,147.30,148.10,146.11
148.13,148.22,149.27,147.44
148.42,147.52,148.71,147.33
147.07,147.42,147.93,146.48
147.49,147.96,148.00,146.32
147.67,145.67,148.60,145.39
145.89,147.17,147.85,145.86
148.75,149.43,151.14,148.61
149.60,151.40,151.74,149.56
151.99,153.72,154.00,151.66
153.05,155.38,155.45,152.50
154.69,153.67,155.28,153.15
154.00,154.30,154.87,153.01
153.97,153.90,155.09,152.58
153.80,156.94,157.09,153.54
156.14,158.03,158.11,155.84
157.49,157.04,158.83,156.66
157.79,159.91,159.94,156.86
159.70,159.63,160.60,158.90
159.51,158.46,160.46,158.10
158.45,157.59,161.00,157.35
156.01,156.07,156.71,154.72
155.56,156.81,157.17,154.31
158.78,157.74,159.58,157.23
156.30,156.13,157.43,155.33
156.70,157.17,158.50,156.19
156.32,154.62,159.10,154.62
155.20,155.89,156.14,153.87
156.32,155.72,158.25,155.13
154.80,151.69,155.22,150.69
151.48,154.50,154.51,151.23
156.00,158.13,159.21,155.38
158.60,157.08,159.03,156.47
155.75,154.82,157.33,154.71
156.11,154.32,156.85,153.89
154.03,156.95,157.38,153.36
156.70,157.02,159.11,156.11
158.07,155.97,158.20,155.00
156.17,157.95,158.10,155.59
157.63,155.66,158.20,155.64
