VIS,Vanguard Industrials ETF - DNQ,NASDAQ
68.66,68.06,68.82,68.00
67.83,68.68,68.92,67.70
68.44,68.88,69.06,68.20
69.12,69.32,69.56,69.12
70.03,70.02,70.19,69.43
69.80,67.79,69.90,67.74
67.83,68.02,68.49,67.57
67.15,67.08,67.62,66.88
66.95,66.48,67.19,66.38
66.86,66.43,66.97,66.43
66.29,65.90,66.40,65.84
66.09,66.37,66.65,66.01
66.14,65.34,66.14,65.21
65.45,65.33,65.78,65.07
65.99,66.58,66.88,65.99
66.13,65.72,66.43,65.51
65.59,65.84,66.27,65.26
66.45,66.12,66.61,66.01
65.87,66.66,66.73,65.87
67.05,67.82,67.93,67.05
67.56,67.43,68.11,67.43
66.51,67.31,67.32,66.03
67.38,66.50,67.38,66.41
66.52,67.03,67.27,66.25
67.31,67.99,68.00,67.11
68.39,68.31,68.53,67.83
68.57,69.39,69.51,68.50
69.70,70.66,70.79,69.37
70.62,70.33,70.62,70.12
70.15,70.71,70.86,70.12
71.29,71.48,71.71,71.13
70.69,70.68,70.72,70.19
70.00,69.26,70.00,69.02
68.97,68.58,69.20,68.52
68.98,68.89,69.65,68.76
69.00,68.05,69.34,67.92
68.62,68.11,68.62,67.58
67.84,67.30,67.84,66.91
67.73,68.32,68.44,67.68
68.59,68.46,68.67,68.18
68.85,69.42,69.68,68.76
69.32,68.87,69.32,68.58
68.10,68.67,69.07,68.07
68.45,67.45,68.46,67.27
67.19,65.54,67.19,65.38
65.61,65.00,66.16,64.85
64.26,64.67,65.32,63.71
65.90,64.37,65.90,63.65
63.82,61.99,64.28,61.97
62.02,62.52,62.52,60.89
61.66,58.99,61.66,58.92
59.61,58.84,60.07,57.43
56.48,54.46,57.75,54.46
55.51,57.17,57.17,53.55
56.15,54.50,56.40,54.32
54.82,56.98,57.77,54.49
57.54,58.00,58.32,57.08
58.58,59.04,59.08,58.35
58.47,58.16,58.85,57.80
58.48,58.01,58.97,57.56
56.33,54.60,56.33,54.22
53.86,53.73,55.35,53.71
55.03,53.93,55.03,53.74
54.29,55.96,55.97,53.86
55.67,57.11,57.18,55.67
57.38,56.04,57.73,55.84
55.87,57.28,57.43,54.74
58.13,59.33,59.34,58.13
59.11,59.81,60.18,58.65
60.29,60.13,61.06,59.69
60.22,59.01,60.62,58.99
57.63,57.14,57.97,56.85
55.32,56.44,56.48,55.01
57.36,58.31,58.37,57.23
57.90,57.42,58.40,57.21
56.71,55.80,56.94,55.50
55.06,55.84,55.89,54.57
56.11,57.10,57.27,55.86
57.47,58.16,58.98,56.47
58.99,59.23,59.29,58.43
59.54,59.47,59.80,58.93
58.40,58.84,59.07,57.92
59.15,58.18,59.50,58.18
58.19,55.83,58.19,55.83
53.91,53.63,54.26,52.93
53.38,54.24,54.67,53.38
54.94,55.63,55.69,53.93
56.95,56.62,57.74,56.38
56.58,55.16,57.14,55.07
56.01,55.79,56.50,54.80
55.11,54.00,55.28,54.00
53.56,52.06,54.46,52.06
51.49,53.86,53.89,50.93
53.91,55.11,55.31,53.66
55.12,56.35,56.39,54.75
56.72,55.87,56.88,55.55
56.96,57.97,57.97,56.96
57.82,58.27,58.51,57.68
58.85,59.14,59.78,58.77
58.59,58.72,58.90,57.90
59.54,59.82,59.82,59.06
59.57,58.02,59.57,57.99
57.98,59.84,60.32,57.79
59.71,58.88,60.13,58.84
59.06,59.36,59.62,58.38
59.98,60.53,60.57,59.78
60.78,61.83,62.00,60.76
61.48,60.37,61.48,60.28
61.17,61.03,61.31,60.12
63.08,63.86,64.40,62.68
63.40,63.70,64.00,63.15
63.03,62.21,63.09,62.21
60.23,60.07,60.96,59.70
61.04,61.30,61.66,60.74
62.00,62.96,63.09,61.54
62.42,62.58,62.63,61.55
62.45,62.58,62.72,61.47
63.00,63.27,63.37,62.09
61.69,60.80,61.94,60.62
61.66,61.41,61.85,61.09
62.20,62.98,63.21,62.20
62.74,62.48,63.04,62.15
62.20,62.93,63.28,62.00
62.31,61.97,63.16,61.94
61.81,60.73,62.00,60.46
61.21,61.02,61.39,60.70
60.13,59.71,60.13,59.00
59.49,59.19,59.68,58.86
58.51,57.74,58.57,57.74
57.75,57.62,58.38,57.60
59.42,59.62,59.98,59.16
59.71,59.65,60.29,59.54
61.33,62.73,62.79,61.33
62.71,62.58,63.07,62.48
63.36,62.66,63.61,62.56
63.63,63.33,63.88,62.92
63.37,63.43,63.83,63.10
63.19,63.24,63.56,62.45
62.94,61.70,62.96,61.57
61.96,63.21,63.34,61.95
62.45,62.06,62.56,61.56
62.41,61.16,62.78,60.84
60.82,60.37,61.03,60.17
61.09,60.80,61.19,60.49
61.57,61.24,62.00,60.98
61.38,60.48,61.68,60.31
61.50,62.59,62.71,61.50
61.40,61.55,61.71,60.74
61.78,62.22,62.32,61.72
62.33,62.65,62.65,62.16
62.63,62.57,62.78,62.28
62.61,61.59,62.69,61.52
61.87,62.36,62.44,61.83
62.20,62.09,62.52,62.09
63.26,63.30,63.90,63.21
62.99,63.57,63.65,62.91
63.20,63.65,63.69,62.62
63.79,63.56,63.85,63.43
63.78,64.06,64.11,63.50
64.72,64.97,65.07,64.72
64.63,65.23,65.31,64.63
65.47,65.81,65.85,65.10
65.17,65.28,65.31,64.64
66.07,65.49,66.20,65.44
65.47,66.15,66.20,65.17
66.55,66.83,66.91,66.37
66.53,66.58,66.66,66.32
66.65,66.43,67.02,66.20
65.93,66.46,66.50,65.73
66.35,67.33,67.44,66.15
67.56,67.12,67.92,66.98
66.98,67.31,67.47,66.98
66.76,67.03,67.14,66.40
67.45,66.74,67.50,66.53
67.20,67.72,68.12,67.20
67.90,67.71,68.01,67.63
68.44,69.03,69.11,68.44
68.78,68.80,68.94,68.50
68.69,68.79,68.89,68.18
68.90,68.92,69.01,68.55
69.13,69.03,69.14,68.66
68.44,68.33,68.50,67.95
68.92,69.17,69.19,68.47
68.92,68.83,68.96,68.35
69.14,67.92,69.14,67.82
67.95,68.66,68.73,67.95
69.02,68.96,69.17,68.76
69.24,69.03,69.38,68.84
69.03,68.89,69.14,68.70
68.84,69.18,69.24,68.50
69.38,69.09,69.48,69.06
68.73,69.12,69.38,68.40
69.19,69.08,69.20,68.81
69.19,68.68,69.39,68.50
68.82,68.85,69.19,68.69
69.13,68.34,69.13,68.16
68.19,67.91,68.23,67.63
67.10,66.36,67.10,66.23
66.57,67.09,67.18,66.57
67.57,68.04,68.17,67.38
68.22,68.32,68.62,67.91
68.39,68.33,68.54,68.11
68.61,69.80,69.80,68.50
69.82,69.60,69.96,69.39
69.86,70.45,70.47,69.57
70.50,70.36,70.57,70.23
70.36,70.47,70.71,70.16
69.96,69.65,69.96,69.34
69.81,69.72,69.92,69.49
69.17,68.86,69.17,68.36
68.95,69.05,69.16,68.32
69.60,70.06,70.07,69.60
70.08,69.86,70.28,69.85
69.93,69.27,70.03,68.73
68.89,69.31,69.37,68.44
69.75,69.54,69.75,69.19
69.36,69.96,70.17,69.09
69.92,69.58,70.01,69.22
68.88,69.04,69.09,68.66
68.70,68.72,69.08,68.64
67.61,67.58,67.81,67.36
67.47,66.15,67.47,65.98
66.91,66.91,67.11,66.66
67.03,68.33,68.40,66.95
68.10,67.41,68.10,67.40
67.91,67.61,68.10,67.33
68.19,68.67,68.95,67.95
68.42,68.44,68.67,68.31
68.48,67.77,68.60,67.40
68.12,68.33,68.66,68.12
67.55,67.54,67.55,66.96
67.76,68.29,68.39,67.75
68.96,68.65,69.08,68.49
68.54,69.03,69.12,68.44
69.30,69.57,69.73,68.95
69.37,68.93,69.37,68.69
68.89,69.17,69.75,68.48
68.69,69.26,69.31,68.60
69.29,68.63,69.36,68.48
68.35,67.58,68.35,67.47
67.20,67.53,67.76,67.20
67.10,67.37,67.42,66.35
66.66,66.53,67.04,66.04
66.96,66.62,67.25,66.53
66.16,66.59,67.15,66.16
65.95,65.72,66.25,65.47
65.82,65.37,66.07,65.23
65.84,65.30,66.24,65.29
65.31,63.68,65.36,63.67
63.84,63.31,64.25,63.18
63.62,64.81,64.87,63.62
64.96,64.98,65.50,64.62
64.37,65.37,65.46,63.85
65.39,65.37,65.64,64.73
65.40,65.05,65.56,64.93
65.67,65.94,66.09,65.57
65.29,64.83,65.29,64.71
64.77,64.65,65.04,63.89
63.05,62.65,63.57,62.65
62.68,61.96,62.78,61.45
61.81,62.24,62.29,61.68
62.81,63.93,63.93,62.81
64.88,64.20,65.20,64.10
63.83,64.69,64.75,63.73
65.42,63.71,65.42,63.71
63.95,64.73,64.79,63.72
64.56,64.07,64.76,63.80
64.11,64.63,64.78,63.88
64.83,65.15,65.15,64.77
64.79,65.34,65.57,64.79
65.65,66.36,66.68,65.65
66.06,65.97,66.34,65.62
66.03,64.55,66.11,64.53
64.86,64.79,64.92,64.42
64.11,63.58,64.11,63.30
63.60,63.73,63.91,63.11
63.97,64.41,64.54,63.97
64.04,64.42,64.43,63.65
65.74,66.54,66.54,65.63
66.79,66.21,66.79,64.81
66.05,66.92,66.92,66.05
66.74,66.94,67.20,66.50
66.20,66.00,66.22,65.71
65.97,65.93,65.99,65.60
66.28,64.84,66.44,64.54
64.84,64.44,64.94,64.11
63.95,64.15,64.42,63.48
64.20,65.32,65.41,64.20
65.19,64.86,65.19,64.52
65.04,65.15,65.36,64.27
64.92,66.12,66.34,64.89
66.39,66.39,66.60,66.03
66.08,65.54,66.17,65.48
64.41,65.14,65.31,64.26
65.37,64.34,65.37,63.87
64.75,64.40,64.94,64.20
65.33,65.53,65.72,64.98
65.71,66.98,67.22,65.71
66.87,66.77,67.27,66.54
66.71,66.57,67.08,66.57
66.83,65.98,66.93,65.95
65.52,65.62,65.90,65.00
67.00,67.15,67.37,66.79
67.29,67.24,67.69,67.22
67.64,67.90,68.22,67.64
67.62,67.87,67.97,67.52
67.97,68.01,68.10,67.74
67.92,68.20,68.23,67.62
