DCTH,Delcath Systems,NASDAQ
12.14,10.72,12.43,10.33
10.83,8.77,10.94,8.60
8.95,9.20,9.39,8.31
9.32,10.22,10.40,9.20
10.50,9.79,10.76,9.75
9.96,9.74,9.99,9.41
9.57,9.05,9.69,9.00
9.07,9.41,9.64,8.69
9.57,9.06,9.59,8.92
9.30,8.95,9.32,8.81
8.96,8.70,9.15,8.65
8.76,7.94,8.80,7.83
7.98,7.66,8.04,7.57
7.67,8.05,8.05,7.55
7.89,7.23,7.98,7.10
7.00,6.44,7.01,6.29
6.40,6.34,6.75,6.26
6.10,5.88,6.34,5.65
5.92,5.75,6.00,5.66
6.00,5.76,6.14,5.66
5.73,5.89,5.95,5.58
6.08,5.85,6.23,5.66
5.81,7.68,7.84,5.74
7.56,6.90,7.58,6.84
7.08,7.32,7.62,6.90
7.34,8.27,8.49,7.12
8.24,8.24,8.74,8.08
8.25,7.71,8.44,7.57
7.73,7.15,7.80,7.05
6.81,7.55,7.59,6.71
7.67,7.19,7.98,7.16
7.43,7.43,7.68,7.38
7.40,7.89,7.93,7.39
8.17,8.69,8.85,8.10
8.86,8.69,9.16,8.42
8.56,8.00,8.60,7.96
8.23,8.43,8.55,8.01
8.04,7.80,8.34,7.57
8.08,7.91,8.15,7.55
8.00,7.64,8.04,7.63
7.70,8.12,8.40,7.70
8.10,7.88,8.14,7.80
7.85,7.99,7.99,7.53
8.00,8.14,8.24,7.89
8.00,8.32,8.47,7.99
8.08,7.92,8.19,7.76
7.75,7.70,7.98,7.66
7.71,7.49,7.88,7.45
7.45,7.15,7.51,7.08
6.80,6.66,7.09,6.59
6.77,6.30,6.80,6.27
6.29,6.51,6.61,5.98
6.63,6.38,6.63,6.20
6.42,6.04,6.45,6.00
5.88,5.62,5.90,5.41
5.50,5.53,5.63,5.35
5.77,5.65,5.90,5.62
5.79,6.08,6.13,5.57
6.06,5.84,6.10,5.81
5.88,6.08,6.20,5.80
6.23,6.00,6.27,5.99
6.00,5.87,6.00,5.83
6.05,6.25,6.34,5.97
6.25,6.47,6.67,6.10
6.50,6.80,6.93,6.47
6.92,6.51,6.95,6.38
6.57,6.54,6.65,6.00
6.65,6.78,6.85,6.57
6.78,6.73,6.82,6.55
6.72,6.78,6.87,6.63
6.75,7.42,7.65,6.75
7.50,7.25,7.54,7.11
7.35,7.51,7.63,7.20
7.59,7.61,7.79,7.43
7.51,7.55,7.73,7.36
7.44,7.75,7.93,7.40
7.88,7.60,7.92,7.56
7.70,7.58,7.78,7.52
7.58,7.61,7.64,7.29
7.60,7.47,7.61,7.42
7.52,7.20,7.55,6.86
7.27,7.36,7.45,7.17
7.30,7.20,7.45,7.10
7.31,7.40,7.43,7.13
7.35,7.24,7.44,7.18
7.32,8.10,8.40,7.32
8.25,8.88,9.29,8.15
8.81,8.43,8.90,8.15
8.42,8.78,8.86,8.23
8.85,8.67,9.17,8.65
8.69,8.83,9.24,8.63
8.95,8.73,8.98,8.56
8.70,8.66,8.81,8.52
8.55,8.18,8.59,8.09
8.18,8.32,8.50,8.07
8.42,8.32,8.61,8.16
8.32,8.33,8.42,8.26
8.37,8.56,8.61,8.29
8.52,8.73,9.07,8.41
8.70,8.72,8.87,8.42
8.84,8.63,8.84,8.55
8.57,8.50,8.62,8.44
8.51,7.99,8.51,7.87
8.06,8.49,8.62,7.86
8.55,8.24,8.57,8.11
8.40,8.53,8.60,8.14
8.60,8.63,8.98,8.45
8.63,9.13,9.19,8.63
9.40,9.66,9.95,9.34
9.64,9.99,10.13,9.31
10.02,10.28,10.49,9.90
10.20,10.07,10.44,9.75
10.31,10.09,10.40,10.05
9.99,9.75,10.07,9.61
9.72,9.64,9.85,9.50
9.75,9.90,10.10,9.70
10.09,10.00,10.15,9.83
10.02,9.86,10.35,9.63
9.74,9.79,9.90,9.51
9.89,10.02,10.05,9.71
9.92,9.81,10.15,9.75
9.81,9.93,9.98,9.60
9.92,10.06,10.15,9.73
10.19,9.93,10.35,9.88
9.99,9.94,10.08,9.85
9.99,9.90,10.00,9.83
10.00,10.71,10.93,9.89
10.93,10.55,10.95,10.41
10.55,10.38,10.65,10.25
10.46,10.68,10.80,10.35
10.68,11.27,11.28,10.65
11.36,10.64,11.60,10.57
10.66,10.65,10.87,10.40
10.60,10.46,10.94,10.35
10.50,10.74,10.80,10.50
10.73,10.66,10.78,10.03
10.66,10.73,10.81,10.45
10.73,10.81,10.99,10.66
11.18,10.11,11.20,9.85
10.02,10.09,10.36,9.60
10.04,9.89,10.04,9.80
9.85,9.94,10.03,9.70
9.95,10.18,10.24,9.88
10.15,10.01,10.30,10.00
10.01,9.80,10.07,9.78
9.87,10.01,10.10,9.84
10.02,9.77,10.07,9.61
9.75,9.66,9.79,9.57
9.66,9.58,9.90,9.50
9.62,9.34,9.73,9.30
9.27,9.18,9.30,8.83
9.33,9.74,9.91,9.03
9.72,9.84,9.90,9.60
9.81,9.65,9.86,9.55
9.62,9.74,9.85,9.49
9.75,9.83,9.88,9.60
9.80,9.12,9.80,9.05
9.02,9.04,9.38,8.76
9.09,8.95,9.15,8.91
8.87,8.83,9.03,8.77
8.82,8.93,8.97,8.70
8.92,9.39,9.53,8.90
9.44,9.40,9.54,9.23
9.46,9.39,9.59,9.24
9.41,9.46,9.50,9.13
9.50,9.68,9.73,9.45
9.62,10.08,10.18,9.62
10.36,10.47,10.70,10.11
10.59,10.75,10.87,10.42
10.76,10.52,10.93,10.34
10.79,10.85,10.94,10.63
11.16,11.44,11.55,11.06
11.64,11.15,11.88,11.08
11.30,11.04,11.35,10.85
11.04,10.84,11.06,10.69
10.71,10.82,10.97,10.67
10.82,10.95,11.05,10.76
10.90,11.11,11.19,10.80
11.23,11.30,11.65,11.19
6.90,7.01,8.11,6.25
7.10,6.69,7.16,6.69
6.26,6.18,6.44,6.02
6.16,6.29,6.40,6.08
6.32,6.55,6.59,6.30
6.83,6.55,6.83,6.34
6.52,6.40,6.55,6.35
6.37,6.32,6.52,6.30
6.35,6.54,6.59,6.32
6.57,6.68,6.78,6.44
6.71,6.98,7.05,6.70
6.99,6.61,7.05,6.55
6.52,6.42,6.65,6.25
6.41,6.66,6.70,6.36
6.57,6.56,6.69,6.46
6.39,6.70,6.89,6.32
6.70,6.88,6.95,6.61
6.94,6.80,7.09,6.75
7.08,7.03,7.08,6.85
7.10,7.00,7.25,6.96
6.98,6.81,7.00,6.76
6.78,6.99,7.03,6.69
6.99,7.22,7.22,6.99
7.25,7.15,7.25,7.05
7.25,7.26,7.55,7.22
7.43,7.47,7.53,7.27
7.56,7.50,7.61,7.32
7.45,7.36,7.53,7.25
7.40,7.47,7.51,7.20
7.51,7.36,7.59,7.33
7.39,7.64,7.75,7.26
7.64,7.74,7.83,7.57
7.74,7.79,7.95,7.66
7.87,7.53,7.98,7.46
7.54,7.18,7.62,7.05
7.05,7.26,7.37,6.96
7.16,8.63,9.70,7.16
9.00,8.59,9.09,8.56
8.60,8.41,8.66,8.25
8.32,8.16,8.32,8.04
8.40,8.20,8.40,8.15
8.33,8.25,8.33,8.11
8.30,8.26,8.39,8.14
8.19,7.36,8.25,7.09
7.37,7.27,7.60,7.25
7.24,7.04,7.37,7.01
6.95,6.91,6.95,6.77
6.92,7.07,7.23,6.90
7.04,6.74,7.21,6.73
6.70,6.63,6.78,6.55
6.61,6.56,6.70,6.38
6.42,6.48,6.65,6.39
6.64,6.41,6.64,6.35
6.49,6.41,6.50,6.20
6.45,6.67,6.80,6.32
6.69,6.49,6.77,6.41
6.47,6.34,6.51,6.31
6.32,6.27,6.43,6.22
6.22,6.04,6.31,6.00
6.00,5.87,6.18,5.80
5.92,5.80,5.94,5.65
5.84,5.84,6.03,5.80
5.85,5.87,5.97,5.70
5.80,5.76,5.84,5.65
5.80,5.68,5.90,5.68
5.67,5.84,5.90,5.64
5.85,5.99,6.04,5.76
6.00,6.09,6.10,6.00
6.17,6.05,6.21,5.92
6.05,5.76,6.05,5.74
5.79,5.65,5.86,5.60
5.59,5.38,5.69,5.30
5.37,5.70,5.95,4.90
5.80,5.26,5.85,5.24
5.24,5.09,5.25,4.95
5.11,5.16,5.38,5.05
5.27,5.23,5.41,5.15
5.19,4.98,5.28,4.95
5.02,5.20,5.21,5.01
5.12,4.98,5.15,4.96
4.98,4.99,5.09,4.87
5.06,5.06,5.11,4.94
5.03,5.09,5.09,4.93
5.12,5.25,5.25,5.06
5.21,5.34,5.45,5.17
5.25,5.18,5.28,5.08
5.18,5.17,5.22,5.04
5.15,5.20,5.25,5.07
5.16,5.23,5.29,5.16
5.27,5.26,5.33,5.20
5.27,5.16,5.34,5.14
5.15,5.20,5.25,5.14
5.21,5.09,5.24,5.02
5.07,5.39,5.42,5.05
5.40,5.68,5.81,5.33
5.58,6.34,6.55,5.55
6.26,6.19,6.64,6.05
6.17,6.37,6.64,6.13
6.43,6.28,6.59,6.21
6.32,5.87,6.39,5.85
5.30,5.06,5.45,5.05
5.18,5.00,5.25,5.00
5.07,5.12,5.17,5.05
5.14,5.10,5.14,5.04
5.12,5.09,5.21,5.05
5.09,5.09,5.13,5.04
5.05,5.02,5.10,5.01
5.00,4.92,5.05,4.81
4.90,4.72,4.94,4.68
4.76,4.64,4.81,4.60
4.57,4.45,4.59,4.40
4.55,4.47,4.67,4.40
4.45,4.56,4.73,4.43
4.76,4.54,4.78,4.45
4.25,3.70,4.25,3.64
3.81,3.75,3.89,3.50
3.51,3.09,3.59,3.07
3.20,3.37,3.37,3.10
3.22,3.39,3.58,3.16
3.44,3.60,3.67,3.44
3.63,4.14,4.21,3.62
4.29,4.12,4.41,3.99
4.05,3.89,4.10,3.81
3.91,3.96,4.05,3.83
3.82,3.60,3.89,3.57
3.61,3.65,3.87,3.61
3.91,3.67,4.11,3.63
3.70,3.87,3.87,3.65
3.87,3.84,4.04,3.75
3.90,3.58,3.96,3.50
3.57,3.43,3.61,3.32
3.49,3.69,3.69,3.45
3.66,4.15,4.25,3.60
4.25,4.14,4.38,4.04
3.75,3.68,3.86,3.57
3.58,3.81,3.91,3.50
3.64,3.73,3.84,3.57
3.83,3.94,3.97,3.71
3.90,3.77,4.10,3.76
3.72,3.68,3.86,3.62
3.62,3.86,4.04,3.61
3.87,3.83,3.98,3.74
3.86,3.92,3.96,3.81
3.96,3.92,3.98,3.82
3.96,4.13,4.13,3.88
4.05,4.03,4.12,3.94
4.03,3.88,4.08,3.87
3.89,3.64,3.97,3.63
3.51,3.38,3.65,3.30
3.32,3.41,3.46,3.25
3.77,3.69,3.78,3.53
3.77,3.72,3.91,3.68
3.72,3.46,3.84,3.44
3.59,3.47,3.65,3.28
3.40,3.34,3.49,3.30
3.26,3.14,3.43,3.11
3.12,3.38,3.40,3.05
3.39,3.43,3.50,3.33
3.42,3.57,3.59,3.38
3.57,3.32,3.59,3.30
3.40,3.42,3.44,3.28
3.39,3.46,3.52,3.37
3.51,3.43,3.59,3.36
3.43,3.65,3.74,3.38
3.72,3.62,3.72,3.53
3.58,3.39,3.66,3.37
3.40,3.44,3.53,3.28
3.54,3.41,3.58,3.32
3.42,3.33,3.47,3.19
3.41,3.30,3.42,3.25
3.33,3.49,3.51,3.31
3.50,3.37,3.50,3.32
3.43,3.38,3.49,3.30
3.55,3.55,3.63,3.45
3.58,3.75,3.76,3.58
3.69,3.62,3.81,3.61
3.46,3.38,3.50,3.34
3.46,3.49,3.53,3.39
3.54,3.62,3.62,3.40
3.56,3.57,3.59,3.47
3.61,3.52,3.65,3.41
3.41,3.38,3.45,3.25
3.29,3.19,3.40,3.19
3.26,3.16,3.33,3.10
3.23,3.26,3.30,3.17
3.25,3.15,3.31,3.12
3.14,3.12,3.24,3.11
3.11,3.00,3.16,2.95
3.01,2.92,3.12,2.90
2.93,2.55,2.97,2.51
2.44,2.40,2.46,2.25
2.49,2.62,2.69,2.42
2.61,2.37,2.76,2.37
2.38,2.30,2.41,2.30
2.44,2.55,2.60,2.40
2.54,2.36,2.55,2.33
2.46,2.58,2.59,2.40
2.56,2.41,2.63,2.40
2.50,2.51,2.58,2.43
2.56,2.62,2.71,2.50
2.61,2.57,2.61,2.51
2.56,2.55,2.59,2.50
2.51,2.34,2.58,2.31
2.36,2.33,2.45,2.32
2.30,2.26,2.34,2.22
2.28,2.15,2.32,2.15
2.09,2.00,2.13,1.96
2.01,1.99,2.13,1.98
2.01,1.89,2.01,1.85
1.89,1.88,1.98,1.87
1.92,1.99,2.00,1.89
1.97,2.42,2.65,1.97
2.40,2.43,2.57,2.35
2.44,2.85,2.89,2.44
2.85,3.05,3.20,2.76
3.13,3.49,3.50,2.99
3.52,3.46,3.65,3.25
3.20,3.05,3.22,2.85
3.14,3.26,3.29,3.14
3.25,3.25,3.29,3.10
3.30,3.56,3.60,3.25
3.58,3.87,3.94,3.43
3.92,4.16,4.40,3.73
4.28,4.08,4.38,3.87
4.02,4.12,4.25,3.89
4.22,4.21,4.25,4.02
4.18,4.16,4.48,4.05
4.18,3.63,4.21,3.37
3.51,3.78,3.83,3.48
3.76,3.87,3.99,3.76
3.89,3.99,4.07,3.81
4.01,3.90,4.05,3.85
3.90,3.86,3.99,3.80
3.84,3.94,4.00,3.76
3.95,3.81,3.96,3.78
3.75,3.85,3.90,3.74
3.81,3.79,3.88,3.71
3.82,3.97,4.00,3.79
4.00,4.10,4.20,3.93
4.35,4.26,4.47,4.21
4.34,4.35,4.38,4.19
4.33,4.49,4.67,4.31
4.54,4.36,4.54,4.31
4.36,4.32,4.39,4.25
4.35,4.24,4.35,4.20
4.06,4.14,4.22,4.05
4.17,4.23,4.25,4.13
4.34,4.33,4.45,4.25
4.36,4.15,4.36,4.14
4.16,4.28,4.33,4.15
4.31,4.23,4.38,4.16
4.22,4.25,4.30,4.14
4.25,4.22,4.31,4.21
4.23,4.29,4.32,4.15
4.28,4.17,4.32,4.16
4.17,4.46,4.48,4.17
4.46,4.60,4.65,4.38
4.63,4.36,4.74,4.35
4.40,4.45,4.59,4.39
4.47,4.21,4.49,4.21
4.19,4.14,4.25,4.14
4.12,3.87,4.13,3.77
3.90,3.98,4.05,3.79
4.03,3.85,4.05,3.82
4.01,3.49,4.01,3.45
3.47,3.52,3.58,3.38
3.56,3.42,3.61,3.36
3.40,3.14,3.45,3.12
3.15,3.20,3.23,3.06
3.19,3.10,3.25,3.09
3.09,3.09,3.12,3.03
3.22,3.42,3.54,3.22
3.40,3.29,3.47,3.28
3.25,3.14,3.27,3.08
3.19,3.17,3.20,3.12
3.23,3.24,3.27,3.18
3.27,3.21,3.30,3.20
3.21,3.13,3.23,3.10
3.12,2.98,3.13,2.95
3.01,3.14,3.15,2.98
3.13,3.20,3.20,3.04
3.20,3.11,3.21,3.07
3.06,3.04,3.16,3.01
3.25,3.10,3.31,3.08
3.07,2.99,3.08,2.89
2.99,2.85,3.10,2.81
2.90,2.96,3.06,2.87
2.96,3.07,3.22,2.90
3.05,2.94,3.05,2.93
2.95,2.94,3.04,2.82
2.97,2.97,3.02,2.96
2.97,2.85,2.99,2.82
2.87,2.74,2.89,2.73
2.83,2.64,2.85,2.61
2.67,2.76,2.78,2.52
2.78,2.86,2.90,2.78
2.90,2.85,2.94,2.81
2.85,2.82,2.90,2.79
2.82,2.76,2.82,2.67
2.76,2.81,2.87,2.70
2.83,2.91,2.94,2.81
2.90,2.88,2.91,2.78
2.86,2.72,2.86,2.71
2.71,2.63,2.74,2.61
2.63,2.67,2.73,2.62
2.63,2.60,2.70,2.60
2.52,2.50,2.58,2.43
2.53,2.51,2.53,2.47
2.49,2.51,2.59,2.49
2.50,2.42,2.52,2.42
2.43,2.31,2.48,2.29
2.34,2.12,2.34,2.07
2.12,2.03,2.18,2.00
2.02,1.99,2.03,1.96
2.01,2.20,2.21,1.95
2.20,2.26,2.43,2.20
2.24,2.19,2.43,2.12
2.20,2.38,2.38,2.16
1.48,1.50,1.58,1.46
1.54,1.49,1.56,1.47
1.51,1.50,1.52,1.46
1.51,1.49,1.52,1.46
1.49,1.44,1.53,1.42
1.45,1.48,1.48,1.44
1.48,1.53,1.56,1.48
1.56,1.58,1.61,1.55
1.62,1.55,1.62,1.51
1.54,1.49,1.55,1.49
1.52,1.43,1.52,1.42
1.45,1.45,1.46,1.41
1.44,1.41,1.45,1.40
1.48,1.53,1.54,1.44
1.55,1.53,1.59,1.53
1.60,1.54,1.60,1.53
1.58,1.50,1.58,1.49
1.51,1.47,1.55,1.46
1.47,1.41,1.51,1.41
1.43,1.47,1.51,1.43
1.48,1.51,1.54,1.47
1.54,1.55,1.59,1.53
1.58,1.53,1.58,1.50
1.53,1.58,1.58,1.53
1.60,1.65,1.68,1.57
1.64,1.66,1.72,1.63
1.69,1.72,1.78,1.69
1.74,1.94,1.96,1.73
2.00,2.00,2.07,1.87
2.06,2.17,2.22,1.99
2.18,2.10,2.24,2.06
2.09,2.04,2.13,2.00
2.11,1.99,2.12,1.92
2.06,1.97,2.06,1.95
1.95,1.88,1.96,1.77
1.87,1.84,1.90,1.79
1.84,1.80,1.86,1.78
1.80,1.82,1.87,1.80
1.83,1.90,1.90,1.80
1.88,1.84,1.89,1.80
1.85,1.76,1.85,1.73
1.77,1.71,1.78,1.69
1.72,1.72,1.79,1.70
1.73,1.72,1.76,1.70
1.75,1.77,1.83,1.73
1.78,1.72,1.80,1.71
1.74,1.71,1.78,1.67
1.66,1.64,1.70,1.64
1.69,1.64,1.69,1.61
1.67,1.74,1.77,1.64
1.84,1.69,1.85,1.66
1.69,1.67,1.71,1.63
1.70,1.82,1.85,1.67
1.83,2.02,2.08,1.83
2.04,2.05,2.10,1.97
2.07,2.01,2.09,1.96
1.99,2.02,2.13,1.97
2.05,1.88,2.05,1.86
1.91,1.96,1.99,1.80
1.97,1.91,2.00,1.90
1.94,1.91,1.98,1.90
1.93,1.95,1.95,1.89
1.95,2.00,2.00,1.91
2.04,2.01,2.05,1.97
2.00,1.94,2.01,1.88
1.94,1.96,2.00,1.88
1.95,1.99,2.01,1.94
2.01,1.92,2.02,1.90
1.94,1.98,2.01,1.92
1.90,1.87,1.93,1.84
1.88,1.88,1.92,1.84
1.90,1.72,1.90,1.72
1.74,1.75,1.75,1.71
1.76,1.71,1.76,1.69
1.71,1.69,1.71,1.68
1.69,1.72,1.72,1.67
1.70,1.71,1.75,1.67
1.72,1.70,1.74,1.69
1.73,1.73,1.78,1.72
1.76,1.71,1.76,1.69
1.85,1.77,1.86,1.76
1.80,1.76,1.81,1.74
1.77,1.77,1.81,1.72
1.84,1.73,1.85,1.71
1.73,1.68,1.77,1.60
1.68,1.66,1.70,1.60
1.68,1.63,1.70,1.62
1.63,1.62,1.67,1.61
1.62,1.72,1.73,1.62
1.80,1.83,1.94,1.78
1.85,1.79,1.87,1.78
1.80,1.82,1.84,1.79
1.89,2.07,2.07,1.83
2.10,2.31,2.34,2.09
2.34,2.15,2.38,2.08
2.19,2.14,2.26,2.07
2.20,2.20,2.24,2.14
2.24,2.09,2.24,2.04
1.84,1.70,1.90,1.64
1.75,1.72,1.76,1.65
1.73,1.65,1.74,1.65
1.71,1.71,1.73,1.66
1.71,1.67,1.72,1.64
1.70,1.69,1.74,1.68
1.68,1.64,1.71,1.63
1.66,1.63,1.68,1.63
1.66,1.70,1.70,1.65
1.70,1.67,1.70,1.66
1.69,1.68,1.69,1.66
1.68,1.68,1.69,1.66
1.69,1.64,1.69,1.64
1.66,1.65,1.68,1.65
1.70,1.68,1.71,1.67
1.70,1.61,1.71,1.60
1.61,1.50,1.64,1.42
1.49,1.48,1.50,1.45
1.46,1.30,1.49,1.30
1.30,1.20,1.30,1.18
1.20,1.11,1.21,1.11
1.11,1.13,1.15,1.01
1.13,1.26,1.27,1.13
1.31,1.32,1.35,1.27
1.30,1.22,1.31,1.21
1.22,1.25,1.29,1.18
1.26,1.35,1.37,1.26
1.36,1.37,1.40,1.31
1.38,1.34,1.40,1.34
1.34,1.41,1.46,1.34
1.43,1.58,1.60,1.41
1.60,1.61,1.67,1.57
1.67,1.46,1.67,1.40
1.51,1.45,1.51,1.43
1.49,1.46,1.49,1.37
1.35,1.43,1.44,1.30
1.42,1.39,1.46,1.35
1.39,1.29,1.39,1.22
1.25,1.28,1.31,1.25
1.27,1.23,1.30,1.20
1.22,1.24,1.25,1.22
1.23,1.23,1.30,1.22
1.22,1.25,1.28,1.20
1.25,1.25,1.29,1.22
1.26,1.24,1.29,1.23
1.26,1.23,1.26,1.21
1.23,1.20,1.23,1.16
1.22,1.27,1.27,1.20
1.28,1.23,1.28,1.20
1.20,1.22,1.24,1.20
1.25,1.23,1.25,1.21
1.23,1.23,1.24,1.20
1.24,1.37,1.39,1.24
1.38,1.30,1.39,1.28
1.30,1.32,1.33,1.28
1.33,1.31,1.36,1.31
1.32,1.32,1.35,1.29
1.33,1.42,1.46,1.32
1.40,1.40,1.43,1.38
1.41,1.40,1.44,1.38
1.40,1.42,1.43,1.38
1.43,1.50,1.55,1.40
1.57,1.51,1.64,1.50
1.53,1.45,1.55,1.44
1.46,1.42,1.48,1.40
1.46,1.44,1.46,1.41
1.45,1.44,1.47,1.40
1.49,1.44,1.51,1.42
1.45,1.45,1.48,1.42
1.45,1.44,1.48,1.43
1.43,1.45,1.46,1.42
1.45,1.43,1.46,1.43
1.54,1.51,1.55,1.48
1.55,1.51,1.55,1.49
1.55,1.63,1.66,1.51
1.67,1.65,1.68,1.60
1.60,1.60,1.62,1.57
1.60,1.57,1.62,1.56
1.57,1.51,1.59,1.50
1.52,1.52,1.53,1.46
1.50,1.51,1.52,1.48
1.50,1.55,1.59,1.48
1.52,1.57,1.58,1.52
1.57,1.58,1.60,1.55
1.60,1.58,1.60,1.54
1.58,1.52,1.58,1.52
1.53,1.49,1.54,1.46
1.52,1.47,1.53,1.46
1.49,1.47,1.50,1.47
1.51,1.47,1.52,1.46
1.51,1.50,1.52,1.46
1.51,1.55,1.55,1.48
1.56,1.63,1.63,1.53
1.67,1.77,1.84,1.64
1.77,1.69,1.83,1.67
1.70,1.80,1.80,1.63
1.82,1.88,1.95,1.82
1.90,1.96,2.00,1.84
2.01,2.13,2.19,2.01
2.16,1.91,2.18,1.86
1.94,1.92,1.98,1.83
1.76,1.76,1.86,1.73
1.75,1.66,1.75,1.62
1.73,1.71,1.74,1.66
1.72,1.67,1.72,1.63
1.69,1.71,1.72,1.63
1.74,1.75,1.81,1.73
1.75,1.69,1.76,1.68
1.72,1.71,1.73,1.68
1.70,1.68,1.73,1.68
1.68,1.68,1.72,1.66
1.69,1.80,1.80,1.65
1.80,1.90,1.90,1.76
1.91,1.91,1.93,1.86
1.91,1.80,1.91,1.75
1.77,1.77,1.81,1.75
1.75,1.77,1.79,1.66
1.68,1.65,1.72,1.65
1.60,1.52,1.60,1.45
1.55,1.55,1.59,1.51
1.57,1.49,1.59,1.41
1.48,1.52,1.54,1.46
1.53,1.44,1.54,1.43
1.47,1.46,1.52,1.41
1.44,1.40,1.47,1.31
1.37,1.41,1.43,1.35
1.43,1.41,1.43,1.38
1.45,1.54,1.55,1.42
1.56,1.60,1.62,1.56
1.62,1.51,1.64,1.50
1.56,1.51,1.56,1.50
1.51,1.49,1.51,1.45
1.51,1.39,1.53,1.37
1.20,0.83,1.23,0.77
0.78,0.76,0.80,0.75
0.75,0.79,0.84,0.75
0.40,0.46,0.50,0.38
0.46,0.45,0.49,0.43
0.45,0.48,0.50,0.44
0.48,0.49,0.49,0.47
0.47,0.43,0.47,0.42
0.42,0.41,0.43,0.41
0.41,0.41,0.45,0.41
0.42,0.42,0.43,0.40
0.42,0.40,0.42,0.40
0.40,0.40,0.41,0.40
0.41,0.41,0.42,0.39
0.42,0.44,0.45,0.41
0.45,0.44,0.45,0.41
0.44,0.42,0.45,0.41
0.41,0.43,0.43,0.40
0.41,0.41,0.44,0.41
0.42,0.40,0.42,0.40
0.40,0.40,0.41,0.40
0.40,0.43,0.45,0.40
0.44,0.43,0.45,0.42
0.44,0.41,0.44,0.40
0.40,0.42,0.42,0.39
0.41,0.38,0.42,0.38
0.40,0.40,0.40,0.38
0.39,0.38,0.39,0.38
0.39,0.39,0.39,0.38
0.40,0.45,0.47,0.38
0.45,0.43,0.50,0.41
0.43,0.47,0.48,0.41
0.47,0.54,0.54,0.45
0.55,0.49,0.62,0.48
0.50,0.45,0.52,0.45
0.47,0.47,0.50,0.45
0.46,0.47,0.48,0.45
