IYW,iShares U.S. Technology ETF,NASDAQ
57.64,57.81,58.15,57.32
57.35,57.65,58.57,57.07
57.89,59.01,59.08,57.89
58.73,58.21,59.36,58.03
57.71,57.22,57.72,56.45
57.24,57.33,57.48,56.13
57.90,56.53,57.90,56.28
56.36,56.11,56.80,55.47
54.86,54.09,55.22,53.91
53.16,54.61,54.94,52.75
54.54,54.25,55.07,54.23
52.88,54.17,54.18,52.43
54.62,53.61,55.31,53.47
54.90,55.65,55.65,54.81
55.64,55.13,55.66,54.71
54.87,54.53,55.78,54.50
54.91,55.84,55.84,54.49
56.01,56.51,56.61,55.73
55.46,54.58,56.04,54.36
54.79,53.52,54.96,53.46
53.57,53.53,53.71,52.71
53.89,53.07,54.39,52.87
53.90,54.37,54.43,53.55
53.95,55.05,55.10,53.88
55.55,54.93,55.86,54.88
55.30,56.51,56.61,55.23
56.33,56.72,56.93,56.20
57.06,56.93,57.09,56.38
57.06,56.99,57.30,56.80
57.66,56.45,57.73,56.16
56.64,55.89,57.09,55.85
56.02,55.68,56.20,55.26
55.38,54.58,55.53,54.42
54.84,54.50,54.96,54.07
54.50,54.52,54.89,54.15
53.62,52.45,53.69,52.05
52.33,51.60,52.66,51.41
51.56,51.37,51.98,50.49
51.46,51.26,51.65,50.80
52.14,51.59,52.50,51.22
51.77,53.58,53.61,51.71
54.12,53.84,54.12,53.24
53.90,54.15,54.17,53.79
54.05,54.56,54.80,54.05
55.13,55.36,55.59,54.66
55.66,55.86,56.25,55.52
55.78,55.92,56.01,55.05
55.53,54.34,55.57,54.26
54.61,54.93,55.02,54.20
53.72,55.23,55.27,53.53
55.68,54.48,55.68,54.32
55.07,55.95,56.12,55.07
55.70,56.29,56.31,55.53
56.32,56.68,56.71,56.04
57.00,56.75,57.00,56.50
56.66,56.15,56.83,55.95
56.48,55.66,56.48,55.17
55.13,55.44,55.70,54.81
56.16,56.59,56.76,55.90
56.46,56.34,56.53,56.07
56.51,56.73,56.82,56.13
56.49,56.51,56.63,56.14
55.96,56.32,56.46,55.58
56.46,56.58,56.71,56.16
56.10,55.84,56.17,55.49
54.96,54.37,54.96,54.13
53.14,53.35,53.55,52.84
53.20,53.06,53.43,53.01
52.77,53.25,53.52,52.56
53.71,53.82,54.31,53.61
53.76,54.12,54.40,53.65
53.85,53.43,54.11,53.17
53.34,53.54,53.65,53.15
53.84,53.00,53.91,52.99
52.37,52.10,52.66,51.89
51.77,52.42,52.64,51.55
52.64,51.85,52.72,51.76
52.22,52.48,52.56,51.16
52.26,51.84,52.65,51.84
51.60,51.54,51.99,51.22
52.29,52.89,53.10,52.20
53.00,53.32,53.40,52.85
53.94,54.26,54.30,53.73
54.06,53.83,54.34,53.79
53.93,54.08,54.24,53.79
54.64,54.21,54.74,54.16
54.27,54.19,54.31,53.81
54.71,55.42,55.55,54.71
55.29,55.66,56.15,55.18
55.62,55.98,56.08,55.45
55.89,56.36,56.40,55.81
56.82,56.59,56.82,56.34
56.76,57.39,57.51,56.68
57.41,57.30,57.81,57.14
57.05,56.98,57.28,56.60
56.50,56.89,57.45,56.41
57.54,58.11,58.16,57.54
58.17,58.03,58.51,57.93
58.19,58.15,58.30,57.23
57.95,58.16,58.36,57.91
58.47,57.85,58.76,57.51
58.36,57.81,58.36,57.61
57.63,57.19,57.74,56.82
57.75,58.43,58.58,57.70
58.31,57.98,58.59,57.54
58.32,58.13,58.32,57.69
58.17,58.59,58.71,57.83
58.69,58.63,58.96,58.50
58.54,59.10,59.26,58.10
59.56,59.67,59.93,59.31
59.77,59.62,59.87,59.28
60.41,60.84,60.84,60.00
60.88,61.00,61.13,60.60
59.93,60.02,60.54,59.55
60.17,60.36,60.81,60.02
60.75,60.40,60.85,59.82
60.47,60.88,60.90,60.40
61.09,61.11,61.50,61.04
60.79,61.13,61.23,60.43
60.84,61.54,61.57,60.80
61.84,61.58,61.84,61.10
61.71,61.67,62.03,61.64
61.89,61.84,62.40,61.52
62.29,62.40,62.51,62.17
62.47,62.72,62.77,61.97
63.37,63.68,63.80,63.31
63.75,63.67,63.77,63.44
63.60,63.83,63.97,63.50
64.05,63.60,64.28,63.34
63.63,63.71,63.78,63.06
62.31,62.59,62.68,61.77
62.32,61.77,62.64,61.34
61.96,61.49,62.06,61.43
61.06,60.38,61.21,60.14
60.50,60.37,60.82,60.12
61.03,61.45,61.74,60.79
61.44,61.67,61.80,61.34
61.41,62.18,62.18,61.32
61.62,61.25,61.72,60.91
61.79,62.35,62.45,61.77
61.96,62.13,62.26,61.80
61.68,61.73,61.90,61.12
61.16,60.94,61.30,60.77
61.75,62.28,62.56,61.75
62.40,63.07,63.15,62.38
62.74,63.34,63.40,62.74
63.29,63.36,63.52,63.21
64.10,63.40,64.11,63.38
63.66,63.92,63.94,63.48
64.19,63.91,64.21,63.74
64.12,64.28,64.31,63.91
64.50,64.01,64.53,64.00
64.08,63.94,64.31,63.80
63.93,63.72,64.22,63.57
63.82,64.13,64.14,63.52
64.32,64.32,64.51,64.21
64.45,64.24,64.53,63.95
64.43,64.74,64.80,64.43
64.66,64.64,64.72,64.53
64.52,64.51,64.64,64.39
64.37,64.58,64.71,64.02
64.79,64.59,64.83,64.47
64.74,64.66,64.84,64.61
64.64,64.54,64.71,64.49
64.47,64.38,64.47,64.13
64.88,65.13,65.50,64.76
65.46,65.28,65.46,64.80
65.09,65.65,65.73,65.05
65.80,66.26,66.30,65.70
66.27,66.05,66.38,65.45
65.94,66.32,66.42,65.73
66.60,66.41,66.64,66.19
66.75,67.00,67.04,66.54
66.99,66.99,67.16,66.76
67.06,67.65,67.65,66.92
67.19,67.79,67.90,67.09
67.98,67.25,67.99,67.01
66.77,66.54,66.83,65.97
66.99,66.17,67.03,66.11
66.16,67.04,67.05,66.04
66.80,67.24,67.26,66.68
67.41,67.63,67.84,67.20
67.79,68.09,68.33,67.74
68.22,66.50,68.24,66.27
66.56,66.93,66.94,66.19
67.37,68.11,68.31,67.30
68.06,68.30,68.49,67.99
68.24,68.34,68.48,67.70
68.45,68.87,68.93,68.25
69.11,69.35,69.69,69.04
69.31,69.65,69.65,69.19
69.51,69.46,69.71,69.26
68.79,69.06,69.26,68.56
69.06,69.38,69.44,68.87
69.38,69.55,69.74,69.37
69.47,69.20,69.49,69.03
69.46,69.73,69.83,69.35
69.46,69.84,69.96,69.31
69.96,69.81,70.00,69.56
68.79,67.89,69.11,67.75
67.50,66.94,67.63,66.39
66.92,67.22,67.48,66.45
67.65,68.21,68.28,67.65
68.52,68.31,68.66,67.88
68.60,67.05,68.64,66.97
67.05,67.41,67.99,67.05
68.11,68.61,68.74,68.11
68.70,68.17,68.70,67.76
68.36,67.11,68.41,66.59
67.14,67.53,67.88,66.74
67.33,67.03,67.41,66.75
66.29,65.67,66.29,65.56
65.32,66.08,66.31,65.32
65.66,65.78,66.23,65.40
63.89,64.80,65.13,63.49
64.32,63.15,64.66,62.68
64.00,63.63,64.33,63.58
64.41,63.71,64.53,63.62
64.60,64.97,65.34,64.60
65.01,64.85,65.10,64.70
64.64,65.18,65.35,64.31
65.72,66.26,66.34,65.39
66.60,66.40,66.79,66.33
66.51,66.04,66.72,66.02
65.97,66.48,66.48,65.66
66.80,66.61,66.82,66.43
66.56,66.54,66.75,66.32
66.91,66.35,66.91,66.12
66.44,65.94,66.47,65.69
65.90,65.90,66.40,65.87
66.34,66.36,66.58,66.00
66.35,66.32,66.71,65.90
66.54,65.96,66.61,65.73
66.01,65.77,66.14,65.52
65.38,65.21,65.45,64.89
65.56,65.68,65.95,65.32
65.30,65.52,65.57,64.97
65.28,65.26,65.48,64.96
64.58,64.76,64.77,63.88
64.81,64.97,64.99,64.52
66.17,66.64,66.68,66.01
67.32,67.21,67.32,66.93
67.30,67.39,67.47,67.15
67.57,67.89,68.12,67.40
68.03,68.18,68.25,67.64
67.95,68.21,68.30,67.94
68.22,68.40,68.43,68.00
68.62,67.95,68.62,67.85
67.89,67.66,67.93,67.16
67.74,67.55,67.84,66.94
67.28,67.29,68.00,67.05
67.98,67.54,68.36,67.35
67.67,67.69,67.94,67.35
67.80,68.27,68.36,67.75
68.27,67.77,68.44,67.37
67.49,68.17,68.35,67.09
68.03,67.33,68.08,67.31
67.13,66.21,67.35,66.07
65.80,66.05,66.06,65.28
66.01,66.66,66.83,66.00
66.93,66.76,66.93,66.35
66.69,66.40,66.85,66.33
65.41,65.36,65.58,65.10
65.53,65.06,65.57,65.02
64.97,65.37,65.66,64.86
65.27,65.79,65.95,65.23
65.89,66.15,66.21,65.89
66.80,67.18,67.18,66.42
66.95,65.65,67.22,65.60
65.75,65.72,66.01,65.43
64.90,64.76,65.39,64.68
64.63,64.28,64.95,64.25
64.53,64.08,64.62,64.05
63.88,63.47,63.88,63.30
63.52,63.55,63.83,63.39
63.27,62.62,63.37,62.54
62.68,62.46,62.87,62.33
63.00,63.37,63.59,63.00
62.86,62.22,63.13,62.05
62.18,61.97,62.48,61.43
62.54,61.79,62.64,61.57
61.48,61.96,62.10,61.48
62.22,63.23,63.36,62.11
63.04,62.79,63.33,62.78
62.14,63.47,63.49,61.97
63.10,62.20,63.10,62.12
62.18,63.10,63.41,62.13
63.33,63.91,63.92,63.32
64.01,64.08,64.21,63.70
64.32,65.02,65.09,64.32
65.06,66.05,66.13,64.90
66.09,66.22,66.28,65.90
66.21,66.56,66.65,65.99
67.09,67.47,67.67,67.02
66.77,67.15,67.15,66.44
66.41,65.94,66.79,65.75
65.76,65.23,65.82,65.19
65.61,65.43,66.16,65.19
65.60,64.76,66.01,64.52
65.49,65.70,65.74,65.08
65.36,65.47,65.71,64.85
66.16,67.28,67.34,66.16
67.70,66.98,67.72,66.86
66.88,67.21,67.46,66.40
67.23,68.17,68.26,67.23
67.49,67.94,68.36,67.37
67.96,68.21,68.50,67.86
67.42,66.15,67.50,65.96
66.07,66.22,66.98,65.83
65.57,65.73,66.46,65.21
66.58,65.59,66.72,64.74
65.16,64.11,65.63,64.08
64.14,64.76,64.87,63.19
63.84,61.83,64.06,61.83
62.32,61.31,62.60,59.43
59.34,57.88,60.32,57.86
58.60,60.30,60.33,56.86
59.21,58.02,59.89,57.92
58.76,60.45,61.19,58.73
61.00,60.99,61.37,60.32
61.34,62.06,62.07,61.24
61.50,61.36,61.93,60.60
61.42,60.81,61.87,60.31
59.10,57.65,59.10,57.12
56.88,56.04,57.85,55.93
57.33,56.33,57.33,56.07
56.67,58.57,58.57,56.52
58.50,58.99,59.10,57.91
58.81,58.06,59.22,57.90
57.78,59.46,59.63,57.49
60.05,61.20,61.23,60.05
60.91,61.33,61.65,60.54
61.64,61.36,62.13,60.92
61.46,60.62,61.98,60.56
59.52,59.15,59.79,58.83
57.69,58.85,58.92,57.50
59.69,60.47,60.52,59.69
60.19,60.23,61.24,60.04
59.74,58.97,60.14,58.61
58.29,59.72,59.73,58.29
59.96,60.54,60.68,59.64
60.84,61.58,62.26,60.43
62.21,62.55,62.67,61.72
62.84,63.08,63.17,62.57
62.31,63.04,63.34,61.79
63.40,62.74,63.91,62.65
63.03,61.84,63.57,61.83
60.25,59.93,60.89,59.05
59.35,60.47,60.71,59.33
60.77,61.31,61.36,59.58
62.32,62.08,63.10,61.72
62.28,61.07,62.65,60.99
62.07,60.83,62.16,59.83
59.99,59.14,60.43,59.13
58.81,57.68,59.46,57.64
57.01,59.01,59.06,56.60
58.88,60.46,60.64,58.41
60.31,61.51,61.54,60.11
61.64,61.19,61.88,60.89
62.05,63.18,63.18,62.05
62.96,63.61,63.80,62.90
64.21,63.96,64.60,63.93
63.73,64.71,64.77,63.73
65.63,66.02,66.02,65.31
65.75,64.85,65.85,64.48
64.65,65.44,65.75,63.97
64.98,64.12,65.10,63.92
64.00,63.75,64.15,62.88
64.41,64.43,64.91,64.01
64.66,65.88,66.06,64.63
65.62,64.90,65.74,64.76
65.41,65.19,65.60,63.91
66.78,67.15,67.52,66.23
66.63,67.34,67.40,66.63
66.50,66.14,66.83,66.14
64.59,64.22,64.90,63.95
64.86,64.95,65.22,64.38
65.53,66.60,66.64,64.83
66.19,66.33,66.52,65.65
66.19,66.70,66.77,65.52
67.10,67.48,67.58,66.50
65.96,65.03,66.11,64.81
65.71,65.13,65.83,64.50
65.64,66.38,66.66,65.64
66.29,66.08,66.75,65.92
66.06,67.00,67.31,65.91
66.52,66.00,67.27,66.00
65.87,64.54,65.95,64.07
64.69,64.00,64.69,63.93
63.12,62.68,63.25,62.17
62.54,62.60,62.93,62.03
62.08,61.09,62.18,61.02
60.92,60.63,61.55,60.63
62.15,62.73,62.79,62.15
62.71,62.27,63.14,62.17
63.89,64.78,64.79,63.83
64.70,65.09,65.33,64.62
65.67,65.01,65.87,65.01
65.99,65.94,66.43,65.63
65.95,65.86,66.25,65.63
65.60,65.87,66.12,65.06
65.45,64.76,66.00,64.73
64.87,65.89,66.02,64.87
65.16,64.95,65.17,64.41
65.26,64.23,65.60,63.96
63.99,63.07,63.99,62.78
63.63,62.82,63.68,62.81
63.22,63.03,63.90,62.87
63.27,62.29,63.28,62.11
63.17,64.21,64.26,63.17
63.64,62.87,63.65,62.11
63.06,63.57,63.62,63.05
63.75,64.18,64.18,63.54
64.16,64.31,64.60,64.05
64.30,63.52,64.31,63.44
63.61,64.03,64.16,63.61
63.92,63.90,64.23,63.90
65.01,64.89,65.46,64.78
64.76,65.14,65.27,64.44
65.04,65.56,65.68,64.83
65.63,65.67,65.82,65.28
65.90,65.55,65.90,65.39
66.29,65.88,66.32,65.75
65.77,66.07,66.18,65.62
66.17,66.27,66.34,65.70
65.97,65.80,65.98,65.40
66.27,66.16,66.62,65.98
66.45,67.33,67.33,66.45
67.69,67.87,68.06,67.64
67.73,68.10,68.19,67.73
68.19,68.32,68.72,67.92
68.10,68.44,68.64,68.10
69.16,69.14,69.33,68.55
69.42,68.78,69.54,68.48
68.52,68.91,69.03,68.41
68.25,69.06,69.17,68.13
69.37,69.19,69.53,68.69
69.70,69.93,70.29,69.55
70.21,70.11,70.42,69.93
70.75,71.07,71.23,70.60
70.85,71.14,71.14,70.66
70.99,71.36,71.51,70.80
71.47,71.98,71.98,71.33
72.19,72.64,72.72,71.98
72.07,72.00,72.21,71.78
72.59,72.43,72.64,72.04
72.30,72.69,72.71,72.07
72.99,72.30,73.56,72.12
72.21,73.44,73.54,72.13
73.72,73.28,73.72,73.08
73.36,73.56,73.88,73.05
73.40,73.20,73.68,73.09
73.16,73.52,73.61,72.66
73.76,73.86,74.01,73.65
73.48,73.98,74.27,73.07
74.07,74.56,74.61,73.98
74.71,74.17,75.00,73.91
74.54,74.68,74.82,74.24
74.49,74.48,74.90,74.30
74.47,73.65,74.47,73.34
72.89,72.86,72.97,72.39
73.21,73.44,73.62,73.12
73.93,74.23,74.40,73.69
74.39,74.56,74.72,74.38
74.59,74.66,74.72,74.32
75.10,76.23,76.23,75.10
76.27,76.64,76.96,76.06
76.87,76.94,77.10,76.56
77.06,76.85,77.09,76.66
77.05,77.46,77.62,76.76
77.08,77.43,77.51,76.72
77.42,77.42,77.84,77.29
76.92,77.11,77.35,76.80
77.14,77.16,77.24,76.70
77.53,78.31,78.31,77.45
78.34,78.36,78.73,78.34
78.41,78.18,78.78,77.71
77.78,78.04,78.15,77.44
78.37,77.81,78.38,77.43
77.66,78.62,78.71,77.52
78.77,78.51,78.98,78.07
77.83,77.33,77.84,76.89
77.18,77.55,77.68,77.06
76.57,77.04,77.40,76.49
77.07,75.91,77.44,75.78
76.61,76.29,76.78,76.15
76.42,77.34,77.42,76.42
77.11,76.00,77.11,76.00
76.48,75.16,76.53,74.98
75.49,76.93,77.09,75.47
76.50,76.34,76.76,76.10
75.90,75.18,76.65,74.74
75.56,74.68,75.74,74.61
73.96,74.10,74.18,73.33
73.95,73.58,74.16,73.24
75.48,75.87,75.98,75.43
75.99,76.42,76.62,75.93
76.44,76.41,76.63,76.00
76.22,75.71,76.28,75.61
75.64,75.94,76.76,75.50
75.54,76.06,76.10,75.38
76.17,75.34,76.34,75.17
74.75,73.64,74.75,73.59
73.05,73.41,73.74,73.03
72.97,73.04,73.23,71.94
72.24,73.08,73.43,71.93
73.31,72.30,73.31,72.12
72.04,72.36,73.09,72.04
71.74,71.62,72.20,71.59
71.84,71.42,72.42,71.28
71.64,70.73,71.82,70.63
70.74,69.48,70.85,69.48
69.79,68.59,69.94,68.45
68.65,70.58,70.59,68.56
70.82,70.30,70.94,69.90
69.64,70.44,70.54,69.02
70.57,69.66,70.60,69.23
69.64,69.59,69.79,69.41
70.33,70.52,70.89,69.97
69.88,70.07,70.23,69.54
69.96,69.65,70.07,69.12
68.38,67.70,68.73,67.70
67.78,67.90,68.22,67.07
67.67,68.47,68.57,67.67
68.99,70.22,70.22,68.95
70.93,69.87,70.93,69.72
69.66,70.58,70.61,69.50
71.06,69.17,71.12,69.12
69.49,70.03,70.03,69.00
69.86,69.58,70.23,69.36
69.59,69.59,69.84,69.02
69.74,70.63,70.65,69.74
70.28,71.07,71.38,70.15
71.40,71.66,71.96,71.30
71.66,71.80,72.06,71.21
71.73,69.84,71.73,69.74
70.15,70.58,70.68,70.00
69.96,69.02,69.96,68.88
69.21,69.25,69.45,68.74
69.47,69.70,69.95,69.38
69.22,69.05,69.31,68.25
70.40,71.23,71.28,70.16
71.45,71.42,71.57,71.00
71.53,72.12,72.12,71.47
71.93,72.31,72.66,71.74
71.70,70.86,71.76,70.39
70.78,70.60,70.86,70.27
70.97,69.87,71.25,69.58
69.81,69.43,70.00,68.84
68.95,68.57,69.00,68.07
68.81,69.58,69.71,68.81
69.46,69.31,69.65,69.11
69.69,69.36,69.70,68.59
69.36,70.79,70.98,69.36
71.39,71.75,71.98,71.35
71.75,70.79,71.77,70.74
69.45,70.02,70.25,68.88
70.02,69.36,70.09,68.94
68.81,68.84,69.46,68.55
69.87,69.81,70.26,69.43
70.07,71.30,71.45,69.82
71.44,71.17,71.82,70.99
71.38,71.52,71.90,71.38
71.90,71.23,71.94,70.97
70.68,70.97,71.68,70.42
72.10,72.45,72.67,71.75
72.75,73.07,73.42,72.67
73.33,73.74,74.11,73.33
73.66,73.78,74.06,73.62
73.88,74.22,74.34,73.88
74.05,74.40,74.42,73.86
74.40,74.56,74.62,74.08
74.83,74.28,74.85,74.09
74.26,74.46,74.64,74.26
74.84,75.59,75.78,74.82
75.73,76.15,76.15,75.73
76.11,76.35,76.39,75.79
76.60,75.93,76.90,75.62
75.64,76.09,76.24,75.34
75.63,75.35,75.89,75.17
75.11,75.67,75.84,74.84
76.14,75.71,76.18,75.66
75.69,75.75,76.01,75.49
75.80,75.86,76.03,75.45
75.50,74.90,75.50,74.77
75.46,75.39,75.68,74.56
75.33,75.41,75.68,74.69
75.35,75.36,75.69,75.11
75.80,77.11,77.14,75.80
76.89,77.06,77.16,76.72
76.92,76.00,77.04,75.98
76.05,76.10,76.49,75.98
76.43,76.47,76.57,76.00
76.60,77.51,77.82,76.54
77.81,78.30,78.58,77.81
78.39,78.20,78.39,77.95
78.00,78.26,78.32,78.00
78.31,78.23,78.42,78.00
77.84,77.92,78.02,77.56
78.44,77.97,78.57,77.94
77.24,77.28,77.45,76.97
77.42,75.90,77.42,75.88
75.69,75.26,75.69,74.73
75.38,76.50,76.63,75.34
76.31,75.87,76.61,75.73
76.25,75.58,76.58,75.39
75.94,75.72,76.14,75.10
76.02,75.99,76.21,75.69
75.99,76.01,76.18,75.48
76.39,75.43,76.42,75.33
75.00,74.72,75.26,74.60
74.50,73.71,74.58,73.36
73.61,73.32,73.79,73.16
73.82,72.99,73.90,72.98
73.00,73.09,73.41,72.83
73.34,73.54,73.64,72.90
73.75,74.74,74.83,73.67
74.14,74.11,74.40,73.77
73.93,72.77,73.93,72.50
72.62,71.06,72.62,71.06
71.14,71.73,71.86,71.02
71.11,71.03,71.76,70.93
71.60,70.67,71.67,70.50
71.15,70.45,71.27,70.21
70.48,70.54,70.91,69.91
70.51,70.29,70.70,70.13
70.57,71.55,71.62,70.51
71.84,70.44,71.84,70.41
70.51,70.95,71.18,70.42
71.32,71.36,71.83,71.25
70.69,69.44,70.77,69.28
69.74,68.37,69.91,68.36
68.47,68.82,69.51,68.36
69.04,68.46,69.04,68.20
67.81,67.95,68.59,67.69
68.44,67.41,68.62,67.32
67.44,67.06,67.71,66.83
67.07,67.27,67.36,65.94
68.01,69.13,69.18,68.01
69.02,68.67,69.04,68.15
68.78,68.94,69.10,68.62
69.35,70.10,70.10,69.33
70.03,70.63,70.63,69.87
70.63,70.31,70.81,70.26
69.93,70.78,70.89,69.46
71.09,71.12,71.43,70.87
71.18,70.86,71.19,70.68
71.48,70.79,71.59,70.73
70.71,70.67,70.85,70.27
70.53,69.76,70.53,69.46
69.44,70.29,70.52,69.20
70.68,69.92,70.79,69.71
69.64,70.28,70.58,69.64
70.74,71.21,71.67,70.74
71.58,70.94,71.60,70.75
70.74,70.39,71.23,70.13
69.87,69.70,69.99,69.48
69.70,70.55,70.55,69.70
70.93,71.90,72.00,70.79
71.81,71.41,72.03,71.41
71.63,71.38,71.63,71.08
70.32,70.85,70.86,70.05
70.63,70.66,70.71,70.45
70.60,70.08,70.90,69.92
70.20,70.08,70.27,69.18
69.45,69.27,69.97,69.23
69.20,70.72,70.94,69.15
72.59,72.94,72.96,72.18
72.86,72.41,73.05,72.20
72.27,71.90,72.31,71.77
71.70,71.77,72.00,71.38
71.88,71.53,71.97,71.09
71.60,71.71,71.82,71.53
72.18,72.17,72.31,71.45
72.17,72.33,72.38,71.99
71.70,71.86,72.00,71.50
71.49,71.47,71.49,71.12
71.68,71.96,72.20,71.49
72.24,72.23,72.52,72.15
71.85,71.96,72.00,71.60
72.11,72.09,72.15,71.56
72.80,73.08,73.36,72.80
71.54,71.50,72.26,71.44
71.77,71.76,72.20,71.57
71.83,72.05,72.49,71.72
71.86,71.82,72.02,71.38
71.86,71.69,72.20,71.55
71.80,71.73,72.29,71.62
72.19,72.40,72.60,71.88
72.10,71.33,72.33,71.26
71.60,72.24,72.52,71.43
71.95,72.20,72.54,71.95
72.33,72.31,72.34,71.53
72.57,73.05,73.17,72.50
73.07,73.15,73.27,72.85
73.01,72.77,73.21,72.74
72.74,72.72,73.04,72.50
72.49,72.89,72.97,72.44
72.94,72.70,73.12,72.50
72.82,73.24,73.24,72.80
73.19,71.98,73.19,71.98
71.66,71.14,71.74,70.88
71.67,72.07,72.07,71.46
72.55,70.99,72.68,70.98
71.18,71.41,71.55,70.78
71.45,72.07,72.43,71.28
72.09,71.85,72.43,71.85
71.61,71.92,72.08,71.15
71.65,71.99,72.05,71.50
72.44,73.15,73.31,72.44
73.35,73.19,73.36,73.04
73.23,73.43,73.57,73.16
73.64,73.48,73.79,73.24
73.43,73.82,73.82,73.14
73.55,73.40,73.69,73.14
73.44,73.49,73.76,73.14
73.76,74.03,74.04,73.76
74.02,73.88,74.12,73.68
73.28,73.88,74.18,73.14
74.11,73.67,74.26,73.03
74.07,74.06,74.20,73.84
73.23,73.05,73.45,72.93
73.23,73.49,73.58,73.19
73.64,73.07,73.70,72.79
73.33,73.45,73.49,73.14
72.93,73.27,73.37,72.79
73.11,73.31,73.36,73.01
73.31,72.47,73.31,72.35
72.63,72.71,73.06,72.50
72.82,72.09,72.92,71.98
72.09,71.95,72.09,71.58
70.81,71.21,71.32,70.56
71.29,71.50,71.50,70.95
71.71,72.09,72.34,71.41
72.40,73.56,73.62,72.31
73.06,72.98,73.15,72.74
72.73,72.60,72.84,72.13
72.29,71.32,72.45,71.32
71.83,72.37,72.40,71.65
71.66,70.59,71.67,70.27
70.87,69.62,70.87,69.41
69.42,69.46,69.85,68.94
69.78,70.18,70.42,69.44
70.54,71.07,71.39,70.49
70.72,71.46,71.72,70.71
71.46,71.56,72.02,71.44
71.43,71.63,71.81,71.30
71.81,72.83,73.02,71.81
72.93,73.63,73.65,72.68
73.56,73.06,73.69,72.97
73.19,74.01,74.13,73.19
74.59,74.84,75.01,74.55
75.02,75.37,75.40,74.97
75.50,75.11,75.55,74.86
75.10,75.73,75.75,74.89
75.48,75.39,75.93,75.31
75.53,75.73,75.81,75.36
75.62,75.58,75.80,75.46
75.52,75.65,76.04,75.47
75.50,75.76,75.83,75.29
75.98,76.44,76.95,75.98
76.69,77.17,77.20,76.59
76.94,77.28,77.54,76.88
77.21,77.17,77.41,76.83
77.23,76.26,77.64,75.95
75.55,76.30,76.53,75.44
75.87,76.10,76.14,75.60
76.86,76.63,77.17,76.42
76.17,76.64,76.86,76.07
76.66,77.37,77.69,76.66
77.17,76.77,77.81,76.77
76.82,77.17,77.18,76.33
77.30,76.81,77.64,76.53
76.53,76.02,76.76,75.92
76.10,76.07,76.34,75.19
76.25,76.87,76.89,75.89
77.02,76.81,77.19,76.72
76.04,75.96,76.75,75.93
76.40,75.36,76.55,75.26
75.32,76.18,76.28,75.12
76.18,75.56,76.32,75.52
76.09,76.40,76.86,76.08
76.43,76.94,77.16,76.43
76.98,76.29,77.08,76.16
