SYN,Synthetic Biologics,NASDAQ
0.90,0.83,0.90,0.82
0.80,0.83,0.83,0.80
0.88,0.84,0.88,0.83
0.85,0.85,0.86,0.83
0.84,0.85,0.87,0.83
0.85,0.84,0.86,0.83
0.86,0.82,0.86,0.81
1.01,0.94,1.01,0.83
0.97,0.93,0.97,0.90
0.97,0.90,0.97,0.90
0.95,0.88,0.95,0.87
0.88,0.85,0.90,0.85
0.85,0.82,0.86,0.82
0.82,0.87,0.87,0.80
0.85,0.85,0.87,0.80
0.84,0.81,0.84,0.80
0.82,0.83,0.87,0.82
0.83,0.82,0.83,0.81
0.85,0.81,0.85,0.81
0.82,0.82,0.82,0.77
0.83,0.83,0.85,0.78
0.83,0.83,0.85,0.82
0.83,0.80,0.83,0.79
0.81,0.82,0.83,0.79
0.80,0.84,0.89,0.80
0.85,0.81,0.85,0.81
0.82,0.83,0.86,0.81
0.85,0.83,0.86,0.82
0.84,0.85,0.85,0.82
0.81,0.81,0.84,0.81
0.81,0.81,0.83,0.81
0.81,0.80,0.82,0.80
0.80,0.79,0.81,0.79
0.80,0.79,0.81,0.77
0.79,0.78,0.79,0.77
0.85,0.80,0.85,0.79
0.80,0.78,0.80,0.77
0.77,0.77,0.81,0.77
0.86,0.81,0.87,0.80
0.80,0.78,0.89,0.75
0.79,0.78,0.80,0.77
0.80,0.76,0.80,0.73
0.77,0.76,0.78,0.74
0.73,0.75,0.77,0.73
0.76,0.75,0.76,0.73
0.75,0.74,0.76,0.74
0.76,0.75,0.76,0.74
0.76,0.74,0.76,0.73
0.72,0.75,0.75,0.72
0.74,0.74,0.77,0.74
0.79,0.75,0.79,0.75
0.74,0.76,0.76,0.74
0.76,0.82,0.82,0.76
0.81,0.78,0.85,0.77
0.79,0.80,0.82,0.78
0.82,0.80,0.82,0.80
0.75,0.77,0.78,0.74
0.77,0.72,0.77,0.72
0.73,0.73,0.73,0.71
0.73,0.71,0.73,0.71
0.72,0.75,0.75,0.71
0.75,0.77,0.77,0.73
0.81,0.74,0.81,0.74
0.74,0.75,0.75,0.73
0.80,0.80,0.80,0.78
0.83,0.80,0.83,0.79
0.74,0.81,0.82,0.74
0.86,0.76,0.86,0.75
0.75,0.76,0.77,0.75
0.79,0.81,0.83,0.73
0.79,0.79,0.81,0.76
0.80,0.79,0.80,0.78
0.79,0.75,0.79,0.75
0.75,0.74,0.77,0.72
0.73,0.71,0.73,0.70
0.72,0.76,0.76,0.72
0.76,0.75,0.77,0.73
0.75,0.74,0.75,0.70
0.73,0.74,0.75,0.72
0.75,0.74,0.75,0.73
0.73,0.73,0.74,0.73
0.74,0.71,0.75,0.71
0.80,0.72,0.80,0.71
0.72,0.72,0.75,0.72
0.70,0.71,0.73,0.70
0.73,0.85,0.86,0.73
0.87,0.83,0.93,0.81
0.80,0.80,0.84,0.78
0.86,0.83,0.86,0.82
0.85,0.77,0.85,0.77
0.80,0.85,0.86,0.79
0.89,0.94,1.00,0.86
0.95,0.97,0.97,0.87
1.03,0.94,1.03,0.92
0.95,0.93,0.96,0.92
0.95,1.37,1.40,0.93
1.33,1.30,1.39,1.21
1.24,1.14,1.27,1.10
1.11,1.25,1.25,1.09
1.20,1.35,1.35,1.20
1.35,1.85,1.90,1.33
1.77,1.50,1.77,1.50
1.53,1.59,1.74,1.40
1.59,1.58,1.68,1.50
1.67,1.55,1.67,1.45
1.48,1.58,1.64,1.48
1.59,1.56,1.60,1.55
1.58,1.54,1.60,1.49
1.56,1.42,1.56,1.40
1.42,1.35,1.42,1.30
1.35,1.45,1.54,1.35
1.45,1.42,1.45,1.39
1.45,1.48,1.53,1.42
1.54,1.48,1.54,1.42
1.48,1.44,1.48,1.41
1.45,1.75,1.77,1.44
1.68,1.79,1.95,1.61
1.50,1.45,1.50,1.35
1.47,1.49,1.54,1.45
1.55,1.42,1.55,1.42
1.41,1.39,1.46,1.39
1.37,1.38,1.43,1.37
1.38,1.36,1.42,1.36
1.45,1.38,1.45,1.37
1.45,1.40,1.49,1.40
1.40,1.39,1.40,1.35
1.40,1.40,1.41,1.33
1.33,1.31,1.37,1.30
1.35,1.24,1.35,1.23
1.26,1.27,1.31,1.22
1.30,1.30,1.35,1.27
1.33,1.39,1.42,1.29
1.42,1.33,1.42,1.32
1.32,1.25,1.35,1.25
1.32,1.25,1.35,1.23
1.23,1.24,1.29,1.23
1.25,1.25,1.28,1.25
1.24,1.16,1.25,1.11
1.16,1.04,1.17,1.04
1.05,1.10,1.10,1.01
1.09,1.21,1.21,1.09
1.22,1.17,1.24,1.15
1.17,1.14,1.18,1.11
1.24,1.16,1.24,1.12
1.18,1.13,1.22,1.13
1.16,1.17,1.25,1.12
1.19,1.21,1.23,1.13
1.16,1.21,1.22,1.14
1.14,1.17,1.20,1.14
1.16,1.20,1.20,1.16
1.21,1.32,1.42,1.18
1.30,1.26,1.35,1.21
1.27,1.47,1.59,1.23
1.60,1.75,1.98,1.52
1.73,1.54,1.73,1.51
1.65,1.78,1.88,1.55
1.73,1.80,1.95,1.69
1.90,1.84,1.94,1.80
1.87,1.76,1.95,1.70
1.76,1.73,1.83,1.71
1.80,1.74,1.80,1.68
1.70,1.86,1.91,1.70
1.86,2.13,2.25,1.86
2.10,2.01,2.17,1.96
2.05,2.08,2.14,1.98
1.94,1.94,2.02,1.88
2.00,1.79,2.00,1.79
1.90,1.87,2.00,1.81
1.90,1.77,1.90,1.75
1.68,1.74,1.78,1.68
1.76,1.73,1.80,1.70
1.79,1.22,1.80,1.20
1.27,1.11,1.27,1.10
1.12,1.12,1.17,1.10
1.21,1.13,1.21,1.11
1.12,1.05,1.13,0.97
1.10,1.09,1.10,1.01
1.06,1.05,1.08,1.03
1.04,1.02,1.05,1.02
1.02,1.05,1.07,1.01
1.06,1.02,1.06,1.02
1.03,0.96,1.05,0.95
1.03,1.01,1.09,0.98
1.04,1.00,1.04,1.00
1.00,0.96,1.00,0.94
1.00,0.99,1.02,0.95
1.01,0.98,1.01,0.96
0.98,0.96,0.99,0.95
0.96,0.90,0.96,0.89
0.90,0.88,0.90,0.86
0.87,0.88,0.90,0.86
0.87,0.86,0.89,0.82
0.83,0.86,0.86,0.81
0.85,0.88,0.93,0.83
0.90,0.94,0.94,0.87
0.95,0.91,0.95,0.91
0.91,0.91,0.92,0.91
0.91,0.88,0.93,0.86
0.89,0.87,0.91,0.86
0.86,0.84,0.87,0.82
0.84,0.82,0.84,0.81
0.82,0.83,0.85,0.82
0.83,0.80,0.83,0.80
1.09,0.93,1.09,0.91
0.93,0.85,0.93,0.83
0.86,0.95,0.99,0.86
0.95,0.99,1.03,0.95
0.99,0.93,1.03,0.91
0.99,0.90,0.99,0.88
0.90,0.90,0.95,0.88
0.90,0.85,0.91,0.85
0.85,0.87,0.87,0.84
0.86,0.85,0.87,0.84
0.86,0.86,0.89,0.84
0.86,0.85,0.86,0.83
0.86,0.84,0.86,0.83
0.84,0.85,0.85,0.84
0.85,0.83,0.85,0.83
0.82,0.82,0.84,0.82
0.83,0.84,0.84,0.82
0.84,0.82,0.84,0.82
0.82,0.84,0.84,0.82
0.84,0.90,0.90,0.84
0.90,0.86,0.90,0.84
0.87,0.87,0.87,0.85
0.87,0.88,0.91,0.87
0.86,0.86,0.90,0.86
0.87,0.88,0.91,0.87
0.88,0.90,0.90,0.86
0.89,0.87,0.89,0.86
0.88,0.89,0.90,0.85
0.88,0.91,0.98,0.88
0.92,0.88,0.94,0.88
0.86,0.88,0.89,0.86
0.87,0.86,0.89,0.86
0.88,0.87,0.88,0.86
0.87,0.85,0.87,0.85
0.85,0.85,0.86,0.84
0.85,0.82,0.86,0.82
0.82,0.82,0.83,0.82
0.81,0.82,0.89,0.81
0.82,0.82,0.84,0.82
0.82,0.84,0.89,0.82
0.82,0.82,0.84,0.81
0.82,0.83,0.84,0.82
0.83,0.79,0.84,0.76
0.81,0.83,0.83,0.75
0.82,0.78,0.83,0.77
0.79,0.76,0.83,0.76
0.75,0.70,0.76,0.70
0.70,0.78,0.79,0.70
0.86,0.75,0.86,0.74
0.75,0.79,0.80,0.75
0.80,0.83,0.83,0.77
0.87,0.81,0.87,0.79
0.79,0.77,0.79,0.75
0.78,0.73,0.78,0.73
0.73,0.70,0.74,0.70
0.70,0.69,0.71,0.69
0.71,0.68,0.71,0.67
0.67,0.71,0.71,0.67
0.71,0.71,0.72,0.70
0.70,0.71,0.71,0.68
0.70,0.70,0.71,0.69
0.71,0.70,0.71,0.69
0.68,0.70,0.71,0.68
0.70,0.69,0.71,0.69
0.69,0.69,0.71,0.67
0.71,0.67,0.71,0.65
0.65,0.63,0.66,0.58
0.78,0.67,0.78,0.63
0.70,0.68,0.71,0.66
0.68,0.68,0.70,0.68
0.68,0.67,0.71,0.62
0.67,0.64,0.67,0.60
0.66,0.63,0.66,0.63
0.66,0.66,0.66,0.64
0.66,0.63,0.67,0.63
0.63,0.64,0.67,0.63
0.66,0.65,0.67,0.64
0.64,0.63,0.66,0.62
0.63,0.60,0.63,0.60
0.58,0.61,0.62,0.58
0.60,0.57,0.63,0.57
0.60,0.59,0.63,0.58
0.60,0.60,0.62,0.57
0.60,0.59,0.62,0.59
0.61,0.59,0.61,0.57
0.57,0.50,0.58,0.48
0.50,0.47,0.51,0.42
0.50,0.48,0.54,0.47
0.50,0.50,0.51,0.49
0.50,0.50,0.55,0.49
0.51,0.58,0.58,0.51
0.58,0.64,0.64,0.55
0.64,0.67,0.68,0.64
0.67,0.66,0.67,0.63
0.67,0.63,0.67,0.60
0.60,0.58,0.61,0.58
0.59,0.60,0.60,0.59
0.60,0.63,0.63,0.60
0.65,0.61,0.65,0.60
0.61,0.60,0.62,0.60
0.60,0.60,0.61,0.59
0.58,0.56,0.60,0.56
0.58,0.59,0.60,0.57
0.58,0.60,0.65,0.56
0.58,0.57,0.60,0.56
0.56,0.60,0.61,0.56
0.59,0.58,0.59,0.57
0.58,0.58,0.58,0.55
0.59,0.57,0.59,0.56
0.56,0.58,0.59,0.55
0.57,0.56,0.64,0.53
0.55,0.57,0.58,0.55
0.51,0.55,0.59,0.51
0.56,0.55,0.58,0.55
0.58,0.53,0.58,0.51
0.52,0.51,0.52,0.50
0.51,0.53,0.57,0.50
0.53,0.54,0.55,0.53
0.54,0.49,0.56,0.49
0.52,0.54,0.56,0.50
0.85,0.76,0.94,0.62
0.83,0.91,0.94,0.75
0.92,0.95,1.08,0.90
0.94,0.92,1.05,0.80
0.83,0.77,0.92,0.75
0.76,0.83,0.85,0.70
0.90,0.96,1.14,0.89
0.99,0.98,1.05,0.90
1.00,1.19,1.24,1.00
1.20,1.17,1.24,1.11
1.14,1.11,1.18,1.04
1.12,1.12,1.15,1.05
1.08,1.26,1.30,1.05
1.24,1.42,1.42,1.24
1.43,1.42,1.47,1.32
1.40,1.40,1.44,1.34
1.39,1.18,1.39,1.16
1.20,1.17,1.27,1.11
1.17,1.29,1.29,1.09
1.20,1.14,1.20,1.11
1.13,1.19,1.20,1.13
1.20,1.23,1.26,1.17
1.21,1.25,1.28,1.11
1.30,1.35,1.35,1.23
1.33,1.37,1.40,1.30
1.37,1.27,1.39,1.27
1.28,1.26,1.30,1.22
1.23,1.26,1.28,1.23
1.28,1.27,1.29,1.20
1.27,1.36,1.38,1.23
1.38,1.57,1.60,1.35
1.55,1.64,1.73,1.55
1.64,1.64,1.70,1.56
1.73,1.64,1.73,1.56
1.65,1.74,1.75,1.61
1.70,1.85,1.92,1.69
1.84,1.84,1.93,1.82
1.82,1.89,1.91,1.82
1.93,1.93,2.00,1.89
1.90,1.98,1.99,1.90
1.99,2.18,2.20,1.90
2.21,2.27,2.35,2.14
2.25,2.25,2.29,2.19
2.25,2.20,2.25,2.15
2.20,1.75,2.20,1.71
1.69,2.10,2.15,1.67
2.12,2.16,2.27,2.07
2.13,2.09,2.23,1.95
2.03,2.15,2.21,2.03
2.14,2.17,2.21,2.05
2.24,2.30,2.35,2.17
2.25,2.47,2.50,2.25
2.50,2.41,2.54,2.36
2.40,2.53,2.55,2.33
2.60,2.69,2.75,2.58
2.71,2.71,2.71,2.56
2.70,2.61,2.80,2.53
2.60,2.40,2.67,2.34
2.41,2.53,2.53,2.35
2.54,2.74,2.95,2.54
2.75,2.80,2.80,2.55
2.69,2.55,2.71,2.51
2.50,2.36,2.50,2.28
2.30,2.34,2.35,2.24
2.34,2.32,2.35,2.26
2.35,2.24,2.35,2.20
1.90,2.03,2.19,1.87
2.01,2.19,2.20,2.00
2.28,2.19,2.35,2.15
2.28,2.10,2.28,2.10
2.10,2.11,2.15,2.05
2.12,2.14,2.15,2.10
2.15,2.16,2.18,2.10
2.23,2.17,2.23,2.10
2.20,2.18,2.22,2.14
2.21,2.28,2.36,2.20
2.33,2.26,2.35,2.21
2.24,2.25,2.35,2.11
2.19,2.20,2.26,2.12
2.16,2.34,2.34,2.10
2.25,2.20,2.29,2.15
2.20,2.32,2.37,2.20
2.29,2.25,2.31,2.21
2.25,2.19,2.30,2.12
2.17,2.32,2.32,2.15
2.35,2.28,2.35,2.23
2.26,2.30,2.33,2.23
2.26,2.16,2.30,2.16
2.15,2.29,2.31,2.15
2.29,2.20,2.29,2.20
2.23,2.25,2.26,2.17
2.18,2.22,2.24,2.17
2.18,2.14,2.18,2.08
2.12,2.14,2.18,2.10
2.15,2.05,2.15,1.98
2.03,2.00,2.06,1.91
1.97,1.95,2.00,1.95
1.95,1.89,1.95,1.83
1.85,1.94,1.95,1.84
2.00,1.71,2.00,1.71
1.72,1.76,1.81,1.58
1.70,1.72,1.79,1.65
1.69,1.59,1.69,1.58
1.60,1.57,1.60,1.49
1.53,1.51,1.56,1.46
1.51,1.53,1.54,1.50
1.56,1.71,1.83,1.56
1.76,1.89,2.10,1.73
1.86,1.77,1.90,1.75
1.83,1.77,1.83,1.67
1.74,1.68,1.80,1.61
1.68,1.69,1.75,1.59
1.70,1.65,1.70,1.62
1.63,1.74,1.80,1.62
1.74,1.75,1.78,1.68
1.71,1.75,1.75,1.69
1.71,1.69,1.75,1.68
1.70,1.70,1.70,1.65
1.65,1.65,1.69,1.65
1.65,1.62,1.68,1.60
1.62,1.65,1.66,1.55
1.61,1.60,1.65,1.57
1.60,1.63,1.66,1.60
1.64,1.64,1.66,1.52
1.63,1.66,1.67,1.60
1.67,1.67,1.72,1.61
1.68,1.64,1.68,1.62
1.61,1.80,1.80,1.56
1.78,1.76,1.78,1.71
1.78,1.78,1.85,1.71
1.78,1.81,1.84,1.75
1.83,1.88,1.92,1.79
1.85,1.89,1.94,1.76
1.93,1.84,1.95,1.77
1.82,1.87,1.88,1.78
1.82,1.80,2.25,1.77
1.90,1.84,1.90,1.79
1.85,2.05,2.07,1.85
2.15,2.08,2.20,2.05
2.15,1.97,2.15,1.96
1.99,1.95,2.01,1.92
2.00,2.00,2.00,1.95
2.00,2.00,2.02,1.92
2.00,2.00,2.02,1.95
1.96,1.92,2.00,1.86
1.92,1.89,1.95,1.88
1.83,1.82,1.87,1.71
1.76,2.00,2.00,1.76
1.92,1.99,1.99,1.85
1.89,1.95,2.00,1.84
1.93,2.00,2.00,1.77
1.98,1.84,1.98,1.84
1.95,1.98,1.98,1.85
1.97,1.92,1.97,1.84
1.90,1.88,1.92,1.88
1.88,1.82,1.89,1.80
1.84,1.80,1.85,1.75
1.80,1.85,1.88,1.80
1.86,1.98,2.00,1.82
1.98,2.01,2.05,1.89
2.01,2.20,2.30,1.96
2.26,2.41,2.48,2.12
2.39,2.35,2.55,2.27
2.45,2.32,2.52,2.20
2.34,2.31,2.37,2.01
2.36,2.25,2.36,2.22
2.35,2.25,2.35,2.23
2.24,2.31,2.37,2.24
2.36,2.35,2.42,2.30
2.42,2.26,2.42,2.26
2.33,2.25,2.35,2.20
2.22,2.37,2.42,2.18
2.40,2.29,2.40,2.25
2.27,2.23,2.28,2.21
2.27,2.27,2.30,2.21
2.24,2.15,2.30,2.12
2.20,2.07,2.20,2.02
2.07,1.96,2.18,1.95
2.00,2.00,2.03,1.96
2.02,2.03,2.12,1.95
2.07,2.05,2.11,2.04
2.00,2.07,2.07,1.97
2.05,2.00,2.07,1.98
2.06,2.00,2.07,1.99
1.99,2.04,2.05,1.99
2.04,2.02,2.07,1.96
2.05,2.03,2.07,1.97
1.98,2.03,2.06,1.98
2.05,2.02,2.09,2.00
2.01,2.00,2.07,1.98
2.00,1.96,2.06,1.96
1.92,1.95,1.99,1.92
1.92,1.96,1.98,1.92
1.96,1.97,2.05,1.95
1.99,2.00,2.00,1.97
2.00,2.02,2.02,1.95
1.99,2.01,2.01,1.99
2.00,2.02,2.05,2.00
2.04,2.05,2.06,2.01
2.03,2.04,2.10,2.00
1.95,2.15,2.15,1.95
2.20,2.12,2.21,2.03
2.15,2.08,2.15,2.05
2.08,2.05,2.08,2.03
2.05,2.03,2.06,2.01
2.01,1.99,2.05,1.95
1.96,1.99,2.01,1.96
2.00,1.99,2.04,1.98
2.01,2.07,2.18,2.01
2.01,2.02,2.11,1.95
2.00,2.18,2.18,2.00
2.15,2.06,2.18,1.95
2.10,2.03,2.10,2.00
2.01,2.10,2.10,1.95
2.09,2.07,2.09,2.01
2.05,2.08,2.11,2.02
2.05,2.08,2.10,2.05
2.06,2.11,2.11,2.05
2.13,2.07,2.14,2.00
2.11,2.34,2.38,2.05
2.36,2.20,2.45,2.15
2.24,2.21,2.47,2.21
2.25,2.15,2.25,2.06
2.13,2.05,2.18,2.05
2.06,2.13,2.17,2.06
2.15,2.22,2.27,2.15
2.29,2.23,2.35,2.22
2.24,2.15,2.26,2.10
2.18,2.17,2.18,2.09
2.16,2.25,2.26,2.11
2.25,2.20,2.32,2.18
2.17,2.35,2.40,2.17
2.33,2.28,2.35,2.25
2.26,2.34,2.34,2.26
2.32,2.30,2.33,2.20
2.30,2.33,2.40,2.21
2.23,2.43,2.55,2.10
2.40,2.34,2.40,2.22
2.37,2.30,2.37,2.25
2.30,2.30,2.40,2.25
2.27,2.32,2.32,2.27
2.28,2.35,2.35,2.25
2.38,2.30,2.40,2.26
2.30,2.28,2.45,2.22
2.21,2.29,2.29,2.10
2.16,2.20,2.21,2.11
2.20,2.09,2.20,2.06
2.10,2.12,2.15,2.08
2.09,2.00,2.12,1.87
1.96,1.97,2.02,1.92
1.97,1.92,1.98,1.80
1.90,1.94,1.95,1.81
1.95,2.05,2.05,1.87
2.12,2.00,2.12,1.91
1.93,1.92,1.96,1.90
1.94,1.87,2.00,1.87
1.92,1.86,1.97,1.85
1.86,2.00,2.00,1.85
1.99,1.94,1.99,1.90
1.94,1.88,1.94,1.86
1.88,1.86,1.88,1.80
1.80,1.79,1.90,1.70
1.80,1.71,1.80,1.70
1.71,1.67,1.71,1.65
1.61,1.60,1.68,1.51
1.67,1.63,1.69,1.60
1.65,1.73,1.77,1.65
1.79,1.80,1.95,1.73
1.74,1.67,1.86,1.65
1.78,1.75,1.85,1.75
1.80,1.70,1.83,1.68
1.66,1.60,1.69,1.60
1.59,1.85,1.85,1.59
1.76,1.84,1.84,1.71
1.78,1.69,1.83,1.69
1.65,1.68,1.74,1.65
1.68,1.63,1.80,1.61
1.61,1.76,1.76,1.61
1.75,1.78,1.80,1.70
1.75,1.71,1.78,1.71
1.71,1.70,1.73,1.66
1.67,1.74,1.74,1.60
1.71,1.84,1.85,1.68
1.84,1.97,2.00,1.82
2.00,1.90,2.00,1.86
1.93,1.91,1.98,1.90
1.90,1.87,1.90,1.80
1.85,1.88,1.89,1.85
1.90,1.85,1.90,1.85
1.83,1.85,1.95,1.79
1.83,1.82,1.90,1.80
1.83,1.77,1.89,1.75
1.75,1.73,1.80,1.61
1.76,1.97,1.98,1.76
1.99,1.84,1.99,1.84
1.80,1.90,1.93,1.78
1.84,1.90,1.92,1.79
1.90,1.85,1.91,1.75
1.79,1.78,1.94,1.75
1.76,1.88,1.93,1.76
1.92,1.82,1.92,1.82
1.82,1.77,1.85,1.77
1.81,1.86,1.86,1.77
1.89,1.95,2.00,1.85
1.95,2.00,2.05,1.92
2.00,1.93,2.09,1.93
1.99,1.91,2.10,1.90
1.92,1.84,1.95,1.80
1.91,1.80,1.91,1.75
1.85,1.80,1.86,1.75
1.78,1.78,1.80,1.72
1.77,1.72,1.77,1.68
1.68,1.65,1.76,1.58
1.74,1.69,1.74,1.61
1.72,1.69,1.78,1.60
1.63,1.66,1.71,1.60
1.68,1.67,1.70,1.64
1.67,1.72,1.73,1.61
1.70,1.67,1.71,1.58
1.66,1.70,1.79,1.64
1.72,1.74,1.76,1.66
1.72,1.79,1.82,1.70
1.89,1.88,1.89,1.81
1.83,1.86,1.87,1.82
1.83,1.85,1.90,1.83
1.90,1.94,1.94,1.83
1.92,1.84,1.94,1.77
1.88,1.91,1.91,1.86
1.90,1.80,1.93,1.75
1.89,1.88,1.91,1.80
1.85,1.85,1.89,1.83
1.89,1.86,1.89,1.84
1.84,1.83,1.84,1.80
1.84,1.84,1.84,1.80
1.80,1.88,1.95,1.80
1.86,1.77,1.86,1.74
1.82,1.75,1.82,1.68
1.70,1.70,1.75,1.65
1.74,1.66,1.74,1.65
1.68,1.66,1.68,1.65
1.62,1.63,1.70,1.60
1.68,1.62,1.89,1.50
1.59,1.59,1.65,1.56
1.59,1.56,1.70,1.53
1.58,1.53,1.58,1.53
1.51,1.53,1.53,1.51
1.53,1.57,1.60,1.51
1.63,1.59,1.63,1.54
1.58,1.62,1.70,1.55
1.60,1.55,1.68,1.55
1.59,1.56,1.59,1.56
1.56,1.53,1.58,1.50
1.51,1.56,1.59,1.51
1.58,1.54,1.64,1.53
1.50,1.56,1.61,1.50
1.53,1.52,1.54,1.48
1.52,1.52,1.54,1.52
1.49,1.53,1.56,1.49
1.50,1.53,1.55,1.49
1.48,1.46,1.48,1.34
1.44,1.45,1.46,1.41
1.45,1.43,1.45,1.41
1.44,1.40,1.46,1.39
1.42,1.55,1.55,1.39
1.57,1.47,1.57,1.47
1.52,1.51,1.54,1.45
1.51,1.45,1.51,1.45
1.45,1.42,1.45,1.40
1.43,1.38,1.43,1.36
1.37,1.44,1.45,1.37
1.42,1.45,1.45,1.41
1.47,1.44,1.47,1.40
1.45,1.42,1.45,1.39
1.41,1.44,1.45,1.40
1.44,1.42,1.45,1.40
1.36,1.41,1.42,1.35
1.39,1.38,1.40,1.35
1.36,1.45,1.45,1.36
1.42,1.41,1.46,1.39
1.45,1.44,1.45,1.39
1.42,1.42,1.43,1.39
1.40,1.43,1.52,1.38
1.42,1.43,1.48,1.42
1.44,1.45,1.48,1.42
1.43,1.44,1.51,1.40
1.46,1.72,1.77,1.44
1.72,1.80,1.82,1.70
1.80,1.80,1.80,1.73
1.78,1.75,1.80,1.58
1.76,1.79,1.80,1.65
1.77,1.83,1.83,1.73
1.85,1.81,1.85,1.73
1.77,1.75,1.82,1.74
1.70,1.74,1.75,1.67
1.72,1.70,1.90,1.63
1.70,1.69,1.72,1.69
