JBHT,J.B. Hunt Transport Services,NASDAQ
33.25,34.25,34.32,32.94
34.17,34.61,34.80,34.10
35.00,34.51,35.30,34.41
34.41,34.22,34.63,33.88
34.33,34.38,35.12,34.29
34.78,34.03,34.89,33.82
34.03,34.02,34.34,33.72
34.56,34.74,35.54,34.55
34.70,34.77,35.00,34.46
34.52,35.19,35.21,34.22
35.05,35.00,35.27,34.64
35.07,35.26,35.34,34.76
35.40,35.33,35.51,35.04
35.21,35.57,35.81,35.21
35.49,35.38,35.85,35.06
35.00,34.66,35.23,34.50
35.21,36.13,36.20,34.98
35.08,35.12,35.81,35.02
35.40,35.39,36.28,34.88
35.33,35.30,35.43,35.02
35.36,34.70,35.72,34.67
35.08,34.54,35.22,34.16
34.52,34.07,34.81,33.89
34.42,34.99,35.47,34.31
35.08,35.58,35.62,34.94
35.69,35.42,35.73,35.17
35.46,35.49,35.85,35.11
35.50,35.78,35.95,35.50
35.61,35.62,35.70,35.20
35.82,35.94,36.42,35.59
35.75,35.51,35.94,35.39
35.33,36.05,36.65,35.23
35.92,36.05,36.24,35.67
35.68,35.81,36.05,35.43
36.02,36.45,36.67,35.75
36.48,36.32,36.48,35.93
36.33,36.14,36.40,36.00
36.49,36.52,36.81,36.38
36.38,36.77,36.97,36.25
36.46,36.32,36.69,35.97
36.49,35.97,36.60,35.73
35.74,35.95,36.18,35.60
36.10,36.12,36.44,35.85
36.47,36.40,36.72,36.16
36.33,36.40,36.69,36.00
36.79,37.26,37.47,36.64
37.32,37.24,37.77,37.06
37.07,37.16,37.78,37.05
37.19,36.36,37.26,36.27
36.41,36.91,37.07,36.30
36.50,37.05,37.19,36.32
36.76,36.70,36.99,36.42
36.85,36.57,37.27,36.57
36.17,35.99,36.49,35.85
35.97,36.29,36.46,35.92
36.58,36.78,37.24,36.41
36.69,37.36,37.40,36.56
37.08,37.13,37.59,36.66
36.78,36.76,36.88,36.50
37.05,37.28,37.45,37.05
36.98,37.00,37.27,36.84
36.78,36.78,36.91,36.41
36.31,36.50,36.68,36.20
37.11,37.58,37.67,37.06
37.60,38.53,38.89,37.51
38.48,39.14,39.23,38.29
39.08,39.05,39.14,38.76
39.37,40.27,40.71,39.37
40.51,40.00,40.52,39.85
40.21,40.40,40.43,40.00
40.46,40.45,40.50,40.04
40.72,39.96,40.72,39.79
40.06,39.82,40.25,39.70
39.07,39.29,39.55,39.05
39.27,40.07,40.10,39.07
40.03,39.60,40.16,39.59
39.73,39.44,39.86,39.43
39.60,40.33,40.47,39.41
40.33,40.79,41.21,40.21
40.88,40.74,41.13,40.61
40.72,40.62,40.79,40.45
40.56,40.48,40.69,40.26
40.51,40.51,40.73,40.33
40.40,40.83,40.90,40.37
40.81,40.81,41.02,40.68
41.21,41.64,42.29,41.17
41.82,41.26,41.82,40.63
40.79,41.31,41.37,40.55
41.26,41.42,41.57,41.05
41.60,41.89,42.05,41.51
41.83,41.87,42.15,41.40
42.18,41.80,42.63,41.54
42.13,41.83,42.17,41.68
41.78,42.02,42.11,41.56
42.01,42.22,42.28,41.99
42.32,42.52,42.67,42.05
42.45,41.55,42.45,41.23
41.35,40.95,41.78,40.64
41.18,41.13,41.45,41.03
41.19,41.37,41.68,41.06
41.29,41.70,41.88,41.18
41.80,42.23,42.49,41.66
42.21,42.79,43.12,42.03
42.84,41.35,42.84,41.01
41.35,41.00,41.65,40.88
41.30,41.45,41.88,41.30
41.19,40.45,41.31,40.41
40.53,40.73,41.00,40.32
40.94,41.06,41.07,40.46
41.07,41.13,41.16,40.85
41.25,41.45,41.71,41.20
41.42,41.34,41.64,41.02
41.04,41.68,41.82,41.03
41.46,42.20,42.37,41.46
42.24,42.29,42.59,41.96
42.16,42.64,42.65,42.16
42.84,43.39,43.94,42.79
43.36,42.89,43.42,42.84
42.89,42.82,43.01,42.54
42.32,41.21,42.48,41.16
41.01,40.17,41.39,39.72
40.07,40.79,41.45,39.94
41.03,41.06,41.38,40.72
41.34,41.61,41.78,41.13
41.78,40.69,41.79,40.48
40.56,41.16,41.39,40.36
41.49,43.11,43.24,41.49
42.95,42.62,43.27,42.38
42.67,42.00,42.69,41.38
42.15,43.31,43.64,42.02
43.20,43.37,43.91,42.97
42.74,42.72,43.15,42.30
42.49,42.78,43.09,42.22
42.43,42.61,42.74,41.75
41.14,42.58,42.91,40.86
42.60,42.67,43.28,42.18
43.57,42.77,43.88,42.69
43.33,42.80,43.45,42.52
43.38,43.49,43.80,43.11
43.51,43.28,43.66,43.18
43.14,42.92,43.21,42.67
43.03,42.96,43.26,42.70
43.23,43.54,43.83,42.89
43.72,43.55,43.93,43.35
43.57,43.81,43.91,43.30
43.98,44.43,44.60,43.90
44.39,45.42,45.74,44.13
45.64,44.85,45.97,44.55
44.99,45.48,45.61,44.99
45.46,45.42,46.02,45.22
45.83,45.71,46.11,45.33
45.73,45.78,46.11,45.41
45.83,44.26,45.90,44.13
44.27,44.65,44.84,44.01
44.27,44.81,45.02,44.27
45.10,44.60,45.19,44.49
45.50,47.53,48.15,45.29
47.81,48.30,48.36,47.56
47.80,46.93,47.85,46.65
47.17,46.65,47.25,46.49
47.21,47.23,47.62,46.60
47.51,47.41,47.73,47.21
47.44,47.10,47.44,46.51
47.21,47.65,48.00,47.21
47.69,48.09,48.09,47.48
47.93,48.08,48.53,47.87
48.19,47.68,48.19,47.60
48.00,47.17,48.23,46.92
47.00,46.88,47.27,46.16
46.78,46.52,47.13,46.46
46.35,47.18,47.85,46.35
46.95,46.83,47.43,46.54
46.70,46.38,46.87,46.30
46.67,46.67,47.06,46.51
46.89,46.30,47.12,46.27
46.19,46.15,46.49,45.52
46.03,45.77,46.28,45.33
45.55,45.43,46.11,45.31
45.27,45.38,45.54,44.79
45.31,46.45,46.58,45.13
46.48,46.42,47.10,46.12
46.22,46.04,46.37,45.70
45.49,45.27,45.55,44.91
45.48,45.37,45.70,45.06
45.25,45.10,45.54,45.07
45.05,45.48,45.57,44.78
45.66,45.15,45.79,45.04
45.50,45.85,45.87,45.10
45.43,44.14,46.00,44.11
44.34,44.56,44.90,44.10
44.01,43.84,44.29,43.28
43.58,43.19,44.11,43.14
43.54,43.40,43.71,43.14
43.20,43.13,43.35,42.67
43.27,43.18,43.41,42.94
43.06,43.03,43.38,42.91
43.14,43.11,43.49,43.08
43.53,44.20,44.46,43.53
43.71,44.07,44.10,43.65
44.01,44.84,45.38,43.99
45.16,44.97,45.58,44.81
44.64,45.04,45.24,44.64
45.25,45.88,46.18,45.25
45.76,45.74,46.71,45.66
45.20,46.24,46.37,45.09
46.19,45.71,46.80,45.64
45.70,45.94,46.03,45.33
46.04,46.65,46.67,45.85
46.72,46.75,47.23,46.39
46.92,47.09,47.39,46.90
47.26,47.74,47.98,46.92
47.70,47.56,47.83,47.28
47.60,48.25,48.55,47.36
48.56,49.10,49.12,48.37
48.67,48.62,48.78,48.36
48.20,47.96,48.39,47.65
47.88,47.71,48.08,47.53
48.07,47.97,48.72,47.83
47.95,47.71,48.21,47.32
47.38,48.29,48.46,46.56
48.16,47.98,48.26,47.59
48.01,47.12,48.48,46.86
47.26,47.16,47.89,46.76
47.34,47.45,48.20,47.34
47.37,47.47,47.73,47.21
47.00,47.28,47.88,46.94
46.98,45.89,46.98,45.79
45.65,45.23,45.91,45.18
45.34,45.16,45.89,45.07
44.79,45.24,45.72,44.29
45.63,45.02,45.74,44.66
44.55,43.48,45.22,43.38
43.53,43.60,43.64,42.49
42.96,41.38,43.13,41.37
42.36,42.44,43.29,41.32
40.75,39.16,41.30,38.98
40.02,40.81,40.90,38.42
39.94,38.82,40.43,38.78
39.06,39.89,40.46,38.99
40.32,41.31,41.77,40.12
41.73,40.69,41.73,40.09
40.30,39.75,40.47,39.34
39.89,39.45,40.27,38.85
38.45,37.21,38.45,36.64
36.64,36.93,38.18,36.56
37.72,37.53,37.91,37.19
37.61,38.80,38.80,37.27
38.61,39.05,39.38,38.23
39.35,38.46,39.52,38.32
38.09,39.38,39.41,37.39
39.82,40.47,40.56,39.55
40.38,40.85,41.15,40.00
40.98,40.19,41.50,39.86
40.39,40.01,40.66,39.82
39.22,38.46,39.49,38.24
37.41,37.75,38.06,37.04
38.43,38.87,38.91,38.20
38.69,38.67,39.33,38.39
38.26,38.05,38.67,37.63
37.36,38.14,38.19,36.99
38.36,39.55,39.67,38.26
39.80,40.05,40.53,38.59
40.30,40.00,40.68,39.61
39.99,40.02,40.26,39.52
39.33,39.33,39.57,38.68
39.40,37.97,39.62,37.92
37.86,35.98,37.97,35.96
35.03,35.60,36.65,34.42
35.28,36.37,36.50,35.20
36.56,37.29,37.37,36.16
38.02,38.29,39.41,37.40
38.32,37.18,38.65,37.06
37.72,37.77,38.09,36.75
37.05,36.12,37.38,36.09
36.10,35.73,37.69,35.41
35.25,37.43,37.50,34.88
37.41,37.45,37.92,36.52
37.42,38.35,38.42,37.20
38.64,37.80,38.82,37.51
38.24,38.72,38.72,37.76
38.40,38.78,39.10,38.06
39.41,39.39,40.14,39.15
39.05,38.89,39.45,38.13
40.15,42.28,42.33,40.03
42.11,41.05,42.63,40.59
41.37,42.09,42.48,40.78
41.50,41.18,41.89,40.97
41.33,41.64,41.70,40.63
42.22,42.70,42.74,41.75
42.82,42.74,43.50,42.72
42.48,41.84,42.60,41.61
42.17,41.83,42.32,41.03
43.04,43.42,43.93,42.16
43.35,43.71,43.99,43.21
42.43,42.31,43.50,41.90
41.06,41.74,42.33,40.78
42.36,42.26,42.66,41.64
42.46,42.84,42.92,41.59
42.41,41.95,42.64,41.69
41.81,41.61,42.08,41.01
41.81,42.81,42.97,41.35
41.80,41.29,42.08,40.87
41.78,41.26,41.87,41.03
41.78,42.96,43.07,41.64
42.62,42.27,42.98,42.04
42.06,42.87,43.09,42.00
42.43,42.60,43.25,42.27
42.36,43.58,44.29,42.21
43.90,43.52,43.94,43.19
42.92,43.68,43.87,42.23
43.60,43.92,43.98,43.26
43.48,42.95,43.57,42.59
42.94,42.75,43.48,42.63
43.88,43.78,44.15,43.37
43.88,44.52,44.73,43.61
45.16,45.72,45.77,44.99
45.82,45.47,45.82,45.31
45.80,45.69,46.47,45.55
46.40,46.03,46.59,45.63
46.01,45.53,46.17,45.34
45.16,45.22,45.35,44.64
44.64,44.04,44.91,43.95
44.27,44.74,44.82,44.07
44.38,44.29,44.44,43.99
44.49,43.41,44.85,43.19
43.16,42.69,43.43,42.61
43.25,43.29,43.67,43.01
43.67,44.46,44.95,43.58
44.90,43.53,45.25,43.39
44.27,44.83,45.50,44.27
44.73,44.91,44.97,44.22
45.19,45.08,45.50,44.74
45.11,45.17,45.47,44.99
45.18,45.45,45.67,44.57
45.50,44.93,45.72,44.68
45.12,45.53,45.64,44.83
45.54,45.07,45.58,45.07
46.01,45.26,46.33,45.09
45.25,45.35,45.63,44.75
44.39,44.23,44.75,43.94
44.29,44.72,44.85,44.16
44.74,45.12,45.15,44.64
45.72,46.03,46.08,45.29
45.75,46.52,46.55,45.75
46.56,47.34,47.49,46.47
47.21,47.56,47.71,46.79
47.32,47.74,48.05,47.20
47.93,48.17,48.31,47.71
48.30,48.87,48.92,48.08
48.98,48.81,48.98,48.50
48.47,48.56,48.64,47.82
48.13,48.52,48.53,47.81
48.60,48.63,48.93,48.21
49.07,49.30,49.99,48.74
50.51,50.81,51.90,50.21
50.73,50.75,50.88,50.05
50.82,51.07,51.30,50.18
51.55,51.62,51.89,51.05
51.82,51.17,51.82,51.06
51.72,51.51,52.19,51.38
51.22,51.91,52.00,51.04
51.95,52.38,52.67,51.60
52.38,51.91,52.58,51.62
52.00,52.79,53.02,51.96
51.98,52.31,52.31,51.55
52.63,52.29,52.91,52.23
52.06,51.72,52.29,51.54
51.99,51.21,52.01,50.96
51.34,52.33,52.40,51.10
52.46,51.76,52.49,51.47
51.79,51.32,51.95,51.08
51.32,50.95,51.63,50.83
50.97,50.42,50.97,50.30
50.70,50.80,51.42,50.60
50.62,51.01,51.28,50.31
50.91,50.81,51.57,50.74
50.85,51.21,51.53,50.73
51.28,52.09,52.41,51.27
51.14,50.88,51.33,50.65
50.89,51.24,51.31,50.44
50.84,50.54,50.95,50.29
50.67,50.50,50.67,49.98
50.58,51.20,51.60,50.37
51.31,52.15,52.29,51.05
52.30,52.24,52.75,52.03
52.51,53.26,53.28,52.12
53.35,52.80,53.49,52.41
52.89,54.65,54.93,52.85
54.86,54.64,54.86,54.05
54.50,54.34,54.82,54.21
53.92,53.56,54.03,53.43
53.71,53.86,54.14,53.40
53.33,53.61,53.67,52.80
53.72,53.69,53.83,52.81
54.21,54.57,54.57,53.68
54.98,54.86,55.13,54.20
54.92,54.87,55.14,54.21
54.57,54.92,55.04,54.06
55.26,54.37,55.30,54.32
54.39,55.12,55.55,54.26
55.25,55.73,55.73,54.93
55.35,55.72,55.94,55.20
55.62,55.92,56.09,55.35
55.13,55.04,55.51,54.67
55.03,54.30,55.09,54.05
54.82,54.50,54.98,54.24
54.38,55.84,55.93,54.13
55.25,56.00,56.73,55.04
56.34,56.91,57.19,55.86
57.23,56.79,57.43,56.79
56.41,56.21,56.65,56.03
56.32,55.38,56.32,54.79
55.68,56.01,56.33,55.29
55.07,55.44,55.49,54.60
55.65,55.65,55.94,55.35
56.01,56.02,56.43,55.74
55.71,55.39,55.71,54.54
55.43,55.66,55.87,55.06
55.52,55.31,55.70,55.14
55.26,55.59,56.17,55.00
55.12,57.10,57.37,55.12
57.26,56.78,57.41,56.54
56.62,55.97,56.62,55.94
55.60,56.29,56.55,55.50
55.89,56.23,56.29,55.37
55.52,55.50,55.74,54.96
55.91,55.23,56.01,55.00
54.80,55.26,55.55,54.67
54.90,54.94,55.18,54.37
55.04,55.59,56.13,54.36
55.66,55.34,56.11,55.24
55.23,52.14,55.43,51.88
52.36,52.57,53.60,52.21
52.75,54.18,54.22,52.41
54.43,54.31,54.88,53.96
53.97,55.40,55.69,53.65
55.62,56.68,56.75,55.36
56.56,56.69,56.81,56.06
56.94,57.47,57.92,56.90
57.16,56.72,57.16,56.39
56.62,57.13,57.34,55.90
55.45,54.66,55.99,54.35
54.90,53.88,54.92,53.00
53.52,54.00,54.31,53.30
54.50,55.12,55.31,54.37
55.50,54.77,55.89,54.71
54.51,55.39,55.74,54.39
55.93,55.57,56.25,55.50
55.67,56.28,56.54,55.55
56.34,56.81,57.30,55.73
56.75,57.53,57.99,56.43
57.97,58.55,59.00,57.81
58.45,60.62,60.77,58.21
60.73,60.34,61.18,60.22
60.38,59.21,60.40,58.95
59.19,57.67,59.43,57.50
57.68,57.25,57.89,56.84
56.82,56.88,57.13,55.78
57.18,57.01,57.41,56.37
57.56,57.32,57.58,56.72
56.83,57.74,57.80,56.34
58.63,59.60,59.64,58.57
59.91,59.13,59.91,58.47
59.00,59.00,59.22,58.57
58.70,59.86,60.08,58.70
59.29,58.73,59.64,58.43
58.74,59.65,59.93,58.53
60.07,58.76,60.19,58.37
58.68,58.48,58.86,57.87
58.28,58.01,58.45,57.09
58.30,59.09,59.60,58.10
59.00,58.33,59.05,58.24
55.01,55.15,56.25,53.32
54.83,54.87,55.54,54.45
54.89,55.20,55.67,54.68
54.65,54.40,55.25,54.09
53.42,54.12,54.32,53.01
54.00,53.54,54.18,52.93
53.44,53.61,53.74,52.92
54.21,54.42,54.78,54.02
54.64,55.35,55.87,54.64
55.32,55.12,56.50,54.92
55.15,55.02,55.82,54.81
55.03,53.78,55.26,53.14
53.59,54.49,54.54,53.30
55.00,54.82,55.22,54.74
54.82,54.56,55.36,54.38
54.76,55.29,55.44,54.74
55.00,55.06,55.17,54.80
55.08,54.77,55.18,54.59
54.69,54.91,54.99,54.40
54.69,54.76,54.99,54.42
54.99,55.16,55.43,54.98
55.14,55.82,56.00,55.00
56.00,55.66,56.09,55.42
55.76,55.41,55.85,55.24
55.40,54.57,55.46,54.37
54.27,54.39,54.45,53.55
54.39,54.50,54.79,54.23
54.41,54.54,54.72,54.02
54.57,54.38,54.70,54.09
54.47,53.12,54.50,52.88
52.97,53.38,53.63,52.88
53.48,53.19,53.83,53.10
53.03,52.43,53.46,52.36
52.82,52.44,53.03,51.80
52.52,52.74,52.97,51.45
52.53,51.40,52.71,51.34
51.51,52.05,52.58,51.50
52.08,51.65,52.20,51.55
51.69,52.16,52.35,51.43
52.06,51.90,52.72,51.88
52.46,52.98,53.15,51.87
52.88,52.52,53.16,52.41
51.21,52.34,52.96,51.00
52.08,51.93,52.48,51.85
51.72,51.55,51.86,51.24
51.43,51.65,52.10,51.04
51.31,51.35,51.43,50.56
51.82,51.04,52.02,51.02
50.84,51.89,52.01,50.84
51.89,51.20,52.53,51.06
51.36,52.37,52.53,51.07
52.45,52.95,53.06,52.06
52.65,52.04,52.73,51.87
51.94,52.03,52.83,51.47
52.25,52.11,52.30,51.75
52.33,53.56,53.65,51.97
53.70,54.26,54.27,53.39
54.66,55.20,55.49,54.57
54.77,55.25,55.36,54.63
55.28,54.71,55.62,54.53
54.86,54.62,55.26,54.37
55.16,54.79,55.60,54.56
58.00,58.37,59.47,57.52
58.20,58.44,58.79,57.54
58.48,58.46,58.92,57.99
58.51,58.77,58.90,58.30
58.60,58.23,58.89,58.07
57.88,57.33,58.26,57.13
57.31,57.34,57.47,56.78
57.33,57.77,58.14,56.94
57.91,56.92,58.04,56.81
57.30,57.28,57.37,56.55
57.02,57.16,57.56,56.67
57.49,58.70,58.77,55.61
58.24,58.60,58.90,57.97
58.98,58.59,59.13,58.59
58.65,58.83,59.02,58.12
58.92,59.90,60.67,58.77
59.15,59.45,59.89,58.92
59.52,58.60,59.65,58.39
58.37,58.66,59.06,57.95
58.67,60.04,60.17,58.50
59.66,60.15,60.63,59.59
60.20,59.65,60.55,59.17
59.37,59.10,60.04,58.75
59.07,59.32,59.67,58.16
59.78,59.64,60.38,59.24
59.26,59.42,60.08,59.26
59.28,59.18,59.28,58.08
59.57,59.63,59.79,58.95
59.12,59.86,60.00,58.99
59.66,60.01,60.48,59.23
59.64,59.76,60.20,59.13
60.00,59.84,60.00,59.26
59.83,59.45,60.00,58.95
59.62,58.68,60.00,58.28
58.73,58.13,58.92,57.87
58.19,58.76,58.99,57.32
58.75,58.71,58.97,58.35
59.04,58.47,59.06,58.23
58.54,58.65,58.87,58.24
58.98,58.80,59.51,58.60
58.95,57.44,59.15,57.32
57.50,56.66,58.30,56.43
56.56,56.86,57.65,56.43
57.00,57.50,57.84,56.92
57.35,58.52,58.80,57.35
58.43,58.33,58.72,57.89
58.47,58.75,58.86,58.08
57.93,59.20,59.47,57.93
58.90,58.99,59.09,58.48
59.00,58.62,59.50,58.53
58.54,58.64,58.87,58.12
58.47,58.48,59.41,58.30
58.27,59.71,59.74,58.24
61.03,61.04,62.10,60.39
61.14,61.26,61.56,60.54
61.50,61.88,62.16,61.19
60.05,61.42,61.57,60.05
61.50,61.33,61.62,60.69
61.58,61.34,61.75,61.21
61.94,61.40,62.00,61.26
61.49,60.88,61.63,60.70
60.95,60.77,61.22,60.22
60.71,60.90,61.24,60.60
60.97,61.34,61.39,60.74
61.69,62.78,63.22,61.59
62.72,63.08,63.23,62.36
62.81,63.71,63.87,62.81
63.58,63.46,64.12,63.18
64.46,67.57,68.58,63.93
67.60,67.56,67.89,66.49
67.50,67.74,68.48,67.30
67.27,68.09,68.28,66.87
68.25,67.19,68.25,66.93
66.84,67.27,67.65,66.59
67.70,67.84,68.31,67.18
67.58,67.20,68.33,67.14
67.33,68.28,68.62,67.00
67.81,68.34,68.51,67.75
67.94,68.28,68.54,67.62
68.42,69.07,69.42,68.30
69.11,68.32,69.60,68.08
68.26,67.13,68.91,66.96
67.58,66.92,67.83,66.50
66.97,67.41,67.70,66.66
67.50,66.80,68.67,66.79
66.98,67.62,67.68,66.62
67.38,66.48,67.72,66.36
66.56,66.05,67.37,65.53
66.40,67.27,67.42,66.18
67.42,66.04,67.75,66.03
66.42,66.36,66.71,65.80
66.96,69.83,70.55,66.91
69.80,69.66,70.10,69.05
69.99,69.18,69.99,68.53
69.00,69.61,69.78,68.70
69.77,70.20,70.52,69.76
70.55,69.69,71.85,69.58
70.00,69.22,70.08,68.71
69.58,69.29,70.55,68.73
69.13,68.89,69.46,68.58
68.97,70.10,70.15,68.45
70.14,74.44,74.52,70.14
74.37,74.51,74.93,73.55
73.61,74.00,74.08,72.63
73.26,74.10,74.48,73.04
74.13,73.89,74.69,73.42
73.84,74.66,74.74,73.59
74.37,73.97,75.02,73.71
74.32,74.24,75.00,73.80
75.55,73.70,75.73,73.04
74.00,73.60,74.53,72.96
73.40,73.86,73.91,72.47
73.83,74.48,74.59,73.34
74.44,73.42,74.95,72.82
73.83,73.33,74.54,73.22
73.71,72.69,74.18,72.26
73.00,72.46,73.02,71.68
71.84,73.40,73.54,71.25
73.64,73.84,74.25,73.25
73.90,73.50,74.21,73.15
73.71,74.87,75.16,73.39
74.85,74.22,75.14,73.85
72.00,72.01,73.09,71.50
72.00,70.65,72.47,70.49
71.20,71.39,71.72,70.84
71.02,69.69,71.20,69.19
69.96,69.40,70.32,69.04
69.51,70.00,70.08,69.09
70.06,71.22,71.52,69.11
71.73,70.28,72.18,69.99
70.38,70.16,71.11,70.11
70.27,71.00,71.41,70.27
71.05,71.56,71.79,70.83
71.50,72.23,72.74,70.83
71.68,71.07,72.22,70.70
71.02,69.43,71.06,69.16
69.76,69.66,70.43,69.44
70.32,70.62,71.22,70.07
70.52,71.81,72.47,70.40
72.14,73.04,73.19,72.14
72.69,72.70,73.13,72.32
72.35,71.86,72.65,71.21
71.91,71.77,72.10,71.29
71.79,71.80,72.48,71.66
72.13,72.66,72.80,71.76
72.70,74.09,74.52,72.50
74.08,74.45,74.74,73.89
74.58,74.88,74.94,73.94
74.96,75.37,75.64,74.82
75.36,75.91,76.60,75.35
76.14,75.30,77.20,74.91
74.74,75.66,75.77,74.36
75.47,74.78,75.47,74.43
75.30,75.38,76.30,74.89
74.85,74.25,75.11,73.82
74.53,74.29,74.95,74.25
73.93,73.66,74.44,73.26
72.98,72.83,73.36,71.74
72.95,71.75,73.24,71.28
71.38,70.40,71.97,69.78
70.51,71.24,71.29,69.73
71.41,73.36,73.43,71.17
73.42,73.06,73.76,72.88
72.35,72.25,73.29,71.87
72.74,71.01,73.25,70.80
70.85,72.61,72.77,70.46
72.40,72.01,72.78,71.81
72.35,72.25,72.67,71.62
72.31,72.70,73.03,72.03
72.87,72.52,73.37,72.46
