SIRI,Sirius XM Holdings Inc. - Common Stock,NASDAQ
0.97,0.95,0.99,0.94
0.96,0.95,0.98,0.95
0.96,0.98,0.98,0.94
0.99,1.02,1.02,0.97
1.03,1.02,1.03,1.00
1.02,1.00,1.02,1.00
1.00,0.99,1.02,0.99
0.99,1.03,1.03,0.98
1.03,1.05,1.05,1.02
1.04,1.01,1.05,1.00
1.05,1.06,1.06,1.02
1.06,1.06,1.06,1.05
1.04,1.05,1.06,1.03
1.05,1.04,1.06,1.03
1.02,1.02,1.03,1.01
1.00,0.98,1.00,0.98
0.97,1.01,1.01,0.97
0.99,1.00,1.01,0.99
0.99,1.00,1.01,0.99
1.00,1.00,1.01,0.96
1.00,0.99,1.01,0.99
1.00,0.99,1.02,0.99
0.99,0.97,1.00,0.97
0.99,0.99,1.00,0.98
0.97,0.96,0.98,0.96
0.96,0.99,1.00,0.96
0.99,0.96,1.00,0.96
0.97,0.99,0.99,0.95
0.98,0.96,0.99,0.96
0.95,0.96,0.97,0.95
0.97,0.99,0.99,0.96
0.99,0.99,1.00,0.98
1.00,1.01,1.01,0.99
0.99,1.01,1.02,0.99
1.02,1.05,1.05,1.01
1.04,1.05,1.05,1.04
1.04,1.05,1.05,1.03
1.05,1.06,1.06,1.04
1.04,1.05,1.06,1.04
1.05,1.11,1.13,1.05
1.10,1.10,1.14,1.09
1.11,1.13,1.13,1.10
1.13,1.18,1.18,1.13
1.18,1.16,1.20,1.14
1.15,1.12,1.16,1.11
1.11,1.16,1.17,1.10
1.18,1.18,1.20,1.17
1.19,1.16,1.20,1.15
1.16,1.18,1.18,1.16
1.17,1.18,1.19,1.17
1.20,1.20,1.20,1.18
1.20,1.24,1.24,1.18
1.22,1.27,1.28,1.22
1.28,1.28,1.31,1.26
1.28,1.27,1.29,1.24
1.26,1.29,1.29,1.26
1.27,1.29,1.31,1.27
1.30,1.34,1.34,1.29
1.34,1.35,1.35,1.31
1.38,1.40,1.44,1.35
1.41,1.40,1.42,1.38
1.41,1.38,1.41,1.34
1.37,1.38,1.39,1.34
1.36,1.34,1.37,1.33
1.34,1.35,1.37,1.33
1.34,1.30,1.35,1.29
1.28,1.31,1.32,1.24
1.32,1.35,1.36,1.30
1.35,1.39,1.39,1.33
1.39,1.40,1.40,1.37
1.42,1.43,1.47,1.42
1.45,1.50,1.50,1.45
1.55,1.54,1.58,1.51
1.57,1.57,1.59,1.54
1.57,1.57,1.57,1.51
1.58,1.47,1.61,1.43
1.49,1.53,1.53,1.49
1.55,1.55,1.57,1.53
1.57,1.49,1.57,1.48
1.50,1.46,1.51,1.45
1.41,1.44,1.45,1.39
1.41,1.42,1.44,1.40
1.45,1.39,1.46,1.37
1.37,1.37,1.38,1.35
1.38,1.35,1.40,1.32
1.38,1.40,1.42,1.35
1.40,1.40,1.40,1.38
1.39,1.39,1.40,1.36
1.37,1.37,1.39,1.35
1.39,1.38,1.40,1.38
1.38,1.40,1.40,1.38
1.40,1.40,1.40,1.37
1.38,1.37,1.41,1.37
1.39,1.39,1.40,1.38
1.40,1.39,1.40,1.37
1.38,1.37,1.38,1.37
1.38,1.38,1.39,1.37
1.39,1.36,1.39,1.36
1.36,1.32,1.37,1.31
1.41,1.39,1.44,1.36
1.40,1.40,1.40,1.37
1.40,1.38,1.40,1.38
1.39,1.39,1.39,1.38
1.38,1.39,1.40,1.38
1.39,1.39,1.40,1.35
1.37,1.40,1.40,1.37
1.40,1.41,1.41,1.39
1.41,1.48,1.49,1.40
1.51,1.60,1.60,1.49
1.62,1.61,1.69,1.58
1.60,1.55,1.60,1.55
1.56,1.63,1.63,1.52
1.65,1.65,1.69,1.64
1.64,1.63,1.65,1.61
1.63,1.63,1.65,1.62
1.67,1.69,1.72,1.66
1.74,1.67,1.74,1.65
1.67,1.65,1.68,1.65
1.67,1.64,1.67,1.62
1.64,1.61,1.64,1.59
1.59,1.58,1.60,1.56
1.60,1.57,1.61,1.56
1.59,1.56,1.59,1.54
1.55,1.53,1.56,1.53
1.53,1.56,1.58,1.53
1.56,1.57,1.59,1.55
1.57,1.54,1.57,1.53
1.52,1.52,1.53,1.49
1.53,1.55,1.55,1.52
1.57,1.58,1.61,1.54
1.58,1.58,1.59,1.56
1.59,1.60,1.61,1.58
1.62,1.62,1.62,1.60
1.61,1.62,1.65,1.61
1.61,1.62,1.68,1.58
1.62,1.63,1.65,1.61
1.66,1.72,1.73,1.65
1.76,1.77,1.80,1.75
1.78,1.75,1.79,1.72
1.77,1.79,1.80,1.76
1.80,1.78,1.81,1.78
1.78,1.77,1.79,1.75
1.75,1.77,1.78,1.74
1.77,1.84,1.85,1.76
1.87,1.83,1.88,1.80
1.72,1.69,1.76,1.65
1.73,1.81,1.85,1.72
1.83,1.81,1.84,1.80
1.79,1.81,1.81,1.78
1.78,1.72,1.79,1.71
1.73,1.68,1.74,1.63
1.68,1.71,1.72,1.67
1.72,1.77,1.78,1.71
1.79,1.81,1.81,1.77
1.83,1.75,1.83,1.74
1.73,1.78,1.80,1.73
1.80,1.82,1.83,1.80
1.81,1.81,1.83,1.78
1.80,1.74,1.83,1.71
1.76,1.76,1.76,1.69
1.73,1.80,1.81,1.73
1.77,1.77,1.79,1.75
1.75,1.79,1.79,1.74
1.77,1.77,1.79,1.75
1.72,1.75,1.77,1.70
1.75,1.73,1.77,1.70
1.74,1.73,1.76,1.72
1.75,1.71,1.76,1.67
1.71,1.72,1.73,1.70
1.72,1.71,1.72,1.70
1.66,1.67,1.68,1.63
1.65,1.70,1.71,1.64
1.70,1.72,1.72,1.69
1.71,1.72,1.73,1.68
1.71,1.73,1.73,1.71
1.72,1.72,1.73,1.71
1.69,1.65,1.70,1.62
1.67,1.65,1.68,1.63
1.64,1.70,1.70,1.62
1.69,1.78,1.78,1.68
1.79,1.84,1.86,1.79
1.83,1.76,1.84,1.75
1.78,1.76,1.79,1.75
1.76,1.78,1.80,1.76
1.77,1.81,1.81,1.75
1.83,1.84,1.85,1.80
1.81,1.81,1.83,1.79
1.81,1.84,1.84,1.81
1.80,1.80,1.83,1.79
1.81,1.83,1.84,1.80
1.85,1.87,1.87,1.84
1.88,1.93,1.93,1.86
1.94,1.96,1.96,1.91
1.97,1.97,2.00,1.96
1.94,1.98,1.98,1.93
1.97,1.98,2.00,1.96
1.97,1.99,2.00,1.96
2.00,1.91,2.03,1.90
1.96,2.07,2.09,1.96
2.05,2.13,2.14,2.05
2.13,2.12,2.17,2.09
2.15,2.22,2.23,2.15
2.24,2.19,2.25,2.15
2.19,2.35,2.36,2.16
2.36,2.31,2.42,2.27
2.27,2.28,2.34,2.25
2.28,2.24,2.29,2.22
2.22,2.18,2.24,2.16
2.20,2.14,2.21,2.07
2.13,2.18,2.20,2.12
2.21,2.23,2.25,2.19
2.25,2.22,2.26,2.20
2.21,2.20,2.25,2.19
2.24,2.27,2.29,2.20
2.29,2.33,2.42,2.28
2.35,2.34,2.39,2.31
2.36,2.37,2.38,2.35
2.41,2.35,2.44,2.33
2.35,2.27,2.35,2.26
2.29,2.24,2.31,2.22
2.20,2.18,2.21,2.16
2.17,2.13,2.20,2.10
2.14,2.15,2.18,2.12
2.13,2.03,2.13,1.98
2.03,2.08,2.10,1.98
2.08,2.00,2.10,1.99
1.99,1.91,2.00,1.86
1.95,1.96,1.98,1.92
1.92,1.95,1.99,1.89
1.95,1.94,1.96,1.90
1.96,1.92,1.97,1.87
1.89,1.92,1.92,1.88
1.93,2.00,2.02,1.93
2.02,2.04,2.10,2.01
1.99,2.04,2.05,1.97
2.09,1.98,2.09,1.98
1.97,2.00,2.01,1.93
2.02,2.04,2.07,2.01
2.08,2.10,2.10,2.04
2.13,2.19,2.25,2.12
2.23,2.19,2.25,2.18
2.23,2.18,2.25,2.17
2.17,2.16,2.18,2.13
2.19,2.22,2.23,2.18
2.17,2.22,2.23,2.15
2.27,2.21,2.30,2.17
2.19,2.19,2.21,2.16
2.21,2.25,2.27,2.20
2.25,2.25,2.27,2.21
2.27,2.33,2.35,2.25
2.31,2.24,2.33,2.21
2.25,2.21,2.29,2.20
2.23,2.18,2.24,2.17
2.19,2.20,2.21,2.17
2.20,2.16,2.21,2.16
2.12,2.14,2.22,2.10
2.16,2.14,2.20,2.14
2.16,2.12,2.16,2.09
2.11,2.08,2.19,2.07
2.04,2.11,2.13,1.99
2.22,2.11,2.22,2.06
2.18,2.07,2.22,2.02
2.08,2.07,2.10,1.96
2.04,1.94,2.04,1.94
1.94,1.89,2.01,1.73
1.69,1.65,1.79,1.63
1.71,1.80,1.80,1.66
1.76,1.73,1.79,1.72
1.76,1.86,1.88,1.75
1.89,1.87,1.95,1.86
1.92,1.90,1.93,1.88
1.89,1.91,1.92,1.87
1.93,1.92,1.95,1.91
1.85,1.78,1.87,1.77
1.72,1.77,1.82,1.70
1.81,1.71,1.83,1.66
1.70,1.69,1.71,1.59
1.66,1.75,1.78,1.65
1.75,1.69,1.79,1.68
1.67,1.70,1.73,1.65
1.73,1.81,1.81,1.73
1.78,1.80,1.83,1.77
1.83,1.80,1.87,1.78
1.81,1.76,1.86,1.76
1.72,1.72,1.76,1.71
1.67,1.69,1.70,1.66
1.73,1.80,1.80,1.72
1.77,1.75,1.83,1.72
1.72,1.72,1.76,1.70
1.68,1.67,1.72,1.66
1.69,1.69,1.72,1.68
1.71,1.80,1.85,1.70
1.80,1.84,1.84,1.77
1.84,1.83,1.86,1.81
1.79,1.80,1.81,1.78
1.81,1.78,1.82,1.78
1.80,1.81,1.89,1.79
1.75,1.68,1.77,1.66
1.68,1.70,1.72,1.67
1.74,1.67,1.74,1.61
1.71,1.69,1.74,1.69
1.70,1.66,1.74,1.65
1.70,1.49,1.70,1.46
1.46,1.51,1.54,1.44
1.47,1.45,1.57,1.44
1.40,1.47,1.52,1.27
1.49,1.47,1.49,1.41
1.45,1.51,1.57,1.45
1.53,1.52,1.57,1.51
1.54,1.65,1.66,1.53
1.64,1.66,1.72,1.63
1.70,1.71,1.75,1.68
1.72,1.72,1.74,1.67
1.76,1.80,1.80,1.74
1.83,1.77,1.86,1.75
1.77,1.77,1.80,1.75
1.77,1.72,1.78,1.72
1.73,1.75,1.77,1.70
1.78,1.78,1.84,1.75
1.81,1.84,1.84,1.78
1.80,1.80,1.84,1.79
1.82,1.79,1.84,1.76
1.84,1.83,1.86,1.80
1.82,1.84,1.85,1.81
1.82,1.79,1.83,1.79
1.69,1.73,1.83,1.65
1.76,1.68,1.77,1.67
1.69,1.65,1.71,1.65
1.65,1.68,1.73,1.64
1.70,1.70,1.73,1.69
1.73,1.75,1.75,1.67
1.72,1.64,1.75,1.64
1.68,1.69,1.70,1.61
1.68,1.70,1.72,1.68
1.70,1.68,1.72,1.68
1.67,1.69,1.69,1.67
1.68,1.66,1.71,1.65
1.71,1.74,1.75,1.69
1.77,1.78,1.83,1.76
1.75,1.85,1.89,1.75
1.88,1.87,1.92,1.81
1.85,1.74,1.85,1.72
1.74,1.75,1.79,1.72
1.80,1.77,1.81,1.76
1.76,1.72,1.79,1.72
1.77,1.80,1.83,1.75
1.81,1.88,1.88,1.79
1.91,1.86,1.92,1.84
1.87,1.81,1.88,1.80
1.81,1.79,1.82,1.78
1.80,1.78,1.80,1.76
1.77,1.70,1.78,1.70
1.74,1.75,1.82,1.73
1.73,1.77,1.82,1.72
1.80,1.80,1.85,1.79
1.78,1.76,1.80,1.76
1.80,1.78,1.82,1.76
1.80,1.77,1.81,1.77
1.78,1.81,1.83,1.78
1.83,1.83,1.84,1.80
1.81,1.80,1.82,1.79
1.80,1.79,1.82,1.79
1.79,1.81,1.81,1.78
1.80,1.82,1.82,1.79
1.81,1.81,1.83,1.80
1.81,1.82,1.83,1.80
1.81,1.82,1.83,1.81
1.84,1.86,1.88,1.83
1.85,1.83,1.92,1.80
1.90,2.04,2.04,1.88
2.05,2.00,2.06,1.97
2.02,2.05,2.08,2.00
2.07,2.05,2.09,2.04
2.04,2.04,2.06,2.02
2.05,2.11,2.12,2.04
2.11,2.14,2.17,2.11
2.16,2.16,2.19,2.14
2.13,2.16,2.17,2.13
2.16,2.16,2.18,2.14
2.15,2.10,2.15,2.08
2.04,2.10,2.12,2.03
2.09,2.08,2.15,2.07
2.10,2.08,2.10,2.06
2.10,2.08,2.12,2.06
2.05,2.04,2.07,2.04
2.03,2.03,2.04,2.00
2.05,2.08,2.09,2.03
2.10,2.14,2.16,2.09
2.16,2.12,2.16,2.11
2.14,2.15,2.16,2.13
2.14,2.15,2.16,2.13
2.14,2.12,2.14,2.09
2.12,2.19,2.19,2.10
2.16,2.19,2.20,2.13
2.14,2.15,2.19,2.13
2.15,2.15,2.16,2.13
2.14,2.15,2.17,2.13
2.16,2.14,2.18,2.14
2.14,2.15,2.16,2.14
2.15,2.15,2.16,2.13
2.14,2.12,2.15,2.11
2.11,2.09,2.12,2.08
2.10,2.10,2.12,2.09
2.10,2.20,2.20,2.09
2.19,2.23,2.25,2.17
2.24,2.22,2.25,2.17
2.25,2.26,2.28,2.23
2.27,2.23,2.28,2.23
2.23,2.31,2.34,2.22
2.34,2.26,2.35,2.25
2.23,2.22,2.24,2.20
2.23,2.25,2.26,2.22
2.26,2.30,2.30,2.26
2.33,2.35,2.36,2.32
2.35,2.32,2.35,2.29
2.34,2.29,2.34,2.28
2.30,2.29,2.31,2.28
2.29,2.28,2.30,2.27
2.27,2.26,2.28,2.26
2.26,2.27,2.28,2.25
2.25,2.26,2.28,2.25
2.26,2.26,2.27,2.25
2.26,2.27,2.27,2.25
2.26,2.26,2.27,2.25
2.26,2.25,2.28,2.23
2.24,2.25,2.26,2.20
2.25,2.24,2.27,2.23
2.24,2.21,2.25,2.20
2.28,2.31,2.33,2.26
2.31,2.40,2.41,2.30
2.36,2.33,2.39,2.31
2.30,2.29,2.33,2.24
2.28,2.35,2.35,2.28
2.31,2.33,2.34,2.29
2.32,2.22,2.33,2.19
2.27,2.25,2.28,2.23
2.24,2.26,2.26,2.23
2.24,2.23,2.25,2.22
2.23,2.17,2.25,2.15
2.19,2.24,2.26,2.18
2.22,2.27,2.27,2.21
2.26,2.24,2.27,2.21
2.23,2.23,2.24,2.20
2.20,2.14,2.21,2.11
2.17,2.19,2.20,2.16
2.22,2.21,2.22,2.19
2.20,2.20,2.22,2.15
2.20,2.21,2.24,2.16
2.21,2.26,2.27,2.21
2.26,2.23,2.31,2.22
2.24,2.25,2.27,2.21
2.23,2.21,2.25,2.18
2.19,2.16,2.24,2.13
2.13,2.17,2.18,2.11
2.24,2.14,2.25,2.07
2.12,2.18,2.19,2.07
2.20,2.18,2.21,2.12
2.17,2.13,2.18,2.12
2.09,2.02,2.11,1.97
2.02,1.98,2.02,1.97
1.96,1.96,2.02,1.96
1.95,1.83,1.97,1.78
1.80,1.89,1.90,1.79
1.85,1.98,1.98,1.83
2.01,1.96,2.02,1.89
1.92,1.99,2.00,1.91
1.97,1.99,1.99,1.95
1.97,1.93,1.97,1.92
1.95,1.93,1.96,1.90
1.90,1.89,1.91,1.84
1.91,1.89,1.93,1.86
1.85,1.84,1.94,1.83
1.84,1.90,1.90,1.84
1.86,1.89,1.90,1.86
1.90,1.92,1.92,1.90
1.91,1.86,1.95,1.86
1.85,1.86,1.90,1.85
1.87,1.86,1.88,1.86
1.87,1.86,1.89,1.85
1.86,1.83,1.88,1.81
1.82,1.86,1.86,1.80
1.85,1.87,1.87,1.82
1.85,1.84,1.86,1.81
1.82,1.91,1.92,1.81
1.90,1.92,1.92,1.88
1.91,1.88,1.92,1.87
1.87,1.89,1.92,1.87
1.89,1.82,1.90,1.80
1.82,1.84,1.85,1.82
1.83,1.87,1.89,1.83
1.85,1.86,1.87,1.84
1.88,1.85,1.89,1.82
1.84,1.99,1.99,1.84
1.99,2.04,2.08,1.98
2.04,2.09,2.13,2.04
2.08,2.05,2.09,2.02
2.11,2.08,2.12,2.05
2.08,2.05,2.09,2.02
2.04,2.03,2.07,2.02
2.01,2.07,2.08,1.99
2.06,2.05,2.10,2.01
2.04,2.07,2.08,2.04
2.08,2.09,2.10,2.02
2.08,2.11,2.13,2.07
2.12,2.11,2.16,2.10
2.12,2.10,2.13,2.08
2.07,2.08,2.10,2.06
2.07,2.04,2.08,2.03
2.05,2.08,2.11,2.04
2.11,2.11,2.13,2.08
2.12,2.16,2.17,2.10
2.18,2.19,2.20,2.15
2.19,2.16,2.20,2.14
2.18,2.15,2.18,2.09
2.14,2.11,2.16,2.10
2.13,2.16,2.17,2.12
2.17,2.20,2.23,2.17
2.25,2.30,2.34,2.22
2.28,2.48,2.51,2.28
2.49,2.40,2.49,2.33
2.38,2.48,2.49,2.37
2.49,2.51,2.52,2.48
2.52,2.53,2.54,2.47
2.56,2.55,2.57,2.48
2.55,2.59,2.60,2.51
2.60,2.56,2.60,2.55
2.60,2.56,2.64,2.56
2.60,2.57,2.62,2.56
2.56,2.56,2.58,2.55
2.54,2.50,2.54,2.48
2.48,2.54,2.55,2.47
2.55,2.54,2.56,2.50
2.55,2.53,2.55,2.52
2.52,2.54,2.55,2.51
2.53,2.54,2.54,2.51
2.51,2.53,2.54,2.49
2.53,2.54,2.55,2.51
2.54,2.52,2.55,2.49
2.53,2.54,2.56,2.52
2.54,2.53,2.56,2.51
2.51,2.51,2.53,2.50
2.49,2.50,2.51,2.46
2.50,2.43,2.50,2.40
2.40,2.48,2.49,2.39
2.49,2.47,2.52,2.44
2.44,2.39,2.45,2.38
2.37,2.43,2.43,2.33
2.42,2.49,2.49,2.41
2.47,2.57,2.59,2.43
2.56,2.54,2.58,2.53
2.53,2.51,2.54,2.50
2.51,2.48,2.53,2.47
2.47,2.50,2.53,2.44
2.51,2.59,2.60,2.51
2.58,2.59,2.60,2.54
2.59,2.57,2.62,2.56
2.65,2.62,2.68,2.60
2.65,2.73,2.73,2.64
2.75,2.70,2.75,2.68
2.70,2.69,2.73,2.64
2.67,2.67,2.69,2.65
2.69,2.63,2.71,2.63
2.65,2.75,2.76,2.64
2.77,2.73,2.79,2.73
2.74,2.78,2.78,2.70
2.78,2.80,2.80,2.76
2.81,2.84,2.85,2.78
2.86,2.84,2.86,2.80
2.84,2.94,2.97,2.82
2.95,2.92,2.97,2.88
2.94,2.91,2.95,2.85
2.88,2.87,2.88,2.80
2.85,2.89,2.93,2.84
2.92,2.85,2.92,2.79
2.85,2.82,2.89,2.81
2.84,2.80,2.84,2.74
2.81,2.81,2.96,2.81
2.85,2.90,2.94,2.84
2.90,2.83,2.90,2.82
2.86,2.81,2.86,2.80
2.79,2.74,2.80,2.67
2.75,2.67,2.78,2.66
2.74,2.75,2.78,2.69
2.77,2.78,2.81,2.75
2.75,2.79,2.84,2.74
2.80,2.70,2.80,2.68
2.71,2.65,2.72,2.55
2.64,2.69,2.71,2.60
2.71,2.70,2.74,2.69
2.70,2.77,2.79,2.70
2.78,2.73,2.82,2.72
2.76,2.78,2.80,2.76
2.76,2.76,2.80,2.76
2.75,2.70,2.78,2.69
2.70,2.70,2.75,2.67
2.72,2.74,2.75,2.71
2.76,2.77,2.79,2.75
2.79,2.80,2.83,2.79
2.82,2.76,2.85,2.73
2.78,2.77,2.81,2.73
2.85,2.79,2.85,2.79
2.81,2.76,2.82,2.75
2.78,2.74,2.78,2.73
2.76,2.73,2.78,2.72
2.74,2.78,2.79,2.72
2.78,2.77,2.82,2.74
2.75,2.91,2.93,2.68
2.86,2.92,2.93,2.85
2.97,2.96,3.01,2.94
2.97,2.96,3.00,2.90
2.95,2.99,3.00,2.94
2.92,2.95,2.97,2.90
2.93,2.95,2.95,2.93
2.94,2.93,2.96,2.92
2.93,2.91,2.95,2.90
2.89,2.89,2.92,2.88
2.88,2.89,2.91,2.88
2.95,3.02,3.04,2.95
3.04,3.08,3.10,2.99
3.09,3.10,3.15,3.06
3.11,3.08,3.12,3.06
3.07,3.14,3.14,3.06
3.15,3.12,3.16,3.09
3.14,3.13,3.19,3.12
3.12,3.16,3.18,3.11
3.15,3.15,3.18,3.14
3.15,3.14,3.16,3.14
3.14,3.12,3.16,3.12
3.14,3.15,3.16,3.13
3.19,3.16,3.19,3.15
3.17,3.15,3.17,3.13
3.14,3.12,3.15,3.11
3.12,3.09,3.12,3.08
3.11,3.15,3.15,3.09
3.15,3.15,3.16,3.12
3.15,3.13,3.15,3.12
3.13,3.15,3.18,3.12
3.14,3.14,3.18,3.13
3.17,3.23,3.25,3.16
3.23,3.17,3.24,3.16
3.13,3.20,3.21,3.11
3.20,3.16,3.20,3.15
3.13,3.15,3.16,3.10
3.17,3.12,3.17,3.11
3.13,3.14,3.16,3.13
3.14,3.19,3.20,3.13
3.20,3.20,3.23,3.19
3.18,3.17,3.21,3.17
3.16,3.15,3.19,3.15
3.16,3.17,3.19,3.15
3.17,3.10,3.20,3.08
3.11,3.07,3.11,3.02
3.08,3.05,3.09,3.05
3.06,3.03,3.10,3.03
2.99,3.06,3.10,2.97
3.07,3.08,3.10,3.03
3.08,3.11,3.17,3.08
3.10,3.14,3.18,3.09
3.13,3.20,3.20,3.12
3.20,3.23,3.24,3.19
3.25,3.24,3.25,3.22
3.25,3.21,3.25,3.21
3.23,3.21,3.24,3.20
3.21,3.20,3.22,3.17
3.19,3.19,3.21,3.18
3.19,3.14,3.20,3.13
3.14,3.15,3.17,3.13
3.15,3.11,3.16,3.11
3.09,3.10,3.12,3.05
3.11,3.06,3.12,3.06
3.07,3.09,3.12,3.07
3.08,3.10,3.12,3.06
3.10,3.11,3.11,3.07
3.11,3.07,3.12,3.07
3.07,3.09,3.10,3.06
3.07,3.08,3.09,3.05
3.08,3.08,3.08,3.05
3.08,3.08,3.09,3.06
3.08,3.08,3.09,3.07
3.07,3.07,3.08,3.05
3.06,3.00,3.07,2.97
2.96,3.01,3.02,2.95
3.00,3.04,3.05,3.00
3.05,3.07,3.08,3.05
3.07,3.13,3.13,3.06
3.15,3.16,3.20,3.13
3.17,3.08,3.17,3.08
3.08,3.03,3.09,3.01
3.04,3.05,3.06,3.04
3.02,3.00,3.03,2.98
3.00,2.99,3.01,2.97
2.98,3.01,3.01,2.97
3.01,3.03,3.03,2.98
3.02,3.11,3.11,3.01
3.12,3.14,3.15,3.12
3.15,3.12,3.15,3.11
3.12,3.12,3.15,3.12
3.14,3.07,3.15,3.06
3.12,3.25,3.25,3.12
3.23,3.36,3.39,3.23
3.34,3.30,3.35,3.28
3.33,3.36,3.39,3.32
3.37,3.39,3.41,3.36
3.40,3.39,3.41,3.37
3.39,3.37,3.42,3.35
3.36,3.39,3.40,3.36
3.39,3.39,3.41,3.38
3.37,3.40,3.43,3.37
3.42,3.45,3.47,3.41
3.47,3.53,3.59,3.47
3.57,3.45,3.57,3.45
3.49,3.50,3.51,3.43
3.49,3.50,3.56,3.49
3.53,3.52,3.54,3.48
3.52,3.54,3.58,3.50
3.49,3.55,3.55,3.43
3.54,3.58,3.58,3.51
3.60,3.59,3.63,3.56
3.57,3.56,3.59,3.52
3.56,3.57,3.59,3.54
3.56,3.49,3.56,3.48
3.50,3.46,3.50,3.37
3.46,3.41,3.47,3.37
3.39,3.30,3.39,3.29
3.31,3.39,3.42,3.31
3.41,3.46,3.52,3.38
3.48,3.40,3.49,3.36
3.34,3.34,3.39,3.32
3.35,3.24,3.36,3.21
3.23,3.29,3.33,3.21
3.30,3.27,3.35,3.27
3.28,3.34,3.40,3.27
3.34,3.40,3.46,3.34
