KOF,Coca Cola Femsa S.A.B. de C.V.  Common Stock,NASDAQ
65.36,65.75,66.30,64.80
63.60,64.83,65.09,63.60
65.00,65.43,67.09,65.00
65.93,68.40,68.40,65.93
68.82,66.52,68.88,66.06
67.01,67.55,69.00,67.01
67.90,69.00,69.26,67.70
69.12,69.60,69.99,68.57
68.35,67.78,68.73,67.33
67.86,66.20,68.00,65.67
66.33,66.00,66.52,65.34
66.17,66.15,66.94,65.81
67.58,69.40,69.60,67.28
69.15,69.89,69.95,68.23
70.52,69.55,71.84,69.29
70.40,70.20,70.40,68.52
69.86,70.28,70.74,69.59
70.36,70.18,70.77,68.53
69.60,70.37,70.94,69.60
70.93,68.57,71.38,68.26
68.03,68.24,69.10,67.95
67.57,66.58,67.80,65.49
66.58,66.25,66.66,65.20
66.25,66.17,67.02,65.58
66.58,66.27,66.89,65.97
64.81,63.10,65.07,62.56
63.55,62.59,63.71,62.22
62.53,62.76,62.97,61.09
62.39,63.84,64.68,62.23
64.11,67.12,67.28,64.11
67.25,67.18,68.11,66.11
67.48,66.36,67.67,66.14
65.78,68.39,68.42,65.78
68.57,68.24,69.24,67.99
69.19,68.65,69.45,67.84
68.74,69.40,69.43,67.63
69.28,69.30,69.70,68.34
69.30,67.03,69.33,66.81
67.00,66.71,67.28,66.45
66.49,66.28,66.54,65.82
66.52,66.75,67.21,66.43
67.12,67.08,68.15,66.78
66.58,66.95,67.47,66.41
65.79,67.07,67.10,65.78
67.71,66.92,67.71,66.81
66.55,66.15,66.96,65.88
66.50,66.53,66.82,65.91
66.31,68.50,68.56,66.03
69.50,69.31,69.95,68.43
69.29,69.76,69.95,69.13
69.78,70.81,70.87,69.78
70.81,69.80,70.95,69.64
68.31,70.10,70.19,68.30
70.10,70.38,70.90,69.87
69.73,70.12,70.65,69.45
67.80,68.26,68.88,67.80
67.75,69.17,69.22,67.75
69.65,70.18,70.57,69.28
69.33,70.37,70.98,69.32
70.71,71.75,72.01,69.92
72.15,75.42,75.43,71.59
75.28,74.49,76.25,74.23
74.48,73.62,74.48,73.05
74.16,73.50,75.20,73.47
72.78,72.37,73.00,71.88
71.95,74.18,74.99,70.89
74.79,74.20,74.79,73.80
74.58,74.85,75.00,73.37
74.49,74.53,75.25,74.11
74.54,75.07,75.36,74.22
76.42,76.77,76.82,76.02
77.02,77.10,77.64,76.76
77.89,77.50,78.53,77.14
76.65,77.41,78.06,76.65
77.81,77.17,78.18,77.14
77.91,77.30,77.91,76.81
77.11,78.21,78.32,77.11
79.63,79.50,79.95,79.23
79.67,80.30,80.91,79.38
80.36,80.42,80.57,79.46
80.50,80.01,81.05,79.54
79.45,80.00,80.44,79.45
80.20,80.26,80.44,80.03
80.67,80.70,81.03,79.42
81.27,81.04,81.83,78.74
80.85,80.13,80.91,79.78
81.05,80.81,81.14,80.43
81.25,81.26,81.51,80.70
81.75,80.38,81.75,79.17
79.55,80.14,80.95,79.35
80.61,78.22,80.61,77.38
79.30,78.78,79.60,78.42
78.20,78.49,79.29,78.01
78.81,80.31,80.50,78.54
80.85,78.02,81.15,76.83
77.93,77.93,77.98,76.83
78.44,79.14,79.60,77.62
79.35,78.64,79.35,78.01
78.11,80.52,80.72,77.65
80.49,81.82,82.13,80.49
81.49,82.30,82.44,81.37
82.65,82.46,82.89,81.61
82.80,82.65,82.93,82.03
81.46,80.55,81.96,80.29
80.00,79.79,81.22,79.69
80.39,81.11,81.58,79.43
80.76,77.95,80.89,77.84
79.90,76.96,79.90,76.54
75.56,78.06,78.10,75.55
78.32,77.74,78.47,77.02
78.73,78.40,78.78,77.94
77.59,79.47,80.24,77.58
80.52,79.43,80.78,79.29
79.40,80.93,81.03,78.78
80.32,80.53,81.39,80.08
80.89,81.07,81.33,80.19
80.97,79.90,81.32,79.66
79.50,80.31,80.31,78.92
80.00,79.78,80.59,79.01
80.19,80.60,80.62,79.66
80.26,80.02,80.49,79.73
79.31,80.12,80.12,79.24
80.82,79.56,80.82,79.46
79.66,79.70,79.98,79.14
80.20,79.60,80.43,78.99
80.55,82.16,82.36,80.04
82.11,80.73,82.13,79.93
81.17,83.45,83.97,79.95
81.02,81.50,83.10,80.36
81.83,82.50,82.50,81.54
82.16,81.07,82.16,80.96
80.20,81.17,81.45,78.34
79.50,80.98,81.08,79.50
81.81,81.55,82.17,81.13
81.20,82.00,82.40,81.20
80.50,81.75,81.91,80.50
81.72,81.68,81.88,81.16
82.50,80.69,82.58,80.62
80.44,80.57,81.00,79.82
80.92,79.07,80.92,78.53
79.56,78.74,79.56,78.02
79.07,79.85,80.01,78.86
80.24,81.25,81.38,80.07
81.38,80.72,81.76,80.66
81.20,81.24,81.87,81.09
81.11,81.23,81.50,80.85
81.50,82.44,82.62,81.50
83.00,83.14,84.60,82.72
83.32,82.57,83.34,82.31
82.65,83.10,83.11,82.44
82.86,83.61,83.61,82.67
83.79,83.09,83.85,83.05
83.05,82.43,83.53,82.38
82.76,81.83,82.98,81.01
81.40,82.43,82.86,81.40
83.00,83.65,85.04,82.92
83.97,82.29,84.19,81.55
82.41,82.77,83.11,81.67
82.62,83.01,83.06,82.05
82.77,82.76,83.31,82.38
83.21,82.80,83.21,82.50
83.75,82.49,83.81,82.33
83.15,82.92,84.00,82.70
83.22,82.65,83.22,82.30
82.86,82.29,83.30,82.11
82.28,81.72,83.11,81.30
81.71,80.98,81.95,80.55
80.65,79.59,80.77,78.72
80.30,79.37,80.30,79.09
79.11,79.22,79.46,78.84
78.86,79.34,79.40,78.48
80.22,80.43,80.77,79.41
80.24,81.65,81.78,80.19
81.55,78.79,81.65,78.29
79.18,79.18,79.52,76.60
79.64,81.19,81.28,79.12
80.93,82.33,82.55,80.78
81.90,80.66,82.00,80.56
80.99,79.08,81.11,78.99
79.54,79.09,79.89,78.54
78.42,78.71,78.83,78.30
78.85,77.99,79.30,77.39
77.15,77.00,77.63,76.90
77.15,78.04,78.07,77.10
77.66,75.57,77.88,75.00
75.09,75.46,76.22,75.09
75.93,76.02,76.19,75.71
76.32,76.33,76.61,75.95
76.23,76.00,76.75,75.09
75.61,73.60,75.80,73.38
73.19,72.50,74.36,71.35
72.46,73.20,73.52,72.46
73.60,72.34,73.77,72.24
73.26,73.06,73.65,72.20
72.80,72.08,73.20,71.67
73.09,74.98,75.12,72.94
75.17,76.38,76.59,74.98
76.16,75.95,77.02,75.01
75.68,75.05,75.89,74.29
74.98,75.22,75.68,73.92
75.31,76.69,76.71,74.77
75.86,75.79,76.20,75.69
75.13,76.29,76.77,75.13
75.00,76.00,76.16,75.00
75.00,76.10,76.34,74.06
77.85,74.90,77.85,74.80
75.51,75.71,76.10,75.10
76.88,75.62,76.88,75.58
76.99,76.97,77.79,76.75
76.76,76.87,77.15,76.61
77.18,78.53,78.57,76.51
79.25,79.16,79.26,78.81
79.12,79.04,79.58,78.87
79.31,78.83,79.90,78.73
78.30,77.97,78.39,77.64
77.90,77.89,78.14,77.63
77.37,76.99,78.07,76.56
77.74,79.70,79.89,77.31
80.17,80.26,80.65,80.02
81.15,81.36,81.68,80.44
81.69,80.84,81.83,80.81
81.00,80.48,81.81,80.13
81.00,80.81,81.48,79.84
80.74,80.98,81.48,80.70
80.25,79.23,81.02,79.23
79.74,80.02,80.02,79.31
82.11,81.71,82.11,79.90
81.83,81.57,81.83,81.09
79.32,80.90,81.33,79.32
81.35,82.56,82.65,80.83
83.30,83.02,83.82,82.83
81.73,80.29,81.96,80.24
80.48,80.38,80.74,80.25
80.25,79.59,80.38,79.53
79.43,79.76,80.54,79.43
80.12,79.62,80.47,79.12
79.99,79.77,80.26,79.39
80.10,79.27,80.13,79.04
79.01,80.05,80.47,78.37
79.78,79.54,79.95,79.38
79.93,78.47,79.99,78.26
79.24,79.41,79.81,78.76
79.58,81.52,81.83,79.45
81.43,83.67,83.87,79.96
83.93,83.70,84.89,83.59
83.17,83.76,83.89,81.72
83.47,83.75,83.82,83.00
83.91,84.31,84.40,83.64
84.43,84.56,84.67,83.93
84.91,84.95,85.11,84.29
85.44,85.17,85.88,84.99
84.63,84.84,85.17,84.26
84.28,83.94,84.28,83.65
85.02,84.38,85.08,84.29
84.20,83.95,84.53,83.56
84.12,84.19,84.57,83.97
84.82,85.62,85.91,84.49
87.61,86.91,87.61,86.20
86.51,85.71,86.75,85.63
86.16,85.65,86.16,84.72
86.30,86.13,86.32,85.35
86.12,85.22,86.12,85.03
85.85,86.91,87.29,85.85
86.82,87.40,87.73,86.00
87.96,87.83,88.23,87.49
88.73,88.13,88.73,86.85
88.18,87.84,88.30,87.28
88.16,89.59,89.78,87.79
89.40,87.91,89.95,87.74
88.30,87.57,88.34,86.26
87.86,88.02,88.37,87.68
89.96,89.28,89.96,87.41
89.84,89.48,89.93,89.00
89.53,90.51,90.80,89.52
89.80,89.93,91.06,89.29
90.15,90.82,92.43,90.15
91.12,92.73,93.84,90.85
92.67,92.76,93.46,92.06
92.61,92.65,93.38,92.18
92.51,93.01,95.12,91.53
93.03,93.94,94.24,93.03
94.40,93.70,95.17,93.35
94.16,93.55,94.75,93.51
93.76,93.47,94.01,92.67
92.93,93.69,93.76,92.85
93.07,92.65,93.18,92.51
91.95,92.82,93.10,91.74
92.69,93.54,93.84,91.25
93.55,93.82,93.93,92.62
94.03,94.16,94.41,93.58
93.50,93.50,94.41,93.01
93.20,94.07,94.31,92.84
93.90,93.65,94.77,92.66
94.44,96.70,97.31,93.87
97.08,97.34,98.08,95.21
97.14,95.60,98.63,94.74
95.98,96.85,97.03,94.95
96.14,96.67,97.41,95.34
96.29,96.62,98.11,96.29
96.50,96.30,97.92,96.04
97.00,98.90,99.00,96.68
99.40,96.86,99.87,96.73
97.37,96.03,98.58,93.68
95.82,91.78,95.82,91.37
92.27,91.50,97.03,88.30
95.72,85.14,95.72,84.64
85.84,89.35,89.52,84.00
87.55,87.21,89.57,86.08
88.01,90.75,91.34,87.48
91.74,91.18,91.74,90.08
91.43,92.58,92.86,91.00
92.15,96.69,96.96,91.69
92.28,97.27,98.16,92.28
93.80,95.33,96.02,93.80
93.83,93.64,96.17,93.45
94.26,94.20,96.87,93.64
94.61,97.26,97.26,94.40
91.83,96.74,102.59,91.83
97.90,95.83,98.42,95.77
95.00,93.92,96.89,92.62
95.76,96.90,96.92,94.66
96.94,97.21,97.51,95.45
97.76,98.78,99.28,96.40
98.69,98.67,101.00,97.90
96.33,97.40,99.94,96.33
94.55,94.64,96.49,93.54
96.07,95.48,96.07,94.68
95.14,93.45,95.49,93.28
92.52,91.62,92.95,90.94
87.64,91.27,92.02,86.88
91.17,92.26,92.26,89.60
91.88,92.34,92.88,90.62
93.55,94.46,94.55,92.56
94.88,95.51,96.01,94.61
92.67,93.55,94.83,92.67
92.96,95.22,95.62,92.96
94.85,93.11,95.44,93.08
90.51,86.29,90.57,85.11
85.60,84.84,87.00,84.10
85.00,87.76,88.10,84.08
89.99,91.25,92.20,89.45
92.72,89.02,92.72,88.86
89.87,90.30,91.78,89.33
89.84,88.73,90.13,87.32
88.30,86.20,88.96,86.11
84.76,90.02,90.02,84.00
90.02,90.53,90.59,88.21
90.82,92.59,92.98,90.11
92.60,89.97,94.57,89.65
91.07,93.48,93.48,91.07
92.88,92.12,93.80,92.12
92.83,92.82,93.97,89.46
93.17,92.45,93.17,92.13
93.49,93.00,94.12,92.41
92.72,91.47,92.91,91.38
91.72,93.36,94.29,90.60
93.36,92.26,94.38,91.67
92.18,90.14,92.57,89.77
91.17,90.73,92.01,90.06
91.39,91.27,91.93,90.13
90.85,91.23,92.11,89.17
91.58,91.62,91.75,90.33
93.00,94.65,95.43,92.51
93.01,93.67,94.65,91.83
92.86,89.84,92.90,89.55
88.35,87.82,89.39,86.62
89.29,89.96,90.54,88.45
90.78,91.38,91.40,89.45
90.94,90.16,91.89,89.58
89.96,89.81,90.26,88.36
89.76,90.05,90.45,89.40
88.87,87.83,88.87,87.01
88.20,88.75,88.75,87.08
89.54,93.29,93.63,89.54
92.18,89.81,93.02,89.76
89.31,92.23,92.65,89.31
90.91,90.55,91.83,90.16
89.63,88.59,90.73,88.34
88.44,89.65,89.76,88.21
88.49,87.38,89.40,87.09
88.30,86.62,88.30,85.91
85.13,84.51,89.29,83.75
83.90,83.34,85.40,83.21
85.03,86.36,87.33,84.55
86.20,87.39,88.52,86.18
89.42,90.87,91.10,88.24
90.21,86.76,91.16,86.54
87.26,86.41,88.63,86.20
87.38,87.34,87.82,85.51
87.12,88.52,88.86,86.51
88.59,88.00,89.03,87.88
87.77,87.40,87.84,86.98
87.54,88.06,88.42,87.07
86.74,86.87,88.01,86.25
87.83,87.09,89.51,86.27
86.17,86.14,87.66,85.22
87.31,87.91,88.66,87.05
89.13,90.53,90.66,88.60
91.40,92.49,94.37,91.40
92.70,94.14,94.14,90.64
93.89,95.59,95.59,92.51
95.87,95.75,96.39,94.83
95.44,96.89,97.01,95.44
96.12,96.60,97.11,96.12
96.52,95.58,96.85,95.23
95.78,97.24,97.27,95.78
98.41,95.21,98.41,94.18
96.09,95.98,96.97,95.61
95.19,96.32,97.01,95.19
95.64,97.14,97.38,95.39
96.63,95.75,97.47,95.42
96.36,95.99,96.36,95.20
96.43,95.17,97.37,94.78
94.30,94.30,94.89,93.32
94.00,95.39,96.28,94.00
94.77,95.77,95.79,94.48
96.14,97.80,98.15,95.70
97.64,98.09,98.72,96.36
97.83,97.90,98.18,97.02
97.35,95.32,97.37,94.52
95.05,96.87,97.22,95.05
96.20,96.81,97.22,95.80
96.15,98.53,98.61,96.15
98.94,98.99,99.22,98.19
98.41,98.24,99.10,97.02
97.62,97.57,97.67,96.54
98.11,98.00,98.30,97.06
98.51,99.85,100.59,98.51
100.38,100.94,101.19,100.03
101.78,101.04,101.95,100.45
100.59,101.13,101.71,100.24
101.37,101.46,101.66,101.20
101.13,101.02,101.96,100.45
100.65,100.37,101.30,99.55
99.06,99.53,99.53,97.65
100.17,99.60,100.62,99.36
99.67,100.27,100.55,99.30
101.09,100.48,101.55,99.87
100.19,100.63,100.77,100.16
100.39,99.97,100.90,99.94
102.00,100.70,102.00,100.00
101.02,101.26,101.94,100.50
100.89,100.74,101.48,100.45
101.22,101.10,101.45,100.33
100.93,100.88,101.07,100.03
101.51,99.04,101.51,98.48
99.44,98.95,100.94,98.83
99.41,100.50,100.50,99.41
100.44,100.26,101.28,99.27
100.14,100.78,100.85,99.25
100.31,97.75,100.95,97.08
98.15,97.91,98.39,97.09
98.05,101.04,101.04,96.69
100.75,101.25,101.99,100.75
98.62,102.03,102.03,98.62
102.45,102.71,103.69,102.14
102.68,101.96,103.82,101.49
101.69,101.70,102.25,100.87
101.90,100.60,101.90,100.46
100.26,100.61,100.93,99.50
99.97,100.15,100.82,99.26
100.28,101.07,101.32,100.00
100.18,100.35,100.51,99.19
99.87,102.30,102.30,99.87
102.59,105.16,105.55,102.59
104.78,104.17,105.38,103.81
104.58,103.46,104.58,102.98
102.40,103.69,104.07,101.38
103.79,105.91,106.20,103.64
106.19,107.70,107.90,105.62
104.45,107.72,108.88,104.44
105.76,107.13,107.59,105.76
106.82,106.80,107.29,106.24
105.00,106.01,106.40,104.11
106.19,101.83,106.19,101.53
102.84,103.27,103.34,102.19
103.21,103.20,103.78,102.77
103.40,104.35,105.17,102.67
104.53,104.17,105.40,103.66
105.48,104.63,105.66,104.41
104.64,104.16,105.27,103.50
103.74,104.49,104.59,103.31
104.36,106.59,107.25,104.14
105.18,104.41,105.18,102.98
104.02,104.46,105.88,103.83
105.32,106.89,107.24,104.61
105.20,106.22,106.60,103.01
107.11,106.26,107.16,104.72
105.97,105.95,106.46,104.70
105.93,106.15,107.25,104.23
106.19,107.94,108.13,104.73
107.49,106.47,108.54,106.31
106.44,105.77,107.25,105.66
104.89,107.48,108.02,104.89
106.73,108.10,108.20,106.56
107.43,108.37,108.92,106.41
108.64,108.91,109.50,107.83
108.91,108.08,108.93,107.91
108.08,106.07,108.08,105.63
106.30,105.14,107.06,104.84
105.90,111.95,113.00,105.15
111.65,108.81,112.99,108.53
108.65,109.12,109.36,107.16
109.12,110.13,110.41,107.99
109.77,109.59,111.23,109.05
108.80,109.68,110.10,106.32
107.33,108.59,109.36,107.32
108.35,109.52,110.89,105.97
114.49,114.45,114.92,111.03
113.94,112.82,114.59,112.69
112.45,115.04,116.46,112.30
114.23,116.99,117.90,112.68
116.90,119.55,119.77,115.78
118.50,117.57,119.83,117.35
118.07,118.16,118.60,115.26
120.04,118.16,121.00,118.15
117.92,119.09,119.69,117.15
119.87,117.55,119.96,117.51
118.28,118.30,118.62,117.23
118.22,119.36,119.60,118.12
119.10,122.16,122.20,119.10
122.18,121.77,123.07,121.32
121.72,123.14,123.55,121.22
123.16,124.56,125.00,123.16
124.65,124.58,125.00,123.16
124.58,122.82,124.91,122.73
123.52,122.68,124.00,122.62
123.20,124.66,125.15,121.60
125.02,125.59,125.90,124.44
126.03,125.05,127.99,124.91
124.16,125.72,125.81,123.83
126.51,130.88,131.08,126.51
130.52,131.93,132.01,128.36
132.80,133.32,133.37,128.11
133.67,132.58,136.84,132.44
132.32,131.58,132.61,130.36
131.96,132.10,132.56,129.93
133.19,133.18,133.92,132.59
124.50,122.35,125.01,121.57
121.73,124.00,124.50,120.75
122.20,123.89,125.21,122.20
121.23,122.95,123.87,121.23
123.00,123.33,124.00,122.38
123.82,123.64,124.49,123.26
123.29,123.09,124.17,122.53
124.60,123.20,124.72,120.89
120.88,121.96,122.07,120.65
121.63,120.56,121.69,119.30
119.23,112.45,120.86,110.79
112.50,113.60,114.72,112.50
113.25,113.52,115.15,111.94
112.75,113.83,115.20,112.17
113.08,111.19,113.83,109.27
111.05,113.66,114.43,111.05
112.50,115.50,115.57,112.50
117.25,115.18,117.35,115.08
114.38,113.14,116.13,112.71
113.45,112.53,114.71,112.21
112.29,112.83,113.12,111.83
112.66,116.65,117.13,112.66
116.76,116.23,117.46,115.98
115.61,114.48,116.54,114.35
114.22,114.76,115.71,114.22
114.83,115.50,115.78,114.00
120.37,121.81,123.28,118.71
121.14,121.97,122.46,121.03
121.74,120.99,121.90,120.17
120.81,118.70,121.21,118.69
118.62,117.61,118.76,116.52
117.46,118.05,118.38,116.57
118.46,120.49,120.99,116.32
121.40,120.63,121.66,120.08
121.03,120.82,121.36,120.42
121.29,120.28,121.29,119.89
119.95,119.77,120.36,118.57
120.13,122.05,122.05,118.33
122.48,122.05,122.48,120.60
121.38,121.55,122.72,121.14
122.62,124.04,124.39,122.30
124.06,124.47,125.20,123.81
124.28,123.51,124.73,122.76
123.07,125.40,126.00,121.72
125.52,125.42,125.90,124.03
125.88,128.07,128.40,124.11
129.32,129.45,130.85,128.36
129.92,128.95,130.06,128.59
129.33,127.53,129.71,127.24
128.38,128.84,128.93,127.74
129.17,128.70,129.42,127.78
129.25,128.33,129.58,128.24
127.68,128.57,128.57,127.27
128.38,128.54,130.20,128.38
128.23,127.60,128.23,126.87
127.66,129.03,129.38,127.56
128.04,129.00,129.60,127.48
129.88,131.47,131.68,129.03
131.39,131.82,132.38,131.11
132.19,131.60,132.30,131.13
132.31,133.56,133.62,132.20
134.00,134.52,135.73,134.00
134.15,132.63,134.26,132.54
132.07,130.92,132.67,130.75
131.67,129.82,131.67,129.32
130.48,131.74,132.03,130.41
132.18,132.63,132.94,131.95
132.66,133.65,134.57,132.62
133.89,134.59,134.87,133.87
135.00,137.49,137.57,134.82
136.02,136.10,137.52,135.30
135.23,134.71,135.83,133.94
134.34,133.51,134.68,132.44
133.04,132.04,133.35,131.81
134.25,132.22,134.25,132.13
132.68,129.57,133.81,128.54
130.39,127.93,130.39,126.80
129.97,127.91,130.26,127.19
129.03,129.94,130.19,128.01
128.15,128.41,130.04,127.79
129.41,129.39,130.18,128.22
128.92,127.98,129.77,127.98
127.15,125.40,128.42,125.23
125.64,124.10,125.98,123.62
123.13,123.73,124.79,122.62
124.02,125.69,125.88,124.02
125.96,128.37,128.38,124.77
128.54,127.62,129.18,127.23
127.00,126.72,128.20,125.52
127.00,129.35,129.35,125.85
129.95,130.99,131.30,129.95
129.64,132.26,132.53,129.64
132.30,132.95,133.31,132.06
132.95,133.85,133.92,132.95
133.64,135.00,135.84,132.84
135.47,134.57,135.76,134.45
134.58,134.90,135.02,133.56
135.13,135.69,135.86,134.69
135.52,141.08,145.01,135.52
142.33,141.96,143.53,140.94
142.49,141.98,143.36,141.24
141.95,142.26,143.09,141.10
142.29,143.49,145.14,141.94
143.29,146.20,146.38,143.29
146.55,147.92,148.27,146.46
149.54,147.45,149.57,147.09
146.99,145.16,146.99,144.57
146.12,144.93,146.12,143.38
146.32,147.08,147.44,144.18
147.06,145.84,147.97,144.84
146.64,149.02,150.44,146.56
149.37,149.05,149.72,147.65
148.16,149.43,149.71,146.37
146.40,145.83,147.59,145.52
145.97,147.10,147.10,145.97
147.48,145.71,147.81,145.14
146.02,146.31,148.41,145.00
146.27,146.88,148.51,144.56
146.65,149.04,149.46,145.57
150.31,152.70,153.08,150.31
152.45,151.90,152.74,150.93
151.80,152.58,152.59,150.89
152.55,150.80,152.55,150.35
150.68,149.99,151.27,149.50
150.37,153.11,153.11,150.01
153.66,153.65,154.79,152.87
153.81,155.61,158.24,153.81
155.93,156.61,156.73,155.05
156.60,156.38,157.03,155.29
156.14,157.23,157.66,155.46
157.01,156.92,157.35,153.33
157.38,157.99,159.05,156.92
158.88,158.21,158.88,156.83
159.16,157.60,159.97,157.35
158.10,157.52,159.10,156.91
158.78,157.03,158.78,155.31
157.03,158.88,159.38,156.39
159.18,161.24,162.53,159.18
162.11,159.24,162.11,158.84
157.70,158.08,161.83,156.00
158.16,159.76,160.04,157.50
158.91,158.75,160.46,158.48
160.28,159.57,160.53,158.91
159.19,158.56,160.49,157.51
158.90,156.90,160.26,155.86
156.76,156.89,157.56,155.97
157.06,155.15,157.06,154.84
155.65,155.80,156.48,154.35
156.73,157.53,157.53,156.02
156.84,158.76,159.14,155.88
158.80,159.33,159.39,157.42
159.42,160.82,161.10,158.26
161.47,162.15,163.06,160.28
162.01,162.94,163.22,159.52
163.38,163.12,165.70,161.52
163.19,161.77,164.20,161.65
161.84,162.36,162.56,159.26
162.16,164.98,165.50,161.38
164.59,168.64,169.38,162.87
168.00,167.48,168.07,165.43
167.48,164.19,167.90,163.67
165.45,159.81,166.13,159.04
160.23,161.07,162.01,160.04
161.15,160.15,161.15,157.96
160.56,162.32,162.55,159.00
161.10,159.95,162.29,159.63
160.00,161.84,162.50,158.90
161.84,163.58,163.86,160.64
163.07,162.62,164.07,162.28
162.62,160.11,163.49,159.69
159.78,160.95,161.47,159.00
161.07,160.03,162.71,158.24
161.29,161.40,161.85,159.78
160.43,158.87,161.42,158.86
160.00,157.37,160.03,156.92
157.32,157.86,158.10,156.85
158.03,162.19,162.19,157.93
162.08,162.41,163.31,161.10
162.79,163.77,164.62,162.27
163.45,162.20,163.99,161.70
162.11,169.77,169.81,162.11
169.90,167.38,171.49,167.15
166.56,168.99,169.79,166.56
167.80,168.70,169.89,166.49
170.00,169.68,171.06,168.06
170.41,172.47,172.81,168.64
173.05,176.52,176.85,173.02
176.76,175.66,178.89,174.46
174.33,174.93,177.17,174.27
173.85,171.99,176.75,170.96
173.67,176.70,176.85,173.29
175.54,175.51,176.38,170.83
175.96,175.93,176.85,174.00
177.39,177.60,178.54,176.05
178.67,178.17,179.95,177.45
179.35,178.66,181.35,177.34
179.05,166.58,179.05,165.73
166.98,162.18,167.81,160.75
160.27,162.30,163.01,159.01
162.45,161.13,163.65,160.38
161.59,161.37,161.98,158.71
160.05,159.58,161.90,159.58
158.74,163.34,164.56,157.89
163.79,166.77,168.20,163.79
166.67,160.97,166.68,160.67
161.78,163.90,166.05,161.25
163.68,161.52,164.01,160.56
161.43,160.79,162.86,160.52
160.67,159.62,161.64,157.95
157.91,160.26,160.27,154.10
160.23,159.99,161.98,159.40
160.41,163.59,165.24,159.38
163.67,158.63,163.67,157.68
159.22,157.56,160.18,157.01
157.11,156.57,158.52,155.49
156.59,153.34,156.59,151.84
153.93,150.93,156.02,150.07
150.54,154.32,154.98,149.68
152.65,151.23,154.29,149.48
153.61,151.73,153.90,149.35
150.71,147.26,150.71,146.65
146.71,146.63,147.92,146.00
145.35,146.34,146.39,143.69
146.03,145.23,146.40,143.01
144.32,144.99,146.49,143.85
144.62,140.07,144.91,140.03
139.86,144.20,144.20,138.27
143.98,144.82,147.31,141.35
145.45,145.09,146.07,143.53
143.11,144.36,146.31,141.90
145.00,142.00,145.83,141.51
142.20,145.02,145.21,142.20
146.02,144.75,146.63,142.61
145.00,143.07,146.22,142.95
142.94,141.82,143.75,141.34
