EWM,iShares MSCI Malaysia Index Fund,NASDAQ
52.24,52.44,52.44,51.88
52.64,53.16,53.24,52.60
nan,53.44,nan,nan
53.04,53.04,53.32,52.96
53.32,53.00,53.32,52.88
53.44,53.36,53.76,53.28
nan,53.60,nan,nan
54.32,54.28,54.68,54.22
53.76,54.08,54.12,53.70
54.08,54.36,54.48,53.88
54.24,54.08,54.32,53.92
54.24,54.28,54.40,54.08
54.88,54.96,55.16,54.80
54.60,54.64,54.76,54.44
54.84,54.92,55.00,54.52
nan,54.52,nan,nan
55.00,54.56,55.00,54.48
54.68,55.52,55.60,54.60
55.48,55.56,55.72,55.08
55.36,55.48,55.64,55.20
55.72,56.12,56.24,55.72
55.76,55.80,56.04,55.44
55.72,56.24,56.36,55.52
56.64,56.36,56.92,56.20
56.36,56.52,56.56,56.32
55.68,56.00,56.00,55.44
56.52,56.44,56.52,56.10
56.76,56.96,57.28,56.60
N/A,N/A,N/A,N/A
58.00,58.36,58.38,57.88
57.92,58.08,58.08,57.76
58.08,57.96,58.20,57.68
58.20,58.36,58.44,58.08
58.40,58.40,58.60,58.20
57.52,57.72,57.72,57.36
58.08,58.00,58.24,57.72
57.80,57.56,57.80,57.28
57.76,57.44,57.76,57.28
57.08,57.56,57.68,56.80
57.92,58.04,58.12,57.68
58.28,58.16,58.48,58.06
58.00,58.08,58.18,57.76
58.08,58.16,58.30,57.96
58.24,58.20,58.40,58.16
57.76,58.28,58.36,57.76
58.24,58.12,58.24,57.92
58.84,58.68,59.04,58.52
59.00,59.08,59.20,58.90
59.16,59.20,59.24,58.96
59.24,59.00,59.24,58.88
58.36,57.96,58.44,57.76
58.08,58.44,58.44,57.96
58.80,59.08,59.08,58.60
59.12,59.04,59.12,58.88
58.28,58.08,58.32,57.84
58.00,58.48,58.56,57.84
58.12,57.80,58.24,57.76
58.12,58.24,58.36,57.92
58.08,58.12,58.20,57.88
57.92,58.24,58.50,57.76
57.64,57.40,57.64,57.32
57.64,57.52,57.76,57.44
57.36,57.36,57.56,57.08
57.60,57.92,57.92,57.44
58.00,58.56,58.56,58.00
58.28,57.96,58.28,57.88
58.04,57.60,58.04,57.36
57.52,57.64,57.76,57.22
58.28,58.44,58.60,58.12
58.60,59.24,59.48,58.58
59.24,59.00,59.28,58.60
58.24,58.40,58.40,57.92
58.08,58.44,58.62,58.04
57.84,58.12,58.24,57.76
