VBFC,Village Bank and Trust Financial Corp. - Common Stock,NASDAQ
3.10,3.11,3.11,3.10
3.11,3.11,3.11,3.11
3.11,3.11,3.11,3.11
3.11,3.11,3.11,3.11
3.04,3.04,3.04,2.90
2.92,2.99,2.99,2.90
2.90,2.90,2.90,2.90
2.90,2.90,2.90,2.90
2.90,2.90,2.90,2.90
2.90,2.90,2.90,2.90
2.90,2.90,2.90,2.90
2.90,2.50,2.90,2.49
2.46,2.51,2.51,2.46
2.29,2.52,2.52,2.29
2.87,2.50,2.88,2.42
2.50,2.50,2.50,2.50
2.50,2.65,2.65,2.50
2.65,2.65,2.65,2.65
2.86,2.65,2.90,2.60
2.65,2.65,2.65,2.65
2.29,2.55,2.55,2.28
2.77,2.77,2.77,2.77
2.77,2.77,2.77,2.77
2.70,2.70,2.70,2.70
2.70,2.70,2.70,2.70
2.90,2.88,2.90,2.85
2.88,2.88,2.88,2.88
2.55,2.71,3.00,2.55
2.90,2.67,2.95,2.56
2.76,2.88,2.88,2.76
2.82,2.78,2.86,2.75
2.89,2.80,2.90,2.80
2.65,2.65,2.65,2.65
2.65,2.65,2.65,2.65
2.88,2.90,2.90,2.88
2.90,2.90,2.90,2.90
2.90,2.90,2.90,2.90
2.90,2.90,2.90,2.90
2.65,2.65,2.65,2.65
2.58,2.52,2.70,2.51
2.52,2.52,2.52,2.52
2.52,2.52,2.52,2.52
2.50,2.60,2.60,2.40
2.60,2.60,2.60,2.60
2.60,2.60,2.60,2.60
2.41,2.40,2.45,2.40
2.39,2.39,2.39,2.39
2.25,2.30,2.30,2.25
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.25,2.20,2.25,2.20
2.08,2.15,2.40,2.08
2.14,2.00,2.14,1.86
2.00,1.90,2.05,1.90
1.80,1.80,1.80,1.64
1.90,1.72,1.90,1.70
1.82,1.75,1.82,1.65
1.75,1.65,1.75,1.65
1.75,1.70,1.75,1.70
1.60,1.60,1.60,1.60
1.57,1.73,1.73,1.57
1.62,1.52,1.65,1.52
1.50,1.52,1.60,1.49
1.58,1.60,1.60,1.55
1.60,1.60,1.60,1.60
1.60,1.55,1.75,1.51
1.55,1.60,1.60,1.55
1.60,1.51,1.60,1.50
1.51,1.40,1.56,1.35
1.40,1.45,1.45,1.39
1.45,1.45,1.45,1.45
1.45,1.45,1.45,1.45
1.47,1.53,1.53,1.46
1.58,1.70,1.80,1.58
1.79,1.75,2.02,1.75
1.75,1.60,1.75,1.55
1.60,1.60,1.60,1.60
1.75,1.75,1.75,1.74
1.75,1.68,1.75,1.68
1.60,1.66,1.67,1.60
1.65,1.65,1.65,1.65
1.65,1.65,1.65,1.65
1.87,1.45,1.87,1.45
1.48,1.48,1.48,1.48
1.50,1.50,1.54,1.50
1.70,1.56,1.75,1.56
1.60,1.46,1.60,1.46
1.50,1.57,1.57,1.46
1.59,1.48,1.83,1.48
1.57,1.57,1.57,1.57
1.57,1.57,1.57,1.57
1.60,1.56,1.60,1.56
1.56,1.60,1.60,1.56
1.61,1.61,1.61,1.61
1.73,1.76,1.86,1.73
1.78,1.82,1.82,1.60
1.83,1.88,1.90,1.81
1.70,1.78,1.78,1.70
1.72,1.92,1.92,1.68
1.90,1.98,1.98,1.90
1.98,1.98,1.98,1.98
1.97,1.97,1.97,1.97
1.83,1.70,2.00,1.70
1.71,1.70,1.72,1.70
1.70,1.70,1.79,1.70
1.99,1.79,1.99,1.69
1.78,1.70,1.80,1.70
1.96,1.98,1.98,1.90
1.98,1.98,1.98,1.98
1.98,1.98,1.98,1.98
1.77,1.77,1.77,1.77
1.79,1.75,1.79,1.75
1.71,1.80,1.80,1.71
1.70,1.70,1.79,1.70
1.61,1.70,1.70,1.61
1.70,1.70,1.70,1.70
1.70,1.69,1.70,1.68
1.70,1.70,1.70,1.70
1.66,1.63,1.66,1.63
1.64,1.65,1.65,1.62
1.56,1.60,1.75,1.48
1.69,1.54,1.69,1.51
1.51,1.50,1.58,1.50
1.61,1.63,1.75,1.61
1.75,1.59,1.75,1.59
1.55,1.52,1.60,1.50
1.60,1.57,1.75,1.57
1.52,1.50,1.56,1.50
1.42,1.41,1.50,1.35
1.37,1.38,1.45,1.36
1.38,1.40,1.46,1.36
1.38,1.43,1.43,1.38
1.42,1.45,1.45,1.42
1.45,1.49,1.68,1.45
1.55,1.60,1.60,1.55
1.56,1.60,1.68,1.54
1.60,1.85,1.85,1.60
1.95,2.16,2.21,1.80
2.25,2.50,2.56,2.25
2.50,2.37,2.50,2.30
2.38,2.37,2.38,2.33
2.37,2.37,2.37,2.37
2.28,2.28,2.28,2.28
2.30,2.20,2.38,2.20
2.26,2.61,2.62,2.26
2.62,2.35,2.62,2.35
2.55,2.41,2.55,2.40
2.45,2.66,2.68,2.45
3.09,2.75,3.56,2.45
2.58,2.54,2.60,2.50
2.50,2.60,2.60,2.50
2.75,2.75,2.75,2.73
2.65,2.86,2.99,2.65
2.86,2.86,2.86,2.86
2.85,2.70,2.85,2.70
2.75,2.75,2.85,2.74
2.75,2.75,2.75,2.75
2.65,2.92,2.93,2.65
2.77,2.77,2.87,2.75
2.77,2.95,3.43,2.77
3.22,3.85,3.85,3.22
4.00,3.53,4.00,3.52
3.53,2.96,3.55,2.93
2.95,3.08,3.43,2.91
3.03,2.96,3.23,2.91
3.28,3.09,3.28,2.94
3.43,3.35,3.43,3.01
3.42,3.50,3.65,3.34
3.46,3.05,3.54,3.01
3.14,3.02,3.14,3.02
2.92,2.91,2.99,2.75
3.00,3.12,3.12,3.00
3.00,2.86,3.01,2.80
2.93,2.91,2.94,2.91
2.77,2.82,2.82,2.77
2.87,3.00,3.03,2.87
3.36,3.15,3.60,3.06
3.09,3.08,3.09,3.08
3.14,3.01,3.15,3.01
3.01,3.00,3.47,2.85
3.00,3.00,3.04,3.00
3.10,3.00,3.10,3.00
3.48,3.11,3.48,3.05
3.10,3.00,3.25,2.75
3.12,3.29,3.39,3.02
3.01,3.06,3.06,3.00
3.06,3.06,3.06,3.06
3.06,3.00,3.06,3.00
3.03,3.00,3.03,3.00
3.10,2.95,3.10,2.95
2.98,3.00,3.00,2.95
3.39,3.15,3.39,3.01
3.15,3.15,3.15,3.15
2.97,3.00,3.00,2.95
3.00,3.00,3.00,3.00
3.19,2.95,3.19,2.95
2.95,2.95,2.95,2.95
3.01,2.98,3.04,2.95
2.95,2.98,2.98,2.90
2.93,3.01,3.19,2.93
2.91,3.00,3.07,2.91
2.99,2.99,3.00,2.90
2.80,2.80,2.80,2.80
2.95,2.82,2.95,2.82
2.73,2.75,2.75,2.70
2.75,2.90,2.95,2.75
2.70,2.78,2.91,2.70
2.77,2.77,2.77,2.77
2.99,2.99,2.99,2.99
3.00,2.95,3.00,2.95
2.81,2.79,2.97,2.70
2.78,2.72,2.95,2.71
2.72,2.72,2.72,2.72
2.94,2.60,2.94,2.60
2.75,2.75,2.75,2.64
2.94,2.85,2.94,2.76
2.84,2.74,2.84,2.74
2.72,2.93,2.93,2.65
2.91,2.90,2.91,2.70
2.93,2.93,2.94,2.91
2.93,2.93,2.93,2.93
2.97,2.87,2.97,2.86
2.73,2.78,2.78,2.73
2.85,2.85,2.85,2.78
2.79,2.85,2.85,2.79
2.97,2.90,2.97,2.90
2.90,2.90,2.90,2.80
2.97,2.90,2.97,2.90
2.90,2.90,2.90,2.85
2.85,2.87,2.87,2.75
2.90,2.85,2.90,2.85
2.85,2.85,2.85,2.85
2.85,2.85,2.85,2.85
2.85,2.85,2.85,2.85
2.70,2.70,2.70,2.70
2.71,2.75,2.79,2.70
2.75,2.75,2.75,2.75
2.75,2.75,2.75,2.75
2.91,2.91,2.91,2.91
2.91,2.91,2.91,2.91
2.75,2.76,2.80,2.75
2.75,2.75,2.75,2.75
2.76,2.78,2.78,2.76
2.78,2.78,2.78,2.78
2.75,2.87,2.88,2.75
2.87,2.87,2.87,2.87
2.87,2.87,2.87,2.87
2.76,2.76,2.77,2.76
2.80,2.81,2.98,2.80
2.76,3.00,3.00,2.75
2.76,2.75,2.85,2.75
2.75,2.75,2.75,2.75
2.75,2.68,2.76,2.50
2.62,2.62,2.62,2.62
2.55,2.45,2.55,2.45
2.58,2.33,2.58,2.33
2.33,2.33,2.35,2.08
2.17,2.03,2.17,2.03
2.03,2.30,2.30,2.00
2.30,2.40,2.40,2.21
2.44,2.70,2.80,2.44
2.70,2.70,2.70,2.70
2.50,2.85,2.85,2.50
2.48,2.48,2.50,2.48
2.60,2.60,2.61,2.60
2.60,2.54,2.60,2.54
2.56,2.54,2.56,2.53
2.54,2.54,2.54,2.54
2.57,2.60,2.60,2.57
2.59,2.85,2.85,2.59
2.85,2.55,2.85,2.55
2.55,2.98,2.98,2.55
2.97,2.97,2.97,2.97
2.87,2.90,2.90,2.87
2.90,2.90,2.90,2.90
2.39,2.80,2.90,2.39
2.61,2.61,2.85,2.53
2.61,2.58,2.80,2.51
2.63,2.64,2.73,2.60
2.62,2.66,2.81,2.60
2.64,2.70,2.77,2.63
2.60,2.58,2.62,2.58
2.58,2.52,2.60,2.51
2.69,2.50,2.69,2.50
2.18,2.20,2.22,2.15
2.21,2.24,2.40,2.21
2.60,2.20,2.60,2.20
2.21,2.21,2.21,2.21
2.21,2.21,2.21,2.21
2.28,2.47,2.52,2.25
2.19,2.20,2.20,2.10
2.40,2.35,2.40,2.35
2.35,2.35,2.35,2.35
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.29,2.30,2.30,2.29
2.30,2.30,2.30,2.30
2.05,2.10,2.11,2.05
2.29,2.30,2.30,2.29
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.10,2.29,2.29,2.10
2.29,2.29,2.29,2.29
2.29,2.29,2.29,2.29
2.29,2.29,2.29,2.29
2.10,2.12,2.12,2.10
2.12,2.12,2.12,2.12
2.12,2.12,2.12,2.12
2.11,1.90,2.12,1.82
1.90,1.90,1.90,1.90
1.66,1.80,1.90,1.63
2.01,1.71,2.01,1.71
1.71,1.71,1.71,1.71
1.71,1.71,1.71,1.71
1.93,1.98,1.98,1.93
1.78,1.75,1.80,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.88,1.88,1.88,1.88
1.88,1.88,1.88,1.88
1.87,1.75,1.87,1.70
1.72,1.65,1.72,1.62
1.65,1.65,1.65,1.65
1.65,1.65,1.65,1.65
1.65,1.88,1.90,1.65
1.88,1.88,1.88,1.88
1.66,1.65,1.66,1.65
1.65,1.65,1.65,1.65
1.65,1.65,1.65,1.65
1.65,1.65,1.65,1.65
1.96,2.20,2.20,1.64
2.20,2.20,2.20,2.20
1.91,1.75,1.91,1.74
1.75,1.75,1.75,1.75
1.70,1.95,2.00,1.67
2.00,2.35,2.40,2.00
2.35,2.35,2.35,2.35
1.97,2.15,2.35,1.75
2.15,2.15,2.15,2.15
1.84,2.07,2.26,1.84
1.84,2.00,2.00,1.84
2.03,1.91,2.03,1.79
2.13,2.13,2.13,2.13
2.13,2.13,2.13,2.13
1.78,1.83,1.90,1.77
2.00,1.81,2.00,1.81
1.81,1.81,1.81,1.81
1.81,1.81,1.81,1.81
1.85,1.85,1.85,1.85
1.87,1.92,1.92,1.85
1.95,1.73,1.95,1.72
1.72,1.80,1.80,1.70
1.72,1.70,1.73,1.70
1.78,2.06,2.06,1.78
1.80,1.83,1.83,1.80
1.83,1.83,1.83,1.83
1.83,1.83,1.83,1.83
1.83,1.83,1.83,1.83
1.83,1.83,1.83,1.83
1.80,1.67,1.81,1.67
1.67,1.63,1.67,1.59
1.52,1.50,1.52,1.50
1.55,1.75,1.75,1.52
1.52,1.52,1.57,1.52
1.50,1.60,1.70,1.50
1.51,1.51,1.52,1.51
1.65,1.44,1.65,1.43
1.49,1.45,1.50,1.45
1.40,1.45,1.50,1.40
1.45,1.45,1.45,1.45
1.40,1.40,1.40,1.40
1.40,1.35,1.40,1.35
1.35,1.35,1.35,1.35
1.40,1.35,1.82,1.35
1.27,1.37,1.37,1.27
1.35,1.35,1.55,1.35
1.37,1.41,1.55,1.35
1.37,1.35,1.40,1.35
1.46,1.36,1.46,1.36
1.35,1.27,1.39,1.25
1.28,1.25,1.28,1.20
1.24,1.13,1.24,1.13
1.15,1.25,1.25,1.15
1.31,1.32,1.32,1.25
1.25,1.20,1.25,1.20
1.25,1.20,1.25,1.20
1.39,1.21,1.40,1.21
1.20,1.26,1.26,1.20
1.27,1.29,1.29,1.27
1.20,1.28,1.28,1.20
1.20,1.20,1.20,1.20
1.17,1.17,1.17,1.17
1.17,1.17,1.17,1.17
1.20,1.20,1.20,1.20
1.25,1.20,1.42,1.20
1.40,1.35,1.40,1.35
1.76,2.04,2.39,1.73
2.03,2.33,2.60,2.00
2.60,1.85,2.60,1.65
1.86,1.86,1.90,1.86
1.71,1.85,1.85,1.67
1.80,1.80,1.95,1.67
1.82,1.70,1.82,1.70
1.72,1.62,1.76,1.58
1.53,1.79,1.81,1.53
1.80,1.75,1.80,1.62
1.83,1.66,1.83,1.62
1.65,1.66,1.68,1.65
1.67,1.67,1.67,1.62
1.69,1.70,1.71,1.65
1.59,1.60,1.60,1.59
1.59,1.60,1.60,1.54
1.68,1.74,1.75,1.68
1.73,1.60,1.73,1.60
1.64,1.64,1.64,1.64
1.60,1.62,1.62,1.60
1.62,1.62,1.62,1.62
1.64,1.65,1.76,1.62
1.65,1.60,1.65,1.60
1.61,1.61,1.61,1.61
1.61,1.61,1.61,1.61
1.61,1.61,1.61,1.61
1.61,1.60,1.61,1.60
1.60,1.60,1.60,1.60
1.60,1.43,1.60,1.41
1.48,1.58,1.60,1.28
1.59,1.54,1.59,1.54
1.54,1.54,1.54,1.54
1.55,1.55,1.55,1.55
1.52,1.52,1.52,1.52
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.55,1.53,1.55,1.53
1.55,1.40,1.60,1.40
1.65,1.65,1.65,1.65
1.43,1.49,1.49,1.43
1.66,1.48,1.81,1.45
1.43,1.43,1.43,1.43
1.50,1.57,1.57,1.50
1.59,1.59,1.59,1.59
1.59,1.59,1.59,1.59
1.45,1.44,1.45,1.42
1.43,1.46,1.78,1.42
1.68,1.71,1.81,1.52
1.70,1.98,2.75,1.70
2.14,1.80,2.14,1.80
1.80,1.60,1.80,1.60
1.56,1.50,1.78,1.46
1.50,1.67,1.67,1.50
1.44,1.47,1.59,1.43
1.55,1.44,1.55,1.44
1.54,1.56,1.56,1.44
1.50,1.56,1.56,1.50
1.50,1.56,1.56,1.44
1.55,1.55,1.56,1.55
1.51,1.42,1.55,1.42
1.49,1.46,1.49,1.46
1.46,1.56,1.56,1.46
1.46,1.48,1.48,1.42
1.48,1.48,1.48,1.48
1.48,1.48,1.48,1.48
1.55,1.50,1.55,1.48
1.49,1.49,1.49,1.49
1.48,1.55,1.55,1.48
1.55,1.46,1.55,1.45
1.47,1.47,1.47,1.47
1.45,1.55,1.55,1.45
1.55,1.43,1.55,1.43
1.43,1.40,1.53,1.35
1.39,1.37,1.39,1.36
1.37,1.40,1.40,1.37
1.37,1.37,1.37,1.37
1.40,1.23,1.45,1.23
1.35,1.25,1.35,1.25
1.32,1.26,1.32,1.26
1.27,1.25,1.27,1.15
1.39,1.30,1.40,1.30
1.30,1.36,1.37,1.30
1.30,1.40,1.40,1.30
1.40,1.40,1.40,1.40
1.31,1.47,1.47,1.17
1.45,1.25,1.45,1.25
1.46,1.30,1.46,1.30
1.30,1.30,1.30,1.30
1.29,1.20,1.31,1.20
1.24,1.25,1.25,1.24
1.25,1.25,1.25,1.25
1.31,1.31,1.31,1.31
1.43,1.20,1.47,1.20
1.45,1.20,1.45,1.20
1.26,1.26,1.26,1.26
1.28,1.26,1.28,1.24
1.25,1.25,1.27,1.25
1.25,1.25,1.25,1.25
1.25,1.25,1.25,1.25
1.25,1.25,1.25,1.25
1.25,1.25,1.25,1.25
1.25,1.25,1.25,1.25
1.25,1.25,1.25,1.25
1.37,1.37,1.37,1.37
1.33,1.30,1.33,1.30
1.30,1.37,1.37,1.30
1.38,1.38,1.38,1.38
1.38,1.38,1.38,1.38
1.38,1.38,1.38,1.38
1.38,1.38,1.38,1.38
1.35,1.25,1.35,1.25
1.29,1.25,1.29,1.25
1.25,1.25,1.25,1.25
1.26,1.25,1.26,1.25
1.26,1.40,1.40,1.26
1.38,1.25,1.38,1.25
1.25,1.22,1.25,1.21
1.24,1.21,1.24,1.21
1.25,1.25,1.25,1.25
1.23,1.21,1.23,1.21
1.21,1.21,1.21,1.15
1.14,1.10,1.20,1.10
1.19,1.19,1.27,1.19
1.18,1.42,1.42,1.18
1.46,1.46,1.46,1.46
1.30,1.04,1.31,1.03
1.07,1.06,1.07,1.06
1.07,1.07,1.07,1.06
1.07,1.07,1.07,1.06
1.26,1.20,1.26,1.20
1.25,1.25,1.27,1.10
1.20,1.15,1.20,1.01
1.18,1.18,1.18,1.18
1.15,1.15,1.15,1.15
1.11,1.11,1.11,1.11
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.10,1.00,1.10,1.00
1.00,1.00,1.01,1.00
0.99,1.00,1.00,0.98
0.82,1.00,1.00,0.82
1.00,0.98,1.00,0.98
0.99,0.99,1.00,0.99
1.00,1.00,1.00,1.00
1.09,1.00,1.09,1.00
1.09,1.00,1.09,1.00
1.09,1.00,1.09,1.00
1.00,1.00,1.00,1.00
1.03,1.01,1.03,1.00
1.01,1.01,1.01,1.01
1.01,1.01,1.01,1.01
1.09,1.02,1.09,1.02
1.02,1.02,1.02,1.02
1.02,1.02,1.02,1.02
1.00,1.05,1.05,1.00
1.02,1.00,1.02,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.08,1.08,1.00
1.08,0.95,1.08,0.95
1.04,0.95,1.05,0.90
0.90,0.99,0.99,0.90
0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99
1.01,1.01,1.01,1.01
1.09,1.08,1.09,1.08
1.08,1.08,1.08,1.08
1.10,1.10,1.10,1.10
1.00,1.10,1.10,1.00
1.05,1.00,1.09,1.00
0.96,0.96,0.96,0.96
0.96,0.96,0.96,0.96
1.00,1.00,1.00,1.00
1.00,1.05,1.05,1.00
1.05,1.05,1.05,1.05
1.02,0.96,1.02,0.96
0.96,0.96,0.96,0.96
1.05,1.05,1.05,1.05
1.05,1.05,1.05,1.05
1.05,1.05,1.05,1.05
1.00,1.00,1.00,1.00
1.00,1.01,1.05,1.00
1.05,1.05,1.05,1.05
1.04,1.04,1.05,1.04
1.05,1.05,1.05,1.04
0.98,0.98,0.98,0.98
0.98,0.98,0.98,0.98
0.98,0.98,0.98,0.98
1.04,1.04,1.04,1.04
0.98,0.92,0.98,0.92
0.98,1.00,1.00,0.98
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
0.89,0.98,0.98,0.87
0.98,0.98,0.98,0.98
0.98,0.98,0.98,0.98
0.98,0.98,0.98,0.98
0.98,0.98,0.98,0.98
0.85,0.85,0.86,0.85
0.85,0.78,0.85,0.71
0.85,0.86,0.86,0.85
0.85,0.84,0.85,0.84
0.84,0.84,0.84,0.84
0.84,0.75,0.84,0.75
0.75,0.75,0.75,0.75
0.75,0.61,0.75,0.61
0.75,0.96,0.96,0.75
0.98,0.90,0.98,0.74
0.86,0.86,0.90,0.86
0.86,0.86,0.86,0.86
0.86,0.86,0.86,0.86
0.89,0.89,0.89,0.89
0.94,0.97,0.98,0.94
0.98,1.05,1.20,0.98
1.13,1.10,1.13,1.09
1.25,1.25,1.38,1.20
1.30,1.35,1.35,1.11
1.35,1.35,1.45,1.25
1.19,1.16,1.19,1.16
1.17,1.17,1.17,1.17
1.17,1.17,1.17,1.17
1.17,1.12,1.17,1.11
1.30,1.25,1.32,1.23
1.25,1.25,1.25,1.25
1.12,1.09,1.25,1.00
1.02,1.01,1.02,1.01
1.01,1.01,1.09,1.01
1.01,0.99,1.01,0.99
0.99,0.99,1.00,0.99
0.99,1.00,1.00,0.99
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
0.99,0.87,0.99,0.87
0.94,0.98,1.00,0.94
0.94,0.95,0.98,0.94
0.96,0.98,0.98,0.96
1.00,1.11,1.11,1.00
1.15,1.25,1.25,1.15
1.22,1.32,1.36,1.18
1.32,1.32,1.32,1.32
1.19,1.18,1.19,1.18
1.05,1.05,1.34,1.05
1.05,1.05,1.05,1.05
1.25,1.07,1.25,1.07
1.07,1.08,1.08,1.07
1.03,1.25,1.25,1.03
1.25,1.25,1.25,1.06
1.25,1.25,1.25,1.25
1.24,1.25,1.25,1.23
1.25,1.25,1.25,1.25
1.25,1.25,1.27,1.25
1.27,1.27,1.27,1.21
1.30,1.27,1.30,1.27
1.27,1.53,1.60,1.27
1.50,1.32,1.59,1.25
1.30,1.35,1.49,1.26
1.43,1.44,1.44,1.43
1.35,1.47,1.49,1.35
1.50,1.52,1.59,1.47
1.54,1.50,1.54,1.47
1.51,1.71,1.71,1.46
1.75,1.54,1.75,1.51
1.57,1.64,1.69,1.57
1.51,1.70,1.70,1.51
1.61,1.80,1.80,1.61
1.88,2.03,2.03,1.80
2.09,2.57,2.57,2.02
2.57,2.41,2.57,2.30
2.36,2.04,2.36,2.04
2.12,2.39,2.39,2.12
2.43,2.35,2.43,2.35
2.30,2.20,2.30,2.20
2.33,2.35,2.35,2.30
2.24,2.32,2.35,2.19
2.20,2.20,2.27,2.20
2.29,2.28,2.29,2.20
2.28,2.28,2.28,2.28
2.29,2.27,2.29,2.26
2.27,2.25,2.35,2.25
2.25,2.25,2.35,2.25
2.25,2.05,2.27,2.05
2.05,2.06,2.08,2.05
2.06,2.31,2.31,2.06
2.13,2.13,2.26,2.13
2.24,2.15,2.28,2.15
2.16,2.16,2.16,2.16
2.28,2.22,2.31,2.20
2.32,2.10,2.33,2.08
2.08,1.84,2.10,1.70
1.83,1.67,1.83,1.55
1.57,1.68,1.74,1.57
1.60,1.98,2.14,1.60
1.97,1.98,1.98,1.97
2.11,2.14,2.15,2.10
2.15,2.17,2.17,2.15
2.13,2.00,2.13,2.00
1.90,2.03,2.03,1.90
1.97,1.98,2.00,1.91
2.00,1.99,2.01,1.99
1.99,1.92,1.99,1.90
1.94,2.19,2.19,1.94
2.00,2.00,2.36,1.91
2.00,2.00,2.00,2.00
2.00,2.02,2.02,2.00
2.02,2.03,2.04,2.02
2.09,2.14,2.14,1.97
2.05,2.05,2.05,2.05
2.36,2.25,2.36,2.01
2.27,2.27,2.27,2.27
2.36,2.36,2.36,2.36
2.22,2.09,2.22,2.05
2.09,2.09,2.09,2.09
2.00,2.15,2.15,2.00
2.14,2.02,2.15,2.02
2.02,2.02,2.02,2.02
2.05,2.04,2.23,2.04
2.03,2.05,2.24,2.03
2.06,2.05,2.06,2.05
2.03,2.03,2.20,2.03
2.04,2.04,2.04,2.04
2.05,2.05,2.05,2.05
2.03,2.03,2.10,2.03
2.03,1.97,2.12,1.97
2.02,1.97,2.02,1.97
1.97,1.97,1.97,1.97
2.00,2.01,2.01,2.00
2.01,2.15,2.15,2.01
2.10,2.00,2.14,2.00
2.00,1.99,2.00,1.90
1.81,1.88,1.88,1.81
1.93,1.75,1.93,1.68
1.86,1.70,1.88,1.70
1.71,1.87,1.88,1.71
1.86,1.70,1.86,1.70
1.70,1.88,1.88,1.70
1.89,1.89,1.89,1.89
1.81,1.80,1.81,1.80
1.79,1.93,1.93,1.79
1.92,1.90,1.92,1.85
1.86,1.85,1.86,1.85
1.77,1.83,1.83,1.77
1.83,1.89,1.90,1.83
1.89,1.89,1.89,1.89
1.79,1.81,1.98,1.79
1.85,1.85,1.85,1.85
1.94,1.91,1.94,1.91
1.91,1.91,1.91,1.91
1.91,1.91,1.91,1.91
1.98,1.95,1.98,1.79
2.10,1.76,2.10,1.76
1.95,1.74,1.95,1.74
