BIO,Bio-Rad Laboratories,NASDAQ
99.36,99.86,99.98,98.63
99.91,99.84,101.37,99.84
100.10,97.41,100.10,96.19
97.56,99.10,99.55,97.34
98.82,101.32,101.66,98.78
101.07,104.79,104.98,101.07
105.13,105.00,105.75,103.74
104.47,104.75,105.13,104.16
103.78,103.11,104.53,102.89
103.68,101.56,104.34,100.79
102.30,104.91,105.38,101.82
104.78,104.66,104.95,103.51
106.25,104.79,106.91,104.73
104.18,104.92,105.07,104.12
104.42,104.47,104.91,103.73
105.01,104.97,105.07,103.92
105.17,103.45,105.17,102.76
103.07,103.08,103.33,102.05
104.03,104.01,104.54,103.40
103.84,103.98,104.29,103.11
104.27,103.39,104.27,102.96
103.66,104.22,105.64,103.24
104.49,103.52,104.49,102.42
103.55,102.25,103.87,101.88
102.21,102.04,102.86,101.00
101.86,104.33,104.53,101.55
100.10,101.11,102.27,100.00
100.74,102.14,102.44,99.75
101.65,103.24,103.49,100.54
102.91,101.92,103.31,101.92
102.31,102.86,103.54,101.78
102.57,101.81,103.16,101.58
101.81,101.62,103.31,101.36
100.76,100.69,101.31,99.63
100.78,102.34,102.56,100.27
102.71,103.12,103.95,101.57
103.12,103.82,104.93,103.12
103.77,103.29,104.14,103.13
103.41,104.58,104.75,103.24
104.52,103.10,104.52,102.79
103.27,104.06,104.16,102.57
104.07,104.46,104.52,103.66
104.27,105.67,106.28,104.03
104.90,103.13,104.97,103.13
103.27,102.87,103.65,102.66
102.27,102.00,102.55,101.08
101.97,101.61,102.00,101.22
102.41,103.42,103.75,102.16
103.57,103.81,104.27,103.23
103.74,102.95,103.74,102.31
102.42,102.89,103.29,102.01
103.59,103.69,104.34,103.31
103.24,102.92,103.48,102.70
103.15,114.25,118.00,103.15
112.97,113.05,116.00,112.33
112.58,112.27,113.33,111.98
110.50,110.62,111.99,110.02
110.34,108.08,110.34,108.08
109.10,108.57,110.74,108.30
108.72,109.24,110.45,108.37
108.86,106.80,109.47,106.58
107.47,106.07,107.81,105.79
106.81,108.07,108.48,106.81
107.50,107.80,108.33,106.92
107.77,107.82,109.15,107.34
107.82,107.38,108.18,107.06
106.37,106.14,106.47,104.46
106.09,106.32,108.68,105.50
107.00,108.24,108.76,106.12
108.08,108.20,108.88,107.72
108.60,109.01,109.73,108.05
108.75,107.99,109.21,107.73
107.92,108.15,109.48,107.57
102.74,105.77,106.15,102.74
106.08,105.11,106.78,104.82
104.73,103.75,104.78,103.62
103.66,103.55,104.27,102.78
102.84,102.75,103.35,101.63
101.75,103.13,103.37,101.50
103.75,103.53,104.53,102.45
102.98,103.43,104.89,102.98
102.73,101.63,102.73,101.31
101.78,100.11,101.78,99.79
100.12,100.04,100.78,99.40
100.35,99.54,100.46,99.00
99.75,97.87,99.90,97.54
98.07,99.89,100.23,97.64
99.91,100.04,101.11,99.42
99.37,100.30,100.51,98.53
100.70,102.02,102.09,99.81
101.58,101.39,101.91,100.98
102.14,102.18,103.03,101.48
101.17,100.19,101.54,99.66
100.38,99.61,100.38,98.61
98.14,96.84,98.48,96.65
98.22,96.11,98.76,95.05
95.95,96.61,96.91,95.40
97.54,98.49,98.58,97.05
99.03,97.81,99.33,97.74
97.54,96.58,97.54,96.34
96.49,96.76,97.97,96.06
97.10,97.24,97.68,96.14
97.11,97.08,99.00,96.78
97.06,98.11,98.98,96.75
98.31,99.72,99.75,98.25
99.04,100.92,101.19,98.88
101.04,102.27,102.96,100.93
102.06,101.81,102.53,100.72
101.86,99.00,102.48,98.81
99.55,100.71,100.94,99.28
99.24,98.01,99.24,97.70
98.25,96.73,98.25,96.68
97.02,98.13,98.32,97.02
97.69,97.50,97.69,96.33
99.03,100.01,100.24,98.56
99.96,99.24,100.81,98.24
98.76,100.30,100.76,98.59
99.87,99.99,100.68,98.99
99.25,100.19,100.19,98.30
99.90,100.35,100.43,99.03
100.64,97.76,101.32,97.13
98.00,96.93,98.00,96.22
96.59,96.99,97.73,95.31
97.42,98.82,98.83,97.04
98.49,98.66,99.07,97.53
99.08,99.77,99.81,98.04
99.43,99.48,101.22,98.74
99.86,100.30,101.14,99.52
98.28,98.03,100.07,97.80
96.10,95.62,97.02,95.01
95.82,93.87,95.88,93.13
94.15,92.30,94.78,92.01
93.43,92.97,93.53,91.52
93.39,95.19,95.61,93.39
95.05,95.44,95.80,94.71
95.07,96.21,96.85,95.07
96.67,96.80,98.00,96.21
95.47,94.14,95.90,93.37
95.55,96.58,97.14,95.41
97.05,96.79,98.00,96.44
97.45,98.25,99.02,97.45
99.89,103.83,104.00,97.20
103.42,103.90,104.85,103.42
103.32,103.11,103.77,102.38
