OSIS,OSI Systems,NASDAQ
35.13,35.01,35.22,34.82
35.10,34.91,35.12,34.58
34.91,34.82,35.07,34.67
34.86,33.66,34.90,33.58
33.67,33.78,33.93,33.33
33.99,34.86,34.87,33.99
34.74,35.95,36.74,34.72
37.17,37.25,37.41,35.62
37.50,37.85,38.14,37.18
38.05,38.00,38.40,37.97
38.05,37.27,38.13,36.97
37.21,37.99,37.99,36.53
37.99,38.53,38.96,37.78
38.32,38.39,39.48,38.22
38.22,38.49,38.97,38.10
38.40,37.95,38.40,37.42
38.05,38.53,39.10,38.05
38.32,38.20,38.58,38.05
38.08,37.92,38.50,37.75
37.69,38.15,38.39,37.69
37.94,38.64,38.85,37.94
38.59,38.60,38.65,38.21
38.44,39.63,39.99,38.42
39.85,39.50,39.85,38.99
39.37,39.35,39.73,39.29
39.58,39.41,39.78,39.31
38.96,39.28,39.56,38.96
39.17,38.76,39.88,38.72
38.76,37.31,38.76,37.03
37.26,37.88,38.02,37.03
37.95,37.62,38.38,37.24
37.57,37.67,38.09,37.13
37.48,37.73,37.88,37.16
37.83,38.57,39.09,37.83
38.54,38.94,38.94,38.43
39.09,38.40,39.09,38.09
38.42,38.12,38.99,38.03
38.12,38.24,38.56,37.82
37.81,37.73,38.09,37.45
37.51,37.54,37.97,37.03
37.09,37.03,37.67,36.49
37.97,38.03,38.35,37.31
37.85,36.68,38.27,36.64
37.03,35.96,37.36,35.64
36.00,36.36,36.36,35.60
36.54,36.78,37.18,36.54
36.63,37.08,37.22,36.40
36.95,37.03,37.37,36.58
37.20,37.20,37.49,36.51
37.22,37.42,38.05,37.22
36.63,36.37,37.02,36.01
36.24,36.59,36.60,35.86
36.65,36.61,37.34,36.19
36.63,37.53,37.63,36.40
37.67,38.08,38.23,37.28
38.22,38.47,38.49,37.98
38.50,38.93,39.48,38.33
39.09,39.14,39.40,38.87
39.19,38.99,39.46,38.81
39.22,37.95,39.22,37.05
37.88,36.79,38.52,36.38
36.53,36.51,36.96,36.10
36.73,36.10,36.83,35.75
35.84,36.15,36.33,35.80
36.01,36.58,36.70,35.90
36.16,35.63,36.44,35.29
35.62,34.25,35.85,34.08
34.79,36.45,36.52,34.79
36.59,36.72,37.00,36.24
36.54,36.77,36.96,36.14
38.00,37.53,38.67,37.31
37.54,38.23,38.25,37.10
38.06,38.40,38.71,38.06
38.41,38.39,38.57,38.20
38.10,38.26,38.86,37.54
38.23,37.43,38.45,37.31
37.41,36.51,37.41,35.76
36.21,37.57,38.07,35.75
37.89,37.63,38.04,37.50
37.56,38.14,38.18,37.56
38.25,39.84,40.00,37.99
39.56,39.39,39.96,39.32
39.14,40.22,40.65,38.91
40.17,40.09,40.62,39.87
39.96,39.90,40.27,39.71
39.75,40.32,40.43,39.52
40.40,39.76,40.40,39.33
39.68,39.48,39.98,39.09
39.30,39.18,39.64,38.93
