UUUU,Energy Fuels Inc Ordinary Shares (Canada),NASDAQ
0.65,0.67,0.69,0.63
0.66,0.70,0.73,0.65
0.70,0.69,0.71,0.69
0.71,0.72,0.72,0.68
0.70,0.67,0.70,0.64
0.67,0.65,0.69,0.65
0.65,0.64,0.65,0.63
0.63,0.61,0.63,0.61
0.62,0.65,0.66,0.60
0.66,0.63,0.68,0.62
0.65,0.63,0.65,0.63
0.64,0.65,0.65,0.64
0.66,0.65,0.66,0.63
0.65,0.66,0.67,0.65
0.70,0.75,0.78,0.70
0.76,0.76,0.78,0.76
0.76,0.76,0.76,0.76
0.76,0.76,0.76,0.76
0.83,0.92,0.94,0.79
0.91,0.86,0.91,0.84
0.86,0.88,0.90,0.83
0.88,0.88,0.88,0.88
0.89,0.88,0.90,0.83
0.83,1.06,1.06,0.83
1.25,1.15,1.38,1.13
1.15,1.05,1.19,1.03
1.03,1.11,1.13,0.98
1.13,1.09,1.16,1.06
1.13,1.13,1.14,1.11
1.16,1.13,1.16,1.12
1.14,1.16,1.16,1.12
1.45,1.38,1.47,1.32
1.36,1.30,1.36,1.27
1.26,1.24,1.26,1.20
1.29,1.23,1.30,1.17
1.23,1.21,1.25,1.21
1.19,1.14,1.19,1.08
1.14,1.10,1.15,1.09
1.18,1.20,1.20,1.17
1.17,1.15,1.18,1.10
1.14,1.29,1.29,1.14
1.32,1.32,1.38,1.30
1.31,1.33,1.33,1.29
1.33,1.41,1.45,1.33
1.44,1.38,1.46,1.38
1.46,1.49,1.51,1.45
1.52,1.58,1.60,1.49
1.52,1.41,1.52,1.31
1.42,1.40,1.43,1.30
1.46,1.42,1.46,1.40
1.45,1.44,1.47,1.43
1.43,1.44,1.47,1.43
1.40,1.37,1.40,1.35
1.34,1.26,1.36,1.24
1.25,1.27,1.28,1.24
1.24,1.13,1.26,1.13
1.17,1.17,1.19,1.14
1.23,1.19,1.26,1.18
1.20,1.24,1.28,1.18
1.30,1.17,1.30,1.14
1.18,1.10,1.18,1.07
1.07,1.06,1.08,1.01
1.04,1.05,1.07,1.01
1.05,1.01,1.07,0.99
1.01,1.00,1.04,1.00
1.00,0.95,1.02,0.92
0.95,0.97,0.98,0.94
0.93,0.87,0.95,0.87
0.87,0.85,0.87,0.82
0.64,0.61,0.80,0.59
0.51,0.48,0.64,0.44
0.51,0.47,0.54,0.43
0.46,0.43,0.46,0.42
0.45,0.48,0.51,0.43
0.51,0.66,0.66,0.50
0.69,0.61,0.69,0.58
0.59,0.57,0.61,0.55
0.59,0.59,0.59,0.57
0.58,0.62,0.62,0.58
0.62,0.59,0.62,0.57
0.58,0.58,0.60,0.55
0.57,0.55,0.57,0.54
0.54,0.54,0.55,0.52
0.53,0.53,0.54,0.51
0.52,0.50,0.53,0.49
0.50,0.56,0.56,0.49
0.56,0.55,0.56,0.53
0.56,0.57,0.58,0.55
0.57,0.60,0.61,0.57
0.62,0.59,0.63,0.58
0.57,0.55,0.61,0.51
0.56,0.58,0.58,0.52
0.57,0.56,0.58,0.54
0.53,0.56,0.58,0.53
0.54,0.53,0.55,0.52
0.55,0.56,0.56,0.54
0.56,0.53,0.56,0.53
0.53,0.52,0.54,0.52
0.52,0.51,0.54,0.51
0.52,0.51,0.53,0.51
0.52,0.52,0.52,0.49
0.52,0.51,0.53,0.49
0.50,0.49,0.51,0.46
0.47,0.48,0.48,0.46
0.46,0.47,0.50,0.46
0.49,0.46,0.49,0.46
0.46,0.44,0.46,0.44
0.43,0.45,0.45,0.42
0.43,0.51,0.51,0.42
0.48,0.47,0.48,0.47
0.47,0.45,0.47,0.42
0.43,0.42,0.44,0.41
0.41,0.32,0.44,0.32
0.41,0.40,0.43,0.39
0.39,0.38,0.39,0.37
0.38,0.42,0.42,0.37
0.44,0.43,0.44,0.41
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.41,0.42,0.42,0.40
0.41,0.40,0.41,0.40
0.39,0.41,0.41,0.39
0.40,0.45,0.45,0.40
0.44,0.43,0.44,0.43
0.43,0.41,0.43,0.41
0.42,0.40,0.43,0.40
0.42,0.40,0.42,0.40
0.41,0.40,0.41,0.39
0.39,0.38,0.40,0.38
0.39,0.37,0.40,0.37
0.37,0.38,0.39,0.37
0.37,0.38,0.38,0.35
0.37,0.36,0.38,0.33
0.33,0.34,0.36,0.33
0.34,0.34,0.34,0.34
0.34,0.34,0.34,0.34
0.34,0.34,0.36,0.34
0.35,0.37,0.37,0.35
0.38,0.38,0.38,0.34
0.39,0.39,0.39,0.37
0.37,0.38,0.38,0.36
0.38,0.35,0.38,0.35
0.36,0.37,0.38,0.35
0.37,0.36,0.38,0.36
0.38,0.38,0.38,0.38
0.36,0.37,0.37,0.35
0.37,0.37,0.37,0.37
0.41,0.42,0.42,0.38
0.41,0.42,0.42,0.41
0.43,0.41,0.43,0.41
0.41,0.41,0.41,0.41
0.41,0.40,0.41,0.39
0.40,0.38,0.40,0.38
0.40,0.40,0.40,0.40
0.39,0.45,0.45,0.39
0.45,0.43,0.46,0.43
0.40,0.39,0.41,0.39
0.40,0.41,0.42,0.39
0.39,0.40,0.41,0.39
0.39,0.40,0.41,0.39
0.40,0.44,0.44,0.40
0.42,0.41,0.43,0.41
0.40,0.40,0.42,0.40
0.42,0.38,0.42,0.38
0.38,0.38,0.41,0.38
0.39,0.38,0.39,0.37
0.38,0.38,0.38,0.38
0.39,0.39,0.39,0.37
0.38,0.40,0.40,0.38
0.38,0.36,0.38,0.34
0.33,0.37,0.37,0.33
0.33,0.32,0.34,0.30
0.31,0.34,0.34,0.29
0.33,0.32,0.34,0.32
0.33,0.34,0.34,0.33
0.32,0.34,0.35,0.32
0.33,0.33,0.35,0.32
0.32,0.31,0.33,0.31
0.34,0.34,0.34,0.33
0.32,0.31,0.33,0.31
0.31,0.33,0.33,0.31
0.32,0.31,0.32,0.30
0.30,0.31,0.32,0.30
0.33,0.32,0.33,0.32
0.31,0.31,0.31,0.31
0.31,0.31,0.31,0.31
0.32,0.34,0.34,0.32
0.32,0.33,0.33,0.31
0.34,0.33,0.35,0.33
0.32,0.32,0.32,0.32
0.31,0.33,0.33,0.31
0.31,0.31,0.31,0.31
0.32,0.32,0.32,0.32
0.31,0.31,0.31,0.31
0.31,0.30,0.32,0.30
0.30,0.29,0.31,0.29
0.30,0.31,0.31,0.29
0.31,0.31,0.31,0.30
0.31,0.29,0.31,0.29
0.30,0.31,0.31,0.30
0.30,0.29,0.30,0.29
0.29,0.27,0.29,0.27
0.28,0.25,0.28,0.25
0.25,0.23,0.25,0.21
0.25,0.22,0.25,0.22
0.23,0.25,0.29,0.23
0.29,0.28,0.30,0.28
0.28,0.27,0.28,0.27
0.27,0.25,0.27,0.24
0.25,0.24,0.25,0.23
0.24,0.25,0.25,0.23
0.22,0.22,0.24,0.20
0.20,0.24,0.26,0.20
0.24,0.24,0.24,0.24
0.27,0.25,0.27,0.25
0.25,0.25,0.25,0.25
0.26,0.24,0.26,0.24
0.24,0.27,0.27,0.24
0.28,0.28,0.28,0.28
0.26,0.26,0.26,0.26
0.27,0.26,0.27,0.26
0.25,0.26,0.26,0.25
0.28,0.27,0.28,0.27
0.26,0.25,0.26,0.25
0.29,0.30,0.30,0.29
0.30,0.29,0.30,0.27
0.29,0.29,0.30,0.29
0.30,0.31,0.31,0.27
0.33,0.41,0.41,0.29
0.41,0.42,0.46,0.41
0.43,0.41,0.43,0.40
0.37,0.39,0.39,0.37
0.41,0.36,0.41,0.36
0.36,0.36,0.36,0.36
0.39,0.40,0.40,0.39
0.40,0.38,0.40,0.38
0.38,0.38,0.38,0.38
0.38,0.36,0.38,0.36
0.36,0.36,0.36,0.36
0.36,0.38,0.38,0.36
0.39,0.38,0.39,0.38
0.38,0.37,0.38,0.37
0.37,0.37,0.37,0.37
0.37,0.35,0.37,0.35
0.36,0.37,0.37,0.35
0.35,0.31,0.35,0.31
0.31,0.33,0.33,0.31
0.32,0.31,0.32,0.28
0.30,0.29,0.30,0.29
0.30,0.31,0.31,0.29
0.30,0.31,0.32,0.30
0.34,0.31,0.34,0.31
0.31,0.31,0.31,0.31
0.32,0.33,0.33,0.32
0.33,0.31,0.33,0.31
0.32,0.32,0.32,0.32
0.31,0.30,0.31,0.30
0.31,0.30,0.31,0.30
0.30,0.33,0.33,0.30
0.33,0.32,0.33,0.31
0.32,0.30,0.32,0.30
0.29,0.27,0.30,0.26
0.30,0.29,0.30,0.29
0.30,0.29,0.30,0.28
0.27,0.27,0.27,0.27
0.28,0.31,0.31,0.28
0.30,0.30,0.30,0.30
0.28,0.31,0.32,0.28
0.30,0.30,0.31,0.29
0.30,0.28,0.30,0.28
0.28,0.30,0.30,0.28
0.28,0.30,0.30,0.27
0.27,0.27,0.28,0.27
0.29,0.30,0.30,0.29
0.28,0.28,0.28,0.28
0.29,0.30,0.30,0.28
0.30,0.30,0.30,0.30
0.31,0.30,0.31,0.30
0.30,0.28,0.30,0.28
0.30,0.28,0.30,0.28
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.34,0.32,0.35,0.32
0.32,0.33,0.33,0.32
0.35,0.37,0.39,0.35
0.37,0.37,0.38,0.36
0.35,0.34,0.35,0.34
0.35,0.34,0.35,0.34
0.33,0.34,0.35,0.32
0.34,0.32,0.34,0.32
0.33,0.34,0.34,0.33
0.34,0.34,0.34,0.34
0.34,0.34,0.34,0.34
0.35,0.35,0.35,0.35
0.34,0.33,0.34,0.33
0.33,0.34,0.34,0.33
0.34,0.34,0.34,0.34
0.34,0.33,0.35,0.33
0.33,0.33,0.33,0.33
0.34,0.33,0.34,0.33
0.32,0.32,0.32,0.32
0.33,0.33,0.34,0.33
0.33,0.31,0.33,0.31
0.31,0.31,0.31,0.31
0.31,0.34,0.34,0.31
0.34,0.33,0.34,0.32
0.33,0.32,0.33,0.31
0.32,0.32,0.32,0.30
0.32,0.35,0.35,0.32
0.35,0.35,0.36,0.35
0.35,0.37,0.37,0.34
0.38,0.37,0.38,0.36
0.36,0.35,0.36,0.35
0.37,0.36,0.37,0.35
0.36,0.36,0.37,0.36
0.36,0.35,0.37,0.35
0.32,0.31,0.33,0.30
0.33,0.32,0.34,0.32
0.32,0.32,0.33,0.31
0.32,0.32,0.33,0.32
0.32,0.32,0.33,0.32
0.32,0.32,0.32,0.32
0.30,0.29,0.31,0.29
0.30,0.31,0.31,0.30
0.29,0.29,0.29,0.29
0.30,0.30,0.31,0.28
0.28,0.28,0.28,0.28
0.28,0.29,0.29,0.28
0.26,0.26,0.27,0.25
0.27,0.27,0.27,0.26
0.27,0.28,0.28,0.27
0.29,0.27,0.29,0.27
0.27,0.27,0.27,0.27
0.27,0.27,0.27,0.27
0.26,0.26,0.27,0.26
0.26,0.26,0.27,0.25
0.26,0.25,0.26,0.25
0.25,0.24,0.25,0.24
0.24,0.24,0.25,0.24
0.25,0.26,0.27,0.24
0.25,0.26,0.27,0.25
0.27,0.25,0.27,0.24
0.27,0.24,0.27,0.24
0.24,0.24,0.26,0.24
0.24,0.26,0.26,0.24
0.26,0.30,0.31,0.26
0.31,0.30,0.32,0.29
0.30,0.29,0.31,0.29
0.29,0.30,0.33,0.29
0.30,0.30,0.31,0.29
0.29,0.30,0.30,0.29
0.30,0.30,0.30,0.29
0.30,0.30,0.30,0.28
0.30,0.29,0.30,0.28
0.27,0.26,0.28,0.26
0.28,0.29,0.29,0.27
0.29,0.29,0.29,0.28
0.27,0.27,0.27,0.26
0.26,0.28,0.28,0.26
0.26,0.25,0.27,0.25
0.25,0.24,0.26,0.24
0.25,0.24,0.26,0.23
0.25,0.26,0.27,0.25
0.27,0.27,0.27,0.26
0.28,0.26,0.28,0.26
0.24,0.24,0.24,0.24
0.25,0.23,0.25,0.23
0.26,0.24,0.26,0.23
0.25,0.23,0.25,0.23
0.23,0.27,0.27,0.23
0.25,0.25,0.26,0.23
0.22,0.23,0.25,0.22
0.24,0.25,0.25,0.24
0.24,0.24,0.25,0.24
0.25,0.25,0.25,0.25
0.25,0.25,0.26,0.25
0.25,0.25,0.26,0.25
0.25,0.24,0.25,0.24
0.24,0.23,0.24,0.23
0.23,0.22,0.23,0.22
0.24,0.22,0.24,0.22
0.24,0.24,0.24,0.23
0.22,0.23,0.23,0.22
0.23,0.22,0.23,0.21
0.22,0.23,0.23,0.21
0.23,0.23,0.23,0.21
0.21,0.23,0.23,0.21
0.22,0.23,0.23,0.20
0.22,0.22,0.22,0.22
0.23,0.23,0.24,0.23
0.23,0.23,0.23,0.23
0.22,0.22,0.23,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.23,0.22,0.24,0.22
0.22,0.24,0.25,0.21
0.22,0.21,0.22,0.21
0.22,0.20,0.22,0.20
0.19,0.18,0.19,0.17
0.18,0.16,0.19,0.16
0.17,0.17,0.18,0.17
0.18,0.17,0.18,0.16
0.17,0.15,0.17,0.14
0.15,0.14,0.16,0.14
0.15,0.15,0.16,0.14
0.14,0.14,0.16,0.14
0.15,0.14,0.15,0.14
0.13,0.13,0.15,0.13
0.14,0.13,0.15,0.13
0.14,0.15,0.15,0.13
0.14,0.14,0.15,0.13
0.14,0.14,0.15,0.14
0.13,0.14,0.15,0.13
0.14,0.14,0.14,0.14
0.14,0.15,0.16,0.14
0.15,0.16,0.16,0.14
0.16,0.19,0.19,0.16
0.19,0.20,0.20,0.18
0.19,0.24,0.24,0.19
0.22,0.23,0.24,0.21
0.22,0.21,0.22,0.21
0.20,0.21,0.22,0.20
0.19,0.22,0.22,0.19
0.20,0.21,0.22,0.20
0.20,0.20,0.21,0.19
0.20,0.19,0.20,0.18
0.18,0.18,0.20,0.18
0.18,0.19,0.20,0.18
0.18,0.20,0.20,0.18
0.19,0.20,0.21,0.18
0.20,0.21,0.21,0.18
0.21,0.21,0.21,0.19
0.20,0.20,0.21,0.19
0.19,0.21,0.21,0.19
0.19,0.21,0.21,0.19
0.20,0.21,0.21,0.20
0.20,0.21,0.22,0.20
0.20,0.20,0.21,0.20
0.20,0.21,0.22,0.20
0.20,0.20,0.21,0.20
0.21,0.21,0.21,0.20
0.20,0.20,0.21,0.20
0.20,0.21,0.21,0.20
0.20,0.20,0.21,0.19
0.19,0.19,0.21,0.19
0.19,0.20,0.21,0.19
0.20,0.20,0.21,0.19
0.20,0.20,0.21,0.20
0.20,0.20,0.21,0.20
0.20,0.20,0.20,0.19
0.20,0.20,0.21,0.20
0.21,0.20,0.21,0.20
0.19,0.20,0.21,0.19
0.21,0.21,0.21,0.20
0.21,0.21,0.21,0.20
0.21,0.21,0.23,0.20
0.22,0.21,0.22,0.20
0.21,0.22,0.22,0.20
0.20,0.19,0.22,0.19
0.21,0.19,0.21,0.19
0.20,0.19,0.20,0.19
0.21,0.19,0.21,0.19
0.19,0.19,0.20,0.19
0.19,0.20,0.20,0.19
0.19,0.19,0.20,0.18
0.20,0.19,0.20,0.18
0.18,0.19,0.19,0.18
0.18,0.18,0.19,0.18
0.17,0.17,0.18,0.17
0.17,0.17,0.18,0.17
0.17,0.18,0.18,0.17
0.18,0.18,0.18,0.16
0.17,0.18,0.18,0.16
0.17,0.17,0.18,0.16
0.17,0.16,0.17,0.16
0.17,0.16,0.17,0.16
0.17,0.16,0.17,0.16
0.16,0.17,0.17,0.15
0.15,0.16,0.17,0.15
0.16,0.16,0.17,0.15
0.16,0.16,0.18,0.16
0.16,0.17,0.17,0.15
0.17,0.16,0.18,0.16
0.16,0.16,0.17,0.16
0.16,0.16,0.18,0.16
0.16,0.17,0.17,0.16
0.17,0.16,0.18,0.16
0.16,0.16,0.17,0.16
0.16,0.16,0.16,0.16
0.16,0.16,0.17,0.16
0.17,0.16,0.17,0.16
0.16,0.16,0.17,0.15
0.16,0.16,0.16,0.15
0.16,0.16,0.16,0.16
0.16,0.15,0.16,0.15
0.16,0.15,0.16,0.15
0.15,0.15,0.16,0.15
0.15,0.15,0.16,0.15
0.16,0.15,0.16,0.15
0.15,0.15,0.16,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.16,0.15
0.16,0.16,0.16,0.14
0.15,0.14,0.15,0.14
0.14,0.14,0.15,0.14
0.14,0.14,0.15,0.14
0.14,0.14,0.15,0.14
0.14,0.15,0.15,0.14
0.14,0.15,0.15,0.14
0.14,0.15,0.15,0.14
0.14,0.15,0.15,0.14
0.15,0.15,0.17,0.14
0.15,0.15,0.16,0.15
0.15,0.15,0.16,0.15
0.15,0.16,0.16,0.15
0.15,0.15,0.16,0.15
0.16,0.17,0.18,0.16
0.16,0.19,0.19,0.16
0.17,0.17,0.18,0.16
0.16,0.16,0.18,0.16
0.17,0.18,0.19,0.16
0.18,0.17,0.19,0.17
0.18,0.18,0.18,0.17
0.17,0.18,0.18,0.17
0.17,0.17,0.18,0.17
0.17,0.17,0.18,0.17
0.17,0.17,0.18,0.17
0.17,0.18,0.18,0.17
0.18,0.17,0.18,0.17
0.17,0.17,0.18,0.17
0.18,0.18,0.18,0.17
0.19,0.18,0.19,0.17
0.19,0.19,0.20,0.18
0.19,0.19,0.19,0.18
0.18,0.18,0.19,0.17
0.18,0.17,0.19,0.17
0.17,0.18,0.18,0.17
0.18,0.18,0.18,0.17
0.18,0.17,0.18,0.17
0.18,0.17,0.18,0.17
0.18,0.17,0.18,0.16
0.16,0.17,0.18,0.16
0.17,0.18,0.18,0.17
0.17,0.17,0.18,0.17
0.18,0.18,0.18,0.17
0.17,0.17,0.18,0.17
0.17,0.18,0.18,0.17
0.17,0.18,0.18,0.17
0.17,0.18,0.18,0.17
0.18,0.18,0.18,0.18
0.17,0.17,0.18,0.17
0.17,0.17,0.17,0.17
0.17,0.17,0.17,0.16
0.17,0.16,0.17,0.15
0.16,0.16,0.16,0.15
0.15,0.16,0.16,0.15
0.14,0.15,0.16,0.14
0.15,0.15,0.16,0.14
0.16,0.15,0.16,0.15
0.15,0.15,0.16,0.15
0.15,0.15,0.16,0.15
0.15,0.15,0.16,0.15
0.14,0.14,0.15,0.14
0.14,0.14,0.15,0.14
0.14,0.14,0.15,0.14
0.14,0.15,0.15,0.14
0.15,0.15,0.15,0.15
0.15,0.15,0.16,0.14
0.15,0.15,0.16,0.14
0.15,0.15,0.15,0.15
0.14,0.15,0.15,0.14
0.14,0.15,0.15,0.14
0.15,0.14,0.15,0.14
0.14,0.14,0.15,0.14
0.14,0.15,0.15,0.14
0.15,0.16,0.16,0.15
0.16,0.15,0.17,0.15
0.16,0.15,0.16,0.15
0.15,0.16,0.16,0.15
0.16,0.15,0.16,0.15
0.15,0.15,0.16,0.15
0.15,0.15,0.16,0.15
0.15,0.15,0.16,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.16,0.15
0.15,0.14,0.15,0.14
0.14,0.14,0.15,0.14
0.14,0.14,0.15,0.14
0.15,0.14,0.15,0.14
0.14,0.14,0.15,0.14
0.14,0.14,0.15,0.14
0.14,0.13,0.14,0.12
0.12,0.14,0.14,0.12
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.12
0.13,0.13,0.13,0.12
0.13,0.13,0.13,0.12
0.14,0.13,0.14,0.13
0.13,0.13,0.13,0.12
0.13,0.13,0.14,0.13
0.14,0.14,0.14,0.13
0.13,0.13,0.14,0.13
0.13,0.13,0.14,0.13
0.13,0.13,0.14,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.14,0.13,0.14,0.13
0.14,0.13,0.14,0.13
0.13,0.14,0.14,0.12
0.14,0.14,0.14,0.13
0.13,0.13,0.14,0.13
0.13,0.14,0.14,0.13
0.13,0.13,0.14,0.13
0.13,0.13,0.14,0.13
0.14,0.15,0.15,0.13
0.15,0.16,0.16,0.15
0.16,0.17,0.17,0.15
0.16,0.17,0.17,0.15
0.16,0.16,0.16,0.15
0.15,0.16,0.16,0.15
0.16,0.17,0.17,0.15
0.17,0.17,0.18,0.16
0.17,0.17,0.18,0.17
0.17,0.17,0.18,0.17
0.17,0.17,0.17,0.16
0.16,0.17,0.17,0.16
0.16,0.17,0.17,0.16
0.17,0.17,0.17,0.16
0.16,0.17,0.17,0.15
0.17,0.16,0.17,0.15
0.17,0.17,0.17,0.16
0.16,0.16,0.17,0.15
0.15,0.16,0.17,0.15
0.16,0.16,0.17,0.16
0.16,0.16,0.16,0.16
0.16,0.16,0.17,0.15
0.16,0.16,0.17,0.15
