CPRX,Catalyst Pharmaceuticals,NASDAQ
1.05,1.00,1.07,1.00
1.01,1.08,1.12,1.01
1.06,1.11,1.11,1.03
1.10,1.08,1.11,1.08
1.08,1.09,1.09,1.03
1.09,1.09,1.13,1.05
1.04,1.05,1.09,1.03
1.03,1.03,1.04,1.00
1.06,1.07,1.08,1.05
1.08,1.04,1.10,0.98
1.08,1.06,1.10,1.02
1.04,1.05,1.05,1.03
1.04,1.06,1.06,1.01
1.05,1.00,1.05,0.98
1.01,0.95,1.01,0.95
0.95,0.94,0.97,0.91
0.80,0.93,0.99,0.80
0.95,1.01,1.06,0.95
0.99,1.01,1.03,0.97
1.00,0.96,1.00,0.96
0.96,0.99,1.01,0.96
1.00,0.99,1.01,0.99
0.97,0.93,0.97,0.86
0.91,0.92,0.94,0.91
0.91,0.90,0.94,0.90
0.90,0.90,0.92,0.90
1.00,1.32,1.54,1.00
1.21,1.21,1.29,1.10
1.26,1.14,1.26,1.12
1.13,1.08,1.13,1.05
1.04,1.03,1.09,1.00
1.04,1.02,1.04,1.00
1.00,1.01,1.03,0.99
1.00,1.05,1.08,1.00
1.07,1.04,1.07,1.02
1.06,1.04,1.11,1.01
1.06,1.08,1.19,1.05
1.10,1.20,1.25,1.10
1.16,1.20,1.21,1.14
1.17,1.19,1.20,1.16
1.18,1.13,1.21,1.13
1.19,1.15,1.19,1.12
1.16,1.13,1.16,1.12
1.15,1.13,1.15,1.10
1.15,1.15,1.15,1.13
1.12,1.11,1.12,0.95
1.12,1.20,1.30,1.12
1.21,1.19,1.22,1.15
1.20,1.18,1.20,1.17
1.12,1.15,1.16,1.12
1.13,1.18,1.18,1.12
1.18,1.15,1.20,1.12
1.12,1.16,1.17,1.12
1.14,1.15,1.18,1.14
1.13,1.18,1.19,1.13
1.15,1.07,1.15,0.95
1.07,1.08,1.09,1.06
1.10,1.14,1.15,1.09
1.06,1.12,1.12,1.06
1.05,1.10,1.10,0.95
1.09,1.06,1.09,1.05
1.05,1.12,1.12,1.04
1.09,1.08,1.18,1.05
1.10,1.10,1.12,1.05
1.09,1.12,1.12,0.99
1.12,1.11,1.19,1.04
1.15,1.13,1.18,1.05
1.15,1.16,1.18,1.12
1.16,1.12,1.16,1.12
1.14,1.15,1.15,1.09
1.15,1.09,1.15,1.08
1.08,1.16,1.16,1.08
1.11,1.17,1.17,1.09
1.17,1.12,1.20,1.11
1.11,1.11,1.13,1.10
1.14,1.06,1.16,1.06
1.07,1.11,1.15,1.07
1.11,1.15,1.45,1.11
1.16,1.16,1.20,1.15
1.20,1.14,1.25,1.13
1.16,1.17,1.21,1.12
1.18,1.12,1.18,1.12
1.10,1.11,1.16,1.10
1.10,1.09,1.11,1.06
1.08,1.12,1.12,1.05
1.10,1.13,1.17,1.09
1.12,1.10,1.16,1.10
1.09,1.11,1.14,1.09
1.29,1.18,1.29,1.11
1.20,1.14,1.21,1.14
1.19,1.18,1.23,1.13
1.20,1.17,1.20,1.14
1.15,1.16,1.17,1.13
1.22,1.19,1.22,1.12
1.19,1.19,1.22,1.16
1.20,1.10,1.20,1.09
1.14,1.17,1.17,1.14
1.17,1.12,1.17,1.11
1.12,1.14,1.18,1.12
1.13,1.10,1.14,1.10
1.09,1.09,1.14,1.09
1.08,1.15,1.15,1.08
1.15,1.11,1.15,1.11
1.10,1.14,1.14,1.10
1.15,1.12,1.15,1.10
1.10,1.12,1.13,1.09
1.14,1.17,1.19,1.07
1.10,1.11,1.15,1.09
1.13,1.04,1.13,1.04
1.05,1.10,1.10,1.04
1.09,1.09,1.11,1.09
1.10,1.09,1.12,1.05
1.07,1.10,1.12,1.07
1.09,1.09,1.11,1.08
1.08,1.08,1.10,1.08
1.08,1.10,1.12,1.08
1.10,1.09,1.11,1.09
1.08,1.09,1.10,1.08
1.09,1.10,1.11,1.08
1.11,1.10,1.11,1.10
1.10,1.12,1.12,1.10
1.10,1.13,1.13,1.05
1.11,1.11,1.14,1.05
1.09,1.10,1.10,1.08
1.08,1.08,1.08,1.06
1.08,1.10,1.10,1.05
1.07,1.06,1.08,1.05
1.07,1.06,1.07,1.06
1.05,1.10,1.10,1.02
1.09,1.01,1.09,1.01
1.01,1.00,1.03,0.98
1.00,0.99,1.01,0.98
0.98,0.98,1.00,0.98
0.98,1.00,1.01,0.98
1.00,0.98,1.02,0.98
0.98,0.97,1.01,0.97
0.97,0.97,1.00,0.97
0.95,0.94,0.98,0.93
0.96,0.91,0.97,0.91
0.91,0.92,0.93,0.90
0.94,0.92,0.98,0.92
0.90,0.94,0.95,0.89
0.96,0.94,0.96,0.90
0.94,0.96,0.98,0.91
1.00,1.00,1.02,0.95
1.00,0.99,1.01,0.95
0.97,0.98,0.98,0.95
0.94,0.96,1.00,0.94
0.95,0.99,1.00,0.91
0.99,1.13,1.18,0.99
1.15,1.28,1.36,1.15
1.30,1.38,1.45,1.30
1.38,1.31,1.45,1.26
1.27,1.20,1.27,1.18
1.23,1.22,1.27,1.20
1.24,1.20,1.25,1.20
1.20,1.23,1.27,1.20
1.23,1.23,1.24,1.20
1.25,1.16,1.25,1.14
1.25,1.17,1.25,1.16
1.19,1.18,1.19,1.16
1.18,1.17,1.23,1.15
1.17,1.15,1.17,1.13
1.14,1.24,1.26,1.12
1.25,1.15,1.25,1.13
1.15,1.17,1.18,1.13
1.15,1.16,1.17,1.11
1.16,1.18,1.19,1.12
1.18,1.16,1.20,1.13
1.19,1.19,1.20,1.13
1.19,1.18,1.20,1.15
1.18,1.13,1.18,1.11
1.11,1.12,1.20,1.11
1.20,1.16,1.32,1.12
1.18,1.13,1.20,1.13
1.16,1.20,1.20,1.15
1.25,1.21,1.25,1.15
1.20,1.17,1.20,1.16
1.17,1.13,1.17,1.12
1.13,1.13,1.17,1.13
1.16,1.18,1.20,1.12
1.15,1.24,1.34,1.12
1.25,1.20,1.25,1.20
1.20,1.17,1.20,1.12
1.15,1.14,1.23,1.12
1.13,1.12,1.13,1.11
1.12,1.14,1.16,1.12
1.14,1.17,1.17,1.14
1.16,1.12,1.16,1.12
1.12,1.10,1.14,1.10
1.10,1.12,1.13,1.09
1.11,1.12,1.15,1.10
1.10,1.12,1.13,1.10
1.10,1.13,1.13,1.09
1.12,1.11,1.12,1.09
1.09,1.08,1.12,1.05
1.08,1.06,1.09,1.05
1.05,1.05,1.05,1.05
1.05,1.05,1.08,1.03
1.07,1.07,1.08,1.04
1.03,1.06,1.06,1.03
1.06,1.06,1.06,1.06
1.05,1.10,1.11,1.05
1.10,1.12,1.12,1.10
1.11,1.10,1.11,1.10
1.10,1.10,1.10,1.10
1.11,1.12,1.12,1.10
1.10,1.11,1.13,1.10
1.12,1.18,1.22,1.10
1.17,1.11,1.17,1.10
1.12,1.12,1.17,1.11
1.11,1.11,1.11,1.11
1.12,1.11,1.15,1.10
1.11,1.14,1.17,1.11
1.11,1.11,1.11,1.11
1.12,1.12,1.15,1.11
1.15,1.11,1.15,1.11
1.13,1.10,1.13,1.10
1.10,1.10,1.12,1.10
1.11,1.10,1.11,1.10
1.10,1.10,1.10,1.10
1.10,1.11,1.12,1.10
1.10,1.13,1.13,1.00
1.11,1.13,1.14,1.11
1.14,1.12,1.17,1.11
1.15,1.13,1.16,1.10
1.14,1.19,1.19,1.12
1.18,1.12,1.19,1.12
1.11,1.13,1.15,1.11
1.12,1.14,1.19,1.12
1.16,1.14,1.16,1.10
1.14,1.15,1.16,1.14
1.17,1.11,1.17,1.10
1.12,1.13,1.15,1.10
1.10,1.11,1.12,1.10
1.12,1.11,1.13,1.10
1.15,1.15,1.15,1.15
1.15,1.13,1.15,1.11
1.15,1.13,1.19,1.12
1.15,1.17,1.17,1.11
1.18,1.15,1.18,1.15
1.15,1.16,1.19,1.15
1.18,1.18,1.19,1.15
1.19,1.16,1.19,1.15
1.18,1.16,1.22,1.16
1.17,1.16,1.17,1.16
1.15,1.16,1.19,1.15
1.17,1.19,1.19,1.16
1.17,1.18,1.18,1.16
1.16,1.16,1.17,1.16
1.16,1.16,1.16,1.15
1.16,1.18,1.19,1.16
1.18,1.20,1.22,1.18
1.19,1.29,1.30,1.19
1.25,1.70,1.95,1.25
1.46,1.48,1.75,1.45
1.53,1.57,1.80,1.41
1.61,1.65,1.72,1.60
1.65,1.93,2.11,1.65
2.00,1.84,2.25,1.82
1.82,1.70,1.84,1.61
1.70,1.82,1.98,1.67
1.78,1.76,1.88,1.70
1.75,1.78,1.88,1.69
1.82,1.81,1.90,1.71
1.90,1.81,1.90,1.81
1.84,1.89,1.91,1.81
1.90,1.87,1.95,1.83
1.84,1.85,1.90,1.70
1.85,1.85,1.90,1.77
1.90,1.90,1.91,1.76
1.89,1.87,1.90,1.81
1.87,1.87,1.90,1.82
1.90,1.88,1.90,1.80
1.84,1.82,1.85,1.76
1.84,1.77,1.84,1.75
1.76,1.66,1.77,1.66
1.66,1.76,1.76,1.66
1.74,1.75,1.76,1.65
1.71,1.64,1.71,1.41
1.60,1.56,1.60,1.50
1.56,1.59,1.63,1.50
1.61,1.58,1.61,1.48
1.57,1.50,1.59,1.47
1.45,1.45,1.52,1.42
1.45,1.51,1.55,1.45
1.55,1.62,1.68,1.54
1.65,1.70,1.72,1.63
1.73,1.70,1.73,1.68
1.71,1.64,1.71,1.60
1.66,1.62,1.70,1.60
1.58,1.55,1.61,1.45
1.52,1.55,1.59,1.46
1.51,1.55,1.59,1.51
1.59,1.54,1.62,1.50
1.55,1.53,1.58,1.53
1.51,1.48,1.58,1.46
1.43,1.32,1.43,1.31
1.30,1.31,1.35,1.21
1.30,1.07,1.30,1.00
1.10,1.32,1.41,1.10
1.25,1.37,1.45,1.24
1.34,1.28,1.34,1.26
1.28,1.36,1.40,1.28
1.34,1.40,1.42,1.34
1.38,1.27,1.41,1.26
1.27,1.29,1.29,1.25
1.23,1.22,1.26,1.15
1.16,1.25,1.25,1.16
1.28,1.18,1.28,1.18
1.22,1.27,1.31,1.16
1.30,1.20,1.30,1.18
1.21,1.17,1.24,1.16
1.19,1.23,1.25,1.17
1.21,1.31,1.31,1.21
1.31,1.24,1.31,1.23
1.30,1.25,1.30,1.25
1.29,1.25,1.29,1.25
1.28,1.30,1.31,1.21
1.28,1.23,1.30,1.18
1.28,1.24,1.28,1.24
1.23,1.20,1.23,1.20
1.19,1.28,1.28,1.19
1.22,1.45,1.45,1.22
1.48,1.55,1.72,1.45
1.64,1.72,1.84,1.59
1.85,1.73,1.90,1.73
1.72,1.72,1.77,1.56
1.70,1.57,1.73,1.50
1.60,1.56,1.61,1.55
1.58,1.53,1.59,1.49
1.49,1.45,1.50,1.39
1.48,1.52,1.58,1.47
1.58,1.54,1.60,1.46
1.62,1.56,1.64,1.55
1.64,1.54,1.64,1.54
1.55,1.55,1.59,1.55
1.55,1.49,1.56,1.46
1.53,1.42,1.53,1.37
1.37,1.32,1.40,1.31
1.36,1.37,1.40,1.31
1.37,1.45,1.51,1.37
1.41,1.41,1.55,1.41
1.43,1.41,1.43,1.34
1.38,1.42,1.55,1.38
1.42,1.36,1.44,1.36
1.38,1.30,1.40,1.22
1.32,1.46,1.49,1.30
1.50,1.44,1.55,1.37
1.40,1.41,1.47,1.34
1.37,1.36,1.46,1.36
1.33,1.26,1.40,1.26
1.29,1.29,1.31,1.25
1.30,1.39,1.46,1.30
1.37,1.46,1.46,1.30
1.46,1.39,1.46,1.36
1.43,1.30,1.43,1.29
1.25,1.05,1.25,1.02
1.10,1.04,1.10,1.04
1.03,1.00,1.04,0.95
1.02,1.00,1.03,0.99
1.00,1.01,1.05,1.00
1.00,1.02,1.07,1.00
1.04,1.02,1.12,1.02
1.09,1.04,1.09,1.01
1.07,1.00,1.10,1.00
1.00,0.96,1.05,0.90
1.01,0.99,1.04,0.98
1.03,1.01,1.08,1.00
1.05,1.01,1.05,1.01
1.04,1.01,1.05,1.00
1.02,1.01,1.03,1.00
1.01,1.13,1.20,1.00
1.05,1.04,1.11,1.02
1.07,1.07,1.07,1.00
1.09,1.03,1.09,1.03
1.03,1.04,1.13,1.03
1.09,1.03,1.09,1.02
1.06,1.02,1.06,1.01
1.03,1.03,1.08,1.02
1.02,1.06,1.06,1.02
1.06,1.07,1.08,1.04
1.05,1.07,1.11,1.04
1.10,1.10,1.15,1.05
1.13,1.15,1.21,1.09
1.17,1.12,1.20,1.11
1.12,1.13,1.18,1.08
1.12,1.10,1.12,1.07
1.10,1.07,1.12,1.03
1.03,1.05,1.07,1.01
1.02,1.02,1.05,1.02
1.07,1.07,1.15,1.03
1.07,1.10,1.20,1.06
1.12,1.18,1.39,1.07
1.20,1.12,1.20,1.10
1.15,1.11,1.15,1.11
1.15,1.09,1.15,1.09
1.10,1.14,1.14,1.09
1.16,1.15,1.16,1.11
1.18,1.20,1.23,1.15
1.21,1.29,1.33,1.21
1.35,1.30,1.36,1.27
1.30,1.34,1.38,1.30
1.31,1.30,1.35,1.25
1.33,1.24,1.33,1.20
1.20,1.17,1.23,1.12
1.19,1.21,1.22,1.16
1.21,1.20,1.25,1.20
1.23,1.22,1.24,1.19
1.20,1.19,1.20,1.16
1.22,1.20,1.25,1.18
1.19,1.19,1.22,1.19
1.22,1.18,1.26,1.16
1.19,1.17,1.24,1.13
1.15,1.17,1.20,1.15
1.21,1.14,1.21,1.14
1.17,1.12,1.17,1.10
1.12,1.15,1.17,1.10
1.15,1.11,1.16,1.10
1.06,1.09,1.11,1.05
1.07,1.08,1.09,1.05
1.06,1.10,1.10,1.03
1.08,1.08,1.09,1.05
1.08,1.09,1.13,1.08
1.09,1.12,1.16,1.09
1.15,1.11,1.16,1.10
1.14,1.10,1.14,1.09
1.15,1.12,1.15,1.11
1.12,1.07,1.14,1.06
1.15,1.10,1.16,1.07
1.12,1.16,1.18,1.10
1.17,1.14,1.18,1.14
1.14,1.14,1.14,1.12
1.13,1.13,1.15,1.12
1.12,1.11,1.17,1.09
1.10,1.11,1.13,1.09
1.11,1.10,1.13,1.09
1.10,1.10,1.15,1.08
1.09,1.10,1.12,1.08
1.09,1.10,1.12,1.07
1.08,1.11,1.12,1.08
1.11,1.11,1.12,1.10
1.11,1.13,1.14,1.11
1.13,1.08,1.13,1.08
1.08,1.10,1.12,1.08
1.10,1.10,1.10,1.07
1.10,1.11,1.12,1.08
1.12,1.12,1.12,1.10
1.11,1.11,1.12,1.10
1.08,1.11,1.12,1.08
1.08,1.10,1.10,1.07
1.10,1.13,1.14,1.09
1.13,1.05,1.13,1.02
1.08,1.10,1.10,1.06
1.10,1.08,1.10,1.07
1.07,1.09,1.09,1.07
1.08,1.05,1.08,1.05
1.07,1.07,1.10,1.07
1.11,1.09,1.11,1.04
1.10,1.13,1.17,1.10
1.13,1.17,1.21,1.13
1.14,1.14,1.17,1.13
1.14,1.11,1.14,1.07
1.14,1.07,1.14,1.06
1.11,1.07,1.13,1.06
1.09,1.09,1.10,1.06
1.08,1.06,1.09,1.04
1.04,1.04,1.07,1.02
1.04,1.04,1.08,1.02
1.03,0.99,1.09,0.98
1.00,1.00,1.07,0.99
1.03,1.00,1.03,0.98
1.03,0.95,1.03,0.91
0.99,0.89,0.99,0.86
0.90,0.85,0.91,0.85
0.91,0.80,0.91,0.80
0.76,0.98,1.00,0.75
0.97,0.94,1.02,0.91
0.89,0.91,0.94,0.89
0.93,1.00,1.01,0.89
0.99,1.04,1.05,0.94
1.03,1.04,1.11,1.03
1.04,0.99,1.04,0.98
0.96,0.97,1.00,0.96
0.96,1.00,1.05,0.96
1.08,1.06,1.13,1.03
1.04,0.98,1.05,0.97
0.96,0.96,0.98,0.96
0.96,0.96,0.97,0.95
0.94,0.92,0.94,0.90
0.93,0.93,0.95,0.93
0.93,0.89,0.93,0.85
0.89,0.90,0.92,0.86
0.90,0.89,0.90,0.89
0.89,0.85,0.90,0.83
0.85,0.86,0.90,0.80
0.89,0.80,0.92,0.80
0.80,0.80,0.90,0.80
0.86,0.82,0.87,0.82
0.84,0.87,0.87,0.82
0.80,0.57,0.80,0.50
0.59,0.56,0.60,0.56
0.58,0.55,0.59,0.55
0.58,0.57,0.58,0.56
0.58,0.56,0.59,0.56
0.57,0.57,0.57,0.55
0.57,0.57,0.58,0.56
0.57,0.57,0.57,0.56
0.56,0.56,0.58,0.56
0.56,0.57,0.57,0.56
0.57,0.60,0.61,0.56
0.60,0.59,0.62,0.56
0.60,0.57,0.60,0.57
0.58,0.58,0.59,0.57
0.58,0.57,0.58,0.55
0.57,0.56,0.57,0.56
0.55,0.55,0.56,0.55
0.56,0.56,0.57,0.55
0.58,0.56,0.58,0.56
0.56,0.54,0.58,0.50
0.56,0.55,0.56,0.53
0.55,0.56,0.56,0.54
0.56,0.55,0.56,0.54
0.52,0.54,0.55,0.52
0.55,0.53,0.55,0.51
0.53,0.53,0.55,0.53
0.51,0.54,0.54,0.51
0.54,0.54,0.55,0.54
0.56,0.56,0.56,0.54
0.60,0.58,0.60,0.57
0.62,0.66,0.68,0.59
0.69,0.65,0.69,0.62
0.65,0.64,0.65,0.62
0.67,0.78,0.92,0.67
0.83,0.86,0.95,0.80
0.83,0.86,0.88,0.80
0.86,0.86,0.86,0.82
0.86,0.96,1.02,0.86
0.97,1.02,1.06,0.97
1.03,1.10,1.16,1.03
1.13,1.10,1.14,1.05
1.22,1.35,1.48,1.22
1.35,1.38,1.43,1.21
1.39,1.37,1.39,1.26
1.38,1.30,1.38,1.27
1.30,1.25,1.31,1.22
1.27,1.25,1.28,1.22
1.28,1.43,1.53,1.26
1.43,1.41,1.46,1.38
1.44,1.46,1.55,1.42
1.48,1.36,1.49,1.35
1.41,1.35,1.42,1.35
1.35,1.33,1.36,1.30
1.31,1.33,1.35,1.25
1.29,1.40,1.44,1.26
1.37,1.52,1.56,1.37
1.49,1.58,1.64,1.49
1.49,1.40,1.49,1.36
1.40,1.39,1.44,1.34
1.40,1.47,1.52,1.36
1.47,1.45,1.47,1.42
1.47,1.64,1.64,1.46
1.65,1.71,1.79,1.64
1.74,1.72,1.78,1.66
1.85,1.86,1.95,1.77
1.95,1.89,1.97,1.78
1.48,1.52,1.59,1.37
1.53,1.53,1.60,1.53
1.55,1.47,1.56,1.41
1.47,1.50,1.54,1.47
1.54,1.46,1.55,1.45
1.50,1.45,1.51,1.43
1.44,1.33,1.45,1.27
1.32,1.37,1.37,1.28
1.40,1.46,1.54,1.38
1.49,1.45,1.54,1.40
1.45,1.43,1.45,1.36
1.41,1.38,1.43,1.36
1.38,1.39,1.40,1.33
1.52,1.55,1.56,1.45
1.64,1.99,2.27,1.60
2.17,1.86,2.27,1.75
1.91,1.87,1.93,1.78
1.90,1.92,1.94,1.85
1.98,1.91,2.04,1.83
1.89,1.84,1.89,1.80
1.52,1.60,1.71,1.40
1.62,1.50,1.62,1.47
1.49,1.51,1.53,1.36
1.50,1.52,1.64,1.46
1.53,1.55,1.56,1.50
1.55,1.65,1.70,1.52
1.65,1.67,1.70,1.62
1.66,1.67,1.68,1.62
1.73,1.71,1.78,1.66
1.73,1.69,1.73,1.59
1.70,1.69,1.73,1.65
1.70,1.65,1.71,1.65
1.66,1.63,1.66,1.60
1.62,1.61,1.65,1.58
1.63,1.61,1.64,1.57
1.59,1.67,1.68,1.54
1.68,1.70,1.75,1.67
1.70,1.66,1.72,1.61
1.64,1.65,1.69,1.61
1.63,1.60,1.65,1.57
1.57,1.60,1.63,1.56
1.63,1.63,1.66,1.58
1.66,1.65,1.67,1.58
1.65,1.54,1.65,1.42
1.50,1.47,1.51,1.42
1.47,1.46,1.48,1.45
1.43,1.51,1.61,1.43
1.53,1.45,1.57,1.43
1.49,1.45,1.50,1.42
0.60,0.50,0.69,0.43
0.47,0.44,0.48,0.40
0.41,0.39,0.45,0.39
0.40,0.46,0.48,0.37
0.49,0.41,0.52,0.40
0.45,0.41,0.45,0.40
0.41,0.42,0.43,0.40
0.43,0.42,0.43,0.41
0.42,0.41,0.42,0.40
0.41,0.42,0.44,0.41
0.43,0.44,0.44,0.42
0.45,0.50,0.54,0.44
0.48,0.50,0.54,0.47
0.51,0.48,0.51,0.47
0.49,0.51,0.51,0.47
0.51,0.50,0.51,0.48
0.51,0.50,0.53,0.50
0.50,0.47,0.51,0.47
0.47,0.45,0.47,0.45
0.45,0.44,0.47,0.44
0.44,0.42,0.45,0.42
0.42,0.45,0.46,0.42
0.43,0.44,0.47,0.43
0.44,0.46,0.49,0.44
0.47,0.46,0.49,0.46
0.46,0.44,0.48,0.43
0.44,0.45,0.46,0.44
0.45,0.45,0.45,0.42
0.43,0.45,0.46,0.43
0.45,0.46,0.46,0.44
0.44,0.44,0.47,0.44
0.44,0.49,0.50,0.44
0.48,0.45,0.49,0.45
0.47,0.44,0.48,0.44
0.43,0.44,0.44,0.42
0.43,0.44,0.47,0.41
0.44,0.44,0.47,0.43
0.48,0.47,0.48,0.45
0.47,0.49,0.51,0.47
0.50,0.55,0.58,0.47
0.56,0.59,0.60,0.52
0.60,0.58,0.60,0.56
0.60,0.56,0.60,0.54
0.56,0.55,0.57,0.55
0.56,0.55,0.58,0.55
0.52,0.54,0.55,0.51
0.53,0.52,0.56,0.52
0.51,0.52,0.53,0.51
0.52,0.51,0.53,0.51
0.53,0.52,0.54,0.50
0.52,0.55,0.57,0.51
0.54,0.54,0.57,0.54
0.55,0.56,0.57,0.54
0.56,0.56,0.58,0.55
0.58,0.54,0.58,0.54
0.54,0.54,0.55,0.52
0.52,0.52,0.53,0.51
0.54,0.51,0.55,0.49
0.49,0.52,0.52,0.48
0.52,0.50,0.52,0.49
0.47,0.51,0.51,0.46
0.53,0.54,0.55,0.51
0.54,0.53,0.54,0.52
0.54,0.51,0.54,0.49
0.51,0.48,0.51,0.48
0.48,0.48,0.50,0.48
0.48,0.46,0.49,0.46
0.49,0.48,0.49,0.47
0.49,0.43,0.50,0.41
0.45,0.47,0.50,0.45
0.47,0.44,0.49,0.44
0.48,0.47,0.49,0.46
0.47,0.45,0.48,0.42
0.45,0.45,0.47,0.43
0.45,0.45,0.46,0.43
0.46,0.46,0.46,0.41
0.46,0.45,0.46,0.42
0.46,0.46,0.49,0.45
0.46,0.45,0.49,0.45
0.45,0.43,0.46,0.43
0.43,0.45,0.46,0.43
0.46,0.48,0.49,0.45
0.50,0.52,0.53,0.48
0.52,0.54,0.55,0.52
0.55,0.52,0.55,0.52
0.52,0.54,0.55,0.52
0.55,0.53,0.55,0.53
0.53,0.51,0.54,0.51
0.52,0.52,0.54,0.51
0.52,0.48,0.52,0.48
0.50,0.49,0.50,0.48
0.49,0.49,0.50,0.49
0.50,0.51,0.51,0.48
0.51,0.52,0.52,0.50
0.54,0.50,0.56,0.49
0.50,0.49,0.52,0.48
0.49,0.48,0.50,0.45
0.45,0.46,0.50,0.45
0.47,0.46,0.47,0.45
0.46,0.45,0.48,0.45
0.47,0.46,0.48,0.45
0.46,0.45,0.47,0.45
0.45,0.47,0.48,0.45
0.48,0.48,0.49,0.47
0.49,0.48,0.49,0.47
0.49,0.49,0.49,0.48
0.50,0.46,0.50,0.46
0.48,0.48,0.48,0.46
0.48,0.47,0.48,0.47
0.48,0.56,0.57,0.48
0.64,0.88,0.96,0.62
1.02,1.06,1.12,0.92
1.08,0.92,1.08,0.81
0.93,0.95,0.95,0.83
0.97,0.97,1.03,0.92
1.00,0.96,1.00,0.91
0.95,0.89,0.95,0.87
0.89,0.76,0.89,0.71
0.75,0.80,0.81,0.68
0.81,0.81,0.88,0.77
0.83,0.80,0.83,0.77
0.84,0.79,0.84,0.78
0.81,0.80,0.83,0.79
0.83,0.80,0.83,0.79
0.82,0.84,0.84,0.80
0.85,0.95,0.97,0.85
0.99,0.94,1.03,0.91
0.94,0.90,0.95,0.88
0.89,0.88,0.93,0.87
0.89,0.83,0.89,0.79
0.84,0.83,0.85,0.80
0.80,0.86,0.88,0.80
0.89,0.91,0.92,0.87
0.92,0.85,0.93,0.84
0.84,0.84,0.87,0.81
0.82,0.88,0.88,0.82
0.91,0.86,0.91,0.85
0.85,0.81,0.86,0.81
0.81,0.92,0.93,0.81
0.93,0.89,1.01,0.87
0.89,0.88,0.94,0.86
0.88,0.87,0.90,0.86
0.86,0.87,0.89,0.83
0.86,0.85,0.88,0.84
0.87,0.86,0.89,0.84
0.88,0.90,0.92,0.85
0.90,1.07,1.10,0.87
1.17,1.04,1.19,1.02
1.05,0.98,1.05,0.93
0.98,0.96,0.98,0.93
0.95,0.94,0.97,0.90
0.95,0.97,1.02,0.92
0.99,0.94,1.00,0.92
