XBI,SPDR Series Trust  SPDR S&P Biotech ETF,NASDAQ
67.49,68.31,68.64,67.48
68.60,68.41,68.94,68.11
68.89,68.19,68.89,68.01
68.88,68.23,68.88,67.93
68.60,68.25,68.60,67.79
68.01,68.16,68.21,67.79
68.66,68.70,68.87,68.18
68.34,69.86,69.87,68.15
70.00,71.36,71.36,69.79
71.04,70.65,71.04,69.81
71.00,70.06,71.00,69.70
71.15,71.43,71.45,70.75
71.99,72.00,72.10,71.39
72.21,71.60,72.22,70.97
71.81,72.54,72.86,71.65
72.82,74.53,74.56,72.74
74.71,74.73,75.00,73.94
74.62,73.79,75.10,73.79
74.51,74.08,75.17,73.99
73.99,73.41,74.36,72.81
73.21,72.41,73.83,72.09
72.12,71.03,72.37,70.97
71.68,72.29,72.89,71.68
72.53,73.64,73.74,72.34
74.13,74.08,74.21,73.40
74.13,73.28,74.13,72.80
72.79,74.31,74.34,72.39
74.49,73.88,74.74,73.57
73.68,72.86,73.89,72.76
72.60,72.96,73.08,72.12
73.14,74.02,74.07,73.00
74.24,73.61,74.39,72.76
73.73,73.93,74.34,73.31
72.64,73.13,73.27,72.33
73.48,72.37,73.48,72.35
72.02,73.49,73.58,72.02
73.28,74.13,74.14,73.28
74.47,74.69,74.70,74.15
75.14,75.24,75.40,74.19
75.25,73.35,75.86,73.26
73.24,73.94,74.11,73.06
73.57,72.90,73.81,72.78
72.86,71.36,72.86,71.19
71.99,72.37,72.84,71.70
72.44,72.38,72.86,71.91
72.28,72.31,72.93,71.50
72.36,70.82,72.36,70.73
70.87,70.42,71.46,70.03
70.96,70.95,71.30,70.66
70.46,70.22,71.73,70.17
70.27,70.12,70.82,69.25
70.91,69.44,70.93,69.30
69.10,69.91,70.35,69.07
70.36,71.09,71.24,70.17
70.91,70.67,71.47,70.67
69.94,71.15,71.22,69.28
71.48,70.70,71.48,70.15
70.47,71.32,71.44,70.27
71.74,72.99,73.14,71.44
73.38,73.29,73.48,72.44
73.57,73.11,73.81,73.00
73.21,73.96,74.00,72.76
74.14,74.04,74.27,73.51
74.05,74.48,74.58,73.88
75.06,75.21,75.36,74.44
74.61,75.42,75.44,74.61
74.31,73.79,74.97,73.57
73.55,73.73,74.48,73.07
74.16,74.48,75.24,74.12
74.84,74.20,75.77,73.94
74.42,74.25,74.42,73.66
74.06,73.17,74.19,72.44
73.60,74.56,74.65,73.60
74.75,73.42,74.91,73.18
73.83,74.65,75.05,73.70
74.83,75.55,75.62,74.75
74.94,73.62,74.94,73.58
73.60,72.75,73.60,72.58
72.25,70.59,72.45,70.42
70.48,70.68,72.26,70.48
69.97,71.15,71.57,69.17
72.24,70.22,72.52,69.53
69.81,67.59,70.91,67.54
67.53,67.22,68.03,64.67
65.59,60.43,65.59,60.43
60.66,59.72,61.65,57.71
57.12,55.36,58.38,54.71
56.20,59.27,59.27,55.07
58.75,56.38,58.78,56.06
56.63,58.56,59.36,55.99
58.93,59.91,60.59,58.58
60.67,62.31,62.39,60.67
61.78,61.80,62.37,61.09
61.61,61.40,62.77,60.62
59.90,58.28,59.90,57.67
57.41,58.32,59.31,57.21
59.64,57.47,59.90,57.18
57.95,60.09,60.15,57.16
59.84,60.15,60.34,58.75
60.35,58.65,60.82,58.53
58.31,60.15,60.25,57.27
60.92,62.47,62.54,60.91
61.77,63.33,63.67,61.73
63.09,63.15,64.39,62.58
62.99,61.80,63.88,61.69
60.62,60.49,62.23,60.20
58.99,61.34,61.39,58.99
62.23,63.76,63.76,61.84
63.36,63.51,64.23,62.93
62.69,61.34,62.89,60.77
60.46,61.65,61.72,60.16
61.41,62.64,62.87,61.41
62.97,63.37,64.14,62.20
64.13,64.01,64.13,62.92
64.02,63.77,64.36,63.33
62.96,63.20,63.82,62.48
63.53,63.34,64.60,63.07
63.24,62.11,64.56,62.04
60.23,60.50,61.47,59.44
59.92,61.52,61.73,59.92
61.90,61.91,62.45,60.38
62.77,62.69,63.81,62.40
63.08,60.47,63.25,60.47
61.76,60.50,61.91,58.72
59.67,59.51,60.94,59.43
59.00,56.69,60.02,56.66
56.04,59.05,59.12,55.98
59.37,60.72,61.03,58.54
60.29,62.40,62.46,60.24
62.60,61.26,62.60,61.25
62.12,62.71,63.14,61.80
62.32,62.67,63.33,62.27
63.26,62.57,63.58,62.37
62.18,63.72,63.90,62.15
64.44,64.30,64.44,63.25
63.83,62.28,64.09,62.12
62.49,63.47,63.94,61.49
63.43,62.81,64.49,62.60
63.07,63.64,63.70,62.16
64.29,64.84,64.98,63.79
64.50,66.53,66.61,64.50
66.01,64.42,66.01,64.36
65.52,64.88,65.64,63.18
66.82,67.42,67.97,65.86
66.55,67.74,68.04,66.55
67.19,66.11,67.19,66.11
64.06,63.77,64.72,63.30
64.82,64.09,64.82,62.90
65.45,65.04,65.45,63.69
64.15,64.26,64.85,63.90
64.15,63.58,64.46,62.38
63.56,63.03,63.56,61.91
61.87,61.01,62.44,61.00
61.78,60.70,61.95,60.12
61.24,62.02,62.16,61.13
61.38,61.87,62.20,61.38
61.58,61.90,62.18,61.10
61.23,61.10,62.32,60.94
60.84,60.17,61.47,59.98
60.40,59.65,60.40,59.50
60.07,61.19,61.46,59.99
60.93,61.98,62.28,60.93
61.26,60.39,61.49,60.39
60.04,59.78,60.70,59.78
61.64,62.86,62.86,61.21
62.94,62.61,63.17,62.35
64.68,65.26,65.35,64.01
64.90,65.68,65.96,64.80
66.28,65.30,66.28,65.19
66.34,65.46,66.34,65.15
65.59,65.06,65.59,64.67
64.77,64.53,64.87,63.79
64.24,63.28,64.44,63.21
63.35,64.26,64.55,62.85
63.31,63.49,63.60,62.92
64.26,62.72,64.28,62.43
62.21,61.98,62.78,61.84
62.62,62.20,62.69,61.96
62.49,62.80,63.11,62.33
63.16,62.57,63.92,62.45
63.63,64.73,64.73,63.63
64.29,65.00,65.06,63.81
65.26,65.51,65.76,65.01
65.75,65.62,65.78,65.25
65.28,66.48,66.68,65.23
66.55,65.55,66.55,65.48
65.51,66.23,66.33,65.43
66.63,66.40,66.77,65.73
67.54,66.27,67.78,66.20
66.04,66.03,66.51,65.83
66.17,68.34,69.06,66.17
68.48,69.58,69.96,68.48
70.58,71.03,71.26,70.00
72.46,72.23,72.46,71.57
72.01,73.73,73.79,71.66
73.50,73.79,74.44,72.68
73.07,73.80,73.91,72.75
74.58,74.03,74.61,73.66
73.82,74.61,74.64,73.79
74.91,74.08,75.16,74.04
73.97,73.38,74.27,73.09
73.88,72.65,73.96,72.38
72.35,73.61,73.81,72.15
74.06,75.47,75.64,73.88
75.52,74.65,76.34,74.01
74.68,77.71,77.83,74.68
76.59,76.53,76.79,75.90
76.88,76.61,77.03,76.16
77.88,78.88,79.13,77.46
79.10,79.90,80.27,78.80
81.24,80.78,81.57,80.09
80.46,82.33,82.50,79.97
82.69,81.05,82.69,80.73
81.10,79.71,81.30,78.89
80.03,79.22,80.04,78.63
78.55,78.58,78.70,78.01
79.60,81.00,81.11,79.60
80.28,79.72,80.57,79.41
80.20,79.48,80.66,78.90
79.50,80.60,80.91,79.50
80.60,78.65,80.60,78.63
78.72,76.85,79.00,76.68
76.95,76.53,76.95,75.80
77.05,78.38,78.57,76.83
78.54,78.51,78.90,77.84
77.69,78.04,78.33,76.97
77.97,77.58,77.97,77.15
77.76,76.86,78.29,76.86
77.12,77.64,77.96,76.46
77.52,77.02,77.93,76.53
77.06,76.19,77.06,75.71
75.39,74.40,75.49,73.82
74.59,74.89,75.16,74.53
75.31,76.46,76.76,75.01
76.29,77.04,77.20,76.29
76.91,76.65,77.24,76.49
76.95,77.85,77.85,76.75
77.79,77.42,78.00,77.00
77.64,78.37,78.45,77.45
78.81,78.48,78.81,78.04
78.39,79.16,79.70,78.22
78.76,77.78,78.78,77.61
77.77,78.39,78.74,77.70
77.77,78.07,78.13,77.15
77.98,78.46,78.51,77.76
79.08,80.38,80.48,78.54
80.34,79.66,80.70,79.64
80.95,80.33,81.89,79.23
79.79,80.12,80.41,79.34
80.56,80.46,81.04,80.05
80.18,81.28,81.31,79.75
81.26,81.83,82.10,81.05
81.12,80.12,81.12,79.43
79.56,80.70,80.97,79.55
79.52,78.41,79.52,78.18
78.20,75.33,78.28,75.25
76.33,76.14,76.92,75.90
76.42,76.35,76.80,76.10
76.11,74.63,76.11,74.46
74.83,73.90,74.96,72.85
74.43,75.39,76.00,74.40
75.12,74.78,75.32,74.54
77.02,77.77,78.92,77.01
78.18,78.87,79.29,77.84
78.09,79.08,79.15,77.74
79.11,79.11,79.53,78.60
79.69,81.17,81.24,79.36
81.38,81.50,81.90,81.18
81.85,82.13,82.45,80.50
82.37,81.34,82.49,81.09
81.18,81.17,82.32,80.73
80.52,82.09,82.31,80.52
81.96,80.52,82.47,80.21
80.22,78.80,80.22,78.75
78.99,80.54,81.16,78.99
79.65,80.90,80.90,78.69
79.67,80.18,80.40,79.11
80.69,81.16,81.43,80.26
80.73,82.58,82.97,80.73
82.00,82.31,82.85,81.61
82.23,82.65,83.18,82.18
82.86,82.76,83.37,82.46
83.00,79.95,83.23,79.86
79.95,78.69,79.95,76.00
79.09,81.36,81.46,78.90
81.36,81.11,82.45,80.76
80.27,81.10,81.23,79.48
80.87,82.02,82.02,80.75
82.16,82.23,82.25,81.43
82.21,82.41,82.73,81.40
82.07,81.47,82.07,80.98
81.29,80.44,81.29,79.60
79.39,78.30,79.46,77.81
78.28,78.47,79.52,77.00
78.21,79.96,80.23,78.16
80.70,81.23,81.40,80.46
82.48,80.33,82.48,80.33
79.86,81.70,81.95,79.61
82.51,79.96,82.51,79.89
80.29,81.24,81.29,79.83
81.11,80.71,81.99,80.45
80.94,82.60,82.71,80.58
82.65,83.63,83.77,82.29
83.27,84.28,84.74,83.09
84.89,85.27,85.94,84.82
86.04,86.03,86.60,85.47
87.00,86.25,87.38,85.83
86.70,87.52,87.68,85.42
86.26,86.26,86.70,85.73
86.54,86.54,87.16,85.99
87.04,88.66,89.99,86.57
87.74,86.25,88.42,84.93
88.52,88.47,88.59,87.31
88.70,92.01,92.07,88.70
92.21,92.68,92.74,91.62
92.75,93.25,93.48,92.21
92.97,92.25,93.19,91.87
92.18,92.45,92.80,91.78
93.15,91.39,93.20,91.22
91.41,89.65,91.41,88.88
88.90,90.41,90.75,87.91
90.94,91.23,91.52,90.45
91.27,92.20,92.57,90.93
92.33,93.12,93.39,91.80
92.96,93.32,93.98,92.74
93.69,92.53,93.69,92.24
92.08,91.63,92.56,91.26
90.60,90.13,90.60,88.69
90.55,89.03,90.73,88.64
90.39,89.91,90.64,89.37
91.67,91.48,91.79,90.78
92.08,93.61,94.25,92.08
93.77,92.40,94.12,92.29
92.00,89.88,92.50,89.88
90.47,87.24,90.76,87.08
86.07,85.51,86.53,84.34
86.70,86.08,87.60,86.01
86.10,86.24,86.74,85.99
86.65,86.78,87.24,86.31
86.62,85.64,86.78,85.39
85.40,85.57,86.06,85.23
85.26,85.28,85.80,85.06
84.88,85.68,85.68,84.44
85.89,86.60,86.78,85.82
86.52,87.70,87.90,86.41
87.66,86.50,87.66,86.11
86.42,86.62,86.74,85.78
86.25,86.60,86.68,85.88
87.09,86.65,87.72,86.24
86.63,87.64,87.91,86.25
87.39,87.47,87.72,86.80
87.31,88.43,88.74,87.29
88.86,88.65,89.02,87.92
88.72,88.95,89.04,88.28
89.20,88.98,89.47,88.80
88.73,88.24,88.73,87.92
88.95,88.53,88.95,87.68
88.82,90.63,90.86,88.61
90.60,90.24,90.73,89.87
90.82,92.02,92.31,90.81
92.29,91.59,92.36,91.04
91.55,90.73,91.64,90.62
90.96,90.91,91.11,90.65
91.23,91.41,91.73,90.95
91.43,92.23,92.86,91.02
92.60,92.93,93.64,92.40
93.26,93.91,93.98,92.17
94.00,94.79,94.80,93.93
95.19,95.29,95.64,94.83
95.18,95.27,95.33,94.64
96.13,96.25,96.67,95.91
95.95,94.79,95.95,94.63
95.65,93.75,96.11,93.69
94.60,92.41,94.60,92.10
92.92,93.59,94.09,92.31
93.46,93.41,94.08,92.69
94.01,93.72,94.91,93.24
94.10,94.67,94.73,93.92
95.11,94.88,95.42,94.27
95.42,95.13,95.72,94.50
95.54,95.56,96.50,95.08
95.60,94.51,95.60,94.44
94.56,92.57,94.81,92.55
92.57,92.18,92.78,91.47
92.77,92.59,93.68,92.30
92.91,92.34,93.28,92.12
92.52,92.50,92.83,92.00
93.34,93.37,93.54,92.50
93.50,94.80,95.18,93.29
94.63,93.60,94.63,93.60
93.42,90.05,93.45,89.24
90.27,89.30,90.27,88.65
88.50,87.71,88.77,86.29
88.50,87.29,88.95,87.23
87.83,87.28,88.54,87.00
87.31,85.62,87.51,85.26
85.83,83.82,86.03,83.50
84.56,85.35,86.08,83.96
85.47,83.53,87.43,83.50
83.74,85.47,85.64,83.73
85.65,85.46,86.12,85.19
84.37,83.33,84.69,82.73
83.51,82.64,83.55,82.16
81.92,84.45,85.03,81.75
85.67,85.74,86.36,85.30
85.54,86.14,86.63,85.22
86.25,83.86,86.54,83.58
83.86,81.72,83.87,81.35
82.46,84.30,84.58,82.02
85.55,85.65,86.35,84.44
85.46,87.23,87.27,85.46
87.41,87.50,87.67,86.91
87.73,88.61,88.61,87.70
88.59,88.13,88.59,87.32
88.18,87.70,88.73,87.59
87.63,88.17,88.22,85.95
88.62,89.40,89.45,88.54
89.71,88.87,89.71,88.28
89.63,88.13,89.63,87.85
88.65,87.98,88.65,87.39
88.25,87.82,88.25,86.86
87.60,87.65,88.44,87.41
88.09,87.28,88.09,87.15
87.69,88.79,89.13,87.69
89.13,90.52,90.76,89.13
90.59,90.27,90.85,89.99
90.06,89.26,90.38,88.98
89.06,88.58,89.74,88.38
88.66,89.41,89.41,88.59
89.76,90.66,90.66,89.49
90.66,89.49,90.66,89.23
89.71,89.24,89.86,89.00
87.80,88.51,88.93,87.40
88.23,88.30,88.34,87.81
88.46,87.62,88.54,87.30
87.95,87.54,88.83,86.17
87.29,86.38,87.59,86.38
86.36,87.91,88.10,85.96
90.24,91.24,91.26,89.94
90.87,91.61,92.18,90.47
91.61,92.51,93.11,91.37
92.70,93.41,93.41,91.99
93.07,94.21,94.21,93.07
94.64,95.48,95.58,94.17
96.00,95.56,96.48,94.50
95.86,95.51,96.13,94.65
95.79,96.25,96.42,95.39
95.83,96.98,97.27,95.46
96.98,95.82,97.19,95.80
96.37,95.68,96.45,95.29
95.98,95.72,95.98,95.00
95.42,95.87,96.05,94.99
95.96,94.84,95.96,94.74
94.64,95.13,96.21,94.52
95.58,96.36,96.43,95.14
96.68,95.84,96.79,95.74
96.05,95.89,96.09,95.01
95.87,94.45,96.20,94.13
94.78,95.09,95.44,94.18
95.71,96.05,96.43,95.09
95.60,95.14,96.01,94.89
95.62,96.52,96.65,95.44
96.53,96.32,96.98,95.57
96.64,95.28,96.76,94.59
95.60,95.96,96.43,95.35
96.15,95.32,96.80,95.26
95.63,94.87,95.78,94.82
95.22,95.35,95.89,94.86
95.09,95.13,95.54,94.51
95.41,95.46,95.78,94.97
95.50,96.27,96.34,95.22
96.30,95.45,96.84,95.41
95.23,94.24,95.30,93.63
94.54,95.56,95.60,94.54
94.30,92.01,94.30,91.94
92.40,91.96,92.72,91.15
91.99,93.26,93.82,91.96
93.14,93.95,94.39,93.14
93.59,95.03,95.22,92.89
94.69,96.73,96.73,94.69
97.14,97.92,98.50,97.12
98.23,98.79,98.96,98.20
98.84,99.47,99.50,98.48
99.84,100.15,100.33,98.43
99.62,100.28,100.33,99.62
100.27,100.65,100.65,99.72
99.68,99.36,99.92,99.03
99.84,100.53,100.53,99.42
100.60,99.91,100.73,99.61
98.51,98.99,99.68,97.98
99.62,98.30,99.96,97.57
98.74,98.90,99.46,98.74
98.80,97.88,99.17,97.53
98.39,98.64,98.72,97.75
99.26,98.01,99.28,97.25
98.00,97.69,98.32,97.12
97.73,98.84,98.88,96.50
99.34,99.88,100.41,99.27
100.27,98.52,100.39,97.99
98.72,99.66,100.29,98.72
100.33,97.17,100.33,96.44
97.83,97.89,98.09,96.64
96.47,97.90,97.99,96.03
98.15,98.12,98.26,96.87
98.42,98.91,99.55,97.88
99.00,101.26,101.42,99.00
101.30,102.40,103.04,101.30
101.92,102.90,102.90,101.65
102.68,100.09,102.81,99.66
101.01,101.79,101.88,99.51
101.62,102.18,102.49,99.58
102.50,101.22,102.66,100.11
102.81,105.88,105.94,102.76
106.60,106.52,106.82,105.38
106.99,107.23,108.59,106.11
106.54,104.57,106.77,104.48
105.71,106.11,106.47,104.91
106.25,106.14,107.04,105.40
106.65,106.72,107.27,106.20
106.73,105.81,106.74,105.04
105.68,103.13,105.81,103.13
103.90,104.63,105.25,103.82
105.69,104.98,107.22,104.97
105.27,105.12,105.36,104.01
105.70,104.24,105.95,104.03
104.73,104.34,104.90,103.50
104.65,104.02,105.17,103.86
104.29,107.08,107.14,104.02
107.36,109.64,109.84,107.21
109.94,111.79,111.80,109.89
111.81,110.11,112.09,109.41
110.32,108.96,110.36,107.34
109.86,110.03,110.03,108.60
110.06,108.69,110.55,108.57
108.87,109.76,110.22,108.55
110.41,109.02,112.69,108.03
107.64,110.37,110.62,105.72
110.01,110.21,110.34,109.00
111.42,112.29,112.95,111.07
111.86,111.45,112.26,110.38
111.79,112.98,113.38,111.58
113.06,111.06,113.53,111.06
111.59,109.68,111.69,106.46
109.86,107.52,110.48,106.83
107.24,105.21,108.80,104.38
105.32,107.89,107.89,104.81
108.80,110.43,110.57,108.75
111.00,109.46,111.05,108.56
109.15,109.14,110.47,107.27
109.98,106.77,110.45,106.75
106.34,107.32,107.95,105.52
107.40,106.03,107.40,105.68
106.00,104.70,106.95,104.32
105.33,106.12,106.71,104.45
