UWM,ProShares Ultra Russell2000,NASDAQ
38.43,39.42,39.47,37.95
39.44,37.13,39.57,37.10
37.61,38.82,38.85,37.57
37.68,36.39,37.69,35.91
35.74,35.26,36.33,34.74
34.77,32.50,35.57,28.60
32.05,30.72,32.94,30.06
33.76,34.18,34.21,33.16
33.37,34.64,35.69,33.16
35.04,36.80,36.86,34.97
36.61,36.09,37.28,35.73
35.60,34.66,35.63,33.72
35.13,34.81,35.68,32.88
35.75,33.63,35.93,33.25
33.15,32.68,33.91,31.74
31.00,29.37,31.29,29.33
28.37,30.23,30.77,28.11
29.97,29.44,30.56,29.38
28.17,29.42,29.47,27.14
29.63,29.50,31.03,29.24
31.08,32.10,32.12,30.55
31.86,31.24,32.14,30.78
30.67,29.38,31.46,29.34
29.71,31.03,31.06,29.18
31.18,31.81,31.98,30.86
30.02,28.61,30.66,28.45
28.89,27.17,29.13,27.10
27.31,27.07,27.74,26.09
27.55,27.13,28.46,26.85
28.11,29.01,29.03,27.92
28.31,29.83,29.89,28.22
30.60,30.19,31.25,30.03
30.74,31.66,31.87,30.46
31.18,31.44,32.09,31.03
31.84,31.48,31.91,30.77
31.70,31.56,32.08,31.22
32.58,30.90,32.68,30.54
31.15,29.65,31.81,29.56
29.49,29.45,30.08,28.75
28.96,28.54,29.41,28.38
28.71,29.47,29.74,28.21
29.46,29.16,30.04,28.84
28.19,26.93,28.19,26.52
26.77,26.33,27.61,26.16
26.37,25.92,26.55,24.59
26.16,25.38,26.29,25.02
26.27,24.67,26.69,24.38
24.82,26.39,26.45,24.82
27.03,27.15,27.29,26.37
27.16,27.99,28.01,27.00
27.88,27.43,28.23,26.86
28.19,29.12,29.34,27.93
28.97,28.92,29.30,28.46
29.03,28.38,29.03,27.69
27.96,26.33,28.07,26.15
26.48,26.49,26.73,25.51
25.76,27.42,27.51,25.57
27.87,26.46,27.96,26.31
27.24,28.33,28.50,27.24
28.03,29.70,29.80,27.89
30.00,31.09,31.11,29.67
31.63,30.84,31.82,30.64
30.76,29.83,31.03,29.50
30.39,29.70,30.62,28.75
28.91,29.79,30.26,28.66
30.85,30.76,31.13,30.27
30.59,30.28,31.13,29.80
30.63,30.91,31.08,30.38
30.32,30.19,30.83,30.14
29.22,29.83,30.09,28.66
30.27,30.49,30.71,29.85
29.86,29.33,30.06,28.88
28.18,27.06,28.18,26.87
25.96,26.74,27.08,25.87
26.52,26.12,26.67,26.06
25.80,26.53,26.88,25.57
27.14,27.47,27.93,26.83
27.40,27.64,28.18,26.88
27.44,26.17,27.60,26.00
25.90,26.13,26.19,25.31
26.57,25.48,26.82,25.44
24.64,24.90,25.45,24.17
24.47,25.60,25.74,24.28
25.81,25.28,26.25,25.06
25.85,26.59,26.69,24.81
26.31,25.40,26.57,25.39
25.28,25.28,25.91,24.88
26.16,27.25,27.26,26.02
27.24,27.86,27.99,27.04
28.71,28.83,29.03,28.20
28.65,27.76,28.66,27.56
27.88,28.08,28.52,27.85
28.96,28.12,28.98,27.70
28.37,28.28,28.62,27.96
28.93,29.63,29.84,28.82
29.51,29.41,29.96,29.20
29.24,29.74,29.91,28.80
29.62,29.37,29.78,28.86
29.77,29.57,29.88,28.77
29.80,31.22,31.41,29.39
31.25,30.87,31.63,30.79
30.70,30.12,31.12,29.67
29.66,29.40,30.57,29.21
30.23,31.30,31.37,30.15
31.32,31.17,31.48,30.87
31.32,31.75,31.90,30.16
31.66,31.95,32.22,31.46
32.40,31.78,32.78,31.28
32.39,32.14,32.51,31.56
31.97,31.28,32.36,30.83
31.96,33.03,33.20,31.56
32.96,32.79,33.23,32.44
33.22,32.64,33.25,32.16
32.72,33.47,33.81,32.38
33.50,33.53,34.00,33.31
33.33,33.75,33.96,32.62
34.14,34.70,35.25,33.92
34.73,34.73,35.07,34.04
35.27,34.44,35.36,34.04
34.70,35.03,35.12,34.41
34.15,33.61,34.86,33.10
33.98,34.30,34.71,33.71
34.67,34.01,35.17,33.11
34.18,34.41,34.50,33.90
34.96,34.83,35.69,34.72
34.45,34.79,35.24,34.08
34.29,34.58,34.71,33.65
35.14,34.23,35.19,33.88
33.96,34.40,34.74,33.93
34.74,33.94,35.24,33.42
34.78,35.30,35.37,34.37
35.42,35.62,35.67,34.55
36.89,37.40,37.43,36.69
37.53,37.83,38.05,37.36
37.62,37.77,37.96,37.16
37.96,36.77,38.11,36.35
36.85,37.54,37.56,36.14
36.74,37.25,37.56,36.47
36.55,36.04,37.10,35.90
36.38,36.03,36.85,35.99
35.51,34.61,35.64,34.14
34.76,34.86,35.00,34.42
35.67,36.18,36.53,35.66
35.94,36.40,36.57,35.50
36.16,36.79,36.95,35.71
35.87,36.07,36.20,35.45
36.74,37.70,37.70,36.71
37.21,37.17,37.67,37.06
36.92,37.29,37.47,35.94
36.42,36.67,37.19,36.10
38.07,38.33,38.53,38.03
38.42,39.11,39.25,38.32
38.81,39.65,39.90,38.72
39.62,40.14,40.38,39.49
41.12,40.62,41.32,40.45
40.79,40.60,41.08,40.41
41.19,40.86,41.19,40.53
41.12,41.90,42.07,40.84
42.19,41.45,42.34,41.44
41.83,41.44,41.85,41.27
41.35,41.14,42.20,40.98
41.30,41.91,42.10,40.95
41.98,42.15,42.31,41.39
42.48,42.51,43.00,42.06
42.82,43.46,43.53,42.80
43.65,43.41,43.80,43.32
43.56,43.34,43.74,43.19
43.05,43.57,43.73,42.86
43.72,43.32,43.78,43.09
43.51,43.50,43.62,43.34
43.42,43.37,43.84,43.35
43.24,42.69,43.46,42.68
43.51,44.24,44.70,43.31
44.52,42.94,44.58,41.99
42.90,43.91,43.95,42.60
44.02,43.55,44.14,43.17
43.81,43.02,44.03,41.83
42.70,43.48,43.85,42.04
43.96,43.86,44.29,43.41
44.62,44.57,44.80,44.12
44.65,44.59,44.98,44.18
44.53,45.24,45.42,44.35
44.99,45.34,45.34,44.52
45.31,43.04,45.44,42.81
42.55,42.10,43.00,41.69
42.64,41.55,42.64,41.46
41.57,42.14,42.47,41.44
41.66,42.27,42.28,41.27
42.41,43.61,43.87,42.13
43.61,43.87,44.21,43.19
43.84,41.72,43.97,41.64
42.21,42.27,42.89,41.57
42.99,44.20,44.53,42.78
44.11,43.95,44.67,43.89
43.85,44.24,44.35,42.88
44.11,44.36,44.48,43.69
44.53,45.24,45.90,44.44
45.27,45.91,45.92,44.90
45.68,45.47,45.97,45.00
44.90,45.84,45.94,44.80
45.50,46.87,46.87,45.40
46.90,47.29,47.44,46.81
47.07,46.82,47.25,46.57
47.02,47.52,47.69,46.96
47.43,48.22,48.48,47.31
48.46,48.34,48.79,47.97
47.57,45.86,48.14,45.70
46.04,44.29,46.08,43.67
44.39,44.80,45.25,43.75
45.26,46.86,46.87,45.18
47.42,46.98,47.65,46.23
47.36,45.13,47.40,44.81
45.02,45.48,45.95,44.71
46.41,47.55,47.79,46.40
47.59,47.23,47.59,46.27
47.50,45.66,47.60,44.86
45.66,47.12,47.52,45.03
46.87,46.68,47.28,46.36
45.53,44.37,45.53,44.03
43.60,44.52,45.10,43.54
43.62,44.07,44.70,43.16
42.06,43.27,43.94,41.64
42.91,42.42,43.90,41.87
43.61,42.62,43.67,42.62
43.54,43.65,43.83,43.26
44.83,45.74,45.74,44.72
45.86,45.25,45.99,45.00
45.01,45.49,45.76,44.10
46.16,46.20,46.45,45.30
46.65,47.00,47.90,46.24
47.24,46.72,47.56,46.67
46.86,47.60,47.71,46.27
48.05,48.85,48.99,47.91
48.85,49.24,49.36,48.68
49.95,49.63,50.20,49.30
49.91,49.88,50.13,49.62
49.82,50.36,51.06,49.63
50.96,50.53,51.22,50.08
50.71,50.04,51.08,49.74
50.50,49.00,50.59,48.55
49.07,48.13,49.31,47.74
47.61,46.89,47.90,46.77
47.43,46.94,47.61,46.31
46.21,47.38,47.43,46.08
47.40,48.31,48.32,46.94
46.85,46.82,46.90,45.97
47.11,46.80,47.42,46.27
48.35,48.76,48.76,48.05
49.30,49.39,49.43,48.60
49.35,49.32,49.50,48.64
49.50,50.22,50.82,49.33
50.35,50.85,50.95,49.93
50.76,51.50,52.15,50.69
51.48,51.71,52.03,51.14
52.13,50.43,52.16,50.39
50.29,49.25,50.61,48.54
49.38,47.96,49.38,47.42
47.34,47.55,48.93,47.05
48.62,47.97,49.25,47.55
47.89,49.15,49.21,47.81
49.62,50.61,50.61,49.51
50.30,48.81,50.42,48.34
48.22,49.55,49.90,47.64
49.71,48.31,49.95,48.01
47.62,46.83,48.69,46.75
46.05,46.56,46.84,45.80
46.67,47.98,47.99,46.52
48.60,48.16,48.73,47.35
47.93,47.44,48.13,46.82
45.78,45.75,46.40,45.57
46.01,45.34,46.40,45.15
45.10,46.42,46.75,45.09
46.11,47.62,47.69,46.05
48.08,48.26,48.62,47.87
49.44,49.66,49.67,48.45
49.52,46.58,49.53,46.45
46.74,46.48,47.13,45.93
45.01,45.08,46.07,44.90
44.95,43.58,45.29,43.55
44.16,43.83,44.56,43.78
43.54,42.79,43.80,42.68
43.11,43.27,43.74,42.71
42.77,41.87,42.89,41.53
42.14,41.69,42.58,41.20
42.42,43.43,43.71,42.34
42.50,41.92,43.18,41.59
41.98,42.12,42.80,41.05
42.95,42.14,43.09,41.72
41.82,42.88,43.19,41.80
43.59,44.74,44.86,43.42
44.29,44.08,45.25,44.05
43.04,44.38,44.58,42.17
44.73,43.95,44.88,43.46
43.92,44.61,44.80,43.41
44.94,46.05,46.05,44.75
46.27,46.41,46.68,45.60
46.69,47.19,47.39,46.56
47.22,48.53,48.73,46.95
48.68,48.81,48.92,48.21
48.69,49.21,49.34,48.30
50.23,50.67,51.07,49.93
49.50,50.12,50.18,49.15
48.83,48.01,49.37,47.72
47.48,47.45,48.48,47.37
48.07,48.29,49.31,47.88
48.48,46.75,48.94,46.52
47.12,47.32,47.47,46.66
46.93,45.86,47.14,45.30
46.70,47.87,47.99,46.63
47.93,47.73,48.02,47.15
48.06,48.64,49.02,47.82
48.50,48.69,48.98,48.00
47.58,47.56,48.38,47.22
47.41,46.88,47.63,46.23
46.27,44.13,46.27,43.98
44.06,43.99,45.16,43.80
42.71,43.72,44.30,42.08
44.81,43.36,45.18,42.46
42.93,40.54,43.74,40.42
40.49,41.08,41.17,38.60
39.83,36.12,39.95,36.10
37.05,34.85,37.38,33.26
32.58,28.86,34.19,28.80
30.38,32.69,32.75,27.57
30.58,29.41,31.99,29.25
29.81,32.30,33.25,29.42
32.90,32.70,33.46,31.80
33.43,34.55,34.61,33.26
33.37,33.29,34.20,32.54
33.80,33.28,34.30,32.63
31.05,29.51,31.16,28.93
28.20,28.41,30.32,28.15
30.05,28.30,30.10,27.86
28.64,30.98,31.08,28.11
30.90,31.87,32.30,30.38
32.61,30.30,32.90,30.12
30.09,31.79,31.97,29.04
32.66,34.76,34.86,32.63
34.31,35.12,35.62,33.58
35.56,34.95,36.22,34.31
35.07,33.47,35.95,33.14
31.91,31.04,32.56,30.74
28.80,30.88,30.90,28.79
31.90,33.23,33.30,31.57
32.74,31.96,33.62,31.64
31.20,30.08,31.60,29.41
29.09,30.64,30.74,29.09
31.01,31.60,31.83,30.37
32.17,32.70,33.58,30.91
33.31,33.63,33.65,32.34
33.85,33.71,34.19,33.12
32.37,32.53,33.25,31.77
32.77,31.51,33.50,31.49
31.40,29.16,31.94,29.15
27.17,27.49,28.58,26.49
27.39,28.12,28.43,27.24
28.71,29.17,29.24,27.37
30.44,30.38,31.82,29.95
30.37,28.16,30.68,27.98
29.44,29.05,29.63,27.36
28.02,27.23,28.90,27.23
26.87,24.44,27.83,24.34
23.93,27.52,27.58,23.74
27.51,28.29,28.64,26.78
28.09,29.52,29.62,27.80
29.71,28.04,29.91,27.79
29.30,30.51,30.52,29.09
29.97,30.92,31.19,29.79
31.44,31.71,32.47,31.26
31.44,31.76,32.10,30.68
32.53,33.04,33.19,31.91
32.42,30.96,32.53,30.70
31.21,32.71,33.09,30.01
32.48,31.45,32.99,31.08
31.51,31.58,31.65,29.87
32.42,32.93,32.96,31.94
33.24,35.03,35.20,33.10
34.51,33.09,34.58,32.89
34.22,34.25,34.63,32.34
36.76,37.82,38.34,36.02
37.69,37.57,38.34,37.20
36.25,35.40,36.85,35.40
32.77,33.13,34.46,32.54
34.12,34.64,34.74,33.37
35.68,36.30,36.52,33.80
35.50,35.94,36.13,34.94
35.83,35.81,36.19,34.32
36.47,36.87,36.92,34.86
34.67,33.31,35.27,33.22
34.40,33.73,34.50,33.05
34.61,35.50,35.72,34.50
35.29,34.57,35.47,34.05
34.23,35.45,35.82,33.77
34.66,34.30,36.05,34.14
34.19,33.28,34.66,32.90
33.56,33.28,33.74,32.82
31.96,31.68,32.23,31.10
31.59,31.18,32.03,30.84
30.53,29.23,30.66,29.12
28.81,28.50,29.68,28.46
30.58,31.13,31.28,30.44
31.22,31.01,31.51,30.58
33.64,34.67,34.70,33.24
34.41,34.18,35.05,34.05
35.00,34.40,35.51,34.25
35.79,35.59,36.22,35.05
35.65,35.67,36.12,34.99
35.18,35.58,35.91,34.08
34.84,33.33,35.07,33.20
33.49,35.35,35.73,33.37
34.35,34.34,34.37,33.42
35.04,32.88,35.25,32.55
32.29,32.05,32.71,31.66
33.03,32.65,33.04,32.09
33.16,33.14,34.10,32.71
33.78,32.02,34.04,31.87
33.42,34.60,34.68,33.41
34.24,34.82,35.09,33.54
35.25,35.32,35.70,35.06
35.55,35.59,35.69,35.14
35.31,35.78,36.15,35.12
35.88,34.52,35.89,34.33
34.79,35.18,35.42,34.66
35.16,34.86,35.52,34.84
36.61,35.95,36.79,35.76
35.55,35.58,35.81,35.08
35.03,35.91,36.28,34.42
36.01,35.77,36.32,35.27
36.09,36.10,36.25,35.42
37.07,37.18,37.34,36.90
36.87,37.46,37.57,36.79
37.68,37.71,37.80,36.87
37.10,37.27,37.38,36.54
38.00,37.21,38.15,37.04
37.22,38.56,38.59,37.07
38.99,39.05,39.21,38.53
38.97,39.15,39.35,38.78
39.15,39.00,39.71,38.41
38.56,39.50,39.60,38.16
39.46,40.15,40.43,39.06
40.71,40.06,40.78,39.61
39.67,40.59,40.63,39.61
39.94,40.00,40.29,39.37
40.49,39.94,40.68,39.43
40.63,41.67,41.77,40.34
41.94,42.08,42.44,41.63
43.46,43.95,44.20,43.19
43.50,43.67,43.89,43.31
43.57,43.60,43.97,43.03
43.77,43.70,44.18,42.85
43.98,43.35,44.00,42.76
42.36,42.13,42.55,41.94
43.04,43.22,43.33,42.48
42.78,42.86,43.00,42.23
43.32,42.14,43.32,41.84
42.17,43.69,43.79,42.13
44.21,43.69,44.23,43.53
43.84,43.09,43.94,42.70
42.83,42.40,43.22,42.34
42.58,43.64,43.73,42.09
43.72,43.52,43.91,43.34
42.67,43.37,43.84,42.06
43.44,43.16,43.94,42.69
43.43,41.76,43.85,41.76
42.19,42.21,43.18,42.16
42.20,40.97,42.41,40.56
40.75,41.08,41.12,40.14
40.18,39.40,40.31,39.10
39.61,40.16,40.24,39.50
40.72,41.23,41.38,40.04
41.22,42.38,42.89,41.18
42.51,42.18,42.67,41.77
42.83,43.84,43.87,42.47
43.75,43.12,44.00,42.74
43.00,43.88,43.89,42.76
44.00,43.72,44.05,43.41
43.65,44.54,45.21,43.50
43.84,43.71,44.06,43.30
43.96,43.66,44.20,43.38
42.74,42.86,43.18,42.30
42.97,43.72,43.77,42.18
44.79,45.46,45.54,44.67
45.50,44.83,45.75,44.78
44.83,44.34,45.05,43.56
43.72,43.98,44.21,42.95
44.61,43.76,44.62,43.49
43.47,44.83,44.91,43.33
44.70,44.34,45.05,43.90
43.35,42.87,43.35,42.34
42.51,42.50,42.91,42.31
40.92,41.11,41.42,40.68
40.79,39.09,41.00,38.90
39.79,40.21,40.32,39.62
40.31,41.38,41.68,40.20
41.10,40.33,41.16,40.19
40.67,40.38,40.94,39.62
41.07,41.62,42.32,41.05
41.18,40.95,41.42,40.58
41.09,40.43,41.74,39.98
41.02,40.87,41.71,40.81
39.69,39.83,39.87,39.01
39.86,40.38,40.64,39.58
41.49,41.71,42.10,41.25
41.72,42.48,42.63,41.53
42.72,43.15,43.30,41.77
43.11,42.17,43.14,42.17
42.31,42.22,43.75,42.00
41.62,42.48,42.54,41.25
42.41,41.32,42.46,40.85
40.76,39.76,40.81,39.60
39.42,39.99,40.23,39.27
39.33,39.86,39.93,38.61
38.81,39.47,39.88,38.61
39.97,39.72,40.17,39.27
39.10,39.51,40.18,39.05
38.73,38.51,39.08,38.25
38.47,38.33,39.11,38.10
38.57,37.87,39.01,37.74
37.85,36.10,37.96,36.06
36.09,35.28,36.55,35.20
35.63,37.01,37.03,35.14
37.03,36.62,37.60,36.13
35.89,37.11,37.22,35.37
37.06,37.26,37.33,36.19
37.24,37.15,37.49,36.88
37.97,38.26,38.46,37.37
37.47,36.80,37.58,36.70
36.82,36.64,37.14,35.69
35.04,34.50,35.61,34.37
34.69,34.32,34.95,33.65
33.96,35.17,35.25,33.91
35.74,36.91,37.00,35.62
38.13,36.45,38.14,36.45
36.42,37.42,37.51,35.89
38.25,35.76,38.29,35.63
35.96,36.71,36.71,35.32
36.50,35.85,36.97,35.51
35.83,36.71,36.90,35.67
36.85,37.59,37.71,36.56
37.02,37.70,37.98,36.80
38.06,38.97,39.43,37.95
39.06,38.88,39.45,38.37
38.79,37.08,38.91,36.90
37.51,37.90,38.09,37.07
36.80,36.71,37.07,36.43
36.84,37.04,37.32,36.23
37.20,38.06,38.17,37.14
37.49,38.00,38.10,36.86
39.67,40.42,40.42,39.25
40.60,41.14,41.23,39.94
41.23,42.21,42.26,41.14
42.28,42.16,42.56,41.75
41.49,41.21,41.52,40.82
41.16,40.88,41.18,40.53
41.50,39.98,41.63,39.62
40.05,39.71,40.28,39.21
39.07,39.45,39.75,38.25
39.75,40.37,40.73,39.70
40.24,40.06,40.51,39.75
40.63,40.38,40.75,39.28
40.21,40.82,41.33,40.17
41.21,40.53,41.35,40.41
39.94,39.63,40.04,39.42
38.11,38.25,38.63,37.77
38.57,37.29,38.57,36.86
37.62,37.42,37.96,37.10
38.58,38.00,38.75,37.60
38.38,39.91,40.25,37.98
40.06,39.58,40.42,39.28
39.29,38.92,40.01,38.90
39.43,37.50,39.52,37.50
36.84,37.33,37.81,36.80
38.48,39.12,39.49,38.17
39.21,39.70,40.13,39.09
40.38,40.38,41.05,40.14
40.08,40.31,40.69,40.01
40.27,40.68,40.88,40.19
40.25,40.42,40.54,40.00
40.31,40.32,40.48,39.39
40.79,40.11,40.91,39.75
39.86,40.72,40.75,39.80
40.67,41.57,41.78,40.32
41.71,42.22,42.36,41.50
42.08,41.93,42.15,41.49
42.43,41.97,43.24,41.69
41.79,41.56,41.99,41.28
41.54,41.05,41.55,40.68
40.82,41.19,41.51,40.58
41.73,41.45,41.88,41.05
41.46,41.81,42.00,41.22
41.98,42.11,42.45,41.63
41.66,41.23,41.73,41.09
41.96,41.59,41.99,40.80
41.68,42.60,42.95,41.01
42.72,42.60,43.03,42.35
43.12,44.12,44.51,43.05
44.39,44.80,44.98,44.27
44.76,44.42,45.04,44.35
44.45,44.60,45.15,44.41
45.08,45.12,45.23,44.47
45.20,46.24,46.84,44.77
46.55,47.12,47.73,46.54
46.71,46.70,46.93,46.24
46.43,46.41,46.60,46.01
46.57,46.27,46.72,46.09
45.73,45.84,46.03,45.20
46.72,46.16,46.76,46.12
45.84,45.88,46.41,45.55
46.45,44.57,46.52,44.44
44.75,43.99,44.79,43.64
44.39,44.98,45.23,43.91
44.62,44.09,44.86,44.08
44.76,44.53,45.43,44.16
45.00,44.61,45.09,44.19
44.81,44.45,45.09,44.00
44.81,45.11,45.13,44.03
45.49,45.00,46.17,44.68
44.44,44.41,44.72,44.23
44.44,43.38,44.51,43.20
43.41,43.25,43.58,42.93
43.86,43.49,44.23,43.34
43.52,42.79,43.77,42.64
43.07,43.40,43.40,42.48
43.82,44.02,44.13,43.69
44.18,44.81,44.96,44.03
44.73,44.27,44.96,44.24
43.56,42.56,43.63,42.15
42.30,42.53,42.66,42.02
41.80,42.10,42.20,41.07
42.38,41.85,42.54,41.58
42.56,42.21,42.80,41.52
42.13,41.76,42.55,41.11
41.84,42.08,42.33,41.54
42.56,43.15,43.40,42.20
43.57,41.87,43.63,41.79
41.75,42.35,42.42,41.50
42.64,42.95,43.19,42.58
41.96,40.92,41.96,40.45
40.75,39.73,41.04,39.73
39.40,39.88,40.48,39.29
40.21,39.67,40.21,39.57
39.27,39.27,40.05,39.13
39.42,37.77,39.60,37.59
37.60,37.43,37.99,36.84
37.35,38.02,38.17,36.69
38.80,39.56,39.68,38.73
39.46,39.76,39.79,39.13
39.91,40.20,40.20,39.63
40.36,41.00,41.00,40.36
40.86,41.26,41.26,40.56
41.18,41.14,41.72,41.07
40.74,41.77,41.77,40.09
42.45,42.73,42.90,42.12
42.92,42.63,42.92,42.24
43.24,42.47,43.25,42.23
42.58,42.66,42.80,41.95
42.98,42.44,43.01,41.89
42.46,42.59,42.79,42.12
43.01,42.66,43.05,42.34
42.91,43.09,43.17,42.71
43.63,43.96,44.10,43.45
44.21,43.47,44.36,43.30
43.52,42.94,43.74,42.61
42.70,42.97,43.30,42.61
43.17,44.02,44.02,43.05
44.28,45.32,45.38,44.04
45.50,45.42,45.92,45.08
45.46,45.91,45.98,45.19
44.58,45.52,45.52,44.22
45.29,45.04,45.35,44.78
45.33,44.35,45.43,44.35
44.68,44.34,44.69,43.22
43.90,43.74,44.58,43.72
43.88,45.52,45.72,43.58
47.82,48.36,48.38,47.39
48.42,48.21,48.87,47.88
48.57,48.76,49.04,48.20
48.33,48.45,48.61,48.14
48.44,48.48,48.56,47.90
48.57,48.82,48.94,48.53
49.28,49.04,49.31,48.53
49.03,48.99,49.15,48.59
48.76,49.00,49.15,48.63
48.39,49.36,49.53,48.32
49.17,49.12,49.38,48.89
49.58,50.04,50.22,49.49
50.03,50.28,50.35,49.78
50.39,51.05,51.07,50.09
51.08,50.79,51.10,50.69
51.00,51.15,51.73,50.73
51.65,51.80,51.81,51.12
51.96,51.92,52.18,51.22
51.90,51.92,52.10,51.56
51.87,50.80,51.95,50.43
50.62,51.34,51.52,50.48
51.84,52.34,52.71,51.76
51.70,51.05,52.12,50.95
51.60,52.04,52.32,51.45
51.49,52.47,52.48,51.41
52.32,52.06,52.50,51.40
52.18,52.78,52.87,52.18
52.70,52.70,52.73,52.21
52.75,53.12,53.31,52.67
53.29,53.60,53.66,53.03
53.25,53.86,54.04,53.24
53.86,53.84,54.23,53.63
54.08,54.81,54.84,54.08
54.95,52.80,54.98,52.70
52.72,51.72,52.75,51.11
52.32,53.00,53.00,52.28
53.58,50.63,53.58,50.63
51.11,51.11,51.54,50.45
51.09,52.08,52.75,51.09
52.14,52.28,52.99,52.00
51.71,52.83,53.00,50.91
52.60,53.08,53.14,52.03
53.69,54.32,54.50,53.69
54.69,54.57,54.82,54.25
54.65,55.15,55.19,54.48
56.01,56.12,56.18,55.18
55.80,56.08,56.18,55.70
55.86,55.88,56.15,55.50
55.90,56.32,56.49,55.58
56.50,57.41,57.43,56.46
57.22,57.27,57.61,56.95
56.16,56.80,57.19,56.06
56.97,56.25,57.31,55.30
56.85,57.26,57.31,56.77
56.47,56.32,57.05,55.90
56.77,56.57,56.88,56.38
56.91,56.57,57.60,55.92
57.15,57.13,57.30,56.48
56.33,57.14,57.20,55.85
57.16,57.18,57.54,56.82
57.07,55.80,57.33,55.21
56.50,55.15,56.62,54.94
55.47,53.40,55.51,53.10
53.44,54.19,54.25,53.14
52.60,54.04,54.04,52.46
54.29,54.86,54.92,53.58
55.08,54.60,55.31,54.41
54.92,56.53,56.78,54.90
56.56,56.74,57.38,56.41
56.34,56.21,56.61,55.41
55.55,52.06,55.65,51.64
52.82,53.84,53.95,52.47
52.93,51.88,53.02,50.97
52.01,51.73,52.29,50.85
51.81,52.57,52.62,50.98
52.64,52.76,53.05,50.93
53.64,54.49,54.51,53.21
54.43,55.09,55.15,54.10
55.41,55.80,56.40,55.30
55.40,55.27,55.76,54.75
55.71,55.97,56.24,55.45
56.06,56.65,56.65,55.55
56.29,53.83,56.32,53.78
54.45,55.53,55.75,54.25
57.00,57.25,58.12,56.80
57.40,58.03,58.16,57.25
58.18,58.93,58.98,57.75
58.70,59.34,59.34,58.41
59.17,58.82,59.41,58.52
59.03,59.85,59.91,58.90
59.72,59.70,60.14,59.32
59.92,61.26,61.28,59.92
61.05,61.55,62.06,60.89
61.33,61.19,61.92,60.94
61.74,62.54,62.57,61.59
62.16,62.75,63.25,62.13
62.77,62.82,63.18,62.37
62.99,60.92,64.22,60.14
59.52,61.10,61.11,59.38
60.34,61.04,61.14,59.68
62.73,62.67,63.81,61.87
61.92,61.53,62.26,60.46
61.83,62.33,62.60,61.61
61.67,60.92,62.46,60.92
61.42,62.00,62.22,60.05
62.10,60.98,62.74,59.95
60.72,59.23,60.87,58.99
59.22,60.54,60.54,58.46
61.14,61.42,61.79,60.38
62.03,62.19,62.21,61.05
60.77,60.81,61.80,59.80
61.61,59.70,61.81,59.52
59.62,61.75,62.04,59.21
61.54,60.87,61.97,60.46
61.90,61.56,62.23,60.87
61.85,63.00,63.38,61.75
63.04,61.45,63.25,61.41
