ANAT,American National Insurance Company - Common Stock,NASDAQ
71.48,72.33,72.47,70.85
71.86,71.90,72.25,71.84
71.90,72.00,72.45,71.54
72.02,72.11,72.71,72.00
72.60,72.64,72.65,71.38
72.23,72.19,72.44,72.02
72.73,72.85,73.17,72.38
73.05,74.00,74.25,73.05
74.18,73.96,74.44,73.61
74.46,74.55,74.62,74.13
74.30,74.52,78.08,73.85
74.42,74.82,74.88,74.42
74.75,74.56,75.05,74.54
74.99,74.79,75.05,74.52
74.29,74.60,75.70,74.13
74.85,75.18,75.46,74.57
74.97,74.82,74.97,74.20
74.65,74.48,74.91,74.41
73.79,74.90,74.90,73.79
74.95,75.74,75.77,74.76
76.50,75.24,76.52,74.40
74.88,74.24,74.88,73.79
73.96,74.15,74.53,73.50
73.92,73.51,73.92,73.50
73.50,72.91,73.50,72.75
73.13,73.20,73.48,72.95
72.71,72.10,72.82,72.10
72.24,71.69,72.73,71.68
71.94,71.09,72.26,70.91
71.08,71.56,71.76,71.08
70.91,70.57,71.40,70.28
70.63,71.05,71.32,70.61
71.13,71.27,71.65,70.75
71.11,71.49,71.49,71.00
71.48,71.71,72.07,71.16
71.96,72.90,73.22,71.71
73.13,72.87,73.13,72.25
72.12,72.42,72.86,72.12
72.43,73.25,73.52,72.43
73.24,73.54,74.00,73.23
73.27,73.30,73.73,71.99
73.30,73.48,73.69,73.16
73.22,72.82,73.42,72.82
72.99,72.98,73.01,72.11
73.25,73.60,74.24,72.04
73.74,73.56,73.99,73.25
73.50,73.16,73.74,73.10
72.81,72.55,73.15,72.24
72.37,72.52,73.52,72.35
72.42,72.15,72.45,71.74
72.30,72.33,72.79,71.88
71.57,71.78,72.29,71.50
71.60,71.77,71.99,71.51
71.27,70.03,71.55,70.01
70.00,69.22,70.38,69.22
69.68,70.39,70.73,68.37
70.50,71.00,71.21,70.01
70.79,70.28,71.04,70.26
70.90,70.63,71.15,69.50
70.54,71.08,71.15,70.50
70.97,71.01,71.15,70.77
71.07,71.07,71.21,70.88
71.30,70.85,71.86,70.75
70.54,70.01,70.60,69.60
70.01,69.93,70.31,69.64
70.21,70.02,70.27,69.96
69.89,71.02,71.02,69.52
71.17,71.08,71.50,70.82
71.24,70.20,71.62,70.11
70.01,69.90,71.21,69.65
69.90,69.74,70.47,69.63
70.20,69.41,70.27,69.37
69.48,70.25,70.54,69.48
70.66,71.06,72.55,70.26
70.84,71.26,71.88,70.63
71.01,70.62,71.73,70.42
70.34,70.46,71.49,70.34
70.25,70.40,72.05,70.02
70.07,69.87,70.52,69.05
69.80,69.42,70.19,69.17
69.97,68.66,69.97,68.65
68.68,68.61,69.45,68.55
68.99,67.63,69.22,67.60
68.24,68.25,68.48,67.62
68.25,69.18,69.28,68.25
69.18,68.94,69.18,68.26
68.94,69.21,69.87,68.25
69.45,68.95,69.45,68.45
69.05,68.86,69.60,68.16
67.93,67.50,67.93,66.58
67.42,68.32,68.32,66.65
67.55,67.53,68.38,66.88
67.90,68.02,68.33,66.82
67.41,67.59,67.84,66.93
67.47,69.61,69.89,67.06
69.85,70.06,70.34,69.58
69.66,70.29,70.34,68.54
70.15,69.11,70.44,69.00
69.21,70.46,70.46,69.21
70.58,70.21,70.95,69.98
70.80,70.76,70.84,70.01
69.99,70.08,71.00,69.23
69.62,70.69,71.00,69.50
70.69,70.99,71.46,70.10
71.31,71.73,71.73,70.78
71.48,71.10,71.79,70.63
71.22,71.32,71.97,71.10
70.91,70.04,70.91,69.55
70.25,70.15,70.60,70.00
70.09,71.26,71.26,69.81
70.85,71.62,71.62,70.42
71.97,71.27,72.17,71.21
70.11,71.05,71.36,70.11
70.57,70.42,70.82,69.78
70.17,70.17,70.97,69.57
69.58,69.66,70.58,69.00
69.83,70.04,70.33,69.55
70.39,70.40,70.50,69.29
70.51,70.95,71.00,69.76
70.50,70.80,71.64,70.49
71.25,72.34,72.49,71.03
72.44,71.80,72.53,71.40
71.82,71.93,72.28,71.55
72.29,72.13,72.30,71.62
72.22,71.61,72.22,71.61
71.35,71.09,71.60,71.09
70.71,70.44,71.00,70.30
70.25,70.82,71.03,70.10
70.11,71.07,72.30,70.03
71.82,70.44,71.82,70.44
71.09,71.00,71.09,70.45
71.00,70.95,71.20,70.22
70.66,70.43,70.81,70.30
70.63,70.43,70.84,70.26
70.16,70.75,71.00,70.09
71.02,70.94,71.14,70.50
70.62,70.89,71.05,70.45
70.95,70.90,71.09,70.58
70.70,70.84,71.00,70.50
70.82,71.11,71.17,70.50
71.00,70.74,71.00,70.54
70.75,70.73,70.90,70.47
70.82,70.09,71.10,70.09
70.29,70.48,70.69,70.04
70.20,70.20,70.80,68.74
69.75,70.17,70.19,69.40
70.07,70.21,70.54,70.06
70.75,69.52,70.75,69.44
69.67,69.70,70.18,69.44
70.13,69.93,70.43,69.36
70.54,70.10,70.54,69.86
70.01,70.11,70.29,69.80
69.87,69.69,70.29,69.60
69.55,70.26,70.50,69.52
70.17,70.60,70.75,69.51
