BWV,iPath Goldman Sachs Barclays Bank PLC iPath Exchange Traded Notes Linked to the CBOE S&P 500 BuyWrite Index Structured Product,NASDAQ
48.30,48.30,48.30,48.30
48.99,48.34,48.99,48.34
nan,47.60,nan,nan
47.55,47.75,47.76,47.00
46.63,45.80,46.70,45.75
45.27,45.80,45.80,45.27
43.10,42.96,43.10,42.96
42.95,42.74,42.95,42.74
42.74,43.74,43.74,42.74
nan,44.79,nan,nan
44.65,44.64,44.65,44.64
45.29,45.29,45.29,45.29
45.16,45.29,45.71,45.00
45.89,45.35,45.92,45.00
nan,43.53,nan,nan
43.12,42.84,43.14,42.84
43.99,43.01,43.99,43.01
43.20,43.71,43.71,43.20
44.30,44.30,44.30,44.30
nan,44.18,nan,nan
nan,44.02,nan,nan
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
44.74,44.74,44.74,44.74
nan,44.90,nan,nan
nan,44.66,nan,nan
N/A,N/A,N/A,N/A
44.85,44.85,44.85,44.85
44.86,44.84,44.86,44.84
44.44,44.32,44.50,44.20
44.37,44.24,44.37,44.24
44.73,44.94,44.94,44.73
nan,45.19,nan,nan
N/A,N/A,N/A,N/A
45.23,45.10,45.23,45.05
44.72,44.84,44.84,44.68
45.22,45.22,45.22,45.22
44.34,44.32,44.35,44.32
43.24,43.06,43.27,42.70
43.09,43.14,43.33,42.95
43.54,43.80,43.80,43.29
44.72,44.34,44.82,44.24
44.53,43.71,44.54,43.70
44.40,44.01,44.40,43.41
43.68,43.09,43.69,43.09
39.40,41.96,42.72,39.40
41.26,42.63,42.63,41.13
43.25,43.74,43.74,43.06
nan,44.17,nan,nan
44.50,44.31,44.67,44.02
nan,45.21,nan,nan
nan,45.44,nan,nan
nan,46.00,nan,nan
N/A,N/A,N/A,N/A
46.24,46.18,46.24,46.18
nan,45.99,nan,nan
nan,46.52,nan,nan
N/A,N/A,N/A,N/A
46.22,46.56,46.58,46.06
nan,46.63,nan,nan
47.29,47.41,47.52,47.29
nan,46.97,nan,nan
47.33,47.29,47.37,46.74
nan,47.86,nan,nan
48.00,47.91,48.00,47.89
47.65,47.65,47.65,47.65
nan,46.75,nan,nan
N/A,N/A,N/A,N/A
nan,47.39,nan,nan
N/A,N/A,N/A,N/A
47.68,47.89,47.94,47.55
48.03,48.19,48.23,47.97
47.86,47.33,51.85,47.21
nan,47.69,nan,nan
N/A,N/A,N/A,N/A
48.06,48.12,48.13,48.05
48.12,48.15,48.15,48.12
48.32,48.00,48.39,48.00
48.15,47.56,48.16,47.31
47.58,47.60,47.75,47.53
46.91,47.16,47.16,46.91
47.12,47.11,47.12,47.06
nan,46.49,nan,nan
46.69,46.39,46.80,46.39
nan,47.51,nan,nan
N/A,N/A,N/A,N/A
nan,48.89,nan,nan
N/A,N/A,N/A,N/A
nan,48.96,nan,nan
nan,48.72,nan,nan
49.04,48.86,49.04,48.86
nan,48.88,nan,nan
48.93,48.66,48.93,48.66
nan,49.02,nan,nan
N/A,N/A,N/A,N/A
48.97,48.91,48.97,48.79
48.64,48.73,48.84,48.60
nan,48.92,nan,nan
48.94,49.19,49.40,48.94
nan,49.37,nan,nan
N/A,N/A,N/A,N/A
nan,49.64,nan,nan
N/A,N/A,N/A,N/A
nan,50.08,nan,nan
50.59,50.59,50.59,50.59
49.95,49.98,49.98,49.95
nan,50.02,nan,nan
nan,50.40,nan,nan
50.75,50.53,50.75,50.53
50.50,50.66,50.66,50.50
nan,50.72,nan,nan
N/A,N/A,N/A,N/A
nan,50.83,nan,nan
nan,50.77,nan,nan
nan,50.87,nan,nan
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
50.92,50.94,50.94,50.92
50.83,50.83,50.83,50.83
50.90,50.76,50.90,50.76
nan,51.24,nan,nan
51.14,51.14,51.14,51.14
50.87,50.96,50.96,50.87
nan,51.08,nan,nan
51.34,50.86,51.34,50.86
nan,50.96,nan,nan
nan,50.94,nan,nan
nan,50.88,nan,nan
N/A,N/A,N/A,N/A
50.96,51.17,51.17,50.96
51.42,51.42,51.42,51.42
51.30,51.30,51.30,51.30
51.50,51.63,51.63,51.50
51.47,51.47,51.47,51.47
51.45,51.56,51.56,51.45
51.38,51.38,51.38,51.38
nan,51.68,nan,nan
nan,51.72,nan,nan
nan,51.72,nan,nan
51.79,51.79,51.79,51.79
52.09,51.71,52.09,51.71
51.99,51.59,51.99,51.59
51.69,51.55,51.69,51.55
51.77,51.81,51.81,51.71
nan,51.81,nan,nan
nan,52.02,nan,nan
51.75,51.75,51.75,51.75
51.84,51.13,51.95,51.13
nan,51.13,nan,nan
nan,51.13,nan,nan
51.85,51.85,51.85,51.85
51.66,51.66,51.66,51.66
51.79,51.83,51.83,51.66
nan,52.10,nan,nan
52.30,52.22,52.30,52.19
52.20,52.21,52.36,52.19
52.53,52.49,52.53,52.44
52.49,52.59,52.59,52.35
nan,52.36,nan,nan
nan,52.64,nan,nan
52.72,52.65,52.72,52.65
51.54,52.36,52.36,51.54
52.48,52.48,52.48,52.48
52.35,52.46,52.46,52.35
nan,52.26,nan,nan
nan,52.26,nan,nan
nan,52.26,nan,nan
nan,52.61,nan,nan
52.65,52.20,52.65,52.20
52.85,52.57,52.85,52.53
53.12,53.12,53.12,53.12
52.98,52.95,52.98,52.95
nan,52.95,nan,nan
52.44,52.49,52.49,52.41
52.06,52.46,52.46,52.06
51.73,51.66,51.73,51.66
52.09,51.80,52.09,51.80
52.31,52.36,52.36,52.31
nan,52.36,nan,nan
nan,52.10,nan,nan
52.77,52.77,52.77,52.77
nan,52.37,nan,nan
52.07,52.06,52.07,52.06
52.19,52.32,52.32,52.19
52.21,51.73,52.21,51.73
52.04,52.18,52.25,52.04
nan,52.18,nan,nan
nan,52.18,nan,nan
52.88,52.85,52.97,52.85
52.82,52.74,52.82,52.74
nan,52.74,nan,nan
nan,52.89,nan,nan
52.70,52.70,52.70,52.70
nan,52.70,nan,nan
52.41,52.51,52.60,52.40
52.39,51.98,52.39,51.94
51.76,51.76,51.76,51.76
nan,52.47,nan,nan
51.98,52.26,52.35,51.98
51.63,51.61,51.76,51.61
51.60,51.60,51.60,51.60
51.12,51.14,51.25,51.12
50.55,50.46,50.55,50.46
49.95,50.00,50.37,49.95
50.00,50.00,50.00,50.00
50.50,51.00,51.00,50.50
nan,51.00,nan,nan
nan,50.65,nan,nan
nan,50.65,nan,nan
50.68,51.17,51.17,50.68
nan,51.17,nan,nan
50.47,50.38,50.64,50.38
nan,50.38,nan,nan
49.53,49.73,49.73,48.81
49.99,50.17,50.17,49.99
50.56,50.56,50.56,50.56
nan,50.56,nan,nan
51.15,51.26,51.27,51.15
nan,51.26,nan,nan
51.29,51.21,51.33,51.21
51.42,51.42,51.42,51.42
51.31,51.31,51.31,51.31
51.46,51.46,51.46,51.46
nan,51.46,nan,nan
nan,51.46,nan,nan
52.46,52.46,52.46,52.10
nan,51.53,nan,nan
51.77,51.77,51.77,51.77
51.77,51.21,51.77,51.21
nan,51.21,nan,nan
nan,51.21,nan,nan
nan,52.00,nan,nan
52.13,52.11,52.13,52.11
50.84,52.75,52.75,50.83
nan,52.50,nan,nan
nan,52.50,nan,nan
nan,52.50,nan,nan
nan,52.50,nan,nan
nan,52.50,nan,nan
52.60,52.55,52.60,52.55
52.60,52.61,52.61,52.61
nan,53.50,nan,nan
nan,53.10,nan,nan
53.05,52.74,53.05,52.74
52.73,52.73,52.73,52.73
53.02,53.10,53.29,53.00
51.15,51.21,51.21,51.15
51.93,51.93,51.93,51.93
0.00,52.00,52.00,52.00
nan,52.00,nan,nan
nan,53.24,nan,nan
nan,53.24,nan,nan
nan,53.24,nan,nan
nan,53.24,nan,nan
52.83,53.09,53.09,52.83
53.19,53.19,53.19,53.19
nan,53.19,nan,nan
N/A,N/A,N/A,N/A
53.47,53.80,53.80,53.47
53.17,53.45,53.45,53.17
53.94,53.66,53.94,53.66
53.39,53.66,53.66,53.39
nan,53.66,nan,nan
nan,53.94,nan,nan
nan,53.57,nan,nan
nan,53.90,nan,nan
nan,53.90,nan,nan
53.84,53.84,53.84,53.84
nan,53.97,nan,nan
53.62,53.62,53.62,53.62
nan,53.62,nan,nan
nan,53.71,nan,nan
53.88,53.88,53.88,53.88
53.31,53.60,53.60,53.31
53.27,53.64,53.64,53.27
nan,53.64,nan,nan
nan,53.38,nan,nan
nan,53.38,nan,nan
53.49,53.49,53.49,53.49
53.71,54.12,54.12,53.58
nan,54.12,nan,nan
54.79,54.79,54.79,54.79
nan,54.79,nan,nan
nan,54.79,nan,nan
54.75,54.47,54.75,54.20
54.31,54.37,54.37,54.31
nan,54.37,nan,nan
54.50,54.56,54.70,54.50
nan,54.56,nan,nan
nan,54.56,nan,nan
53.46,54.15,54.15,53.46
nan,54.15,nan,nan
54.39,54.09,54.39,54.09
nan,53.66,nan,nan
nan,54.31,nan,nan
53.77,53.96,53.96,53.77
54.00,54.25,54.26,54.00
