HSIC,Henry Schein,NASDAQ
61.53,59.52,63.03,59.32
58.97,60.97,61.17,58.56
61.21,61.76,62.00,60.57
61.68,61.59,61.96,60.16
61.77,61.09,62.02,60.92
61.86,62.62,62.77,61.69
60.27,63.93,64.21,60.27
64.70,64.20,65.11,63.85
64.00,64.42,64.46,62.85
65.04,64.26,65.04,63.97
64.05,62.88,64.12,62.65
63.03,63.29,63.87,62.55
63.29,63.53,64.81,63.22
63.76,64.65,64.69,63.10
65.01,65.80,66.67,65.00
65.84,67.26,67.29,65.71
67.19,66.14,67.23,65.96
66.86,67.01,67.23,65.67
68.56,69.64,70.20,68.53
69.48,70.98,71.13,69.12
70.66,69.32,70.73,69.11
63.74,64.35,65.48,63.69
64.38,64.91,66.00,64.01
65.04,65.58,65.66,64.58
65.29,65.18,65.48,64.19
65.09,66.18,66.24,64.60
66.45,66.85,66.91,65.53
65.64,64.38,67.00,64.00
65.22,64.94,65.29,64.01
65.74,65.89,66.46,65.20
65.73,64.99,65.97,64.66
64.90,64.86,65.17,64.27
64.20,62.95,64.43,62.90
62.96,61.73,63.00,61.54
61.61,60.97,61.85,60.82
60.50,61.75,62.20,60.15
61.34,60.88,61.34,60.27
60.43,60.46,60.87,60.01
59.96,59.99,60.58,59.78
61.20,61.79,61.83,61.05
61.89,62.39,62.86,61.62
63.55,64.34,64.87,63.55
64.45,64.60,65.73,64.42
65.08,64.05,65.56,63.78
65.02,65.00,65.90,64.65
64.81,64.47,65.19,64.20
64.39,64.02,64.51,62.84
63.64,62.28,63.64,62.16
62.58,63.48,64.02,62.32
63.30,62.57,63.54,62.12
62.58,61.84,63.44,61.46
61.44,61.39,61.77,61.13
61.86,62.25,62.43,61.51
62.64,62.44,63.28,61.93
62.93,61.92,62.93,61.66
62.98,64.26,64.79,62.98
64.16,64.44,64.46,63.39
64.60,64.65,64.92,64.36
64.90,65.13,65.24,64.69
65.03,65.27,65.73,63.97
65.33,64.12,65.34,64.04
64.50,64.79,65.02,63.98
64.87,64.43,65.46,64.36
65.46,65.76,66.58,65.46
65.68,65.56,65.73,64.74
65.42,66.22,66.25,65.14
66.31,66.13,66.50,65.39
66.16,65.89,66.28,65.48
66.48,66.70,67.07,66.13
66.51,67.96,67.99,66.38
67.99,68.00,68.09,66.55
67.63,67.92,67.99,67.11
68.49,68.12,69.00,67.88
68.16,68.72,68.74,67.51
68.78,68.86,68.97,68.40
68.86,69.45,69.51,68.64
69.48,69.20,70.08,68.75
68.85,69.52,69.93,68.85
69.28,70.63,70.63,68.88
70.79,70.50,70.90,69.84
70.21,71.00,71.27,70.21
70.12,70.91,70.93,69.68
71.08,70.89,71.90,70.48
71.33,72.69,72.72,71.14
72.61,73.09,73.21,72.28
73.48,73.16,73.86,73.05
72.91,72.99,73.42,72.69
72.24,72.58,73.35,72.04
72.58,71.94,72.58,71.40
72.06,71.27,72.56,71.10
70.82,71.24,71.31,70.30
71.53,72.11,72.41,70.94
71.32,73.15,73.15,71.32
73.22,73.13,73.48,72.21
73.25,75.67,75.98,72.73
75.40,74.79,75.73,74.69
74.88,74.27,75.23,73.94
74.55,74.01,74.58,73.63
74.14,74.13,74.54,73.74
74.37,74.74,75.00,74.29
74.35,74.31,74.64,73.64
74.73,75.08,75.52,74.45
74.98,74.02,75.22,73.85
74.09,73.86,74.13,73.05
73.92,73.12,73.92,72.96
72.86,73.13,73.48,72.55
72.52,72.04,72.95,71.85
72.12,72.23,72.49,71.72
72.65,73.26,73.59,72.35
73.27,73.93,74.66,73.27
72.23,73.50,73.98,72.23
73.72,75.26,75.28,73.58
75.06,75.65,75.86,74.87
75.50,76.39,76.41,75.47
76.17,76.27,76.50,76.06
76.47,76.74,77.05,76.03
76.38,76.18,76.75,76.15
76.16,75.87,76.46,75.72
75.61,75.12,75.70,74.79
75.36,75.38,75.43,74.67
76.01,76.54,76.77,76.01
76.70,76.40,76.82,76.23
76.36,76.21,76.74,75.86
75.82,75.85,76.49,75.51
76.40,75.68,76.40,75.67
75.72,76.23,76.78,75.53
76.35,76.69,76.75,75.95
76.10,76.05,76.41,75.63
75.67,76.09,76.16,75.46
74.92,74.89,75.39,74.45
74.58,73.79,75.00,73.77
74.55,74.23,74.88,73.82
74.49,75.07,75.38,74.09
75.24,73.67,75.24,73.52
74.00,73.76,74.02,73.28
74.00,75.22,75.46,73.82
75.01,74.78,75.51,74.75
74.75,74.14,74.94,73.75
74.62,74.43,74.90,74.14
73.73,73.29,74.06,72.75
73.64,74.20,74.30,73.21
74.71,75.64,75.82,74.42
75.14,76.43,76.50,74.51
76.50,77.29,77.36,76.17
77.44,76.74,77.72,76.67
76.68,76.45,77.19,75.95
76.01,76.71,76.90,75.80
76.68,76.34,77.00,76.18
75.76,74.88,76.95,74.64
74.42,74.73,75.33,74.09
74.81,77.53,78.16,74.81
77.00,76.56,77.00,75.45
76.89,76.11,77.25,75.89
76.07,76.57,76.85,75.82
75.99,75.91,76.30,74.82
75.94,76.19,76.53,75.79
76.45,75.57,76.45,75.04
75.55,73.70,75.67,73.68
73.98,73.01,74.03,72.84
73.01,74.58,74.64,72.43
74.61,74.16,74.79,73.65
73.74,74.56,74.64,73.24
74.66,75.05,75.49,74.02
75.08,75.53,75.82,74.59
76.08,76.28,76.72,75.60
75.75,74.84,75.75,74.58
74.51,74.31,74.79,73.54
73.09,72.38,73.27,71.97
72.27,73.02,73.09,72.12
73.11,74.20,74.31,72.70
74.60,74.43,74.78,74.24
75.09,74.04,75.42,74.01
74.02,74.32,74.57,73.66
74.68,73.61,74.96,73.49
73.94,74.44,74.51,73.35
74.22,74.22,74.89,73.86
74.32,75.66,75.97,74.32
75.75,77.82,78.00,75.65
77.16,79.14,79.33,77.12
79.23,79.73,80.38,79.08
79.84,78.00,80.05,77.79
78.00,76.39,78.46,76.01
76.92,77.22,77.56,76.32
76.91,76.07,76.91,76.00
76.39,75.94,76.39,75.46
76.45,77.25,77.74,76.36
76.84,77.63,77.71,75.97
78.60,78.49,79.48,78.29
79.10,78.91,79.33,78.45
78.98,79.50,79.66,78.98
78.83,79.20,79.42,78.72
78.90,77.93,78.96,77.67
78.69,78.34,78.69,77.71
78.62,78.50,79.27,77.75
78.49,78.55,78.93,78.09
78.05,76.72,78.16,75.85
76.81,77.83,77.94,76.73
77.75,77.45,77.75,76.66
78.04,78.21,78.40,76.71
77.87,78.63,78.99,77.63
78.68,79.00,79.25,78.37
79.03,77.96,79.06,77.83
76.79,76.22,76.83,75.76
76.56,74.64,76.56,74.09
74.80,75.33,75.77,74.21
76.41,76.22,76.71,75.33
76.66,78.16,78.33,76.58
78.08,76.80,78.38,76.50
76.27,74.81,76.90,74.73
75.00,75.03,75.19,74.51
75.00,74.92,75.19,72.84
75.66,76.39,76.98,75.66
76.34,76.54,77.10,75.68
76.99,77.48,77.89,76.53
77.41,77.06,77.43,76.83
76.94,76.62,77.36,76.44
76.60,77.16,77.32,76.11
76.95,77.16,77.23,76.35
77.31,76.77,77.31,76.53
76.81,77.78,77.86,76.58
77.51,77.52,77.81,76.93
77.72,78.12,78.30,77.13
78.12,77.66,78.32,77.55
77.49,77.88,78.50,77.47
77.32,77.35,77.92,76.82
77.01,76.05,77.38,75.65
76.22,76.25,76.54,75.88
76.33,76.00,76.63,75.85
75.95,76.19,76.39,75.68
76.20,76.78,76.79,76.10
76.37,76.48,76.68,75.78
77.30,76.81,78.39,76.02
76.51,77.21,77.42,75.89
77.12,76.97,77.52,76.46
77.52,77.93,79.06,77.52
77.82,78.35,78.64,77.67
78.45,77.84,78.77,77.72
77.68,77.09,78.02,76.99
77.37,76.98,77.84,76.78
76.98,77.50,77.82,76.71
77.44,77.07,77.72,76.74
76.76,76.98,77.57,76.76
77.19,77.25,77.51,76.58
77.01,78.43,78.55,77.01
78.04,79.14,79.36,78.04
79.21,79.74,80.21,79.09
79.70,79.85,80.12,79.32
79.96,80.27,80.75,79.88
80.37,79.32,80.47,79.00
79.37,79.60,79.66,78.87
79.56,79.22,79.65,78.78
79.67,79.21,80.42,78.73
79.20,79.19,79.43,78.64
79.05,78.99,79.44,78.54
79.03,79.51,79.76,78.66
79.84,79.27,80.28,79.15
78.94,79.53,79.61,78.94
79.20,77.39,79.46,77.17
77.54,77.09,77.76,76.74
77.77,77.69,77.99,77.22
77.55,77.03,77.99,76.96
77.14,77.15,77.35,76.70
77.45,77.16,77.54,76.76
76.95,77.39,77.65,76.63
76.17,75.56,76.20,74.28
75.50,74.91,75.50,74.52
74.82,75.11,75.54,74.45
74.41,73.93,74.60,73.66
74.35,74.57,75.07,73.35
75.14,74.81,75.76,74.50
74.69,74.18,75.19,73.78
74.28,73.75,74.36,73.47
74.08,75.94,76.31,73.98
76.00,74.50,76.37,74.48
74.54,75.84,76.16,74.27
76.20,77.20,77.57,76.04
77.20,78.30,79.55,76.40
78.10,76.72,78.56,76.63
76.81,77.10,77.79,76.75
77.18,77.07,77.48,76.43
77.04,77.63,78.05,76.95
77.86,77.65,78.73,77.25
77.26,78.31,78.48,77.05
78.19,78.35,78.64,77.83
78.93,79.49,79.73,78.64
78.30,79.69,79.77,78.20
79.85,79.89,79.91,79.27
80.06,80.75,80.80,79.79
80.67,80.58,81.20,80.38
80.50,80.04,81.30,79.93
80.04,80.12,80.30,79.00
80.51,80.76,80.79,80.05
80.96,80.77,81.00,80.02
81.00,80.67,81.43,80.11
80.75,80.61,81.40,79.83
81.00,80.04,81.00,79.64
80.39,79.70,80.39,79.11
79.65,79.89,79.94,79.31
79.79,79.94,80.50,79.73
80.00,81.02,81.37,79.96
80.85,80.90,81.58,80.76
80.69,80.86,81.55,80.60
80.44,81.32,81.47,78.96
81.04,82.04,82.15,80.85
82.36,82.23,82.91,82.12
82.38,81.61,82.38,81.60
81.49,82.01,82.04,81.49
80.91,80.94,82.44,80.91
81.28,81.21,81.67,80.94
81.17,80.51,81.66,80.18
80.37,80.22,80.93,79.70
79.79,79.96,80.59,79.51
79.93,80.42,80.67,79.57
81.59,82.42,82.54,81.59
82.15,82.45,82.73,81.84
82.73,82.37,82.73,82.30
82.25,83.08,83.18,82.17
82.73,82.64,83.54,82.57
83.10,83.08,83.52,82.11
83.55,83.36,83.67,82.96
83.58,83.07,83.87,82.87
83.17,84.05,84.05,83.05
83.78,84.02,84.09,83.14
83.69,83.96,84.15,83.36
84.31,84.61,85.06,83.85
84.33,84.97,85.04,84.33
84.63,85.38,85.39,84.63
85.24,85.77,86.00,85.04
85.95,87.06,87.19,85.84
87.53,87.79,87.90,87.06
87.66,87.16,87.90,87.07
87.23,87.00,87.49,86.85
86.81,86.73,87.42,86.48
86.40,86.34,86.86,86.09
86.87,87.55,87.61,85.88
86.91,87.14,88.06,86.47
87.52,87.80,87.98,87.14
87.35,88.65,88.68,87.35
88.65,88.64,89.22,87.80
89.05,89.11,89.33,88.80
89.24,89.45,89.68,88.91
89.51,90.37,90.98,89.43
90.35,89.25,91.11,88.99
88.50,88.40,89.37,88.06
88.64,88.68,89.35,88.32
88.60,89.30,89.93,88.52
89.22,88.42,89.53,88.42
88.28,87.35,88.68,87.00
87.72,87.78,88.00,87.40
88.27,87.37,88.78,87.34
87.74,87.30,87.92,86.79
87.66,88.46,88.88,86.67
88.38,89.22,89.55,88.30
88.70,88.84,89.23,87.90
88.94,88.76,88.94,88.25
89.18,89.90,90.39,89.05
89.93,89.74,90.20,89.70
89.66,89.30,90.06,89.14
89.60,90.32,90.46,89.53
89.43,89.92,90.53,88.78
89.59,90.03,90.23,89.48
90.27,90.26,90.41,89.95
90.35,90.63,90.64,90.02
90.42,89.88,90.59,89.72
91.70,89.73,91.70,89.36
89.67,90.04,90.67,89.67
90.52,90.90,91.20,90.52
90.36,90.60,90.71,89.96
90.90,90.58,91.15,90.41
90.98,90.30,91.48,89.95
90.75,91.14,91.40,90.56
90.60,91.21,91.27,90.18
90.93,92.55,92.66,90.67
92.13,91.93,92.64,91.41
92.39,92.08,92.90,91.70
92.00,91.04,92.13,90.81
91.06,91.39,92.01,90.96
90.41,90.44,90.56,89.82
90.27,91.38,91.40,90.27
91.43,90.79,91.49,89.93
90.80,91.81,92.11,90.63
92.07,92.34,92.60,91.74
92.74,91.91,92.79,91.46
91.84,90.01,92.24,89.71
90.58,91.27,91.40,89.84
90.38,90.35,90.51,89.39
90.39,90.13,90.53,89.56
89.59,91.45,91.68,89.59
91.61,90.72,91.67,90.36
91.19,89.81,91.44,88.90
89.52,89.63,90.16,89.49
89.92,89.85,90.19,89.61
89.91,89.75,90.39,89.32
89.89,89.94,90.20,89.48
89.76,90.40,90.46,89.40
90.12,89.50,90.33,89.35
